english,english_parts,tune,tune_parts,joiner,parts,whole,where,kind
emulsion,"fine + mix",polaimiks,"pol + miks",ai,2,yes,judged,verdict
enamel,"tooth + glaze",cutxaisket,"cutx + sket",ai,2,yes,judged,verdict
encephalopathy,"brain + disease",brenaibidj,"bren + bidj",ai,2,yes,judged,verdict
encounter,"in + counter",,"ras + ?",ai,2,no,judged,verdict
endocarditis,"inner + heart + swell",,"? + zif + parb",ai,3,no,judged,verdict
endocardium,"inner + heart + lining",,"? + zif + ?",ai,3,no,judged,verdict
endoderm,"inner + skin",,"? + skin",ai,2,no,judged,verdict
endometrium,"inside + womb + lining",,"geb + gloq + ?",ai,3,no,judged,verdict
endorphin,"inner + pain + drug",,"? + muz + som",ai,3,no,judged,verdict
endothelium,"inside + lining",,"geb + ?",ai,2,no,judged,verdict
enterprise,"between + take",tinaitek,"tin + tek",ai,2,yes,judged,verdict
eosinophilia,"white + cell + excess",wipaimudzaidjoz,"wip + mudz + djoz",ai,3,yes,judged,verdict
epidemiology,"spread + sickness + study",,"dend + ? + nedz",ai,3,no,judged,verdict
epidermis,"upon + skin",pandaiskin,"pand + skin",ai,2,yes,judged,verdict
epididymis,"upon + testis",,"pand + ?",ai,2,no,judged,verdict
epiglottis,"over + throat + flap",djipaigalkaibriv,"djip + galk + briv",ai,3,yes,judged,verdict
epilepsy,"seize + sickness",,"lidj + ?",ai,2,no,judged,verdict
epinephrine,"alert + heart + hormone",palvaizifaisnen,"palv + zif + snen",ai,3,yes,drug,proposal
epiphysis,"bone + end",brodaiguv,"brod + guv",ai,2,yes,judged,verdict
epithelium,"cover + tissue",kovaitxum,"kov + txum",ai,2,yes,judged,verdict
epoxide,"oxygen + ring",,"? + rop",ai,2,no,judged,verdict
erbium,"glass + atom",malzaitom,"malz + tom",ai,2,yes,atom,proposal
erythema,"red + skin",gicaiskin,"gic + skin",ai,2,yes,judged,verdict
erythroblast,"red + blood + bud",gicaibloCaigond,"gic + bloC + gond",ai,3,yes,judged,verdict
erythrocyte,"red + blood + cell",gicaibloCaimudz,"gic + bloC + mudz",ai,3,yes,judged,verdict
esophagus,"gullet + tube",,"? + tub",ai,2,no,judged,verdict
estate,"hold + land",hoqailan,"hoq + lan",ai,2,yes,judged,verdict
ester,"acid + alcohol + join",falfaikoqkaigoz,"falf + koqk + goz",ai,3,yes,judged,verdict
estradiol,"estrus + two + alcohol",,"? + dob + koqk",ai,3,no,judged,verdict
estrogen,"female + sex + hormone",fimaifedaisnen,"fim + fed + snen",ai,3,yes,drug,proposal
ethanol,"two + carbon + alcohol",dobairintaikoqk,"dob + rint + koqk",ai,3,yes,judged,verdict
ether,"sleep + vapor",slipaifron,"slip + fron",ai,2,yes,drug,proposal
ethyl,"two + carbon + group",dobairintaihip,"dob + rint + hip",ai,3,yes,judged,verdict
etiology,"cause + study",kazainedz,"kaz + nedz",ai,2,yes,judged,verdict
eucalyptus,"smell + oil + tree",lugaigipsaidip,"lug + gips + dip",ai,3,yes,tree,proposal
europium,"screen + atom",boftaitom,"boft + tom",ai,2,yes,atom,proposal
excision,"cut + out",zepaibuk,"zep + buk",ai,2,yes,judged,verdict
exocrine,"out + secrete",,"buk + ?",ai,2,no,judged,verdict
eyeball,"eye + ball",xicaibral,"xic + bral",ai,2,yes,judged,verdict
fascia,"sheet + tissue",vodjaitxum,"vodj + txum",ai,2,yes,judged,verdict
femur,"thigh + bone",gromaibrod,"grom + brod",ai,2,yes,judged,verdict
fennel,"name + herb",namairorb,"nam + rorb",ai,2,yes,judged,verdict
fentanyl,"extreme + pain + drug",vuftaimuzaisom,"vuft + muz + som",ai,3,yes,drug,proposal
fermium,"rare + atom",raraitom,"rar + tom",ai,2,yes,atom,proposal
fern,"sheep + tooth",zigzaicutx,"zigz + cutx",ai,2,yes,plant,proposal
fibrillation,"quiver + beat",,"? + bit",ai,2,no,judged,verdict
fibroblast,"fibre + cell",,"? + mudz",ai,2,no,judged,verdict
fibroma,"fibre + growth",,"? + ?",ai,2,no,judged,verdict
fibrosis,"fibre + growth",,"? + ?",ai,2,no,judged,verdict
fibula,"side + leg + bone",sardailegzaibrod,"sard + legz + brod",ai,3,yes,judged,verdict
fir,"flat + conifer",,"flat + ?",ai,2,no,tree,proposal
fistula,"wrong + passage",raqaijaqk,"raq + jaqk",ai,2,yes,judged,verdict
flank,"body + side",vataisard,"vat + sard",ai,2,yes,judged,verdict
flask,"narrow + neck + bottle",,"Ceft + mond + ?",ai,3,no,judged,verdict
flax,"fiber + seed + plant",djotaisidaidorf,"djot + sid + dorf",ai,3,yes,plant,proposal
fleece,"wool + coat",laqkainusp,"laqk + nusp",ai,2,yes,judged,verdict
flerovium,"cloud + atom",kladaitom,"klad + tom",ai,2,yes,atom,proposal
flint,"fire + strike + stone",forainalcaiston,"for + nalc + ston",ai,3,yes,rock,proposal
fluorine,"tooth + atom",cutxaitom,"cutx + tom",ai,2,yes,atom,proposal
fluorouracil,"fluorine + uracil",,"? + ?",ai,2,no,judged,verdict
fluoxetine,"mood + lift + drug",mudaigorvaisom,"mud + gorv + som",ai,3,yes,drug,proposal
follicle,"small + sac",smalaisnaz,"smal + snaz",ai,2,yes,judged,verdict
fontanelle,"skull + soft + spot",horfaisaftaimals,"horf + saft + mals",ai,3,yes,judged,verdict
football,"foot + ball",gralaibral,"gral + bral",ai,2,yes,judged,verdict
foramen,"bone + hole",brodaihatx,"brod + hatx",ai,2,yes,judged,verdict
forebrain,"fore + brain",,"? + bren",ai,2,no,judged,verdict
forget-me-not,"small + blue + flower",smalaibulaiflor,"smal + bul + flor",ai,3,yes,flower,proposal
fossa,"bone + hollow",brodaivabz,"brod + vabz",ai,2,yes,judged,verdict
foster,"raise + care",mumpaikriq,"mump + kriq",ai,2,yes,judged,verdict
foxglove,"finger + bell + flower",gartaigentaiflor,"gart + gent + flor",ai,3,yes,flower,proposal
francium,"loose + atom",txotaitom,"txot + tom",ai,2,yes,atom,proposal
freesia,"sweet + smell + flower",skitailugaiflor,"skit + lug + flor",ai,3,yes,flower,proposal
freshwater,"fresh + water",fraxaiwaC,"frax + waC",ai,2,yes,judged,verdict
gabbro,"dark + grain",ramailetx,"ram + letx",ai,2,yes,rock,proposal
gadolinium,"seek + atom",sikaitom,"sik + tom",ai,2,yes,atom,proposal
galactose,"milk + sugar",nudjaigand,"nudj + gand",ai,2,yes,judged,verdict
gallbladder,"gall + bladder",txozaiwuts,"txoz + wuts",ai,2,yes,judged,verdict
gallium,"bird + atom",baxaitom,"bax + tom",ai,2,yes,atom,proposal
ganglion,"nerve + knot",nurvaigrox,"nurv + grox",ai,2,yes,judged,verdict
gangrene,"dead + flesh",tisaiflax,"tis + flax",ai,2,yes,judged,verdict
garbage,"throw + waste",jetaimusp,"jet + musp",ai,2,yes,judged,verdict
gardenia,"white + smell + flower",wipailugaiflor,"wip + lug + flor",ai,3,yes,flower,proposal
garland,"flower + ring",florairop,"flor + rop",ai,2,yes,judged,verdict
garlic,"strong + smell + bulb",livailugaiwusk,"liv + lug + wusk",ai,3,yes,judged,verdict
gastritis,"stomach + swell",stokaiparb,"stok + parb",ai,2,yes,judged,verdict
gelatin,"bone + jelly",brodaiCift,"brod + Cift",ai,2,yes,judged,verdict
genre,"art + kind",meqkainab,"meqk + nab",ai,2,yes,judged,verdict
geography,"earth + writing",,"riq + ?",ai,2,no,judged,verdict
geranium,"round + leaf + flower",mapsailifaiflor,"maps + lif + flor",ai,3,yes,flower,proposal
germanium,"cave + atom",klivaitom,"kliv + tom",ai,2,yes,atom,proposal
ginger,"hot + root",gepaifebz,"gep + febz",ai,2,yes,judged,verdict
girdle,"waist + band",respaimups,"resp + mups",ai,2,yes,judged,verdict
gladiolus,"sword + leaf + flower",bibzailifaiflor,"bibz + lif + flor",ai,3,yes,flower,proposal
glaucoma,"eye + press + sickness",,"xic + malf + ?",ai,3,no,judged,verdict
glioblastoma,"glue + cell + cancer",yistaimudzaibudj,"yist + mudz + budj",ai,3,yes,judged,verdict
glioma,"glue + cell + cancer",yistaimudzaibudj,"yist + mudz + budj",ai,3,yes,judged,verdict
globulin,"ball + protein",bralailudz,"bral + ludz",ai,2,yes,judged,verdict
glomerulus,"kidney + vessel + ball",fundaivesaibral,"fund + ves + bral",ai,3,yes,judged,verdict
glucan,"sugar + chain",gandailip,"gand + lip",ai,2,yes,judged,verdict
glucosamine,"glucose + amine",,"? + ?",ai,2,no,judged,verdict
glucose,"grape + sugar",grepaigand,"grep + gand",ai,2,yes,judged,verdict
glutamine,"amino + acid",,"? + falf",ai,2,no,judged,verdict
glutathione,"three + amino + acid",,"suC + ? + falf",ai,3,no,judged,verdict
glycerol,"sweet + alcohol",skitaikoqk,"skit + koqk",ai,2,yes,judged,verdict
glycine,"sweet + acid",skitaifalf,"skit + falf",ai,2,yes,judged,verdict
glycoprotein,"sugar + protein",gandailudz,"gand + ludz",ai,2,yes,judged,verdict
gneiss,"band + press",mupsaimalf,"mups + malf",ai,2,yes,rock,proposal
gold,"king + atom",fubaitom,"fub + tom",ai,2,yes,atom,proposal
goldenrod,"gold + stalk + flower",godaiklepaiflor,"god + klep + flor",ai,3,yes,flower,proposal
gonadotropin,"gonad + turn + toward",,"? + kak + nol",ai,3,no,judged,verdict
gouge,"scoop + chisel",skupaiskam,"skup + skam",ai,2,yes,judged,verdict
gourd,"hard + shell + fruit",kadaitxalaimag,"kad + txal + mag",ai,3,yes,plant,proposal
granite,"flower + grain",florailetx,"flor + letx",ai,2,yes,rock,proposal
granuloma,"grain + growth",,"letx + ?",ai,2,no,judged,verdict
grape,"vine + berry",txekaiglaf,"txek + glaf",ai,2,yes,plant,proposal
grapefruit,"bitter + round + fruit",vumpaimapsaimag,"vump + maps + mag",ai,3,yes,tree,proposal
greenhouse,"green + house",pesaipuz,"pes + puz",ai,2,yes,judged,verdict
greywacke,"mud + sand",cataisand,"cat + sand",ai,2,yes,rock,proposal
guanosine,"guanine + sugar",,"? + gand",ai,2,no,judged,verdict
guidelines,"guide + line",gibaizob,"gib + zob",ai,2,yes,judged,verdict
gum tree,"gum + sap + tree",zibzaiglomaidip,"zibz + glom + dip",ai,3,yes,tree,proposal
gutter,"water + channel",waCaibark,"waC + bark",ai,2,yes,judged,verdict
gyrus,"brain + fold",brenaifold,"bren + fold",ai,2,yes,judged,verdict
hack,"rough + cut",gabzaizep,"gabz + zep",ai,2,yes,judged,verdict
hafnium,"tool + atom",tulaitom,"tul + tom",ai,2,yes,atom,proposal
hallux,"big + toe",brataivint,"brat + vint",ai,2,yes,judged,verdict
hamartoma,"wrong + tissue + growth",,"raq + txum + ?",ai,3,no,judged,verdict
harlequin,"patch + pattern",patxaijom,"patx + jom",ai,2,yes,judged,verdict
harness,"strap + gear",regzaikutx,"regz + kutx",ai,2,yes,judged,verdict
hassium,"fresh + atom",fraxaitom,"frax + tom",ai,2,yes,atom,proposal
hawthorn,"thorn + berry + tree",rargaiglafaidip,"rarg + glaf + dip",ai,3,yes,tree,proposal
headache,"head + ache",hadaiblat,"had + blat",ai,2,yes,judged,verdict
headgear,"head + gear",hadaikutx,"had + kutx",ai,2,yes,judged,verdict
heather,"small + purple + shrub",,"smal + sif + ?",ai,3,no,plant,proposal
hedge,"plant + wall",dorfaimedz,"dorf + medz",ai,2,yes,judged,verdict
helium,"sun + atom",sanaitom,"san + tom",ai,2,yes,atom,proposal
helmet,"head + guard",hadaimoft,"had + moft",ai,2,yes,judged,verdict
hemangioma,"blood + vessel + growth",,"bloC + ves + ?",ai,3,no,judged,verdict
hemlock,"droop + conifer",,"? + ?",ai,2,no,tree,proposal
hemoglobin,"blood + protein",bloCailudz,"bloC + ludz",ai,2,yes,judged,verdict
hemorrhage,"blood + burst",bloCaibust,"bloC + bust",ai,2,yes,judged,verdict
hemp,"strong + fiber + plant",livaidjotaidorf,"liv + djot + dorf",ai,3,yes,plant,proposal
heparin,"blood + clot + block",bloCaitruzaigiks,"bloC + truz + giks",ai,3,yes,judged,verdict
hepatitis,"liver + inflammation",,"? + frep",ai,2,no,judged,verdict
hernia,"push + through",lepaipup,"lep + pup",ai,2,yes,judged,verdict
heroin,"strong + pleasure + drug",livaizimaisom,"liv + zim + som",ai,3,yes,drug,proposal
hibiscus,"large + trumpet + flower",giqkaiwolbaiflor,"giqk + wolb + flor",ai,3,yes,flower,proposal
hickory,"hard + nut + tree",kadaihiksaidip,"kad + hiks + dip",ai,3,yes,judged,verdict
histidine,"amino + acid",,"? + falf",ai,2,no,judged,verdict
holly,"sharp + leaf + tree",bontailifaidip,"bont + lif + dip",ai,3,yes,tree,proposal
hollyhock,"tall + flower + stalk",talsaifloraiklep,"tals + flor + klep",ai,3,yes,flower,proposal
holmium,"permeate + atom",pimaitom,"pim + tom",ai,2,yes,atom,proposal
honeycomb,"honey + comb",kavaicolf,"kav + colf",ai,2,yes,judged,verdict
honeysuckle,"sweet + vine + flower",skitaitxekaiflor,"skit + txek + flor",ai,3,yes,flower,proposal
hoop,"stiff + ring",fatxairop,"fatx + rop",ai,2,yes,judged,verdict
horse chestnut,"big + chestnut + tree",,"brat + ? + dip",ai,3,no,tree,proposal
horseshoe,"horse + shoe",horsaidebz,"hors + debz",ai,2,yes,judged,verdict
humerus,"upper + arm + bone",,"? + marb + brod",ai,3,no,judged,verdict
husbandry,"farm + craft",despaiyabz,"desp + yabz",ai,2,yes,judged,verdict
hyacinth,"dense + bell + flower",txifaigentaiflor,"txif + gent + flor",ai,3,yes,flower,proposal
hydrangea,"ball + flower",bralaiflor,"bral + flor",ai,2,yes,flower,proposal
hydrocarbon,"hydrogen + carbon",brimairint,"brim + rint",ai,2,yes,judged,verdict
hydrocephalus,"water + head",waCaihad,"waC + had",ai,2,yes,judged,verdict
hydrochloride,"hydrogen + chlorine + salt",brimaivraqaitigz,"brim + vraq + tigz",ai,3,yes,judged,verdict
hydrocortisone,"skin + swell + hormone",skinaiparbaisnen,"skin + parb + snen",ai,3,yes,drug,proposal
hydrolase,"water + split + enzyme",waCaiditaispug,"waC + dit + spug",ai,3,yes,judged,verdict
hydroxyproline,"hydroxyl + proline",,"? + ?",ai,2,no,judged,verdict
hygiene,"clean + craft",klinaiyabz,"klin + yabz",ai,2,yes,judged,verdict
hyperplasia,"over + growth",,"djip + ?",ai,2,no,judged,verdict
hypertension,"high + blood + press",molaibloCaimalf,"mol + bloC + malf",ai,3,yes,judged,verdict
hypoplasia,"under + growth",,"bet + ?",ai,2,no,judged,verdict
hypotension,"low + blood + press",lemaibloCaimalf,"lem + bloC + malf",ai,3,yes,judged,verdict
hypothalamus,"under + thalamus",,"bet + ?",ai,2,no,judged,verdict
hypothyroidism,"low + thyroid + state",,"lem + ? + dom",ai,3,no,judged,verdict
hypoxia,"under + oxygen",,"bet + ?",ai,2,no,judged,verdict
ibuprofen,"pain + swell + drug",muzaiparbaisom,"muz + parb + som",ai,3,yes,drug,proposal
idiopathic,"no + known + cause",nopaixefaikaz,"nop + xef + kaz",ai,3,yes,judged,verdict
ileum,"twist + gut",vitsaigut,"vits + gut",ai,2,yes,judged,verdict
imidazole,"nitrogen + ring",snucairop,"snuc + rop",ai,2,yes,judged,verdict
immunoglobulin,"immune + protein",weqkailudz,"weqk + ludz",ai,2,yes,judged,verdict
implant,"in + set",rasaigig,"ras + gig",ai,2,yes,judged,verdict
indigo,"deep + blue",govaibul,"gov + bul",ai,2,yes,judged,verdict
indium,"ghost + atom",gostaitom,"gost + tom",ai,2,yes,atom,proposal
indole,"nitrogen + double + ring",,"snuc + ? + rop",ai,3,no,judged,verdict
infant,"young + person",zenainar,"zen + nar",ai,2,yes,judged,verdict
infarction,"dead + tissue + block",tisaitxumaigiks,"tis + txum + giks",ai,3,yes,judged,verdict
inflorescence,"flower + cluster",floraisnan,"flor + snan",ai,2,yes,judged,verdict
infrared,"below + red",dodjaigic,"dodj + gic",ai,2,yes,judged,verdict
inositol,"ring + alcohol",ropaikoqk,"rop + koqk",ai,2,yes,judged,verdict
institute,"found + body",totaivat,"tot + vat",ai,2,yes,judged,verdict
insulin,"sugar + hormone",gandaisnen,"gand + snen",ai,2,yes,judged,verdict
interaction,"between + action",tinaikiq,"tin + kiq",ai,2,yes,judged,verdict
intercourse,"sex + act",fedaiyez,"fed + yez",ai,2,yes,judged,verdict
international,"between + nation",tinaipomp,"tin + pomp",ai,2,yes,judged,verdict
intervertebral,"between + vertebra + of",,"tin + ? + yov",ai,3,no,judged,verdict
intravenous,"within + vein + of",modjaiglizaiyov,"modj + gliz + yov",ai,3,yes,judged,verdict
iodine,"stain + atom",stenaitom,"sten + tom",ai,2,yes,atom,proposal
iridium,"arch + atom",gruqaitom,"gruq + tom",ai,2,yes,atom,proposal
iris,"rainbow + flower",,"? + flor",ai,2,no,flower,proposal
ironwood,"iron + hard + wood",kitxaikadaivriC,"kitx + kad + vriC",ai,3,yes,tree,proposal
isle,"small + island",smalaigend,"smal + gend",ai,2,yes,judged,verdict
isomerase,"isomer + enzyme",,"? + spug",ai,2,no,judged,verdict
ivory,"tooth + bone",cutxaibrod,"cutx + brod",ai,2,yes,judged,verdict
ivy,"cling + vine",blanaitxek,"blan + txek",ai,2,yes,plant,proposal
jasmine,"night + smell + flower",yitailugaiflor,"yit + lug + flor",ai,3,yes,flower,proposal
jazz,"swing + music",slidaifeb,"slid + feb",ai,2,yes,judged,verdict
jejunum,"empty + gut",nuvaigut,"nuv + gut",ai,2,yes,judged,verdict
jewelweed,"bright + wet + flower",dinaigegzaiflor,"din + gegz + flor",ai,3,yes,flower,proposal
joshua tree,"branch + yucca + tree",,"lum + ? + dip",ai,3,no,tree,proposal
juniper,"berry + conifer",,"glaf + ?",ai,2,no,tree,proposal
jurisprudence,"law + study",xufainedz,"xuf + nedz",ai,2,yes,judged,verdict
kale,"curl + leaf + plant",korkailifaidorf,"kork + lif + dorf",ai,3,yes,plant,proposal
kapok,"soft + fiber + tree",saftaidjotaidip,"saft + djot + dip",ai,3,yes,tree,proposal
keratinocyte,"horn + cell",peksaimudz,"peks + mudz",ai,2,yes,judged,verdict
keratitis,"cornea + swell",,"? + parb",ai,2,no,judged,verdict
keratosis,"horn + skin + state",peksaiskinaidom,"peks + skin + dom",ai,3,yes,judged,verdict
ketamine,"detach + anesthetic + drug",bogaisnetaisom,"bog + snet + som",ai,3,yes,drug,proposal
ketone,"carbon + oxygen + group",,"rint + ? + hip",ai,3,no,judged,verdict
kinase,"phosphate + enzyme",,"? + spug",ai,2,no,judged,verdict
kitchen,"cook + room",nalfaitif,"nalf + tif",ai,2,yes,judged,verdict
kite,"fly + sail",lefaifras,"lef + fras",ai,2,yes,judged,verdict
krypton,"hidden + atom",pedjaitom,"pedj + tom",ai,2,yes,atom,proposal
labyrinth,"maze + of + ear",blitaiyovaidits,"blit + yov + dits",ai,3,yes,judged,verdict
lace,"hole + cloth",hatxaicorv,"hatx + corv",ai,2,yes,judged,verdict
lactone,"ring + ester",,"rop + ?",ai,2,no,judged,verdict
lamina,"thin + plate",porvaiplet,"porv + plet",ai,2,yes,judged,verdict
lane,"narrow + road",Ceftaiyeb,"Ceft + yeb",ai,2,yes,judged,verdict
lantern,"carry + lamp",maftaizunt,"maft + zunt",ai,2,yes,judged,verdict
lanthanum,"air + atom",lesaitom,"les + tom",ai,2,yes,atom,proposal
larch,"fall + conifer",,"zur + ?",ai,2,no,tree,proposal
laser,"thin + light + beam",porvailitaiblim,"porv + lit + blim",ai,3,yes,judged,verdict
laterite,"iron + soil",kitxairit,"kitx + rit",ai,2,yes,rock,proposal
latex,"milk + sap",nudjaiglom,"nudj + glom",ai,2,yes,judged,verdict
lavender,"calm + smell + flower",kamailugaiflor,"kam + lug + flor",ai,3,yes,flower,proposal
lawn,"cut + grass",zepaigras,"zep + gras",ai,2,yes,judged,verdict
lawrencium,"open + atom",zarkaitom,"zark + tom",ai,2,yes,atom,proposal
league,"join + group",gozaihip,"goz + hip",ai,2,yes,judged,verdict
lectin,"sugar + bind + protein",gandaibinailudz,"gand + bin + ludz",ai,3,yes,judged,verdict
lee,"shelter + side",vondaisard,"vond + sard",ai,2,yes,judged,verdict
leek,"long + onion + plant",nucaiwontaidorf,"nuc + wont + dorf",ai,3,yes,plant,proposal
leiomyoma,"smooth + muscle + growth",,"kind + suft + ?",ai,3,no,judged,verdict
leiomyosarcoma,"smooth + muscle + cancer",kindaisuftaibudj,"kind + suft + budj",ai,3,yes,judged,verdict
lentil,"flat + seed",flataisid,"flat + sid",ai,2,yes,plant,proposal
lettuce,"soft + leaf + plant",saftailifaidorf,"saft + lif + dorf",ai,3,yes,plant,proposal
leucine,"amino + acid",,"? + falf",ai,2,no,judged,verdict
leukocyte,"white + cell",wipaimudz,"wip + mudz",ai,2,yes,judged,verdict
lidocaine,"numb + pain + drug",ruspaimuzaisom,"rusp + muz + som",ai,3,yes,drug,proposal
ligament,"bind + tissue",binaitxum,"bin + txum",ai,2,yes,judged,verdict
ligand,"bind + thing",binainiv,"bin + niv",ai,2,yes,judged,verdict
ligase,"join + enzyme",gozaispug,"goz + spug",ai,2,yes,judged,verdict
lilac,"spring + cluster + flower",dempaisnanaiflor,"demp + snan + flor",ai,3,yes,flower,proposal
lily,"hundred + join + flower",wefaigozaiflor,"wef + goz + flor",ai,3,yes,flower,proposal
limestone,"lime + stone",djimaiston,"djim + ston",ai,2,yes,rock,proposal
linden,"heart + leaf + tree",zifailifaidip,"zif + lif + dip",ai,3,yes,tree,proposal
ling,"thin + fish",porvaifrix,"porv + frix",ai,2,yes,judged,verdict
linguistics,"speech + study",ximainedz,"xim + nedz",ai,2,yes,judged,verdict
lipase,"fat + enzyme",wesaispug,"wes + spug",ai,2,yes,judged,verdict
lipoma,"fat + growth",,"wes + ?",ai,2,no,judged,verdict
lipoprotein,"fat + protein",wesailudz,"wes + ludz",ai,2,yes,judged,verdict
liposarcoma,"fat + flesh + cancer",wesaiflaxaibudj,"wes + flax + budj",ai,3,yes,judged,verdict
lithium,"rock + atom",rakaitom,"rak + tom",ai,2,yes,judged,verdict
litter,"scatter + waste",blupaimusp,"blup + musp",ai,2,yes,judged,verdict
livermorium,"host + atom",harfaitom,"harf + tom",ai,2,yes,atom,proposal
locomotive,"rail + engine",lumpaidiks,"lump + diks",ai,2,yes,judged,verdict
locust,"thorn + pod + tree",rargaipardaidip,"rarg + pard + dip",ai,3,yes,tree,proposal
loratadine,"allergy + block + drug",klebaigiksaisom,"kleb + giks + som",ai,3,yes,drug,proposal
lotus,"water + flower",waCaiflor,"waC + flor",ai,2,yes,flower,proposal
lumber,"cut + wood",zepaivriC,"zep + vriC",ai,2,yes,judged,verdict
lupine,"tall + spike + flower",talsaispakaiflor,"tals + spak + flor",ai,3,yes,flower,proposal
lutetium,"swamp + atom",xestaitom,"xest + tom",ai,2,yes,atom,proposal
lyase,"split + enzyme",ditaispug,"dit + spug",ai,2,yes,judged,verdict
lymph,"clear + body + water",vobaivataiwaC,"vob + vat + waC",ai,3,yes,judged,verdict
lymphadenitis,"lymph + gland + swell",,"? + smaq + parb",ai,3,no,judged,verdict
lymphocyte,"lymph + cell",,"? + mudz",ai,2,no,judged,verdict
lymphoma,"lymph + cancer",,"? + budj",ai,2,no,judged,verdict
lysine,"amino + acid",,"? + falf",ai,2,no,judged,verdict
macrophage,"big + eat + cell",brataigabaimudz,"brat + gab + mudz",ai,3,yes,judged,verdict
magnesium,"ancient + atom",xantaitom,"xant + tom",ai,2,yes,atom,proposal
magnolia,"big + flower + tree",brataifloraidip,"brat + flor + dip",ai,3,yes,tree,proposal
magnolia flower,"big + white + flower",brataiwipaiflor,"brat + wip + flor",ai,3,yes,flower,proposal
mahogany,"red + wood + tree",gicaivriCaidip,"gic + vriC + dip",ai,3,yes,tree,proposal
maiden,"young + unwed + woman",,"zen + ? + nom",ai,3,no,judged,verdict
malformation,"bad + shape",futaideps,"fut + deps",ai,2,yes,judged,verdict
mallet,"wood + hammer",vriCaivent,"vriC + vent",ai,2,yes,judged,verdict
manganese,"resist + atom",zistaitom,"zist + tom",ai,2,yes,atom,proposal
mannose,"manna + sugar",,"? + gand",ai,2,no,judged,verdict
manure,"field + dung",,"gor + ?",ai,2,no,judged,verdict
maple,"frog + hand",ranaizeqk,"ran + zeqk",ai,2,yes,tree,proposal
marathon,"long + race",nucaimalk,"nuc + malk",ai,2,yes,judged,verdict
marble,"flower + stone",floraiston,"flor + ston",ai,2,yes,rock,proposal
mare,"female + horse",fimaihors,"fim + hors",ai,2,yes,judged,verdict
marigold,"gold + flower",godaiflor,"god + flor",ai,2,yes,flower,proposal
maroon,"dark + red",ramaigic,"ram + gic",ai,2,yes,judged,verdict
meatus,"body + passage",vataijaqk,"vat + jaqk",ai,2,yes,judged,verdict
medal,"honour + disc",,"? + brud",ai,2,no,judged,verdict
mediastinum,"chest + middle + space",gitxaimadaipas,"gitx + mad + pas",ai,3,yes,judged,verdict
medulla,"inner + part",,"? + part",ai,2,no,judged,verdict
meitnerium,"merge + atom",basaitom,"bas + tom",ai,2,yes,atom,proposal
melanocyte,"black + cell",vogaimudz,"vog + mudz",ai,2,yes,judged,verdict
melanoma,"black + cancer",vogaibudj,"vog + budj",ai,2,yes,judged,verdict
melatonin,"sleep + hormone",slipaisnen,"slip + snen",ai,2,yes,drug,proposal
melon,"sweet + water + fruit",skitaiwaCaimag,"skit + waC + mag",ai,3,yes,plant,proposal
mendelevium,"lead + atom",lidaitom,"lid + tom",ai,2,yes,atom,proposal
meninges,"brain + skin",brenaiskin,"bren + skin",ai,2,yes,judged,verdict
meningioma,"brain + skin + growth",,"bren + skin + ?",ai,3,no,judged,verdict
meningitis,"brain + skin + swell",brenaiskinaiparb,"bren + skin + parb",ai,3,yes,judged,verdict
menthol,"cool + smell + compound",zorailugaiCeqk,"zor + lug + Ceqk",ai,3,yes,drug,proposal
mercury,"liquid + atom",kridaitom,"krid + tom",ai,2,yes,atom,proposal
mesenchyme,"middle + tissue",madaitxum,"mad + txum",ai,2,yes,judged,verdict
mesentery,"gut + fold + sheet",gutaifoldaivodj,"gut + fold + vodj",ai,3,yes,judged,verdict
mesoderm,"middle + skin",madaiskin,"mad + skin",ai,2,yes,judged,verdict
mesothelioma,"lining + tissue + cancer",,"? + txum + budj",ai,3,no,judged,verdict
mesquite,"dry + thorn + tree",dralairargaidip,"dral + rarg + dip",ai,3,yes,tree,proposal
metacarpal,"beyond + wrist + bone",numpaifeftaibrod,"nump + feft + brod",ai,3,yes,judged,verdict
metatarsal,"beyond + ankle + bone",numpaixuftaibrod,"nump + xuft + brod",ai,3,yes,judged,verdict
metformin,"blood + sugar + lower",,"bloC + gand + ?",ai,3,no,drug,proposal
methacrylate,"methyl + acrylate",,"? + ?",ai,2,no,judged,verdict
methamphetamine,"strong + energy + drug",livaibupaisom,"liv + bup + som",ai,3,yes,drug,proposal
methane,"one + carbon + gas",zanairintaimesk,"zan + rint + mesk",ai,3,yes,judged,verdict
methanol,"one + carbon + alcohol",zanairintaikoqk,"zan + rint + koqk",ai,3,yes,judged,verdict
methionine,"sulfur + amino + acid",,"spiz + ? + falf",ai,3,no,judged,verdict
methyl,"one + carbon + group",zanairintaihip,"zan + rint + hip",ai,3,yes,judged,verdict
methylphenidate,"attention + drug",rixaisom,"rix + som",ai,2,yes,drug,proposal
microbiology,"small + life + study",smalaicadainedz,"smal + cad + nedz",ai,3,yes,judged,verdict
microscopy,"small + view + craft",smalaiyuvaiyabz,"smal + yuv + yabz",ai,3,yes,judged,verdict
midbrain,"middle + brain",madaibren,"mad + bren",ai,2,yes,judged,verdict
milkweed,"milk + sap + flower",nudjaiglomaiflor,"nudj + glom + flor",ai,3,yes,flower,proposal
mill,"grind + house",grotaipuz,"grot + puz",ai,2,yes,judged,verdict
