bacet,basket,ˈbæskɪt
tavul,tavern,ˈtævəɹn
tawin,tile,taɪl
tedal,tide,taɪd
teden,tendon,ˈtɛndən
tedis,toad,toʊd
tegis,tiger,ˈtaɪɡəɹ
tesen,tea,tiː
tikaq,textile,ˈtɛkstaɪl
tikul,text,tɛkst
timan,thyme,taɪm
tinat,tin,tɪn
tipal,temple,ˈtɛmpəl
tipiq,tempest,ˈtɛmpɪst
tites,title,ˈtaɪtəl
tocas,tooth,tuːθ
tofen,tuff,tʌf
tomin,toe,toʊ
tomus,tomato,təˈmeɪtoʊ
tonat,town,taʊn
toneg,tunic,ˈtuːnɪk
tonim,titanium,taɪˈteɪniəm
tonin,tone,toʊn
toran,term,tɜːɹm
toraz,terrain,təˈɹeɪn
tores,train,tɹeɪn
toret,tower,ˈtaʊəɹ
toruk,truck,tɹʌk
totes,turtle,ˈtɜːɹtəl
toyas,towel,ˈtaʊəl
tozaq,trousers,ˈtɹaʊzəɹz
tubal,tube,tuːb
tudan,tornado,tɔːɹˈneɪdoʊ
tudas,tundra,ˈtʌndɹə
tusem,torso,ˈtɔːɹsoʊ
tuset,tuesday,ˈtuːzdeɪ
tuwin,tool,tuːl
vadin,wednesday,ˈwɛnzdeɪ
vadiq,village,ˈvɪlɪdʒ
vagis,vinegar,ˈvɪnɪɡəɹ
vagon,volcano,vɑːlˈkeɪnoʊ
vajan,vegetable,ˈvɛdʒtəbəl
vajut,watch,wɑːtʃ
vareg,virgo,ˈvɜːɹɡoʊ
varin,word,wɜːɹd
varul,wire,waɪəɹ
vavan,fever,ˈfiːvəɹ
vavun,father,ˈfɑːðəɹ
vawin,valley,ˈvæli
vayaq,valve,vælv
venaq,venison,ˈvɛnɪsən
venes,venus,ˈviːnəs
venet,vinyl,ˈvaɪnəl
venul,vein,veɪn
venus,vine,vaɪn
veyan,well,wɛl
veyas,whale,weɪl
vipit,vapor,ˈveɪpəɹ
vitaq,wetland,ˈwɛtlænd
viten,wheat,wiːt
viyan,wheel,wiːl
viyaq,veil,veɪl
vizaq,vise,vaɪs
vizin,vest,vɛst
vohun,warehouse,ˈwɛɹhaʊs
vokaq,workshop,ˈwɜːɹkʃɑːp
vokum,vacuum,ˈvækjuːm
votal,water,ˈwɔːtəɹ
voyan,willow,ˈwɪloʊ
voyas,wall,wɔːl
vozal,voice,vɔɪs
vozit,visor,ˈvaɪzəɹ
vudal,woodland,ˈwʊdlænd
vudon,wood,wʊd
vunal,wound,wuːnd
vuwiq,world,wɜːɹld
vuwis,wolf,wʊlf
vuyaq,wool,wʊl
wikal,wax,wæks
winaq,wine,waɪn
winis,whirlwind,ˈwɜːɹlwɪnd
winos,wind,wɪnd
winul,window,ˈwɪndoʊ
wipen,whisper,ˈwɪspəɹ
wisaq,wasteland,ˈweɪstlænd
wises,weasel,ˈwiːzəl
wisul,waist,weɪst
witek,winter,ˈwɪntəɹ
witen,waterway,ˈwɔːtəɹweɪ
witun,wedge,wɛdʒ
wivin,wave,weɪv
wivon,waterfall,ˈwɔːtəɹfɔːl
xafal,shovel,ˈʃʌvəl
xakal,chalk,tʃɔːk
xakan,charcoal,ˈtʃɑːɹkoʊl
xapan,ship,ʃɪp
xapet,sheep,ʃiːp
xapiq,shop,ʃɑːp
xarek,shark,ʃɑːɹk
xaren,chert,tʃɜːɹt
xares,chair,tʃɛɹ
xaros,cherry,ˈtʃɛɹi
xarul,shrine,ʃɹaɪn
xarun,shower,ˈʃaʊəɹ
xatan,sheet,ʃiːt
xatul,shout,ʃaʊt
xayaz,shallows,ˈʃæloʊz
xebin,chamber,ˈtʃeɪmbəɹ
xedin,shed,ʃɛd
xedon,shadow,ˈʃædoʊ
xewit,shale,ʃeɪl
xeyan,shelf,ʃɛlf
xifin,chest,tʃɛst
xifiq,shellfish,ˈʃɛlfɪʃ
xikal,cheek,tʃiːk
xikin,chicken,ˈtʃɪkɪn
xinal,chin,tʃɪn
xiniq,chain,tʃeɪn
xinot,shin,ʃɪn
xiyan,shield,ʃiːld
xoman,shoe,ʃuː
xonal,channel,ˈtʃænəl
xoniq,chant,tʃænt
xoral,church,tʃɜːɹtʃ
xorek,shorts,ʃɔːɹts
xoren,shirt,ʃɜːɹt
xoriq,shore,ʃɔːɹ
xoyaq,shoal,ʃoʊl
xudit,shoulder,ˈʃoʊldəɹ
xugiq,sugar,ˈʃʊɡəɹ
xuyaq,shawl,ʃɔːl
yares,yard,jɑːɹd
yonos,uranus,ˈjʊɹənəs
yukin,yak,jæk
zanal,zinc,zɪŋk
zaniq,sound,saʊnd
zepin,spade,speɪd
ziban,zebra,ˈzɛbɹə
zidan,cedar,ˈsiːdəɹ
zigaq,synagogue,ˈsɪnəɡɑːɡ
zival,scythe,saɪð
zukin,skirt,skɜːɹt
