form,letters,shape,note
jugz,4,CVCC,
judz,4,CVCC,
just,4,CVCC,
juft,4,CVCC,
Cimp,4,CVCC,
Ciqk,4,CVCC,
Cidj,4,CVCC,
Cibz,4,CVCC,
Cisp,4,CVCC,
Cisk,4,CVCC,
Ceqk,4,CVCC,
Cedj,4,CVCC,
Cebz,4,CVCC,
Cetx,4,CVCC,
Cest,4,CVCC,
Cagz,4,CVCC,
Cadj,4,CVCC,
Cabz,4,CVCC,
Catx,4,CVCC,
Casp,4,CVCC,
Cask,4,CVCC,
Cart,4,CVCC,
Cark,4,CVCC,
Carz,4,CVCC,
Calp,4,CVCC,
Cogz,4,CVCC,
Codj,4,CVCC,
Cobz,4,CVCC,
Cotx,4,CVCC,
Cost,4,CVCC,
Coft,4,CVCC,
Corp,4,CVCC,
Corz,4,CVCC,
Colt,4,CVCC,
Colk,4,CVCC,
Cuqk,4,CVCC,
Cudj,4,CVCC,
Cubz,4,CVCC,
Cutx,4,CVCC,
Cusp,4,CVCC,
Cuft,4,CVCC,
cint,4,CVCC,
cigz,4,CVCC,
cidz,4,CVCC,
citx,4,CVCC,
cist,4,CVCC,
cift,4,CVCC,
cemp,4,CVCC,
cent,4,CVCC,
cegz,4,CVCC,
cedz,4,CVCC,
cesp,4,CVCC,
cesk,4,CVCC,
camp,4,CVCC,
cant,4,CVCC,
caqk,4,CVCC,
cadz,4,CVCC,
cast,4,CVCC,
caft,4,CVCC,
carp,4,CVCC,
calt,4,CVCC,
calk,4,CVCC,
calz,4,CVCC,
comp,4,CVCC,
cont,4,CVCC,
coqk,4,CVCC,
codz,4,CVCC,
cosp,4,CVCC,
cosk,4,CVCC,
cort,4,CVCC,
cork,4,CVCC,
colp,4,CVCC,
colz,4,CVCC,
cump,4,CVCC,
cunt,4,CVCC,
cugz,4,CVCC,
cudz,4,CVCC,
cust,4,CVCC,
cusk,4,CVCC,
yimp,4,CVCC,
yint,4,CVCC,
yiqk,4,CVCC,
yigz,4,CVCC,
yidj,4,CVCC,
yitx,4,CVCC,
yisp,4,CVCC,
yisk,4,CVCC,
yift,4,CVCC,
yemp,4,CVCC,
yent,4,CVCC,
yeqk,4,CVCC,
yegz,4,CVCC,
yedj,4,CVCC,
yetx,4,CVCC,
yesp,4,CVCC,
yesk,4,CVCC,
yeft,4,CVCC,
yamp,4,CVCC,
yant,4,CVCC,
yaqk,4,CVCC,
yagz,4,CVCC,
yadj,4,CVCC,
yatx,4,CVCC,
yasp,4,CVCC,
yask,4,CVCC,
yaft,4,CVCC,
yalp,4,CVCC,
yalc,4,CVCC,
yomp,4,CVCC,
yont,4,CVCC,
yoqk,4,CVCC,
yogz,4,CVCC,
yodj,4,CVCC,
yotx,4,CVCC,
yosk,4,CVCC,
yoft,4,CVCC,
yolc,4,CVCC,
yump,4,CVCC,
yunt,4,CVCC,
yuqk,4,CVCC,
yugz,4,CVCC,
yudj,4,CVCC,
yutx,4,CVCC,
yusk,4,CVCC,
rimp,4,CVCC,
rint,4,CVCC,
riqk,4,CVCC,
rigz,4,CVCC,
ridj,4,CVCC,
ribz,4,CVCC,
ritx,4,CVCC,
risp,4,CVCC,
risk,4,CVCC,
rift,4,CVCC,
remp,4,CVCC,
rent,4,CVCC,
reqk,4,CVCC,
regz,4,CVCC,
redj,4,CVCC,
retx,4,CVCC,
resk,4,CVCC,
reft,4,CVCC,
ramp,4,CVCC,
rant,4,CVCC,lexicon
raqk,4,CVCC,
ragz,4,CVCC,
radj,4,CVCC,
ratx,4,CVCC,
rask,4,CVCC,
raft,4,CVCC,
ralk,4,CVCC,
ralz,4,CVCC,
ralc,4,CVCC,
romp,4,CVCC,
ront,4,CVCC,
roqk,4,CVCC,
rogz,4,CVCC,
rodj,4,CVCC,
rotx,4,CVCC,
rosk,4,CVCC,
roft,4,CVCC,
rolk,4,CVCC,
rolz,4,CVCC,
rolc,4,CVCC,
rump,4,CVCC,
runt,4,CVCC,
rugz,4,CVCC,
rudj,4,CVCC,
rutx,4,CVCC,
ruft,4,CVCC,
limp,4,CVCC,
lint,4,CVCC,
liqk,4,CVCC,
ligz,4,CVCC,
lidj,4,CVCC,
litx,4,CVCC,
list,4,CVCC,lexicon
lisk,4,CVCC,
lift,4,CVCC,
lemp,4,CVCC,
lent,4,CVCC,
leqk,4,CVCC,
legz,4,CVCC,
ledj,4,CVCC,
letx,4,CVCC,
lest,4,CVCC,lexicon
lesk,4,CVCC,
left,4,CVCC,
lamp,4,CVCC,
lant,4,CVCC,lexicon
laqk,4,CVCC,
lagz,4,CVCC,
ladj,4,CVCC,
latx,4,CVCC,
last,4,CVCC,lexicon
lask,4,CVCC,
laft,4,CVCC,
larp,4,CVCC,
lark,4,CVCC,
larz,4,CVCC,
lomp,4,CVCC,
lont,4,CVCC,
loqk,4,CVCC,
logz,4,CVCC,
lodj,4,CVCC,
lotx,4,CVCC,
losp,4,CVCC,
losk,4,CVCC,
lorp,4,CVCC,
lork,4,CVCC,
lorz,4,CVCC,
lump,4,CVCC,
luqk,4,CVCC,
lugz,4,CVCC,
ludj,4,CVCC,
lutx,4,CVCC,
wimp,4,CVCC,
wint,4,CVCC,lexicon
wiqk,4,CVCC,
wigz,4,CVCC,
widj,4,CVCC,
wibz,4,CVCC,
witx,4,CVCC,
wisp,4,CVCC,
wisk,4,CVCC,
wift,4,CVCC,
wemp,4,CVCC,
went,4,CVCC,
weqk,4,CVCC,
wegz,4,CVCC,
wedj,4,CVCC,
webz,4,CVCC,
wetx,4,CVCC,
wesp,4,CVCC,
wesk,4,CVCC,
weft,4,CVCC,
womp,4,CVCC,
wont,4,CVCC,lexicon
woqk,4,CVCC,
wogz,4,CVCC,
wodj,4,CVCC,
wobz,4,CVCC,
wotx,4,CVCC,
wosp,4,CVCC,
wosk,4,CVCC,
woft,4,CVCC,
worp,4,CVCC,
work,4,CVCC,lexicon
wolz,4,CVCC,
wolc,4,CVCC,
wump,4,CVCC,
wunt,4,CVCC,
wuqk,4,CVCC,
wugz,4,CVCC,
wudj,4,CVCC,
wubz,4,CVCC,
wutx,4,CVCC,
wusp,4,CVCC,
wusk,4,CVCC,
wuft,4,CVCC,
grim,4,CCVC,
grin,4,CCVC,
griq,4,CCVC,
grib,4,CCVC,
grik,4,CCVC,
gris,4,CCVC,
griz,4,CCVC,
griv,4,CCVC,
grix,4,CCVC,
grij,4,CCVC,
gric,4,CCVC,
grem,4,CCVC,
gren,4,CCVC,
greq,4,CCVC,
greb,4,CCVC,
gret,4,CCVC,
grek,4,CCVC,
gres,4,CCVC,
grez,4,CCVC,
grev,4,CCVC,
grex,4,CCVC,
grej,4,CCVC,
grec,4,CCVC,
gram,4,CCVC,
gran,4,CCVC,
graq,4,CCVC,
grab,4,CCVC,
grat,4,CCVC,
grak,4,CCVC,
gras,4,CCVC,lexicon
graz,4,CCVC,lexicon
grav,4,CCVC,
grax,4,CCVC,
graj,4,CCVC,
grac,4,CCVC,
gral,4,CCVC,
grom,4,CCVC,
gron,4,CCVC,
groq,4,CCVC,
grog,4,CCVC,
grod,4,CCVC,
grop,4,CCVC,
gros,4,CCVC,lexicon
groz,4,CCVC,
grof,4,CCVC,
grox,4,CCVC,
groj,4,CCVC,
groC,4,CCVC,
grol,4,CCVC,lexicon
grum,4,CCVC,
grun,4,CCVC,
gruq,4,CCVC,
grud,4,CCVC,
grup,4,CCVC,
grus,4,CCVC,
gruz,4,CCVC,
gruf,4,CCVC,
grux,4,CCVC,
gruj,4,CCVC,
gruC,4,CCVC,
grul,4,CCVC,
glim,4,CCVC,
gliq,4,CCVC,
glid,4,CCVC,
gliz,4,CCVC,
glif,4,CCVC,
glix,4,CCVC,
glij,4,CCVC,
gliC,4,CCVC,
glem,4,CCVC,
glen,4,CCVC,
gleq,4,CCVC,
gleg,4,CCVC,
gled,4,CCVC,
glep,4,CCVC,
gles,4,CCVC,
glez,4,CCVC,
glev,4,CCVC,
glex,4,CCVC,
glej,4,CCVC,
glec,4,CCVC,
glam,4,CCVC,
glan,4,CCVC,
glaq,4,CCVC,
glad,4,CCVC,lexicon
glap,4,CCVC,
glak,4,CCVC,
glas,4,CCVC,
glaz,4,CCVC,
glav,4,CCVC,
glax,4,CCVC,
glaj,4,CCVC,
glac,4,CCVC,
glar,4,CCVC,
glom,4,CCVC,
glon,4,CCVC,
gloq,4,CCVC,
glob,4,CCVC,
glot,4,CCVC,
glok,4,CCVC,
glos,4,CCVC,
gloz,4,CCVC,
glof,4,CCVC,
glox,4,CCVC,
gloj,4,CCVC,
gloC,4,CCVC,
glum,4,CCVC,
glun,4,CCVC,
gluq,4,CCVC,
glug,4,CCVC,
glud,4,CCVC,
glup,4,CCVC,
glus,4,CCVC,
gluz,4,CCVC,
gluf,4,CCVC,
glux,4,CCVC,
gluj,4,CCVC,
gluC,4,CCVC,
djim,4,CCVC,
djiq,4,CCVC,
djig,4,CCVC,
djid,4,CCVC,
djip,4,CCVC,
djis,4,CCVC,
djiv,4,CCVC,
djic,4,CCVC,
djem,4,CCVC,
djen,4,CCVC,
djeq,4,CCVC,
djeg,4,CCVC,
djed,4,CCVC,
djep,4,CCVC,
djes,4,CCVC,
djez,4,CCVC,
djef,4,CCVC,
djeC,4,CCVC,
djam,4,CCVC,
djan,4,CCVC,
djaq,4,CCVC,
djab,4,CCVC,
djat,4,CCVC,
djak,4,CCVC,
djaz,4,CCVC,
djaf,4,CCVC,
djaC,4,CCVC,
djal,4,CCVC,lexicon
djom,4,CCVC,
djon,4,CCVC,
djoq,4,CCVC,
djod,4,CCVC,
djop,4,CCVC,
djos,4,CCVC,
djoz,4,CCVC,
djov,4,CCVC,
djoc,4,CCVC,
djor,4,CCVC,
djum,4,CCVC,
djun,4,CCVC,
djuq,4,CCVC,
djub,4,CCVC,
djut,4,CCVC,
djuk,4,CCVC,
djus,4,CCVC,
djuz,4,CCVC,
djuv,4,CCVC,
djuc,4,CCVC,
drin,4,CCVC,lexicon
driq,4,CCVC,
drig,4,CCVC,
drib,4,CCVC,
drit,4,CCVC,
dris,4,CCVC,
driz,4,CCVC,
drif,4,CCVC,
drix,4,CCVC,
drij,4,CCVC,
driC,4,CCVC,
drem,4,CCVC,
dren,4,CCVC,
dreq,4,CCVC,
dreb,4,CCVC,
dret,4,CCVC,
drek,4,CCVC,
dres,4,CCVC,
drez,4,CCVC,
dref,4,CCVC,
drex,4,CCVC,
drej,4,CCVC,
dreC,4,CCVC,
dran,4,CCVC,
draz,4,CCVC,
drav,4,CCVC,
drax,4,CCVC,
draj,4,CCVC,
drac,4,CCVC,
dral,4,CCVC,lexicon
dron,4,CCVC,
droq,4,CCVC,
drog,4,CCVC,
drod,4,CCVC,
drop,4,CCVC,lexicon
dros,4,CCVC,
droz,4,CCVC,
drov,4,CCVC,
drox,4,CCVC,
droj,4,CCVC,
droc,4,CCVC,
drol,4,CCVC,
drum,4,CCVC,
drun,4,CCVC,
druq,4,CCVC,
drug,4,CCVC,
drud,4,CCVC,
drup,4,CCVC,
drus,4,CCVC,
druz,4,CCVC,
druf,4,CCVC,
drux,4,CCVC,
druj,4,CCVC,
druC,4,CCVC,
drul,4,CCVC,
brim,4,CCVC,
brin,4,CCVC,
brid,4,CCVC,
brip,4,CCVC,
brik,4,CCVC,
bris,4,CCVC,
briz,4,CCVC,
brif,4,CCVC,
brix,4,CCVC,
brij,4,CCVC,
briC,4,CCVC,
brem,4,CCVC,
bren,4,CCVC,
breq,4,CCVC,
brep,4,CCVC,
brek,4,CCVC,lexicon
bres,4,CCVC,
brez,4,CCVC,
bref,4,CCVC,
brex,4,CCVC,
brej,4,CCVC,
breC,4,CCVC,
bram,4,CCVC,
bran,4,CCVC,lexicon
braq,4,CCVC,
brat,4,CCVC,
brak,4,CCVC,
bras,4,CCVC,
braz,4,CCVC,
braf,4,CCVC,
brax,4,CCVC,
braj,4,CCVC,
braC,4,CCVC,
bral,4,CCVC,
brom,4,CCVC,
bron,4,CCVC,
broq,4,CCVC,
brog,4,CCVC,
brod,4,CCVC,
brop,4,CCVC,
bros,4,CCVC,
broz,4,CCVC,
brov,4,CCVC,
brox,4,CCVC,
broj,4,CCVC,
broc,4,CCVC,
brum,4,CCVC,
brun,4,CCVC,
bruq,4,CCVC,
brub,4,CCVC,
brut,4,CCVC,
bruk,4,CCVC,
brus,4,CCVC,
bruz,4,CCVC,
brux,4,CCVC,
bruj,4,CCVC,
bruc,4,CCVC,
brul,4,CCVC,
blim,4,CCVC,
blin,4,CCVC,lexicon
bliq,4,CCVC,
blig,4,CCVC,
blib,4,CCVC,
blit,4,CCVC,
blis,4,CCVC,
bliv,4,CCVC,
blix,4,CCVC,
blij,4,CCVC,
blic,4,CCVC,
blem,4,CCVC,
blen,4,CCVC,
bleq,4,CCVC,
bleb,4,CCVC,
blet,4,CCVC,
blek,4,CCVC,
bles,4,CCVC,
blez,4,CCVC,
blef,4,CCVC,
blex,4,CCVC,
blej,4,CCVC,
bleC,4,CCVC,
blam,4,CCVC,
blaq,4,CCVC,
blag,4,CCVC,
blad,4,CCVC,
blap,4,CCVC,
blas,4,CCVC,
blaz,4,CCVC,
blav,4,CCVC,
blax,4,CCVC,
blaj,4,CCVC,
blac,4,CCVC,
blar,4,CCVC,
blom,4,CCVC,
blon,4,CCVC,
bloq,4,CCVC,
blog,4,CCVC,
blod,4,CCVC,
blop,4,CCVC,
blos,4,CCVC,
bloz,4,CCVC,
blof,4,CCVC,
blox,4,CCVC,
bloj,4,CCVC,
blor,4,CCVC,
blum,4,CCVC,
bluq,4,CCVC,
blud,4,CCVC,
blup,4,CCVC,
bluk,4,CCVC,
blus,4,CCVC,
bluz,4,CCVC,
bluv,4,CCVC,
blux,4,CCVC,
bluj,4,CCVC,
bluc,4,CCVC,
smid,4,CCVC,
smik,4,CCVC,
smif,4,CCVC,
smiC,4,CCVC,
smeg,4,CCVC,
smeb,4,CCVC,
smet,4,CCVC,
smev,4,CCVC,
smec,4,CCVC,
smad,4,CCVC,
smap,4,CCVC,
smak,4,CCVC,
smaf,4,CCVC,
smaC,4,CCVC,
smal,4,CCVC,lexicon
smog,4,CCVC,
smob,4,CCVC,
smot,4,CCVC,
smov,4,CCVC,
smoc,4,CCVC,
smor,4,CCVC,
smud,4,CCVC,
smup,4,CCVC,
smuk,4,CCVC,
smuf,4,CCVC,
smuC,4,CCVC,
smul,4,CCVC,
snib,4,CCVC,
snit,4,CCVC,
sniv,4,CCVC,
snic,4,CCVC,
sned,4,CCVC,
snep,4,CCVC,
snef,4,CCVC,
sneC,4,CCVC,
snab,4,CCVC,
snat,4,CCVC,
snak,4,CCVC,lexicon
snav,4,CCVC,
snac,4,CCVC,
snar,4,CCVC,
snog,4,CCVC,
snod,4,CCVC,
snop,4,CCVC,
snof,4,CCVC,
snoC,4,CCVC,
snol,4,CCVC,lexicon
snub,4,CCVC,
snut,4,CCVC,
snuk,4,CCVC,
snuv,4,CCVC,
snuc,4,CCVC,
snul,4,CCVC,
spim,4,CCVC,
spin,4,CCVC,
spiq,4,CCVC,
spib,4,CCVC,
spit,4,CCVC,
spik,4,CCVC,
spiz,4,CCVC,
spiv,4,CCVC,
spix,4,CCVC,
spij,4,CCVC,
spic,4,CCVC,
spem,4,CCVC,
spen,4,CCVC,
speq,4,CCVC,
speb,4,CCVC,
spet,4,CCVC,
spek,4,CCVC,lexicon
spes,4,CCVC,
spez,4,CCVC,
spev,4,CCVC,
spex,4,CCVC,
spej,4,CCVC,
spec,4,CCVC,
spam,4,CCVC,
span,4,CCVC,
spaq,4,CCVC,
spag,4,CCVC,
spab,4,CCVC,
spat,4,CCVC,
spas,4,CCVC,
spaz,4,CCVC,
spaf,4,CCVC,
spax,4,CCVC,
spaj,4,CCVC,
spaC,4,CCVC,
spar,4,CCVC,
spom,4,CCVC,
spon,4,CCVC,
spoq,4,CCVC,
spod,4,CCVC,
spop,4,CCVC,
spok,4,CCVC,
spos,4,CCVC,
spoz,4,CCVC,
spov,4,CCVC,
spox,4,CCVC,
spoj,4,CCVC,
spoc,4,CCVC,
spor,4,CCVC,
spum,4,CCVC,
spun,4,CCVC,
spuq,4,CCVC,
spug,4,CCVC,
spub,4,CCVC,
sput,4,CCVC,
spus,4,CCVC,
spuz,4,CCVC,
spuv,4,CCVC,
spux,4,CCVC,
spuj,4,CCVC,
spuc,4,CCVC,
spul,4,CCVC,
stim,4,CCVC,
stin,4,CCVC,
stid,4,CCVC,
stip,4,CCVC,
stik,4,CCVC,
stis,4,CCVC,
stiz,4,CCVC,
stif,4,CCVC,
stix,4,CCVC,
stij,4,CCVC,
stiC,4,CCVC,
stem,4,CCVC,
sten,4,CCVC,
steg,4,CCVC,
steb,4,CCVC,
stet,4,CCVC,
stes,4,CCVC,
stef,4,CCVC,
stex,4,CCVC,
stej,4,CCVC,
steC,4,CCVC,
stam,4,CCVC,
stan,4,CCVC,
stad,4,CCVC,
stap,4,CCVC,
stak,4,CCVC,
stas,4,CCVC,
staf,4,CCVC,
stax,4,CCVC,
staj,4,CCVC,
staC,4,CCVC,
star,4,CCVC,lexicon
stom,4,CCVC,
ston,4,CCVC,lexicon
stog,4,CCVC,
stob,4,CCVC,
stot,4,CCVC,
stos,4,CCVC,
stov,4,CCVC,
stox,4,CCVC,
stoc,4,CCVC,
stor,4,CCVC,lexicon
stun,4,CCVC,
stud,4,CCVC,
stup,4,CCVC,
stuk,4,CCVC,
stuf,4,CCVC,
stuC,4,CCVC,
stul,4,CCVC,lexicon
skim,4,CCVC,
skin,4,CCVC,
skiq,4,CCVC,
skib,4,CCVC,
skit,4,CCVC,
skik,4,CCVC,
skis,4,CCVC,
skiz,4,CCVC,
skiv,4,CCVC,
skix,4,CCVC,
skij,4,CCVC,
skic,4,CCVC,
skem,4,CCVC,
sken,4,CCVC,
skeq,4,CCVC,
sked,4,CCVC,
skep,4,CCVC,
skek,4,CCVC,
skes,4,CCVC,
skez,4,CCVC,
skef,4,CCVC,
skex,4,CCVC,
skej,4,CCVC,
skeC,4,CCVC,
skam,4,CCVC,
skan,4,CCVC,
skaq,4,CCVC,
skab,4,CCVC,
skat,4,CCVC,
skak,4,CCVC,
skas,4,CCVC,
skaz,4,CCVC,
skav,4,CCVC,
skax,4,CCVC,
skaj,4,CCVC,
skac,4,CCVC,
skal,4,CCVC,lexicon
skom,4,CCVC,
skon,4,CCVC,
skoq,4,CCVC,
skog,4,CCVC,
skod,4,CCVC,
skop,4,CCVC,
skos,4,CCVC,
skoz,4,CCVC,
skov,4,CCVC,
skox,4,CCVC,
skoj,4,CCVC,
skoc,4,CCVC,
skor,4,CCVC,
skun,4,CCVC,
skuq,4,CCVC,
skug,4,CCVC,
skud,4,CCVC,
skup,4,CCVC,
skus,4,CCVC,
skuz,4,CCVC,
skuf,4,CCVC,
skux,4,CCVC,
skuj,4,CCVC,
skuC,4,CCVC,
skul,4,CCVC,
slin,4,CCVC,
slig,4,CCVC,
slib,4,CCVC,
slit,4,CCVC,
sliv,4,CCVC,
slic,4,CCVC,
sled,4,CCVC,
slep,4,CCVC,lexicon
slek,4,CCVC,
slef,4,CCVC,
sleC,4,CCVC,
slag,4,CCVC,
slad,4,CCVC,
slap,4,CCVC,
slav,4,CCVC,
slac,4,CCVC,
slar,4,CCVC,
slob,4,CCVC,
slot,4,CCVC,
slok,4,CCVC,
slof,4,CCVC,
sloC,4,CCVC,
slor,4,CCVC,lexicon
slug,4,CCVC,
slud,4,CCVC,
slup,4,CCVC,
sluv,4,CCVC,
sluc,4,CCVC,
vrim,4,CCVC,
vrin,4,CCVC,
vriq,4,CCVC,
vrig,4,CCVC,
vrid,4,CCVC,
vrip,4,CCVC,
vris,4,CCVC,
vriz,4,CCVC,
vrif,4,CCVC,
vrix,4,CCVC,
vrij,4,CCVC,
vriC,4,CCVC,
vrem,4,CCVC,
vren,4,CCVC,lexicon
vreq,4,CCVC,
vreg,4,CCVC,
vred,4,CCVC,
vrep,4,CCVC,
vres,4,CCVC,
vrez,4,CCVC,
vrev,4,CCVC,
vrex,4,CCVC,
vrej,4,CCVC,
vrec,4,CCVC,
vran,4,CCVC,lexicon
vraq,4,CCVC,
vrab,4,CCVC,
vrak,4,CCVC,
vras,4,CCVC,
vraz,4,CCVC,
vrav,4,CCVC,
vrax,4,CCVC,
vraj,4,CCVC,
vrac,4,CCVC,
vrom,4,CCVC,
vron,4,CCVC,
vroq,4,CCVC,
vrob,4,CCVC,
vrot,4,CCVC,
vrok,4,CCVC,
vros,4,CCVC,
vroz,4,CCVC,
vrof,4,CCVC,
vrox,4,CCVC,
vroj,4,CCVC,
vroC,4,CCVC,
vrum,4,CCVC,
vrun,4,CCVC,
vruq,4,CCVC,
vrub,4,CCVC,
vrut,4,CCVC,
vruk,4,CCVC,
vrus,4,CCVC,
vruz,4,CCVC,
vruv,4,CCVC,
vrux,4,CCVC,
vruj,4,CCVC,
vruc,4,CCVC,
vrul,4,CCVC,lexicon
frib,4,CCVC,
frit,4,CCVC,
frik,4,CCVC,
friv,4,CCVC,
fric,4,CCVC,
freb,4,CCVC,
fret,4,CCVC,
frek,4,CCVC,
fref,4,CCVC,
freC,4,CCVC,
fram,4,CCVC,lexicon
frag,4,CCVC,
frat,4,CCVC,lexicon
fraf,4,CCVC,
fraC,4,CCVC,
fral,4,CCVC,lexicon
frog,4,CCVC,lexicon
frod,4,CCVC,
frop,4,CCVC,
frov,4,CCVC,
froc,4,CCVC,
frol,4,CCVC,lexicon
frug,4,CCVC,
frud,4,CCVC,
frup,4,CCVC,
fruf,4,CCVC,
fruC,4,CCVC,
flim,4,CCVC,
flin,4,CCVC,
fliq,4,CCVC,
flib,4,CCVC,
flit,4,CCVC,
flik,4,CCVC,
flis,4,CCVC,
fliz,4,CCVC,
fliv,4,CCVC,
flix,4,CCVC,
flij,4,CCVC,
flic,4,CCVC,
flem,4,CCVC,
flen,4,CCVC,
fleq,4,CCVC,
fleg,4,CCVC,
fleb,4,CCVC,
flet,4,CCVC,
fles,4,CCVC,
flez,4,CCVC,
flev,4,CCVC,
flex,4,CCVC,
flej,4,CCVC,
flec,4,CCVC,
flam,4,CCVC,
flan,4,CCVC,
flaq,4,CCVC,
flag,4,CCVC,
flab,4,CCVC,
flat,4,CCVC,
flas,4,CCVC,
flaz,4,CCVC,
flaf,4,CCVC,
flax,4,CCVC,
flaj,4,CCVC,
flaC,4,CCVC,
flar,4,CCVC,lexicon
flom,4,CCVC,
flon,4,CCVC,
floq,4,CCVC,
flog,4,CCVC,
flod,4,CCVC,
flop,4,CCVC,
flos,4,CCVC,
floz,4,CCVC,
flof,4,CCVC,
flox,4,CCVC,
floj,4,CCVC,
floC,4,CCVC,
flor,4,CCVC,lexicon
flum,4,CCVC,
flun,4,CCVC,
fluq,4,CCVC,
flug,4,CCVC,
flub,4,CCVC,
flut,4,CCVC,
flus,4,CCVC,
fluz,4,CCVC,
fluf,4,CCVC,
flux,4,CCVC,
fluj,4,CCVC,
fluC,4,CCVC,
