concept,form,shape,role,uses,source,english
kiss,kisal,CVCVC,entity,2,assigned,kiss
lak,lakor,CVCVC,entity,2,assigned,lakes
laugh,falaf,CVCVC,action,2,assigned,laughed
lay,bonev,CVCVC,entity,2,assigned,lay layer
less,les,CVC,entity,2,pin,less
lick,likor,CVCVC,entity,2,assigned,licking licks
lik,lokar,CVCVC,entity,2,assigned,likes
main,manum,CVCVC,entity,2,assigned,main
map,maq,CVC,entity,2,pin,map
matter,matar,CVCVC,entity,2,assigned,matter matters
meadow,madal,CVCVC,entity,2,assigned,meadow meadows
mild,malid,CVCVC,entity,2,assigned,mild
mist,misat,CVCVC,entity,2,assigned,mist
mom,mam,CVC,entity,2,pin,mom
mov,maval,CVCVC,entity,2,assigned,moves
mystery,mizet,CVCVC,entity,2,assigned,mysteries mystery
name,namal,CVCVC,entity,2,assigned,name
newborn,nebar,CVCVC,entity,2,assigned,newborn
nice,nisal,CVCVC,entity,2,assigned,nice
none,gaC,CVC,entity,2,assigned,none
nowhere,naras,CVCVC,entity,2,assigned,nowhere
okay,yanen,CVCVC,entity,2,assigned,okay
owl,seyic,CVCVC,entity,2,assigned,owl
pat,patan,CVCVC,entity,2,assigned,pats patted
peaceful,pesaf,CVCVC,entity,2,assigned,peacefully
peak,pakal,CVCVC,entity,2,assigned,peak
peep,pepal,CVCVC,entity,2,assigned,peep peeping
per,parul,CVCVC,entity,2,assigned,per
perch,porut,CVCVC,entity,2,assigned,perches perching
perfect,kax,CVC,entity,2,pin,perfect
playful,palaf,CVCVC,entity,2,assigned,playfully
pleasant,pales,CVCVC,entity,2,assigned,pleasant
plus,balis,CVCVC,entity,2,assigned,plus
pool,polor,CVCVC,entity,2,assigned,pool
process,poC,CVC,entity,2,pin,process
proud,parad,CVCVC,entity,2,assigned,proud
provide,porov,CVCVC,entity,2,assigned,provide
push,pikes,CVCVC,action,2,assigned,push pushed
quiet,xus,CVC,feature,2,pin,quiet quietly
rare,nenol,CVCVC,feature,2,assigned,rare rarely
ray,janop,CVCVC,entity,2,assigned,rays
read,rid,CVC,action,2,pin,read reading
regard,regar,CVCVC,entity,2,assigned,regarding
region,geq,CVC,entity,2,pin,region regions
remember,remam,CVCVC,action,2,assigned,remember
remind,remin,CVCVC,entity,2,assigned,remind reminded
reptil,repit,CVCVC,entity,2,assigned,reptiles
rich,tarom,CVCVC,entity,2,assigned,rich
room,romol,CVCVC,entity,2,assigned,room rooms
round,ranad,CVCVC,entity,2,assigned,round
rub,rabal,CVCVC,entity,2,assigned,rubbing rubs
rush,lekar,CVCVC,action,2,assigned,rushing
safe,faC,CVC,entity,2,pin,safe
scorch,sakar,CVCVC,action,2,assigned,scorching
send,seg,CVC,action,2,pin,sent
sense,zox,CVC,entity,2,pin,sense senses
shelter,kazal,CVCVC,entity,2,assigned,shelter sheltered
shin,vemux,CVCVC,entity,2,assigned,shines
shore,cizub,CVCVC,entity,2,assigned,shore
side,zud,CVC,entity,2,assigned,side
slow,slor,CCVC,feature,2,assigned,slowly
smile,mikor,CVCVC,action,2,assigned,smile
soft,saft,CVCC,feature,2,assigned,soft
solve,salk,CVCC,entity,2,pin,solve
somebody,samab,CVCVC,entity,2,assigned,somebody
song,sanag,CVCVC,entity,2,assigned,song
speak,spek,CCVC,action,2,assigned,speaks spoke
special,sepas,CVCVC,feature,2,assigned,special
specy,sepik,CVCVC,entity,2,assigned,species
stand,xinot,CVCVC,action,2,assigned,stand standing
steady,sitat,CVCVC,entity,2,assigned,steady
steep,setap,CVCVC,feature,2,assigned,steep
ston,piwaj,CVCVC,entity,2,assigned,stones
straight,rinaf,CVCVC,entity,2,assigned,straight
super,sapar,CVCVC,entity,2,assigned,super
table,tabal,CVCVC,entity,2,assigned,table
teacher,tetak,CVCVC,entity,2,assigned,teacher
till,talon,CVCVC,entity,2,assigned,till
toe,dus,CVC,entity,2,assigned,toes
told,talad,CVCVC,entity,2,assigned,told
topic,tapak,CVCVC,entity,2,assigned,topic
touch,zimoc,CVCVC,action,2,assigned,touch touches
trail,giteg,CVCVC,entity,2,assigned,trail
true,tud,CVC,entity,2,pin,true
tuck,tokom,CVCVC,entity,2,assigned,tuck tucked
tunnel,tenal,CVCVC,entity,2,assigned,tunnel tunnels
uncover,nakav,CVCVC,entity,2,assigned,uncover uncovered
underneath,nudar,CVCVC,entity,2,assigned,underneath
unlike,naluk,CVCVC,entity,2,assigned,unlike
unusual,nusal,CVCVC,entity,2,assigned,unusually
variety,varat,CVCVC,entity,2,assigned,variety
variou,varul,CVCVC,entity,2,assigned,various
versu,vares,CVCVC,entity,2,assigned,versus
via,Cimes,CVCVC,entity,2,assigned,via
vibrant,vibar,CVCVC,feature,2,assigned,vibrant
village,valag,CVCVC,entity,2,assigned,village
visible,viseb,CVCVC,entity,2,assigned,visible
wander,wenid,CVCVC,action,2,assigned,wander
welcome,wolak,CVCVC,entity,2,assigned,welcome welcoming
whatever,wetav,CVCVC,entity,2,assigned,whatever
whichever,witek,CVCVC,entity,2,assigned,whichever
wilder,wolet,CVCVC,entity,2,assigned,wilderness
windy,wenut,CVCVC,entity,2,assigned,windy
word,worad,CVCVC,entity,2,assigned,word
world,woral,CVCVC,entity,2,assigned,world worlds
worry,worul,CVCVC,entity,2,assigned,worried worry
yard,yarad,CVCVC,entity,2,assigned,yard
you'd,yadal,CVCVC,entity,2,assigned,you'd
ability,bolut,CVCVC,entity,1,assigned,ability
abroad,borad,CVCVC,entity,1,assigned,abroad
absolute,basal,CVCVC,entity,1,assigned,absolutely
act,kital,CVCVC,entity,1,assigned,act
advantage,tunav,CVCVC,entity,1,assigned,advantage
ah,has,CVC,bare,1,assigned,ah
ala,lorub,CVCVC,entity,1,assigned,alas
alive,voleg,CVCVC,entity,1,assigned,alive
almost,lamas,CVCVC,entity,1,assigned,almost
amaz,mazal,CVCVC,entity,1,assigned,amazing
amazing,mazan,CVCVC,entity,1,assigned,amazingly
annoy,dolen,CVCVC,entity,1,assigned,annoy
anymore,conog,CVCVC,entity,1,assigned,anymore
anytime,natam,CVCVC,entity,1,assigned,anytime
appear,poral,CVCVC,entity,1,assigned,appearing
apple,palan,CVCVC,entity,1,assigned,apple
arid,redus,CVCVC,entity,1,assigned,arid
aroma,ramal,CVCVC,entity,1,assigned,aroma
aside,horen,CVCVC,entity,1,assigned,aside
asleep,malip,CVCVC,entity,1,assigned,asleep
attempt,tamap,CVCVC,action,1,assigned,attempted
attractive,tarek,CVCVC,entity,1,assigned,attractive
aunt,natal,CVCVC,entity,1,assigned,aunt
available,valab,CVCVC,entity,1,assigned,available
avoid,vadal,CVCVC,entity,1,assigned,avoid
awake,bud,CVC,entity,1,pin,awake
babe,xonop,CVCVC,entity,1,assigned,babe
baby,pip,CVC,entity,1,pin,baby
bam,bamal,CVCVC,entity,1,assigned,bam
bank,binok,CVCVC,entity,1,assigned,bank
barren,barin,CVCVC,feature,1,assigned,barren
basical,ponac,CVCVC,entity,1,assigned,basically
bask,zenaC,CVCVC,entity,1,assigned,basking
basketball,galig,CVCVC,entity,1,assigned,basketball
beat,Camaz,CVCVC,entity,1,assigned,beating
begun,began,CVCVC,entity,1,assigned,begun
beneficial,benif,CVCVC,entity,1,assigned,beneficial
benefit,banef,CVCVC,entity,1,assigned,benefit
benevolence,benav,CVCVC,entity,1,assigned,benevolence
birthday,barik,CVCVC,entity,1,assigned,birthday
blew,bolan,CVCVC,entity,1,assigned,blew
blink,bolin,CVCVC,entity,1,assigned,blinked
blissful,boles,CVCVC,entity,1,assigned,blissfully
blizzard,karex,CVCVC,entity,1,assigned,blizzard
bloop,balp,CVCC,bare,1,assigned,bloop
boil,balim,CVCVC,entity,1,assigned,boils
book,bikas,CVCVC,entity,1,assigned,book
boot,wenis,CVCVC,entity,1,assigned,boots
bought,fexiz,CVCVC,entity,1,assigned,bought
boundary,bon,CVC,entity,1,pin,boundary
brave,barav,CVCVC,entity,1,assigned,brave
bread,borud,CVCVC,entity,1,assigned,bread
break,barak,CVCVC,entity,1,assigned,break
brink,porin,CVCVC,entity,1,assigned,brink
broken,yemat,CVCVC,entity,1,assigned,broken
brush,sized,CVCVC,entity,1,assigned,brushes
bubbl,nikeb,CVCVC,entity,1,assigned,bubbles
bunny,jinum,CVCVC,entity,1,assigned,bunnies
bury,barom,CVCVC,entity,1,assigned,buried
buy,tiwax,CVCVC,entity,1,assigned,buy
buzz,linav,CVCVC,entity,1,assigned,buzz
canopy,konup,CVCVC,entity,1,assigned,canopy
capable,kapab,CVCVC,entity,1,assigned,capable
cat,vimoC,CVCVC,entity,1,assigned,cat
caus,digez,CVCVC,entity,1,assigned,caused
chair,tiges,CVCVC,entity,1,assigned,chairs
chang,tikez,CVCVC,entity,1,assigned,changing
chant,cimez,CVCVC,entity,1,assigned,chanting
chas,kunat,CVCVC,entity,1,assigned,chasing
chat,folag,CVCVC,entity,1,assigned,chat
check,bolem,CVCVC,entity,1,assigned,checked
chef,yonin,CVCVC,entity,1,assigned,chefs
cherry,safat,CVCVC,entity,1,assigned,cherry
chew,nakal,CVCVC,entity,1,assigned,chewing
chill,jonoc,CVCVC,entity,1,assigned,chills
chocolate,tonaC,CVCVC,entity,1,assigned,chocolate
chosen,larit,CVCVC,entity,1,assigned,chosen
city,vanol,CVCVC,entity,1,assigned,city
clash,kalak,CVCVC,entity,1,assigned,clashes
click,glik,CCVC,entity,1,pin,clicks
climat,dalin,CVCVC,entity,1,assigned,climates
cloth,kolok,CVCVC,entity,1,assigned,clothes
cluster,kolis,CVCVC,entity,1,assigned,cluster
coast,kosot,CVCVC,entity,1,assigned,coast
coastal,camaj,CVCVC,entity,1,assigned,coastal
coat,harab,CVCVC,entity,1,assigned,coat
community,kamun,CVCVC,entity,1,pin,community
company,kamap,CVCVC,entity,1,assigned,company
complete,komop,CVCVC,entity,1,assigned,completely
computation,xit,CVC,entity,1,pin,computation
condition,konud,CVCVC,entity,1,assigned,conditions
connect,kiv,CVC,entity,1,pin,connected
consider,kanas,CVCVC,entity,1,assigned,consider
construct,manik,CVCVC,entity,1,assigned,construct
cook,kakol,CVCVC,entity,1,assigned,cooking
cosy,xenuc,CVCVC,entity,1,assigned,cosy
couple,kabal,CVCVC,entity,1,assigned,couple
courage,korog,CVCVC,entity,1,assigned,courage
coyote,pasab,CVCVC,entity,1,assigned,coyote
cozy,renof,CVCVC,entity,1,assigned,cozy
cram,karam,CVCVC,entity,1,assigned,crammed
crawl,goral,CVCVC,entity,1,assigned,crawl
crazy,karez,CVCVC,entity,1,assigned,crazy
creak,karok,CVCVC,entity,1,assigned,creaking
creatur,zizeb,CVCVC,entity,1,assigned,creatures
creek,korak,CVCVC,entity,1,assigned,creek
creep,karep,CVCVC,entity,1,assigned,creeping
crevic,karev,CVCVC,entity,1,assigned,crevices
crisp,karis,CVCVC,feature,1,assigned,crisp
cros,gares,CVCVC,entity,1,assigned,crossed
cub,Cisom,CVCVC,entity,1,assigned,cubes
cup,kemar,CVCVC,entity,1,assigned,cup
dangerou,danag,CVCVC,entity,1,assigned,dangerous
dangl,tinag,CVCVC,entity,1,assigned,dangles
darkness,wigej,CVCVC,entity,1,assigned,darkness
darn,daron,CVCVC,entity,1,assigned,darn
death,zev,CVC,entity,1,assigned,death
decid,disat,CVCVC,entity,1,assigned,decides
describ,desik,CVCVC,entity,1,assigned,describing
desire,desar,CVCVC,entity,1,assigned,desire
dew,fineq,CVCVC,entity,1,assigned,dew
difference,difar,CVCVC,entity,1,assigned,difference
difficult,difak,CVCVC,feature,1,assigned,difficult
dinner,dinar,CVCVC,entity,1,assigned,dinner
dip,dipal,CVCVC,entity,1,assigned,dipping
disappear,bigax,CVCVC,entity,1,assigned,disappeared
distract,tasat,CVCVC,entity,1,assigned,distracted
diversity,dix,CVC,entity,1,pin,diversity
divid,divad,CVCVC,entity,1,assigned,divided
door,doran,CVCVC,entity,1,assigned,door
double,vub,CVC,entity,1,assigned,double
doubt,dabat,CVCVC,entity,1,assigned,doubts
drank,daren,CVCVC,entity,1,assigned,drank
dress,tares,CVCVC,entity,1,assigned,dress
droop,dorip,CVCVC,entity,1,assigned,droop
due,yimeg,CVCVC,entity,1,assigned,due
e,hunoq,CVCVC,entity,1,assigned,e
eager,gorul,CVCVC,entity,1,assigned,eagerly
eagle,golor,CVCVC,entity,1,assigned,eagle
ease,muneq,CVCVC,entity,1,assigned,ease
eight,soC,CVC,bare,1,pin,eight
elder,ledar,CVCVC,entity,1,assigned,elders
emerg,mareg,CVCVC,entity,1,assigned,emerging
endeavor,nedav,CVCVC,entity,1,assigned,endeavors
equal,kewal,CVCVC,entity,1,assigned,equally
essential,senit,CVCVC,entity,1,assigned,essential
evolution,valet,CVCVC,entity,1,assigned,evolution
evolv,valev,CVCVC,entity,1,assigned,evolved
exact,kesak,CVCVC,entity,1,assigned,exactly
excite,xunov,CVCVC,entity,1,assigned,excitement
experienc,polap,CVCVC,entity,1,assigned,experienced
extra,romaj,CVCVC,entity,1,assigned,extra
extremeley,zanof,CVCVC,entity,1,assigned,extremeley
fact,fakat,CVCVC,entity,1,assigned,fact
fair,foral,CVCVC,entity,1,assigned,fair
fat,fatal,CVCVC,entity,1,assigned,fat
fe,goris,CVCVC,entity,1,assigned,fed
fearless,forul,CVCVC,entity,1,assigned,fearlessly
feast,fesat,CVCVC,entity,1,assigned,feasting
fertile,faret,CVCVC,entity,1,assigned,fertile
fierceful,faris,CVCVC,entity,1,assigned,fiercefully
figure,figar,CVCVC,entity,1,assigned,figure
fit,fital,CVCVC,entity,1,assigned,fit
float,folot,CVCVC,action,1,assigned,floating
floppy,Comas,CVCVC,entity,1,assigned,floppy
flown,kaluq,CVCVC,entity,1,assigned,flown
fluffy,yamed,CVCVC,entity,1,assigned,fluffy
flute,falut,CVCVC,entity,1,assigned,flute
focus,fakas,CVCVC,entity,1,assigned,focused
fog,fogal,CVCVC,entity,1,assigned,fog
foothill,fosol,CVCVC,entity,1,assigned,foothills
forget,vareg,CVCVC,action,1,assigned,forgot
forgotten,vorag,CVCVC,entity,1,assigned,forgotten
form,fov,CVC,entity,1,pin,formed
fortuitious,forat,CVCVC,entity,1,assigned,fortuitiously
freeze,farez,CVCVC,entity,1,assigned,freeze
front,keg,CVC,entity,1,pin,front
frost,niyex,CVCVC,entity,1,assigned,frost
ful,janiv,CVCVC,entity,1,assigned,fully
fur,fron,CCVC,entity,1,assigned,fur
furry,tarip,CVCVC,entity,1,assigned,furry
game,gamar,CVCVC,entity,1,assigned,game
gander,ganad,CVCVC,entity,1,assigned,gander
gaz,gizen,CVCVC,entity,1,assigned,gazing
gear,goran,CVCVC,entity,1,assigned,gear
generous,genar,CVCVC,entity,1,assigned,generously
gent,genut,CVCVC,entity,1,assigned,gently
george,gareg,CVCVC,entity,1,assigned,george
giant,ganot,CVCVC,entity,1,assigned,giant
giv,gival,CVCVC,entity,1,assigned,gives
glass,galis,CVCVC,entity,1,assigned,glass
gloriou,lenaC,CVCVC,entity,1,assigned,glorious
glow,goles,CVCVC,action,1,assigned,glowing
goal,gov,CVC,entity,1,pin,goal
golden,vizot,CVCVC,feature,1,assigned,golden
gotten,gatan,CVCVC,entity,1,assigned,gotten
grace,gariz,CVCVC,entity,1,assigned,graceful
graceful,gorez,CVCVC,entity,1,assigned,gracefully
grand,cison,CVCVC,entity,1,assigned,grand
grizz,koriz,CVCVC,entity,1,assigned,grizzly
groom,henaq,CVCVC,entity,1,assigned,groomed
group,grup,CCVC,entity,1,pin,groups
growth,gorok,CVCVC,entity,1,assigned,growth
guidance,migeb,CVCVC,entity,1,assigned,guidance
hadn't,hadan,CVCVC,entity,1,assigned,hadn't
halfway,halaf,CVCVC,entity,1,assigned,halfway
halt,halat,CVCVC,entity,1,assigned,halt
hang,hanag,CVCVC,entity,1,assigned,hanging
harvest,harav,CVCVC,entity,1,assigned,harvested
haven't,havan,CVCVC,entity,1,assigned,haven't
heal,halen,CVCVC,entity,1,assigned,healed
health,halek,CVCVC,entity,1,assigned,health
heat,xag,CVC,entity,1,assigned,heat
herd,hared,CVCVC,entity,1,assigned,herd
hid,xinek,CVCVC,entity,1,assigned,hides
hil,halon,CVCVC,entity,1,assigned,hilly
hind,hinad,CVCVC,entity,1,assigned,hind
hit,hit,CVC,entity,1,pin,hit
honest,pitak,CVCVC,feature,1,assigned,honest
hopeful,hapaf,CVCVC,entity,1,assigned,hopefully
hug,hagal,CVCVC,entity,1,assigned,hug
hundred,yemib,CVCVC,entity,1,pin,hundred
idea,rimef,CVCVC,entity,1,assigned,ideas
illustrate,lisut,CVCVC,entity,1,assigned,illustrate
important,mipar,CVCVC,feature,1,assigned,important
indoor,nadar,CVCVC,entity,1,assigned,indoor
information,nifar,CVCVC,entity,1,assigned,information
innocent,nisan,CVCVC,entity,1,assigned,innocent
intelligent,sunod,CVCVC,entity,1,assigned,intelligent
jean,nukon,CVCVC,entity,1,assigned,jeans
job,junoC,CVCVC,entity,1,assigned,job
joy,djal,CCVC,entity,1,assigned,joy
joyous,dajas,CVCVC,entity,1,assigned,joyously
juicy,dajak,CVCVC,entity,1,assigned,juicy
king',kinag,CVCVC,entity,1,assigned,king's
kitchen,kitek,CVCVC,entity,1,assigned,kitchen
kite,tolat,CVCVC,entity,1,assigned,kite
knock,ginek,CVCVC,entity,1,assigned,knock
laid,lorin,CVCVC,entity,1,assigned,laid
lawn,lanal,CVCVC,entity,1,assigned,lawn
lazy,lazal,CVCVC,entity,1,assigned,lazy
le,vonaq,CVCVC,entity,1,assigned,led
lead,lad,CVC,entity,1,pin,lead
learn,laren,CVCVC,entity,1,assigned,learn
letter,comax,CVCVC,entity,1,assigned,letter
lid,jeq,CVC,entity,1,assigned,eyelid
lifetime,lifet,CVCVC,entity,1,assigned,lifetime
limit,lit,CVC,action,1,pin,limited
lin,linal,CVCVC,entity,1,assigned,lined
listen,lust,CVCC,action,1,assigned,listen
log,legal,CVCVC,entity,1,assigned,log
lonely,honek,CVCVC,entity,1,assigned,lonely
loud,masul,CVCVC,feature,1,assigned,loudly
lovely,xalar,CVCVC,feature,1,assigned,lovely
lower,lorol,CVCVC,entity,1,assigned,lower
lucky,lekin,CVCVC,entity,1,assigned,lucky
ly,palod,CVCVC,entity,1,assigned,lily
magic,maj,CVC,entity,1,pin,magic
mail,malar,CVCVC,entity,1,assigned,mail
majestic,madaj,CVCVC,entity,1,assigned,majestic
mature,ramej,CVCVC,entity,1,assigned,mature
meal,molor,CVCVC,entity,1,assigned,meal
mean,minam,CVCVC,entity,1,assigned,meaning
meat,zemuv,CVCVC,entity,1,assigned,meat
melt,malet,CVCVC,entity,1,assigned,melted
member,memab,CVCVC,entity,1,assigned,members
merry,maral,CVCVC,entity,1,assigned,merrily
mighty,garad,CVCVC,entity,1,assigned,mighty
mike,mikal,CVCVC,entity,1,assigned,mike
minut,minat,CVCVC,entity,1,assigned,minutes
mo,Cesat,CVCVC,entity,1,assigned,moment
month,monek,CVCVC,entity,1,assigned,month
moth,makul,CVCVC,entity,1,assigned,moths
mother,masar,CVCVC,entity,1,assigned,mother
mould,malad,CVCVC,entity,1,assigned,mould
mouse,mosol,CVCVC,entity,1,assigned,mice
mud,wemig,CVCVC,entity,1,assigned,mud
munch,manat,CVCVC,entity,1,assigned,munch
musty,mised,CVCVC,entity,1,assigned,musty
narrow,femoz,CVCVC,feature,1,assigned,narrow
nearby,nareb,CVCVC,entity,1,assigned,nearby
necessary,nesas,CVCVC,entity,1,assigned,necessary
nectar,nekat,CVCVC,entity,1,assigned,nectar
nibbl,nibal,CVCVC,entity,1,assigned,nibbled
noise,nosol,CVCVC,entity,1,assigned,noises
northern,baniv,CVCVC,entity,1,assigned,northern
numerou,yiwem,CVCVC,entity,1,assigned,numerous
o'clock,kolek,CVCVC,entity,1,assigned,o'clock
oasi,ninez,CVCVC,entity,1,assigned,oasis
occur,jineC,CVCVC,entity,1,assigned,occurs
odd,tikex,CVCVC,entity,1,assigned,odd
ones,nasor,CVCVC,entity,1,assigned,ones
orange,hag,CVC,entity,1,pin,orange
outcome,limec,CVCVC,entity,1,assigned,outcome
outdoor,todor,CVCVC,entity,1,assigned,outdoor
outside,tiq,CVC,relation,1,pin,outside
pace,vimef,CVCVC,entity,1,assigned,pace
pack,goloj,CVCVC,entity,1,assigned,pack
park,Cumax,CVCVC,entity,1,assigned,park
particular,barot,CVCVC,entity,1,assigned,particular
patient,worib,CVCVC,feature,1,assigned,patient
pattern,pac,CVC,entity,1,pin,patterns
peace,zam,CVC,entity,1,pin,peace
peck,yomip,CVCVC,entity,1,assigned,woodpecker
peek,namuc,CVCVC,entity,1,assigned,peeked
peel,palin,CVCVC,entity,1,assigned,peel
period,parid,CVCVC,entity,1,assigned,period
petal,joniC,CVCVC,entity,1,assigned,petals
phase,fisan,CVCVC,entity,1,assigned,phases
phone,fonol,CVCVC,entity,1,assigned,phone
picturesque,pikut,CVCVC,entity,1,assigned,picturesque
piec,talob,CVCVC,entity,1,assigned,pieces
pile,palem,CVCVC,entity,1,assigned,pile
pillow,polim,CVCVC,entity,1,assigned,pillow
pin,pinal,CVCVC,entity,1,assigned,pines
pine,vamas,CVCVC,entity,1,assigned,pine
pink,pinak,CVCVC,entity,1,assigned,pink
pitch,cenul,CVCVC,entity,1,assigned,pitched
planet,menup,CVCVC,entity,1,assigned,planet
player,xenav,CVCVC,entity,1,assigned,players
pleasure,zim,CVC,entity,1,pin,pleasure
plenty,panec,CVCVC,entity,1,assigned,plenty
pluck,zinof,CVCVC,entity,1,assigned,pluck
poem,pomol,CVCVC,entity,1,assigned,poem
polite,polot,CVCVC,entity,1,assigned,polite
pollution,palut,CVCVC,entity,1,assigned,pollution
possible,bop,CVC,entity,1,pin,possible
pot,giwen,CVCVC,entity,1,assigned,pot
pour,param,CVCVC,entity,1,assigned,pour
power,pol,CVC,entity,1,pin,powerful
prefer,paref,CVCVC,entity,1,assigned,prefer
probab,pareb,CVCVC,entity,1,assigned,probably
promis,parim,CVCVC,entity,1,assigned,promised
protect,cor,CVC,entity,1,pin,protects
prune,Cinaf,CVCVC,entity,1,assigned,prune
punctual,panak,CVCVC,entity,1,assigned,punctual
purify,parof,CVCVC,entity,1,assigned,purify
quack,kawak,CVCVC,entity,1,assigned,quack
queen,kewan,CVCVC,entity,1,assigned,queen
rainfall,ranaf,CVCVC,entity,1,assigned,rainfall
rang,ranag,CVCVC,entity,1,assigned,ranges
rather,rasar,CVCVC,entity,1,assigned,rather
realiz,ralez,CVCVC,entity,1,assigned,realizing
reason,Cep,CVC,entity,1,assigned,reason
receive,kej,CVC,entity,1,pin,receive
reduce,kisaf,CVCVC,entity,1,assigned,reduce
reflect,fez,CVC,entity,1,pin,reflecting
refresh,winec,CVCVC,entity,1,assigned,refreshing
refuse,refus,CVCVC,entity,1,assigned,refuses
replac,fimej,CVCVC,entity,1,assigned,replaced
research,dunaC,CVCVC,entity,1,assigned,research
reserve,cumoz,CVCVC,entity,1,assigned,reserve
resist,resis,CVCVC,entity,1,assigned,resist
return,xuv,CVC,entity,1,pin,returned
reveal,refal,CVCVC,entity,1,assigned,reveals
rhythm,ruC,CVC,entity,1,pin,rhythm
rhythmical,holab,CVCVC,entity,1,assigned,rhythmically
ring,rinag,CVCVC,entity,1,assigned,rings
ripen,ripen,CVCVC,entity,1,assigned,ripened
road,mogor,CVCVC,entity,1,assigned,road
root,cen,CVC,entity,1,assigned,roots
rose,xunik,CVCVC,entity,1,assigned,roses
rot,ratan,CVCVC,entity,1,assigned,rotting
routin,poroc,CVCVC,entity,1,assigned,routines
rug,rigal,CVCVC,entity,1,assigned,rugged
sacred,ralag,CVCVC,entity,1,assigned,sacred
safety,zewam,CVCVC,entity,1,assigned,safety
sage,sagal,CVCVC,entity,1,assigned,sage
salmon,galuj,CVCVC,entity,1,assigned,salmon
sandy,sanad,CVCVC,entity,1,assigned,sandy
satisfy,Careq,CVCVC,entity,1,assigned,satisfied
sauna,sinor,CVCVC,entity,1,assigned,sauna
saver,kaleg,CVCVC,entity,1,assigned,savers
scat,wegaj,CVCVC,entity,1,assigned,scatter
scenic,senik,CVCVC,entity,1,assigned,scenic
school,sotok,CVCVC,entity,1,assigned,school
scorpion,yegim,CVCVC,entity,1,assigned,scorpions
season,yix,CVC,entity,1,assigned,season
seat,jenov,CVCVC,entity,1,assigned,seated
second,sekan,CVCVC,entity,1,assigned,second
seek,sik,CVC,entity,1,pin,seek
sequence,sem,CVC,entity,1,pin,sequence
seven,hen,CVC,bare,1,pin,seven
shady,tanat,CVCVC,entity,1,assigned,shady
shall,diwaj,CVCVC,entity,1,assigned,shall
shed,cinav,CVCVC,entity,1,assigned,shed
shift,gisef,CVCVC,entity,1,assigned,shifting
shiny,hinut,CVCVC,feature,1,assigned,shiny
shirt,mined,CVCVC,entity,1,assigned,shirt
shiver,kisev,CVCVC,entity,1,assigned,shivered
sho,ximeC,CVCVC,entity,1,assigned,shoes
shop,bunac,CVCVC,action,1,assigned,shopping
shoulder,yumop,CVCVC,entity,1,assigned,shoulder
silver,yas,CVC,feature,1,pin,silver
single,sinug,CVCVC,entity,1,assigned,single
sister,siset,CVCVC,entity,1,assigned,sister
situation,soneq,CVCVC,entity,1,assigned,situation
sketch,junic,CVCVC,entity,1,assigned,sketches
skip,sikap,CVCVC,entity,1,assigned,skipped
sleepy,torof,CVCVC,entity,1,assigned,sleepy
slender,salen,CVCVC,entity,1,assigned,slender
slide,salid,CVCVC,entity,1,assigned,slide
slight,lomes,CVCVC,entity,1,assigned,slightly
slop,donef,CVCVC,entity,1,assigned,slopes
slower,solor,CVCVC,entity,1,assigned,slower
smooth,somok,CVCVC,entity,1,assigned,smooth
snak,sanek,CVCVC,entity,1,assigned,snakes
snor,zinar,CVCVC,entity,1,assigned,snores
snowy,carog,CVCVC,entity,1,assigned,snowy
snug,sunag,CVCVC,entity,1,assigned,snugly
soak,sokol,CVCVC,entity,1,assigned,soaked
sock,sikal,CVCVC,entity,1,assigned,socks
solution,lon,CVC,entity,1,pin,solutions
sooth,sakas,CVCVC,entity,1,assigned,soothing
source,sok,CVC,entity,1,pin,source
south,lut,CVC,entity,1,pin,south
space,sac,CVC,entity,1,pin,space
sparkle,halam,CVCVC,entity,1,assigned,sparkle
specimen,xanoc,CVCVC,entity,1,assigned,specimen
speck,sepak,CVCVC,entity,1,assigned,speck
spine,sipen,CVCVC,entity,1,assigned,spine
spiral,resic,CVCVC,entity,1,assigned,spiral
spot,sapat,CVCVC,entity,1,assigned,spots
spread,ziwab,CVCVC,entity,1,assigned,spread
sprinkle,ganup,CVCVC,entity,1,assigned,sprinkle
squeak,Cemoz,CVCVC,entity,1,assigned,squeaking
squirrel,kanut,CVCVC,entity,1,assigned,squirrels
stare,wikox,CVCVC,entity,1,assigned,stare
step,teg,CVC,entity,1,pin,step
stick,sitak,CVCVC,entity,1,assigned,stick
stir,fizen,CVCVC,entity,1,assigned,stir
stray,yines,CVCVC,entity,1,assigned,strayed
strength,gruk,CCVC,entity,1,pin,strength
stretch,sinaC,CVCVC,entity,1,assigned,stretch
strong,dux,CVC,feature,1,assigned,strong
stuff,sataf,CVCVC,entity,1,assigned,stuff
subdivid,sabad,CVCVC,entity,1,assigned,subdividing
success,nimeC,CVCVC,entity,1,assigned,success
suck,jimad,CVCVC,entity,1,assigned,suck
sugar,punoc,CVCVC,entity,1,assigned,sugar
sundown,zaned,CVCVC,entity,1,assigned,sundown
support,rumes,CVCVC,entity,1,assigned,support
sure,sarul,CVCVC,entity,1,assigned,sure
surface,ruk,CVC,entity,1,pin,surface
swum,sawam,CVCVC,entity,1,assigned,swum
tail,hax,CVC,entity,1,assigned,tail
talkative,zunik,CVCVC,entity,1,assigned,talkative
tantaliz,goliz,CVCVC,entity,1,assigned,tantalized
task,Coraq,CVCVC,entity,1,assigned,task
