english,base,build,form,uses,note
planted,plant,plant + past,blanpas,1,
bunnies,bunny,bunny + plural,gewakmis,1,"stem guessed, review"
wondered,wonder,wonder + past,wenadpas,1,
healed,heal,heal + past,halenpas,1,"stem guessed, review"
replaced,replac,replac + past,ziwempas,1,"stem guessed, review"
oceans,ocean,ocean + plural,sonolmis,1,
hanging,hang,hang + doing,hanagreC,1,"stem guessed, review"
covers,cover,cover,kavar,1,
larger,large,large + more,laraglib,1,
creating,create,create + doing,namreC,1,
protects,protect,protect + plural,borutmis,1,"stem guessed, review"
rarely,rare,rare + manner,barobhiq,1,
allowing,allow,allow + doing,cizotreC,1,
suns,sun,sun + plural,snalmis,1,
keeping,keep,keep + doing,kepalwareC,1,
dreaming,dream,dream + doing,daremreC,1,
opening,open,open + doing,ponreC,1,
quietly,quiet,quiet + manner,giwathiq,1,
tucked,tuck,tuck + past,tokompas,1,
chipper,chip,chip + more,tokoslib,1,"stem guessed, review"
emerging,emerg,emerg + doing,maregreC,1,"stem guessed, review"
peeping,peep,peep + doing,pepalwareC,1,
witness,wit,wit + state,witensut,1,"stem guessed, review"
unfolding,unfold,unfold + doing,nafalwareC,1,"stem guessed, review"
warmly,warm,warm + manner,cighiq,1,
chanting,chant,chant + doing,yiwoqreC,1,"stem guessed, review"
perching,perch,perch + doing,boratreC,1,"stem guessed, review"
settling,settle,settle + doing,nekatreC,1,
glances,glanc,glanc + plural,galanmis,1,"stem guessed, review"
tantalized,tantaliz,tantaliz + past,tanatpas,1,"stem guessed, review"
seated,seat,seat + past,yowunpas,1,"stem guessed, review"
tallest,tall,tall + most,talarmaz,1,
pines,pin,pin + plural,golidmis,1,"stem guessed, review"
you're,you,you,gin,1,
connected,connect,connect + past,kinagpas,1,"stem guessed, review"
inspired,inspir,inspir + past,nisaplpas,1,"stem guessed, review"
surrounds,surround,surround + plural,saranmis,1,
watchful,watch,watch + full,viflfal,1,
minded,mind,mind + past,manpas,1,
feasting,feast,feast + doing,fesatreC,1,"stem guessed, review"
ideas,idea,idea + plural,xizopmis,1,"stem guessed, review"
problems,problem,problem + plural,parabmis,1,
solutions,solution,solution + plural,hiyeqmis,1,"stem guessed, review"
tunnels,tunnel,tunnel + plural,tenalmis,1,
generously,generous,generous + manner,genarhiq,1,"stem guessed, review"
uncovered,uncover,uncover + past,nakavpas,1,
roots,root,root + plural,rotmis,1,"stem guessed, review"
nibbled,nibbl,nibbl + past,nibalpas,1,"stem guessed, review"
areas,area,area + plural,karafmis,1,
explored,explore,explore + past,loruxpas,1,
experienced,experienc,experienc + past,jugezpas,1,"stem guessed, review"
restful,rest,rest + full,restfal,1,
licking,lick,lick + doing,likulwareC,1,"stem guessed, review"
rubbing,rub,rub + doing,rabalwareC,1,"stem guessed, review"
groomed,groom,groom + past,gorompas,1,"stem guessed, review"
rugged,rug,rug + past,ragulpas,1,"stem guessed, review"
chefs,chef,chef + plural,limatmis,1,"stem guessed, review"
creeping,creep,creep + doing,karepreC,1,"stem guessed, review"
crevices,crevic,crevic + plural,ziwomlmis,1,"stem guessed, review"
facing,face,face + doing,fasalwareC,1,
traversing,travers,travers + doing,CidekreC,1,"stem guessed, review"
woodpeckers,woodpecker,woodpecker + plural,tarhuzolmis,1,
endeavors,endeavor,endeavor + plural,nedavmis,1,"stem guessed, review"
mysteries,mystery,mystery + plural,misedmis,1,
worlds,world,world + plural,woralmis,1,
starts,start,start,zot,1,
patterns,pattern,pattern + plural,yiwetmis,1,"stem guessed, review"
clicks,click,click + plural,kolikmis,1,"stem guessed, review"
masters,master,master + plural,masatmis,1,
elders,elder,elder + plural,yuwaxmis,1,"stem guessed, review"
spots,spot,spot + plural,sapatmis,1,"stem guessed, review"
focused,focus,focus + past,fakaspas,1,"stem guessed, review"
satisfied,satisfy,satisfy + past,Coleqpas,1,"stem guessed, review"
scatter,scat,scat + more,zikatlib,1,"stem guessed, review"
weeds,weed,weed + plural,wodonmis,1,"stem guessed, review"
dipping,dip,dip + doing,dipalwareC,1,"stem guessed, review"
shifting,shift,shift + doing,kisafreC,1,"stem guessed, review"
distracted,distract,distract + past,tasatpas,1,"stem guessed, review"
seeing,see,see + doing,ximreC,1,
alas,ala,ala + plural,xuyivmis,1,"stem guessed, review"
rests,rest,rest + plural,restmis,1,
phases,phase,phase + plural,fesamlmis,1,"stem guessed, review"
subdividing,subdivid,subdivid + doing,sabadreC,1,"stem guessed, review"
unravelled,unravel,unravel + past,wexizpas,1,"stem guessed, review"
sketches,sketch,sketch + plural,sikadmis,1,"stem guessed, review"
fortuitiously,fortuitious,fortuitious + manner,paledhiq,1,"stem guessed, review"
sheltered,shelter,shelter + past,kazalpas,1,
walls,wall,wall + plural,wolunmis,1,"stem guessed, review"
woolly,wool,wool + manner,wolomhiq,1,"stem guessed, review"
burrowed,burrow,burrow + past,boronpas,1,
snugly,snug,snug + manner,cisamhiq,1,"stem guessed, review"
eyelids,eyelid,eyelid + plural,haqnexmis,1,
senses,sense,sense + plural,tekaxmis,1,
eventful,event,event + full,venatfal,1,"stem guessed, review"
thoughts,thought,thought + plural,ciyevmis,1,
sleeping,sleep,sleep + doing,slepreC,1,
awaits,await,await + plural,mizecmis,1,
