root_a,english_a,root_b,english_b,distance,placed
blep,anticipate,plip,tread,2,neither hand placed
spab,anus,stad,foresee,2,neither hand placed
spab,anus,stap,gulp,2,neither hand placed
spab,anus,spep,flinch,2,neither hand placed
spab,anus,sped,hover,2,neither hand placed
spab,anus,steb,inquisitive,2,neither hand placed
spab,anus,stob,acoustic,2,neither hand placed
spab,anus,spod,bland,2,neither hand placed
segz,anxious,seks,recommend,2,neither hand placed
segz,anxious,zigz,sheep,2,neither hand placed
segz,anxious,zagz,pile,2,neither hand placed
nark,any,norg,allow,2,one hand placed
nark,any,nolk,pack,2,one hand placed
sad,anyone,zat,lady,2,neither hand placed
sad,anyone,zab,public,2,one hand placed
sad,anyone,seb,doctor,2,neither hand placed
sad,anyone,zed,fun,2,neither hand placed
pep,anything,tet,signal,2,one hand placed
pep,anything,pib,from,2,neither hand placed
pep,anything,pit,pure,2,one hand placed
pep,anything,tip,step,2,one hand placed
prat,apart,trap,trap,2,both hand placed
prat,apart,pred,rinse,2,one hand placed
prat,apart,tret,trait,2,both hand placed
prat,apart,trot,amp,2,one hand placed
prat,apart,prod,remedy,2,one hand placed
fluv,apathy,fruf,adhere,2,neither hand placed
fluv,apathy,vruv,enroll,2,neither hand placed
fluv,apathy,frov,balm,2,neither hand placed
heps,ape,hits,strip,2,one hand placed
smab,apparatus,snap,snap,2,one hand placed
smab,apparatus,snad,twirl,2,neither hand placed
smab,apparatus,smed,compose,2,neither hand placed
smab,apparatus,smep,fossil,2,neither hand placed
smab,apparatus,sneb,starch,2,neither hand placed
smab,apparatus,smod,construct,2,neither hand placed
smab,apparatus,smop,gloss,2,neither hand placed
smab,apparatus,snob,singular,2,neither hand placed
wobz,apparent,wudz,roar,2,neither hand placed
fleC,appear,frev,seam,2,one hand placed
fleC,appear,fliv,deity,2,one hand placed
fleC,appear,fliz,simultaneous,2,one hand placed
dedj,appendage,detx,survive,2,one hand placed
dedj,appendage,tidj,pipe,2,one hand placed
dedj,appendage,tadj,scratch,2,one hand placed
brag,appendix,drak,harm,2,one hand placed
brag,appendix,plag,oracle,2,neither hand placed
brag,appendix,dreg,drag,2,one hand placed
brag,appendix,drog,idle,2,neither hand placed
xagz,appetite,xaks,dial,2,neither hand placed
volp,applause,vort,alike,2,neither hand placed
volp,applause,vorb,ever,2,one hand placed
bodj,apple,botx,pity,2,neither hand placed
bodj,apple,dadj,chocolate,2,neither hand placed
bodj,apple,padj,edge,2,one hand placed
bodj,apple,dudj,giant,2,neither hand placed
bodj,apple,pudj,sport,2,neither hand placed
vend,apply,vint,toe,2,neither hand placed
txat,appoint,txed,contrast,2,neither hand placed
txat,appoint,txep,phew,2,neither hand placed
txat,appoint,txod,genesis,2,neither hand placed
txat,appoint,txop,span,2,neither hand placed
leb,appreciate,rep,relax,2,neither hand placed
leb,appreciate,lip,chain,2,one hand placed
leb,appreciate,lid,lead,2,one hand placed
leb,appreciate,rab,ride,2,one hand placed
peft,approach,tift,effort,2,neither hand placed
peft,approach,taft,potential,2,neither hand placed
snoz,approximate,snuC,keel,2,neither hand placed
steq,arbitrary,stin,elastic,2,neither hand placed
steq,arbitrary,stim,steam,2,one hand placed
hark,arc,horg,product,2,one hand placed
gruq,arch,kluq,ointment,2,neither hand placed
snab,archive,snep,clash,2,neither hand placed
snab,archive,sned,stair,2,neither hand placed
snab,archive,snop,germ,2,neither hand placed
snab,archive,snod,paradox,2,neither hand placed
mint,area,nind,address,2,neither hand placed
mint,area,nent,willing,2,neither hand placed
glib,arena,klid,expansion,2,neither hand placed
glib,arena,klip,giggle,2,neither hand placed
glib,arena,grid,inspire,2,neither hand placed
glib,arena,kleb,allergy,2,neither hand placed
glib,arena,greb,swift,2,neither hand placed
smex,arithmetic,snej,harass,2,neither hand placed
smex,arithmetic,snec,scold,2,neither hand placed
smex,arithmetic,snix,crease,2,neither hand placed
smex,arithmetic,smij,muzzle,2,neither hand placed
smex,arithmetic,smic,stamina,2,neither hand placed
smex,arithmetic,snax,feud,2,neither hand placed
marb,arm,nalb,bridge,2,neither hand placed
marb,arm,narp,faith,2,neither hand placed
marb,arm,nard,shirt,2,neither hand placed
marb,arm,norb,belong,2,neither hand placed
marb,arm,molb,ow,2,neither hand placed
poz,around,tos,task,2,one hand placed
poz,around,taz,today,2,neither hand placed
poz,around,tuz,because,2,one hand placed
hent,arrange,hind,dough,2,neither hand placed
ribz,arrogant,rips,heir,2,neither hand placed
jift,arrow,xeft,certificate,2,neither hand placed
djun,arson,txun,sneeze,2,one hand placed
meqk,art,niqk,hall,2,neither hand placed
meqk,art,naqk,plus,2,neither hand placed
yubz,artery,yups,choir,2,neither hand placed
spom,artifact,ston,stone,2,one hand placed
spom,artifact,stoq,unravel,2,neither hand placed
spom,artifact,stam,ignite,2,neither hand placed
spom,artifact,spun,boast,2,neither hand placed
spom,artifact,spuq,clitoris,2,neither hand placed
spom,artifact,stum,murmur,2,neither hand placed
naz,as,nes,nice,2,both hand placed
prax,ash,trex,quota,2,one hand placed
prax,ash,trox,chord,2,one hand placed
xent,ash,xind,chart,2,neither hand placed
sip,asleep,zep,cut,2,one hand placed
vas,aspect,vez,sister,2,one hand placed
vas,aspect,voz,voice,2,both hand placed
djeq,assemble,djin,gene,2,one hand placed
djeq,assemble,djim,lime,2,neither hand placed
sur,assert,zul,animal,2,both hand placed
sur,assert,zor,cool,2,one hand placed
druq,assign,trun,mosquito,2,neither hand placed
druq,assign,troq,surge,2,neither hand placed
flav,assimilate,fraf,fizz,2,neither hand placed
flav,assimilate,vrav,traverse,2,neither hand placed
flav,assimilate,fleC,appear,2,one hand placed
flav,assimilate,flef,diagonal,2,neither hand placed
flav,assimilate,frev,seam,2,neither hand placed
flav,assimilate,frov,balm,2,neither hand placed
flav,assimilate,flof,sheath,2,neither hand placed
golf,assume,kolv,behave,2,neither hand placed
golf,assume,gorv,lift,2,neither hand placed
golf,assume,korf,version,2,neither hand placed
golf,assume,kalf,humor,2,neither hand placed
txaq,assurance,txen,blaze,2,neither hand placed
txaq,assurance,txem,tack,2,neither hand placed
txaq,assurance,txom,pelvis,2,neither hand placed
txaq,assurance,txon,render,2,neither hand placed
hat,at,hop,hope,2,both hand placed
lodj,athlete,lotx,tutor,2,neither hand placed
lodj,athlete,radj,skeleton,2,neither hand placed
lodj,athlete,rudj,weasel,2,neither hand placed
fugz,atmosphere,fuks,daylight,2,neither hand placed
fugz,atmosphere,vogz,spoil,2,neither hand placed
tom,atom,tuq,type,2,both hand placed
tedj,attempt,tetx,ordinary,2,neither hand placed
setx,attend,zitx,struggle,2,neither hand placed
setx,attend,zatx,missile,2,neither hand placed
biks,attitude,peks,horn,2,neither hand placed
biks,attitude,deks,style,2,neither hand placed
skev,attribute,skif,barley,2,neither hand placed
spaq,audit,stam,ignite,2,neither hand placed
spaq,audit,stan,invoke,2,neither hand placed
spaq,audit,steq,arbitrary,2,neither hand placed
spaq,audit,spem,scorn,2,neither hand placed
spaq,audit,spen,snort,2,neither hand placed
spaq,audit,spom,artifact,2,neither hand placed
spaq,audit,spon,poise,2,neither hand placed
spaq,audit,stoq,unravel,2,neither hand placed
trof,aura,truv,rodent,2,neither hand placed
jidj,author,jitx,whisper,2,neither hand placed
jidj,author,xedj,penalty,2,neither hand placed
Cagz,automatic,cegz,extend,2,neither hand placed
Cagz,automatic,vegz,rear,2,neither hand placed
Cagz,automatic,jegz,shiny,2,neither hand placed
Cagz,automatic,zegz,thunder,2,neither hand placed
Cagz,automatic,zogz,mob,2,neither hand placed
Cagz,automatic,cogz,platform,2,neither hand placed
Cagz,automatic,jogz,protocol,2,neither hand placed
Cagz,automatic,vogz,spoil,2,neither hand placed
grab,autumn,krad,abyss,2,neither hand placed
grab,autumn,klab,sparkle,2,neither hand placed
grab,autumn,grep,grape,2,one hand placed
grab,autumn,grod,fasten,2,neither hand placed
bisk,available,desk,alarm,2,neither hand placed
bisk,available,pesk,refuse,2,neither hand placed
vraj,average,vrex,feces,2,one hand placed
vraj,average,vrox,width,2,one hand placed
snez,aversion,sniC,alto,2,neither hand placed
duf,await,tuc,emotion,2,one hand placed
bud,awake,dub,aware,2,both hand placed
bud,awake,pub,hear,2,one hand placed
bud,awake,pod,free,2,both hand placed
yad,away,yeb,road,2,one hand placed
yad,away,yob,fault,2,one hand placed
brex,awe,drec,gender,2,neither hand placed
brex,awe,drej,jumbo,2,neither hand placed
brex,awe,plex,tremble,2,neither hand placed
brex,awe,prix,coral,2,neither hand placed
brex,awe,drix,direction,2,one hand placed
brex,awe,prax,ash,2,one hand placed
brex,awe,drax,fright,2,neither hand placed
marf,awful,nalf,cook,2,neither hand placed
marf,awful,narv,river,2,one hand placed
marf,awful,molf,dare,2,neither hand placed
marf,awful,morv,maybe,2,one hand placed
marf,awful,norf,suspect,2,neither hand placed
sigz,awkward,siks,cotton,2,neither hand placed
sigz,awkward,zegz,thunder,2,neither hand placed
vov,axis,vuf,sick,2,one hand placed
beb,baby,pep,anything,2,one hand placed
beb,baby,ded,flag,2,one hand placed
beb,baby,ped,people,2,one hand placed
beb,baby,dep,self,2,one hand placed
beb,baby,dib,connect,2,both hand placed
beb,baby,pib,from,2,one hand placed
beb,baby,bip,output,2,both hand placed
beb,baby,dab,include,2,one hand placed
gok,back,kak,turn,2,one hand placed
gok,back,gug,often,2,one hand placed
brak,bacteria,drag,cramp,2,one hand placed
brak,bacteria,prag,pig,2,both hand placed
brak,bacteria,drek,cradle,2,one hand placed
brak,bacteria,drok,tug,2,one hand placed
fut,bad,vup,full,2,one hand placed
fut,bad,vot,vote,2,both hand placed
rod,bag,rut,tough,2,neither hand placed
blet,bait,bred,braid,2,both hand placed
blet,bait,pled,reflex,2,one hand placed
blet,bait,dret,transmit,2,one hand placed
blet,bait,blip,inspect,2,one hand placed
blet,bait,brit,orbit,2,both hand placed
blet,bait,blid,prominent,2,one hand placed
blet,bait,brat,big,2,both hand placed
ceft,bake,sift,jet,2,neither hand placed
ceft,bake,fift,privilege,2,neither hand placed
ceft,bake,xift,shift,2,one hand placed
ceft,bake,faft,naughty,2,neither hand placed
ceft,bake,xaft,repair,2,neither hand placed
ceft,bake,saft,soft,2,one hand placed
halv,balance,harf,host,2,neither hand placed
halv,balance,horv,ace,2,neither hand placed
halv,balance,holf,escort,2,neither hand placed
xarf,balloon,xolf,perspective,2,neither hand placed
xarf,balloon,xorv,wig,2,neither hand placed
frov,balm,vrof,spar,2,neither hand placed
frov,balm,vrav,traverse,2,neither hand placed
frov,balm,fruf,adhere,2,neither hand placed
frov,balm,vruv,enroll,2,neither hand placed
djex,ban,txex,decay,2,neither hand placed
djex,ban,djic,ratio,2,neither hand placed
djex,ban,djij,valid,2,neither hand placed
fitx,banana,vetx,tire,2,neither hand placed
mups,band,nuts,grace,2,neither hand placed
beq,bang,den,pair,2,one hand placed
beq,bang,pen,very,2,one hand placed
beq,bang,bin,bind,2,one hand placed
beq,bang,piq,request,2,both hand placed
beq,bang,bim,target,2,both hand placed
beq,bang,daq,lend,2,one hand placed
beq,bang,paq,response,2,both hand placed
lar,bank,ral,raw,2,one hand placed
lar,bank,ror,bob,2,neither hand placed
lar,bank,lol,proud,2,neither hand placed
las,bank,raz,resonate,2,one hand placed
las,bank,lez,card,2,neither hand placed
las,bank,res,honor,2,neither hand placed
las,bank,ros,force,2,one hand placed
led,bar,ret,after,2,one hand placed
led,bar,reb,stick,2,neither hand placed
led,bar,lit,light,2,one hand placed
led,bar,rid,read,2,one hand placed
led,bar,lib,surprise,2,neither hand placed
led,bar,rad,train,2,neither hand placed
barb,barb,parp,perpendicular,2,both hand placed
barb,barb,dalb,pink,2,one hand placed
barb,barb,pard,pod,2,both hand placed
barb,barb,palb,shine,2,one hand placed
barb,barb,dard,shock,2,one hand placed
barb,barb,borp,burp,2,both hand placed
barb,barb,dorb,dollar,2,one hand placed
barb,barb,porb,exchange,2,one hand placed
barb,barb,bolb,library,2,one hand placed
barb,barb,bord,royal,2,one hand placed
xold,bare,xorb,inn,2,neither hand placed
xold,bare,xort,sure,2,one hand placed
vars,bargain,vorz,rage,2,neither hand placed
vars,bargain,vols,whale,2,neither hand placed
smaC,barren,snac,disrupt,2,neither hand placed
smaC,barren,snav,knuckle,2,neither hand placed
smaC,barren,snaj,rupture,2,neither hand placed
smaC,barren,snaz,sac,2,neither hand placed
smaC,barren,smev,carcass,2,neither hand placed
smaC,barren,smej,feat,2,neither hand placed
smaC,barren,smec,peer,2,neither hand placed
smaC,barren,sneC,swarm,2,neither hand placed
smaC,barren,smez,tumble,2,neither hand placed
smaC,barren,snoC,anomaly,2,neither hand placed
smaC,barren,smoz,cleanse,2,neither hand placed
smaC,barren,smoc,density,2,neither hand placed
smaC,barren,smov,extravagant,2,neither hand placed
smaC,barren,smoj,sublime,2,neither hand placed
glof,barrier,grov,obtain,2,neither hand placed
glof,barrier,klov,potassium,2,neither hand placed
glof,barrier,graf,serum,2,neither hand placed
glof,barrier,gruf,continent,2,neither hand placed
glof,barrier,gluv,norm,2,neither hand placed
gont,base,kond,stake,2,neither hand placed
gont,base,kunt,blast,2,neither hand placed
gont,base,gund,social,2,neither hand placed
bes,base,dez,dynamic,2,both hand placed
bes,base,pez,these,2,one hand placed
bes,base,biz,intense,2,both hand placed
bes,base,dis,number,2,both hand placed
bes,base,pas,space,2,both hand placed
bes,base,das,understand,2,both hand placed
varf,basis,volf,immediate,2,neither hand placed
varf,basis,vorv,shrink,2,neither hand placed
frux,bask,vrox,width,2,neither hand placed
jarf,bass,xarv,shrimp,2,neither hand placed
jarf,bass,xalf,tension,2,neither hand placed
jarf,bass,jolf,anchor,2,neither hand placed
jarf,bass,xorf,ceiling,2,neither hand placed
jarf,bass,jorv,racket,2,neither hand placed
batx,bat,petx,gray,2,one hand placed
batx,bat,detx,survive,2,one hand placed
batx,bat,dotx,period,2,one hand placed
blam,bathe,braq,amuse,2,neither hand placed
blam,bathe,plaq,habitat,2,neither hand placed
blam,bathe,dram,human,2,one hand placed
blam,bathe,plan,plan,2,one hand placed
blam,bathe,bran,predator,2,neither hand placed
blam,bathe,blen,colon,2,neither hand placed
blam,bathe,brem,harp,2,neither hand placed
blam,bathe,plem,moth,2,neither hand placed
blam,bathe,plom,gauge,2,neither hand placed
blam,bathe,brom,mineral,2,neither hand placed
blam,bathe,bloq,sphere,2,neither hand placed
blam,bathe,blon,whiff,2,neither hand placed
veps,battery,vits,twist,2,neither hand placed
balb,bay,barp,central,2,neither hand placed
balb,bay,darb,follow,2,one hand placed
balb,bay,parb,swell,2,neither hand placed
balb,bay,dald,wise,2,neither hand placed
balb,bay,dolb,birth,2,neither hand placed
balb,bay,borb,intend,2,neither hand placed
balb,bay,polb,pet,2,neither hand placed
balb,bay,bolp,steady,2,neither hand placed
baq,be,pam,pray,2,both hand placed
baq,be,dan,the,2,both hand placed
baq,be,pan,yes,2,both hand placed
baq,be,deq,map,2,one hand placed
baq,be,peq,pay,2,both hand placed
baq,be,bon,graph,2,one hand placed
baq,be,poq,guy,2,one hand placed
molp,beach,mort,camera,2,neither hand placed
molp,beach,nolb,fill,2,neither hand placed
molp,beach,morb,pal,2,neither hand placed
molp,beach,nalp,practice,2,neither hand placed
spef,bead,stif,intestine,2,neither hand placed
spef,bead,spiv,prompt,2,neither hand placed
spef,bead,staf,stuff,2,one hand placed
bruk,beak,drug,tendency,2,one hand placed
bruk,beak,drok,tug,2,one hand placed
blim,beam,briq,bring,2,both hand placed
blim,beam,plin,discipline,2,both hand placed
blim,beam,drim,dream,2,both hand placed
blim,beam,brin,scorpion,2,one hand placed
blim,beam,pliq,siege,2,one hand placed
blim,beam,brem,harp,2,one hand placed
blim,beam,plem,moth,2,one hand placed
Colv,bean,zorv,activity,2,neither hand placed
Colv,bean,jolf,anchor,2,neither hand placed
Colv,bean,corv,cloth,2,neither hand placed
Colv,bean,colf,comb,2,neither hand placed
Colv,bean,Corf,dispatch,2,neither hand placed
Colv,bean,volf,immediate,2,neither hand placed
Colv,bean,jorv,racket,2,neither hand placed
Colv,bean,vorv,shrink,2,neither hand placed
Colv,bean,calv,bluff,2,neither hand placed
Colv,bean,zalv,dissolve,2,one hand placed
Colv,bean,jalv,ego,2,neither hand placed
Colv,bean,valv,evolve,2,one hand placed
bist,beast,disp,access,2,one hand placed
bist,beast,pisp,chuck,2,one hand placed
bist,beast,dest,example,2,one hand placed
bist,beast,pest,paste,2,both hand placed
bit,beat,did,deed,2,both hand placed
bit,beat,pip,individual,2,both hand placed
bit,beat,dip,tree,2,both hand placed
bat,beauty,dad,content,2,both hand placed
bat,beauty,bed,bite,2,both hand placed
bat,beauty,bep,left,2,both hand placed
bat,beauty,bod,a,2,one hand placed
bat,beauty,dot,down,2,both hand placed
bat,beauty,bop,with,2,one hand placed
fest,bee,vesp,invisible,2,neither hand placed
fest,bee,vist,visit,2,one hand placed
fest,bee,fisp,wizard,2,neither hand placed
fest,bee,vast,vast,2,one hand placed
brip,beep,drit,catalog,2,one hand placed
brip,beep,plip,tread,2,one hand placed
brip,beep,drep,sarcasm,2,one hand placed
mimp,beer,mint,area,2,neither hand placed
mimp,beer,nemp,conversation,2,neither hand placed
tor,before,tul,tool,2,both hand placed
mork,begin,norg,allow,2,neither hand placed
mork,begin,nolk,pack,2,neither hand placed
mork,begin,nark,any,2,one hand placed
kolv,behave,korf,version,2,neither hand placed
kolv,behave,kurv,curve,2,one hand placed
pof,believe,taf,good,2,one hand placed
pof,believe,puv,another,2,neither hand placed
pof,believe,tuf,matter,2,neither hand placed
gent,bell,kend,cheat,2,neither hand placed
gent,bell,gind,lonely,2,neither hand placed
gent,bell,kint,modern,2,neither hand placed
dodj,below,dotx,period,2,neither hand placed
dodj,below,tadj,scratch,2,neither hand placed
dodj,below,tudj,bound,2,neither hand placed
bend,bend,dent,demon,2,one hand placed
bend,bend,pent,paint,2,both hand placed
bend,bend,dind,grant,2,one hand placed
bend,bend,bint,grave,2,one hand placed
bend,bend,pind,plain,2,one hand placed
bend,bend,dand,punch,2,one hand placed
bend,bend,pand,upon,2,both hand placed
vodz,beneath,vots,visual,2,neither hand placed
vodz,beneath,vubz,harbor,2,neither hand placed
sint,benefit,zind,leather,2,neither hand placed
sint,benefit,zent,citizen,2,neither hand placed
glaf,berry,kraf,comfort,2,one hand placed
glaf,berry,grac,jaw,2,one hand placed
glaf,berry,klav,pimple,2,neither hand placed
glaf,berry,gref,contribute,2,neither hand placed
glaf,berry,glev,dent,2,neither hand placed
glaf,berry,klef,feeble,2,neither hand placed
glaf,berry,glov,fin,2,neither hand placed
glaf,berry,klof,gel,2,neither hand placed
glaf,berry,grof,layer,2,neither hand placed
sadj,beside,satx,such,2,both hand placed
sadj,beside,zedj,wicked,2,one hand placed
vop,bet,vut,till,2,neither hand placed
xedz,betray,xets,cart,2,neither hand placed
xedz,betray,xibz,scan,2,neither hand placed
nump,beyond,nunt,form,2,neither hand placed
smim,bias,snin,crumble,2,neither hand placed
smim,bias,sniq,explicit,2,neither hand placed
smim,bias,snem,contradict,2,neither hand placed
brat,big,drap,drop,2,both hand placed
brat,big,drad,put,2,both hand placed
brat,big,prad,whim,2,one hand placed
brat,big,bred,braid,2,both hand placed
brat,big,dret,transmit,2,one hand placed
brat,big,brod,bone,2,both hand placed
brat,big,drot,orb,2,one hand placed
xaz,bill,xes,hospital,2,neither hand placed
xar,bill,xol,show,2,one hand placed
bin,bind,pim,permeate,2,one hand placed
bin,bind,piq,request,2,one hand placed
bin,bind,dim,you,2,one hand placed
bin,bind,den,pair,2,neither hand placed
bin,bind,pen,very,2,neither hand placed
bax,bird,dac,death,2,both hand placed
bax,bird,pac,path,2,both hand placed
dolb,birth,talb,cap,2,neither hand placed
bed,bite,peb,only,2,one hand placed
bed,bite,bit,beat,2,both hand placed
bed,bite,did,deed,2,both hand placed
bed,bite,bib,we,2,both hand placed
bed,bite,dad,content,2,both hand placed
vump,bitter,vunt,conduct,2,neither hand placed
zalf,blade,zarv,goose,2,neither hand placed
zalf,blade,zolv,award,2,neither hand placed
moks,blame,nuks,ugly,2,neither hand placed
spod,bland,stob,acoustic,2,neither hand placed
spod,bland,stot,eloquent,2,neither hand placed
spod,bland,stad,foresee,2,neither hand placed
spod,bland,spub,insure,2,neither hand placed
spod,bland,stud,sad,2,one hand placed
folf,blank,vorf,absolute,2,neither hand placed
folf,blank,volc,affect,2,neither hand placed
folf,blank,volv,creep,2,neither hand placed
folf,blank,forv,retire,2,neither hand placed
folf,blank,valf,weed,2,neither hand placed
txen,blaze,txiq,lice,2,neither hand placed
txen,blaze,txim,twitch,2,neither hand placed
falt,bleed,vart,clay,2,neither hand placed
falt,bleed,farp,impress,2,neither hand placed
falt,bleed,vald,needle,2,neither hand placed
falt,bleed,fard,random,2,neither hand placed
falt,bleed,valp,rocket,2,neither hand placed
falt,bleed,folp,dock,2,neither hand placed
falt,bleed,fold,fold,2,one hand placed
falt,bleed,fort,fort,2,one hand placed
falt,bleed,volt,volt,2,one hand placed
frof,blemish,vrov,robust,2,neither hand placed
frof,blemish,vraf,acorn,2,neither hand placed
frof,blemish,fruv,accumulate,2,neither hand placed
frof,blemish,vruf,mope,2,neither hand placed
godj,bless,gotx,suck,2,neither hand placed
godj,bless,kadj,salad,2,neither hand placed
godj,bless,kudj,fence,2,neither hand placed
nald,blind,nolb,fill,2,neither hand placed
nald,blind,nord,order,2,one hand placed
rarv,blink,rolv,efficient,2,neither hand placed
rarv,blink,rorf,restore,2,neither hand placed
djan,bliss,txan,educate,2,neither hand placed
djan,bliss,djeq,assemble,2,neither hand placed
djan,bliss,djem,lever,2,neither hand placed
djan,bliss,djoq,defy,2,neither hand placed
djan,bliss,djom,sculpture,2,neither hand placed
flaf,bloat,vraf,acorn,2,neither hand placed
flaf,bloat,frav,compress,2,neither hand placed
flaf,bloat,flev,depict,2,neither hand placed
flaf,bloat,fref,sorcery,2,neither hand placed
flaf,bloat,frof,blemish,2,neither hand placed
flaf,bloat,flov,critique,2,neither hand placed
blab,blob,drab,dwell,2,one hand placed
blab,blob,brad,ingredient,2,one hand placed
blab,blob,plad,parliament,2,one hand placed
blab,blob,prab,probable,2,both hand placed
blab,blob,blep,anticipate,2,one hand placed
blab,blob,bled,leisure,2,one hand placed
blab,blob,pleb,scroll,2,one hand placed
blab,blob,brob,decimal,2,both hand placed
blab,blob,blod,gem,2,one hand placed
blab,blob,blop,parasite,2,one hand placed
blab,blob,plob,transform,2,one hand placed
giks,block,keks,legend,2,neither hand placed
frem,blog,vreq,carp,2,neither hand placed
frem,blog,vren,embryo,2,neither hand placed
frem,blog,friq,phosphorus,2,neither hand placed
frem,blog,vrim,tremor,2,neither hand placed
frem,blog,vram,insight,2,one hand placed
bloC,blood,broz,adequate,2,one hand placed
bloC,blood,brov,obstacle,2,one hand placed
bloC,blood,ploz,solemn,2,one hand placed
bloC,blood,plov,sterile,2,one hand placed
bloC,blood,bluz,differ,2,one hand placed
bloC,blood,bluv,gong,2,one hand placed
bloC,blood,bluj,inject,2,one hand placed
bloC,blood,bluc,platinum,2,one hand placed
blum,bloom,plun,cushion,2,one hand placed
blum,bloom,drum,drum,2,both hand placed
blum,bloom,pluq,oppose,2,one hand placed
blum,bloom,plom,gauge,2,one hand placed
blum,bloom,brom,mineral,2,one hand placed
blof,blow,brov,obstacle,2,one hand placed
blof,blow,drof,proportion,2,one hand placed
blof,blow,plov,sterile,2,one hand placed
blof,blow,plaf,oblige,2,one hand placed
blof,blow,braf,sarcastic,2,one hand placed
blof,blow,bruf,absent,2,one hand placed
blof,blow,bluv,gong,2,one hand placed
blof,blow,bluc,platinum,2,one hand placed
blof,blow,pluf,radiant,2,one hand placed
bul,blue,pol,fine,2,one hand placed
calv,bluff,falf,acid,2,neither hand placed
calv,bluff,carf,meter,2,neither hand placed
calv,bluff,sarv,polite,2,neither hand placed
calv,bluff,xarv,shrimp,2,neither hand placed
calv,bluff,xalf,tension,2,neither hand placed
calv,bluff,folv,absurd,2,neither hand placed
calv,bluff,corv,cloth,2,neither hand placed
calv,bluff,colf,comb,2,neither hand placed
calv,bluff,xolv,fortunate,2,neither hand placed
calv,bluff,solv,pound,2,neither hand placed
blor,blur,brol,brow,2,both hand placed
spun,boast,stuq,font,2,neither hand placed
spun,boast,stum,murmur,2,neither hand placed
spun,boast,ston,stone,2,one hand placed
bot,boat,pod,free,2,both hand placed
bot,boat,dop,shallow,2,one hand placed
bot,boat,pat,dimension,2,both hand placed
bot,boat,dat,word,2,both hand placed
bot,boat,bud,awake,2,both hand placed
bot,boat,bup,energy,2,both hand placed
vat,body,vep,though,2,one hand placed
vat,body,vop,bet,2,one hand placed
vat,body,vod,void,2,both hand placed
stop,bog,stub,constellation,2,neither hand placed
stop,bog,stut,correspond,2,neither hand placed
yigz,boil,yiks,stir,2,neither hand placed
jarb,bold,xard,pepper,2,neither hand placed
jarb,bold,xalb,tin,2,neither hand placed
jarb,bold,xorb,inn,2,neither hand placed
jarb,bold,jolb,receipt,2,neither hand placed
Cogz,bolt,zagz,pile,2,neither hand placed
Cogz,bolt,cagz,prophecy,2,neither hand placed
Cogz,bolt,vagz,tend,2,neither hand placed
Cogz,bolt,jagz,zip,2,neither hand placed
Cogz,bolt,zugz,appropriate,2,neither hand placed
Cogz,bolt,cugz,luxury,2,neither hand placed
Cogz,bolt,vugz,produce,2,neither hand placed
Cogz,bolt,jugz,puzzle,2,neither hand placed
mudj,bomb,nodj,due,2,neither hand placed
kliz,bondage,krez,distinguish,2,neither hand placed
brod,bone,drot,orb,2,one hand placed
brod,bone,drob,steward,2,one hand placed
brod,bone,drad,put,2,both hand placed
brod,bone,prad,whim,2,one hand placed
brod,bone,drud,furnace,2,one hand placed
vam,book,veq,along,2,neither hand placed
vam,book,ven,moment,2,neither hand placed
vam,book,voq,fact,2,neither hand placed
vam,book,von,sin,2,one hand placed
bum,boom,dom,state,2,both hand placed
jesp,bore,xest,swamp,2,neither hand placed
jesp,bore,xisp,height,2,neither hand placed
jesp,bore,xasp,embarrass,2,neither hand placed
jesk,bore,xisk,faint,2,neither hand placed
jesk,bore,xask,ask,2,one hand placed
lof,born,rov,copper,2,one hand placed
lof,born,raf,reference,2,one hand placed
lof,born,ruf,charge,2,neither hand placed
fup,borrow,vut,till,2,one hand placed
fup,borrow,vop,bet,2,one hand placed
fux,boss,vuc,catch,2,one hand placed
fodz,bounce,vobz,plot,2,neither hand placed
fodz,bounce,vadz,signature,2,neither hand placed
fodz,bounce,vudz,jewelry,2,neither hand placed
fodz,bounce,fubz,porch,2,neither hand placed
tudj,bound,tutx,cruel,2,neither hand placed
pobz,bow,tabz,virgin,2,neither hand placed
pobz,bow,pudz,fever,2,neither hand placed
pobz,bow,tubz,shy,2,neither hand placed
gliv,bowel,grif,dye,2,neither hand placed
gliv,bowel,klif,gill,2,neither hand placed
gliv,bowel,kriv,spiral,2,neither hand placed
gliv,bowel,grev,alas,2,neither hand placed
gliv,bowel,klev,compact,2,neither hand placed
pift,bowl,teft,revenge,2,neither hand placed
braz,box,plaz,combine,2,one hand placed
braz,box,draC,idol,2,one hand placed
braz,box,drez,deliberate,2,one hand placed
braz,box,prez,grumpy,2,one hand placed
braz,box,droz,enter,2,both hand placed
puk,boy,tug,together,2,neither hand placed
puk,boy,tok,structure,2,one hand placed
catx,brace,setx,attend,2,neither hand placed
catx,brace,fetx,rumor,2,neither hand placed
catx,brace,xetx,wax,2,neither hand placed
catx,brace,xotx,compete,2,neither hand placed
catx,brace,fotx,core,2,neither hand placed
frex,bracken,vrix,integrate,2,neither hand placed
frex,bracken,vrax,ambiguous,2,neither hand placed
glap,brag,grab,autumn,2,neither hand placed
glap,brag,klat,cat,2,one hand placed
glap,brag,grat,critic,2,neither hand placed
glap,brag,klab,sparkle,2,neither hand placed
