english               tune                          english parts                     tune parts
coordination          blibaiyez                     coordinate + act                  blib + yez
coping                djibaiyez                     cope + act                        djib + yez
coriander             -                             cilantro + seed                   ? + sid
corneal               -                             cornea + of                       ? + yov
corollary             darbaiklem                    follow + claim                    darb + klem
coronary              kartaiyov                     crown + of                        kart + yov
corporate             vataiyov                      body + of                         vat + yov
correction            noqkaiyez                     correct + act                     noqk + yez
correlated            -                             correlate + done                  ? + ?
correlation           -                             correlate + act                   ? + yez
correspondence        stutaiyez                     correspond + act                  stut + yez
corroborate           nisainisk                     more + support                    nis + nisk
cosmetic              nordaiyov                     order + of                        nord + yov
cough                 bopwahusk                     with + ugh                        bop + husk
could                 -                             grammar                           ?
counter               jaqwayug                      count + agent                     jaq + yug
counterargument       -                             against + argument                zof + ?
counterclockwise      -                             against + clock + oriented        zof + klak + ?
counterexample        zofaidest                     against + example                 zof + dest
counterfactual        masaivoq                      not + fact                        mas + voq
courthouse            -                             judge + building                  wep + ?
covalent              xalainuq                      share + bond                      xal + nuq
cove                  smalaibalb                    small + bay                       smal + balb
coverage              -                             cover + ness                      kov + ?
covering              -                             cove + ring                       ? + rop
cowardly              sindwakuq                     coward + manner                   sind + kuq
cranberry             yedzaiglaf                    sour + berry                      yedz + glaf
cranial               vrifaiyov                     cranium + of                      vrif + yov
crass                 snicaibuks                    coarse + rude                     snic + buks
crayfish              narvaijups                    river + lobster                   narv + jups
creation              bamwayez                      create + act                      bam + yez
creative              bamwalak                      create + like                     bam + lak
credible              pofaifip                      believe + able                    pof + fip
credulous             -                             believe + too + ready             pof + gal + ?
crepuscular           -                             dusk + active                     snuj + ?
cricket               -                             bat + ball + wicket + sport       batx + bral + ? + pudj
criminal              mempaiyov                     crime + of                        memp + yov
critical              grataiyov                     critic + of                       grat + yov
criticize             gratwamek                     critic + make                     grat + mek
croak                 ranaikar                      frog + call                       ran + kar
crop                  sutaistok                     store + stomach                   sut + stok
crown                 fubairop                      king + ring                       fub + rop
crystalline           kuqkailak                     crystal + like                    kuqk + lak
cuboid                kubailak                      cube + like                       kub + lak
cultivation           stukaiyez                     cultivate + act                   stuk + yez
cumulus               rutxaiklad                    heap + cloud                      rutx + klad
curvature             -                             curve + ness                      kurv + ?
curved                -                             curve + done                      kurv + ?
customer              zufaiyug                      buy + agent                       zuf + yug
cutaneous             skinaiyov                     skin + of                         skin + yov
cutter                zepaiyug                      cut + agent                       zep + yug
cuttlefish            brodaitxug                    bone + octopus                    brod + txug
cylindrical           smebaiyov                     cylinder + of                     smeb + yov
cytoplasm             mudzaiflud                    cell + fluid                      mudz + flud
dab                   -                             the light form of tap             ?
daily                 yamailak                      day + like                        yam + lak
daisy                 sanaiflor                     sun + flower                      san + flor
dampen                xudaimek                      quiet + make                      xud + mek
dangerous             nolfwalak                     danger + like                     nolf + lak
darkness              ramwanep                      dark + nature                     ram + nep
database              vuqaibes                      data + base                       vuq + bes
deactivate            -                             not + active + make               mas + ? + mek
deadline              tisaizob                      dead + line                       tis + zob
deadpan               kalfaifesaiflat               humor + face + flat               kalf + fes + flat
deafness              -                             deaf + ness                       huks + ?
debit                 mibzaigop                     owe + record                      mibz + gop
debug                 lobailen                      error + fix                       lob + len
deception             glozaiyez                     deceive + act                     gloz + yez
deciduous             lifaivutsaiyar                leaf + shed + year                lif + vuts + yar
decision              niftaiyez                     decide + act                      nift + yez
declaration           jaftwayez                     declare + act                     jaft + yez
decoration            promwayez                     decorate + act                    prom + yez
decouple              masaizef                      not + couple                      mas + zef
decrypt               kretaizark                    secret + open                     kret + zark
deduction             flimwayez                     deduce + act                      flim + yez
defeated              -                             defeat + done                     voft + ?
defer                 djoqwayug                     defy + agent                      djoq + yug
deficiency            -                             deficient + ness                  ? + ?
definition            difwayez                      define + act                      dif + yez
deformity             -                             deform + ness                     ? + ?
degeneration          -                             degenerate + act                  ? + yez
degradation           vruxaiyez                     degrade + act                     vrux + yez
delayed               -                             delay + done                      vudj + ?
deletion              dulaiyez                      delete + act                      dul + yez
delinquent            zenaimempaiyug                young + crime + agent             zen + memp + yug
delivery              dolvwalak                     deliver + like                    dolv + lak
delta                 narvaimucailan                river + mouth + land              narv + muc + lan
demean                -                             dignity + lower                   fidj + ?
democratic            -                             democracy + of                    ? + yov
denim                 bulaicorv                     blue + cloth                      bul + corv
density               txifwanep                     dense + nature                    txif + nep
department            txibwayez                     depart + act                      txib + yez
dependence            -                             depend + ness                     font + ?
dependent             fontwayug                     depend + agent                    font + yug
depletion             -                             deplete + act                     ? + yez
deposit               dradairas                     put + in                          drad + ras
deposition            -                             deposit + act                     ? + yez
depressed             -                             depress + done                    vrok + ?
deprivation           snakaiyez                     deprive + act                     snak + yez
depth                 govaiyaj                      deep + measure                    gov + yaj
dequeue               bavaitek                      queue + take                      bav + tek
deride                txoc                          ridicule                          txoc
derivation            vrubwayez                     derive + act                      vrub + yez
derivative            xunaibagz                     change + rate                     xun + bagz
derived               -                             derive + done                     vrub + ?
descendant            retaiwest                     after + kin                       ret + west
descending            txufwayez                     descend + act                     txuf + yez
description           sabaiyez                      describe + act                    sab + yez
designer              kolfaizan                     design + one                      kolf + zan
desirable             poqkwafip                     desire + able                     poqk + fip
destruction           xivaiyez                      destroy + act                     xiv + yez
destructive           xivailak                      destroy + like                    xiv + lak
detachment            bogaiyez                      detach + act                      bog + yez
detain                hoqaikarp                     hold + keep                       hoq + karp
detection             ragzaiyez                     detect + act                      ragz + yez
detector              ragzaifon                     detect + device                   ragz + fon
detergent             smozaiyug                     cleanse + agent                   smoz + yug
deterioration         -                             deteriorate + act                 ? + yez
determination         xorpaiyez                     determine + act                   xorp + yez
detritivore           tisaitufaigabaiyug            dead + matter + eat + agent       tis + tuf + gab + yug
development           fupswayez                     develop + act                     fups + yez
deviation             vradwayez                     deviate + act                     vrad + yez
devotion              txojwayez                     devote + act                      txoj + yez
devout                txojailak                     devote + like                     txoj + lak
diabetic              -                             diabetes + of                     ? + yov
diagnosis             spuzaiyez                     diagnose + act                    spuz + yez
diagnostic            spuzailak                     diagnose + like                   spuz + lak
diamond               kadaiblod                     hard + gem                        kad + blod
dictator              krozaiyug                     dictate + agent                   kroz + yug
dictionary            todaivam                      term + book                       tod + vam
did                   -                             grammar                           ?
difference            bluzwayez                     differ + act                      bluz + yez
different             bluzwayug                     differ + agent                    bluz + yug
diffract              bendaidend                    bend + spread                     bend + dend
diffraction           wevaipadjaidend               wave + edge + spread              wev + padj + dend
diffusion             stavaiyez                     diffuse + act                     stav + yez
digestion             gluxwayez                     digest + act                      glux + yez
digestive             gluxailak                     digest + like                     glux + lak
digital               jitwalak                      digit + like                      jit + lak
dilatation            -                             dilate + act                      ? + yez
dilute                -                             concentrate + lower               hitx + ?
dinner                yitaidarg                     night + meal                      yit + darg
directory             noldailist                    file + list                       nold + list
disability            -                             not + able + ness                 mas + fip + ?
disable               maswafip                      not + able                        mas + fip
disabled              -                             disable + done                    ? + ?
disagree              maswakek                      not + agree                       mas + kek
disappear             maswafleC                     not + appear                      mas + fleC
disappointment        -                             not + appointment                 mas + ?
disapprove            maswavosk                     not + approve                     mas + vosk
disarrange            maswahent                     not + arrange                     mas + hent
discard               maswalez                      not + card                        mas + lez
discomfort            maswakraf                     not + comfort                     mas + kraf
disconnect            maswadib                      not + connect                     mas + dib
disconnected          -                             not + connected                   mas + ?
discontent            maswadad                      not + content                     mas + dad
discourage            maswabodz                     not + courage                     mas + bodz
discourse             maswatig                      not + course                      mas + tig
discrepancy           -                             expect + observe + difference     yop + suv + ?
discrimination        -                             discriminate + act                ? + yez
discussion            nalkwayez                     discuss + act                     nalk + yez
disengage             masaicoqk                     not + engage                      mas + coqk
disgust               -                             not + gust                        mas + ?
dishonest             maswamitx                     not + honest                      mas + mitx
dishonorable          masairesaifip                 not + honor + able                mas + res + fip
disingenuous          masaixund                     not + genuine                     mas + xund
dislike               maswalak                      not + like                        mas + lak
dislocation           -                             dislocate + act                   ? + yez
disloyal              maswavarp                     not + loyal                       mas + varp
disobey               maswaxand                     not + obey                        mas + xand
disorder              maswanord                     not + order                       mas + nord
disown                maswatik                      not + own                         mas + tik
disparage             -                             worth + lower + speak             yes + ? + vik
dispersion            krenaiyez                     disperse + act                    kren + yez
displace              muvaiyad                      move + away                       muv + yad
displacement          -                             displace + act                    ? + yez
displeasure           maswazim                      not + pleasure                    mas + zim
disposal              djaqaiyez                     dispose + act                     djaq + yez
disposition           maswagiz                      not + position                    mas + giz
disprove              maswapruv                     not + prove                       mas + pruv
disrespect            maswaspek                     not + respect                     mas + spek
disrespectful         -                             disrespect + full                 ? + vup
dissection            -                             dissect + act                     ? + yez
dissociation          -                             dissociate + act                  ? + yez
distal                xalkaiyov                     distant + of                      xalk + yov
distill               maswavut                      not + till                        mas + vut
distort               vitsaideps                    twist + shape                     vits + deps
distortion            -                             distort + act                     ? + yez
distress              prataihisp                    apart + stress                    prat + hisp
distribute            dendaigif                     spread + give                     dend + gif
distributed           -                             distribute + done                 nuz + ?
distribution          nuzwayez                      distribute + act                  nuz + yez
distrust              maswavef                      not + trust                       mas + vef
disturbance           vuqkaiyez                     disturb + act                     vuqk + yez
diurnal               -                             day + active                      yam + ?
diverge               masaifran                     not + converge                    mas + fran
diversity             vredwanep                     diverse + nature                  vred + nep
dividend              vuksaixal                     profit + share                    vuks + xal
divination            pedjainumaiyez                hidden + know + act               pedj + num + yez
division              kuvaiyez                      divide + act                      kuv + yez
documentary           falbwalak                     document + like                   falb + lak
documentation         falbaiyez                     document + act                    falb + yez
does                  -                             grammar                           ?
dolphin               smalaivols                    small + whale                     smal + vols
donation              wubzaiyez                     donate + act                      wubz + yez
done                  -                             grammar                           ?
donkey                smalaihors                    small + horse                     smal + hors
donor                 wubzaiyug                     donate + agent                    wubz + yug
dorsal                gokaiyov                      back + of                         gok + yov
dosage                -                             dose + ness                       yutx + ?
double                dobaifold                     two + fold                        dob + fold
doubtful              doltwavup                     doubt + full                      dolt + vup
downpour              nantairen                     heavy + rain                      nant + ren
downward              -                             down + oriented                   dot + ?
dozen                 mopaihip                      twelve + group                    mop + hip
dragonfly             tendailef                     dragon + fly                      tend + lef
drainage              xalpaiyez                     drain + act                       xalp + yez
driver                divaiyug                      drive + agent                     div + yug
drizzle               litairen                      light + rain                      lit + ren
droopy                -                             droop + like                      ? + lak
ductile               -                             much + deform + without + fracturenen + ? + Cev + remp
dune                  sandaigagz                    sand + hill                       sand + gagz
duplex                dobaifold                     two + fold                        dob + fold
duplication           plidwayez                     duplicate + act                   plid + yez
earthquake            riqaismig                     earth + quake                     riq + smig
eastward              -                             east + oriented                   rog + ?
easy                  tebzwalak                     ease + like                       tebz + lak
ebb                   juqkaizur                     tide + fall                       juqk + zur
eccentric             -                             convention + unusual + differ     ? + bogz + bluz
echinacea             korbaiflor                    cone + flower                     korb + flor
eclipse               petsaisan                     shadow + sun                      pets + san
ecology               cadainadainedz                life + place + study              cad + nad + nedz
economy               -                             wealth + system                   ? + wux
ecosystem             cadainadaiwux                 life + place + system             cad + nad + wux
ecotone               -                             ecosystem + between + zone        ? + tin + zon
eddy                  -                             small + vortex                    smal + ?
edible                gabaifip                      eat + able                        gab + fip
edition               regaiyez                      edit + act                        reg + yez
education             txanwayez                     educate + act                     txan + yez
effect size           zakaismuq                     effect + magnitude                zak + smuq
effective             zakwalak                      effect + like                     zak + lak
efficiency            rolvainep                     efficient + nature                rolv + nep
effusion              -                             effuse + act                      ? + yez
eighteen              feCaifet                      ten + eight                       feC + fet
eighth                fetainord                     eight + order                     fet + nord
eighty                fetaifeC                      eight + ten                       fet + feC
ejaculation           -                             ejaculate + act                   ? + yez
elasticity            -                             elastic + ness                    stin + ?
elder                 -                             grammar                           ?
eldest                -                             grammar                           ?
election              smuvwayez                     elect + act                       smuv + yez
electricity           kespwanep                     electric + nature                 kesp + nep
electron              dumairav                      negative + particle               dum + rav
elevation             skotwayez                     elevate + act                     skot + yez
eleven                skotwamek                     elevate + make                    skot + mek
eleventh              cukainord                     eleven + order                    cuk + nord
eligible              -                             requirement + satisfy             ? + yarz
eliminate             pebz                          remove                            pebz
elk                   brataixars                    big + deer                        brat + xars
elongation            -                             elongate + act                    ? + yez
embassy               pompaivikainad                nation + speak + place            pomp + vik + nad
embody                vataigif                      body + give                       vat + gif
embryonic             vrenaiyov                     embryo + of                       vren + yov
emerald               pesaiblod                     green + gem                       pes + blod
emigrate              -                             migrate + out                     ? + buk
eminence              -                             eminent + ness                    ? + ?
emission              -                             emit + act                        ? + yez
emphasize             snogaiduz                     emphasis + do                     snog + duz
employee              gluqwabim                     employ + target                   gluq + bim
employer              gluqwayug                     employ + agent                    gluq + yug
employment            gluqaiyez                     employ + act                      gluq + yez
emulate               trut                          imitate                           trut
enabled               -                             enable + done                     bef + ?
encapsulate           txalaidrad                    shell + put                       txal + drad
encephalitis          brenaifrep                    brain + inflammation              bren + frep
encrypt               kretaimek                     secret + make                     kret + mek
endothermic           hitaizub                      heat + absorb                     hit + zub
endpoint              guvaileC                      end + point                       guv + leC
endurance             wigzwayez                     endure + act                      wigz + yez
engagement            coqkaiyez                     engage + act                      coqk + yez
engineer              dikswayug                     engine + agent                    diks + yug
enhancement           -                             enhance + act                     ? + yez
enlargement           giqkaimekaiyez                large + make + act                giqk + mek + yez
enqueue               bavaidrad                     queue + put                       bav + drad
entail                -                             must + include                    ? + dab
entitlement           pobaigif                      right + give                      pob + gif
entity                guvwanep                      end + nature                      guv + nep
entrain               -                             cause + synchronize               kaz + ?
entrance              -                             entry + act                       ? + yez
entry                 drozwalak                     enter + like                      droz + lak
epidermal             -                             epidermis + of                    ? + yov
equal                 -                             equate + like                     ? + lak
equality              -                             equal + nature                    ? + nep
equation              -                             equate + act                      ? + yez
equator               -                             equate + agent                    ? + yug
equine                horsaiyov                     horse + of                        hors + yov
equinox               -                             equal + night + day               ? + yit + yam
equipment             -                             equip + act                       ? + yez
equity                tikaixal                      own + share                       tik + xal
erection              spipaiyez                     erect + act                       spip + yez
eruption              -                             erupt + act                       ? + yez
escarpment            nucaipidj                     long + cliff                      nuc + pidj
esophageal            -                             esophagus + of                    ? + yov
especial              fez                           special                           fez
espresso              livaifoq                      strong + coffee                   liv + foq
essential             yarkaiyov                     essence + of                      yark + yov
establishment         campaiyez                     establish + act                   camp + yez
estuary               narvaimuc                     river + mouth                     narv + muc
eternity              -                             eternal + ness                    xax + ?
ethereal              lesailak                      air + like                        les + lak
ethnic                pompaiyov                     nation + of                       pomp + yov
etymology             dataiwimp                     word + origin                     dat + wimp
evaluation            kruvaiyez                     evaluate + act                    kruv + yez
evergreen             lifaikarpainaq                leaf + keep + always              lif + karp + naq
everyone              hezaizan                      every + one                       hez + zan
everything            hezainiv                      every + thing                     hez + niv
evict                 rosaibuk                      force + out                       ros + buk
evident               lapailak                      evidence + like                   lap + lak
exactly               bolvwakuq                     exact + manner                    bolv + kuq
exam                  -                             examination                       ?
examination           foqkaiyez                     examine + act                     foqk + yez
exception             Cozwayez                      except + act                      Coz + yez
excessive             djozwalak                     excess + like                     djoz + lak
excited               -                             excite + done                     plux + ?
excretion             -                             excrete + act                     ? + yez
execute               rin                           run                               rin
execution             -                             execute + act                     ? + yez
executive             -                             execute + like                    ? + lak
exemplify             destaigif                     example + give                    dest + gif
exhaustion            txipwayez                     exhaust + act                     txip + yez
exhaustive            kolaikov                      all + cover                       kol + kov
exhibition            -                             exhibit + act                     ? + yez
existence             wavwayez                      exist + act                       wav + yez
exoskeleton           -                             outer + shell                     ? + txal
exothermic            hitaigarf                     heat + release                    hit + garf
expectation           yopwayez                      expect + act                      yop + yez
expected value        -                             probability + weigh + average     ? + Cend + vraj
expense               robaiyez                      spend + act                       rob + yez
expensive             -                             expense + like                    ? + lak
explanation           yepwayez                      explain + act                     yep + yez
explosion             forpaiyez                     explode + act                     forp + yez
explosive             forpailak                     explode + like                    forp + lak
extension             cegzaiyez                     extend + act                      cegz + yez
extinction            blaqwayez                     extinct + act                     blaq + yez
extirpate             ruvaiblaq                     local + extinct                   ruv + blaq
extraction            djufaiyez                     extract + act                     djuf + yez
extrapolate           numpailesp                    beyond + estimate                 nump + lesp
extremity             -                             extreme + ness                    vuft + ?
eyebrow               xicaibrol                     eye + brow                        xic + brol
eyelid                -                             eye + lid                         xic + ?
eyespot               brizaixic                     simple + eye                      briz + xic
fable                 bistaizam                     beast + story                     bist + zam
facet                 flataifes                     flat + face                       flat + fes
facetious             kalfaimasaifev                humor + not + serious             kalf + mas + fev
facial                fesaiyov                      face + of                         fes + yov
facility              staxwalak                     facilitate + like                 stax + lak
faction               feswayez                      face + act                        fes + yez
factory               Ciqkwalak                     factor + like                     Ciqk + lak
failure               furaiyez                      fail + act                        fur + yez
fairness              romwanep                      fair + nature                     rom + nep
faithful              narpwavup                     faith + full                      narp + vup
falcon                fastaivotx                    fast + eagle                      fast + votx
fallback              -                             spare + choice                    degz + ?
falsify               rotaipruv                     false + prove                     rot + pruv
familial              famaiyov                      family + of                       fam + yov
fang                  nucaibontaicutx               long + sharp + tooth              nuc + bont + cutx
farmer                despwayug                     farm + agent                      desp + yug
farther               -                             grammar                           ?
farthest              -                             grammar                           ?
fastener              grodwayug                     fasten + agent                    grod + yug
faster                fastwayug                     fast + agent                      fast + yug
fatigue               -                             repeat + stress + weaken          vav + hisp + ?
fatty                 wesailak                      fat + like                        wes + lak
fault tolerance       Calbaiyob                     tolerate + fault                  Calb + yob
feasible              duzaifip                      do + able                         duz + fip
featuring             sarzwayez                     feature + act                     sarz + yez
fecal                 vrexaiyov                     feces + of                        vrex + yov
federal               -                             federation + of                   ? + yov
federation            -                             federate + act                    ? + yez
feedback              nubzaigok                     feed + back                       nubz + gok
feeder                nubzaiyug                     feed + agent                      nubz + yug
feeler                nagwayug                      feel + agent                      nag + yug
feeling               nagwayez                      feel + act                        nag + yez
femoral               -                             femur + of                        ? + yov
fen                   gegzaiplix                    wet + meadow                      gegz + plix
fenugreek             vumpaisid                     bitter + seed                     vump + sid
fermentation          -                             ferment + act                     ? + yez
fertility             -                             fertile + ness                    smeq + ?
fertilization         -                             fertilize + act                   ? + yez
fertilize             smeqwamek                     fertile + make                    smeq + mek
fertilizer            dorfaifiz                     plant + food                      dorf + fiz
fetus                 vrenaigrun                    embryo + grow                     vren + grun
fibrous               djotwalak                     fiber + like                      djot + lak
fifth                 komainord                     five + order                      kom + nord
fifty                 komaifeC                      five + ten                        kom + feC
figurative            -                             not + literal                     mas + ?
filler                nolbaiyug                     fill + agent                      nolb + yug
film                  porvaigrof                    thin + layer                      porv + grof
filth                 hustainep                     foul + nature                     hust + nep
filthy                -                             filth + like                      ? + lak
filtration            vekaiyez                      filter + act                      vek + yez
finance               glovwayez                     fin + act                         glov + yez
financial             -                             finance + of                      ? + yov
finch                 smalaibrax                    small + sparrow                   smal + brax
finish                glovwalak                     fin + like                        glov + lak
fir                   valdaicomp                    needle + pine                     vald + comp
firewood              foraivriC                     fire + wood                       for + vriC
first                 zanainord                     one + order                       zan + nord
fisher                frixwayug                     fish + agent                      frix + yug
fission               klisaidit                     nucleus + split                   klis + dit
fixation              lenaiyez                      fix + act                         len + yez
fixed                 -                             fix + done                        len + ?
fixture               lenainiv                      fix + thing                       len + niv
fjord                 govaimalcaibaqk               deep + sea + valley               gov + malc + baqk
flattened             -                             flat + make + done                flat + mek + ?
flea                  metsaipamp                    jump + bug                        mets + pamp
flexible              vuswafip                      flex + able                       vus + fip
flexure               -                             flex + ness                       vus + ?
flight                lefaiyez                      fly + act                         lef + yez
flint                 cadjairak                     spark + rock                      cadj + rak
flipper               wumailarf                     swim + limb                       wum + larf
floater               flotwayug                     float + agent                     flot + yug
floodplain            yeftaipind                    flood + plain                     yeft + pind
flounder              flataifrix                    flat + fish                       flat + frix
flu                   -                             influenza                         ?
fluorescence          -                             fluoresce + act                   ? + yez
fluoride              -                             fluorine + salt                   ? + tigz
flux                  suntaibagzaibund              flow + rate + boundary            sunt + bagz + bund
folder                noldaihoq                     file + hold                       nold + hoq
follower              darbwayug                     follow + agent                    darb + yug
food                  nubzainiv                     feed + thing                      nubz + niv
foolish               limwalak                      fool + like                       lim + lak
foothill              gralaigagz                    foot + hill                       gral + gagz
forbidden             xalcwamek                     forbid + make                     xalc + mek
forced                -                             force + done                      ros + ?
forceful              roswavup                      force + full                      ros + vup
ford                  narvaikrasainad               river + cross + place             narv + kras + nad
fore                  keg                           front                             keg
forearm               kegaimarb                     front + arm                       keg + marb
forecast              toraiwudj                     before + predict                  tor + wudj
forehead              kegaihad                      front + head                      keg + had
foreigner             bubzwayug                     foreign + agent                   bubz + yug
foresight             toraisat                      before + sight                    tor + sat
foretell              toraital                      before + tell                     tor + tal
formate               -                             formic + salt                     ? + tigz
formation             nuntaiyez                     form + act                        nunt + yez
former                nuntwayug                     form + agent                      nunt + yug
formulation           -                             formulate + act                   ? + yez
forth                 mat                           forward                           mat
fortify               fortwamek                     fort + make                       fort + mek
fortress              fortainad                     fort + place                      fort + nad
forty                 lafaifeC                      four + ten                        laf + feC
forward               -                             front + oriented                  keg + ?
fossorial             flifaikib                     burrow + live                     flif + kib
foundation            totwayez                      found + act                       tot + yez
fourth                lafainord                     four + order                      laf + nord
fragility             -                             fragile + ness                    reft + ?
fragmentation         trigaiyez                     fragment + act                    trig + yez
framework             fretaiwark                    frame + work                      fret + wark
freckle               fesaiCuft                     face + dot                        fes + Cuft
freedom               podwadom                      free + state                      pod + dom
freight               -                             cargo                             ?
frequent              gug                           often                             gug
friendly              dudwakuq                      friend + manner                   dud + kuq
friendship            dudaixup                      friend + ship                     dud + xup
frighten              draxwamek                     fright + make                     drax + mek
fruitful              magwavup                      fruit + full                      mag + vup
fully                 vupailak                      full + like                       vup + lak
