english,was,now,shape,source,state
concern,bitx,bitx,CVCC,fill,kept
concert,kegz,kegz,CVCC,fill,kept
conclude,blaC,blaC,CCVC,fill,kept
concrete,jorf,jorf,CVCC,fill,kept
condemn,priz,priz,CCVC,fill,kept
condition,geft,geft,CVCC,fill,kept
conduct,vunt,vunt,CVCC,fill,kept
cone,korb,korb,CVCC,hand,fixed
confess,hiqk,hiqk,CVCC,fill,kept
confident,fiks,fiks,CVCC,fill,kept
configuration,stug,stug,CCVC,fill,kept
confine,stak,stak,CCVC,fill,kept
confirm,simp,simp,CVCC,fill,kept
conflict,xart,xart,CVCC,fill,kept
conform,skak,skak,CCVC,fill,kept
confound,speq,speq,CCVC,fill,kept
confront,wesk,wesk,CVCC,fill,kept
confuse,leks,leks,CVCC,fill,fixed
congestion,fluf,fluf,CCVC,fill,kept
conjure,snof,snof,CCVC,fill,kept
connect,dib,dib,CVC,hand,fixed
conquer,rorg,rorg,CVCC,fill,kept
conscious,tiv,tiv,CVC,hand,fixed
consent,jorb,jorb,CVCC,fill,kept
consequence,djej,djej,CCVC,fill,kept
conserve,skaz,skaz,CCVC,fill,kept
consider,nimp,nimp,CVCC,fill,kept
conspicuous,smom,smom,CCVC,fill,kept
constant,kus,kus,CVC,hand,fixed
constellation,stub,stub,CCVC,fill,kept
constitute,skov,skov,CCVC,fill,kept
construct,smod,smod,CCVC,fill,kept
consume,txej,txej,CCVC,fill,kept
contact,marp,marp,CVCC,fill,fixed
contain,corf,corf,CVCC,fill,fixed
container,weps,weps,CVCC,fill,kept
contaminate,vrob,vrob,CCVC,fill,kept
contempt,rodj,rodj,CVCC,fill,kept
content,dad,dad,CVC,hand,fixed
contest,tarb,tarb,CVCC,fill,kept
context,djeg,djeg,CCVC,fill,kept
continent,gruf,gruf,CCVC,fill,kept
continue,sef,sef,CVC,hand,fixed
contract,didz,didz,CVCC,fill,kept
contradict,snem,snem,CCVC,fill,kept
contrast,txed,txed,CCVC,fill,kept
contribute,gref,gref,CCVC,fill,kept
control,fol,fol,CVC,short,kept
convenient,xont,xont,CVCC,fill,kept
converge,fran,fran,CCVC,fill,kept
conversation,nemp,nemp,CVCC,fill,kept
convert,djax,djax,CCVC,fill,fixed
convey,drux,drux,CCVC,fill,kept
conviction,yidz,yidz,CVCC,fill,kept
convince,talv,talv,CVCC,fill,kept
cook,nalf,nalf,CVCC,fill,kept
cool,zug,zug,CVC,short,kept
cooperate,fesk,fesk,CVCC,fill,kept
coordinate,blib,blib,CCVC,fill,kept
cope,djib,djib,CCVC,fill,kept
copper,rov,rov,CVC,hand,fixed
copy,xok,xok,CVC,hand,fixed
coral,prix,prix,CCVC,fill,kept
cord,Cesk,Cesk,CVCC,fill,kept
core,fotx,fotx,CVCC,fill,kept
cork,dreq,dreq,CCVC,fill,kept
corn,sips,sips,CVCC,fill,kept
corner,muft,muft,CVCC,fill,kept
corpse,falz,falz,CVCC,fill,kept
correct,noqk,noqk,CVCC,fill,kept
correspond,stut,stut,CCVC,fill,kept
corrupt,yuts,yuts,CVCC,fill,kept
cost,munt,munt,CVCC,fill,kept
cot,txog,txog,CCVC,fill,kept
cotton,siks,siks,CVCC,fill,kept
council,katx,katx,CVCC,fill,kept
count,jaq,jaq,CVC,hand,fixed
country,fib,fib,CVC,short,kept
couple,zef,zef,CVC,short,kept
courage,bodz,bodz,CVCC,fill,kept
course,tig,tig,CVC,short,kept
court,yuf,yuf,CVC,short,kept
cousin,nebz,nebz,CVCC,fill,kept
covenant,Cudj,Cudj,CVCC,fill,kept
cover,kov,kov,CVC,hand,fixed
covering,vedz,vedz,CVCC,fill,kept
cow,vaqk,vaqk,CVCC,hand,fixed
coward,sind,sind,CVCC,fill,kept
cozy,yatx,yatx,CVCC,fill,kept
crab,Calv,Calv,CVCC,fill,kept
crack,krak,krak,CCVC,hand,fixed
cradle,drek,drek,CCVC,fill,kept
craft,yabz,yabz,CVCC,fill,kept
cramp,drag,drag,CCVC,fill,kept
crane,golp,golp,CVCC,fill,kept
cranium,vrif,vrif,CCVC,fill,kept
crank,yugz,yugz,CVCC,fill,kept
crash,krax,krax,CCVC,hand,fixed
crater,brof,brof,CCVC,fill,kept
crave,krev,krev,CCVC,hand,fixed
crawl,vaft,vaft,CVCC,fill,kept
crazy,seq,seq,CVC,short,kept
creak,flog,flog,CCVC,fill,kept
cream,neps,neps,CVCC,fill,kept
crease,snix,snix,CCVC,fill,kept
create,bam,bam,CVC,hand,fixed
creature,pend,pend,CVCC,fill,kept
credit,kred,kred,CCVC,hand,fixed
creek,xabz,xabz,CVCC,fill,kept
creep,volv,volv,CVCC,fill,kept
crescent,smuz,smuz,CCVC,fill,kept
crest,txeb,txeb,CCVC,fill,kept
crew,neft,neft,CVCC,fill,kept
crime,memp,memp,CVCC,fill,kept
crimson,snaq,snaq,CCVC,fill,kept
crisp,djez,djez,CCVC,fill,kept
critic,grat,grat,CCVC,fill,kept
critique,flov,flov,CCVC,fill,kept
crocodile,plev,plev,CCVC,fill,kept
crooked,yadz,yadz,CVCC,fill,kept
cross,kras,kras,CCVC,hand,fixed
crotch,drop,drop,CCVC,fill,kept
crouch,vrag,vrag,CCVC,fill,kept
crow,wint,wint,CVCC,fill,kept
crowd,gasp,gasp,CVCC,fill,kept
crucial,lold,lold,CVCC,fill,kept
crude,djoj,djoj,CCVC,fill,kept
cruel,tutx,tutx,CVCC,fill,kept
crumb,trux,trux,CCVC,fill,kept
crumble,snin,snin,CCVC,fill,kept
crunch,glak,glak,CCVC,fill,kept
crush,karb,karb,CVCC,fill,kept
crust,djid,djid,CCVC,fill,kept
cry,mard,mard,CVCC,fill,kept
cryptic,spuf,spuf,CCVC,fill,kept
crystal,kuqk,kuqk,CVCC,fill,kept
cube,kub,kub,CVC,hand,fixed
cuckoo,djuk,djuk,CCVC,fill,kept
cucumber,txok,txok,CCVC,fill,kept
cuddle,plub,plub,CCVC,fill,kept
cue,klum,klum,CCVC,hand,fixed
cultivate,stuk,stuk,CCVC,fill,kept
culture,salv,salv,CVCC,fill,kept
cunning,wump,wump,CVCC,fill,kept
cup,nips,nips,CVCC,fill,kept
cure,paft,paft,CVCC,fill,kept
curiosity,xodz,xodz,CVCC,fill,kept
curious,bigz,bigz,CVCC,fill,kept
curl,kork,kork,CVCC,hand,fixed
currency,glig,glig,CCVC,fill,kept
current,keft,keft,CVCC,fill,kept
curse,kidz,kidz,CVCC,fill,kept
curtain,fadz,fadz,CVCC,fill,kept
curve,kurv,kurv,CVCC,hand,fixed
cushion,plun,plun,CCVC,fill,kept
custom,calf,calf,CVCC,fill,kept
cut,zep,haj,CVC,short,moved
cute,klut,klut,CCVC,hand,fixed
cycle,rol,rol,CVC,hand,fixed
cylinder,smeb,smeb,CCVC,fill,kept
cynical,glim,glim,CCVC,fill,kept
dad,puf,puf,CVC,short,kept
dam,yeks,yeks,CVCC,fill,kept
damage,guts,guts,CVCC,fill,kept
damp,drid,drid,CCVC,fill,kept
dance,fex,fex,CVC,short,kept
dandy,wisp,wisp,CVCC,fill,kept
danger,nolf,nolf,CVCC,fill,fixed
dangle,snev,snev,CCVC,fill,kept
dare,molf,molf,CVCC,fill,kept
dark,ram,ram,CVC,hand,fixed
dart,txup,txup,CCVC,fill,kept
dash,cuqk,cuqk,CVCC,fill,kept
data,vuq,vuq,CVC,hand,fixed
date,fob,fob,CVC,short,kept
daughter,vor,vor,CVC,short,kept
dawn,bebz,bebz,CVCC,fill,kept
day,yam,yam,CVC,hand,fixed
daylight,fuks,fuks,CVCC,fill,kept
daze,flix,flix,CCVC,fill,kept
dazzle,stex,stex,CCVC,fill,kept
dead,tis,tis,CVC,short,kept
deaf,huks,huks,CVCC,fill,kept
deal,djat,djat,CCVC,hand,fixed
dear,zev,zev,CVC,short,kept
death,dac,dac,CVC,hand,fixed
debate,xist,xist,CVCC,fill,kept
debris,djab,djab,CCVC,fill,kept
debt,sibz,sibz,CVCC,fill,kept
decay,txex,txex,CCVC,fill,kept
deceit,treq,treq,CCVC,fill,kept
deceive,gloz,gloz,CCVC,fill,kept
decent,dogz,dogz,CVCC,fill,kept
decide,nift,nift,CVCC,fill,kept
decimal,brob,brob,CCVC,hand,fixed
deck,boqk,boqk,CVCC,fill,kept
declare,jaft,jaft,CVCC,fill,kept
decline,djug,djug,CCVC,fill,kept
decode,spot,spot,CCVC,fill,kept
decorate,prom,prom,CCVC,fill,kept
decrease,spig,spig,CCVC,fill,kept
dedicate,bluk,bluk,CCVC,fill,kept
deduce,flim,flim,CCVC,fill,kept
deed,did,did,CVC,hand,fixed
deep,gov,gov,CVC,short,fixed
deer,xars,xars,CVCC,fill,kept
default,kof,kof,CVC,hand,fixed
defeat,voft,voft,CVCC,fill,kept
defect,blot,blot,CCVC,fill,kept
defend,targ,targ,CVCC,fill,kept
defense,guft,guft,CVCC,fill,kept
deficit,spoz,spoz,CCVC,fill,kept
define,dif,dif,CVC,hand,fixed
definite,dref,dref,CCVC,hand,fixed
defy,djoq,djoq,CCVC,fill,kept
degrade,vrux,vrux,CCVC,fill,kept
degree,drig,drig,CCVC,hand,fixed
deity,fliv,fliv,CCVC,fill,kept
delay,vudj,vudj,CVCC,fill,kept
delegate,smoC,smoC,CCVC,fill,kept
delete,dul,dul,CVC,hand,fixed
deliberate,drez,drez,CCVC,fill,kept
delicate,fuft,fuft,CVCC,fill,kept
delicious,pips,pips,CVCC,fill,kept
delight,yaft,yaft,CVCC,fill,kept
deliver,dolv,dolv,CVCC,hand,fixed
demand,kesk,kesk,CVCC,fill,kept
demon,dent,dent,CVCC,fill,kept
demonstrate,lalf,lalf,CVCC,fill,kept
dense,txif,txif,CCVC,fill,kept
density,smoc,smoc,CCVC,fill,fixed
dent,glev,glev,CCVC,fill,kept
deny,diqk,diqk,CVCC,hand,fixed
depart,txib,txib,CCVC,fill,kept
depend,font,font,CVCC,fill,kept
depict,flev,flev,CCVC,fill,kept
depot,djuC,djuC,CCVC,fill,kept
depress,vrok,vrok,CCVC,fill,kept
depression,jigz,jigz,CVCC,fill,kept
deprive,snak,snak,CCVC,fill,kept
derive,vrub,vrub,CCVC,fill,kept
descend,txuf,txuf,CCVC,fill,kept
describe,sab,sab,CVC,hand,fixed
desert,dors,dors,CVCC,hand,fixed
deserve,nolv,nolv,CVCC,fill,kept
design,kolf,kolf,CVCC,fill,kept
designate,frod,frod,CCVC,fill,kept
desire,poqk,poqk,CVCC,fill,kept
desk,dask,dask,CVCC,hand,fixed
despair,yent,yent,CVCC,fill,kept
dessert,seps,seps,CVCC,fill,kept
destination,yift,yift,CVCC,fill,kept
destiny,borv,borv,CVCC,fill,kept
destroy,xiv,xiv,CVC,hand,fixed
detach,bog,bog,CVC,short,kept
detail,tibz,tibz,CVCC,fill,kept
detect,ragz,ragz,CVCC,fill,fixed
determine,xorp,xorp,CVCC,fill,kept
develop,fups,fups,CVCC,fill,kept
deviate,vrad,vrad,CCVC,fill,kept
device,fon,fon,CVC,hand,fixed
devil,gigz,gigz,CVCC,fill,kept
devote,txoj,txoj,CCVC,fill,kept
dew,txig,txig,CCVC,fill,kept
diagnose,spuz,spuz,CCVC,fill,kept
diagonal,flef,flef,CCVC,fill,kept
diagram,snoq,snoq,CCVC,fill,kept
dial,xaks,xaks,CVCC,fill,kept
dialect,snex,snex,CCVC,fill,kept
diameter,spux,spux,CCVC,fill,kept
diaphragm,txeC,txeC,CCVC,fill,kept
dictate,kroz,kroz,CCVC,fill,kept
die,sex,sex,CVC,short,kept
diet,hetx,hetx,CVCC,fill,kept
differ,bluz,bluz,CCVC,fill,kept
difficult,skut,skut,CCVC,hand,fixed
diffuse,stav,stav,CCVC,fill,kept
dig,narz,narz,CVCC,fill,kept
digest,glux,glux,CCVC,fill,kept
digit,jit,jit,CVC,hand,fixed
dignity,fidj,fidj,CVCC,fill,kept
diligent,vrib,vrib,CCVC,fill,kept
dim,dof,dof,CVC,short,kept
dimension,pat,pat,CVC,hand,fixed
diminish,skub,skub,CCVC,fill,kept
dine,webz,webz,CVCC,fill,kept
dip,jiqk,jiqk,CVCC,fill,kept
diplomatic,rogz,rogz,CVCC,fill,kept
direct,balk,balk,CVCC,fill,kept
direction,drix,drix,CCVC,hand,fixed
dirt,dort,dort,CVCC,hand,fixed
dirty,mats,mats,CVCC,fill,kept
disappoint,xosp,xosp,CVCC,fill,kept
disaster,ketx,ketx,CVCC,fill,kept
disc,brud,brud,CCVC,fill,kept
discern,sark,sark,CVCC,hand,fixed
discharge,cedz,cedz,CVCC,fill,kept
discipline,plin,plin,CCVC,hand,fixed
discover,disk,disk,CVCC,hand,fixed
discuss,nalk,nalk,CVCC,fill,kept
disease,bidj,bidj,CVCC,fill,kept
disguise,jent,jent,CVCC,fill,kept
dish,voks,voks,CVCC,fill,kept
disk,cimp,cimp,CVCC,fill,kept
dismiss,yord,yord,CVCC,fill,kept
dispatch,Corf,Corf,CVCC,fill,kept
disperse,kren,kren,CCVC,fill,kept
display,xoqk,xoqk,CVCC,fill,kept
dispose,djaq,djaq,CCVC,fill,kept
dispute,djef,djef,CCVC,fill,kept
disrupt,snac,snac,CCVC,fill,kept
dissolve,zalv,zalv,CVCC,hand,fixed
distance,bedz,bedz,CVCC,fill,fixed
distant,xalk,xalk,CVCC,fill,kept
distinct,djoC,djoC,CCVC,fill,kept
distinguish,krez,krez,CCVC,fill,kept
distract,lind,lind,CVCC,fill,kept
district,pant,pant,CVCC,fill,kept
disturb,vuqk,vuqk,CVCC,fill,kept
ditch,jisp,jisp,CVCC,fill,kept
dive,zudz,zudz,CVCC,fill,kept
diverse,vred,vred,CCVC,fill,kept
divide,kuv,kuv,CVC,hand,fixed
divine,dav,dav,CVC,hand,fixed
divorce,gust,gust,CVCC,fill,kept
dizzy,xoft,xoft,CVCC,fill,kept
do,duz,duz,CVC,hand,fixed
dock,folp,folp,CVCC,fill,kept
doctor,seb,seb,CVC,short,kept
doctrine,skof,skof,CCVC,fill,kept
document,falb,falb,CVCC,fill,kept
dog,dag,dag,CVC,hand,fixed
doll,baft,baft,CVCC,fill,kept
dollar,dorb,dorb,CVCC,fill,kept
domain,brox,brox,CCVC,fill,kept
dome,txox,txox,CCVC,fill,kept
domestic,Codj,Codj,CVCC,fill,kept
donate,wubz,wubz,CVCC,fill,kept
door,dor,dor,CVC,hand,fixed
dormant,speg,speg,CCVC,fill,kept
dose,yutx,yutx,CVCC,fill,kept
dot,Cuft,Cuft,CVCC,fill,kept
doubt,dolt,dolt,CVCC,hand,fixed
dough,hind,hind,CVCC,fill,kept
dove,yalv,yalv,CVCC,fill,kept
down,dot,dot,CVC,hand,fixed
draft,Cind,Cind,CVCC,fill,kept
drag,dreg,dreg,CCVC,hand,fixed
dragon,tend,tend,CVCC,fill,kept
drain,xalp,xalp,CVCC,fill,kept
drama,polf,polf,CVCC,fill,kept
draw,gisp,gisp,CVCC,fill,kept
dread,blef,blef,CCVC,fill,kept
dream,drim,drim,CCVC,hand,fixed
dress,liz,liz,CVC,short,kept
drift,ceqk,ceqk,CVCC,fill,kept
drill,suqk,suqk,CVCC,fill,kept
drink,dug,dug,CVC,hand,fixed
drip,rand,rand,CVCC,fill,kept
drive,feq,feq,CVC,short,kept
drool,drul,drul,CCVC,hand,fixed
drop,drap,drap,CCVC,hand,fixed
drought,snit,snit,CCVC,fill,kept
drown,fegz,fegz,CVCC,fill,kept
drug,som,som,CVC,hand,fixed
drum,drum,drum,CCVC,hand,fixed
drunk,wub,wub,CVC,short,kept
dry,dral,dral,CCVC,hand,fixed
dual,spex,spex,CCVC,fill,kept
duck,babz,babz,CVCC,fill,kept
duct,djag,djag,CCVC,fill,kept
due,nodj,nodj,CVCC,fill,kept
dull,vasp,vasp,CVCC,fill,kept
dumb,nadz,nadz,CVCC,fill,kept
dummy,forg,forg,CVCC,fill,kept
dump,domp,domp,CVCC,hand,fixed
dumpling,skez,skez,CCVC,fill,kept
duplicate,plid,plid,CCVC,fill,kept
duration,huz,huz,CVC,hand,fixed
during,gof,gof,CVC,short,kept
dusk,snuj,snuj,CCVC,fill,kept
dust,bomp,bomp,CVCC,fill,kept
duty,nist,nist,CVCC,fill,kept
dwarf,djob,djob,CCVC,fill,kept
dwell,drab,drab,CCVC,fill,kept
dye,grif,grif,CCVC,fill,kept
dynamic,dez,dez,CVC,hand,fixed
each,sof,sof,CVC,hand,fixed
eager,Corg,Corg,CVCC,fill,kept
eagle,votx,votx,CVCC,fill,kept
ear,dits,dits,CVCC,fill,kept
early,yab,yab,CVC,short,kept
earn,hesp,hesp,CVCC,fill,kept
earnest,smen,smen,CCVC,fill,kept
earth,riq,riq,CVC,short,fixed
ease,tebz,tebz,CVCC,fill,kept
east,rog,rog,CVC,hand,fixed
eat,gab,gab,CVC,hand,fixed
echo,Corb,Corb,CVCC,fill,kept
ecstasy,djep,djep,CCVC,fill,kept
edge,padj,padj,CVCC,hand,fixed
edit,reg,reg,CVC,hand,fixed
educate,txan,txan,CCVC,fill,kept
eel,smun,smun,CCVC,fill,kept
effect,zak,zak,CVC,hand,fixed
efficient,rolv,rolv,CVCC,fill,kept
effort,tift,tift,CVCC,fill,kept
egg,bisp,bisp,CVCC,fill,kept
ego,jalv,jalv,CVCC,fill,kept
eight,fet,fet,CVC,hand,fixed
either,veg,veg,CVC,short,kept
elastic,stin,stin,CCVC,fill,kept
elbow,holv,holv,CVCC,hand,fixed
elder,Cesp,Cesp,CVCC,fill,kept
elect,smuv,smuv,CCVC,fill,kept
electric,kesp,kesp,CVCC,fill,fixed
elegant,cabz,cabz,CVCC,fill,kept
element,larg,larg,CVCC,hand,fixed
elephant,vorp,vorp,CVCC,fill,kept
elevate,skot,skot,CCVC,fill,kept
elicit,fluq,fluq,CCVC,fill,kept
ellipse,tiz,tiz,CVC,hand,fixed
eloquent,stot,stot,CCVC,fill,kept
else,fos,fos,CVC,hand,fixed
embarrass,xasp,xasp,CVCC,fill,kept
embed,nust,nust,CVCC,hand,fixed
embrace,jarg,jarg,CVCC,fill,kept
embryo,vren,vren,CCVC,fill,kept
emerge,moj,moj,CVC,hand,fixed
emergency,mugz,mugz,CVCC,fill,kept
emotion,tuc,tuc,CVC,hand,fixed
empathy,spez,spez,CCVC,fill,kept
emphasis,snog,snog,CCVC,fill,kept
empire,vidz,vidz,CVCC,fill,kept
employ,gluq,gluq,CCVC,fill,kept
empty,nuv,nuv,CVC,hand,fixed
enable,bef,bef,CVC,short,kept
encourage,cunt,cunt,CVCC,fill,kept
end,guv,guv,CVC,hand,fixed
endure,wigz,wigz,CVCC,fill,kept
enemy,netx,netx,CVCC,fill,kept
energy,bup,bup,CVC,hand,fixed
engage,coqk,coqk,CVCC,fill,kept
engine,diks,diks,CVCC,fill,kept
enjoy,wib,wib,CVC,short,kept
enlighten,txij,txij,CCVC,fill,kept
enlist,smem,smem,CCVC,fill,kept
enormous,famp,famp,CVCC,fill,kept
enough,pux,pux,CVC,short,kept
enroll,vruv,vruv,CCVC,fill,kept
ensure,rolf,rolf,CVCC,fill,kept
enter,droz,droz,CCVC,hand,fixed
entertain,codj,codj,CVCC,fill,kept
enthusiastic,drat,drat,CCVC,fill,kept
entice,flad,flad,CCVC,fill,kept
entire,wed,wed,CVC,short,kept
envelope,falv,falv,CVCC,fill,kept
environment,ron,ron,CVC,hand,fixed
envy,fusp,fusp,CVCC,fill,kept
enzyme,spug,glaf,CCVC,fill,moved
epic,pref,pref,CCVC,fill,kept
episode,vand,vand,CVCC,fill,kept
equilibrium,skix,skix,CCVC,fill,kept
equivalent,bram,bram,CCVC,fill,kept
era,har,har,CVC,hand,fixed
erase,calb,calb,CVCC,fill,kept
erect,spip,spip,CCVC,fill,kept
erosion,fleq,fleq,CCVC,fill,kept
error,lob,lob,CVC,hand,fixed
escape,norv,norv,CVCC,fill,kept
escort,holf,holf,CVCC,fill,kept
essay,cotx,cotx,CVCC,fill,kept
essence,yark,yark,CVCC,fill,kept
establish,camp,camp,CVCC,fill,kept
estimate,lesp,lesp,CVCC,fill,kept
eternal,xax,xax,CVC,hand,fixed
ether,txiC,txiC,CCVC,fill,kept
ethics,yolc,yolc,CVCC,fill,kept
evacuate,yarf,yarf,CVCC,fill,kept
evaluate,kruv,kruv,CCVC,fill,kept
even,pev,pev,CVC,short,kept
evening,xad,xad,CVC,short,kept
event,hap,hap,CVC,hand,fixed
ever,vorb,vorb,CVCC,hand,fixed
every,hez,hez,CVC,hand,fixed
evidence,lap,lap,CVC,short,kept
evil,mips,mips,CVCC,fill,kept
evolution,yudz,yudz,CVCC,fill,kept
evolve,valv,valv,CVCC,hand,fixed
exact,bolv,bolv,CVCC,fill,kept
examine,foqk,foqk,CVCC,fill,kept
example,dest,dest,CVCC,fill,kept
exceed,snot,snot,CCVC,fill,kept
excellent,musk,musk,CVCC,fill,kept
except,Coz,Coz,CVC,hand,fixed
excess,djoz,djoz,CCVC,fill,kept
exchange,porb,porb,CVCC,fill,kept
excite,plux,plux,CCVC,fill,kept
exclude,bal,bal,CVC,short,kept
exclusive,jeqk,jeqk,CVCC,fill,kept
excuse,skuz,skuz,CCVC,hand,fixed
exempt,vrom,vrom,CCVC,fill,kept
exercise,kemp,kemp,CVCC,fill,kept
exhaust,txip,txip,CCVC,fill,kept
exist,wav,wav,CVC,hand,fixed
exit,zord,zord,CVCC,hand,fixed
expand,glax,glax,CCVC,fill,kept
expansion,klid,klid,CCVC,fill,kept
expect,yop,yop,CVC,short,kept
expel,snip,snip,CCVC,fill,kept
experience,zus,zus,CVC,hand,fixed
experiment,kump,kump,CVCC,fill,kept
expert,butx,butx,CVCC,fill,kept
expire,skem,skem,CCVC,fill,kept
explain,yep,yep,CVC,short,kept
explicit,sniq,sniq,CCVC,fill,kept
explode,forp,forp,CVCC,fill,kept
exploit,blug,blug,CCVC,fill,kept
explore,hask,hask,CVCC,hand,fixed
exponent,gul,gul,CVC,hand,fixed
export,baz,baz,CVC,short,kept
expose,Cebz,Cebz,CVCC,fill,kept
exposure,yamp,yamp,CVCC,fill,kept
express,ris,ris,CVC,hand,fixed
expression,zutx,zutx,CVCC,fill,kept
extend,cegz,cegz,CVCC,fill,kept
extent,wunt,wunt,CVCC,fill,kept
exterior,prem,prem,CCVC,fill,kept
external,blob,blob,CCVC,fill,kept
extinct,blaq,blaq,CCVC,fill,kept
extinguish,skox,skox,CCVC,fill,kept
extra,mobz,mobz,CVCC,fill,kept
extract,djuf,djuf,CCVC,fill,kept
extravagant,smov,smov,CCVC,fill,kept
extreme,vuft,datx,CVCC,fill,moved
eye,xic,xic,CVC,hand,fixed
eyelash,skav,skav,CCVC,fill,kept
fabric,lisk,lisk,CVCC,fill,kept
face,fes,fes,CVC,hand,fixed
facilitate,stax,stax,CCVC,fill,kept
fact,voq,voq,CVC,short,kept
factor,Ciqk,Ciqk,CVCC,fill,kept
fad,vric,vric,CCVC,fill,kept
fade,yarv,yarv,CVCC,fill,kept
fahrenheit,vrab,vrab,CCVC,fill,kept
fail,fur,fur,CVC,hand,fixed
faint,xisk,xisk,CVCC,fill,kept
fair,rom,rom,CVC,short,kept
fairy,kalb,kalb,CVCC,fill,kept
faith,narp,narp,CVCC,fill,kept
fake,fek,fek,CVC,hand,fixed
fall,zur,zur,CVC,hand,fixed
false,rot,rot,CVC,hand,fixed
fame,xald,xald,CVCC,fill,kept
familiar,gorp,gorp,CVCC,fill,kept
family,fam,fam,CVC,hand,fixed
famous,nond,nond,CVCC,fill,kept
fan,gogz,gogz,CVCC,fill,kept
fancy,goft,goft,CVCC,fill,kept
fantasy,kolb,kolb,CVCC,fill,kept
far,zad,zad,CVC,short,fixed
fare,cond,cond,CVCC,fill,kept
farm,desp,desp,CVCC,fill,kept
fashion,tarv,tarv,CVCC,fill,kept
fast,fast,fast,CVCC,hand,fixed
fasten,grod,grod,CCVC,fill,kept
fat,wes,wes,CVC,short,kept
fate,driv,driv,CCVC,hand,fixed
father,bab,bab,CVC,hand,fixed
fault,yob,yob,CVC,short,kept
favor,megz,megz,CVCC,fill,kept
fear,froC,froC,CCVC,hand,fixed
feast,Cunt,Cunt,CVCC,fill,kept
feat,smej,smej,CCVC,fill,kept
feather,cind,cind,CVCC,fill,kept
feature,sarz,sarz,CVCC,hand,fixed
feces,vrex,vrex,CCVC,fill,kept
fee,fump,fump,CVCC,fill,kept
feeble,klef,klef,CCVC,fill,kept
feed,nubz,nubz,CVCC,fill,kept
feel,nag,nag,CVC,short,kept
fellow,mosk,mosk,CVCC,fill,kept
female,fim,fim,CVC,hand,fixed
fence,kudj,kudj,CVCC,fill,kept
fern,djen,djen,CCVC,fill,kept
ferry,yump,yump,CVCC,fill,kept
fertile,smeq,smeq,CCVC,fill,kept
festival,fond,fond,CVCC,fill,kept
fetch,vusp,vusp,CVCC,fill,kept
feud,snax,snax,CCVC,fill,kept
fever,pudz,tusk,CVCC,fill,moved
few,flun,flun,CCVC,hand,fixed
fiber,djot,slim,CCVC,fill,moved
fiction,colb,colb,CVCC,fill,kept
fiddle,glit,glit,CCVC,fill,kept
field,gor,gor,CVC,short,kept
fierce,lebz,lebz,CVCC,fill,kept
fight,flet,flet,CCVC,hand,fixed
figure,fud,fud,CVC,short,kept
file,nold,nold,CVCC,fill,kept
fill,nolb,nolb,CVCC,fill,fixed
filter,vek,vek,CVC,hand,fixed
fin,glov,glov,CCVC,fill,kept
final,nend,nend,CVCC,fill,kept
find,fan,fan,CVC,hand,fixed
fine,pol,pol,CVC,short,kept
finger,gart,gart,CVCC,fill,kept
finite,freg,freg,CCVC,fill,fixed
fire,for,for,CVC,hand,fixed
firm,goqk,goqk,CVCC,fill,kept
fish,frix,frix,CCVC,hand,fixed
fist,junt,junt,CVCC,fill,kept
fit,morg,morg,CVCC,fill,kept
five,kom,kom,CVC,hand,fixed
fix,len,len,CVC,short,kept
fizz,fraf,fraf,CCVC,fill,kept
flag,ded,ded,CVC,short,kept
flair,pliv,pliv,CCVC,fill,kept
flake,kron,kron,CCVC,fill,kept
flame,flem,flem,CCVC,hand,fixed
flap,briv,briv,CCVC,fill,kept
flare,wogz,wogz,CVCC,fill,kept
flash,hest,hest,CVCC,fill,kept
flat,flat,flat,CCVC,hand,fixed
flatter,wust,wust,CVCC,fill,kept
flavor,rotx,rotx,CVCC,fill,kept
flaw,djox,djox,CCVC,fill,kept
flax,flub,flub,CCVC,fill,kept
flee,lund,lund,CVCC,fill,kept
fleet,fedz,fedz,CVCC,fill,kept
flesh,flax,flax,CCVC,hand,fixed
flex,vus,vus,CVC,hand,fixed
flinch,spep,spep,CCVC,fill,kept
flip,flip,flip,CCVC,hand,fixed
float,flot,flot,CCVC,hand,fixed
flock,loqk,loqk,CVCC,fill,kept
flood,yeft,yeft,CVCC,fill,kept
floor,rim,rim,CVC,short,kept
flop,pruz,pruz,CCVC,fill,kept
flour,djev,djev,CCVC,fill,kept
flow,sunt,sunt,CVCC,fill,fixed
flower,flor,flor,CCVC,hand,fixed
fluff,smuk,smuk,CCVC,fill,kept
fluid,flud,flud,CCVC,hand,fixed
flush,flux,flux,CCVC,hand,fixed
flute,txic,txic,CCVC,fill,kept
flutter,skom,skom,CCVC,fill,kept
fly,lab,lab,CVC,short,kept
foam,glaq,glaq,CCVC,fill,kept
focus,kat,kat,CVC,hand,fixed
fog,farg,farg,CVCC,hand,fixed
foil,snuf,snuf,CCVC,fill,kept
fold,fold,fold,CVCC,hand,fixed
folk,Citx,Citx,CVCC,fill,kept
follow,darb,darb,CVCC,hand,fixed
folly,smof,smof,CCVC,fill,kept
fond,vesk,vesk,CVCC,fill,kept
font,stuq,stuq,CCVC,fill,kept
food,fiz,fiz,CVC,short,fixed
fool,lim,lim,CVC,short,kept
foot,gral,gral,CCVC,hand,fixed
for,bob,bob,CVC,short,kept
forbid,xalc,xalc,CVCC,fill,kept
