english,english_parts,tune,tune_parts,joiner,parts,whole,where,kind
deficiency,"deficient + ness",,"? + ?",ai,2,no,judged,verdict
definition,"define + act",difauyez,"dif + yez",au,2,yes,affix,verdict
deformity,"deform + ness",,"? + ?",ai,2,no,judged,verdict
degeneration,"degenerate + act",,"? + yez",ai,2,no,judged,verdict
degradation,"degrade + act",vruxaiyez,"vrux + yez",ai,2,yes,judged,verdict
delayed,"delay + done",,"vudj + ?",au,2,no,affix,verdict
deletion,"delete + act",dulaiyez,"dul + yez",ai,2,yes,judged,verdict
delinquent,"young + crime + agent",zenaimempaiyug,"zen + memp + yug",ai,3,yes,sense,verdict
delivery,"deliver + like",dolvaulak,"dolv + lak",au,2,yes,affix,verdict
delta,"river + mouth + land",narvaimucailan,"narv + muc + lan",ai,3,yes,sense,verdict
demean,"dignity + lower",,"fidj + ?",ai,2,no,sense,verdict
democratic,"democracy + of",,"? + yov",ai,2,no,judged,verdict
denim,"blue + cloth",bulaicorv,"bul + corv",ai,2,yes,sense,verdict
density,"dense + nature",txifaunep,"txif + nep",au,2,yes,affix,verdict
department,"depart + act",txibauyez,"txib + yez",au,2,yes,affix,verdict
dependence,"depend + ness",,"font + ?",ai,2,no,judged,verdict
dependent,"depend + agent",fontauyug,"font + yug",au,2,yes,affix,verdict
depletion,"deplete + act",,"? + yez",ai,2,no,judged,verdict
deposit,"put + in",dradairas,"drad + ras",ai,2,yes,sense,verdict
deposition,"deposit + act",,"? + yez",ai,2,no,judged,verdict
depressed,"depress + done",,"vrok + ?",ai,2,no,judged,verdict
deprivation,"deprive + act",snakaiyez,"snak + yez",ai,2,yes,judged,verdict
depth,"deep + measure",govaiyaj,"gov + yaj",ai,2,yes,sense,verdict
dequeue,"queue + take",bavaitek,"bav + tek",ai,2,yes,sense,verdict
deride,"ridicule",txoc,"txoc",ai,1,yes,sense,verdict
derivation,"derive + act",vrubauyez,"vrub + yez",au,2,yes,affix,verdict
derivative,"change + rate",xunaibagz,"xun + bagz",ai,2,yes,sense,verdict
derived,"derive + done",,"vrub + ?",au,2,no,affix,verdict
descendant,"after + kin",retaiwest,"ret + west",ai,2,yes,sense,verdict
descending,"descend + act",txufauyez,"txuf + yez",au,2,yes,affix,verdict
description,"describe + act",sabaiyez,"sab + yez",ai,2,yes,sense,verdict
designer,"design + one",kolfaizan,"kolf + zan",ai,2,yes,judged,verdict
desirable,"desire + able",poqkaufip,"poqk + fip",au,2,yes,affix,verdict
destruction,"destroy + act",xivaiyez,"xiv + yez",ai,2,yes,sense,verdict
destructive,"destroy + like",xivailak,"xiv + lak",ai,2,yes,sense,verdict
detachment,"detach + act",bogaiyez,"bog + yez",ai,2,yes,judged,verdict
detain,"hold + keep",hoqaikarp,"hoq + karp",ai,2,yes,sense,verdict
detection,"detect + act",ragzaiyez,"ragz + yez",ai,2,yes,judged,verdict
detector,"detect + device",ragzaifon,"ragz + fon",ai,2,yes,sense,verdict
detergent,"cleanse + agent",smozaiyug,"smoz + yug",ai,2,yes,judged,verdict
deterioration,"deteriorate + act",,"? + yez",ai,2,no,judged,verdict
determination,"determine + act",xorpaiyez,"xorp + yez",ai,2,yes,judged,verdict
detritivore,"dead + matter + eat + agent",tisaitufaigabaiyug,"tis + tuf + gab + yug",ai,4,yes,sense,verdict
development,"develop + act",fupsauyez,"fups + yez",au,2,yes,affix,verdict
deviation,"deviate + act",vradauyez,"vrad + yez",au,2,yes,affix,verdict
devotion,"devote + act",txojauyez,"txoj + yez",au,2,yes,affix,verdict
devout,"devote + like",txojailak,"txoj + lak",ai,2,yes,sense,verdict
diabetic,"diabetes + of",,"? + yov",ai,2,no,judged,verdict
diagnosis,"diagnose + act",spuzaiyez,"spuz + yez",ai,2,yes,sense,verdict
diagnostic,"diagnose + like",spuzailak,"spuz + lak",ai,2,yes,judged,verdict
diamond,"hard + gem",kadaiblod,"kad + blod",ai,2,yes,sense,verdict
dictator,"dictate + agent",krozaiyug,"kroz + yug",ai,2,yes,sense,verdict
dictionary,"term + book",todaivam,"tod + vam",ai,2,yes,sense,verdict
did,"grammar",,"?",au,1,no,grammar,verdict
difference,"differ + act",bluzauyez,"bluz + yez",au,2,yes,affix,verdict
different,"differ + agent",bluzauyug,"bluz + yug",au,2,yes,affix,verdict
diffract,"bend + spread",bendaidend,"bend + dend",ai,2,yes,sense,verdict
diffraction,"wave + edge + spread",wevaipadjaidend,"wev + padj + dend",ai,3,yes,sense,verdict
diffusion,"diffuse + act",stavaiyez,"stav + yez",ai,2,yes,judged,verdict
digestion,"digest + act",gluxauyez,"glux + yez",au,2,yes,affix,verdict
digestive,"digest + like",gluxailak,"glux + lak",ai,2,yes,judged,verdict
digital,"digit + like",jitaulak,"jit + lak",au,2,yes,affix,verdict
dilatation,"dilate + act",,"? + yez",ai,2,no,judged,verdict
dilute,"concentrate + lower",,"hitx + ?",ai,2,no,sense,verdict
dinner,"night + meal",yitaidarg,"yit + darg",ai,2,yes,sense,verdict
directory,"file + list",noldailist,"nold + list",ai,2,yes,sense,verdict
disability,"not + able + ness",,"mas + fip + ?",ai,3,no,judged,verdict
disable,"not + able",masaufip,"mas + fip",au,2,yes,prefix,verdict
disabled,"disable + done",,"? + ?",au,2,no,affix,verdict
disagree,"not + agree",masaukek,"mas + kek",au,2,yes,prefix,verdict
disappear,"not + appear",masaufleC,"mas + fleC",au,2,yes,prefix,verdict
disappointment,"not + appointment",,"mas + ?",au,2,no,prefix,verdict
disapprove,"not + approve",masauvosk,"mas + vosk",au,2,yes,prefix,verdict
disarrange,"not + arrange",masauhent,"mas + hent",au,2,yes,prefix,verdict
discard,"not + card",masaulez,"mas + lez",au,2,yes,prefix,verdict
discomfort,"not + comfort",masaukraf,"mas + kraf",au,2,yes,prefix,verdict
disconnect,"not + connect",masaudib,"mas + dib",au,2,yes,prefix,verdict
disconnected,"not + connected",,"mas + ?",au,2,no,prefix,verdict
discontent,"not + content",masaudad,"mas + dad",au,2,yes,prefix,verdict
discourage,"not + courage",masaubodz,"mas + bodz",au,2,yes,prefix,verdict
discourse,"not + course",masautig,"mas + tig",au,2,yes,prefix,verdict
discrepancy,"expect + observe + difference",,"yop + suv + ?",ai,3,no,sense,verdict
discrimination,"discriminate + act",,"? + yez",ai,2,no,judged,verdict
discussion,"discuss + act",nalkauyez,"nalk + yez",au,2,yes,affix,verdict
disengage,"not + engage",masaicoqk,"mas + coqk",ai,2,yes,sense,verdict
disgust,"not + gust",,"mas + ?",au,2,no,prefix,verdict
dishonest,"not + honest",masaumitx,"mas + mitx",au,2,yes,prefix,verdict
dishonorable,"not + honor + able",masairesaifip,"mas + res + fip",ai,3,yes,sense,verdict
disingenuous,"not + genuine",masaixund,"mas + xund",ai,2,yes,sense,verdict
dislike,"not + like",masaulak,"mas + lak",au,2,yes,prefix,verdict
dislocation,"dislocate + act",,"? + yez",ai,2,no,judged,verdict
disloyal,"not + loyal",masauvarp,"mas + varp",au,2,yes,prefix,verdict
disobey,"not + obey",masauxand,"mas + xand",au,2,yes,prefix,verdict
disorder,"not + order",masaunord,"mas + nord",au,2,yes,prefix,verdict
disown,"not + own",masautik,"mas + tik",au,2,yes,prefix,verdict
disparage,"worth + lower + speak",,"yes + ? + vik",ai,3,no,sense,verdict
dispersion,"disperse + act",krenaiyez,"kren + yez",ai,2,yes,judged,verdict
displace,"move + away",muvaiyad,"muv + yad",ai,2,yes,sense,verdict
displacement,"displace + act",,"? + yez",ai,2,no,judged,verdict
displeasure,"not + pleasure",masauzim,"mas + zim",au,2,yes,prefix,verdict
disposal,"dispose + act",djaqaiyez,"djaq + yez",ai,2,yes,judged,verdict
disposition,"not + position",masaugiz,"mas + giz",au,2,yes,prefix,verdict
disprove,"not + prove",masaupruv,"mas + pruv",au,2,yes,prefix,verdict
disrespect,"not + respect",masauspek,"mas + spek",au,2,yes,prefix,verdict
disrespectful,"disrespect + full",,"? + vup",au,2,no,affix,verdict
dissection,"dissect + act",,"? + yez",ai,2,no,judged,verdict
dissociation,"dissociate + act",,"? + yez",ai,2,no,judged,verdict
distal,"distant + of",xalkaiyov,"xalk + yov",ai,2,yes,judged,verdict
distill,"not + till",masauvut,"mas + vut",au,2,yes,prefix,verdict
distort,"twist + shape",vitsaideps,"vits + deps",ai,2,yes,sense,verdict
distortion,"distort + act",,"? + yez",ai,2,no,judged,verdict
distress,"apart + stress",prataihisp,"prat + hisp",ai,2,yes,judged,verdict
distribute,"spread + give",dendaigif,"dend + gif",ai,2,yes,sense,verdict
distributed,"distribute + done",,"nuz + ?",au,2,no,affix,verdict
distribution,"distribute + act",nuzauyez,"nuz + yez",au,2,yes,affix,verdict
distrust,"not + trust",masauvef,"mas + vef",au,2,yes,prefix,verdict
disturbance,"disturb + act",vuqkaiyez,"vuqk + yez",ai,2,yes,judged,verdict
diurnal,"day + active",,"yam + ?",ai,2,no,sense,verdict
diverge,"not + converge",masaifran,"mas + fran",ai,2,yes,sense,verdict
diversity,"diverse + nature",vredaunep,"vred + nep",au,2,yes,affix,verdict
dividend,"profit + share",vuksaixal,"vuks + xal",ai,2,yes,sense,verdict
divination,"hidden + know + act",pedjainumaiyez,"pedj + num + yez",ai,3,yes,sense,verdict
division,"divide + act",kuvaiyez,"kuv + yez",ai,2,yes,sense,verdict
documentary,"document + like",falbaulak,"falb + lak",au,2,yes,affix,verdict
documentation,"document + act",falbaiyez,"falb + yez",ai,2,yes,judged,verdict
does,"grammar",,"?",au,1,no,grammar,verdict
dolphin,"small + whale",smalaivols,"smal + vols",ai,2,yes,sense,verdict
donation,"donate + act",wubzaiyez,"wubz + yez",ai,2,yes,judged,verdict
done,"grammar",,"?",au,1,no,grammar,verdict
donkey,"small + horse",smalaihors,"smal + hors",ai,2,yes,sense,verdict
donor,"donate + agent",wubzaiyug,"wubz + yug",ai,2,yes,judged,verdict
dorsal,"back + of",gokaiyov,"gok + yov",ai,2,yes,judged,verdict
dosage,"dose + ness",,"yutx + ?",ai,2,no,judged,verdict
double,"two + fold",dobaifold,"dob + fold",ai,2,yes,sense,verdict
doubtful,"doubt + full",doltauvup,"dolt + vup",au,2,yes,affix,verdict
downpour,"heavy + rain",nantairen,"nant + ren",ai,2,yes,sense,verdict
downward,"down + oriented",,"dot + ?",ai,2,no,sense,verdict
dozen,"twelve + group",mopaihip,"mop + hip",ai,2,yes,sense,verdict
dragonfly,"dragon + fly",tendailef,"tend + lef",ai,2,yes,sense,verdict
drainage,"drain + act",xalpaiyez,"xalp + yez",ai,2,yes,judged,verdict
driver,"drive + agent",divaiyug,"div + yug",ai,2,yes,judged,verdict
drizzle,"light + rain",litairen,"lit + ren",ai,2,yes,sense,verdict
droopy,"droop + like",,"? + lak",ai,2,no,sense,verdict
ductile,"much + deform + without + fracture",,"nen + ? + Cev + remp",ai,4,no,sense,verdict
dune,"sand + hill",sandaigagz,"sand + gagz",ai,2,yes,sense,verdict
duplex,"two + fold",dobaifold,"dob + fold",ai,2,yes,judged,verdict
duplication,"duplicate + act",plidauyez,"plid + yez",au,2,yes,affix,verdict
earthquake,"earth + quake",riqaismig,"riq + smig",ai,2,yes,compound,verdict
eastward,"east + oriented",,"rog + ?",ai,2,no,sense,verdict
easy,"ease + like",tebzaulak,"tebz + lak",au,2,yes,affix,verdict
ebb,"tide + fall",juqkaizur,"juqk + zur",ai,2,yes,sense,verdict
eccentric,"convention + unusual + differ",,"? + bogz + bluz",ai,3,no,sense,verdict
echinacea,"cone + flower",korbaiflor,"korb + flor",ai,2,yes,sense,verdict
eclipse,"shadow + sun",petsaisan,"pets + san",ai,2,yes,sense,verdict
ecology,"life + place + study",cadainadainedz,"cad + nad + nedz",ai,3,yes,sense,verdict
economy,"wealth + system",,"? + wux",ai,2,no,sense,verdict
ecosystem,"life + place + system",cadainadaiwux,"cad + nad + wux",ai,3,yes,sense,verdict
ecotone,"ecosystem + between + zone",,"? + tin + zon",ai,3,no,sense,verdict
eddy,"small + vortex",,"smal + ?",ai,2,no,sense,verdict
edible,"eat + able",gabaifip,"gab + fip",ai,2,yes,sense,verdict
edition,"edit + act",regaiyez,"reg + yez",ai,2,yes,judged,verdict
education,"educate + act",txanauyez,"txan + yez",au,2,yes,affix,verdict
effect size,"effect + magnitude",zakaismuq,"zak + smuq",ai,2,yes,sense,verdict
effective,"effect + like",zakaulak,"zak + lak",au,2,yes,affix,verdict
efficiency,"efficient + nature",rolvainep,"rolv + nep",ai,2,yes,sense,verdict
effusion,"effuse + act",,"? + yez",ai,2,no,judged,verdict
eighteen,"ten + eight",feCaifet,"feC + fet",ai,2,yes,sense,verdict
eighth,"eight + order",fetainord,"fet + nord",ai,2,yes,sense,verdict
eighty,"eight + ten",fetaifeC,"fet + feC",ai,2,yes,sense,verdict
ejaculation,"ejaculate + act",,"? + yez",ai,2,no,judged,verdict
elasticity,"elastic + ness",,"stin + ?",ai,2,no,judged,verdict
elder,"grammar",,"?",au,1,no,grammar,verdict
eldest,"grammar",,"?",au,1,no,grammar,verdict
election,"elect + act",smuvauyez,"smuv + yez",au,2,yes,affix,verdict
electricity,"electric + nature",kespaunep,"kesp + nep",au,2,yes,affix,verdict
electron,"negative + particle",dumairav,"dum + rav",ai,2,yes,sense,verdict
elevation,"elevate + act",skotauyez,"skot + yez",au,2,yes,affix,verdict
eleven,"elevate + make",skotaumek,"skot + mek",au,2,yes,affix,verdict
eleventh,"eleven + order",cukainord,"cuk + nord",ai,2,yes,sense,verdict
eligible,"requirement + satisfy",,"? + yarz",ai,2,no,sense,verdict
eliminate,"remove",pebz,"pebz",ai,1,yes,sense,verdict
elk,"big + deer",brataixars,"brat + xars",ai,2,yes,sense,verdict
elongation,"elongate + act",,"? + yez",ai,2,no,judged,verdict
embassy,"nation + speak + place",pompaivikainad,"pomp + vik + nad",ai,3,yes,sense,verdict
embody,"body + give",vataigif,"vat + gif",ai,2,yes,sense,verdict
embryonic,"embryo + of",vrenaiyov,"vren + yov",ai,2,yes,judged,verdict
emerald,"green + gem",pesaiblod,"pes + blod",ai,2,yes,sense,verdict
emigrate,"migrate + out",,"? + buk",ai,2,no,sense,verdict
eminence,"eminent + ness",,"? + ?",ai,2,no,judged,verdict
emission,"emit + act",,"? + yez",ai,2,no,sense,verdict
emphasize,"emphasis + do",snogaiduz,"snog + duz",ai,2,yes,judged,verdict
employee,"employ + target",gluqaubim,"gluq + bim",au,2,yes,affix,verdict
employer,"employ + agent",gluqauyug,"gluq + yug",au,2,yes,affix,verdict
employment,"employ + act",gluqaiyez,"gluq + yez",ai,2,yes,judged,verdict
emulate,"imitate",trut,"trut",ai,1,yes,sense,verdict
enabled,"enable + done",,"bef + ?",au,2,no,affix,verdict
encapsulate,"shell + put",txalaidrad,"txal + drad",ai,2,yes,sense,verdict
encephalitis,"brain + inflammation",brenaifrep,"bren + frep",ai,2,yes,judged,verdict
encrypt,"secret + make",kretaimek,"kret + mek",ai,2,yes,sense,verdict
endothermic,"heat + absorb",hitaizub,"hit + zub",ai,2,yes,sense,verdict
endpoint,"end + point",guvaileC,"guv + leC",ai,2,yes,sense,verdict
endurance,"endure + act",wigzauyez,"wigz + yez",au,2,yes,affix,verdict
engagement,"engage + act",coqkaiyez,"coqk + yez",ai,2,yes,judged,verdict
engineer,"engine + agent",diksauyug,"diks + yug",au,2,yes,affix,verdict
enhancement,"enhance + act",,"? + yez",ai,2,no,judged,verdict
enlargement,"large + make + act",giqkaimekaiyez,"giqk + mek + yez",ai,3,yes,judged,verdict
enqueue,"queue + put",bavaidrad,"bav + drad",ai,2,yes,sense,verdict
entail,"must + include",,"? + dab",ai,2,no,sense,verdict
entitlement,"right + give",pobaigif,"pob + gif",ai,2,yes,sense,verdict
entity,"end + nature",guvaunep,"guv + nep",au,2,yes,affix,verdict
entrain,"cause + synchronize",,"kaz + ?",ai,2,no,sense,verdict
entrance,"entry + act",,"? + yez",au,2,no,affix,verdict
entry,"enter + like",drozaulak,"droz + lak",au,2,yes,affix,verdict
epidermal,"epidermis + of",,"? + yov",ai,2,no,judged,verdict
equal,"equate + like",,"? + lak",au,2,no,affix,verdict
equality,"equal + nature",,"? + nep",au,2,no,affix,verdict
equation,"equate + act",,"? + yez",au,2,no,affix,verdict
equator,"equate + agent",,"? + yug",au,2,no,affix,verdict
equine,"horse + of",horsaiyov,"hors + yov",ai,2,yes,judged,verdict
equinox,"equal + night + day",,"? + yit + yam",ai,3,no,sense,verdict
equipment,"equip + act",,"? + yez",ai,2,no,judged,verdict
equity,"own + share",tikaixal,"tik + xal",ai,2,yes,sense,verdict
erection,"erect + act",spipaiyez,"spip + yez",ai,2,yes,judged,verdict
eruption,"erupt + act",,"? + yez",ai,2,no,judged,verdict
escarpment,"long + cliff",nucaipidj,"nuc + pidj",ai,2,yes,sense,verdict
esophageal,"esophagus + of",,"? + yov",ai,2,no,judged,verdict
especial,"special",fez,"fez",ai,1,yes,sense,verdict
espresso,"strong + coffee",livaifoq,"liv + foq",ai,2,yes,sense,verdict
essential,"essence + of",yarkaiyov,"yark + yov",ai,2,yes,judged,verdict
establishment,"establish + act",campaiyez,"camp + yez",ai,2,yes,judged,verdict
estuary,"river + mouth",narvaimuc,"narv + muc",ai,2,yes,sense,verdict
eternity,"eternal + ness",,"xax + ?",ai,2,no,judged,verdict
ethereal,"air + like",lesailak,"les + lak",ai,2,yes,sense,verdict
ethnic,"nation + of",pompaiyov,"pomp + yov",ai,2,yes,judged,verdict
etymology,"word + origin",dataiwimp,"dat + wimp",ai,2,yes,sense,verdict
evaluation,"evaluate + act",kruvaiyez,"kruv + yez",ai,2,yes,judged,verdict
evergreen,"leaf + keep + always",lifaikarpainaq,"lif + karp + naq",ai,3,yes,sense,verdict
everyone,"every + one",hezaizan,"hez + zan",ai,2,yes,sense,verdict
everything,"every + thing",hezainiv,"hez + niv",ai,2,yes,sense,verdict
evict,"force + out",rosaibuk,"ros + buk",ai,2,yes,sense,verdict
evident,"evidence + like",lapailak,"lap + lak",ai,2,yes,sense,verdict
exactly,"exact + manner",bolvaukuq,"bolv + kuq",au,2,yes,affix,verdict
exam,"examination",,"?",ai,1,no,clipping,verdict
examination,"examine + act",foqkaiyez,"foqk + yez",ai,2,yes,judged,verdict
exception,"except + act",Cozauyez,"Coz + yez",au,2,yes,affix,verdict
excessive,"excess + like",djozaulak,"djoz + lak",au,2,yes,affix,verdict
excited,"excite + done",,"plux + ?",au,2,no,affix,verdict
excretion,"excrete + act",,"? + yez",ai,2,no,judged,verdict
execute,"run",rin,"rin",ai,1,yes,sense,verdict
execution,"execute + act",,"? + yez",ai,2,no,judged,verdict
executive,"execute + like",,"? + lak",ai,2,no,judged,verdict
exemplify,"example + give",destaigif,"dest + gif",ai,2,yes,sense,verdict
exhaustion,"exhaust + act",txipauyez,"txip + yez",au,2,yes,affix,verdict
exhaustive,"all + cover",kolaikov,"kol + kov",ai,2,yes,sense,verdict
exhibition,"exhibit + act",,"? + yez",ai,2,no,judged,verdict
existence,"exist + act",wavauyez,"wav + yez",au,2,yes,affix,verdict
exoskeleton,"outer + shell",,"? + txal",ai,2,no,sense,verdict
exothermic,"heat + release",hitaigarf,"hit + garf",ai,2,yes,sense,verdict
expectation,"expect + act",yopauyez,"yop + yez",au,2,yes,affix,verdict
expected value,"probability + weigh + average",,"? + Cend + vraj",ai,3,no,sense,verdict
expense,"spend + act",robaiyez,"rob + yez",ai,2,yes,sense,verdict
expensive,"expense + like",,"? + lak",au,2,no,affix,verdict
explanation,"explain + act",yepauyez,"yep + yez",au,2,yes,affix,verdict
explosion,"explode + act",forpaiyez,"forp + yez",ai,2,yes,sense,verdict
explosive,"explode + like",forpailak,"forp + lak",ai,2,yes,sense,verdict
extension,"extend + act",cegzaiyez,"cegz + yez",ai,2,yes,judged,verdict
extinction,"extinct + act",blaqauyez,"blaq + yez",au,2,yes,affix,verdict
extirpate,"local + extinct",ruvaiblaq,"ruv + blaq",ai,2,yes,sense,verdict
extraction,"extract + act",djufaiyez,"djuf + yez",ai,2,yes,judged,verdict
extrapolate,"beyond + estimate",numpailesp,"nump + lesp",ai,2,yes,sense,verdict
extremity,"extreme + ness",,"vuft + ?",ai,2,no,judged,verdict
eyebrow,"eye + brow",xicaibrol,"xic + brol",ai,2,yes,sense,verdict
eyelid,"eye + lid",,"xic + ?",ai,2,no,sense,verdict
eyespot,"simple + eye",brizaixic,"briz + xic",ai,2,yes,sense,verdict
fable,"beast + story",bistaizam,"bist + zam",ai,2,yes,sense,verdict
facet,"flat + face",flataifes,"flat + fes",ai,2,yes,sense,verdict
facetious,"humor + not + serious",kalfaimasaifev,"kalf + mas + fev",ai,3,yes,sense,verdict
facial,"face + of",fesaiyov,"fes + yov",ai,2,yes,judged,verdict
facility,"facilitate + like",staxaulak,"stax + lak",au,2,yes,affix,verdict
faction,"face + act",fesauyez,"fes + yez",au,2,yes,affix,verdict
factory,"factor + like",Ciqkaulak,"Ciqk + lak",au,2,yes,affix,verdict
failure,"fail + act",furaiyez,"fur + yez",ai,2,yes,sense,verdict
fairness,"fair + nature",romaunep,"rom + nep",au,2,yes,affix,verdict
faithful,"faith + full",narpauvup,"narp + vup",au,2,yes,affix,verdict
falcon,"fast + eagle",fastaivotx,"fast + votx",ai,2,yes,sense,verdict
fallback,"spare + choice",,"degz + ?",ai,2,no,sense,verdict
falsify,"false + prove",rotaipruv,"rot + pruv",ai,2,yes,sense,verdict
familial,"family + of",famaiyov,"fam + yov",ai,2,yes,judged,verdict
fang,"long + sharp + tooth",nucaibontaicutx,"nuc + bont + cutx",ai,3,yes,sense,verdict
farmer,"farm + agent",despauyug,"desp + yug",au,2,yes,affix,verdict
farther,"grammar",,"?",au,1,no,grammar,verdict
farthest,"grammar",,"?",au,1,no,grammar,verdict
fastener,"fasten + agent",grodauyug,"grod + yug",au,2,yes,affix,verdict
faster,"fast + agent",fastauyug,"fast + yug",au,2,yes,affix,verdict
fatigue,"repeat + stress + weaken",,"vav + hisp + ?",ai,3,no,sense,verdict
fatty,"fat + like",wesailak,"wes + lak",ai,2,yes,judged,verdict
fault tolerance,"tolerate + fault",Calbaiyob,"Calb + yob",ai,2,yes,sense,verdict
feasible,"do + able",duzaifip,"duz + fip",ai,2,yes,sense,verdict
featuring,"feature + act",sarzauyez,"sarz + yez",au,2,yes,affix,verdict
fecal,"feces + of",vrexaiyov,"vrex + yov",ai,2,yes,judged,verdict
federal,"federation + of",,"? + yov",ai,2,no,judged,verdict
federation,"federate + act",,"? + yez",ai,2,no,judged,verdict
feedback,"feed + back",nubzaigok,"nubz + gok",ai,2,yes,compound,verdict
feeder,"feed + agent",nubzaiyug,"nubz + yug",ai,2,yes,judged,verdict
feeler,"feel + agent",nagauyug,"nag + yug",au,2,yes,affix,verdict
feeling,"feel + act",nagauyez,"nag + yez",au,2,yes,affix,verdict
femoral,"femur + of",,"? + yov",ai,2,no,judged,verdict
fen,"wet + meadow",gegzaiplix,"gegz + plix",ai,2,yes,sense,verdict
fenugreek,"bitter + seed",vumpaisid,"vump + sid",ai,2,yes,sense,verdict
fermentation,"ferment + act",,"? + yez",ai,2,no,judged,verdict
fertility,"fertile + ness",,"smeq + ?",ai,2,no,judged,verdict
fertilization,"fertilize + act",,"? + yez",ai,2,no,judged,verdict
fertilize,"fertile + make",smeqaumek,"smeq + mek",au,2,yes,affix,verdict
fertilizer,"plant + food",dorfaifiz,"dorf + fiz",ai,2,yes,sense,verdict
fetus,"embryo + grow",vrenaigrun,"vren + grun",ai,2,yes,sense,verdict
fibrous,"fiber + like",djotaulak,"djot + lak",au,2,yes,affix,verdict
fifth,"five + order",komainord,"kom + nord",ai,2,yes,sense,verdict
fifty,"five + ten",komaifeC,"kom + feC",ai,2,yes,sense,verdict
figurative,"not + literal",,"mas + ?",ai,2,no,sense,verdict
filler,"fill + agent",nolbaiyug,"nolb + yug",ai,2,yes,judged,verdict
film,"thin + layer",porvaigrof,"porv + grof",ai,2,yes,sense,verdict
filth,"foul + nature",hustainep,"hust + nep",ai,2,yes,sense,verdict
filthy,"filth + like",,"? + lak",au,2,no,affix,verdict
filtration,"filter + act",vekaiyez,"vek + yez",ai,2,yes,judged,verdict
finance,"fin + act",glovauyez,"glov + yez",au,2,yes,affix,verdict
financial,"finance + of",,"? + yov",ai,2,no,judged,verdict
finch,"small + sparrow",smalaibrax,"smal + brax",ai,2,yes,sense,verdict
finish,"fin + like",glovaulak,"glov + lak",au,2,yes,affix,verdict
fir,"needle + pine",valdaicomp,"vald + comp",ai,2,yes,sense,verdict
firewood,"fire + wood",foraivriC,"for + vriC",ai,2,yes,sense,verdict
first,"one + order",zanainord,"zan + nord",ai,2,yes,sense,verdict
fisher,"fish + agent",frixauyug,"frix + yug",au,2,yes,affix,verdict
fission,"nucleus + split",klisaidit,"klis + dit",ai,2,yes,sense,verdict
fixation,"fix + act",lenaiyez,"len + yez",ai,2,yes,judged,verdict
fixed,"fix + done",,"len + ?",au,2,no,affix,verdict
fixture,"fix + thing",lenainiv,"len + niv",ai,2,yes,judged,verdict
fjord,"deep + sea + valley",govaimalcaibaqk,"gov + malc + baqk",ai,3,yes,sense,verdict
flattened,"flat + make + done",,"flat + mek + ?",ai,3,no,judged,verdict
flea,"jump + bug",metsaipamp,"mets + pamp",ai,2,yes,sense,verdict
flexible,"flex + able",vusaufip,"vus + fip",au,2,yes,affix,verdict
flexure,"flex + ness",,"vus + ?",ai,2,no,judged,verdict
flight,"fly + act",lefaiyez,"lef + yez",ai,2,yes,sense,verdict
flint,"spark + rock",cadjairak,"cadj + rak",ai,2,yes,sense,verdict
flipper,"swim + limb",wumailarf,"wum + larf",ai,2,yes,sense,verdict
floater,"float + agent",flotauyug,"flot + yug",au,2,yes,affix,verdict
floodplain,"flood + plain",yeftaipind,"yeft + pind",ai,2,yes,sense,verdict
flounder,"flat + fish",flataifrix,"flat + frix",ai,2,yes,sense,verdict
flu,"influenza",,"?",ai,1,no,clipping,verdict
fluorescence,"fluoresce + act",,"? + yez",ai,2,no,judged,verdict
fluoride,"fluorine + salt",,"? + tigz",ai,2,no,judged,verdict
flux,"flow + rate + boundary",suntaibagzaibund,"sunt + bagz + bund",ai,3,yes,sense,verdict
folder,"file + hold",noldaihoq,"nold + hoq",ai,2,yes,sense,verdict
follower,"follow + agent",darbauyug,"darb + yug",au,2,yes,affix,verdict
food,"feed + thing",nubzainiv,"nubz + niv",ai,2,yes,sense,verdict
foolish,"fool + like",limaulak,"lim + lak",au,2,yes,affix,verdict
foothill,"foot + hill",gralaigagz,"gral + gagz",ai,2,yes,sense,verdict
forbidden,"forbid + make",xalcaumek,"xalc + mek",au,2,yes,affix,verdict
forced,"force + done",,"ros + ?",au,2,no,affix,verdict
forceful,"force + full",rosauvup,"ros + vup",au,2,yes,affix,verdict
ford,"river + cross + place",narvaikrasainad,"narv + kras + nad",ai,3,yes,sense,verdict
fore,"front",keg,"keg",ai,1,yes,sense,verdict
forearm,"front + arm",kegaimarb,"keg + marb",ai,2,yes,sense,verdict
forecast,"before + predict",toraiwudj,"tor + wudj",ai,2,yes,sense,verdict
forehead,"front + head",kegaihad,"keg + had",ai,2,yes,sense,verdict
foreigner,"foreign + agent",bubzauyug,"bubz + yug",au,2,yes,affix,verdict
foresight,"before + sight",toraisat,"tor + sat",ai,2,yes,sense,verdict
foretell,"before + tell",toraital,"tor + tal",ai,2,yes,sense,verdict
formate,"formic + salt",,"? + tigz",ai,2,no,judged,verdict
formation,"form + act",nuntaiyez,"nunt + yez",ai,2,yes,judged,verdict
former,"form + agent",nuntauyug,"nunt + yug",au,2,yes,affix,verdict
formulation,"formulate + act",,"? + yez",ai,2,no,judged,verdict
forth,"forward",mat,"mat",ai,1,yes,sense,verdict
fortify,"fort + make",fortaumek,"fort + mek",au,2,yes,affix,verdict
