english                 tune    shape  role           uses  head  source
dash                    cuqk    cvcc   verb              2     0  fill
data                    vuq     cvc    noun             12     5  hand
date                    fob     cvc    verb              4     2  short
daughter                vor     cvc    noun              0     0  short
dawn                    bebz    cvcc   noun              3     1  fill
day                     yam     cvc    noun             29    17  hand
daylight                fuks    cvcc   noun              0     0  fill
daze                    flix    ccvc   verb              1     0  fill
dazzle                  stex    ccvc   verb              0     0  fill
dead                    tis     cvc    adjective        12     2  short
deaf                    huks    cvcc   adjective         0     0  fill
deal                    djat    ccvc   verb             18    15  hand
dear                    zev     cvc    adjective         2     2  short
death                   dac     cvc    noun             27    12  hand
debate                  xist    cvcc   verb              2     2  fill
debris                  djab    ccvc   noun              1     1  fill
debt                    sibz    cvcc   noun              2     2  fill
decay                   txex    ccvc   verb              7     2  fill
deceit                  treq    ccvc   noun              4     0  fill
deceive                 gloz    ccvc   verb              2     0  fill
decent                  dogz    cvcc   adjective         1     1  fill
decide                  nift    cvcc   verb              6     3  fill
decimal                 brob    ccvc   noun              0     0  hand
deck                    boqk    cvcc   noun              0     0  fill
declare                 jaft    cvcc   verb              5     0  fill
decline                 djug    ccvc   verb              1     0  fill
decode                  spot    ccvc   verb              0     0  fill
decorate                prom    ccvc   verb              9     1  fill
decrease                spig    ccvc   verb              2     0  fill
dedicate                bluk    ccvc   verb              1     0  fill
deduce                  flim    ccvc   verb              0     0  fill
deed                    did     cvc    noun              5     5  hand
deep                    gov     cvc    adjective        57    10  short
deer                    xars    cvcc   noun              2     1  fill
default                 kof     cvc    noun              0     0  hand
defeat                  voft    cvcc   verb              3     0  fill
defect                  blot    ccvc   verb              0     0  fill
defend                  targ    cvcc   verb              1     0  fill
defense                 guft    cvcc   noun              5     1  fill
deficit                 spoz    ccvc   noun              0     0  fill
define                  dif     cvc    verb              2     0  hand
definite                dref    ccvc   adjective         1     0  hand
defy                    djoq    ccvc   verb              2     0  fill
degrade                 vrux    ccvc   verb              0     0  fill
degree                  drig    ccvc   noun              1     0  hand
deity                   fliv    ccvc   noun              3     2  fill
delay                   vudj    cvcc   verb              9     1  fill
delegate                smoC    ccvc   verb              1     0  fill
delete                  dul            verb              0     0  hand
deliberate              drez    ccvc   adjective         0     0  fill
delicate                fuft    cvcc   adjective         7     1  fill
delicious               pips    cvcc   adjective         0     0  fill
delight                 yaft    cvcc   verb              2     0  fill
deliver                 dolv    cvcc   verb              1     0  hand
demand                  kesk    cvcc   verb              4     3  fill
demon                   dent    cvcc   noun              0     0  fill
demonstrate             lalf    cvcc   verb              1     0  fill
dense                   txif    ccvc   adjective         2     0  fill
density                 smoc    ccvc   noun              1     0  fill
dent                    glev    ccvc   noun              1     1  fill
deny                    diqk    cvcc   verb              2     1  hand
depart                  txib    ccvc   verb              0     0  fill
depend                  font    cvcc   verb              6     4  fill
depict                  flev    ccvc   verb              0     0  fill
depot                   djuC    ccvc   noun              0     0  fill
depress                 vrok    ccvc   verb              0     0  fill
depression              jigz    cvcc   noun              0     0  fill
deprive                 snak    ccvc   noun              0     0  fill
derive                  vrub    ccvc   verb              0     0  fill
descend                 txuf    ccvc   verb              0     0  fill
describe                sab     cvc    verb              1     0  hand
desert                  dors    cvcc   verb              0     0  hand
deserve                 nolv    cvcc   verb              1     0  fill
design                  kolf    cvcc   verb             16    13  fill
designate               frod    ccvc   verb              0     0  fill
desire                  poqk    cvcc   verb             14    11  fill
desk                    dask    cvcc   noun              0     0  hand
despair                 yent    cvcc   noun              0     0  fill
dessert                 seps    cvcc   noun              1     1  fill
destination             yift    cvcc   noun              0     0  fill
destiny                 borv    cvcc   noun              0     0  fill
destroy                 xiv     cvc    noun             13     7  hand
detach                  bog     cvc    verb              0     0  short
detail                  tibz    cvcc   verb             15     9  fill
detect                  ragz    cvcc   verb              1     0  fill
determine               xorp    cvcc   verb              0     0  fill
develop                 fups    cvcc   verb              4     2  fill
deviate                 vrad    ccvc   verb              0     0  fill
device                  fon     cvc    noun             28    27  hand
devil                   gigz    cvcc   noun              0     0  fill
devote                  txoj    ccvc   verb              2     0  fill
dew                     txig    ccvc   noun              1     0  fill
diagnose                spuz    ccvc   verb              2     2  fill
diagonal                flef    ccvc   adjective         0     0  fill
diagram                 snoq    ccvc   noun              0     0  fill
dial                    xaks    cvcc   noun              1     1  fill
dialect                 snex    ccvc   noun              0     0  fill
diameter                spux    ccvc   noun              0     0  fill
diaphragm               txeC    ccvc   noun              0     0  fill
dictate                 kroz    ccvc   verb              0     0  fill
die                     sex     cvc    verb              2     1  short
diet                    hetx    cvcc   noun              2     2  fill
differ                  bluz    ccvc   verb              0     0  fill
difficult               skut    ccvc   adjective         6     0  hand
diffuse                 stav    ccvc   adjective         0     0  fill
dig                     narz    cvcc   verb             11     1  fill
digest                  glux    ccvc   verb              1     1  fill
digit                   jit     cvc    noun              1     0  hand
dignity                 fidj    cvcc   noun              0     0  fill
diligent                vrib    ccvc   adjective         1     0  fill
dim                     dof     cvc    adjective         0     0  short
dimension               pat     cvc    noun              0     0  hand
diminish                skub    ccvc   verb              1     0  fill
dine                    webz    cvcc   verb              3     1  fill
dip                     jiqk    cvcc   verb              4     3  fill
diplomatic              rogz    cvcc   adjective         3     0  fill
direct                  balk    cvcc   adjective         4     1  fill
direction               drix    ccvc   noun             13    10  hand
dirt                    dort    cvcc   noun             21    13  hand
dirty                   mats    cvcc   adjective        15     5  fill
disappoint              xosp    cvcc   verb              2     0  fill
disaster                ketx    cvcc   noun              2     2  fill
disc                    brud    ccvc   noun              2     1  fill
discern                 sark    cvcc   verb              0     0  hand
discharge               cedz    cvcc   verb              0     0  fill
discipline              plin    ccvc   verb              0     0  hand
discover                disk    cvcc   verb              1     1  hand
discuss                 nalk    cvcc   verb              4     0  fill
disease                 bidj    cvcc   noun             23    17  fill
disguise                jent    cvcc   verb              1     0  fill
dish                    voks    cvcc   verb             14    13  fill
disk                    cimp    cvcc   noun              2     2  fill
dismiss                 yord    cvcc   verb              0     0  fill
dispatch                Corf    cvcc   verb              1     0  fill
disperse                kren    ccvc   verb              0     0  fill
display                 xoqk    cvcc   verb             12     7  fill
dispose                 djaq    ccvc   verb              0     0  fill
dispute                 djef    ccvc   verb              3     1  fill
disrupt                 snac    ccvc   verb              1     0  fill
dissolve                zalv    cvcc   verb              3     1  hand
distance                bedz    cvcc   noun              9     8  fill
distant                 xalk    cvcc   adjective        26     1  fill
distinct                djoC    ccvc   adjective         1     0  fill
distinguish             krez    ccvc   verb              0     0  fill
distract                lind    cvcc   verb              0     0  fill
district                pant    cvcc   noun              1     0  fill
disturb                 vuqk    cvcc   verb              0     0  fill
ditch                   jisp    cvcc   verb              2     2  fill
dive                    zudz    cvcc   verb              3     2  fill
diverse                 vred    ccvc   adjective         0     0  fill
divide                  kuv     cvc    verb              8     2  hand
divine                  dav     cvc    adjective         6     0  hand
divorce                 gust    cvcc   verb              1     0  fill
dizzy                   xoft    cvcc   adjective         1     0  fill
do                      duz     cvc    verb             66    49  hand
dock                    folp    cvcc   verb              5     2  fill
doctor                  seb     cvc    noun             21    19  short
doctrine                skof    ccvc   noun              0     0  fill
document                falb    cvcc   verb              8     6  fill
dog                     dag     cvc    noun             19    12  hand
doll                    baft    cvcc   noun              0     0  fill
dollar                  dorb    cvcc   noun              0     0  fill
domain                  brox    ccvc   noun              0     0  fill
dome                    txox    ccvc   noun              1     1  fill
domestic                Codj    cvcc   adjective         0     0  fill
donate                  wubz    cvcc   verb              1     0  fill
door                    dor     cvc    noun              9     1  hand
dormant                 speg    ccvc   adjective         0     0  fill
dose                    yutx    cvcc   noun              1     0  fill
dot                     Cuft    cvcc   noun              6     2  fill
doubt                   dolt    cvcc   verb             10     6  hand
dough                   hind    cvcc   noun              1     1  fill
dove                    yalv    cvcc   verb              0     0  fill
down                    dot     cvc    preposition     120    80  hand
draft                   Cind    cvcc   verb              0     0  fill
drag                    dreg    ccvc   verb              3     0  hand
dragon                  tend    cvcc   noun              0     0  fill
drain                   xalp    cvcc   verb              3     1  fill
drama                   polf    cvcc   noun              2     1  fill
draw                    gisp    cvcc   verb             38    20  fill
dread                   blef    ccvc   noun              1     1  fill
dream                   drim    ccvc   verb              9     4  hand
dress                   liz     cvc    verb              9     6  short
drift                   ceqk    cvcc   verb              2     1  fill
drill                   suqk    cvcc   verb              1     0  fill
drink                   dug     cvc    verb             42    26  hand
drip                    rand    cvcc   verb              6     3  fill
drive                   feq     cvc    verb             25    10  short
drive                   div     cvc    verb             25    10  hand
drive                   fen     cvc    verb             25    10  short
drool                   drul           noun              1     0  hand
drop                    drap    ccvc   verb             24    17  hand
drought                 snit    ccvc   noun              0     0  fill
drown                   fegz    cvcc   verb              0     0  fill
drug                    som     cvc    noun             16    11  hand
drum                    drum    ccvc   verb              5     1  hand
drunk                   wub     cvc    adjective         5     1  short
dry                     dral    ccvc   adjective        16     1  hand
dual                    spex    ccvc   adjective         4     0  fill
duck                    babz    cvcc   noun              1     0  fill
duct                    djag    ccvc   noun              0     0  fill
due                     nodj    cvcc   adjective         2     1  fill
dull                    vasp    cvcc   adjective         9     0  fill
dumb                    nadz    cvcc   adjective         0     0  fill
dummy                   forg    cvcc   adjective         3     0  fill
dump                    domp    cvcc   verb              0     0  hand
dumpling                skez    ccvc   verb              1     0  fill
duplicate               plid    ccvc   verb              0     0  fill
duration                huz     cvc    noun              1     1  hand
during                  gof     cvc    preposition       0     0  short
dusk                    snuj    ccvc   noun              1     0  fill
dust                    bomp    cvcc   noun              5     3  fill
duty                    nist    cvcc   noun              6     6  fill
dwarf                   djob    ccvc   noun              0     0  fill
dwell                   drab    ccvc   verb              3     2  fill
dye                     grif    ccvc   verb              2     1  fill
dynamic                 dez     cvc    adjective         0     0  hand
each                    sof     cvc    determiner        1     0  hand
eager                   Corg    cvcc   adjective         3     2  fill
eagle                   votx    cvcc   noun              0     0  fill
ear                     dits    cvcc   noun             21     6  fill
early                   yab     cvc    adjective        18     1  short
earn                    hesp    cvcc   verb              4     4  fill
earnest                 smen    ccvc   adjective         2     2  fill
earth                   riq     cvc    noun             40     8  short
ease                    tebz    cvcc   noun              7     1  fill
east                    rog     cvc    adjective         1     1  hand
eat                     gab     cvc    verb             46    34  hand
echo                    Corb    cvcc   verb              9     1  fill
ecstasy                 djep    ccvc   noun              0     0  fill
edge                    padj    cvcc   verb             35    24  hand
edit                    reg     cvc    verb              0     0  hand
educate                 txan    ccvc   verb              3     2  fill
eel                     smun    ccvc   noun              0     0  fill
effect                  zak     cvc    verb             13    13  hand
efficient               rolv    cvcc   adjective         0     0  fill
effort                  tift    cvcc   noun             12    11  fill
egg                     bisp    cvcc   noun             26     3  fill
ego                     jalv    cvcc   noun              2     1  fill
eight                   fet     cvc    value             5     1  hand
either                  veg     cvc    conjunction       0     0  short
elastic                 stin    ccvc   adjective         0     0  fill
elbow                   holv    cvcc   noun              0     0  hand
elder                   Cesp    cvcc   adjective         1     0  fill
elect                   smuv    ccvc   verb              0     0  fill
electric                kesp    cvcc   adjective        25     1  fill
elegant                 cabz    cvcc   adjective         1     0  fill
element                 larg    cvcc   noun              6     6  hand
elephant                vorp    cvcc   noun              0     0  fill
elevate                 skot    ccvc   verb              2     0  fill
elicit                  fluq    ccvc   adjective         0     0  fill
ellipse                 tiz     cvc    noun              0     0  hand
eloquent                stot    ccvc   adjective         0     0  fill
else                    fos     cvc    determiner        1     0  hand
embarrass               xasp    cvcc   verb              2     1  fill
embed                   nust    cvcc   verb              0     0  hand
embrace                 jarg    cvcc   verb              1     0  fill
embryo                  vren    ccvc   noun              2     0  fill
emerge                  moj     cvc    verb              0     0  hand
emergency               mugz    cvcc   noun              0     0  fill
emotion                 tuc     cvc    noun             11     9  hand
empathy                 spez    ccvc   noun              0     0  fill
emphasis                snog    ccvc   noun              0     0  fill
empire                  vidz    cvcc   noun              0     0  fill
employ                  gluq    ccvc   noun              3     3  fill
empty                   nuv     cvc    adjective        19     1  hand
enable                  bef     cvc    verb              0     0  short
encourage               cunt    cvcc   verb              3     0  fill
end                     guv     cvc    verb             66    33  hand
endure                  wigz    cvcc   verb              4     1  fill
enemy                   netx    cvcc   noun              4     2  fill
energy                  bup     cvc    noun             16    11  hand
engage                  coqk    cvcc   verb              2     0  fill
engine                  diks    cvcc   noun              5     3  fill
enjoy                   wib     cvc    verb              5     2  short
enlighten               txij    ccvc   verb              0     0  fill
enlist                  smem    ccvc   verb              3     2  fill
enormous                famp    cvcc   adjective         0     0  fill
enough                  pux     cvc    adjective        15    11  short
enroll                  vruv    ccvc   verb              1     1  fill
ensure                  rolf    cvcc   verb              0     0  fill
enter                   droz    ccvc   verb             14     7  hand
entertain               codj    cvcc   noun              3     1  fill
enthusiastic            drat    ccvc   adjective         1     0  fill
entice                  flad    ccvc   verb              1     0  fill
entire                  wed     cvc    adjective         2     0  short
envelope                falv    cvcc   noun              0     0  fill
environment             ron     cvc    noun              5     1  hand
envy                    fusp    cvcc   verb              0     0  fill
enzyme                  spug    ccvc   noun              0     0  fill
epic                    pref    ccvc   adjective         0     0  fill
episode                 vand    cvcc   noun              0     0  fill
equilibrium             skix    ccvc   noun              0     0  fill
equivalent              bram    ccvc   adjective         0     0  fill
era                     har     cvc    noun              1     0  hand
erase                   calb    cvcc   verb              1     1  fill
erect                   spip    ccvc   adjective         0     0  fill
erosion                 fleq    ccvc   noun              0     0  fill
error                   lob     cvc    noun              4     4  hand
escape                  norv    cvcc   verb              7     1  fill
escort                  holf    cvcc   noun              1     0  fill
essay                   cotx    cvcc   noun              1     1  fill
essence                 yark    cvcc   noun              1     1  fill
establish               camp    cvcc   verb              1     1  fill
estimate                lesp    cvcc   verb              1     1  fill
eternal                 xax     cvc    adjective         0     0  hand
ether                   txiC    ccvc   noun              0     0  fill
ethics                  yolc    cvcc   noun              0     0  fill
evacuate                yarf    cvcc   verb              1     1  fill
evaluate                kruv    ccvc   verb              2     1  fill
even                    pev     cvc    conjunction       9     0  short
evening                 xad     cvc    noun              5     0  short
event                   hap     cvc    noun             52    47  hand
ever                    vorb    cvcc   adverb            0     0  hand
every                   hez     cvc    determiner        6     0  hand
evidence                lap     cvc    noun              0     0  short
evil                    mips    cvcc   adjective        11     2  fill
evolution               yudz    cvcc   noun              0     0  fill
evolve                  valv    cvcc   verb              0     0  hand
exact                   bolv    cvcc   adjective         8     1  fill
examine                 foqk    cvcc   verb              3     3  fill
example                 dest    cvcc   noun             15    12  fill
exceed                  snot    ccvc   verb              1     0  fill
excellent               musk    cvcc   adjective         0     0  fill
except                  Coz     cvc    preposition       0     0  hand
excess                  djoz    ccvc   adjective         6     1  fill
exchange                porb    cvcc   verb              7     4  fill
excite                  plux    ccvc   verb              7     3  fill
exclude                 bal     cvc    verb              0     0  short
exclusive               jeqk    cvcc   adjective         1     0  fill
excuse                  skuz    ccvc   verb              2     2  hand
exempt                  vrom    ccvc   adjective         0     0  fill
exercise                kemp    cvcc   verb              2     0  fill
exhaust                 txip    ccvc   verb              0     0  fill
exist                   wav            verb              1     1  hand
exit                    zord    cvcc   verb              2     1  hand
expand                  glax    ccvc   verb              2     0  fill
expansion               klid    ccvc   noun              0     0  fill
expect                  yop     cvc    verb              9     2  short
expel                   snip    ccvc   verb              1     0  fill
experience              zus     cvc    verb              3     1  hand
experiment              kump    cvcc   verb              0     0  fill
expert                  butx    cvcc   adjective        26    26  fill
expire                  skem    ccvc   verb              0     0  fill
explain                 yep     cvc    verb              9     5  short
explicit                sniq    ccvc   adjective         0     0  fill
explode                 forp    cvcc   verb              2     0  fill
exploit                 blug    ccvc   verb              0     0  fill
explore                 hask    cvcc   verb              1     0  hand
exponent                gul            noun              0     0  hand
export                  baz     cvc    verb              0     0  short
expose                  Cebz    cvcc   verb              1     0  fill
exposure                yamp    cvcc   noun              1     1  fill
express                 ris     cvc    adjective         4     0  hand
expression              zutx    cvcc   noun              1     1  fill
extend                  cegz    cvcc   verb              8     0  fill
extent                  wunt    cvcc   noun              0     0  fill
exterior                prem    ccvc   noun              0     0  fill
external                blob    ccvc   adjective         3     0  fill
extinct                 blaq    ccvc   noun              0     0  fill
extinguish              skox    ccvc   verb              0     0  fill
extra                   mobz    cvcc   adjective        24     0  fill
extract                 djuf    ccvc   verb              2     1  fill
extravagant             smov    ccvc   adjective         0     0  fill
extreme                 vuft    cvcc   adjective         7     2  fill
eye                     xic     cvc    verb             53     5  hand
eyelash                 skav    ccvc   noun              0     0  fill
fabric                  lisk    cvcc   noun             14     9  fill
face                    fes     cvc    verb             35    21  hand
facilitate              stax    ccvc   verb              0     0  fill
fact                    voq     cvc    noun             19    17  short
factor                  Ciqk    cvcc   noun              3     3  fill
fad                     vric    ccvc   noun              1     1  fill
fade                    yarv    cvcc   verb              3     1  fill
fahrenheit              vrab    ccvc   noun              0     0  fill
fail                    fur            verb              9     3  hand
faint                   xisk    cvcc   adjective         3     0  fill
fair                    rom     cvc    adjective        15     7  short
fairy                   kalb    cvcc   noun              0     0  fill
faith                   narp    cvcc   noun             25    16  fill
fake                    fek     cvc    adjective        21     0  hand
fall                    zur            verb             26    10  hand
false                   rot     cvc    adjective        46     3  hand
fame                    xald    cvcc   noun              2     1  fill
familiar                gorp    cvcc   adjective         2     2  fill
family                  fam     cvc    noun             16     4  hand
famous                  nond    cvcc   adjective         5     1  fill
fan                     gogz    cvcc   noun              6     3  fill
fancy                   goft    cvcc   adjective         9     1  fill
fantasy                 kolb    cvcc   noun              1     1  fill
far                     zad     cvc    adjective        40     5  short
fare                    cond    cvcc   noun              2     1  fill
farm                    desp    cvcc   verb             13     8  fill
fashion                 tarv    cvcc   noun              7     4  fill
fast                    fast    cvcc   adjective        58    24  hand
fasten                  grod    ccvc   verb              4     1  fill
fat                     wes     cvc    adjective        26    11  short
fate                    driv    ccvc   noun              2     1  hand
father                  bab     cvc    noun              4     1  hand
fault                   yob     cvc    noun              3     3  short
favor                   megz    cvcc   noun              9     6  fill
fear                    froC    ccvc   verb             31    16  hand
feast                   Cunt    cvcc   noun              3     3  fill
feat                    smej    ccvc   noun              0     0  fill
feather                 cind    cvcc   noun              4     1  fill
feature                 sarz    cvcc   verb              6     6  hand
feces                   vrex    ccvc   noun              1     0  fill
fee                     fump    cvcc   noun              5     4  fill
feeble                  klef    ccvc   adjective         0     0  fill
feed                    nubz    cvcc   verb              9     6  fill
feel                    nag     cvc    verb             35    12  short
fellow                  mosk    cvcc   adjective         0     0  fill
female                  fim     cvc    adjective        36    10  hand
fence                   kudj    cvcc   verb              6     3  fill
fern                    djen    ccvc   noun              1     0  fill
ferry                   yump    cvcc   noun              0     0  fill
fertile                 smeq    ccvc   adjective         1     1  fill
festival                fond    cvcc   noun              1     1  fill
fetch                   vusp    cvcc   verb              0     0  fill
feud                    snax    ccvc   noun              0     0  fill
fever                   pudz    cvcc   noun              1     0  fill
few                     flun    ccvc   determiner        3     0  hand
fiber                   djot    ccvc   noun              5     2  fill
fiction                 colb    cvcc   noun              1     1  fill
fiddle                  glit    ccvc   noun              0     0  fill
field                   gor     cvc    verb             14    12  short
fierce                  lebz    cvcc   adjective         2     0  fill
fight                   flet    ccvc   verb             46    30  hand
figure                  fud     cvc    verb             24    20  short
file                    nold    cvcc   verb              0     0  fill
fill                    nolb    cvcc   verb             31    15  fill
filter                  vek     cvc    verb              4     0  hand
fin                     glov    ccvc   noun              0     0  fill
final                   nend    cvcc   adjective        19     2  fill
find                    fan     cvc    verb             25    10  hand
fine                    pol     cvc    adjective        20     4  short
finger                  gart    cvcc   noun              2     0  fill
finite                  freg    ccvc   adjective         0     0  fill
fire                    for     cvc    verb             60    26  hand
firm                    goqk    cvcc   adjective        22     8  fill
fish                    frix    ccvc   verb             21    11  hand
fist                    junt    cvcc   noun              1     1  fill
fit                     morg    cvcc   verb             37    27  fill
five                    kom     cvc    value            14     1  hand
fix                     len     cvc    verb             35    10  short
fizz                    fraf    ccvc   noun              1     0  fill
flag                    ded     cvc    verb              4     0  short
flair                   pliv    ccvc   noun              1     0  fill
flake                   kron    ccvc   verb              1     0  fill
flame                   flem    ccvc   verb              7     4  hand
flap                    briv    ccvc   noun              1     1  fill
flare                   wogz    cvcc   verb              1     1  fill
flash                   hest    cvcc   verb              6     3  fill
flat                    flat    ccvc   adjective        36     7  hand
flatter                 wust    cvcc   verb              2     1  fill
flavor                  rotx    cvcc   verb              7     6  fill
flaw                    djox    ccvc   noun              4     1  fill
flax                    flub    ccvc   noun              1     0  fill
flee                    lund    cvcc   verb              2     0  fill
fleet                   fedz    cvcc   noun              0     0  fill
flesh                   flax    ccvc   verb              9     2  hand
flex                    vus     cvc    noun              7     0  hand
flinch                  spep    ccvc   noun              2     1  fill
flip                    flip    ccvc   verb              3     0  hand
float                   flot    ccvc   verb              7     0  hand
flock                   loqk    cvcc   verb              2     1  fill
flood                   yeft    cvcc   verb              3     2  fill
floor                   rim     cvc    noun              9     6  short
flop                    pruz    ccvc   verb              0     0  fill
flour                   djev    ccvc   noun              0     0  fill
flow                    sunt    cvcc   verb             65    51  fill
flower                  flor    ccvc   verb             31    15  hand
fluff                   smuk    ccvc   noun              1     0  fill
fluid                   flud    ccvc   adjective        14    11  hand
flush                   flux    ccvc   noun              0     0  hand
flute                   txic    ccvc   noun              0     0  fill
flutter                 skom    ccvc   noun              0     0  fill
fly                     lab     cvc    verb             22    10  short
fly                     lef     cvc    verb             22    10  short
foam                    glaq    ccvc   noun              6     4  fill
focus                   kat     cvc    verb             16    15  hand
fog                     farg    cvcc   verb              8     4  hand
foil                    snuf    ccvc   verb              0     0  fill
fold                    fold    cvcc   verb             21    13  hand
folk                    Citx    cvcc   noun              2     1  fill
follow                  darb    cvcc   verb             30     8  hand
folly                   smof    ccvc   noun              0     0  fill
fond                    vesk    cvcc   adjective         0     0  fill
font                    stuq    ccvc   noun              1     0  fill
food                    fiz     cvc    noun             97    64  short
fool                    lim     cvc    noun              6     4  short
foot                    gral    ccvc   noun             30    12  hand
for                     bob     cvc    preposition      41    17  short
forbid                  xalc    cvcc   verb              7     0  fill
force                   ros     cvc    verb             81    43  hand
foreign                 bubz    cvcc   adjective         2     0  fill
foresee                 stad    ccvc   verb              3     1  fill
forest                  varz    cvcc   noun              3     2  hand
forge                   djit    ccvc   verb              0     0  fill
forget                  nul            verb              3     1  hand
forgive                 wof     cvc    verb              3     2  short
fork                    xarg    cvcc   verb              1     0  fill
form                    nunt    cvcc   verb            136   115  fill
formal                  xolp    cvcc   adjective         5     1  fill
format                  spud    ccvc   verb              0     0  fill
formula                 jisk    cvcc   noun              0     0  fill
fort                    fort    cvcc   noun              0     0  hand
fortunate               xolv    cvcc   adjective         1     0  fill
fortune                 deft    cvcc   noun              4     3  fill
fossil                  smep    ccvc   noun              3     3  fill
foul                    hust    cvcc   adjective         2     0  fill
found                   tot     cvc    verb              0     0  short
fountain                Calf    cvcc   noun              0     0  fill
four                    laf     cvc    value            21     1  hand
fowl                    vruq    ccvc   noun              1     1  fill
fox                     pidz    cvcc   noun              5     1  fill
fraction                txag    ccvc   noun              1     1  fill
fracture                remp    cvcc   verb              0     0  fill
fragile                 reft    cvcc   adjective         1     0  fill
fragment                trig    ccvc   verb              2     1  fill
fragrance               spid    ccvc   noun              1     0  fill
fragrant                vrog    ccvc   adjective         2     0  fill
frail                   smix    ccvc   adjective         0     0  fill
frame                   fret    ccvc   verb             11    11  hand
frank                   fit     cvc    adjective         0     0  short
free                    pod     cvc    adjective        44     7  hand
freeze                  friz    ccvc   verb             13     3  hand
frenzy                  txac    ccvc   noun              0     0  fill
frequency               cint    cvcc   noun              1     1  fill
fresh                   frax    ccvc   adjective        11     2  hand
fret                    trev    ccvc   noun              0     0  fill
friction                snum    ccvc   noun              0     0  fill
friend                  dud     cvc    noun             31    23  hand
fright                  drax    ccvc   noun              1     1  fill
fringe                  klaz    ccvc   adjective         2     0  fill
frog                    ran     cvc    noun              1     0  hand
from                    pib     cvc    preposition      40    18  short
front                   keg     cvc    noun             18     4  hand
frost                   lemp    cvcc   verb              1     1  fill
frown                   txad    ccvc   verb              1     0  fill
fruit                   mag     cvc    noun             11     6  hand
fry                     xord    cvcc   verb              2     1  fill
fuel                    ful            verb              6     6  hand
fulfill                 grig    ccvc   verb              0     0  fill
full                    vup     cvc    adjective        55    20  short
fumble                  vrip    ccvc   noun              1     0  fill
fun                     zed     cvc    adjective        20    10  short
function                fuq     cvc    verb             10     8  hand
fund                    fand    cvcc   verb              5     5  hand
funeral                 gudj    cvcc   noun              3     0  fill
fungus                  ploq    ccvc   noun              3     2  fill
funnel                  spaf    ccvc   noun              1     0  fill
fur                     xolt    cvcc   noun              2     1  fill
furnace                 drud    ccvc   noun              1     1  fill
furniture               harb    cvcc   noun              1     1  fill
fuse                    liqk    cvcc   noun              1     1  fill
fuss                    Cisk    cvcc   verb              2     1  fill
future                  gak     cvc    adjective        13     6  short
fuzz                    trem    ccvc   verb              1     1  fill
gag                     Cetx    cvcc   verb              0     0  fill
gain                    zig     cvc    verb             23    16  hand
gall                    txoz    ccvc   noun              0     0  fill
gallon                  plif    ccvc   noun              0     0  fill
gallop                  stuz    ccvc   noun              0     0  fill
gamble                  xadz    cvcc   noun              0     0  fill
game                    gem     cvc    verb             22    13  hand
gang                    dets    cvcc   verb              1     1  fill
gap                     wets    cvcc   noun              8     7  fill
garage                  duqk    cvcc   noun              0     0  fill
garden                  gan     cvc    verb              4     2  hand
garment                 smuc    ccvc   noun              2     2  fill
gas                     mesk    cvcc   verb             22    15  fill
gasoline                cidz    cvcc   noun              0     0  fill
gate                    glet    ccvc   verb              3     2  hand
gateway                 txov    ccvc   noun              0     0  fill
gather                  gaC     cvc    verb             25    10  hand
gauge                   plom    ccvc   noun              5     4  fill
gaze                    blif    ccvc   verb              2     2  fill
gear                    kutx    cvcc   verb              7     5  fill
gel                     klof    ccvc   noun              2     1  fill
gem                     blod    ccvc   noun              1     1  fill
gender                  drec    ccvc   noun              3     3  fill
gene                    djin    ccvc   noun              6     6  hand
general                 Cef     cvc    adjective         3     1  short
generous                karf    cvcc   adjective         3     1  fill
genesis                 txod    ccvc   noun              0     0  fill
genius                  gorg    cvcc   noun              0     0  fill
gentle                  kogz    cvcc   adjective        17     4  fill
genuine                 xund    cvcc   adjective         0     0  fill
geometry                trav    ccvc   noun              0     0  fill
germ                    snop    ccvc   noun             17     6  fill
gesture                 jorg    cvcc   noun              2     0  fill
get                     cit     cvc    verb             36     1  hand
ghost                   gost    cvcc   noun              5     1  hand
giant                   dudj    cvcc   adjective         2     1  fill
giggle                  klip    ccvc   verb              1     1  fill
gill                    klif    ccvc   noun              0     0  fill
girl                    pud     cvc    noun              8     5  short
give                    gif     cvc    verb            145    29  hand
glad                    vof     cvc    adjective         0     0  short
glance                  glop    ccvc   noun              5     5  fill
gland                   smaq    ccvc   noun              9     4  fill
glass                   malz    cvcc   noun             12     8  fill
glaze                   sket    ccvc   noun              1     1  fill
glide                   glan    ccvc   verb              4     2  hand
global                  caqk    cvcc   adjective         1     0  fill
gloom                   spix    ccvc   noun              2     0  fill
glory                   piks    cvcc   noun              2     1  fill
gloss                   smop    ccvc   verb              1     0  fill
glow                    flok    ccvc   verb             15     9  hand
glue                    yist    cvcc   verb              4     3  fill
glyph                   run     cvc    noun              0     0  hand
go                      big     cvc    verb             57    22  hand
goal                    gol     cvc    noun             12     9  hand
goat                    glot    ccvc   noun              0     0  hand
god                     gad     cvc    noun             21     8  hand
gold                    god     cvc    adjective         9     3  hand
gong                    bluv    ccvc   noun              0     0  fill
good                    taf     cvc    adjective        70    29  hand
goods                   veft    cvcc   noun              0     0  fill
goose                   zarv    cvcc   noun              0     0  fill
gossip                  jebz    cvcc   verb              1     0  fill
gourd                   flup    ccvc   noun              1     0  fill
govern                  snut    ccvc   verb              2     1  fill
grab                    mend    cvcc   verb              9     2  fill
