english               tune                          english parts                     tune parts
immunoglobulin        weqkailudz                    immune + protein                  weqk + ludz
implant               rasaigig                      in + set                          ras + gig
indigo                govaibul                      deep + blue                       gov + bul
indium                gostaitom                     ghost + atom                      gost + tom
indole                -                             nitrogen + double + ring          snuc + ? + rop
infant                zenainar                      young + person                    zen + nar
infarction            tisaitxumaigiks               dead + tissue + block             tis + txum + giks
inflorescence         floraisnan                    flower + cluster                  flor + snan
infrared              dodjaigic                     below + red                       dodj + gic
inositol              ropaikoqk                     ring + alcohol                    rop + koqk
institute             totaivat                      found + body                      tot + vat
insulin               gandaisnen                    sugar + hormone                   gand + snen
interaction           tinaikiq                      between + action                  tin + kiq
intercourse           fedaiyez                      sex + act                         fed + yez
international         tinaipomp                     between + nation                  tin + pomp
intervertebral        -                             between + vertebra + of           tin + ? + yov
intravenous           modjaiglizaiyov               within + vein + of                modj + gliz + yov
iodine                stenaitom                     stain + atom                      sten + tom
iridium               gruqaitom                     arch + atom                       gruq + tom
iris                  -                             rainbow + flower                  ? + flor
ironwood              kitxaikadaivriC               iron + hard + wood                kitx + kad + vriC
isle                  smalaigend                    small + island                    smal + gend
isomerase             -                             isomer + enzyme                   ? + spug
ivory                 cutxaibrod                    tooth + bone                      cutx + brod
ivy                   blanaitxek                    cling + vine                      blan + txek
jasmine               yitailugaiflor                night + smell + flower            yit + lug + flor
jazz                  slidaifeb                     swing + music                     slid + feb
jejunum               nuvaigut                      empty + gut                       nuv + gut
jewelweed             dinaigegzaiflor               bright + wet + flower             din + gegz + flor
joshua tree           -                             branch + yucca + tree             lum + ? + dip
juniper               -                             berry + conifer                   glaf + ?
jurisprudence         xufainedz                     law + study                       xuf + nedz
kale                  korkailifaidorf               curl + leaf + plant               kork + lif + dorf
kapok                 saftaidjotaidip               soft + fiber + tree               saft + djot + dip
keratinocyte          peksaimudz                    horn + cell                       peks + mudz
keratitis             -                             cornea + swell                    ? + parb
keratosis             peksaiskinaidom               horn + skin + state               peks + skin + dom
ketamine              bogaisnetaisom                detach + anesthetic + drug        bog + snet + som
ketone                -                             carbon + oxygen + group           rint + ? + hip
kinase                -                             phosphate + enzyme                ? + spug
kitchen               nalfaitif                     cook + room                       nalf + tif
kite                  lefaifras                     fly + sail                        lef + fras
krypton               pedjaitom                     hidden + atom                     pedj + tom
labyrinth             blitaiyovaidits               maze + of + ear                   blit + yov + dits
lace                  hatxaicorv                    hole + cloth                      hatx + corv
lactone               -                             ring + ester                      rop + ?
lamina                porvaiplet                    thin + plate                      porv + plet
lane                  Ceftaiyeb                     narrow + road                     Ceft + yeb
lantern               maftaizunt                    carry + lamp                      maft + zunt
lanthanum             lesaitom                      air + atom                        les + tom
larch                 -                             fall + conifer                    zur + ?
laser                 porvailitaiblim               thin + light + beam               porv + lit + blim
laterite              kitxairit                     iron + soil                       kitx + rit
latex                 nudjaiglom                    milk + sap                        nudj + glom
lavender              kamailugaiflor                calm + smell + flower             kam + lug + flor
lawn                  zepaigras                     cut + grass                       zep + gras
lawrencium            zarkaitom                     open + atom                       zark + tom
league                gozaihip                      join + group                      goz + hip
lectin                gandaibinailudz               sugar + bind + protein            gand + bin + ludz
lee                   vondaisard                    shelter + side                    vond + sard
leek                  nucaiwontaidorf               long + onion + plant              nuc + wont + dorf
leiomyoma             -                             smooth + muscle + growth          kind + suft + ?
leiomyosarcoma        kindaisuftaibudj              smooth + muscle + cancer          kind + suft + budj
lentil                flataisid                     flat + seed                       flat + sid
lettuce               saftailifaidorf               soft + leaf + plant               saft + lif + dorf
leucine               -                             amino + acid                      ? + falf
leukocyte             wipaimudz                     white + cell                      wip + mudz
lidocaine             ruspaimuzaisom                numb + pain + drug                rusp + muz + som
ligament              binaitxum                     bind + tissue                     bin + txum
ligand                binainiv                      bind + thing                      bin + niv
ligase                gozaispug                     join + enzyme                     goz + spug
lilac                 dempaisnanaiflor              spring + cluster + flower         demp + snan + flor
lily                  wefaigozaiflor                hundred + join + flower           wef + goz + flor
limestone             djimaiston                    lime + stone                      djim + ston
linden                zifailifaidip                 heart + leaf + tree               zif + lif + dip
ling                  porvaifrix                    thin + fish                       porv + frix
linguistics           ximainedz                     speech + study                    xim + nedz
lipase                wesaispug                     fat + enzyme                      wes + spug
lipoma                -                             fat + growth                      wes + ?
lipoprotein           wesailudz                     fat + protein                     wes + ludz
liposarcoma           wesaiflaxaibudj               fat + flesh + cancer              wes + flax + budj
lithium               rakaitom                      rock + atom                       rak + tom
litter                blupaimusp                    scatter + waste                   blup + musp
livermorium           harfaitom                     host + atom                       harf + tom
locomotive            lumpaidiks                    rail + engine                     lump + diks
locust                rargaipardaidip               thorn + pod + tree                rarg + pard + dip
loratadine            klebaigiksaisom               allergy + block + drug            kleb + giks + som
lotus                 waCaiflor                     water + flower                    waC + flor
lumber                zepaivriC                     cut + wood                        zep + vriC
lupine                talsaispakaiflor              tall + spike + flower             tals + spak + flor
lutetium              xestaitom                     swamp + atom                      xest + tom
lyase                 ditaispug                     split + enzyme                    dit + spug
lymph                 vobaivataiwaC                 clear + body + water              vob + vat + waC
lymphadenitis         -                             lymph + gland + swell             ? + smaq + parb
lymphocyte            -                             lymph + cell                      ? + mudz
lymphoma              -                             lymph + cancer                    ? + budj
lysine                -                             amino + acid                      ? + falf
macrophage            brataigabaimudz               big + eat + cell                  brat + gab + mudz
magnesium             xantaitom                     ancient + atom                    xant + tom
magnolia              brataifloraidip               big + flower + tree               brat + flor + dip
magnolia flower       brataiwipaiflor               big + white + flower              brat + wip + flor
mahogany              gicaivriCaidip                red + wood + tree                 gic + vriC + dip
maiden                -                             young + unwed + woman             zen + ? + nom
malformation          futaideps                     bad + shape                       fut + deps
mallet                vriCaivent                    wood + hammer                     vriC + vent
manganese             zistaitom                     resist + atom                     zist + tom
mannose               -                             manna + sugar                     ? + gand
manure                -                             field + dung                      gor + ?
maple                 ranaizeqk                     frog + hand                       ran + zeqk
marathon              nucaimalk                     long + race                       nuc + malk
marble                floraiston                    flower + stone                    flor + ston
mare                  fimaihors                     female + horse                    fim + hors
marigold              godaiflor                     gold + flower                     god + flor
maroon                ramaigic                      dark + red                        ram + gic
meatus                vataijaqk                     body + passage                    vat + jaqk
medal                 -                             honour + disc                     ? + brud
mediastinum           gitxaimadaipas                chest + middle + space            gitx + mad + pas
medulla               -                             inner + part                      ? + part
meitnerium            basaitom                      merge + atom                      bas + tom
melanocyte            vogaimudz                     black + cell                      vog + mudz
melanoma              vogaibudj                     black + cancer                    vog + budj
melatonin             slipaisnen                    sleep + hormone                   slip + snen
melon                 skitaiwaCaimag                sweet + water + fruit             skit + waC + mag
mendelevium           lidaitom                      lead + atom                       lid + tom
meninges              brenaiskin                    brain + skin                      bren + skin
meningioma            -                             brain + skin + growth             bren + skin + ?
meningitis            brenaiskinaiparb              brain + skin + swell              bren + skin + parb
menthol               zorailugaiCeqk                cool + smell + compound           zor + lug + Ceqk
mercury               kridaitom                     liquid + atom                     krid + tom
mesenchyme            madaitxum                     middle + tissue                   mad + txum
mesentery             gutaifoldaivodj               gut + fold + sheet                gut + fold + vodj
mesoderm              madaiskin                     middle + skin                     mad + skin
mesothelioma          -                             lining + tissue + cancer          ? + txum + budj
mesquite              dralairargaidip               dry + thorn + tree                dral + rarg + dip
metacarpal            numpaifeftaibrod              beyond + wrist + bone             nump + feft + brod
metatarsal            numpaixuftaibrod              beyond + ankle + bone             nump + xuft + brod
metformin             -                             blood + sugar + lower             bloC + gand + ?
methacrylate          -                             methyl + acrylate                 ? + ?
methamphetamine       livaibupaisom                 strong + energy + drug            liv + bup + som
methane               zanairintaimesk               one + carbon + gas                zan + rint + mesk
methanol              zanairintaikoqk               one + carbon + alcohol            zan + rint + koqk
methionine            -                             sulfur + amino + acid             spiz + ? + falf
methyl                zanairintaihip                one + carbon + group              zan + rint + hip
methylphenidate       rixaisom                      attention + drug                  rix + som
microbiology          smalaicadainedz               small + life + study              smal + cad + nedz
microscopy            smalaiyuvaiyabz               small + view + craft              smal + yuv + yabz
midbrain              madaibren                     middle + brain                    mad + bren
milkweed              nudjaiglomaiflor              milk + sap + flower               nudj + glom + flor
mill                  grotaipuz                     grind + house                     grot + puz
millet                smalailetx                    small + grain                     smal + letx
mint                  zorailugailif                 cool + smell + leaf               zor + lug + lif
mistletoe             dipaiblopaidorf               tree + parasite + plant           dip + blop + dorf
molybdenum            ramaitom                      dark + atom                       ram + tom
monocyte              miskaiwipaimudz               single + white + cell             misk + wip + mudz
monohydrate           zanaiwaCaitigz                one + water + salt                zan + waC + tigz
monooxygenase         -                             one + oxygen + enzyme             zan + ? + spug
monophosphate         -                             one + phosphate                   zan + ?
monoxide              -                             one + oxide                       zan + ?
moor                  zarkaimolailan                open + high + land                zark + mol + lan
mop                   saxaitul                      wash + tool                       sax + tul
morning glory         tanaitxekaiflor               morning + vine + flower           tan + txek + flor
morphine              livaimuzaisom                 strong + pain + drug              liv + muz + som
morphogenesis         -                             shape + making                    deps + ?
mortar                stonaipest                    stone + paste                     ston + pest
mosaic                fufaifoz                      piece + picture                   fuf + foz
moscovium             zifaitom                      heart + atom                      zif + tom
moss                  saftaimitsaidorf              soft + ground + plant             saft + mits + dorf
motif                 vavaifud                      repeat + figure                   vav + fud
mudstone              cataiston                     mud + stone                       cat + ston
mulberry              mavaiglafaidip                many + berry + tree               mav + glaf + dip
musk                  xarsaiyind                    deer + scent                      xars + yind
mustard               namaisid                      name + seed                       nam + sid
mycoplasma            ploqailakaisnop               fungus + like + germ              ploq + lak + snop
myeloma               djuzaibudj                    marrow + cancer                   djuz + budj
myocarditis           zifaisuftaiparb               heart + muscle + swell            zif + suft + parb
myocardium            zifaisuft                     heart + muscle                    zif + suft
myopathy              suftaibidj                    muscle + disease                  suft + bidj
myositis              suftaiparb                    muscle + swell                    suft + parb
myxoma                -                             slime + growth                    ? + ?
naloxone              muzaisomaigiks                pain + drug + block               muz + som + giks
naproxen              nucaimuzaisom                 long + pain + drug                nuc + muz + som
nasopharynx           nozaigalk                     nose + throat                     noz + galk
neodymium             nampaitom                     magnet + atom                     namp + tom
neon                  tubaitom                      tube + atom                       tub + tom
neonatal              gumpailofaiyov                new + born + of                   gump + lof + yov
neoplasia             -                             new + growth                      gump + ?
neoplasm              -                             new + growth                      gump + ?
nephritis             fundaiparb                    kidney + swell                    fund + parb
nephron               fundaigalp                    kidney + unit                     fund + galp
nephropathy           fundaibidj                    kidney + disease                  fund + bidj
neptunium             saxaitom                      wash + atom                       sax + tom
nettle                Campailifaidorf               sting + leaf + plant              Camp + lif + dorf
neuritis              nurvaiparb                    nerve + swell                     nurv + parb
neuroblastoma         nurvaigondaibudj              nerve + bud + cancer              nurv + gond + budj
neuromuscular         nurvaisuftaiyov               nerve + muscle + of               nurv + suft + yov
neuropathy            nurvaibidj                    nerve + disease                   nurv + bidj
neurotoxin            nurvaiborz                    nerve + poison                    nurv + borz
nevus                 skinaiwen                     skin + mark                       skin + wen
newborn               gumpailof                     new + born                        gump + lof
nick                  smalaizep                     small + cut                       smal + zep
nickel                wipaitom                      white + atom                      wip + tom
nicotine              palvaiyolbaisom               alert + addict + drug             palv + yolb + som
nihonium              nolfaitom                     danger + atom                     nolf + tom
niobium               snomaitom                     snow + atom                       snom + tom
nitroglycerin         zifaivesaizark                heart + vessel + open             zif + ves + zark
nobelium              prazaitom                     prize + atom                      praz + tom
northwest             yinaiweb                      north + west                      yin + web
novocaine             ruspaimuzaisom                numb + pain + drug                rusp + muz + som
nucleotide            klisaigalp                    nucleus + unit                    klis + galp
oak                   hiksainipsaidip               nut + cup + tree                  hiks + nips + dip
oat                   letxaidorf                    grain + plant                     letx + dorf
obsidian              glodaimalz                    lava + glass                      glod + malz
oganesson             gozaitom                      join + atom                       goz + tom
omeprazole            stokaifalfaigiks              stomach + acid + block            stok + falf + giks
onion                 bontailugaiwusk               sharp + smell + bulb              bont + lug + wusk
onset                 vunaigig                      on + set                          vun + gig
orchid                fluzaiflor                    complex + flower                  fluz + flor
oregano               livailugairorb                strong + smell + herb             liv + lug + rorb
orifice               vataihatx                     body + hole                       vat + hatx
ornithine             -                             amino + acid                      ? + falf
oropharynx            mucaigalk                     mouth + throat                    muc + galk
osmium                wiqaitom                      wing + atom                       wiq + tom
osteoblast            brodaigondaimudz              bone + bud + cell                 brod + gond + mudz
osteomyelitis         brodaidjuzaiparb              bone + marrow + swell             brod + djuz + parb
osteosarcoma          brodaibudj                    bone + cancer                     brod + budj
outdoor               bukaidor                      out + door                        buk + dor
outflow               bukaisunt                     out + flow                        buk + sunt
overgrowth            -                             over + growth                     djip + ?
overhead              djipaihad                     over + head                       djip + had
oxidase               -                             oxygen + enzyme                   ? + spug
oxidoreductase        -                             oxygen + move + enzyme            ? + muv + spug
oxime                 -                             nitrogen + oxygen + group         snuc + ? + hip
oxycodone             livaimuzaisom                 strong + pain + drug              liv + muz + som
oxygen                nogzaitom                     breath + atom                     nogz + tom
oxytocin              nuqaidolbaisnen               bond + birth + hormone            nuq + dolb + snen
pacemaker             futsaimekaiyug                pace + make + agent               futs + mek + yug
pall                  -                             coffin + cloth                    ? + corv
palladium             daldaitom                     wise + atom                       dald + tom
palm                  kartailifaidip                crown + leaf + tree               kart + lif + dip
pancreatitis          -                             pancreas + swell                  ? + parb
pansy                 fesaiflor                     face + flower                     fes + flor
papilla               smalaibamp                    small + bump                      smal + bamp
papilloma             -                             bump + growth                     bamp + ?
paracetamol           muzaipudzaisom                pain + fever + drug               muz + pudz + som
paralysis             nopaimuv                      no + move                         nop + muv
parenchyma            warkaitxum                    work + tissue                     wark + txum
paresis               slokaiflex                    weak + palsy                      slok + flex
parsley               pesaikorkairorb               green + curl + herb               pes + kork + rorb
patella               holbaibrod                    knee + bone                       holb + brod
pathway               pacaiyat                      path + way                        pac + yat
pea                   mapsaipardaisid               round + pod + seed                maps + pard + sid
peanut                betaimitsaihiks               under + ground + nut              bet + mits + hiks
peat                  stopaidorf                    bog + plant                       stop + dorf
pecan                 skitaihiksaidip               sweet + nut + tree                skit + hiks + dip
peduncle              floraiklep                    flower + stalk                    flor + klep
pegmatite             brataikuqk                    big + crystal                     brat + kuqk
pendant               heqaidjul                     hang + jewel                      heq + djul
penicillin            brakaiklubaisom               bacteria + kill + drug            brak + klub + som
penny                 -                             small + coin. A currency          smal + ?
peony                 brataimapsaiflor              big + round + flower              brat + maps + flor
pepper                gepaimag                      hot + fruit                       gep + mag
peptidase             -                             peptide + enzyme                  ? + spug
peptide               letailudzailip                short + protein + chain           let + ludz + lip
pericarditis          zifaisnazaiparb               heart + sac + swell               zif + snaz + parb
pericardium           pozaizif                      around + heart                    poz + zif
peridotite            pesailetx                     green + grain                     pes + letx
peritoneum            -                             belly + lining                    blin + ?
peritonitis           -                             belly + lining + swell            blin + ? + parb
peroxidase            -                             peroxide + enzyme                 ? + spug
peroxide              -                             beyond + oxide                    nump + ?
pesticide             dredaiklub                    pest + kill                       dred + klub
petunia               wolbaiflor                    trumpet + flower                  wolb + flor
phalanx               gartaibrod                    finger + bone                     gart + brod
pharmacology          somainedz                     drug + study                      som + nedz
pharynx               galkaijaqk                    throat + passage                  galk + jaqk
phenol                ropaikoqk                     ring + alcohol                    rop + koqk
phenylalanine         -                             phenyl + amino + acid             ? + ? + falf
phosphatase           -                             phosphate + enzyme                ? + spug
phosphorus            litaitom                      light + atom                      lit + tom
phyllite              fordaimalf                    silk + press                      ford + malf
pickup                prukaited                     pick + up                         pruk + ted
pie                   nolbaidjid                    fill + crust                      nolb + djid
pine                  -                             bundle + conifer                  grim + ?
pinna                 -                             outer + ear                       ? + dits
pituitary             brenaismaq                    brain + gland                     bren + smaq
plague                -                             spread + sickness                 dend + ?
plaque                flataipatx                    flat + patch                      flat + patx
platinum              hugzaitom                     noble + atom                      hugz + tom
pleura                -                             lung + lining                     xols + ?
plexus                nurvaihift                    nerve + net                       nurv + hift
plunge                dotaidift                     down + rush                       dot + dift
plutonium             zadaitom                      far + atom                        zad + tom
pneumonia             -                             lung + swell + sickness           xols + parb + ?
poker                 yiksaifits                    stir + rod                        yiks + fits
polo                  horsaibralaigem               horse + ball + game               hors + bral + gem
polonium              gempaitom                     shake + atom                      gemp + tom
polydactyly           mavaigartaidom                many + finger + state             mav + gart + dom
polymerase            -                             polymer + enzyme                  ? + spug
polysaccharide        mavaigand                     many + sugar                      mav + gand
pomegranate           gicaisidaimag                 red + seed + fruit                gic + sid + mag
pons                  nalbaiyovaibren               bridge + of + brain               nalb + yov + bren
poplar                talsaifastaidip               tall + fast + tree                tals + fast + dip
poppy                 gicaislipaiflor               red + sleep + flower              gic + slip + flor
porcelain             polaivart                     fine + clay                       pol + vart
porphyrin             sifairop                      purple + ring                     sif + rop
portrait              fesaifoz                      face + picture                    fes + foz
poster                medzaivodj                    wall + sheet                      medz + vodj
potassium             praxaitom                     ash + atom                        prax + tom
potato                betaimitsaiplef               under + ground + stem             bet + mits + plef
praseodymium          wandaitom                     wind + atom                       wand + tom
prednisone            parbaiweqkaisom               swell + immune + drug             parb + weqk + som
primer                -                             first + coat                      ? + nusp
primordium            -                             first + form                      ? + nunt
primrose              yabaiflor                     early + flower                    yab + flor
probe                 nagainesp                     feel + search                     nag + nesp
progesterone          -                             pregnancy + hormone               ? + snen
prolapse              mataizur                      forward + fall                    mat + zur
proline               -                             amino + acid                      ? + falf
promethium            foraitom                      fire + atom                       for + tom
propofol              slipaisnetaisom               sleep + anesthetic + drug         slip + snet + som
prosthesis            rotaipart                     false + part                      rot + part
protactinium          brifaitom                     brief + atom                      brif + tom
protease              ludzaispug                    protein + enzyme                  ludz + spug
proteinase            ludzaispug                    protein + enzyme                  ludz + spug
proteinuria           ludzaicidj                    protein + urine                   ludz + cidj
protozoan             zanaimudzaizul                one + cell + animal               zan + mudz + zul
pseudoephedrine       nozaizarkaisom                nose + open + drug                noz + zark + som
puberty               fedaiwoftaihedj               sex + ripe + age                  fed + woft + hedj
pudding               saftaiskitaifiz               soft + sweet + food               saft + skit + fiz
pumice                glodaiglaq                    lava + foam                       glod + glaq
pumpkin               giqkaidejaiflup               large + orange + gourd            giqk + dej + flup
purine                -                             double + ring + base              ? + rop + bes
purpura               -                             purple + rash                     sif + ?
purse                 smalairod                     small + bag                       smal + rod
pyridine              ropaisnucaibes                ring + nitrogen + base            rop + snuc + bes
pyrimidine            miskairopaibes                single + ring + base              misk + rop + bes
quail                 mitsaibax                     ground + bird                     mits + bax
quartzite             sandaimalf                    sand + press                      sand + malf
queen anne's lace     wipaiflataiflor               white + flat + flower             wip + flat + flor
radiography           reqaifoz                      ray + picture                     req + foz
radiotherapy          reqaitund                     ray + therapy                     req + tund
radish                bontaifebz                    sharp + root                      bont + febz
radium                blimaitom                     beam + atom                       blim + tom
radon                 tresaitom                     trace + atom                      tres + tom
railroad              lumpaiyeb                     rail + road                       lump + yeb
railway               lumpaiyat                     rail + way                        lump + yat
rake                  cutxaitul                     tooth + tool                      cutx + tul
rally                 palaigaC                      again + gather                    pal + gaC
ramp                  slopaiyat                     slope + way                       slop + yat
rap                   bontainak                     sharp + knock                     bont + nak
rash                  skinaimals                    skin + spot                       skin + mals
realism               lamaiyat                      real + way                        lam + yat
rebound               palaitudj                     again + bound                     pal + tudj
recess                gigaigokaipas                 set + back + space                gig + gok + pas
rectum                ricaigut                      straight + gut                    ric + gut
redbud                timpaifloraidip               trunk + flower + tree             timp + flor + dip
reductase             dusaispug                     reduce + enzyme                   dus + spug
redwood               -                             tall + red + conifer              tals + gic + ?
reed                  talsaiwaCaigras               tall + water + grass              tals + waC + gras
reflux                gokaisunt                     back + flow                       gok + sunt
reform                palainunt                     again + form                      pal + nunt
retail                smalairok                     small + sell                      smal + rok
reticulum             smalaihift                    small + net                       smal + hift
retina                xicaiboft                     eye + screen                      xic + boft
retinopathy           -                             retina + disease                  ? + bidj
retrograde            gokaitip                      back + step                       gok + tip
rhenium               narvaitom                     river + atom                      narv + tom
rhinitis              nozaiparb                     nose + swell                      noz + parb
rhodium               floraitom                     flower + atom                     flor + tom
rhododendron          -                             large + shrub + flower            giqk + ? + flor
rhyolite              litaifor                      light + fire                      lit + for
ribbon                Ceftaihits                    narrow + strip                    Ceft + hits
ribose                komairintaigand               five + carbon + sugar             kom + rint + gand
rice                  waCailetx                     water + grain                     waC + letx
rickets               -                             soft + bone + sickness            saft + brod + ?
roentgenium           visaitom                      see + atom                        vis + tom
rose                  rargailugaiflor               thorn + smell + flower            rarg + lug + flor
rosemary              valdailugairorb               needle + smell + herb             vald + lug + rorb
rotavirus             dudzaitagz                    wheel + virus                     dudz + tagz
rowan                 gicaisnanaidip                red + cluster + tree              gic + snan + dip
rubber tree           -                             rubber + sap + tree               ? + glom + dip
rubidium              gicaitom                      red + atom                        gic + tom
rum                   gandaijan                     sugar + spirit                    gand + jan
ruthenium             ponaitom                      still + atom                      pon + tom
rutherfordium         tokaitom                      structure + atom                  tok + tom
rye                   letxaidorf                    grain + plant                     letx + dorf
sacrum                besaispanaibrod               base + spine + bone               bes + span + brod
sage                  saftaipetxairorb              soft + gray + herb                saft + petx + rorb
samarium              fepaitom                      power + atom                      fep + tom
sandalwood            molcailugaivriC               burn + smell + wood               molc + lug + vriC
sandstone             sandaiston                    sand + stone                      sand + ston
sarcoma               flaxaibudj                    flesh + cancer                    flax + budj
satellite             bigaipozaivat                 go + around + body                big + poz + vat
scandium              saftaitom                     soft + atom                       saft + tom
scapula               bidzaizalf                    shoulder + blade                  bidz + zalf
scarlet               govaigic                      deep + red                        gov + gic
schist                xogzaiston                    slice + stone                     xogz + ston
scissors              fepsaizalf                    twin + blade                      feps + zalf
scleroderma           kadaiskin                     hard + skin                       kad + skin
sclerosis             kadaidom                      hard + state                      kad + dom
scoria                glodaihatx                    lava + hole                       glod + hatx
scrotum               sidaisnaz                     seed + sac                        sid + snaz
seaborgium            rosaitom                      force + atom                      ros + tom
selenium              lunaitom                      moon + atom                       lun + tom
semicircular          -                             half + circle + of                ? + salk + yov
septum                kuvaimedz                     divide + wall                     kuv + medz
sequoia               -                             giant + conifer                   dudj + ?
serine                -                             amino + acid                      ? + falf
serotonin             mudaitet                      mood + signal                     mud + tet
serpentinite          pesaiskalairak                green + scale + rock              pes + skal + rak
sertraline            mudaigorvaisom                mood + lift + drug                mud + gorv + som
shale                 gadzaiston                    page + stone                      gadz + ston
shank                 -                             lower + leg                       ? + legz
shingle               -                             roof + board                      ? + marz
shovel                narzaitul                     dig + tool                        narz + tul
shunt                 -                             turn + aside                      kak + ?
sickle                -                             reap + blade                      ? + zalf
sickness              vufaidom                      sick + state                      vuf + dom
sildenafil            fedaibloCaisom                sex + blood + drug                fed + bloC + som
silica                sandaibrom                    sand + mineral                    sand + brom
silkworm              fordaifald                    silk + worm                       ford + fald
siltstone             -                             silt + stone                      ? + ston
sinus                 brodaivabz                    bone + hollow                     brod + vabz
sinusitis             -                             sinus + swell                     ? + parb
sinusoid              wevaikurv                     wave + curve                      wev + kurv
ski                   snomaislad                    snow + slide                      snom + slad
skim                  tekaisuk                      take + top                        tek + suk
slag                  jutxaimusp                    melt + waste                      jutx + musp
slash                 nucaizep                      long + cut                        nuc + zep
slate                 marzaiston                    board + stone                     marz + ston
sling                 heqairegz                     hang + strap                      heq + regz
slipper               saftaidebz                    soft + shoe                       saft + debz
sludge                sespaicat                     thick + mud                       sesp + cat
snapdragon            mucaiflor                     mouth + flower                    muc + flor
soapstone             haqkaiston                    soap + stone                      haqk + ston
sociology             xarkainedz                    society + study                   xark + nedz
sodium                tigzaitom                     salt + atom                       tigz + tom
soprano               molaivoz                      high + voice                      mol + voz
sorghum               talsaidralailetx              tall + dry + grain                tals + dral + letx
southeast             lutairog                      south + east                      lut + rog
soybean               gipsaiColv                    oil + bean                        gips + Colv
spectrometry          tromaiyaj                     spectrum + measure                trom + yaj
spectroscopy          tromaiyuvaiyabz               spectrum + view + craft           trom + yuv + yabz
spinach               ramailifaidorf                dark + leaf + plant               ram + lif + dorf
spindle               kakaifits                     turn + rod                        kak + fits
spruce                -                             sharp + conifer                   bont + ?
squash                saftaiflup                    soft + gourd                      saft + flup
stature               zesaixisp                     stand + height                    zes + xisp
stenosis              Ceftaidom                     narrow + state                    Ceft + dom
sternum               gitxaibrod                    chest + bone                      gitx + brod
stomatitis            mucaiparb                     mouth + swell                     muc + parb
strabismus            krasaixic                     cross + eye                       kras + xic
strawberry            gicaisidaiglaf                red + seed + berry                gic + sid + glaf
streptococcus         -                             chain + round + microbe           lip + maps + ?
striatum              smogaibrenaipart              stripe + brain + part             smog + bren + part
stricture             Ceftainad                     narrow + place                    Ceft + nad
stroma                fretaitxum                    frame + tissue                    fret + txum
strontium             bustaitom                     burst + atom                      bust + tom
stub                  letaizax                      short + rest                      let + zax
stunt                 jarbaismej                    bold + feat                       jarb + smej
subclass              betaigev                      under + class                     bet + gev
subcutaneous          betaiskinaiyov                under + skin + of                 bet + skin + yov
subdivision           -                             under + division                  bet + ?
subfamily             betaifam                      under + family                    bet + fam
subgroup              betaihip                      under + group                     bet + hip
submarine             betaimalc                     under + sea                       bet + malc
subunit               betaigalp                     under + unit                      bet + galp
sugarcane             skitaitalsaigras              sweet + tall + grass              skit + tals + gras
suicide               depaiklub                     self + kill                       dep + klub
sulcus                brenaiworg                    brain + groove                    bren + worg
sulfonamide           -                             sulfur + amide                    spiz + ?
sulfoxide             -                             sulfur + oxide                    spiz + ?
sumac                 -                             sour + shrub                      yedz + ?
summary               letainodz                     short + account                   let + nodz
sunday                sanaiyam                      sun + day                         san + yam
sunflower             sanaifesaiflor                sun + face + flower               san + fes + flor
superfamily           djipaifam                     over + family                     djip + fam
supplement            laxainolb                     add + fill                        lax + nolb
suture                gozaifrev                     join + seam                       goz + frev
sweet pea             wiqaitxekaiflor               wing + vine + flower              wiq + txek + flor
sweet potato          skitaifebz                    sweet + root                      skit + febz
sycamore              patxaiyogzaidip               patch + bark + tree               patx + yogz + dip
syncope               golzaixisk                    sudden + faint                    golz + xisk
syndactyly            -                             joined + finger + state           ? + gart + dom
syndrome              saqkaigig                     sign + set                        saqk + gig
synthase              gufaispug                     build + enzyme                    guf + spug
synthesis             dradaitug                     put + together                    drad + tug
syrup                 sespaigandaiwaC               thick + sugar + water             sesp + gand + waC
tachycardia           fastaizif                     fast + heart                      fast + zif
talus                 xuftaibrod                    ankle + bone                      xuft + brod
tamarind              yedzaipardaidip               sour + pod + tree                 yedz + pard + dip
tandem                zanaivib                      one + behind                      zan + vib
tantalum              rufaitom                      charge + atom                     ruf + tom
tea                   dugailifaidorf                drink + leaf + plant              dug + lif + dorf
teak                  gipsaikadaivriC               oil + hard + wood                 gips + kad + vriC
technetium            yabzaitom                     craft + atom                      yabz + tom
technique             duzaiyat                      do + way                          duz + yat
tellurium             riqaitom                      earth + atom                      riq + tom
tennessine            macaitom                      great + atom                      mac + tom
tenor                 madaivoz                      middle + voice                    mad + voz
teratoma              -                             mixed + tissue + growth           ? + txum + ?
terbium               flokaitom                     glow + atom                       flok + tom
terrorism             froCainesk                    fear + rule                       froC + nesk
testosterone          mafaisnen                     male + hormone                    maf + snen
tetrachloride         lafaivraqaitigz               four + chlorine + salt            laf + vraq + tigz
tetracycline          brakaigiksaisom               bacteria + block + drug           brak + giks + som
thalamus              -                             brain + relay                     bren + ?
thallium              rebaitom                      stick + atom                      reb + tom
thistle               bontaifloraidorf              sharp + flower + plant            bont + flor + dorf
thorium               wudzaitom                     roar + atom                       wudz + tom
threonine             -                             amino + acid                      ? + falf
thrombosis            truzaidom                     clot + state                      truz + dom
thulium               numpaitom                     beyond + atom                     nump + tom
thyme                 smalailugairorb               small + smell + herb              smal + lug + rorb
thymidine             -                             thymine + sugar                   ? + gand
thymocyte             -                             thymus + cell                     ? + mudz
