term,kind,parts,roots,breakers
garlic,general,strong smell bulb,liv hac wusk,
gastritis,general,stomach swell,stok parb,
gelatin,general,bone jelly,brod Cift,
genre,general,art kind,meqk nab,
geranium,general,round leaf flower,maps lif flor,l
germanium,general,cave atom,kliv tom,
ginger,general,hot root,gep lalz,
girdle,general,waist band,resp mups,
gladiolus,general,sword leaf flower,bibz lif flor,l
glioblastoma,general,glue cell cancer,yist weqk budj,
glioma,general,glue cell cancer,yist weqk budj,
globulin,general,ball protein,bral rosk,
glomerulus,general,kidney vessel ball,fund ves bral,
glucan,general,sugar chain,gand lip,
glucose,general,grape sugar,grep gand,
glycerol,general,sweet alcohol,skit gadz,
glycine,general,sweet acid,skit falf,
glycoprotein,general,sugar protein,gand rosk,
gneiss,general,band press,mups malf,
gold,general,king atom,fub tom,
goldenrod,general,gold stalk flower,god klep flor,
gouge,general,scoop chisel,skup skam,
gourd,general,hard shell fruit,pup txal mag,
granite,general,flower grain,flor nusp,
grape,general,vine berry,txek blom,
grapefruit,general,bitter round fruit,vump maps mag,
greenhouse,general,green house,pes puz,
greywacke,general,mud sand,cat sand,
guidelines,general,guide line,gib zob,
gum tree,general,gum sap tree,zibz glom dip,
gutter,general,water channel,waC bark,
gyrus,general,brain fold,bren fold,
hack,general,rough cut,fest zep,
hafnium,general,tool atom,tul tom,
hallux,general,big toe,brat marz,
harlequin,general,patch pattern,patx jom,l
harness,general,strap gear,regz kutx,
hassium,general,fresh atom,frax tom,
hawthorn,general,thorn berry tree,rarg blom dip,
headache,general,head ache,had blat,
headgear,general,head gear,had kutx,
hedge,general,plant wall,dorf medz,
helium,general,sun atom,san tom,
helmet,general,head guard,had moft,
hemoglobin,general,blood protein,bloC rosk,
hemorrhage,general,blood burst,bloC bust,
hemp,general,strong fiber plant,liv blop dorf,
heparin,general,blood clot block,bloC truz giks,
hernia,general,push through,lep kad,
heroin,general,strong pleasure drug,liv zim som,l
hibiscus,general,large trumpet flower,xogz wolb flor,
hickory,general,hard nut tree,pup hiks dip,
holly,general,sharp leaf tree,bont lif dip,
hollyhock,general,tall flower stalk,tals flor klep,l
holmium,general,permeate atom,pim tom,
honeycomb,general,honey comb,kav colf,
honeysuckle,general,sweet vine flower,skit txek flor,l
hoop,general,stiff ring,fatx rop,
horseshoe,general,horse shoe,hors debz,
husbandry,general,farm craft,desp yabz,
hyacinth,general,dense bell flower,txif gent flor,
hydrangea,general,ball flower,bral flor,
hydrocarbon,general,hydrogen carbon,snop rint,
hydrocephalus,general,water head,waC had,
hydrochloride,general,hydrogen chlorine salt,snop djez tigz,
hydrocortisone,general,skin swell hormone,skin parb glaf,
hydrolase,general,water split enzyme,waC dit blan,
hygiene,general,clean craft,klin yabz,
hypertension,general,high blood press,mol bloC malf,
hypotension,general,low blood press,lem bloC malf,
ibuprofen,general,pain swell drug,muz parb som,
idiopathic,general,no known cause,nop xef kaz,
ileum,general,twist gut,vits gut,
imidazole,general,nitrogen ring,snuc rop,
immunoglobulin,general,immune protein,suft rosk,
implant,general,in set,ras gen,
indigo,general,deep blue,gov bul,
indium,general,ghost atom,gost tom,l
infant,general,young person,gat nar,
infarction,general,dead tissue block,fud txum giks,
inflorescence,general,flower cluster,flor snan,
infrared,general,below red,dodj gic,
inositol,general,ring alcohol,rop gadz,
institute,general,found body,tot vat,
insulin,general,sugar hormone,gand glaf,
intercourse,general,sex act,zof yez,
international,general,between nation,tin pomp,
intravenous,general,within vein of,modj gliz yov,
iodine,general,stain atom,sten tom,
iridium,general,arch atom,gruq tom,
ironwood,general,iron hard wood,kitx pup vriC,
isle,general,small island,smal gend,
ivory,general,tooth bone,cutx brod,
ivy,general,cling vine,spug txek,
jasmine,general,night smell flower,yit hac flor,
jazz,general,swing music,slid feb,
jejunum,general,empty gut,nuv gut,
jewelweed,general,bright wet flower,din sosp flor,
jurisprudence,general,law study,xuf nedz,
kale,general,curl leaf plant,kork lif dorf,
kapok,general,soft fiber tree,saft blop dip,
keratinocyte,general,horn cell,peks weqk,
keratosis,general,horn skin state,peks skin dom,l
ketamine,general,detach anesthetic drug,bog snet som,
kitchen,general,cook room,nalf tif,
kite,general,fly sail,lab fras,
krypton,general,hidden atom,pedj tom,
labyrinth,general,maze of ear,blit yov dits,
lace,general,hole cloth,hatx corv,
lamina,general,thin plate,porv plet,
lane,general,narrow road,Ceft yeb,
lantern,general,carry lamp,maft zunt,
lanthanum,general,air atom,les tom,
laser,general,thin light beam,porv lit blim,
laterite,general,iron soil,kitx rit,
latex,general,milk sap,nudj glom,
lavender,general,calm smell flower,kam hac flor,
lawn,general,cut grass,zep gras,
lawrencium,general,open atom,zark tom,
league,general,join group,huc hip,
lectin,general,sugar bind protein,gand poz rosk,
lee,general,shelter side,vond sard,
leek,general,long onion plant,nuc wont dorf,
leiomyosarcoma,general,smooth muscle cancer,kind mudz budj,
lentil,general,flat seed,flat sid,
lettuce,general,soft leaf plant,saft lif dorf,
leukocyte,general,white cell,wip weqk,
lidocaine,general,numb pain drug,rusp muz som,l
ligament,general,bind tissue,poz txum,
ligand,general,bind thing,poz niv,
ligase,general,join enzyme,huc blan,
lilac,general,spring cluster flower,demp snan flor,
lily,general,hundred join flower,wef huc flor,
limestone,general,lime stone,djiq ston,
linden,general,heart leaf tree,zif lif dip,
ling,general,thin fish,porv frix,l
lipase,general,fat enzyme,yum blan,
lipoprotein,general,fat protein,yum rosk,
liposarcoma,general,fat flesh cancer,yum flax budj,
lithium,general,rock atom,rak tom,
litter,general,scatter waste,blup musp,
livermorium,general,host atom,harf tom,
locomotive,general,rail engine,lump diks,
locust,general,thorn pod tree,rarg pard dip,l
loratadine,general,allergy block drug,kleb giks som,l
lotus,general,water flower,waC flor,
lumber,general,cut wood,zep vriC,
lupine,general,tall spike flower,tals spak flor,l
lutetium,general,swamp atom,xest tom,l
lyase,general,split enzyme,dit blan,
lymph,general,clear body water,vob vat waC,
macrophage,general,big eat cell,brat gab weqk,
magnesium,general,ancient atom,xant tom,l
magnolia,general,big flower tree,brat flor dip,
magnolia flower,general,big white flower,brat wip flor,
mahogany,general,red wood tree,gic vriC dip,
malformation,general,bad shape,fut deps,
mallet,general,wood hammer,vriC vent,
manganese,general,resist atom,zist tom,l
maple,general,frog hand,ran zeqk,
marathon,general,long race,nuc malk,
marble,general,flower stone,flor ston,
mare,general,female horse,fim hors,
marigold,general,gold flower,god flor,
maroon,general,dark red,ram gic,
meatus,general,body passage,vat jaqk,
mediastinum,general,chest middle space,gitx mad pas,
meitnerium,general,merge atom,bas tom,
melanocyte,general,black cell,vog weqk,
melanoma,general,black cancer,vog budj,
melatonin,general,sleep hormone,slip glaf,
melon,general,sweet water fruit,skit waC mag,
mendelevium,general,lead atom,lid tom,
meninges,general,brain skin,bren skin,
meningitis,general,brain skin swell,bren skin parb,
menthol,general,cool smell compound,zug hac jift,
mercury,general,liquid atom,krid tom,
mesenchyme,general,middle tissue,mad txum,
mesentery,general,gut fold sheet,gut fold kuqk,
mesoderm,general,middle skin,mad skin,
mesquite,general,dry thorn tree,dral rarg dip,
metacarpal,general,beyond wrist bone,nump feft brod,
metatarsal,general,beyond ankle bone,nump xuft brod,
methamphetamine,general,strong energy drug,liv bup som,
methane,general,one carbon gas,zan rint mesk,
methanol,general,one carbon alcohol,zan rint gadz,
methyl,general,one carbon group,zan rint hip,
methylphenidate,general,attention drug,jig som,
microbiology,general,small life study,smal cad nedz,
microscopy,general,small view craft,smal yuv yabz,
midbrain,general,middle brain,mad bren,
milkweed,general,milk sap flower,nudj glom flor,
mill,general,grind house,grot puz,
millet,general,small grain,smal nusp,
mint,general,cool smell leaf,zug hac lif,
mistletoe,general,tree parasite plant,dip djot dorf,
molybdenum,general,dark atom,ram tom,
monocyte,general,single white cell,misk wip weqk,
monohydrate,general,one water salt,zan waC tigz,
moor,general,open high land,zark mol lan,r
mop,general,wash tool,sax tul,
morning glory,general,morning vine flower,tan txek flor,
morphine,general,strong pain drug,liv muz som,l
mortar,general,stone paste,ston pest,
mosaic,general,piece picture,fuf hif,
moscovium,general,heart atom,zif tom,
moss,general,soft ground plant,saft mits dorf,
motif,general,repeat figure,vav tis,
mudstone,general,mud stone,cat ston,
mulberry,general,many berry tree,mav blom dip,
musk,general,deer scent,xars yind,
mustard,general,name seed,nam sid,
mycoplasma,general,fungus like germ,ploq lak brim,
myeloma,general,marrow cancer,stox budj,
myocarditis,general,heart muscle swell,zif mudz parb,
myocardium,general,heart muscle,zif mudz,
myopathy,general,muscle disease,mudz bidj,
myositis,general,muscle swell,mudz parb,
naloxone,general,pain drug block,muz som giks,l
naproxen,general,long pain drug,nuc muz som,l
nasopharynx,general,nose throat,noz galk,
neodymium,general,magnet atom,namp tom,
neon,general,tube atom,tub tom,
neonatal,general,new born of,gump lof yov,
nephritis,general,kidney swell,fund parb,
nephron,general,kidney unit,fund galp,
nephropathy,general,kidney disease,fund bidj,
neptunium,general,wash atom,sax tom,
nettle,general,sting leaf plant,cadj lif dorf,
neuritis,general,nerve swell,nurv parb,
neuroblastoma,general,nerve bud cancer,nurv gond budj,
neuromuscular,general,nerve muscle of,nurv mudz yov,
neuropathy,general,nerve disease,nurv bidj,
neurotoxin,general,nerve poison,nurv borz,
nevus,general,skin mark,skin wen,
newborn,general,new born,gump lof,
nick,general,small cut,smal zep,
nickel,general,white atom,wip tom,
nicotine,general,alert addict drug,palv yolb som,
nihonium,general,danger atom,nolf tom,
niobium,general,snow atom,snom tom,
nitroglycerin,general,heart vessel open,zif ves zark,l l
nobelium,general,prize atom,praz tom,
northwest,general,north west,yin web,
novocaine,general,numb pain drug,rusp muz som,l
nucleotide,general,nucleus unit,klis galp,
oak,general,nut cup tree,hiks nips dip,
oat,general,grain plant,nusp dorf,
obsidian,general,lava glass,skaq malz,
oganesson,general,join atom,huc tom,
omeprazole,general,stomach acid block,stok falf giks,
onion,general,sharp smell bulb,bont hac wusk,
onset,general,on set,vun gen,
orchid,general,complex flower,fluz flor,l
oregano,general,strong smell herb,liv hac rorb,
orifice,general,body hole,vat hatx,
oropharynx,general,mouth throat,muc galk,
osmium,general,wing atom,wiq tom,
osteoblast,general,bone bud cell,brod gond weqk,
osteomyelitis,general,bone marrow swell,brod stox parb,
osteosarcoma,general,bone cancer,brod budj,
outdoor,general,out door,buk dor,
outflow,general,out flow,buk sunt,
overhead,general,over head,djip had,
oxycodone,general,strong pain drug,liv muz som,l
oxygen,general,breath atom,nogz tom,
oxytocin,general,bond birth hormone,nuq dolb glaf,
pacemaker,general,pace make agent,futs mek yug,
palladium,general,wise atom,dald tom,
pansy,general,face flower,fes flor,l
papilla,general,small bump,smal bamp,
paracetamol,general,pain fever drug,muz tusk som,
paralysis,general,no move,nop muv,
parenchyma,general,work tissue,wark txum,
paresis,general,weak palsy,slok flex,
parsley,general,green curl herb,pes kork rorb,
patella,general,knee bone,holb brod,l
pathway,general,path way,pac yat,
pea,general,round pod seed,maps pard sid,
peanut,general,under ground nut,bet mits hiks,
peat,general,bog plant,stop dorf,
pecan,general,sweet nut tree,skit hiks dip,
peduncle,general,flower stalk,flor klep,
pegmatite,general,big crystal,brat vodj,
pendant,general,hang jewel,heq djul,
penicillin,general,bacteria kill drug,brak klub som,l
peony,general,big round flower,brat maps flor,l
pepper,general,hot fruit,gep mag,
peptide,general,short protein chain,let rosk lip,
pericarditis,general,heart sac swell,zif briv parb,
pericardium,general,around heart,bin zif,
peridotite,general,green grain,pes nusp,
pesticide,general,pest kill,dred klub,
petunia,general,trumpet flower,wolb flor,
phalanx,general,finger bone,kubz brod,
pharmacology,general,drug study,som nedz,
pharynx,general,throat passage,galk jaqk,
phenol,general,ring alcohol,rop gadz,
phosphorus,general,light atom,lit tom,l
phyllite,general,silk press,ford malf,
pickup,general,pick up,pruk ted,
pie,general,fill crust,nolb djid,
pituitary,general,brain gland,bren glad,
plaque,general,flat patch,flat patx,
platinum,general,noble atom,hugz tom,
plexus,general,nerve net,nurv hift,
plunge,general,down rush,dot dift,
plutonium,general,far atom,zad tom,
poker,general,stir rod,yiks fits,l
polo,general,horse ball game,hors bral gem,
polonium,general,shake atom,gemp tom,
polydactyly,general,many finger state,mav kubz dom,
polysaccharide,general,many sugar,mav gand,
pomegranate,general,red seed fruit,gic sid mag,
pons,general,bridge of brain,nalb yov bren,
poplar,general,tall fast tree,tals fast dip,l
poppy,general,red sleep flower,gic slip flor,
porcelain,general,fine clay,pol vart,
porphyrin,general,purple ring,sif rop,
portrait,general,face picture,fes hif,
poster,general,wall sheet,medz kuqk,
potassium,general,ash atom,prax tom,
potato,general,under ground stem,bet mits plef,
praseodymium,general,wind atom,moqk tom,
prednisone,general,swell immune drug,parb suft som,
primrose,general,early flower,yab flor,
probe,general,feel search,nag nesp,
promethium,general,fire atom,for tom,
propofol,general,sleep anesthetic drug,slip snet som,
prosthesis,general,false part,rot part,
protactinium,general,brief atom,brif tom,
protease,general,protein enzyme,rosk blan,
proteinase,general,protein enzyme,rosk blan,
proteinuria,general,protein urine,rosk cidj,
protozoan,general,one cell animal,zan weqk zul,
pseudoephedrine,general,nose open drug,noz zark som,l
puberty,general,sex ripe age,zof woft hedj,
pudding,general,soft sweet food,saft skit fiz,l
pumice,general,lava foam,skaq flup,
pumpkin,general,large orange gourd,xogz dej glaq,
purse,general,small bag,smal rod,
pyridine,general,ring nitrogen base,rop snuc gont,
pyrimidine,general,single ring base,misk rop gont,
quail,general,ground bird,mits bax,
quartzite,general,sand press,sand malf,
queen anne's lace,general,white flat flower,wip flat flor,
radiography,general,ray picture,req hif,
radiotherapy,general,ray therapy,req tund,
radish,general,sharp root,bont lalz,
radium,general,beam atom,blim tom,
radon,general,trace atom,tres tom,
railroad,general,rail road,lump yeb,
railway,general,rail way,lump yat,
rake,general,tooth tool,cutx tul,
rally,general,again gather,pal gaC,
ramp,general,slope way,slop yat,
rap,general,sharp knock,bont nak,
rash,general,skin spot,skin mals,
realism,general,real way,lam yat,
rebound,general,again bound,pal tudj,
recess,general,set back space,gen gok pas,
rectum,general,straight gut,ric gut,
redbud,general,trunk flower tree,timp flor dip,
reductase,general,reduce enzyme,dus blan,
reed,general,tall water grass,tals waC gras,
reflux,general,back flow,gok sunt,
reform,general,again form,pal nunt,
retail,general,small sell,smal rok,
reticulum,general,small net,smal hift,
retina,general,eye screen,xic boft,
retrograde,general,back step,gok tip,
rhenium,general,river atom,narv tom,
rhinitis,general,nose swell,noz parb,
rhodium,general,flower atom,flor tom,
rhyolite,general,light fire,lit for,
ribbon,general,narrow strip,Ceft hits,
ribose,general,five carbon sugar,kom rint gand,
rice,general,water grain,waC nusp,
roentgenium,general,see atom,vis tom,
rose,general,thorn smell flower,rarg hac flor,
rosemary,general,needle smell herb,vald hac rorb,
rotavirus,general,wheel virus,dudz tagz,
rowan,general,red cluster tree,gic snan dip,
rubidium,general,red atom,gic tom,
rum,general,sugar spirit,gand jan,
ruthenium,general,still atom,pon tom,
rutherfordium,general,structure atom,tok tom,
rye,general,grain plant,nusp dorf,
sacrum,general,base spine bone,gont span brod,
sage,general,soft gray herb,saft sosk rorb,
samarium,general,power atom,fep tom,
sandalwood,general,burn smell wood,molc hac vriC,
sandstone,general,sand stone,sand ston,
sarcoma,general,flesh cancer,flax budj,
satellite,general,go around body,big bin vat,
scandium,general,soft atom,saft tom,l
scapula,general,shoulder blade,xisp zalf,
scarlet,general,deep red,gov gic,
schist,general,slice stone,giqk ston,
scissors,general,twin blade,feps zalf,l
scleroderma,general,hard skin,pup skin,
sclerosis,general,hard state,pup dom,
scoria,general,lava hole,skaq hatx,
scrotum,general,seed sac,sid briv,
seaborgium,general,force atom,ros tom,
selenium,general,moon atom,lun tom,
septum,general,divide wall,kuv medz,
serotonin,general,mood signal,mud tet,
serpentinite,general,green scale rock,pes skal rak,l
sertraline,general,mood lift drug,mud gorv som,l
shale,general,page stone,koqk ston,
shovel,general,dig tool,narz tul,
sickness,general,sick state,vuf dom,
sildenafil,general,sex blood drug,zof bloC som,
silica,general,sand mineral,sand brom,
silkworm,general,silk worm,ford fald,
sinus,general,bone hollow,brod vabz,
sinusoid,general,wave curve,wev kurv,
ski,general,snow slide,snom slad,
skim,general,take top,tek suk,
slag,general,melt waste,jutx musp,
slash,general,long cut,nuc zep,
slate,general,board stone,vint ston,
sling,general,hang strap,heq regz,
slipper,general,soft shoe,saft debz,
sludge,general,thick mud,sesp cat,
snapdragon,general,mouth flower,muc flor,
soapstone,general,soap stone,haqk ston,
sociology,general,society study,xark nedz,
sodium,general,salt atom,tigz tom,
soprano,general,high voice,mol voz,
sorghum,general,tall dry grain,tals dral nusp,
southeast,general,south east,lut rog,
soybean,general,oil bean,gips Colv,
spectrometry,general,spectrum measure,trom yaj,
spectroscopy,general,spectrum view craft,trom yuv yabz,
spinach,general,dark leaf plant,ram lif dorf,
spindle,general,turn rod,kak fits,
squash,general,soft gourd,saft glaq,
stature,general,stand height,zes bidz,
stenosis,general,narrow state,Ceft dom,
sternum,general,chest bone,gitx brod,
stomatitis,general,mouth swell,muc parb,
strabismus,general,cross eye,kras xic,l
strawberry,general,red seed berry,gic sid blom,
striatum,general,stripe brain part,smog bren part,
stricture,general,narrow place,Ceft nad,
stroma,general,frame tissue,fret txum,l
strontium,general,burst atom,bust tom,l
stub,general,short rest,let zax,
stunt,general,bold feat,jarb smej,
subclass,general,under class,bet gev,
subcutaneous,general,under skin of,bet skin yov,
subfamily,general,under family,bet fam,
subgroup,general,under group,bet hip,
submarine,general,under sea,bet malc,
subunit,general,under unit,bet galp,
sugarcane,general,sweet tall grass,skit tals gras,l
suicide,general,self kill,dep klub,
sulcus,general,brain groove,bren worg,
summary,general,short account,let nodz,
sunday,general,sun day,san yam,
sunflower,general,sun face flower,san fes flor,l
superfamily,general,over family,djip fam,
supplement,general,add fill,lax nolb,
suture,general,join seam,huc frev,
sweet pea,general,wing vine flower,wiq txek flor,
sweet potato,general,sweet root,skit lalz,
sycamore,general,patch bark tree,patx yogz dip,
syncope,general,sudden faint,xisk golz,
syndrome,general,sign set,saqk gen,
synthase,general,build enzyme,guf blan,
synthesis,general,put together,drad tug,
syrup,general,thick sugar water,sesp gand waC,
tachycardia,general,fast heart,fast zif,
talus,general,ankle bone,xuft brod,
tamarind,general,sour pod tree,yedz pard dip,l
tandem,general,one behind,zan vib,
tantalum,general,charge atom,ruf tom,
tea,general,drink leaf plant,dug lif dorf,
teak,general,oil hard wood,gips pup vriC,
technetium,general,craft atom,yabz tom,
technique,general,do way,duz yat,
tellurium,general,earth atom,riq tom,
tennessine,general,great atom,mac tom,
tenor,general,middle voice,mad voz,
terbium,general,glow atom,flok tom,
terrorism,general,fear rule,froC nesk,
testosterone,general,male hormone,maf glaf,
tetrachloride,general,four chlorine salt,laf djez tigz,
tetracycline,general,bacteria block drug,brak giks som,l
thallium,general,stick atom,reb tom,
thistle,general,sharp flower plant,bont flor dorf,
thorium,general,roar atom,wudz tom,
thrombosis,general,clot state,truz dom,
thulium,general,beyond atom,nump tom,
thyme,general,small smell herb,smal hac rorb,
thymus,general,chest gland,gitx glad,
thyroid,general,throat gland,galk glad,
tibia,general,shin bone,djop brod,
titanium,general,strong atom,liv tom,
tobacco,general,smoke leaf plant,smok lif dorf,
toenail,general,toe nail,marz togz,
tomato,general,red soft fruit,gic saft mag,
tonsil,general,throat gland,galk glad,
torch,general,carry flame,maft flem,
torpedo,general,water bomb,waC mudj,
transduction,general,across lead,roq lid,
transferase,general,transfer enzyme,palf blan,
transfusion,general,blood pour,bloC haft,
translocation,general,across place move,roq nad muv,
transplant,general,across plant,roq dorf,
travertine,general,spring lime,demp djiq,
trough,general,long vessel,nuc ves,
truck,general,goods cart,hisp xets,
tuff,general,ash stone,prax ston,l
tulip,general,cup flower,nips flor,l
tungsten,general,wolf atom,wolf tom,
turmeric,general,yellow root,bux lalz,
turnip,general,round root,maps lalz,
turpentine,general,pine oil,comp gips,
ultrasound,general,beyond sound,nump sam,
ultraviolet,general,beyond violet,nump koj,
underground,general,under ground,bet mits,
unilateral,general,one side of,zan sard yov,
upgrade,general,up grade,ted vuft,
uptake,general,up take,ted tek,
uranium,general,break atom,ged tom,
urea,general,water waste,waC musp,
ureter,general,kidney tube,fund tub,
urethra,general,water tube,waC tub,
uveitis,general,eye coat swell,xic letx parb,
uvula,general,throat drop,galk drap,
vaccine,general,teach body drug,titx vat som,l
vacuole,general,cell bubble,weqk jimp,
vamp,general,again patch,pal patx,
vanadium,general,beauty atom,bat tom,l
vanilla,general,sweet smell pod,skit hac pard,
varnish,general,hard gloss coat,pup smop letx,
vasculitis,general,vessel swell,ves parb,
veneer,general,thin face layer,porv fes grof,l
ventricle,general,heart room,zif tif,
vermilion,general,bright red,din gic,
vesicle,general,small sac,smal briv,
vest,general,arm less coat,marb gef letx,
villus,general,gut hair,gut fif,
vinegar,general,sour wine,yedz malv,
violet,general,purple small flower,sif smal flor,l
violin,general,bow string box,pobz des braz,
volvulus,general,gut twist,gut vits,
walnut,general,fold nut tree,fold hiks dip,
wan,general,pale weak,xusk slok,
warfare,general,war fare,gek cond,
warfarin,general,blood clot block,bloC truz giks,
water lily,general,float water flower,flot waC flor,
watermelon,general,red water fruit,gic waC mag,
weed,general,not want plant,mas want dorf,
wheat,general,bread grain,dalf nusp,
willow,general,weep water tree,yotx waC dip,
wisteria,general,hang purple flower,heq sif flor,l
wreath,general,flower ring,flor rop,l
wrench,general,twist tool,vits tul,
xenon,general,alien atom,kebz tom,
yam,general,large root,xogz lalz,
yarrow,general,flat white flower,flat wip flor,
ytterbium,general,memory atom,guj tom,
yttrium,general,bulb atom,wusk tom,
yucca,general,sword leaf plant,bibz lif dorf,
zinc,general,brittle atom,snim tom,
zinnia,general,bright round flower,din maps flor,l
zirconium,general,opaque atom,prik tom,
