word,uses,as_head,as_mark
lys,1,1,0
lysergic,1,0,1
mabc,1,1,0
mafite,1,1,0
maghagendorfite,1,0,1
magmatic,1,0,1
magnesiobeltrandoite,1,0,1
magnesiotaramite,1,1,0
malachite,1,1,0
malaia,1,0,1
malanite,1,1,0
manasseite,1,1,0
manganese,1,0,1
manganhumite,1,0,1
manganotremolite,1,1,0
mark,1,1,0
mars,1,1,0
materials,1,1,0
maw,1,0,1
measure,1,0,1
melamicrogabbro,1,1,0
melamicrogabbroic,1,0,1
melamicromonzodiorite,1,1,0
melange,1,0,1
melasyenite,1,1,0
melilite,1,0,1
mercuroan,1,0,1
mertieite,1,0,1
mesitine,1,0,1
mesityl,1,0,1
mesolite,1,1,0
metabarite,1,0,1
metabasanitic,1,0,1
metabituminous,1,0,1
metablack,1,0,1
metabone,1,0,1
metaborax,1,0,1
metabright,1,0,1
metabrown,1,0,1
metacarnalite,1,0,1
metachert,1,1,0
metaclinopyroxene,1,0,1
metacoal,1,0,1
metacolemanite,1,0,1
metacrystalline,1,0,1
metadacitic,1,0,1
metadiamictite,1,1,0
metadull,1,0,1
metafeldspar,1,0,1
metafelsic,1,0,1
metaferroan,1,0,1
metafoiditic,1,0,1
metafoidolitic,1,0,1
metahalite,1,0,1
metahornblende,1,0,1
metakainite,1,0,1
metakalsilitic,1,0,1
metakalsilitite,1,1,0
metakalsilitolite,1,1,0
metakaolinite,1,0,1
metakernite,1,0,1
metakieserite,1,0,1
metal,1,0,1
metaleucitic,1,0,1
metaleucotonalite,1,1,0
metamafite,1,1,0
metameladiorite,1,1,0
metamelagabbroic,1,0,1
metamelamonzonite,1,1,0
metamelilitic,1,0,1
metamicro,1,0,1
metamicrogranite,1,1,0
metamicrogranitic,1,0,1
metamineral,1,0,1
metamonchiquite,1,1,0
metamonzodiorite,1,1,0
metamugearite,1,1,0
metanorite,1,1,0
metaorthopyroxene,1,0,1
metaphono,1,0,1
metapicritic,1,0,1
metapitchstone,1,1,0
metapolyhalite,1,0,1
metaporphyry,1,1,0
metapotassic,1,0,1
metapyrite,1,0,1
metaquartzose,1,0,1
metaschoepite,1,1,0
metashell,1,0,1
metasiderite,1,0,1
metasiliceous,1,0,1
metasmectite,1,0,1
metasomatic,1,0,1
metastone,1,1,0
metasubfeldspathic,1,0,1
metasublithic,1,0,1
metasyenite,1,1,0
metasyenitic,1,0,1
metasylvite,1,0,1
metatephri,1,0,1
metatonolite,1,1,0
metatrachyandesite,1,1,0
metatrachytic,1,0,1
metatroctolite,1,1,0
metatuffite,1,1,0
metaulexite,1,0,1
metaultramafic,1,0,1
meteorite,1,0,1
methenyl,1,0,1
methoxyphenyl,1,0,1
methylazoxymethanol,1,0,1
methyldibromo,1,0,1
meurigite,1,0,1
microclinopyroxenite,1,1,0
microcrystalline,1,0,1
microfoidolitic,1,0,1
microkalsilitic,1,0,1
microleucitic,1,0,1
microlite,1,0,1
micromonzogranite,1,1,0
micromonzosyenite,1,1,0
microoncolite,1,1,0
micropyroxene,1,0,1
microtonolite,1,1,0
microtroctolite,1,1,0
microwebsterite,1,1,0
millstone,1,0,1
mine,1,0,1
mineralized,1,0,1
mineralogical,1,0,1
mixed,1,0,1
moderately,1,1,0
modified,1,0,1
molybdenite,1,1,0
monosulfide,1,1,0
monoxide,1,0,1
mordenite,1,1,0
mottanaite,1,1,0
mottled,1,0,1
muramic,1,0,1
murunskite,1,1,0
mussel,1,0,1
naca,1,1,0
nafe,1,1,0
named,1,0,1
natro,1,0,1
nd,1,1,0
nebulitic,1,0,1
nebulose,1,0,1
neopentyl,1,0,1
neskevaaraite,1,0,1
neuraminic,1,0,1
nevyanskite,1,1,0
nickel,1,0,1
niobite,1,0,1
nitro,1,1,0
nitrolic,1,0,1
nitrous,1,0,1
nno,1,0,1
nontronite,1,1,0
novekite,1,0,1
octopinic,1,0,1
oh,1,1,0
oilshale,1,1,0
olgite,1,1,0
oncolite,1,1,0
onic,1,0,1
onn,1,0,1
oolite,1,1,0
oolitic,1,0,1
open,1,0,1
optical,1,0,1
oregon,1,0,1
oscarkempffite,1,1,0
osonic,1,0,1
ottoliniite,1,1,0
oxolinic,1,0,1
oxyapatite,1,1,0
oxycalciopyrochlore,1,1,0
oxyfluoride,1,1,0
oxygen,1,1,0
oxyiodide,1,1,0
palladium,1,1,0
palladoan,1,0,1
parakuzmenkoite,1,0,1
paralabuntsovite,1,0,1
paraschist,1,1,0
parasitic,1,0,1
parasymplesite,1,1,0
paraurichalcite,1,0,1
parkerite,1,1,0
pedogenically,1,0,1
peloidite,1,1,0
pen,1,0,1
pentasulfide,1,1,0
pentoxide,1,1,0
people,1,1,0
peralkaline,1,0,1
perrierite,1,1,0
petrified,1,0,1
phenakite,1,1,0
phenanthr,1,1,0
phenanthren,1,1,0
phenylalan,1,1,0
phono,1,0,1
phthalyl,1,0,1
phyllytic,1,0,1
picrite,1,1,0
picritic,1,0,1
pidolic,1,0,1
pillar,1,1,0
pillow,1,1,0
pinacol,1,0,1
pisoidal,1,0,1
pisolite,1,1,0
platinian,1,0,1
platiniferous,1,0,1
plumboan,1,0,1
plumbogummite,1,1,0
plumose,1,0,1
polyhalite,1,0,1
polylithionite,1,1,0
porcellaneous,1,0,1
porphritic,1,0,1
post,1,0,1
potassicrichterite,1,1,0
povondraite,1,1,0
precious,1,0,1
priderite,1,1,0
prop,1,0,1
properties,1,1,0
protomylonitic,1,0,1
proudite,1,1,0
pseudocumyl,1,1,0
pseudoleucite,1,0,1
pseudorutile,1,1,0
pulverised,1,0,1
pyro,1,0,1
pyrroloquinoline,1,0,1
quarff,1,0,1
quarry,1,0,1
quartzofeldspathic,1,0,1
radian,1,0,1
radioactive,1,0,1
radiolarian,1,0,1
radium,1,0,1
rainbow,1,0,1
ramdohrite,1,1,0
rapakivi,1,0,1
raw,1,0,1
re,1,0,1
recognized,1,0,1
reconstituted,1,0,1
recovered,1,1,0
refuse,1,1,0
regularly,1,0,1
relationships,1,0,1
renierite,1,1,0
residual,1,0,1
rhenian,1,0,1
rhodochrosite,1,1,0
rhomb,1,0,1
rhyodacite,1,1,0
rip,1,0,1
roméite,1,0,1
rounded,1,1,0
rubble,1,1,0
rubeanic,1,0,1
rubidian,1,0,1
rubidium,1,0,1
rutile,1,1,0
saccharic,1,0,1
sal,1,0,1
samarskite,1,1,0
sapphire,1,1,0
scandio,1,0,1
scarp,1,1,0
scheelite,1,1,0
schefferite,1,1,0
schumann,1,1,0
sea,1,0,1
seidozerite,1,1,0
selen,1,0,1
seleniferous,1,0,1
selenium,1,0,1
selenomethionine,1,0,1
selenoxide,1,1,0
sequence,1,0,1
sérandite,1,1,0
series,1,1,0
sheath,1,0,1
sheen,1,0,1
shocked,1,0,1
si,1,0,1
sideritic,1,1,0
siilinjärvi,1,0,1
silica,1,0,1
silicates,1,1,0
silico,1,0,1
silicon,1,0,1
single,1,0,1
sit,1,1,1
slices,1,0,1
slide,1,0,1
slip,1,0,1
soft,1,0,1
sole,1,0,1
spaced,1,0,1
sphalerite,1,1,0
spicular,1,0,1
spinel,1,1,0
spiro,1,0,1
spodiosite,1,1,0
sponge,1,0,1
stannoan,1,0,1
stannoidite,1,1,0
stibiotantalite,1,1,0
stibnite,1,1,0
stilpnomelane,1,1,0
stones,1,1,0
strathclyde,1,0,1
strike,1,0,1
strontio,1,0,1
structural,1,1,0
styrene,1,0,1
subfeldspathic,1,0,1
sublithic,1,0,1
sulfonate,1,1,0
sulfone,1,1,0
sulfonic,1,1,0
sulfosalicylic,1,0,1
sulfur,1,0,1
sulfuryl,1,0,1
sulphur,1,1,0
sulvanite,1,1,0
supported,1,1,0
swamboite,1,0,1
sylvite,1,0,1
symmetric,1,0,1
tabular,1,0,1
tac,1,1,0
tantalite,1,1,0
tartar,1,1,0
te,1,0,1
tears,1,1,0
tectonic,1,0,1
tellurium,1,1,0
telluromethionine,1,0,1
telluroxide,1,1,0
tephri,1,0,1
terbium,1,0,1
terephthalyl,1,0,1
tertiarybutoxy,1,1,0
tests,1,1,0
tetra,1,0,1
tetragonal,1,0,1
tetrahydrofol,1,1,0
thickly,1,0,1
thinly,1,0,1
thioinosinic,1,0,1
thiospinel,1,0,1
thoroughly,1,1,0
thrust,1,0,1
tile,1,0,1
timeline,1,0,1
tio,1,0,1
titaniferous,1,0,1
titanium,1,1,0
titanoan,1,0,1
toluene,1,0,1
toluenesulfonate,1,1,0
tonalitic,1,0,1
tourmaline,1,0,1
trachydacite,1,0,1
trapiche,1,0,1
triaz,1,0,1
triazin,1,1,0
triazine,1,1,0
triflimidic,1,0,1
trough,1,0,1
tsilaisite,1,1,0
tuffisite,1,1,0
tulameenite,1,1,0
ulexite,1,0,1
ultramafitite,1,1,0
unclassified,1,0,1
unfoliated,1,0,1
ungarettiite,1,1,0
up,1,0,1
uraninite,1,1,0
uranospinite,1,1,0
urea,1,1,0
uronic,1,0,1
ustarasite,1,1,0
uvite,1,1,0
valleriite,1,1,0
vanillin,1,1,0
vesuvianite,1,1,0
vishnevite,1,1,0
vredenburgite,1,1,0
walter,1,0,1
washed,1,1,0
wavy,1,0,1
weakly,1,1,0
websterite,1,1,0
weeksite,1,1,0
wehrlite,1,1,0
weilite,1,1,0
wine,1,0,1
without,1,0,1
wittite,1,1,0
wood,1,1,0
wrinkle,1,0,1
wulfenite,1,1,0
xanthic,1,0,1
xilingolite,1,1,0
xonotlite,1,1,0
yoredale,1,0,1
yttrian,1,0,1
yukonite,1,1,0
zakharovite,1,1,0
zeta,1,0,1
zinconigerite,1,0,1
zincovelesite,1,0,1
zircon,1,1,0
zone,1,1,0
