word,verdict,why
forte,junk,Italian and French, not English
pyridine,compound,ring + nitrogen + base
restoration,derived,restore + act
runner,derived,run + agent
subfamily,compound,under + family
endometrium,compound,inside + womb + lining
inflorescence,compound,flower + cluster
jejunum,compound,empty + gut
mathematics,derived,learn + thing, through Greek
veil,base,the thin cover over the face
bonnet,compound,head + cap
dorsalis,junk,Latin, not English
epididymis,compound,upon + testis
hepatica,junk,Latin, a species epithet
rigidity,derived,rigid + ness
stiffness,derived,stiff + ness
warfare,compound,war + fare
italy,junk,a place
longus,junk,Latin for long
percussion,derived,strike + act
porcelain,compound,fine + clay
seam,base,the line where two joins. No parts describe it
shunt,compound,turn + aside
acceptor,derived,accept + agent
apoptosis,compound,fall + away + cell + death
butt,base,the thick end, and to strike with the head
ileum,compound,twist + gut
suppression,derived,suppress + act
feeder,derived,feed + agent
forebrain,compound,fore + brain
morocco,junk,a place
superfamily,compound,over + family
depletion,derived,deplete + act
disposal,derived,dispose + act
enhancement,derived,enhance + act
regurgitation,derived,back + throat + act
terminalis,junk,Latin, not English
aura,base,the felt air around a thing
compliance,derived,comply + act
erythrocyte,compound,red + blood + cell
incontinence,derived,not + hold + ness
insulation,derived,insulate + act
pudding,compound,soft + sweet + food
renaissance,junk,a proper name
susceptibility,derived,susceptible + ness
audit,base,the formal check of accounts
bicarbonate,compound,two + carbonate
conditioner,derived,condition + agent
lawrence,junk,a person
modification,derived,modify + act
tenor,compound,middle + voice
thailand,junk,a place
threonine,compound,amino + acid
vaccination,derived,vaccine + act
externa,junk,Latin for outer
patella,compound,knee + bone
surveillance,derived,over + watch + act
utilization,derived,utilize + act
arizona,junk,a place
correction,derived,correct + act
ejaculation,derived,ejaculate + act
planus,junk,Latin for flat
reticulum,compound,small + net
vertebrata,junk,Latin, a taxon name
allocation,derived,allocate + act
deterioration,derived,deteriorate + act
episode,base,one run of a thing, and drifted from its Greek
hypoxia,compound,under + oxygen
innovation,derived,innovate + act
nucleotide,compound,nucleus + unit
pons,compound,bridge + of + brain
tourism,derived,tour + ism
academy,base,the place of learning. Drifted from a grove
cocktail,compound,mixed + drink
compensation,derived,compensate + act
cultivation,derived,cultivate + act
dopa,junk,an abbreviation
flexure,derived,flex + ness
israel,junk,a place
laundry,derived,launder + thing
philippines,junk,a place
pinna,compound,outer + ear
progesterone,compound,pregnancy + hormone
recreation,derived,again + create + act
slag,compound,melt + waste
thrush,base,the bird, and the mouth fungus
washington,junk,a place
pathology,derived,disease + study
biosynthesis,compound,life + synthesis
radiotherapy,compound,ray + therapy
congenital,derived,with + born + of
histology,derived,tissue + study
carboxamide,compound,carboxyl + amide
bromide,derived,bromine + compound
morphogenesis,compound,shape + making
diol,compound,two + alcohol
iodide,derived,iodine + compound
triphosphate,compound,three + phosphate
carboxylate,derived,carboxyl + salt
amide,compound,ammonia + acid + group
monophosphate,compound,one + phosphate
subunit,compound,under + unit
documentation,derived,document + act
oxidase,compound,oxygen + enzyme
techniques,derived,technique + many
mesenchyme,compound,middle + tissue
ketone,compound,carbon + oxygen + group
japonica,junk,Latin, a species epithet
tartrate,derived,tartaric + salt
ganglion,compound,nerve + knot
phosphatase,compound,phosphate + enzyme
mitochondrial,derived,mitochondrion + of
papilloma,compound,bump + growth
familial,derived,family + of
phenylalanine,compound,phenyl + amino + acid
calcification,derived,calcium + act
epilepsy,compound,seize + sickness
proline,compound,amino + acid
primordium,compound,first + form
albicans,junk,Latin, a species epithet
indica,junk,Latin, a species epithet
gallus,junk,Latin for cock
extremity,derived,extreme + ness
ossification,derived,bone + act
marina,junk,Latin, and a place
tang,base,the sharp taste, and the projecting shank
glycerol,compound,sweet + alcohol
bronchus,compound,lung + tube
palate,base,the roof of the mouth
protease,compound,protein + enzyme
esophagus,compound,gullet + tube
tubule,derived,tube + small
arthritis,compound,joint + inflammation
tomography,compound,slice + writing
albumin,compound,white + protein
pylori,junk,Latin, a species epithet
evaluation,derived,evaluate + act
fibroblast,compound,fibre + cell
macrophage,compound,big + eat + cell
palsy,base,the loss of control. Drifted from paralysis
perforation,derived,perforate + act
transferase,compound,transfer + enzyme
endothelium,compound,inside + lining
ulcer,base,the open sore
chemotaxis,compound,chemical + move
dermatitis,compound,skin + inflammation
metacarpal,compound,beyond + wrist + bone
canadensis,junk,Latin, a species epithet
leucine,compound,amino + acid
vasculature,derived,vessel + ness
humerus,compound,upper + arm + bone
statistics,derived,state + thing
antibodies,derived,antibody + many
metabolite,derived,metabolism + thing
bicolor,compound,two + colour
streptococcus,compound,chain + round + microbe
beverage,derived,drink + thing
hernia,compound,push + through
indicus,junk,Latin, a species epithet
mori,junk,Latin, a species epithet
lutea,junk,Latin for yellow
inactivation,derived,not + activate + act
hepatitis,compound,liver + inflammation
serine,compound,amino + acid
dislocation,derived,dislocate + act
metatarsal,compound,beyond + ankle + bone
americanus,junk,Latin, a species epithet
granules,derived,granule + many
sphincter,base,the ring muscle that closes
brevis,junk,Latin for short
rubra,junk,Latin for red
sickness,compound,sick + state
allergen,compound,allergy + cause
communis,junk,Latin, a species epithet
larynx,base,the voice box. No parts describe it
progenitor,derived,before + beget + agent
palustris,junk,Latin, a species epithet
formulation,derived,formulate + act
viridis,junk,Latin for green
ulna,compound,lower + arm + bone
gallbladder,compound,gall + bladder
marathon,compound,long + race
regulations,derived,regulation + many
infancy,derived,infant + ness
adjuvant,compound,help + drug
lumber,compound,cut + wood
stroma,compound,frame + tissue
transporter,derived,transport + thing
embolism,compound,clot + block
physician,derived,heal + one
ruber,junk,Latin for red off a species name
wrestling,derived,wrestle + act
cinerea,junk,Latin for ashy off a species name
dependence,derived,depend + ness
pestis,junk,a Latin species epithet
radiata,junk,a Latin species epithet
hereditary,derived,heredity + of
irrigation,derived,irrigate + act
glycoprotein,compound,sugar + protein
emulsion,compound,fine + mix
erythroblast,compound,red + blood + bud
monocyte,compound,single + white + cell
porphyrin,compound,purple + ring
reflux,compound,back + flow
scrofa,junk,a Latin species epithet
implant,compound,in + set
newborn,compound,new + born
portrait,compound,face + picture
melanocyte,compound,black + cell
primer,compound,first + coat
anesthesia,compound,no + feel
sternum,compound,chest + bone
candida,junk,a Latin genus name
deformity,derived,deform + ness
endoderm,compound,inner + skin
methionine,compound,sulfur + amino + acid
scapula,compound,shoulder + blade
correlation,derived,correlate + act
mutant,base,a thing that came out changed and bred true. Not the act of changing
obesity,derived,obese + ness
progression,derived,progress + act
avium,junk,a Latin genitive off a species name
coa,junk,an abbreviation
commune,compound,share + village
domestica,junk,a Latin species epithet
improvement,derived,improve + ness
igg,junk,a notation
nana,junk,a Latin species epithet
intermedium,junk,the Latin form of intermediate
anatomy,compound,body + study
binder,derived,bind + thing
carotene,compound,orange + pigment
excision,compound,cut + out
hydrocarbon,compound,hydrogen + carbon
lateralis,junk,a Latin species epithet
myocardium,compound,heart + muscle
significance,derived,significant + ness
benzene,compound,six + carbon + ring
clavicle,compound,collar + bone
cochlea,compound,ear + spiral
exhibition,derived,exhibit + act
meatus,compound,body + passage
villus,compound,gut + hair
gelatin,compound,bone + jelly
gouge,compound,scoop + chisel
occupation,derived,occupy + act
porcine,derived,pig + like
publication,derived,publish + act
africanus,junk,a Latin place epithet
amendment,derived,amend + act
diencephalon,compound,between + brain
dilatation,derived,dilate + act
methanol,compound,one + carbon + alcohol
portable,derived,carry + able
purine,compound,double + ring + base
attenuation,derived,attenuate + act
dakota,junk,a place name
ethanol,compound,two + carbon + alcohol
glutamine,compound,amino + acid
tonsil,compound,throat + gland
constipation,compound,bound + gut
scrotum,compound,seed + sac
sulphate,variant,the British spelling of sulfate
tricolor,compound,three + colour
wilson,junk,a surname
argentina,junk,a place name
aspergillus,junk,a Latin genus name
casein,compound,milk + protein
choline,compound,bile + amine
communion,derived,commune + act
cookie,compound,small + sweet + cake
immunoglobulin,compound,immune + protein
ingestion,derived,ingest + act
reactor,derived,react + thing
shingle,compound,roof + board
turpentine,compound,pine + oil
corpuscle,compound,small + body
ganglia,variant,the plural of ganglion
hoop,compound,stiff + ring
insertion,derived,insert + act
jackson,junk,a surname
lipase,compound,fat + enzyme
magnum,junk,a trade word off Latin
pointer,derived,point + thing
pruning,derived,prune + act
antique,compound,old + made + thing
ceremonial,derived,ceremony + of
corporation,compound,trade + body
europaeus,junk,a Latin place epithet
mineralization,derived,mineral + act
montenegro,junk,a place name
mycoplasma,compound,fungus + like + germ
pitcher,derived,pour + thing
usa,junk,an abbreviation of a country
aggregation,derived,aggregate + act
calculus,base,the reckoning of change, and the stone that forms in a body. Neither falls out of two words
cloak,compound,loose + coat
husbandry,compound,farm + craft
sociology,compound,society + study
sumac,compound,sour + shrub
syncope,compound,sudden + faint
terrorism,compound,fear + rule
vulva,compound,outer + sex + part
anaesthetic,derived,anesthesia + thing
chromatin,compound,colour + thread
cilium,compound,cell + hair
cusp,compound,point + edge
epiglottis,compound,over + throat + flap
islam,junk,a religion's own name
methane,compound,one + carbon + gas
ornithine,compound,amino + acid
ovis,junk,a Latin genus name
racemosa,junk,a Latin species epithet
resorption,derived,resorb + act
striatum,compound,stripe + brain + part
taxation,derived,tax + act
arsenate,derived,arsenic + salt
assignment,derived,assign + act
breaker,derived,break + thing
bypass,compound,by + pass
children's,junk,a possessive form
cutis,variant,the Latin for skin
endorphin,compound,inner + pain + drug
insecta,junk,a Latin class name
lane,compound,narrow + road
lipoprotein,compound,fat + protein
oblongata,junk,a Latin epithet
poster,compound,wall + sheet
spiralis,junk,a Latin species epithet
toenail,compound,toe + nail
buttress,compound,prop + wall
capitis,junk,a Latin genitive off an anatomy name
coverage,derived,cover + ness
dentition,compound,tooth + set
fragility,derived,fragile + ness
haiti,junk,a place name
inspection,derived,inspect + act
judaism,junk,a religion's own name
leukocyte,compound,white + cell
organisation,variant,the British spelling of organization
orifice,compound,body + hole
splicing,derived,splice + act
staging,derived,stage + act
dosage,derived,dose + ness
pharmacology,compound,drug + study
inhibitors,variant,the plural of inhibitor
cytology,compound,cell + study
hydrochloride,compound,hydrogen + chlorine + salt
drosophila,junk,a Latin genus name
xenopus,junk,a Latin genus name
jurisprudence,compound,law + study
carcinoma,compound,cover + tissue + cancer
neoplasm,compound,new + growth
lymphoma,compound,lymph + cancer
sarcoma,compound,flesh + cancer
dysplasia,compound,bad + growth
rearrangement,derived,rearrange + act
reductase,compound,reduce + enzyme
dehydrogenase,compound,hydrogen + strip + enzyme
adenoma,compound,gland + growth
melanoma,compound,black + cancer
genre,compound,art + kind
stenosis,compound,narrow + state
hyperplasia,compound,over + growth
hypoplasia,compound,under + growth
aeruginosa,junk,a Latin species epithet
dystrophy,compound,bad + feed
hydrolase,compound,water + split + enzyme
hemorrhage,compound,blood + burst
alanine,compound,amino + acid
hemangioma,compound,blood + vessel + growth
neuropathy,compound,nerve + disease
motif,compound,repeat + figure
pneumoniae,junk,a Latin genitive off a species name
phalanx,compound,finger + bone
specified,derived,specify + done
medal,compound,honour + disc
nevus,compound,skin + mark
remission,derived,remit + act
anhydride,compound,no + water + compound
malformation,compound,bad + shape
atresia,compound,no + passage
arginine,compound,amino + acid
lipoma,compound,fat + growth
hypertension,compound,high + blood + press
sinensis,junk,a Latin place epithet
severity,derived,severe + ness
costume,compound,play + dress
fluoride,derived,fluorine + salt
sulfide,derived,sulfur + salt
gyrus,compound,brain + fold
microscopy,compound,small + view + craft
pneumonia,compound,lung + swell + sickness
lyase,compound,split + enzyme
fibrosis,compound,fibre + growth
aneurysm,compound,vessel + bulge
biopsy,compound,live + sample
infarction,compound,dead + tissue + block
ataxia,compound,no + order
insufficiency,derived,insufficient + ness
paralysis,compound,no + move
thrombosis,compound,clot + state
orientalis,junk,a Latin place epithet
oxalate,derived,oxalic + salt
retinopathy,compound,retina + disease
encephalopathy,compound,brain + disease
isomerase,compound,isomer + enzyme
epoxide,compound,oxygen + ring
agenesis,compound,no + growth
gracilis,junk,a Latin species epithet
bacillus,compound,rod + germ
deafness,derived,deaf + ness
oxidoreductase,compound,oxygen + move + enzyme
cardiomyopathy,compound,heart + muscle + disease
mills,variant,the plural of mill
complication,derived,complicate + act
imidazole,compound,nitrogen + ring
decarboxylase,compound,carbon + strip + enzyme
angiosarcoma,compound,vessel + flesh + cancer
rosea,junk,a Latin species epithet
mesoderm,compound,middle + skin
pseudomonas,junk,a Latin genus name
amyloidosis,compound,starch + protein + state
indole,compound,nitrogen + double + ring
neuroblastoma,compound,nerve + bud + cancer
occidentalis,junk,a Latin place epithet
dementia,compound,mind + loss
aplasia,compound,no + growth
carbamate,compound,carbon + nitrogen + salt
fibroma,compound,fibre + growth
acidosis,compound,acid + state
commissure,compound,join + band
valine,compound,amino + acid
variabilis,junk,a Latin species epithet
granuloma,compound,grain + growth
tryptophan,compound,amino + acid
peroxidase,compound,peroxide + enzyme
proteinase,compound,protein + enzyme
meningitis,compound,brain + skin + swell
colitis,compound,gut + swell
fluorouracil,compound,fluorine + uracil
glaucoma,compound,eye + press + sickness
tachycardia,compound,fast + heart
fixture,derived,fix + thing
salmonella,junk,a Latin genus name off a surname
thalamus,compound,brain + relay
conjunctivitis,compound,eye + skin + swell
diabetes,compound,sugar + waste + sickness
manus,variant,the Latin for hand
chromatography,compound,colour + write + craft
hemoglobin,compound,blood + protein
mri,junk,an abbreviation
translocation,compound,across + place + move
stature,compound,stand + height
acetamide,compound,acetate + amide
coronavirus,compound,crown + virus
ectoderm,compound,outer + skin
hydride,derived,hydrogen + salt
diverticulum,compound,gut + pouch
dysgenesis,compound,bad + growth
burgdorferi,junk,a Latin epithet off a surname
iia,junk,a notation
varnish,compound,hard + gloss + coat
tuff,compound,ash + stone
headgear,compound,head + gear
myeloma,compound,marrow + cancer
gastritis,compound,stomach + swell
griseus,junk,a Latin species epithet
inositol,compound,ring + alcohol
ligand,compound,bind + thing
diarrhea,compound,loose + stool
iib,junk,a notation
plasmodium,junk,a Latin genus name
propria,junk,a Latin epithet
skiing,derived,ski + act
callosum,junk,a Latin epithet
blight,compound,plant + rot
hypothyroidism,compound,low + thyroid + state
leakage,derived,leak + ness
sioux,junk,a people's own name
val,junk,an abbreviation of valine
formate,derived,formic + salt
galactose,compound,milk + sugar
narrative,derived,narrate + thing
pancreatitis,compound,pancreas + swell
transduction,compound,across + lead
cartridge,compound,shot + case
reticulata,junk,a Latin species epithet
nasopharynx,compound,nose + throat
versicolor,junk,a Latin species epithet
artillery,compound,heavy + gun
buddhism,junk,a religion's own name
clitoris,base,the organ. No two words give it without naming something else
erythematosus,junk,a Latin species epithet
punctata,junk,a Latin species epithet
summary,compound,short + account
urticaria,compound,nettle + rash
betaine,compound,beet + amine
grandis,junk,a Latin species epithet
hydrocephalus,compound,water + head
keratosis,compound,horn + skin + state
mitomycin,junk,a drug's own name off a Latin genus
sinusitis,compound,sinus + swell
leishmania,junk,a Latin genus off a surname
mortar,compound,stone + paste
peptidase,compound,peptide + enzyme
wan,compound,pale + weak
archaeology,compound,old + study
biotin,compound,life + vitamin
endocarditis,compound,inner + heart + swell
myxoma,compound,slime + growth
sacrum,compound,base + spine + bone
americanum,junk,a Latin place epithet
flavum,junk,a Latin species epithet
realism,compound,real + way
vaginalis,junk,a Latin species epithet
catheter,compound,body + tube
certification,derived,certify + act
championship,derived,champion + ness
designer,derived,design + one
keratitis,compound,cornea + swell
mrs,junk,an abbreviation of a title
mycobacterium,junk,a Latin genus name
arthropathy,compound,joint + disease
astrocyte,compound,star + cell
cava,junk,a Latin epithet
coping,derived,cope + act
disabilities,variant,the plural of disability
europaea,junk,a Latin place epithet
glucan,compound,sugar + chain
manure,compound,field + dung
modulator,derived,modulate + thing
myositis,compound,muscle + swell
nephritis,compound,kidney + swell
phenol,compound,ring + alcohol
purpura,compound,purple + rash
soprano,compound,high + voice
trachomatis,junk,a Latin species epithet
verrucosa,junk,a Latin species epithet
volvulus,compound,gut + twist
yersinia,junk,a Latin genus off a surname
arteriosus,junk,a Latin epithet
arteritis,compound,artery + swell
asthma,compound,tight + breath
cholesterol,compound,bile + sterol
eyeball,compound,eye + ball
flask,compound,narrow + neck + bottle
uveitis,compound,eye + coat + swell
alopecia,compound,hair + loss
clergy,compound,priest + body
emphysema,compound,lung + air + swell
gigas,junk,a Latin species epithet
glucosamine,compound,glucose + amine
majus,junk,a Latin species epithet
neuritis,compound,nerve + swell
nodosa,junk,a Latin species epithet
rickets,compound,soft + bone + sickness
rotavirus,compound,wheel + virus
staphylococcus,junk,a Latin genus name
acidemia,compound,acid + blood
adenovirus,compound,gland + virus
candidiasis,compound,yeast + sickness
erythema,compound,red + skin
grinder,derived,grind + thing
histidine,compound,amino + acid
mixer,derived,mix + thing
transaminase,compound,amine + move + enzyme
baroque,compound,ornate + style
butanol,compound,four + carbon + alcohol
hypotension,compound,low + blood + press
oklahoma,junk,a place name
prosthesis,compound,false + part
scissors,compound,twin + blade
striata,junk,a Latin species epithet
virginiana,junk,a Latin place epithet
asparagine,compound,amino + acid
bathroom,compound,bath + room
calcaneus,compound,heel + bone
cerebri,junk,a Latin genitive off an anatomy name
cystitis,compound,bladder + swell
cytotoxicity,compound,cell + poison + ness
mediastinum,compound,chest + middle + space
midbrain,compound,middle + brain
puberty,compound,sex + ripe + age
slipper,compound,soft + shoe
cirrhosis,compound,liver + scar
eosinophilia,compound,white + cell + excess
hygiene,compound,clean + craft
laterality,derived,lateral + ness
mallet,compound,wood + hammer
scanner,derived,scan + thing
stricture,compound,narrow + place
transfusion,compound,blood + pour
builder,derived,build + one
fibrillation,compound,quiver + beat
integration,derived,integrate + act
luteum,junk,a Latin species epithet
mesentery,compound,gut + fold + sheet
myocarditis,compound,heart + muscle + swell
nephron,compound,kidney + unit
protozoan,compound,one + cell + animal
thyroiditis,compound,thyroid + swell
adipocyte,compound,fat + cell
belgium,junk,a place name
geography,compound,earth + writing
heparin,compound,blood + clot + block
keratinocyte,compound,horn + cell
locomotive,compound,rail + engine
oropharynx,compound,mouth + throat
vest,compound,arm + less + coat
arteriole,compound,small + artery
donation,derived,donate + act
neisseria,junk,a Latin genus off a surname
neurotoxin,compound,nerve + poison
pericarditis,compound,heart + sac + swell
peritonitis,compound,belly + lining + swell
radiography,compound,ray + picture
rhinitis,compound,nose + swell
speaker,derived,speak + one
strabismus,compound,cross + eye
turcica,junk,a Latin place epithet
variability,derived,variable + ness
accelerator,derived,accelerate + thing
ascites,compound,belly + water
benign,compound,no + harm
biogenesis,compound,life + birth
contusion,compound,deep + bruise
cyanobacteria,compound,blue + green + germ
dwarfism,compound,dwarf + state
fontanelle,compound,skull + soft + spot
furo,junk,a chemistry prefix
guanosine,compound,guanine + sugar
lymphadenitis,compound,lymph + gland + swell
meninges,compound,brain + skin
osteoblast,compound,bone + bud + cell
overgrowth,compound,over + growth
pendant,compound,hang + jewel
stomatitis,compound,mouth + swell
thymidine,compound,thymine + sugar
cytidine,compound,cytosine + sugar
glutathione,compound,three + amino + acid
guidelines,compound,guide + line
intercourse,compound,sex + act
predisposition,derived,predispose + act
pyrimidine,compound,single + ring + base
railway,compound,rail + way
restrictions,variant,the plural of restriction
sinusoid,compound,wave + curve
textiles,variant,the plural of textile
uvula,compound,throat + drop
aquaculture,compound,water + farm
felis,junk,a Latin genus name
idiopathic,compound,no + known + cause
imagery,derived,image + ness
impedance,derived,impede + ness
infertility,derived,infertile + ness
linguistics,compound,speech + study
processor,derived,process + thing
vacuole,compound,cell + bubble
autosomal,derived,autosome + of
eskimo,junk,a people's own name
hickory,compound,hard + nut + tree
protector,derived,protect + one
tetrachloride,compound,four + chlorine + salt
turner,derived,turn + one
veneer,compound,thin + face + layer
amidase,compound,amide + enzyme
anthropology,compound,people + study
dentistry,compound,tooth + craft
hydroxyproline,compound,hydroxyl + proline
mannose,compound,manna + sugar
mexicanum,junk,a Latin place epithet
osteomyelitis,compound,bone + marrow + swell
paresis,compound,weak + palsy
ribbons,variant,the plural of ribbon
scleroderma,compound,hard + skin
ulceration,derived,ulcer + act
violin,compound,bow + string + box
albinism,compound,no + colour + state
alder,compound,water + cone + tree
angioma,compound,vessel + growth
bearer,derived,bear + one
biomarker,compound,life + mark
caudata,junk,a Latin species epithet
cholecystitis,compound,gall + bladder + swell
coxa,variant,the Latin for hip
dismutase,compound,split + swap + enzyme
endocardium,compound,inner + heart + lining
glomerulus,compound,kidney + vessel + ball
irregularity,derived,irregular + ness
lanceolata,junk,a Latin species epithet
perfringens,junk,a Latin species epithet
proteinuria,compound,protein + urine
setter,derived,set + one
sludge,compound,thick + mud
vermis,variant,the Latin for worm
wreath,compound,flower + ring
xylene,compound,double + methyl + benzene
microbiology,compound,small + life + study
epidemiology,compound,spread + sickness + study
etiology,compound,cause + study
abnormalities,variant,the plural of abnormality
adenocarcinoma,compound,gland + cancer
anhydrous,compound,no + water
monohydrate,compound,one + water + salt
synthase,compound,build + enzyme
subtilis,junk,a Latin species epithet
meningioma,compound,brain + skin + growth
ene,junk,a chemistry suffix
lactone,compound,ring + ester
copolymer,compound,two + kind + polymer
diphosphate,compound,two + phosphate
fumarate,derived,fumaric + salt
sativa,junk,a Latin species epithet
methacrylate,compound,methyl + acrylate
edema,compound,water + swell
falciparum,junk,a Latin species epithet
succinate,derived,succinic + salt
teratoma,compound,mixed + tissue + growth
hallux,compound,big + toe
myopathy,compound,muscle + disease
typhimurium,junk,a Latin species epithet
dysfunction,compound,bad + work
sulcus,compound,brain + groove
neoplasia,compound,new + growth
glioma,compound,glue + cell + cancer
spectroscopy,compound,spectrum + view + craft
oxime,compound,nitrogen + oxygen + group
leiomyosarcoma,compound,smooth + muscle + cancer
sulfoxide,compound,sulfur + oxide
disulfide,compound,two + sulfur + bond
lys,junk,an abbreviation of lysine
abscess,compound,pus + pocket
leiomyoma,compound,smooth + muscle + growth
liposarcoma,compound,fat + flesh + cancer
arg,junk,an abbreviation of arginine
amplification,derived,amplify + act
sclerosis,compound,hard + state
sulfonamide,compound,sulfur + amide
benzoate,derived,benzoic + salt
mesothelioma,compound,lining + tissue + cancer
japonicum,junk,a Latin place epithet
phylum,base,the rank above class. A rank marker, and the language has none yet
contracture,compound,muscle + shorten
monooxygenase,compound,one + oxygen + enzyme
osteosarcoma,compound,bone + cancer
methotrexate,junk,a drug's own name
spectrometry,compound,spectrum + measure
deoxyadenosine,compound,no + oxygen + adenosine
dichloride,compound,two + chlorine + salt
lectin,compound,sugar + bind + protein
bronchiole,compound,small + airway
cholerae,junk,a Latin genitive off a species name
ligase,compound,join + enzyme
epiphysis,compound,bone + end
cruzi,junk,a Latin epithet off a surname
hamartoma,compound,wrong + tissue + growth
officinalis,junk,a Latin species epithet
sativum,junk,a Latin species epithet
flava,junk,a Latin species epithet
epilepticus,junk,a Latin epithet
globulin,compound,ball + protein
californica,junk,a Latin place epithet
chinensis,junk,a Latin place epithet
musculature,derived,muscle + set
africana,junk,a Latin place epithet
fisheries,variant,the plural of fishery
gly,junk,an abbreviation of glycine
gondii,junk,a Latin epithet off a surname
pyogenes,junk,a Latin species epithet
faecalis,junk,a Latin species epithet
polydactyly,compound,many + finger + state
syndactyly,compound,joined + finger + state
dinucleotide,compound,two + nucleotide
painter,derived,paint + one
glioblastoma,compound,glue + cell + cancer
hominis,junk,a Latin genitive
occupations,variant,the plural of occupation
maritima,junk,a Latin species epithet
nephropathy,compound,kidney + disease
thymocyte,compound,thymus + cell
vasculitis,compound,vessel + swell
canthus,compound,eye + corner
dehydratase,compound,water + strip + enzyme
kitchen,compound,cook + room
pathway,compound,path + way
aquifer,compound,water + rock + layer
silkworm,compound,silk + worm
embankment,compound,bank + wall
passionate,derived,passion + like
patience,derived,patient + ness
eternity,derived,eternal + ness
emphasize,derived,emphasis + do
sickle,compound,reap + blade
broom,compound,sweep + brush
garlic,compound,strong + smell + bulb
vinegar,compound,sour + wine
syrup,compound,thick + sugar + water
tomato,compound,red + soft + fruit
oregano,compound,strong + smell + herb
vanilla,compound,sweet + smell + pod
thyme,compound,small + smell + herb
turmeric,compound,yellow + root
ginger,compound,hot + root
cinnamon,compound,name + bark
carrot,compound,orange + root
eggplant,compound,purple + fruit
walnut,compound,fold + nut + tree
chestnut,compound,spine + nut + tree
mustard,compound,name + seed
fennel,compound,name + herb
avocado,compound,fat + green + fruit
