term,score,round,why
raspberry,12678.078,4,chosen
weak,12674.339,4,chosen
pray,12616.251,4,chosen
exceed,12600.001,4,chosen
poplar,12596.693,4,chosen
item,12559.074,4,chosen
trail,12531.493,4,chosen
membrane,12501.199,4,chosen
cork,12471.002,4,chosen
crush,12448.053,4,chosen
saw,12370.662,4,chosen
rich,12350.636,4,chosen
dynasty,12300,4,chosen
wrinkle,12294.584,4,chosen
expensive,12197.196,4,chosen
brocade,12186.136,4,chosen
elder,12114.54,4,chosen
stink,12109.209,4,chosen
trench,12104.093,4,chosen
wall,12068.179,4,chosen
shield,12024.607,4,chosen
garlic,11952.802,4,chosen
fan,11918.224,4,chosen
shade,11876.257,4,chosen
dry,11863.36,4,chosen
money,11859.579,4,chosen
plate,11827.747,4,chosen
shell,11704.469,4,chosen
japonicus,11650,4,chosen
tung,11650,4,chosen
rod,11642.293,4,chosen
spear,11636.594,4,chosen
dot,11636.442,4,chosen
fir,11618.397,4,chosen
draw,11556.294,4,chosen
do,11523.316,4,chosen
blunt,11506.156,4,chosen
settle,11505.903,4,chosen
picture,11500.058,4,chosen
timber,11469.259,4,chosen
native,11389.293,4,chosen
comb,11364.609,4,chosen
help,11329.55,4,chosen
office,11328.122,4,chosen
fight,11311.686,4,chosen
morning,11254.981,4,chosen
slave,11239.199,4,chosen
tour,11228.118,4,chosen
wrap,11140.022,4,chosen
louse,11125.661,4,chosen
bowl,11010.447,4,chosen
people,10998.341,4,chosen
keel,10997.147,4,chosen
flesh,10975.984,4,chosen
golf,10915.843,4,chosen
lay,10900.061,4,chosen
claw,10895.545,4,chosen
strike,10859.337,4,chosen
artemisia,10800,4,chosen
brown,10748.336,4,chosen
mud,10746.298,4,chosen
desk,10693.533,4,chosen
thicket,10674.973,4,chosen
heal,10670.031,4,chosen
hem,10645.095,4,chosen
leather,10640.415,4,chosen
chief,10572.773,4,chosen
coin,10571.661,4,chosen
ink,10560.071,4,chosen
rabbit,10553.152,4,chosen
nouns,10550,4,chosen
lime,10496.345,4,chosen
millet,10470.915,4,chosen
common,10465.981,4,chosen
corner,10357.622,4,chosen
potash,10300.29,4,chosen
ruin,10289.188,4,chosen
embrace,10273.274,4,chosen
cart,10264.812,4,chosen
sack,10263.962,4,chosen
eat,10235.984,4,chosen
throw,10206.481,4,chosen
respect,10192.152,4,chosen
sword,10182.187,4,chosen
school,10171.936,4,chosen
cinnabar,10127.027,4,chosen
nut,10113.69,4,chosen
jujube,10112,4,chosen
maple,10082.199,4,chosen
show,10047.17,4,chosen
whip,10047.078,4,chosen
strip,10012.243,4,chosen
crotch,9950,4,chosen
press,9917.015,4,chosen
pouch,9850,4,chosen
bed,9801.448,4,chosen
burn,9769.389,4,chosen
twin,9719.269,4,chosen
pay,9688.445,4,chosen
mad,9673.536,4,chosen
bank,9662.51,5,chosen
decide,9662.018,5,chosen
skill,9641.269,5,chosen
offer,9608.124,5,chosen
bald,9574.067,5,chosen
cook,9558.825,5,chosen
throat,9526.39,5,chosen
friend,9526.154,5,chosen
crawl,9500,5,chosen
admit,9488.031,5,chosen
cluster,9470.269,5,chosen
cat,9456.157,5,chosen
leave,9423.465,5,chosen
neck,9348.552,5,chosen
helmet,9341.437,5,chosen
kite,9338.037,5,chosen
switch,9319.312,5,chosen
say,9319.047,5,chosen
wear,9319.039,5,chosen
foam,9314.027,5,chosen
bubble,9264.315,5,chosen
scatter,9254.096,5,chosen
pea,9235.127,5,chosen
pitch,9218.208,5,chosen
grape,9211.659,5,chosen
embroider,9205,5,chosen
tumor,9186.287,5,chosen
cone,9169.371,5,chosen
farmstead,9161.136,5,chosen
fork,9137.586,5,chosen
rope,9103.448,5,chosen
fluid,9101.014,5,chosen
toe,9099.06,5,chosen
style,9064.113,5,chosen
fool,9028.831,5,chosen
wag,8982.016,5,chosen
paved,8952.032,5,chosen
cattle,8940.441,5,chosen
iris,8907.305,5,chosen
peak,8894.502,5,chosen
climb,8861.771,5,chosen
tile,8837.38,5,chosen
umbrella,8726.027,5,chosen
dwell,8718.136,5,chosen
angle,8718.03,5,chosen
gimlet,8701.001,5,chosen
block,8686.115,5,chosen
beast,8650.003,5,chosen
spike,8637.24,5,chosen
ice,8623.979,5,chosen
roebuck,8600,5,chosen
cress,8592.642,5,chosen
lean,8581.826,5,chosen
omen,8571.072,5,chosen
growth,8569.119,5,chosen
tribute,8558.008,5,chosen
pole,8544.071,5,chosen
harbor,8543.637,5,chosen
monkey,8529.539,5,chosen
worth,8524.127,5,chosen
fig,8519.964,5,chosen
felicitous,8450,5,chosen
spleen,8447.148,5,chosen
ditch,8444.507,5,chosen
axe,8441.003,5,chosen
pot,8433.596,5,chosen
correct,8423.131,5,chosen
meal,8400.211,5,chosen
fort,8376.259,5,chosen
turban,8373.171,5,chosen
stripe,8324.028,5,chosen
ranunculus,8300,5,chosen
sister,8288.785,5,chosen
finger,8280.66,5,chosen
floor,8268.649,5,chosen
bud,8208.246,5,chosen
service,8175.572,5,chosen
height,8162.644,5,chosen
express,8162.159,5,chosen
dust,8143.598,5,chosen
ripening,8140.835,5,chosen
college,8093.086,5,chosen
war,8088.448,5,chosen
ornament,8081.513,5,chosen
print,8080.043,5,chosen
bug,8069.689,5,chosen
base,8065.692,5,chosen
anger,8053.664,5,chosen
sickle,8025.73,5,chosen
ethics,8000,5,chosen
gilded,7975.973,5,chosen
lump,7935.623,5,chosen
nation,7930.828,5,chosen
leek,7884.184,5,chosen
lodge,7842.817,5,chosen
sole,7839.633,5,chosen
thigh,7839.09,5,chosen
wander,7832.739,5,chosen
cheese,7827.215,5,chosen
cap,7813.52,5,chosen
sting,7773.175,6,chosen
scent,7750.01,6,chosen
mound,7749.302,6,chosen
elm,7737.116,6,chosen
support,7728.338,6,chosen
galingale,7725.321,6,chosen
keep,7700.027,6,chosen
pond,7682.232,6,chosen
broom,7668.265,6,chosen
spindle,7660.9,6,chosen
treasure,7658.56,6,chosen
story,7600.215,6,chosen
lady,7591.59,6,chosen
glue,7501.285,6,chosen
happiness,7450,6,chosen
condole,7450,6,chosen
diminish,7428.623,6,chosen
mobile,7406.4,6,chosen
bump,7338.095,6,chosen
visible,7326.623,6,chosen
noble,7302.891,6,chosen
bluff,7298.291,6,chosen
giant,7272.622,6,chosen
suburb,7258.308,6,chosen
chenopodium,7250,6,chosen
album,7250,6,chosen
steal,7247.068,6,chosen
drink,7235.932,6,chosen
clover,7234.29,6,chosen
meadowrue,7228.427,6,chosen
slice,7200.007,6,chosen
father,7199.87,6,chosen
shame,7174.585,6,chosen
fennel,7167.317,6,chosen
amaranth,7165.015,6,chosen
lucky,7100.006,6,chosen
search,7097.419,6,chosen
heat,7067.843,6,chosen
distant,7067.043,6,chosen
curtain,7062.777,6,chosen
endure,7054.03,6,chosen
literature,7050,6,chosen
basin,7035.984,6,chosen
knife,7008.908,6,chosen
believe,7000.039,6,chosen
frontier,6961.011,6,chosen
taro,6951.001,6,chosen
cake,6917.158,6,chosen
inhabit,6914,6,chosen
radish,6905.355,6,chosen
gram,6900.002,6,chosen
taste,6895.684,6,chosen
king,6883.39,6,chosen
tell,6862.089,6,chosen
snail,6857.705,6,chosen
drop,6847.252,6,chosen
rye,6846.396,6,chosen
stake,6834.723,6,chosen
blond,6829.274,6,chosen
against,6822.638,6,chosen
sugar,6798.295,6,chosen
cherry,6789.178,6,chosen
harm,6781.436,6,chosen
smell,6779.016,6,chosen
vetch,6770.418,6,chosen
opening,6750.608,6,chosen
halberd,6750,6,chosen
prop,6748,6,chosen
ship,6744.434,6,chosen
punctuated,6735.33,6,chosen
marry,6732.553,6,chosen
spice,6730.432,6,chosen
book,6715.66,6,chosen
episcopal,6714.658,6,chosen
osmunda,6700,6,chosen
regalis,6700,6,chosen
sheet,6684.801,6,chosen
crowd,6665.151,6,chosen
bead,6665.016,6,chosen
wax,6645.649,6,chosen
suitable,6642.09,6,chosen
country,6641.007,6,chosen
military,6632.217,6,chosen
hamlet,6615.609,6,chosen
class,6600.018,6,chosen
fuel,6600.006,6,chosen
kidney,6595.245,6,chosen
rust,6570.357,6,chosen
fox,6555.207,6,chosen
lily,6552.257,6,chosen
lane,6511.505,6,chosen
urine,6472.999,6,chosen
fit,6465.102,6,chosen
agree,6430.1,6,chosen
shaggy,6414.714,6,chosen
bow,6413.511,6,chosen
qin,6400,6,chosen
insect,6373.198,6,chosen
snout,6370.607,6,chosen
goat,6360.879,6,chosen
hammer,6359.444,7,chosen
weed,6330.466,7,chosen
park,6330.156,7,chosen
bog,6308.907,7,chosen
bustard,6305.395,7,chosen
mallotus,6301,7,chosen
speak,6300.05,7,chosen
substance,6300.029,7,chosen
wedge,6264.212,7,chosen
mile,6240.234,7,chosen
coral,6234.274,7,chosen
unit,6214.939,7,chosen
boar,6172.486,7,chosen
junior,6163.157,7,chosen
verdant,6148.444,7,chosen
lizard,6128.502,7,chosen
beet,6098.644,7,chosen
clan,6095.746,7,chosen
ant,6080.67,7,chosen
battle,6062.422,7,chosen
draba,6050,7,chosen
night,6037.045,7,chosen
bottle,6035.285,7,chosen
birch,6022.221,7,chosen
dye,6007.009,7,chosen
dish,5985.599,7,chosen
joy,5936.616,7,chosen
chest,5917.174,7,chosen
circle,5898.225,7,chosen
triangular,5891.187,7,chosen
tin,5885.236,7,chosen
spine,5875.032,7,chosen
intestine,5871.071,7,chosen
reverse,5868.118,7,chosen
sow,5840.317,7,chosen
furrowed,5839.685,7,chosen
warm,5773.639,7,chosen
string,5772.089,7,chosen
elephant,5751.199,7,chosen
fast,5750.058,7,chosen
issue,5750.008,7,chosen
extraordinary,5714.261,7,chosen
sesame,5713.137,7,chosen
extend,5707.863,7,chosen
tribe,5689.64,7,chosen
mercy,5674.727,7,chosen
girl,5668.645,7,chosen
locust,5663.412,7,chosen
hazel,5648.698,7,chosen
germander,5645.442,7,chosen
bind,5627.09,7,chosen
channel,5623.575,7,chosen
hoard,5600,7,chosen
flies,5600,7,chosen
steep,5591.144,7,chosen
testicle,5579.324,7,chosen
rejoiced,5571.067,7,chosen
vessel,5566.45,7,chosen
gas,5559.579,7,chosen
load,5552.232,7,chosen
hubei,5550,7,chosen
betel,5550,7,chosen
alkaline,5550,7,chosen
oval,5535.486,7,chosen
sleep,5531.704,7,chosen
owl,5509.395,7,chosen
sick,5500.041,7,chosen
imperial,5500,7,chosen
loquat,5500,7,chosen
waste,5488.254,7,chosen
stage,5479.28,7,chosen
nun,5478.878,7,chosen
manifest,5450,7,chosen
put,5441.336,7,chosen
buddha,5432.482,7,chosen
tend,5429.134,7,chosen
tremble,5428.625,7,chosen
smile,5419.173,7,chosen
poor,5414.118,7,chosen
concave,5412.062,7,chosen
pour,5410.009,7,chosen
boy,5400.31,7,chosen
hut,5397.294,7,chosen
bare,5396.301,7,chosen
gourd,5391.292,7,chosen
hat,5356.602,7,chosen
expert,5354.13,7,chosen
womb,5351.103,7,chosen
touch,5342.571,7,chosen
handle,5342.507,7,chosen
oblique,5331.511,7,chosen
paper,5313.375,7,chosen
cushion,5300.005,7,chosen
foreign,5281.21,7,chosen
honey,5268.098,7,chosen
travel,5259.519,7,chosen
banyan,5252.052,7,chosen
prosperous,5250,7,chosen
moderate,5244.49,7,chosen
own,5238.859,7,chosen
scarlet,5202.299,8,chosen
hibiscus,5200,8,chosen
jasmine,5198.298,8,chosen
alum,5189.089,8,chosen
rot,5182.476,8,chosen
date,5177.005,8,chosen
proud,5176.389,8,chosen
coil,5174.425,8,chosen
die,5166.731,8,chosen
bundle,5160.409,8,chosen
zhejiang,5150,8,chosen
complicated,5150,8,chosen
praise,5128.323,8,chosen
carve,5125.027,8,chosen
brush,5122.875,8,chosen
drought,5122.721,8,chosen
nail,5117.674,8,chosen
hurt,5100.033,8,chosen
slant,5100.007,8,chosen
duck,5097.748,8,chosen
belly,5042.792,8,chosen
gadfly,5037.032,8,chosen
found,5036.075,8,chosen
length,5030.18,8,chosen
turnip,5021.042,8,chosen
mass,5019.047,8,chosen
mosque,5019.014,8,chosen
free,5018.861,8,chosen
chain,5004.566,8,chosen
inclined,5003.602,8,chosen
weapon,5000.024,8,chosen
abundant,4992.28,8,chosen
art,4984.311,8,chosen
summer,4976.351,8,chosen
kill,4972.387,8,chosen
cry,4934.083,8,chosen
prick,4924.622,8,chosen
examine,4924.053,8,chosen
victory,4920.767,8,chosen
equipped,4917.413,8,chosen
copy,4911.089,8,chosen
mulberry,4903.511,8,chosen
dissected,4901.899,8,chosen
oat,4900.8,8,chosen
assemble,4882.232,8,chosen
stuff,4865.13,8,chosen
revolve,4857.106,8,chosen
luck,4851,8,chosen
camphor,4851,8,chosen
kid,4850.507,8,chosen
phragmites,4850,8,chosen
juniper,4846.237,8,chosen
district,4833.981,8,chosen
cool,4833.275,8,chosen
shore,4827.178,8,chosen
cove,4820.816,8,chosen
fortune,4806.058,8,chosen
daisy,4787.187,8,chosen
unexpected,4777.874,8,chosen
project,4770.2,8,chosen
bran,4755.305,8,chosen
vomit,4744.996,8,chosen
fin,4730.442,8,chosen
currant,4730.179,8,chosen
shrimp,4728.578,8,chosen
royal,4722.296,8,chosen
car,4674.12,8,chosen
grave,4660.017,8,chosen
row,4648.374,8,chosen
gravel,4645.141,8,chosen
roof,4629.299,8,chosen
kick,4604.296,8,chosen
material,4600.022,8,chosen
master,4599.452,8,chosen
flask,4579.525,8,chosen
broken,4579.201,8,chosen
craft,4550.013,8,chosen
sphere,4550.003,8,chosen
courtyard,4545.742,8,chosen
heap,4528.922,8,chosen
boil,4528.063,8,chosen
deed,4519.165,8,chosen
mast,4517.906,8,chosen
barley,4517.644,8,chosen
guide,4517.347,8,chosen
marriage,4489.155,8,chosen
collect,4477.075,8,chosen
cage,4472.112,8,chosen
lemon,4455.002,8,chosen
frost,4434.382,8,chosen
market,4417.538,8,chosen
agastache,4400,8,chosen
rugosa,4400,8,chosen
elliptical,4397.795,8,chosen
chance,4381.606,8,chosen
charm,4379.239,8,chosen
rub,4363.7,8,chosen
disease,4362.585,8,chosen
matter,4350.018,8,chosen
algae,4350,8,chosen
smilax,4350,9,chosen
waist,4346.898,9,chosen
anchor,4333.383,9,chosen
gem,4332.282,9,chosen
bark,4321.236,9,chosen
remove,4311.483,9,chosen
sunflower,4300.162,9,chosen
fungus,4300.003,9,chosen
made,4284.008,9,chosen
yew,4273.072,9,chosen
doctor,4270.491,9,chosen
blow,4270.012,9,chosen
drill,4259.27,9,chosen
tie,4259.018,9,chosen
sing,4253.267,9,chosen
terrace,4253.227,9,chosen
card,4250.255,9,chosen
eagle,4237.548,9,chosen
quail,4235.485,9,chosen
trust,4214.433,9,chosen
creature,4200.021,9,chosen
claim,4192.414,9,chosen
core,4189.027,9,chosen
sudden,4153.083,9,chosen
figure,4150.024,9,chosen
slide,4131.424,9,chosen
super,4128,9,chosen
wound,4112.062,9,chosen
plateau,4108.957,9,chosen
dance,4096.312,9,chosen
clay,4081.783,9,chosen
ram,4058.837,9,chosen
dirty,4051.165,9,chosen
spherical,4049.797,9,chosen
greed,4048.045,9,chosen
palace,4044.842,9,chosen
born,4043,9,chosen
jebel,4036.032,9,chosen
thyme,4021.179,9,chosen
lance,4011.214,9,chosen
indicate,4009.159,9,chosen
ravine,4002.949,9,chosen
appoint,4000,9,chosen
pleat,4000,9,chosen
ease,3987.542,9,chosen
secret,3974.558,9,chosen
board,3973.038,9,chosen
bride,3969.019,9,chosen
varnish,3957.107,9,chosen
chamber,3953.008,9,chosen
tassel,3950,9,chosen
tuna,3940.774,9,chosen
pack,3917.008,9,chosen
basket,3907.271,9,chosen
elshotria,3900,9,chosen
paltrini,3900,9,chosen
provide,3891.599,9,chosen
dusk,3881.774,9,chosen
transparent,3855.704,9,chosen
music,3852.918,9,chosen
agriculture,3845.544,9,chosen
dirt,3845.266,9,chosen
tight,3835.259,9,chosen
circular,3824.872,9,chosen
flood,3817.486,9,chosen
id,3808.805,9,chosen
gum,3807.262,9,chosen
fence,3800.054,9,chosen
delay,3785.294,9,chosen
charcoal,3779.178,9,chosen
shark,3768.566,9,chosen
starling,3762.759,9,chosen
mineral,3754.154,9,chosen
chaste,3751,9,chosen
banana,3740.558,9,chosen
scoop,3717.219,9,chosen
somewhat,3716,9,chosen
laughter,3713.013,9,chosen
edible,3711.56,9,chosen
deceptive,3692.089,9,chosen
advance,3683.038,9,chosen
normal,3678.191,9,chosen
hedge,3676.426,9,chosen
sail,3659.375,9,chosen
shoe,3656.165,9,chosen
kernel,3650.7,9,chosen
list,3650.077,9,chosen
gorge,3650,9,chosen
metropolis,3647.247,9,chosen
thresh,3642,9,chosen
sweep,3641.339,9,chosen
swift,3641.139,9,chosen
international,3636.633,9,chosen
wife,3631.628,9,chosen
check,3630.26,9,chosen
angel,3602.853,9,chosen
film,3600,9,chosen
patch,3596.047,9,chosen
record,3583.105,9,chosen
trick,3572.636,9,chosen
bin,3567.564,10,chosen
worm,3565.521,10,chosen
pop,3565.243,10,chosen
rural,3559.306,10,chosen
adhere,3550,10,chosen
trigon,3550,10,chosen
underpants,3549.546,10,chosen
sorrel,3546.644,10,chosen
crack,3537.441,10,chosen
flea,3530.98,10,chosen
pope,3528.525,10,chosen
mood,3521.341,10,chosen
pierce,3506.135,10,chosen
praiseworthy,3483.115,10,chosen
cicada,3482.609,10,chosen
lion,3465.765,10,chosen
pan,3461.499,10,chosen
stroke,3461.461,10,chosen
boa,3452.449,10,chosen
notch,3450.651,10,chosen
stem,3450.004,10,chosen
defend,3450.001,10,chosen
fact,3437.056,10,chosen
neighbor,3421.118,10,chosen
window,3419.823,10,chosen
task,3418.037,10,chosen
tongs,3415.412,10,chosen
favor,3404.062,10,chosen
bite,3402.246,10,chosen
difficult,3400.852,10,chosen
tale,3400.021,10,chosen
tip,3400.004,10,chosen
price,3398.746,10,chosen
complete,3397.579,10,chosen
eyelash,3392.241,10,chosen
fog,3390.498,10,chosen
van,3389.682,10,chosen
sad,3374.357,10,chosen
dig,3356.092,10,chosen
novel,3354.351,10,chosen
frame,3354.315,10,chosen
shut,3351.288,10,chosen
cable,3340.339,10,chosen
congratulate,3331,10,chosen
health,3315.738,10,chosen
crystal,3305.958,10,chosen
ask,3300.021,10,chosen
crisp,3300.002,10,chosen
eggplant,3300.001,10,chosen
persimmon,3300,10,chosen
hairpin,3300,10,chosen
tesselate,3294,10,chosen
kiss,3291.493,10,chosen
tunnel,3289.237,10,chosen
happen,3288.021,10,chosen
scurfy,3285.734,10,chosen
faith,3274.088,10,chosen
plow,3266.066,10,chosen
watch,3265.688,10,chosen
sandalwood,3250.561,10,chosen
charge,3250.019,10,chosen
achieve,3250.005,10,chosen
purge,3232.032,10,chosen
boot,3215.915,10,chosen
pronoun,3212.012,10,chosen
pit,3210.571,10,chosen
bier,3206.203,10,chosen
mare,3200.197,10,chosen
blister,3200.008,10,chosen
wad,3200,10,chosen
nemerosa,3200,10,chosen
excrement,3192.041,10,chosen
caterpillar,3188.436,10,chosen
learn,3188.306,10,chosen
swan,3176.141,10,chosen
orach,3170.469,10,chosen
job,3169.196,10,chosen
glaze,3164.963,10,chosen
penetrate,3150,10,chosen
pink,3147.398,10,chosen
slip,3143.19,10,chosen
sit,3140.006,10,chosen
last,3134.38,10,chosen
saddle,3131.055,10,chosen
fur,3127.03,10,chosen
camel,3123.43,10,chosen
advice,3122.119,10,chosen
flour,3121.496,10,chosen
alder,3112.412,10,chosen
attack,3100.264,10,chosen
whirlwind,3100,10,chosen
kudzu,3100,10,chosen
blame,3094.908,10,chosen
shed,3093.447,10,chosen
play,3073.115,10,chosen
peony,3064.514,10,chosen
corral,3058.055,10,chosen
plume,3050.001,10,chosen
sinewy,3049.448,10,chosen
deal,3042.031,10,chosen
design,3039.455,11,chosen
stretch,3027.007,11,chosen
share,3015.071,11,chosen
supply,3000.021,11,chosen
gentle,3000.017,11,chosen
cylindrical,2994.292,11,chosen
dawn,2990.199,11,chosen
ascend,2977.076,11,chosen
sell,2972.233,11,chosen
mr,2965.963,11,chosen
weevil,2962.76,11,chosen
catnip,2960.91,11,chosen
desert,2943.98,11,chosen
khan,2943.941,11,chosen
labor,2940.033,11,chosen
meet,2939.66,11,chosen
interest,2934.148,11,chosen
catch,2928.032,11,chosen
barbel,2925.624,11,chosen
twig,2924.114,11,chosen
win,2924.012,11,chosen
lateral,2912.662,11,chosen
hue,2910.017,11,chosen
strap,2908.164,11,chosen
teach,2907.629,11,chosen
she,2905,11,chosen
prostrated,2901.5,11,chosen
meat,2900.027,11,chosen
answer,2900.017,11,chosen
treat,2899.05,11,chosen
motel,2894.892,11,chosen
reach,2892.13,11,chosen
mayonnaise,2887.885,11,chosen
thief,2873.831,11,chosen
promise,2867.135,11,chosen
coat,2865.35,11,chosen
enantiomeric,2864.664,11,chosen
laurel,2845.516,11,chosen
fun,2840.812,11,chosen
pleasant,2835.271,11,chosen
mend,2834.123,11,chosen
cough,2833.282,11,chosen
ivy,2831.024,11,chosen
wharf,2828.826,11,chosen
can,2827.369,11,chosen
bomb,2827.23,11,chosen
scissors,2825.225,11,chosen
lock,2824.818,11,chosen
wasp,2823.795,11,chosen
monastery,2822.57,11,chosen
swallow,2814.002,11,chosen
rent,2811.015,11,chosen
jump,2804.171,11,chosen
bee,2801.166,11,chosen
carbon,2800.069,11,chosen
spiral,2796.898,11,chosen
nodding,2787.286,11,chosen
mushroom,2778.627,11,chosen
bless,2771.307,11,chosen
camp,2763.152,11,chosen
blanching,2752.701,11,chosen
clever,2750.358,11,chosen
raise,2750.027,11,chosen
unhusked,2750,11,chosen
nemorosa,2750,11,chosen
may,2740.722,11,chosen
radiated,2739.938,11,chosen
perfumed,2739.338,11,chosen
spoke,2736.041,11,chosen
lath,2730.038,11,chosen
shovel,2729.628,11,chosen
veil,2708.966,11,chosen
party,2703.701,11,chosen
foliage,2703.152,11,chosen
fortified,2701.35,11,chosen
darnels,2701.001,11,chosen
knee,2700.136,11,chosen
guilt,2691.799,11,chosen
mattock,2688.033,11,chosen
syrup,2685.109,11,chosen
whale,2683.631,11,chosen
pilgrim,2672.67,11,chosen
uncle,2672.669,11,chosen
polish,2661.5,11,chosen
wire,2658.136,11,chosen
yoke,2656.348,11,chosen
swim,2656.072,11,chosen
harmony,2650.291,11,chosen
fiber,2650.005,11,chosen
sway,2650.003,11,chosen
maintain,2650.001,11,chosen
cabbage,2647.199,11,chosen
continent,2645.098,11,chosen
sheath,2643.242,11,chosen
drive,2636.193,11,chosen
tear,2634.103,11,chosen
limb,2626.532,11,chosen
twenty,2617.967,11,chosen
organ,2617.219,11,chosen
silt,2603.601,11,chosen
donkey,2631.786,12,chosen
lot,2603.586,12,chosen
ill,2600.02,12,chosen
worry,2600.019,12,chosen
error,2600.004,12,chosen
farmland,2600,12,chosen
obscene,2600,12,chosen
surround,2598.406,12,chosen
flax,2592.091,12,chosen
burnt,2591.489,12,chosen
juice,2589.346,12,chosen
flame,2588.479,12,chosen
polite,2579.44,12,chosen
solid,2579.343,12,chosen
constant,2569.122,12,chosen
pilot,2567.002,12,chosen
amber,2562.204,12,chosen
soup,2559.844,12,chosen
ray,2550.74,12,chosen
overflowing,2550.193,12,chosen
replace,2550.005,12,chosen
pity,2550.001,12,chosen
cane,2550,12,chosen
company,2541.018,12,chosen
ox,2536.705,12,chosen
bus,2535.483,12,chosen
embankment,2535.224,12,chosen
firm,2532.804,12,chosen
sown,2526.642,12,chosen
numb,2512.064,12,chosen
resemble,2505.186,12,chosen
lichee,2500,12,chosen
macacus,2500,12,chosen
buy,2492.054,12,chosen
seat,2486.626,12,chosen
somersault,2484.482,12,chosen
myrtle,2482.762,12,chosen
awl,2478.928,12,chosen
arch,2474.583,12,chosen
crest,2459.959,12,chosen
phone,2450.313,12,chosen
pick,2450.011,12,chosen
chop,2450.003,12,chosen
pavilion,2450,12,chosen
forward,2443.138,12,chosen
breast,2441.851,12,chosen
aid,2434.147,12,chosen
beech,2433.814,12,chosen
raft,2432.533,12,chosen
jaw,2431.935,12,chosen
brain,2429.096,12,chosen
hump,2418.518,12,chosen
pale,2418.113,12,chosen
spin,2416.686,12,chosen
tamarisk,2416.415,12,chosen
peat,2415.042,12,chosen
moth,2405.655,12,chosen
coriander,2403.053,12,chosen
effort,2400.212,12,chosen
rhubarb,2395.395,12,chosen
upright,2395.195,12,chosen
dress,2393.052,12,chosen
glad,2389.087,12,chosen
descend,2388.708,12,chosen
nearby,2383.832,12,chosen
element,2383.239,12,chosen
flag,2372.4,12,chosen
profit,2371.425,12,chosen
obey,2371.004,12,chosen
anus,2365.615,12,chosen
stump,2363.213,12,chosen
summit,2360.343,12,chosen
scar,2356.556,12,chosen
damage,2350.042,12,chosen
arrange,2350.019,12,chosen
compound,2350.007,12,chosen
conduct,2350.005,12,chosen
mutual,2350.003,12,chosen
crouch,2350,12,chosen
plot,2345.099,12,chosen
leopard,2344.932,12,chosen
pressure,2337.852,12,chosen
sieve,2336.427,12,chosen
executioner,2336.135,12,chosen
knock,2325.898,12,chosen
fix,2325.06,12,chosen
soap,2322.377,12,chosen
partner,2319.134,12,chosen
cemetery,2317.186,12,chosen
dock,2316.707,12,chosen
trough,2312.579,12,chosen
loud,2307.049,12,chosen
special,2304.618,12,chosen
command,2304.059,12,chosen
tangerine,2300,12,chosen
intoxicated,2300,12,chosen
dice,2300,12,chosen
trouble,2297.112,12,chosen
blind,2296.944,12,chosen
pen,2290.234,12,chosen
monument,2289.271,13,chosen
table,2288.146,13,chosen
contract,2285.01,13,chosen
resent,2284.083,13,chosen
sulfur,2283.598,13,chosen
aristocrat,2278.276,13,chosen
inherit,2277.583,13,chosen
crust,2275.126,13,chosen
pigeon,2272,13,chosen
vagina,2264.012,13,chosen
cost,2261.063,13,chosen
logical,2260.01,13,chosen
distinct,2258.558,13,chosen
sever,2250,13,chosen
armory,2250,13,chosen
rabona,2239.237,13,chosen
rack,2238.039,13,chosen
swing,2236.042,13,chosen
buttocks,2229.878,13,chosen
fame,2221.465,13,chosen
toad,2214.613,13,chosen
pendant,2205.053,13,chosen
ban,2203.803,13,chosen
murder,2201.358,13,chosen
limp,2200.001,13,chosen
scrambled,2200,13,chosen
amomum,2200,13,chosen
bread,2197.261,13,chosen
grace,2192.244,13,chosen
progress,2191.395,13,chosen
bore,2186.154,13,chosen
stain,2186.093,13,chosen
penis,2185.986,13,chosen
midwife,2185.183,13,chosen
swarm,2183.183,13,chosen
bulge,2173.427,13,chosen
shout,2173.164,13,chosen
thank,2172.525,13,chosen
vast,2171.021,13,chosen
shave,2155,13,chosen
plough,2152.051,13,chosen
practice,2150.014,13,chosen
button,2150.005,13,chosen
propose,2150.002,13,chosen
rely,2150.002,13,chosen
partition,2150,13,chosen
protrude,2150,13,chosen
court,2149.502,13,chosen
enclosure,2141.422,13,chosen
crime,2140.151,13,chosen
extreme,2128.166,13,chosen
crenulate,2127.376,13,chosen
shelter,2124.834,13,chosen
unequal,2116.815,13,chosen
fist,2116.217,13,chosen
mullein,2112.711,13,chosen
carp,2108.258,13,chosen
nor,2101.328,13,chosen
extensive,2100,13,chosen
kilometre,2098.096,13,chosen
fountain,2093.091,13,chosen
sew,2087.329,13,chosen
candle,2085.237,13,chosen
bury,2082.342,13,chosen
forelock,2077.177,13,chosen
toll,2074.072,13,chosen
suffer,2071.229,13,chosen
dull,2060.419,13,chosen
language,2059.87,13,chosen
virgin,2056.851,13,chosen
gift,2056.349,13,chosen
serve,2053.03,13,chosen
try,2050.013,13,chosen
pile,2050.007,13,chosen
shard,2050.001,13,chosen
letter,2048.064,13,chosen
lease,2048.046,13,chosen
broth,2046.044,13,chosen
goddess,2044.843,13,chosen
snub,2039,13,chosen
gather,2030.025,13,chosen
bat,2029.332,13,chosen
hickory,2023.021,13,chosen
pad,2020.01,13,chosen
delicate,2018.007,13,chosen
gun,2016.132,13,chosen
