tune,species,latin,literal
stonsex ciklif,2,"Lithocarpus crassifolius","stone + produce | thick + leaf"
stonsex ciklif,2,"Lithocarpus pachyphyllus","stone + produce | thick + leaf"
daitvain loqfrut,2,"Hemsleya dolichocarpa","bitter + vine | long + fruit"
daitvain loqfrut,2,"Hemsleya macrocarpa","bitter + vine | long + fruit"
Corglif raflif,2,"Begonia asperifolia","crooked + leaf | rough + leaf"
Corglif raflif,2,"Begonia scabrifolia","crooked + leaf | rough + leaf"
Corglif redlif,2,"Begonia guishanensis","crooked + leaf | red + leaf"
Corglif redlif,2,"Begonia erythrofolia","crooked + leaf | red + leaf"
Corglif lif,2,"Begonia limprichtii","crooked + leaf | houttuynia cordata + leaf"
Corglif lif,2,"Begonia setifolia","crooked + leaf | Sezze + leaf"
Corglif red,2,"Begonia rubinea","crooked + leaf | red + pertaining"
Corglif red,2,"Begonia ruboides","crooked + leaf | red"
hisvain yiswiq,2,"Celastrus hypoleucoides","snake + vine | under + white"
hisvain yiswiq,2,"Celastrus hypoleucus","snake + vine | under + white"
hisvain sid,2,"Celastrus monospermoides","snake + vine | mono + seed"
hisvain sid,2,"Celastrus monospermus","snake + vine | mono + seed"
swestok bauj,2,"Euonymus aculeatus","spindle tree | prickly"
swestok bauj,2,"Euonymus echinatus","spindle tree | prickly"
swestok txev,2,"Euonymus nanoides","spindle tree | dwarf"
swestok txev,2,"Euonymus nanus","spindle tree | dwarf"
swestok xaisk,2,"Euonymus verrucosoides","spindle tree | warty"
swestok xaisk,2,"Euonymus verrucosus","spindle tree | warty"
plamfaj lif,2,"Parnassia foliosa","plum + flower | leafy"
plamfaj lif,2,"Parnassia rhombipetala","plum + flower | Alpha Reticuli + foil"
plamfaj loqlif,2,"Parnassia longipetala","plum + flower | long + foil"
plamfaj loqlif,2,"Parnassia longipetaloides","plum + flower | long + foil"
flebwocsex balfrut,2,"Elaeocarpus hayatae","olive oil + produce | ball + fruit"
flebwocsex balfrut,2,"Elaeocarpus sphaerocarpus","olive oil + produce | ball + fruit"
tik ciklif,2,"Croton crassifolius","tick | thick + leaf"
tik ciklif,2,"Croton merrillianus","tick | thick + leaf"
nubmidj sweC,2,"Euphorbia cyparissias","burn + milk | spurge"
nubmidj sweC,2,"Euphorbia lathyris","burn + milk | spurge"
nubmidj smolrlif,2,"Euphorbia heyneana","burn + milk | small + leaf"
nubmidj smolrlif,2,"Euphorbia makinoi","burn + milk | small + leaf"
nubmidj mej,2,"Euphorbia hirta","burn + milk | hairy"
nubmidj mej,2,"Euphorbia hispida","burn + milk | hairy"
nubmidj lif,2,"Euphorbia hyssopifolia","burn + milk | Hyssus + Ops + leaf"
nubmidj lif,2,"Euphorbia neriifolia","burn + milk | Celtici + leaf"
pungomvain kain,2,"Aspidopterys cavaleriei","shield + wing + vine | hollow + Aléria"
pungomvain kain,2,"Aspidopterys concava","shield + wing + vine | hollow"
narblif wiq,2,"Populus alba","tremble + leaf | white"
narblif wiq,2,"Populus candicans","tremble + leaf | whiten"
woigd var,2,"Salix argyracea","willow | silver"
woigd var,2,"Salix argyrophegga","willow | silver + Thermodon"
woigd noclCauv,2,"Salix bistyla","willow | two + stake"
woigd noclCauv,2,"Salix divergentistyla","willow | two + Gelves + stake"
woigd bag,2,"Salix caesia","willow | blue"
woigd bag,2,"Salix metaglauca","willow | after + bluish"
woigd mantlav,2,"Salix driophila","willow | mountain + loving"
woigd mantlav,2,"Salix oreophila","willow | mountain + loving"
woigd loqstok,2,"Salix dunnii","willow | long + stalk"
woigd loqstok,2,"Salix alexeii","willow | long + stalk"
woigd woq,2,"Salix glauca","willow | shining"
woigd woq,2,"Salix phaidima","willow | shining"
woigd kem,2,"Salix myrtillacea","willow | Skyros + there + named after"
woigd kem,2,"Salix myrtilloides","willow | Skyros + there"
woigd suzb,2,"Salix resecta","willow | curtailed"
woigd suzb,2,"Salix resectoides","willow | curtailed"
woigd hardlif,2,"Salix sclerophylla","willow | hard + leaf"
woigd hardlif,2,"Salix sclerophylloides","willow | hard + leaf"
xansnek,2,"Sonneratia caseolaris","sea + mulberry"
xansnek,2,"Sonneratia × gulngai","like + sea + mulberry"
raxkaul naslif,2,"Syzygium buxifolioideum","rush + peach | box + leaf + resembling"
raxkaul naslif,2,"Syzygium buxifolium","rush + peach | box + leaf"
raxkaul lesk,2,"Syzygium cinereum","rush + peach | ashen"
raxkaul lesk,2,"Syzygium tephrodes","rush + peach | ashes"
raxkaul bulrlif,2,"Syzygium melanophyllum","rush + peach | black + leaf"
raxkaul bulrlif,2,"Syzygium thumra","rush + peach | black + leaf"
frezrinjibzplant xort,2,"Fordiophyton brevicaule","forth + flee + plant | short"
frezrinjibzplant xort,2,"Fordiophyton breviscapum","forth + flee + plant | short + stem"
mantsmoljan loqlif,2,"Glycosmis longifolia","mountain + small + orange | long + leaf"
mantsmoljan loqlif,2,"Glycosmis longipetala","mountain + small + orange | long + foil"
zoix modland,2,"Paradombeya sinensis","beside | middle + land"
zoix modland,2,"Parashorea chinensis","beside | middle + land"
sidzutx xeClif,2,"Sida cordifolia","pomegranate | heart + leaf"
sidzutx xeClif,2,"Sida cordifolioides","pomegranate | heart + leaf"
nam modland,2,"Aquilaria sinensis","name | middle + land"
nam modland,2,"Trapella sinensis","Augusta + Roman name | middle + land"
puz wotcodjbizbcodjbizbtok,2,"Capparis chingiana","caper | water + betel-nut + betel-nut tree"
puz wotcodjbizbcodjbizbtok,2,"Capparis masakai","caper | water + betel-nut + betel-nut tree"
haft kaitx,2,"Brassica napus","cabbage | turnip"
haft kaitx,2,"Brassica rapa","cabbage | turnip"
liqkclkaitx caif,2,"Solms-laubachia lanata","thicket + turnip | wooly"
liqkclkaitx caif,2,"Solms-laubachia lanuginosa","thicket + turnip | woolly"
pormtok slodzov,2,"Fagopyrum gracilipes","beech tree | slender-footed"
pormtok slodzov,2,"Fagopyrum leptopodum","beech tree | slender + footlike"
slos modland,2,"Persicaria sinica","smartweed | middle + land"
slos modland,2,"Persicaria chinensis","smartweed | middle + land"
slos toq,2,"Persicaria opaca","smartweed | shaded"
slos toq,2,"Persicaria umbrosa","smartweed | shady"
fluC txev,2,"Rheum nanum","rhubarb | dwarf"
fluC txev,2,"Rheum pumilum","rhubarb | dwarf"
dandlif swig,2,"Rumex acetosa","sour + leaf | sorrel"
dandlif swig,2,"Rumex acetosella","sour + leaf | sorrel"
dazfaj lif,2,"Silene foliosa","sticky + flower | leafy"
dazfaj lif,2,"Silene trachyphylla","sticky + flower | Trachis + leaf"
dazfaj cet,2,"Silene pseudofortunei","sticky + flower | false + Fortune"
dazfaj cet,2,"Silene pseudotenuis","sticky + flower | false"
flet pon,2,"Atriplex patens","orach | open"
flet pon,2,"Atriplex patula","orach | open"
creqbal saiblif,2,"Hydrangea lingii","embroider + ball | narrow + leaf"
creqbal saiblif,2,"Hydrangea stenophylla","embroider + ball | narrow + leaf"
creqbal loqlif,2,"Hydrangea longifolia","embroider + ball | long + leaf"
creqbal loqlif,2,"Hydrangea macrophylla","embroider + ball | long + leaf"
nam nolp,2,"Philadelphus tomentosus","name | bristly"
nam nolp,2,"Hippolytia tomentosa","name | bristly"
tunjib klabnal,2,"Impatiens clavigera","averse | club-bearing"
tunjib klabnal,2,"Impatiens clavigeroides","averse | club-bearing"
tunjib luCjiknal,2,"Impatiens cymbifera","averse | cup + to bear"
tunjib luCjiknal,2,"Impatiens poculifer","averse | cup + to bear"
tunjib slazjiknal,2,"Impatiens drepanophora","averse | sickle + to bear"
tunjib slazjiknal,2,"Impatiens falcifera","averse | sickle + to bear"
tunjib bup,2,"Impatiens imbecilla","averse | weak"
tunjib bup,2,"Impatiens infirma","averse | weak"
tunjib lifluC,2,"Impatiens lancisepala","averse | Lancia + sepal"
tunjib lifluC,2,"Impatiens plicatisepala","averse | Pleiad + Catius + sepal"
tunjib tuclif,2,"Impatiens odontopetala","averse | tooth + leaf"
tunjib tuclif,2,"Impatiens odontophylla","averse | tooth + leaf"
tunjib pin,2,"Impatiens porphyrea","averse | purple + named after"
tunjib pin,2,"Impatiens purpurea","averse | purple"
puzfrut red,2,"Diospyros oldhamii","cap + fruit | red"
puzfrut red,2,"Diospyros rubra","cap + fruit | red"
puzfrut lif,2,"Diospyros rhombifolia","cap + fruit | Alpha Reticuli + leaf"
puzfrut lif,2,"Diospyros siderophylla","cap + fruit | Siderus + leaf"
graundlof smol,2,"Androsace gmelinii","ground + star | small"
graundlof smol,2,"Androsace minor","ground + star | small"
kwamfaj mejzov,2,"Lysimachia capillipes","pearl + flower | hair + foot"
kwamfaj mejzov,2,"Lysimachia trichopoda","pearl + flower | hair + foot"
kwamfaj faj,2,"Lysimachia cauliflora","pearl + flower | stem + flower"
kwamfaj faj,2,"Lysimachia scapiflora","pearl + flower | stem + flower"
kwamfaj gomfaj,2,"Lysimachia pterantha","pearl + flower | wing + flower"
kwamfaj gomfaj,2,"Lysimachia pteranthoides","pearl + flower | wing + flower"
gloqtokmant lin,2,"Maesa macilenta","pear tree + stem + mountain | lean"
gloqtokmant lin,2,"Maesa macilentoides","pear tree + stem + mountain | lean"
spriqfaj bultuc,2,"Primula atrodentata","spring + flower | black + toothed"
spriqfaj bultuc,2,"Primula melanodonta","spring + flower | black + tooth"
spriqfaj lif,2,"Primula bracteosa","spring + flower | foil"
spriqfaj lif,2,"Primula rubifolia","spring + flower | Rubi + leaf"
spriqfaj cuz,2,"Primula chionantha","spring + flower | snow"
spriqfaj cuz,2,"Primula chionata","spring + flower | snow"
spriqfaj kalk,2,"Primula crassa","spring + flower | dense"
spriqfaj kalk,2,"Primula densa","spring + flower | dense"
spriqfaj loq,2,"Primula elongata","spring + flower | prolonged"
spriqfaj loq,2,"Primula longiscapa","spring + flower | long + stem"
spriqfaj red,2,"Primula rubicunda","spring + flower | red"
spriqfaj red,2,"Primula russeola","spring + flower | red + Olaf"
spriqfaj rak,2,"Primula rupestris","spring + flower | rock"
spriqfaj rak,2,"Primula scopulorum","spring + flower | rocky"
taipfaj yul,2,"Camellia flavida","tea + flower | yellow"
taipfaj yul,2,"Camellia luteocalpandria","tea + flower | yellow + Gibraltar + Simois + named after"
taipfaj smolfaj,2,"Camellia micrantha","tea + flower | small + flower"
taipfaj smolfaj,2,"Camellia hsinpeiensis","tea + flower | small + flower"
taipfaj dotlif,2,"Camellia ptilophylla","tea + flower | down + leaf"
taipfaj dotlif,2,"Camellia pubipetala","tea + flower | downy + foil"
mantpotx mej,2,"Symplocos groffii","mountain + alum | hair"
mantpotx mej,2,"Symplocos pilosa","mountain + alum | hairy"
mantpotx lif,2,"Symplocos lancifolia","mountain + alum | Lancia + leaf"
mantpotx lif,2,"Symplocos theophrastifolia","mountain + alum | Theophrastus + leaf"
woixfrut red,2,"Actinidia rubricaulis","fur + fruit | red + stem"
woixfrut red,2,"Actinidia rufa","fur + fruit | red"
lavlazgxez wiqfaj,2,"Agapetes mannii","love + clansman | white + flower"
lavlazgxez wiqfaj,2,"Agapetes huangiana","love + clansman | white (silk) + flowery"
skebtok fajmosk,2,"Rhododendron anthopogon","rose + tree | flower + beard"
skebtok fajmosk,2,"Rhododendron anthopogonoides","rose + tree | flower + beard + resembling"
skebtok tok,2,"Rhododendron arboreum","rose + tree | tree"
skebtok tok,2,"Rhododendron dendrocharis","rose + tree | tree + Ochus"
skebtok nuC,2,"Rhododendron auriculatum","rose + tree | eared"
skebtok nuC,2,"Rhododendron auritum","rose + tree | eared"
widwiqksgloqtokfudj,2,"Rhododendron beesianum","wide + bell + pear tree + cuckoo"
widwiqksgloqtokfudj,2,"Rhododendron wightii","wide + bell + pear tree + cuckoo"
skebtok wug,2,"Rhododendron callimorphum","rose + tree | beautiful + form"
skebtok wug,2,"Rhododendron pulchroides","rose + tree | beautiful"
skebtok vosp,2,"Rhododendron concinnum","rose + tree | elegant"
skebtok vosp,2,"Rhododendron facetum","rose + tree | elegant"
skebtok mejcum,2,"Rhododendron dasycladoides","rose + tree | hair + shoot"
skebtok mejcum,2,"Rhododendron trichocladum","rose + tree | hair + shoot"
skebtok woq,2,"Rhododendron fulgens","rose + tree | shining"
skebtok woq,2,"Rhododendron nitidulum","rose + tree | shining"
skebtok midj,2,"Rhododendron galactinum","rose + tree | milky"
skebtok midj,2,"Rhododendron lacteum","rose + tree | milky"
skebtok daz,2,"Rhododendron glischrum","rose + tree | sticky"
skebtok daz,2,"Rhododendron viscidum","rose + tree | sticky"
skebtok sloj,2,"Rhododendron nivale","rose + tree | snowy"
skebtok sloj,2,"Rhododendron niveum","rose + tree | snowy"
skebtok rak,2,"Rhododendron petrocharis","rose + tree | rock + Ochus"
skebtok rak,2,"Rhododendron scopulorum","rose + tree | rocky"
skebtok redmej,2,"Rhododendron rubropilosum","rose + tree | red + hairy"
skebtok redmej,2,"Rhododendron rufohirtum","rose + tree | reddish + hairy"
skebtok red,2,"Rhododendron rufescens","rose + tree | redden"
skebtok red,2,"Rhododendron rufum","rose + tree | red"
brov gon,2,"Vaccinium bullatum","iris | bubbled"
brov gon,2,"Vaccinium bulleyanum","iris | bubble + Eve"
fajriq xanlut,2,"Argostemma hainanicum","Argo + garland | sea + south"
fajriq xanlut,2,"Gomphostemma hainanense","Gomphi + garland | sea + south"
caglyaum demfaj,2,"Galium trifloriforme","bedstraw | three + flower"
caglyaum demfaj,2,"Galium triflorum","bedstraw | three + flower"
stiqkfrut lif,2,"Morinda citrifolia","stink + fruit | cis + leaf"
stiqkfrut lif,2,"Morinda persicifolia","stink + fruit | Persian + leaf"
xluzlifgumfaj lif,2,"Mussaenda frondosa","jade + leaf + gold + flower | leafy"
xluzlifgumfaj lif,2,"Mussaenda lancipetala","jade + leaf + gold + flower | Lancia + foil"
xluzlifgumfaj loqlif,2,"Mussaenda longipetala","jade + leaf + gold + flower | long + foil"
xluzlifgumfaj loqlif,2,"Mussaenda macrophylla","jade + leaf + gold + flower | long + leaf"
hisgoC mej,2,"Ophiorrhiza hispida","snake + root | hairy"
hisgoC mej,2,"Ophiorrhiza hispidula","snake + root | hairy"
hisgoC txev,2,"Ophiorrhiza nandanica","snake + root | dwarf + Dan"
hisgoC txev,2,"Ophiorrhiza pumila","snake + root | dwarf"
nul gom,2,"Rubia alata","madder | winged"
nul gom,2,"Rubia pterygocaulis","madder | wing + stem"
hukvain pantlif,2,"Uncaria rhynchophylla","hook + vine | snout + leaf"
hukvain pantlif,2,"Uncaria rhynchophylloides","hook + vine | snout + leaf + resembling"
daitgoC wug,2,"Gentiana bella","bitter + root | beautiful"
daitgoC wug,2,"Gentiana formosa","bitter + root | beautiful"
daitgoC lif,2,"Gentiana hexaphylla","bitter + root | leaf"
daitgoC lif,2,"Gentiana samolifolia","bitter + root | unknown plant + leaf"
daitgoC tubfaj,2,"Gentiana siphonantha","bitter + root | tube + flower"
daitgoC tubfaj,2,"Gentiana tubiflora","bitter + root | tube + flower"
daitgoC lof,2,"Gentiana stellata","bitter + root | starry"
daitgoC lof,2,"Gentiana stellulata","bitter + root | star + form"
skentuckesk pon,2,"Swertia patens","roebuck + tooth + vegetable | open"
skentuckesk pon,2,"Swertia patula","roebuck + tooth + vegetable | open"
demgomsid xeClif,2,"Tripterospermum cordifolioides","three + wing + seed | heart + leaf"
demgomsid xeClif,2,"Tripterospermum cordifolium","three + wing + seed | heart + leaf"
tximgruqfaj loqlif,2,"Ceropegia dolichophylla","condole + lantern + flower | long + leaf"
tximgruqfaj loqlif,2,"Ceropegia longifolia","condole + lantern + flower | long + leaf"
baltwez mej,2,"Hoya dasyantha","ball + orchid | hairy"
baltwez mej,2,"Hoya villosa","ball + orchid | hairy"
hardzavCol pig,2,"Tylophora hui","callused + carrier | pig"
hardzavCol pig,2,"Tylophora sui","callused + carrier | pig"
fampsbeqkc swusdojgic,2,"Lysionotus sulphureoides","hang + trumpet | sulfur compounds + action"
fampsbeqkc swusdojgic,2,"Lysionotus sulphureus","hang + trumpet | sulfur compounds + action"
klifwiqk kain,2,"Oreocharis cavaleriei","cliff + bell | hollow + Aléria"
klifwiqk kain,2,"Oreocharis concava","cliff + bell | hollow"
klifwiqk mej,2,"Oreocharis dasyantha","cliff + bell | hairy"
klifwiqk mej,2,"Oreocharis villosa","cliff + bell | hairy"
klifwiqk lif,2,"Oreocharis lancifolia","cliff + bell | Lancia + leaf"
klifwiqk lif,2,"Oreocharis rhombifolia","cliff + bell | Alpha Reticuli + leaf"
klifwiqk smol,2,"Oreocharis minor","cliff + bell | small"
klifwiqk smol,2,"Oreocharis parva","cliff + bell | small"
klifwiqk boqpikt,2,"Oreocharis sichuanensis","cliff + bell | four + river"
klifwiqk boqpikt,2,"Oreocharis sichuanica","cliff + bell | four + river"
stonwiqk mej,2,"Petrocodon hispidus","stone + bell | hairy"
stonwiqk mej,2,"Petrocodon villosus","stone + bell | hairy"
stonwiqk lif,2,"Petrocodon lancifolius","stone + bell | Lancia + leaf"
stonwiqk lif,2,"Petrocodon ionophyllus","stone + bell | Ion + leaf"
klifbeqkc smol,2,"Primulina minor","cliff + trumpet | small"
klifbeqkc smol,2,"Primulina speluncae","cliff + trumpet | small"
klifbeqkc saftlif,2,"Primulina mollifolia","cliff + trumpet | soft + leaf"
klifbeqkc saftlif,2,"Primulina weii","cliff + trumpet | soft + leaf"
klifbeqkc pin,2,"Primulina porphyrea","cliff + trumpet | purple + named after"
klifbeqkc pin,2,"Primulina purpurea","cliff + trumpet | purple"
riblif mix,2,"Plantago major","rib + leaf | large"
riblif mix,2,"Plantago maxima","rib + leaf | large"
baghaq caif,2,"Veronica lanosa","blue + eye | woolly"
baghaq caif,2,"Veronica lanuginosa","blue + eye | woolly"
zocvifksgecgras zufkfaj,2,"Ajuga campylantha","sinew + bone + grass | bent + flower"
zocvifksgecgras zufkfaj,2,"Ajuga campylanthoides","sinew + bone + grass | bent + flower"
pinjoin jecfaj,2,"Callicarpa oligantha","purple + bead | few + flower"
pinjoin jecfaj,2,"Callicarpa pauciflora","purple + bead | few + flower"
neb mej,2,"Isodon hispidus","entrance | hairy"
neb mej,2,"Isodon villosus","entrance | hairy"
neb loqlif,2,"Isodon macrophyllus","entrance | long + leaf"
neb loqlif,2,"Isodon walkeri","entrance | long + leaf"
rolc vantmej,2,"Nepeta kokamirica","catnip | silk + hair"
rolc vantmej,2,"Nepeta kokanica","catnip | silk + hair"
ruqCufnoik modland,2,"Salvia chinensis","sage | middle + land"
ruqCufnoik modland,2,"Salvia sinica","sage | middle + land"
smolzov hifspunlif,2,"Pedicularis cyathophylla","footlet | ladle + leaf"
smolzov hifspunlif,2,"Pedicularis cyathophylloides","footlet | ladle + leaf + resembling"
smolzov bup,2,"Pedicularis debilis","footlet | weak"
smolzov bup,2,"Pedicularis infirma","footlet | weak"
smolzov loqluC,2,"Pedicularis dolichocymba","footlet | long + cup"
smolzov loqluC,2,"Pedicularis longicalyx","footlet | long + cup"
smolzov saft,2,"Pedicularis elliotii","footlet | soft + stem"
smolzov saft,2,"Pedicularis mollis","footlet | soft"
smolzov piktlut,2,"Pedicularis henryi","footlet | river + south"
smolzov piktlut,2,"Pedicularis honanensis","footlet | river + south"
smolzov lok,2,"Pedicularis mayana","footlet | Maues + collection"
smolzov lok,2,"Pedicularis scullyana","footlet | Scylla + collection"
smolzov kaifksgoC,2,"Pedicularis prainiana","footlet | whip + root"
smolzov kaifksgoC,2,"Pedicularis khoiyangii","footlet | like + whip + root"
nocgom modland,2,"Dicliptera chinensis","two + Clio + wing | middle + land"
nocgom modland,2,"Dipteris chinensis","two-winged | middle + land"
woizlsaiqkvauk modland,2,"Strobilanthes chinensis","slave + wagtail + s | middle + land"
woizlsaiqkvauk modland,2,"Strobilanthes sinica","slave + wagtail + s | middle + land"
woizlsaiqkvauk bend,2,"Strobilanthes flexa","slave + wagtail + s | bend"
woizlsaiqkvauk bend,2,"Strobilanthes flexicaulis","slave + wagtail + s | bend + stem"
woizlsaiqkvauk loqfadj,2,"Strobilanthes longispica","slave + wagtail + s | long + spike"
woizlsaiqkvauk loqfadj,2,"Strobilanthes longispicatus","slave + wagtail + s | long + spiky"
nifksgun bul,2,"Ilex atrata","winter + green | black"
nifksgun bul,2,"Ilex ferruginea","winter + green | black"
nifksgun modland,2,"Ilex chinensis","winter + green | middle + land"
nifksgun modland,2,"Ilex sinica","winter + green | middle + land"
gren nolp,2,"Eleutherococcus setosus","Eleutherus + grain | bristle"
gren nolp,2,"Eleutherococcus setulosus","Eleutherus + grain | bristly"
vetjaC xanlut,2,"Heteropanax hainanensis","varied | sea + south"
vetjaC xanlut,2,"Heteropolygonatum hainanense","varied | sea + south"
daulrlif yiswiq,2,"Heptapleurum hypoleucum","umbrella + leaf | under + white"
daulrlif yiswiq,2,"Heptapleurum hypoleucoides","umbrella + leaf | under + white"
yask woq,2,"Angelica glauca","angelic | shining"
yask woq,2,"Angelica nitida","angelic | shining"
fajtxest wod,2,"Anthriscus sylvestris","flower + chest | wooded"
fajtxest wod,2,"Anthriscus nemorosa","flower + chest | wooded"
coskcaisk saibgom,2,"Heracleum stenopteroides","blister + weed | narrow + wing"
coskcaisk saibgom,2,"Heracleum stenopterum","blister + weed | narrow + wing"
lavnoiksgob mej,2,"Ligusticopsis capillacea","lovage + appearance | hairy"
lavnoiksgob mej,2,"Ligusticopsis hispida","lovage + appearance | hairy"
glandCol saiblif,2,"Adenophora gmelinii","gland + carrier | narrow + leaf"
glandCol saiblif,2,"Adenophora stenophylla","gland + carrier | narrow + leaf"
glandCol tronlif,2,"Adenophora liliifolia","gland + carrier | lily + leaf"
glandCol tronlif,2,"Adenophora liliifolioides","gland + carrier | lily + leaf + resembling"
wiqksgob xeClif,2,"Codonopsis cardiophylla","bell + appearance | heart + leaf"
wiqksgob xeClif,2,"Codonopsis cordifolioidea","bell + appearance | heart + leaf + resembling"
twoCkikwind gom,2,"Ainsliaea aptera","rabbit + child + wind | wingless"
twoCkikwind gom,2,"Ainsliaea apteroides","rabbit + child + wind | wingless"
wuzbag nestlif,2,"Anaphalis acutifolia","fragrant + blue | sharpness + leaf"
wuzbag nestlif,2,"Anaphalis oxyphylla","fragrant + blue | sharp + leaf"
xumvas woq,2,"Aster fulgidulus","celestial body | shining"
xumvas woq,2,"Aster nitidus","celestial body | shining"
rauxmiqkc hed,2,"Cirsium bolocephalum","plume + thistle | Corioli + head"
rauxmiqkc hed,2,"Cirsium monocephalum","plume + thistle | mono + head"
hedbendfaj faj,2,"Cremanthodium citriflorum","nod + flower | cis + flower"
hedbendfaj faj,2,"Cremanthodium helianthus","nod + flower | flower"
hedbendfaj Coimlif,2,"Cremanthodium forrestii","nod + flower | arrow + leaf"
hedbendfaj Coimlif,2,"Cremanthodium sagittifolium","nod + flower | arrow-leafed"
vintfaj tuc,2,"Ligularia dentata","tongue + flower | toothed"
vintfaj tuc,2,"Ligularia odontomanes","tongue + flower | tooth + Manes"
vintfaj swiglif,2,"Ligularia lapathifolia","tongue + flower | sorrel + leaf"
vintfaj swiglif,2,"Ligularia rumicifolia","tongue + flower | sorrel + leaf"
vintfaj loqlif,2,"Ligularia longifolia","tongue + flower | long + leaf"
vintfaj loqlif,2,"Ligularia macrophylla","tongue + flower | long + leaf"
zoix klaudlut,2,"Paraprenanthes yunnanensis","beside | cloud + south"
zoix klaudlut,2,"Parahellenia yunnanensis","beside + Greek | cloud + south"
sautlif lif,2,"Parasenecio delphiniifolius","crab + leaf | Dolphin + leaf"
sautlif lif,2,"Parasenecio lancifolius","crab + leaf | Lancia + leaf"
caifmiqkc gom,2,"Saussurea alata","wool + thistle | winged"
caifmiqkc gom,2,"Saussurea cauloptera","wool + thistle | stem + wing"
caifmiqkc zov,2,"Saussurea apus","wool + thistle | footless"
caifmiqkc zov,2,"Saussurea peduncularis","wool + thistle | foot + diminutive"
caifmiqkc wiq,2,"Saussurea cana","wool + thistle | white"
caifmiqkc wiq,2,"Saussurea gnaphalodes","wool + thistle | praenomen + white"
caifmiqkc plac,2,"Saussurea glandulosa","wool + thistle | kernellous"
caifmiqkc plac,2,"Saussurea glandulosissima","wool + thistle | kernellous + Vis + Himalaya"
caifmiqkc zezfrib,2,"Saussurea jiulongensis","wool + thistle | nine + dragon"
caifmiqkc zezfrib,2,"Saussurea pseudojiulongensis","wool + thistle | like + nine + dragon"
caifmiqkc loqlif,2,"Saussurea longifolia","wool + thistle | long + leaf"
caifmiqkc loqlif,2,"Saussurea oblongifolia","wool + thistle | elongated + leaf"
caifmiqkc txev,2,"Saussurea nana","wool + thistle | dwarf"
caifmiqkc txev,2,"Saussurea pumila","wool + thistle | dwarf"
caifmiqkc brulbledroq,2,"Saussurea pseudorockii","wool + thistle | like + manifest + scabbard"
caifmiqkc brulbledroq,2,"Saussurea rockii","wool + thistle | manifest + scabbard"
caifmiqkc klaudlut,2,"Saussurea pseudoyunnanensis","wool + thistle | like + cloud + south"
caifmiqkc klaudlut,2,"Saussurea yunnanensis","wool + thistle | cloud + south"
caifmiqkc baiqkhed,2,"Saussurea sobarocephala","wool + thistle | violent + head"
caifmiqkc baiqkhed,2,"Saussurea sobarocephaloides","wool + thistle | violent + head + resembling"
wiqhed cet,2,"Senecio pseudoarnica","white + head | false"
wiqhed cet,2,"Senecio pseudomairei","white + head | false + Maire"
moqlifhuzb gompfrut,2,"Sinosenecio phalacrocarpoides","round + leaf + daisy | bald + fruit + resembling"
moqlifhuzb gompfrut,2,"Sinosenecio phalacrocarpus","round + leaf + daisy | bald + fruit"
tuclif wiq,2,"Taraxacum album","tooth + leaf | white"
tuclif wiq,2,"Taraxacum candidatum","tooth + leaf | white"
tuclif yul,2,"Taraxacum florum","tooth + leaf | yellow"
tuclif yul,2,"Taraxacum luridum","tooth + leaf | yellow"
tuclif baglif,2,"Taraxacum glaucophylloides","tooth + leaf | bluish + leaf + resembling"
tuclif baglif,2,"Taraxacum glaucophyllum","tooth + leaf | bluish + leaf"
tuclif rog,2,"Taraxacum mitalii","tooth + leaf | east"
tuclif rog,2,"Taraxacum orientale","tooth + leaf | eastern"
Coimwod lif,2,"Viburnum buddleifolium","arrow + wood | Buddha + Leah + leaf"
Coimwod lif,2,"Viburnum lancifolium","arrow + wood | Lancia + leaf"
daisnifk bul,2,"Lonicera ferruginea","endure + winter | black"
daisnifk bul,2,"Lonicera nigra","endure + winter | black"
daisnifk loqfaj,2,"Lonicera longiflora","endure + winter | long + flower"
daisnifk loqfaj,2,"Lonicera macrantha","endure + winter | long + flower"
laqkmos xanlut,2,"Selaginella hainanensis","curl + moss | sea + south"
laqkmos xanlut,2,"Selaginella rolandi-principis","curl + moss | sea + south"
laqkmos budjlxoz,2,"Selaginella nipponica","curl + moss | crouch + earth"
laqkmos budjlxoz,2,"Selaginella pseudonipponica","curl + moss | like + crouch + earth"
xigdCorf brodlif,2,"Pteris esquirolii","fan + fern | broad + leaf"
xigdCorf brodlif,2,"Pteris subesquirolii","fan + fern | like + broad + leaf"
xigdCorf saiblif,2,"Pteris henryi","fan + fern | narrow + leaf"
xigdCorf saiblif,2,"Pteris stenophylla","fan + fern | narrow + leaf"
yithefCorf tend,2,"Microlepia tenera","scale + cover + fern | tender"
yithefCorf tend,2,"Microlepia tenella","scale + cover + fern | tender"
splinplantformlyobtweg pobnaf,2,"Asplenium normale","miltwaste + forms instrument nouns | right-angled"
splinplantformlyobtweg pobnaf,2,"Asplenium normaloides","miltwaste + forms instrument nouns | right-angled"
splinplantformlyobtweg bighaiz,2,"Asplenium neolaserpitiifolium","miltwaste + forms instrument nouns | big + feather"
splinplantformlyobtweg bighaiz,2,"Asplenium sublaserpitiifolium","miltwaste + forms instrument nouns | like + big + feather"
sidzavswoC modland,2,"Leptogramma sinica","husked + stroke | middle + land"
sidzavswoC modland,2,"Leptogramma sinensis","husked + stroke | middle + land"
