term,occurrences,round,why
pigeon,113,15,the taxonomy asks for it
cepheus,113,15,the taxonomy asks for it
pelican,113,15,the taxonomy asks for it
violent,112,15,the taxonomy asks for it
asia,111,15,the taxonomy asks for it
bucephalus,111,15,the taxonomy asks for it
gypsum,111,15,the taxonomy asks for it
antonia,110,15,the taxonomy asks for it
rejoicing,110,15,the taxonomy asks for it
archimedes,110,15,the taxonomy asks for it
saviour,109,15,the taxonomy asks for it
quelea,109,15,the taxonomy asks for it
ham,109,15,the taxonomy asks for it
writhing,108,15,the taxonomy asks for it
utah,107,15,the taxonomy asks for it
hermus,107,15,the taxonomy asks for it
rectum,106,15,the taxonomy asks for it
taunt,105,15,the taxonomy asks for it
favouring,105,15,the taxonomy asks for it
bdellium,105,15,the taxonomy asks for it
lioness,105,15,the taxonomy asks for it
tonsillitis,104,15,the taxonomy asks for it
aesop,104,15,the taxonomy asks for it
servius,104,15,the taxonomy asks for it
ananias,104,15,the taxonomy asks for it
abel,103,15,the taxonomy asks for it
theft,103,15,the taxonomy asks for it
whey,103,15,the taxonomy asks for it
unskilled,103,15,the taxonomy asks for it
pestle,102,15,the taxonomy asks for it
thyatira,102,15,the taxonomy asks for it
inconvenient,102,15,the taxonomy asks for it
sarepta,101,15,the taxonomy asks for it
attica,101,15,the taxonomy asks for it
demeter,101,15,the taxonomy asks for it
gladiolus,101,15,the taxonomy asks for it
sculptor,101,15,the taxonomy asks for it
cedar,101,15,the taxonomy asks for it
iophon,100,16,the taxonomy asks for it
rhodium,100,16,the taxonomy asks for it
francium,100,16,the taxonomy asks for it
galatea,99,16,the taxonomy asks for it
charioteer,99,16,the taxonomy asks for it
plato,98,16,the taxonomy asks for it
pyrrha,98,16,the taxonomy asks for it
metope,97,16,the taxonomy asks for it
uncle,97,16,the taxonomy asks for it
selinunte,97,16,the taxonomy asks for it
coppersmith,97,16,the taxonomy asks for it
procrustes,97,16,the taxonomy asks for it
bath,97,16,the taxonomy asks for it
elysian,97,16,the taxonomy asks for it
ikaria,96,16,the taxonomy asks for it
amanus,96,16,the taxonomy asks for it
alyssum,96,16,the taxonomy asks for it
lyrist,96,16,the taxonomy asks for it
terebinth,96,16,the taxonomy asks for it
plica,95,16,the taxonomy asks for it
vetchling,95,16,the taxonomy asks for it
transalpine,95,16,the taxonomy asks for it
viniferous,95,16,the taxonomy asks for it
phlegra,95,16,the taxonomy asks for it
trochanter,94,16,the taxonomy asks for it
atropos,94,16,the taxonomy asks for it
hestia,94,16,the taxonomy asks for it
opium,94,16,the taxonomy asks for it
umbrian,93,16,the taxonomy asks for it
poseidon,93,16,the taxonomy asks for it
graphite,93,16,the taxonomy asks for it
athaliah,91,16,the taxonomy asks for it
sesamoid,91,16,the taxonomy asks for it
conjunction,91,16,the taxonomy asks for it
agora,90,16,the taxonomy asks for it
celtic,90,16,the taxonomy asks for it
orphean,89,16,the taxonomy asks for it
amun,88,16,the taxonomy asks for it
sindus,88,16,the taxonomy asks for it
lance,88,16,the taxonomy asks for it
argonaut,88,16,the taxonomy asks for it
clavellate,88,16,the taxonomy asks for it
indifferent,88,16,the taxonomy asks for it
pamphylian,88,16,the taxonomy asks for it
strengthened,88,16,the taxonomy asks for it
ibis,88,16,the taxonomy asks for it
quarter,88,16,the taxonomy asks for it
cybele,87,16,the taxonomy asks for it
migratory,87,16,the taxonomy asks for it
minos,86,16,the taxonomy asks for it
thomas,86,17,the taxonomy asks for it
hearth,85,17,the taxonomy asks for it
pelops,85,17,the taxonomy asks for it
potidaea,85,17,the taxonomy asks for it
trachis,84,17,the taxonomy asks for it
chaon,84,17,the taxonomy asks for it
malt,84,17,the taxonomy asks for it
avicenna,84,17,the taxonomy asks for it
lazarus,84,17,the taxonomy asks for it
selenium,84,17,the taxonomy asks for it
afflicted,84,17,the taxonomy asks for it
laconia,84,17,the taxonomy asks for it
pentagonal,84,17,the taxonomy asks for it
palatine,83,17,the taxonomy asks for it
priapus,83,17,the taxonomy asks for it
leek,82,17,the taxonomy asks for it
pentheus,82,17,the taxonomy asks for it
hermaphrodite,82,17,the taxonomy asks for it
gangrene,82,17,the taxonomy asks for it
lavinium,82,17,the taxonomy asks for it
pie,81,17,the taxonomy asks for it
ares,81,17,the taxonomy asks for it
huntress,81,17,the taxonomy asks for it
egeria,81,17,the taxonomy asks for it
idas,80,17,the taxonomy asks for it
confucius,80,17,the taxonomy asks for it
galbanum,80,17,the taxonomy asks for it
hemp,80,17,the taxonomy asks for it
amulet,80,17,the taxonomy asks for it
bakis,79,17,the taxonomy asks for it
greyhound,79,17,the taxonomy asks for it
olympia,79,17,the taxonomy asks for it
endymion,79,17,the taxonomy asks for it
paxos,79,17,the taxonomy asks for it
towel,79,17,the taxonomy asks for it
seat,79,17,the taxonomy asks for it
anointing,79,17,the taxonomy asks for it
criminal,79,17,the taxonomy asks for it
signatory,78,17,the taxonomy asks for it
indium,78,17,the taxonomy asks for it
trypanosome,78,17,the taxonomy asks for it
beryl,78,17,the taxonomy asks for it
wedding,78,17,the taxonomy asks for it
lesbos,78,17,the taxonomy asks for it
troad,77,17,the taxonomy asks for it
cato,77,17,the taxonomy asks for it
briseis,77,17,the taxonomy asks for it
arvern,77,17,the taxonomy asks for it
plutonium,77,17,the taxonomy asks for it
alcestis,77,17,the taxonomy asks for it
desirable,77,18,the taxonomy asks for it
halter,76,18,the taxonomy asks for it
gyges,76,18,the taxonomy asks for it
anointed,76,18,the taxonomy asks for it
hector,76,18,the taxonomy asks for it
dill,76,18,the taxonomy asks for it
ahala,75,18,the taxonomy asks for it
vascon,75,18,the taxonomy asks for it
separable,75,18,the taxonomy asks for it
phorcys,75,18,the taxonomy asks for it
scamander,75,18,the taxonomy asks for it
arab,75,18,the taxonomy asks for it
gad,74,18,the taxonomy asks for it
jacob,74,18,the taxonomy asks for it
chrysis,74,18,the taxonomy asks for it
solon,74,18,the taxonomy asks for it
scrofula,74,18,the taxonomy asks for it
iowa,73,18,the taxonomy asks for it
persuasive,73,18,the taxonomy asks for it
divisible,73,18,the taxonomy asks for it
cain,72,18,the taxonomy asks for it
awn,72,18,the taxonomy asks for it
hoarse,72,18,the taxonomy asks for it
blossius,72,18,the taxonomy asks for it
translucent,72,18,the taxonomy asks for it
chough,72,18,the taxonomy asks for it
exiled,72,18,the taxonomy asks for it
mediator,72,18,the taxonomy asks for it
unleavened,71,18,the taxonomy asks for it
lordling,71,18,the taxonomy asks for it
laborious,71,18,the taxonomy asks for it
rhodes,70,18,the taxonomy asks for it
gideon,70,18,the taxonomy asks for it
parchment,70,18,the taxonomy asks for it
toga,69,18,the taxonomy asks for it
lycaon,69,18,the taxonomy asks for it
emblic,69,18,the taxonomy asks for it
helle,68,18,the taxonomy asks for it
darling,68,18,the taxonomy asks for it
camilla,68,18,the taxonomy asks for it
triumphing,68,18,the taxonomy asks for it
levi,67,18,the taxonomy asks for it
esther,67,18,the taxonomy asks for it
lusitanian,67,18,the taxonomy asks for it
felloe,67,18,the taxonomy asks for it
forbidden,67,18,the taxonomy asks for it
whelp,66,18,the taxonomy asks for it
arachne,66,18,the taxonomy asks for it
intercalary,66,18,the taxonomy asks for it
cobbler,66,18,the taxonomy asks for it
