term,parts,occurrences,forms
rose garden,rose garden,87,28
pantry,pan try,87,21
fatherland,father land,87,14
peahen,pea hen,87,26
reindeer,rein deer,86,11
motorcycle,motor cycle,86,21
blockage,block age,86,24
raw silk,raw silk,86,21
leather fern-like,leather fern like,85,2
chorus leader,chorus leader,85,5
bright-eyed,bright eye,85,7
dewberry,dew berry,85,7
wild grape,wild grape,85,11
frostbite,frost bite,85,26
tractable,tract able,85,16
punchbag,punch bag,85,14
charlock,char lock,84,4
light-footed,light foot,84,4
homeland,home land,84,9
small fish,small fish,84,10
bugloss,bug lose,84,5
fleshhook,flesh hook,84,15
thin-flowered,thin flower,83,1
having pipes,have pipe,83,6
byssine,by sine,83,9
undergarment,under garment,83,18
narrow-beaked,narrow beak,82,2
painstaking,pain take,82,4
angel shark,angel shark,82,7
many-fronted,many front,82,8
wintry,win try,82,6
heatwave,heat wave,82,27
suitable,suit able,81,5
linkable,link able,81,3
four-keeled,four keel,81,3
flag-bearing,flag bear,81,8
very great,very great,80,4
very dense,very dense,80,3
billhook,bill hook,80,27
ground pine,ground pine,79,5
boundary marker,boundary marker,79,14
gemstone,gem tone,79,6
duckweed,duck weed,79,19
bookcase,book case,79,17
turtledove,turtle dove,79,15
omen bird,omen bird,78,3
shape-shifting,shape shift,78,3
broad-footed,broad foot,78,6
betony,bet on,78,6
scorpionfish,scorpion fish,78,12
chorus leader,chorus leader,78,10
be sly,be sly,78,19
cast net,cast net,77,4
shoe money,shoe money,76,1
possessable,possess able,76,9
heartlet,heart let,76,11
threefold,three fold,76,8
fiery-footed,fire foot,76,8
downward,down ward,76,26
opposite-footed,opposite foot,76,14
profitable,profit able,75,1
dark blue,dark blue,75,2
bad-tempered,bad temper,75,4
speak out,speak out,75,19
withdraw,with draw,75,17
small window,small window,74,9
beginning,beg inn,74,10
water mint,water mint,74,14
somewhat,some what,74,16
yellow flag,yellow flag,74,19
dripping,drip ping,74,18
north wind,north wind,74,27
dwarf palm,dwarf palm,73,2
how great,how great,73,10
gold-flowing,gold flow,73,4
scale-winged,scale wing,73,12
be persuaded,be persuade,73,21
teachable,teach able,72,7
narrow-fingered,narrow finger,72,2
knotweed,knot weed,72,7
bearing gold,bear gold,72,5
two-named,two name,72,5
slipper,slip per,72,17
mountain range,mountain range,72,18
new-born animal,new born animal,71,2
little hand,little hand,71,8
portal vein,portal vein,71,36
broad purple-striped,broad purple strip,70,6
funeral feast,funeral feast,70,11
daredevil,dare evil,70,16
armpit,arm pit,70,18
greensward,green ward,70,12
i call,i call,70,22
rubbed,rub bed,69,6
friendship,friend hip,69,3
four each,four each,69,8
two-doored,two door,69,13
bee-shaped,bee shape,68,3
overthrow,over throw,68,5
cranesbill,crane bill,68,6
runaway,run away,68,10
hatred,hat red,68,30
horse-tailed,horse tail,67,5
acorn-producing,acorn produce,67,11
rose-garden,rose garden,67,12
fourfold,four fold,67,11
heavy rain,heavy rain,67,22
great-hearted,great heart,66,2
old man,old man,66,3
slipping,slip ping,66,12
palm-sized,palm size,66,6
chopper,chop per,66,18
copper-rich,copper rich,66,8
i sell,i sell,66,25
wide-footed person,wide foot person,65,1
stepdaughter,step daughter,65,4
little bird,little bird,65,5
padlock,pad lock,65,6
mosquito net,mosquito net,65,3
in crowds,in crowd,65,5
cannon,can non,65,8
endowed,end ow,65,16
lead past,lead past,65,19
many-toed,many to,64,2
praiseworthy,praise worth,64,7
attacked again,attack again,64,9
go around,go around,64,12
shellfish,shell fish,64,13
nosesmart,nose smart,63,1
gemstone,gem tone,63,3
oar-footed,oar foot,63,4
cared-for,car for,63,8
husband,hue band,63,15
sword-bearing,sword bear,63,5
bowstring,bow string,63,13
pindus,pin due,63,20
many-footed,many foot,63,14
honey-water,honey water,63,24
small gain,small gain,63,20
be proud,be proud,62,1
not knowing,not know,62,5
wet nurse,wet nurse,62,5
statesman,state man,62,3
disorderly,die order,62,5
cheese spread,cheese spread,62,14
brother-in-law,brother in law,62,25
elsewhere,else where,61,5
crowlet,crow let,61,11
white lead,white lead,61,10
headlong,head long,60,3
dogfish,dog fish,60,9
downward,down ward,60,7
schooltime,school time,60,18
bracelet,brace let,59,2
spear-sword,spear sword,59,4
rotten,rot ten,59,15
sparsely,spar see,59,30
god-fearing,god fear,58,5
worm-shaped,worm shape,58,3
i wish,i wish,58,5
new-moon,new moon,58,8
dewlap,dew lap,58,9
spoonbill,spoon bill,58,6
orange river,orange river,58,5
sixfold,six fold,58,10
discourse,die course,57,1
landholding,land hold,57,3
wedge-shaped,wedge shape,57,2
stone-born,stone born,57,3
seed vessel,seed vessel,57,8
alienated,alien at,57,3
snapdragon,snap dragon,57,2
hip-joint,hip joint,56,6
four-part,four part,56,2
lot box,lot box,56,7
slow-footed,slow foot,56,5
fortify,fort if,56,14
towrope,tow rope,55,5
swift flowing,swift flow,55,12
filled up,fill up,55,10
footstool,foot tool,55,13
charlock,char lock,54,11
doing again,doing again,54,17
they allow,they allow,54,12
pressed down,press down,54,7
finely ground,fine ground,54,13
sea monster,sea monster,54,17
two-day period,two day period,53,5
curved thing,curve thing,53,5
eightfold,eight fold,53,5
bending down,bend down,53,7
mud-dwelling,mud dwell,53,10
acheloan,ache loan,53,16
long-lasting,long last,53,7
triplet,trip let,53,7
outflow,out flow,53,15
chickpea,chick pea,52,2
fourfold,four fold,52,3
we honor,we honor,52,3
having measured,have measure,52,5
thin-haired,thin hair,52,7
how much,how much,52,15
yardarm,yard arm,52,8
wheat flour,wheat flour,52,11
accidentally,accident ally,52,23
carpenter,carp enter,52,21
planetree,plane tree,51,1
farseeing,far see,51,2
polypody,pole pod,51,11
water lily,water lily,51,9
overseas,over sea,51,5
one-eyed,one eye,51,11
sea cow,sea cow,51,14
black bog-rush,black bog rush,50,1
soft-footed,soft foot,50,2
farmland,farm land,50,3
fatten,fat ten,50,2
blood-red,blood red,50,5
very large,very large,50,6
strawberry,straw berry,49,2
leftward,left ward,49,3
club-bearing,club bear,49,5
horn-shaped,horn shape,49,4
pagelet,page let,49,7
winecup,wine cup,49,10
bugloss,bug lose,49,10
tapestry,tape try,49,23
young daughter,young daughter,48,2
snakeweed,snake weed,48,2
passable,pass able,48,6
whitewashing,white wash,48,3
topknot,top knot,48,12
beehive,bee hive,48,16
rotten,rot ten,48,3
firewood,fire wood,48,14
slippery place,slippery place,48,22
carrot,car rot,47,1
pushed back,push back,47,6
dust cloud,dust cloud,47,7
freedwoman,free woman,47,11
earthborn,earth born,47,8
skilled in,skill in,47,9
pointlessly,point less,47,11
chopping,chop ping,46,3
breastplate,breast plate,46,13
hide-piercing,hide pierce,46,6
sweetmeats,sweet meat,46,12
old woman,old woman,46,14
goldfish,gold fish,46,14
milk-toothed,milk tooth,46,21
wild shouting,wild shout,46,18
white-beaked,white beak,45,2
antlion,ant lion,45,3
piglet,pig let,45,4
fruit-bearing,fruit bear,45,9
cut back,cut back,45,6
tartar,tar tar,45,10
old age,old age,45,9
same-year,same year,45,14
bighead,big head,44,2
city-protecting,city protect,44,3
praiseworthy,praise worth,44,4
small spider,small spider,44,4
footprint,foot print,44,8
travel-ready,travel read,44,4
how much,how much,44,10
disgrace,die grace,44,9
buttercup,butter cup,44,15
ten times,ten time,44,26
by daylight,by daylight,44,18
sharp-sighted,sharp sight,43,1
standing place,stand place,43,4
grape-like,grape like,43,3
fourfold,four fold,43,10
narrow-necked jug,narrow neck jug,43,10
hot-tempered,hot temper,43,3
little finger,little finger,43,8
outdoor,out door,43,8
drinking-cup,drink cup,43,10
foraging,for age,43,13
weighmaster,weigh master,42,1
romance language,romance language,42,2
goat herd,goat herd,42,5
plancus,plan cue,42,16
gall bladder,gall bladder,42,14
you receive,you receive,42,12
little sparrow,little sparrow,41,2
agreeable,agree able,41,5
fellowship,fellow hip,41,4
high-swelling,high swell,41,5
eyelash worm,eyelash worm,41,6
skillfully,skill full,41,8
kinship,kin hip,41,12
distrusting,die trust,40,4
palm-grove,palm grove,40,6
keep away,keep away,40,4
be silent,be silent,40,6
birthmark,birth mark,40,10
vine leaves,vine leave,40,7
doughnut,dough nut,40,9
otherwise,other wise,40,11
female cat,female cat,40,5
windpipe,wind pipe,40,13
grave accent,grave accent,40,15
female name,female name,40,21
changeable,change able,39,1
ward off,ward off,39,3
approachable,approach able,39,2
white-tailed,white tail,39,5
dog rose,dog rose,39,6
hate object,hate object,39,9
falling upon,fall upon,39,4
ever-living,ever live,39,11
bindweed,bind weed,38,2
medicine chest,medicine chest,38,6
sevenfold,seven fold,38,3
great-grandfather,great grandfather,38,7
she-bear,she bear,38,12
purple-fish,purple fish,38,7
even surface,even surface,38,13
thrust through,thrust through,38,4
anywhere,any where,38,13
rootstock,root stock,38,16
six times,six time,38,23
golden-backed,gold back,37,1
polynices,pole nice,37,4
warsaw,war saw,37,6
watchman,watch man,37,5
ore-pit,ore pit,37,6
spartan,spar tan,37,3
port-town,port town,37,2
female friend,female friend,37,7
inquired into,inquire into,37,8
will take,will take,37,12
six each,six each,37,13
so much,so much,37,13
seven each,seven each,37,20
earthen,ear then,37,12
pickaxe,pick axe,37,22
lamp-wick,lamp wick,36,3
evening star,evening star,36,3
dry out,dry out,36,3
sparrow-like,sparrow like,36,3
water clock,water clock,36,6
young tuna,young tuna,36,3
nonsense,non sense,36,6
dripping,drip ping,36,10
water vessel,water vessel,36,5
seventeen,seven teen,36,12
tenfold,ten fold,36,7
may seem,may seem,36,5
fivefold,five fold,36,7
hunting spear,hunt spear,36,12
palace,pal ace,36,16
spear-bearing,spear bear,35,2
lustrate,lust rate,35,6
five times,five time,35,10
night festival,night festival,35,6
desert-dwelling,desert dwell,35,8
one-eyed person,one eye person,34,1
dialectics,dialect ice,34,1
teardrop,tear drop,34,2
new moon,new moon,34,4
silver-footed,silver foot,34,4
stripping,strip ping,34,6
binding together,bind together,34,5
flat-footed,flat foot,34,4
placed over,place over,34,3
silver-leafed,silver leaf,34,4
turned away,turn away,34,4
rose-rich,rose rich,34,3
night work,night work,34,4
smoke-bearing,smoke bear,34,7
songbird,song bird,34,11
artificial port,artificial port,34,9
newly-planted,new plant,34,5
broken out,broken out,34,18
nearly resembling,near resemble,33,1
generated,gene rat,33,2
grapestone,grape tone,33,4
land-rich,land rich,33,4
skin garment,skin garment,33,4
rose-bush,rose bush,33,6
crossroads,cross road,33,6
pregnant woman,pregnant woman,33,9
boiling hot,boil hot,33,9
headdress,head dress,33,7
dislocated,die locate,33,5
well-like,well like,33,6
little vine,little vine,33,8
forage,for age,33,6
laughable,laugh able,33,9
branding iron,brand iron,33,14
small spear-head,small spear head,33,18
swift-winged,swift wing,33,15
ganglion,gang lion,33,19
god-possessed,god possess,32,2
three-month-old,three month old,32,4
high-beaked,high beak,32,2
rebellion,rebel lion,32,2
disgrace,die grace,32,4
mesentery,me enter,32,5
mushroom,mush room,32,7
little nest,little nest,32,4
catmint,cat mint,32,6
sandalled,sand all,32,4
cobweb,cob web,32,11
attendant,attend ant,32,7
headdress,head dress,32,6
rotten,rot ten,32,11
in charge,in charge,32,7
brushwood,brush wood,32,7
bow-bearing,bow bear,31,1
pinecone,pine cone,31,1
cut in,cut in,31,1
small sponge,small sponge,31,2
deep-folded,deep fold,31,4
cautious person,cautious person,31,2
transferred,transfer red,31,4
many-cornered,many corner,31,4
charlie,char lie,31,6
nutgrass,nut grass,31,4
mudwall,mud wall,31,8
noteworthy,note worth,31,5
baby girl,baby girl,30,3
mousetrap,mouse trap,30,2
earring,ear ring,30,6
silkworm,silk worm,30,6
flower-gathering,flower gather,30,2
steam pipe,steam pipe,30,3
herdsman,herd man,30,6
dart-bearing,dart bear,30,5
armour,arm our,30,3
barony,bar on,30,5
hail-filled,hail fill,30,4
golden vessels,gold vessel,30,11
faithfully,faith full,30,11
lookout,look out,30,9
hellweed,hell weed,29,1
river god,river god,29,2
lampstand,lamp stand,29,2
nobleman,noble man,29,2
swift-footed,swift foot,29,2
tribesman,tribe man,29,2
shellfish,shell fish,29,7
light boat,light boat,29,6
friendship,friend hip,29,3
collarbone,collar bone,29,13
eagle owl,eagle owl,29,12
small bird,small bird,29,9
undergarment,under garment,29,5
pack-saddle,pack saddle,29,13
elbow cushion,elbow cushion,29,11
cattle pen,cattle pen,29,16
black pepper,black pepper,29,10
restraining,rest rain,28,2
disorderly,die order,28,4
cold-sensitive,cold sensitive,28,4
armchair,arm chair,28,7
bone marrow,bone marrow,28,6
two-faced,two face,28,5
neckcloth,neck cloth,28,10
hipbone,hip bone,28,12
small box,small box,28,13
cloud over,cloud over,28,11
dark spot,dark spot,28,9
kinswoman,kin woman,28,13
pushing back,push back,27,1
attendant,attend ant,27,1
insurgent,in urgent,27,2
distant-fathered,distant father,27,2
chickpea,chick pea,27,5
trailing along,trail along,27,4
sea monster,sea monster,27,7
be persuaded,be persuade,27,7
household,house hold,27,11
one-footed,one foot,27,12
precious stone,precious stone,27,12
scarlet,scar let,27,12
bracelet,brace let,27,9
liking for,like for,26,1
little boy,little boy,26,1
wine-vessel,wine vessel,26,1
overhang,over hang,26,2
young son,young son,26,2
damour,dam our,26,5
pancake,pan cake,26,10
badly imitated,bad imitate,26,3
west wind,west wind,26,4
suitable,suit able,26,7
hatred,hat red,26,7
having hesitated,have hesitate,26,5
young man,young man,26,5
reed bed,reed bed,26,8
pine-bearing,pine bear,26,14
overshooting,over shoot,25,1
small ships,small ship,25,3
baby boy,baby boy,25,3
outpost,out post,25,7
we let,we let,25,6
having harmed,have harm,25,5
whenever,when ever,25,3
gray-marked,gray mark,25,3
slipper,slip per,25,5
gold dust,gold dust,25,6
disclosure,die closure,25,5
early spring,early spring,25,8
haircut,hair cut,25,7
eyebrow,eye brow,25,6
endowed,end ow,25,7
headdress,head dress,25,16
be pierced,be pierce,24,1
clear sky,clear sky,24,2
evil omen,evil omen,24,4
country-dwell,country dwell,24,4
swordfish,sword fish,24,4
every way,every way,24,2
wool fabric,wool fabric,24,6
backward-looking,backward look,24,2
clipping,clip ping,24,7
spartan,spar tan,24,9
little dog,little dog,24,6
marsh-wandering,marsh wander,24,4
round dance,round dance,24,5
landsman,land man,24,4
everywhere,every where,24,6
little branch,little branch,24,7
flat wine,flat wine,24,4
brother-in-law,brother in law,24,8
restrain,rest rain,24,11
canvassing,canvas sing,24,12
secret rites,secret rite,24,10
gangway,gang way,24,14
all together,all together,23,1
short-fingered,short finger,23,1
dark green,dark green,23,1
mushroom,mush room,23,2
very famous,very famous,23,4
seaward,sea ward,23,3
red lead,red lead,23,6
topknot,top knot,23,8
left-handed,left hand,23,7
root-derived,root derive,23,5
nineteen,nine teen,23,13
citizenship,citizen hip,23,16
silver ore,silver ore,22,2
two-banked,two bank,22,3
rightward,right ward,22,4
archangel,arch angel,22,4
bedroom,bed room,22,4
bandage,band age,22,5
oarsman,oar man,22,3
watering pot,water pot,22,2
lifestyle,life style,22,4
freedman,free man,22,3
cold-water,cold water,22,4
hiding place,hide place,22,4
suitcase,suit case,22,8
in place,in place,22,8
blank tablet,blank tablet,22,13
high-necked,high neck,21,1
brick pillar,brick pillar,21,1
ribes-like,rib like,21,1
seaside,sea side,21,1
manhood,man hood,21,2
skullcap,skull cap,21,2
favorable,favor able,21,2
thorn-bush,thorn bush,21,4
very sharp,very sharp,21,4
hard-shelled,hard shell,21,4
fivefold,five fold,21,3
codfish,cod fish,21,5
threefold,three fold,21,2
sundial,sun dial,21,6
grape stalk,grape stalk,21,4
herdsman,herd man,21,3
kidney disease,kidney disease,21,7
beginning,beg inn,21,6
waging war,wage war,21,5
mountain god,mountain god,21,12
dock-tailed,dock tail,21,9
staircase,stair case,21,7
egg-like,egg like,21,10
which number,which number,21,10
mimic dance,mimic dance,21,16
dark blue,dark blue,21,12
become bitter,become bitter,20,1
bull-horned,bull horn,20,1
very noble,very noble,20,2
kingship,king hip,20,2
little glory,little glory,20,2
self-moving,self move,20,3
overripe,over ripe,20,4
ash heap,ash heap,20,4
craftily,craft i,20,5
infertile,infer tile,20,5
feverfew,fever few,20,3
gold mine,gold mine,20,5
sunlight,sun light,20,5
endowed,end ow,20,5
armlet,arm let,20,6
stone wall,stone wall,20,10
you lead,you lead,20,11
everywhere,every where,20,14
staff-bearing,staff bear,19,1
humped-beaked,hump beak,19,1
foreign country,foreign country,19,2
golden-fruited,gold fruit,19,2
contracted form,contract form,19,2
snow-white,snow white,19,3
horn-shaped,horn shape,19,4
dog-fly,dog fly,19,4
stepmother,step mother,19,4
small hall,small hall,19,2
pine-cone,pine cone,19,5
drinking-cup,drink cup,19,3
sealstone,seal tone,19,6
paste ball,paste ball,19,4
passable,pass able,19,3
handbook,hand book,19,4
mousetrap,mouse trap,19,5
single-word,single word,19,5
cloud-wandering,cloud wander,19,5
all-healing,all heal,19,5
dirty-clothed,dirty cloth,19,4
potsherd,pot herd,19,8
small cabbage,small cabbage,19,5
coverlet,cover let,19,8
milky way,milk way,19,5
beginning,beg inn,19,6
winter wheat,winter wheat,19,5
far away,far away,19,12
rain-bearing,rain bear,19,7
tie together,tie together,19,12
is poured,i pour,19,8
battle-bound,battle bound,18,1
taxable,tax able,18,1
sheepfold,sheep fold,18,1
woodhouse,wood house,18,1
brick red,brick red,18,2
sheepfold,sheep fold,18,2
wine glass,wine glass,18,2
producing fire,produce fire,18,3
limb-relaxing,limb relax,18,3
corpse-like,corpse like,18,3
castrated,cast rat,18,5
throwable,throw able,18,5
go about,go about,18,5
shell-dwelling,shell dwell,18,12
agreeably,agree able,18,6
garden herb,garden herb,18,8
crescent-shaped,crescent shape,18,8
penultimate,pen ultimate,18,7
rebellion,rebel lion,18,9
sandanus,sand anus,18,8
pine-bearing,pine bear,18,9
cooking pot,cook pot,17,1
fellow-guard,fellow guard,17,1
white-haired,white hair,17,2
great-grandmother,great grandmother,17,2
fever-reducing,fever reduce,17,2
thanksgiving,thank give,17,3
will come,will come,17,4
leadable,lead able,17,4
hanging down,hang down,17,3
transferred,transfer red,17,3
well-rope,well rope,17,6
troublesome,trouble some,17,2
light green,light green,17,6
very worthy,very worth,17,3
market stall,market stall,17,7
otherwise,other wise,17,8
red coral,red coral,17,5
sea green,sea green,17,5
we released,we release,17,7
yellow fever,yellow fever,17,10
right hand,right hand,17,8
elsewhere,else where,17,8
spend time,spend time,17,9
horn-fruited,horn fruit,16,1
sail away,sail away,16,1
parallel-faced,parallel face,16,1
ramesses,ram see,16,1
mountain range,mountain range,16,2
flame-throwing,flame throw,16,2
sapwood,sap wood,16,4
broken through,broken through,16,4
nonsense,non sense,16,2
wolf spider,wolf spider,16,4
bringing up,bring up,16,2
honeycombed,honey comb,16,5
ovenlet,oven let,16,4
considerable,consider able,16,4
stepson,step son,16,4
beehive,bee hive,16,8
fellowship,fellow hip,16,4
firestick,fire tick,16,8
bone-breaking,bone break,16,5
masterpiece,master piece,16,6
testify,test if,16,5
seafish,sea fish,16,10
stomach-footed,stomach foot,16,14
framework,frame work,16,8
stone-bearing,stone bear,16,12
gripper,grip per,16,9
carrot,car rot,15,1
dissected,die sect,15,1
lemon balm,lemon balm,15,1
daylong,day long,15,1
ferryboat,ferry boat,15,1
householder,house holder,15,3
may come,may come,15,3
capsizing,cap size,15,3
desiring many,desire many,15,3
witwall,wit wall,15,2
eight-spoked,eight spoke,15,4
very ancient,very ancient,15,3
cut up,cut up,15,6
blowpipe,blow pipe,15,2
wave-bringing,wave bring,15,3
frontlet,front let,15,5
fearsome,fear some,15,2
very strong,very strong,15,4
thunderstone,thunder tone,15,5
we saw,we saw,15,6
firestone,fire tone,15,8
craftily,craft i,15,6
furies,fur i,15,4
needlelet,needle let,15,7
serving dish,serve dish,15,4
private citizen,private citizen,15,5
outline,out line,15,7
draft animal,draft animal,15,9
pretty hair,pretty hair,15,9
passover,pass over,15,10
water-fetching,water fetch,14,1
heartstone,heart tone,14,1
needlecase,needle case,14,1
dissected,die sect,14,2
honey-making,honey make,14,2
apparently true,apparent true,14,2
underfoot,under foot,14,2
one-horned,one horn,14,3
knowable,know able,14,3
collarbone,collar bone,14,2
state property,state property,14,3
dislocated,die locate,14,3
fruit-bearing,fruit bear,14,3
face-to-face,face to face,14,3
bull-shaped,bull shape,14,2
sharp-snouted,sharp snout,14,2
hogskin,hog kin,14,6
rosy-fingered,rose finger,14,2
scarlet,scar let,14,5
dissected,die sect,14,2
profitable,profit able,14,3
having repeled,have repel,14,4
you change,you change,14,7
waterbody,water body,14,6
ashcake,ash cake,14,3
in vain,in vain,14,5
poured back,pour back,14,5
lifetime,life time,14,7
songstress,song stress,14,4
highland,high land,14,7
last year,last year,14,6
male prostitute,male prostitute,14,8
gold piece,gold piece,14,7
sunday,sun day,14,8
barefoot,bare foot,13,1
be born,be born,13,1
grandstand,grand stand,13,2
two-winged,two wing,13,2
quicksilver,quick silver,13,2
old-fashioned,old fashion,13,2
housemate,house mate,13,3
having accused,have accuse,13,3
bugbear,bug bear,13,4
smeared around,smear around,13,3
praiseworthy,praise worth,13,3
bandage,band age,13,2
far-shining,far shin,13,2
lockbox,lock box,13,4
billowy,bill ow,13,2
dysentery,dye enter,13,3
liquorice,liquor ice,13,3
young slave,young slave,13,3
pack-saddle,pack saddle,13,3
woolworking,wool work,13,3
nine-day,nine day,13,3
eye ointment,eye ointment,13,6
may rain,may rain,13,6
distrusted,die trust,13,5
drinking plate,drink plate,13,8
town hall,town hall,13,5
solidify,solid if,13,8
cupping,cup ping,13,5
headdress,head dress,13,8
sometimes,some time,13,6
cowherd,cow herd,13,8
workhouse,work house,13,7
oven-baked,oven bake,13,5
will remain,will remain,13,7
fish sauce,fish sauce,13,10
saddlebag,saddle bag,13,10
this year,this year,13,6
stirred,stir red,13,8
very fiery,very fire,13,8
waxstone,wax tone,13,10
flute-girl,flute girl,12,1
leaping up,leap up,12,1
billowy,bill ow,12,1
catchfly,catch fly,12,1
seed-picking,seed pick,12,1
timber monopoly,timber monopoly,12,1
cloud-black,cloud black,12,2
having obtained,have obtain,12,2
plowman,plow man,12,2
transferable,transfer able,12,2
honey-bearing,honey bear,12,2
snake-shaped,snake shape,12,2
sidereal,side real,12,2
pierced through,pierce through,12,2
slave-king,slave king,12,3
tall-spined,tall spin,12,2
pancake,pan cake,12,2
lisping,lie ping,12,2
tillage,till age,12,3
curling iron,curl iron,12,4
crawled upon,crawl upon,12,5
seaweedy,sea weed,12,3
rocky places,rock place,12,3
favorable,favor able,12,2
small stones,small stone,12,7
sayable,say able,12,6
workshop,work hop,12,6
sail-bearing,sail bear,12,4
bitten,bit ten,12,3
bugloss,bug lose,12,6
tartar,tar tar,12,5
moderate,mode rate,12,3
descendants,descend ant,12,8
containing poison,contain poison,11,1
so far,so far,11,2
lawfully,law full,11,2
legacy,leg ace,11,2
blowpipe,blow pipe,11,2
triplet,trip let,11,2
fruit-gathering,fruit gather,11,3
livestock,live stock,11,3
butterfly,butter fly,11,2
tied under,tie under,11,3
originated,origin at,11,4
stallage,stall age,11,5
dislocate,die locate,11,3
little mother,little mother,11,2
ninefold,nine fold,11,2
warehouse,ware house,11,3
three-horned,three horn,11,2
you think,you think,11,5
frying pan,fry pan,11,5
ending sorrow,end sorrow,11,2
not know,not know,11,3
sevenfold,seven fold,11,3
little star,little star,11,6
having appeared,have appear,11,4
caresus,care sue,11,4
rough place,rough place,11,5
bracelet,brace let,11,7
hot-tempered,hot temper,11,4
color-changing,color change,11,7
grapevine,grape vine,11,5
winter shoe,winter shoe,11,5
blood sauce,blood sauce,11,6
three-threaded,three thread,11,7
drinkable,drink able,11,8
placeable,place able,11,8
chestnut,chest nut,10,1
golden eagle,gold eagle,10,1
readily,read i,10,1
fish-eating,fish eat,10,1
washbasin,wash basin,10,1
slowfooted,slow foot,10,1
six-year-old,six year old,10,1
snaky-haired,snake hair,10,2
smokehole,smoke hole,10,2
three-tongued,three tongue,10,2
awesome,awe some,10,2
pale yellow,pale yellow,10,2
ring-shaped,ring shape,10,3
acceptable,accept able,10,2
earlobe,ear lobe,10,4
touchstone,touch tone,10,4
horseman,horse man,10,4
sly fox,sly fox,10,3
barleymeal,barley meal,10,3
reddish,red dish,10,5
thereafter,there after,10,3
overflow,over flow,10,5
awe-inspiring,awe inspire,10,3
stepfather,step father,10,3
total defeat,total defeat,10,6
gallows,gall ow,10,5
very near,very near,10,4
bandage,band age,10,6
tongue-shaped,tongue shape,10,6
birdcage,bird cage,10,6
underlay,under lay,10,10
river-born,river born,9,1
heaven-born,heaven born,9,1
weigh out,weigh out,9,1
skipper,skip per,9,1
all-fruited,all fruit,9,1
shield-bearing,shield bear,9,1
redstart,red start,9,1
foam-born,foam born,9,1
bow-bearing,bow bear,9,2
turkey oak,turkey oak,9,2
full-breasted,full breast,9,2
drinkable,drink able,9,2
slow-paced,slow pace,9,2
small net,small net,9,3
overview,over view,9,2
distributed,die tribute,9,3
marriageable,marriage able,9,3
starting rope,start rope,9,2
oak grove,oak grove,9,2
night-seeing,night see,9,4
dewlap,dew lap,9,4
nonholiday,non holiday,9,2
full-length,full length,9,4
four-wheeled,four wheel,9,3
tractable,tract able,9,2
turned round,turn round,9,3
long-tubed,long tub,9,2
fourfold,four fold,9,2
allied,all i,9,2
sausage-derived,sausage derive,9,3
dog-shaped,dog shape,9,6
small tile,small tile,9,3
twelve each,twelve each,9,4
ganglion,gang lion,9,4
small rod,small rod,9,4
sealing clay,seal clay,9,4
rock-dwelling,rock dwell,9,5
closely resembling,close resemble,9,4
seafaring,sea far,9,5
turn back,turn back,9,5
bedroom,bed room,9,5
big-nosed,big nose,9,7
snatched away,snatch away,9,6
somewhere,some where,8,1
striving for,strive for,8,1
distrust,die trust,8,1
straw wine,straw wine,8,1
having leaped,have leap,8,1
get drunk,get drunk,8,1
bodyguards,body guard,8,1
from there,from there,8,1
fatten,fat ten,8,1
redfish,red fish,8,1
red-tailed,red tail,8,1
little cage,little cage,8,2
slipper,slip per,8,2
milk-producing,milk produce,8,2
loving strangers,love stranger,8,2
war dance,war dance,8,2
disapproved,die approve,8,2
cupboard,cup board,8,3
low-growing,low grow,8,2
spear-bearing,spear bear,8,2
doubtfully,doubt full,8,3
turn blue,turn blue,8,3
be present,be present,8,2
spearman,spear man,8,2
capital crime,capital crime,8,4
water-snake,water snake,8,3
nonfamous,non famous,8,4
eleven each,eleven each,8,4
troublesome,trouble some,8,3
crooked-hoofed,crooked hoof,8,4
date palm,date palm,8,4
small horn,small horn,8,2
fellowship,fellow hip,8,3
linen cloth,linen cloth,8,3
whipper,whip per,8,4
withered,wit here,8,2
sweetheart,sweet heart,8,3
profitable,profit able,8,3
grape ointment,grape ointment,8,3
round ball,round ball,8,2
springboard,spring board,8,3
freedman,free man,8,3
box tree,box tree,8,3
antiquity,anti quit,8,4
revealed secret,reveal secret,8,6
well-shaded,well shade,8,3
be moist,be moist,8,3
partridge,part ridge,8,5
small pot,small pot,8,6
greedy person,greed person,8,5
little ape,little ape,8,4
elderflower,elder flower,8,5
small logs,small log,8,6
flow into,flow into,8,6
i sweat,i sweat,8,6
folding back,fold back,8,5
sharp-edged,sharp edge,7,1
plowman,plow man,7,1
acorn-eating,acorn eat,7,1
having lodged,have lodge,7,1
bee bread,bee bread,7,1
overturn,over turn,7,1
will lead,will lead,7,1
cut up,cut up,7,1
fivefold,five fold,7,1
stitching together,stitch together,7,1
purposefully,purpose full,7,1
drinkable,drink able,7,1
breastband,breast band,7,1
thessaly,these a,7,1
demon-possessed,demon possess,7,2
bearing flowers,bear flower,7,2
great bear,great bear,7,2
restrained,rest rain,7,2
brown bread,brown bread,7,2
rootwise,root wise,7,2
overturned,over turn,7,2
fellow student,fellow student,7,2
heathery,heat here,7,3
workshop,work hop,7,3
twin-bearing,twin bear,7,2
corn god,corn god,7,3
sawgrass,saw grass,7,2
number forty,number fort,7,2
moderate,mode rate,7,2
warring,war ring,7,3
two-foot,two foot,7,2
