term,gloss,forms,occurrences
"peg","nail, dowel, peg",85,462
"host","host",27,461
"foil","to make into leaf/foil",147,461
"guard","guard service, garrison",135,461
"moved","moved, removed, having been moved.",44,460
"fastening","fastening",135,460
"alien","outsider, foreigner, stranger, alien",24,458
"courage","courage, bravery, fortitude (of men or women)",55,458
"bat","a bat (animal)",14,456
"adjacent","beside one another, side-by-side",46,456
"cloud","cloud, mass of clouds",36,456
"eager","ready, willing, eager",155,456
"thread","thread, string, filament, fiber",89,455
"bile","bile",91,455
"starch","starch",102,455
"champion","champion, foremost fighter",12,454
"thorny","overgrown with thorn, briar etc.",7,454
"stage","stage",65,454
"island","The largest island of the Cyclades",87,454
"cave","cave",98,454
"turned","turned",34,453
"small","Small, little.",85,453
"town","A town of Palestine situated where the Jordan flows into the lake Tiberias",143,453
"honeyed","Of, pertaining to or resembling honey.",25,452
"breathe","to breathe, blow",115,452
"town","A town of the Peucetii in the interior of Apulia, situated near Venusia",49,451
"summer","summer",9,450
"trembling","shaking, quaking, quivering, trembling, tremulous",28,449
"cord","a slender rope, cord",83,449
"reptile","reptile",38,449
"flood","inundation, an overflowing, flood",18,448
"stone","a stone",36,447
"tear","tear (drop of liquid from the eye)",49,447
"individual","Any individual among the Carbo family",118,447
"to dig","to dig",34,445
"reed","a kind of reed",21,445
"boundary","boundary, limit, frontier, landmark",82,445
"pitcher","jug, pitcher, ewer",53,445
"injury","hurt, injury, damage, loss",44,444
"mint","the mint (plant)",104,444
"touched","touched, having been touched, grasped, having been grasped",108,444
"wanderer","wanderer, stroller, rover, vagabond, vagrant",58,444
"garden","garden, orchard or plantation",107,444
"transferal","transferal (bearing away)",124,443
"weary","weary; faint; tired",97,443
"high","on a slope: high, lofty",147,443
"sloping","sloping or shelving (downwards)",42,442
"footed","furnished with feet",29,442
"noon","midday, noon",11,442
"vine","a Greek species of vine",57,442
"fin","fin",88,442
"adapted","modified, adapted",98,440
"seeing","seeing",34,439
"flour","ground corn, flour, meal",47,439
"spear","A spear",73,438
"owing","owing; being obliged",131,438
"delay","a brief delay",29,437
"pain","pain",61,437
"wind","wind",57,437
"beak","beak, bill (especially of a cock)",50,435
"river","a river in Mauritania, now the Tafna",52,435
"concealment","a concealment; a hiding",97,435
"this","Emphatic form of hic.",81,435
"rug","A shaggy mat or rug",29,433
"purely","purely, without admixture.",68,433
"contest","contest, struggle for victory",35,432
"pond","a hole, pit, ditch; (especially) a pool, pond",56,432
"fracture","breaking, fracture",69,432
"bat","bat (small flying mammal)",64,432
"covered","covered",31,431
"key","a key",63,431
"virgin","virgin",23,430
"standing","About to be stood",30,430
"king","lord; king",57,430
"maker","maker (especially of statuary images)",13,429
"windy","windy",28,429
"painful","painful, distressing",43,429
"inner","innermost; depth; hiding",16,428
"separated","separated",27,428
"give","to give, furnish, supply",46,428
"separately","separately, differently",37,428
"city","city",126,428
"peaks","head; mountain top (used mostly in the plural form)",65,428
"bolt","a bar or bolt for fastening doors",125,428
"current","flow, current",39,427
"town","a town of Messenia, situated on the road from Andania to Cyparissia",47,427
"island","A small island near Naxos",19,427
"good","good, brave, noble",52,427
"to prick","to touch with a sharp point, prick, stab, pierce",34,427
"begin","to begin [with genitive 'something, from something, with something']",86,427
"grass","grass, fodder, pasture",25,426
"clear","Clear, fair, bright, serene, tranquil.",65,426
"writer","writer",54,426
"pasion","Pasion",88,426
"watcher","watcher, lookout",28,425
"opening","The opening of the upper part of a balance, in which the tongue moves",134,425
"crafty","crafty, cunning, deceitful",9,424
"relaxed","not stretched, relaxed",66,424
"good","good; brave; noble; moral; gentle",138,424
"very","An intensifying prefix, roughly equivalent to more or very.",23,423
"apple","apple",34,423
"bee","a bee",130,423
"fontal","bearing a relation to the spring or source",5,422
"gaping","the gaping of a mouth, as when laughing or yawning; gaping jaws",87,422
"containing","Containing, able to hold.",100,421
"hardness","hardness, rigidity",48,419
"known","known",71,419
"foot","Foot; having or relating to feet.",85,419
"rigid","stiff, inflexible, rigid, unbending",21,418
"leafy","leaved, leafy, having leaves",30,418
"twins","twins",82,418
"vault","to construct in the form of a vault; to vault, arch, roof over",68,418
"hill","hill",138,418
"sight","sight, view",33,417
"besides","besides, over and above, thereto, in addition",89,417
"origin","origin, birth",58,417
"coil","anything twined or wreathed, coil, wreath",43,417
"extended","stretched out, strained, outstretched, extended",37,417
"sculptural","sculptural",18,416
"sheath","sheath, case",26,416
"sheath","a case, envelope, sheath",82,416
"bit","a little, a small amount",16,415
"light","light, brightness, the bright flame or blaze of fire",18,415
"town","a town in Africa, now Kélibia",36,415
"dry","to be dry or parched",61,415
"wander","to wander, rove, stray, roam",69,415
"town","a town in Troas",101,415
"bearded","with a goat's beard",8,414
"acorned","made of acorns",14,414
"moss","A kind of moss drooping from oaks",18,414
"then","then",62,414
"cancer","A bad species of swelling or ulcer",48,414
"grass","grass, herbage",24,413
"seems","it seems to me, methinks [with dative]",63,413
"grace","elegance, grace",89,413
"lens","lens",53,413
"river","a river in Hyrcania, mentioned by Pliny",51,413
"hinged","of or pertaining to a door hinge",16,412
"scrap","the least amount; scrap, crumb",50,412
"hairy","Of or related to hair, hairy.",5,412
"cat","a cat",42,412
"box","box, chest, casket",84,412
"luxury","luxury",15,411
"abyss","an abyss",6,411
"slack","slack, loose, supple",57,411
"athlete","athlete",7,410
"circle","A circle (geometric figure)",23,410
"summer","of summer",20,410
"cliff","cliff, rock",26,410
"hollow","empty, void, hollow",92,410
"against","Against; in opposition to.",59,409
"emerge","to go out, come out",121,409
"peak","peak (e.g. of a mountain)",129,409
"cultivated","tilled, cultivated, having been cultivated",43,408
"honor","honor, glory, pride, delight",82,408
"formed","formed; moulded in clay or wax",14,407
"hooded","hooded",15,407
"passed","permitted, neglected, overlooked",6,407
"wicker","Made of wicker, made of rods or twigs",71,407
"leap","A leap, jump, bound, spring; a leaping",61,407
"step","a step, pace",114,407
"wandering","wandering, roaming",93,407
"rear","back, rear",132,407
"square","square, squared, having been made square, made into a square shape",3,406
"wonderful","wonderful, amazing, miraculous",18,406
"drop","a drop of a dense, viscous liquid or other non-natural substance (e.g., oil, sap; vinegar)",64,406
"pan","a flat frying pan",41,406
"river","a river in Noricum, now the Salzach",52,406
"shine","to shine, glitter",74,406
"city","a city, walled town",40,405
"drag","to drag, pull",47,405
"dance","dance, especially choral dance with music",60,405
"ancestor","ancestor",61,405
"depart","to go away, depart",65,404
"cup","little cup, small cupful; cup",32,403
"crust","the hard surface of a body; rind, shell, crust, bark, scab",61,403
"tin","tin",98,403
"skin","Dermal: dermis, but also often, broadly, skin or epidermis.",59,403
"beardless","beardless",10,402
"slave","a homeborn slave (a slave born in his master's house)",41,402
"as","as, like, just as",32,401
"many","supernumerary; many; more.",85,401
"crab","A kind of crab.",62,401
"complement","that which fills, complement",29,400
"bear","bear; ursine",9,400
"returning","returning, reverting, reappearing, recurring",63,400
"stem","stem, stump, block",67,400
"branch","a branch or bough of a tree, especially one severed thence",141,400
"hull","hull of a ship",16,399
"wonder","Miracle; wonder; marvel.",78,399
"fertile","fruitful, fertile",30,398
"secret","hidden, secret, private, mysterious",17,398
"head","Macedonian form of κεφαλή (kephalḗ, ""head"").",14,398
"weapon","A kind of weapon, forbidden during gladiatorial contests.",54,398
"king","A king of Sparta",139,398
"eating","eating",95,397
"wingless","wingless, unwinged",79,397
"male","Of or pertaining to a man",114,396
"cheerful","name of a fourth-century saint, meaning cheerful, happy.",44,396
"lock","tuft, wisp of wool",119,396
"command","command, order",76,396
"thrusted","thrusted",39,395
"shaking","shaking",79,395
"orange","flame-coloured, yellowish-red",77,395
"ganges","the Ganges",149,395
"writing","text; anything written, writing",20,394
"domestic","of or relating to the master or mistress of a family",31,394
"slimy","slippery, slimy",29,394
"heaven","heaven (where the stars and the Milky Way is)",94,394
"high","being a large vertical distance from: high, deep",75,394
"fungus","mushroom; fungus",72,394
"peter","Peter (biblical character).",90,394
"founder","The mythical founder of Mantua and ally of Aeneas",47,393
"weave","to spin; weave, interlace, entwine",113,393
"lean","without flesh, lean",23,393
"cat","cat; domestic cat, tom (male), queen (female)",50,393
"slope","slope, hill, rise",77,392
"pea","pea, pease, seed of the plant Pisum sativum",8,391
"town","a town in Phoenicia near the river Eleutherus and contiguous to the town of Zimyra",7,391
"city","An ancient city of Attica, famous for its mysteries of Demeter and Persephone",3,391
"union","connection, union, junction",26,391
"travel","to travel, to journey",115,391
"longing","longing, yearning, regret",28,390
"eyelash","eyelash",20,390
"horizon","horizon",34,390
"herd","herd",43,390
"wrap","to wrap, enfold, cover",47,390
"safe","safe, prudent",93,390
"original","primitive (first of its kind), original",14,389
"job","Job (Old Testament character and book in the Bible)",25,389
"plane","plane (carpenter's tool)",22,389
"separate","to stand apart; to be distant",32,389
"clear","transparent, clear",35,389
"foot","with the foot, with the heel",89,389
"fat","fatted, fat",12,388
"child","child (of either gender)",27,388
"hairy","Having hair, hairy.",21,388
"cake","cake made of sesame and honey",61,388
"disease","functional disease or condition such as hepatosis",93,388
"ice","ice",104,388
"lightning","lightning, a flash of lightning",45,387
"thorny","Having thorns.",44,387
"digit","a finger, toe",90,387
"forked","forked, cloven",103,387
"branch","bough, branch",25,386
"concealed","concealed",24,386
"bean","bean",45,386
"sphere","small ball or sphere",31,386
"like","like, similar, resembling (followed by the dative)",98,386
"die","to die, to perish",132,386
"to pour","aorist active infinitive of χέω (khéō)",79,386
"swift","swift",11,385
"fat","corpulent, fat, obese, stout",12,385
"onion","a kind of onion",12,385
"weak","faint, weak",22,385
"drop","a drop (of liquids)",63,385
"quality","quality; attribute",35,385
"chest","chest, box, coffer, safe (safe place for storing items, or anything of a similar shape)",127,385
"vine","the name of various climbing plants",41,384
"river","A river of Gallaecia, Hispania Tarraconensis, now the Tambre",67,384
"few","few; little (small amount)",93,384
"heat","heat",127,384
"handle","handle",107,384
"abundant","abundant, copious, plentiful, large, abounding in something",106,383
"dream","dream",98,383
"violet","a violet-coloured flower",76,383
"wanderer","wanderer, roamer, vagabond",44,383
"to smell","to smell; to emit an odor, especially a bad odor",58,383
"easy","easy, slight",66,383
"to excite","to excite",105,383
"substituted","vicarious, substituted",12,382
"released","unbound, released",32,381
"flow","to flow, stream, run, gush",62,381
"child","a child; chit",79,381
"reed","a reed, cane",55,381
"left","left, on or with the left hand",128,381
"saddled","saddled",46,380
"air","air or aircraft",46,380
"calling","calling, invoking, inviting, summoning, speaking of",48,379
"town","a town in Dalmatia, whose location is still unknown",83,379
"rod","rod, pole, bar",90,379
"bright","bright, shining, brilliant, lustrous",23,378
"town","a small town of Boeotia where Epaminondas defeated the Spartans",9,377
"pheasant","pheasant (bird)",18,377
"roll","roll (bread), cake",11,377
"lucky","favorable, fortunate, auspicious, prosperous, lucky",11,377
"night","night (period of time)",56,377
"snail","A kind of spiral snail",53,377
"able","-(a)ble; used to form an adjective, usually from a verb, indicating a capacity or worth of being acted upon.",64,377
"never","not at all, by no means",58,376
"swallow","swallow (bird)",24,375
"fit","to fasten, fit, apply, adjust",62,375
"direct","face-to-face, open, direct",47,374
"orderly","ordered; moderate; regular; decent",50,374
"silver","plate, silver",31,374
"coiled","twisted, coiled",25,373
"neglected","neglected, omitted",21,373
"bounded","marked off (by boundaries), bounded, limited",32,373
"man","epithet of men",23,373
"funeral","funeral rites; burial; funeral; wake",30,373
"dine","to dine, eat dinner, sup",62,373
"property","a piece of property; a possession",8,372
"branch","bough, branch, twig",57,372
"band","roll, band, girth",126,372
"tribe","A Germanic tribe dwelling near the territory of the Marcomanni",132,372
"condition","Same as -ance; having the state or condition of.",145,372
"beaded","moniliform, characterized by or having a chain-like series of bumps, swellings, or joints; resembling beads on a string or necklace",10,371
"hidden","invisible, hidden, latent, concealed, mysterious",66,371
"shining","Shining, glittering; bright, clear.",58,371
"drum","drum, kettledrum",55,371
"sisterly","sisterly",4,370
"alive","alive, animated",22,370
"stretched","stretched; stretched out; extended; distended",102,370
"ten","Combines with the prefixes for 3-9 to form complex prefixes referring to 30-90.",96,370
"rich","wealthy; rich",14,369
"steward","steward, dispenser",72,369
"dust","dust",128,369
"round","circum- (round, about)",89,368
"crater","a crater in Clavius, LQ26 quadrangle, Moon, Earth-Moon System, Solar System",22,367
"hornless","hornless",16,367
"polish","Polish",14,367
"lie","An untruth, falsehood, fraud, deceit, lie; forgery.",92,367
"useful","useful, serviceable, beneficial, profitable, advantageous; helpful",38,366
"commander","commander",59,366
"now","this moment, even now",80,366
"penalty","penalty, punishment",90,365
"belonging","Added to noun stems, forms adjectives, usually with the sense ""belonging to"", ""dwelling in""",95,365
"mat","mat; wickerwork; wattle; plaited work of osiers or rushes",22,364
"turning","a turning round",50,364
"divided","broken apart; divided or separated by force",75,364
"muzzle","Hesychius' gives the definition as: κημός (kēmós, ""muzzle"").",89,364
"ascending","ascending",12,363
"rocket","a siliquose plant, probably a member of the genera Barbarea (wintercress or yellow rocket) or Sisymbrium (comprising several species of mustard and rocket)",64,363
"urban","of or belonging to a city; urban",6,363
"test","test, trial, inspection, examination",71,363
"leader","leading, leader",113,363
"tumor","swelling, tumour",30,362
"base","basis, foundation, pedestal, base, ground",13,362
"strip","A strip of papyrus wood",76,362
"apple","apple-, of the apple-tree",56,361
"form","shape, form",42,361
"man","man (adult male human)",131,361
"dam","dam; dyke",83,361
"groin","groin",32,360
"wearing","present active participle contracted of φορέω (phoréō)",39,360
"out","out, out of",72,360
"many","many, a lot of",54,360
"dome","dome, cupola, rotunda",89,360
"down","fine, soft down, as of young birds",60,359
"jaw","Jaw.",68,359
"coastal","that grows by the seaside",60,359
"god","God",144,359
"strange","unusual; strange",11,358
"whispering","whispering, slanderous",11,358
"city","A city of Boeotia dependent upon Haliartus",16,358
"hidden","hidden, covered, concealed",29,358
"oar","oar blade, hence generally, oar",25,358
"toothed","Having sharp teeth or tusks",86,358
"thief","thief",68,358
"rule","carpenter's line or rule",29,357
"peg","peg, pin, small stake",30,356
"strength","strength, might, power",69,356
"sterile","barren, sterile",23,355
"ancestor","forefather, ancestor",29,355
"connect","to connect, interweave, attach, unite; relate",47,355
"origin","beginning, origin",120,355
"shit","shit, especially of humans",87,355
"feather","feather, plume",35,354
"evening","evening",8,354
"town","a town on the southern coast of Thrace, near the mouth of the Hebrus",72,354
"fat","fat, rich",47,354
"last","shoemaker's last",38,354
"bite","bite, sting",27,353
"town","a town in Mysia, situated between the rivers Rhyndacus and Macestus",38,353
"tuna","A tunny fish",35,352
"opposite","opposite, opposed, contrary, conflicting, witherward",9,352
"powerful","having strength, power",81,352
"ending","Simple perfect infinitive ending",71,352
"dismissal","letting go, dismissal",12,351
"eternal","timeless, eternal; existing always, without beginning or end; not subject to generation or decay",37,351
"net","net",43,351
"knife","knife",73,351
"bound","connected, tied, bound, having been connected.",45,350
"back","Tectum, dorsal portion, outer surface.",51,350
"straight","straight; direct",98,350
"wandering","wandering, straying, vagrant",15,349
"crystal","crystal",15,349
"dead","dead",61,349
"reed","A reed, cane.",20,348
"viny","rich in vines",38,348
"go","to go, move, proceed, go along, move along",70,348
"apples","apocopic form of μῆλα (mêla), nominative/accusative/vocative plural of μῆλον (mêlon)",66,348
"old","that which has existed a long time; old, ancient, aged; established, lasting",12,347
"life","Combining form of life.",26,347
"patched","patched",95,347
"waving","waving (form)",70,347
"spring","spring, leap, jump",83,347
"comely","fair, comely, good-looking",126,347
"swim","to swim or float",151,347
"rocky","A specific epithet for plants associated with rocky places",4,346
"deadly","deadly, fatal",19,346
"hole","that which is bored, a hole",29,346
"tell","to tell of; to speak of",94,346
"surround","to be around (a place)",89,346
"poured","poured, shed",102,346
"nine","nine; 9",111,346
"continuous","continuous, contiguous, unintermitting",11,345
"form","to form, mould, fashion",49,345
"mixed","mixed",32,345
"ripe","ripe, softened (of fruit)",91,345
"peak","peak, summit, any jutting part of a mountain",55,345
"means","instrument, medium, or result of",121,345
"swift","swift, quick, fleet, rapid, speedy",10,344
"little","so little, so small",10,344
"former","former, old",17,344
"scattered","discharged, scattered",58,344
"fragment","that which is broken off, fragment, morsel",42,344
"scoop","small ladle or scoop",60,344
"to blow","to blow",99,344
"pure","pure",82,344
"skin","skin, hide",110,344
"drops","drops, as a urinary disease",21,343
"blessed","blessed; happy",88,343
"edge","edge, border, skirt, especially of cloth",71,342
"continuous","joined together, continuous",32,342
"shame","shame, disgrace; a state of dishonor or social ignominy",10,341
"break","to break, to break off, to break into pieces",14,341
"above","high, on high; from on high; from above",111,341
"ending","ending of the future passive participle (gerundive) of second-, third- and fourth-conjugation verbs",118,341
"voice","human voice; speech",121,341
"fork","fork, forked branch",132,341
"nail","a fingernail",41,340
"oral","Of or pertaining to the mouth.",56,340
"rare","rare, uncommon",79,340
"cliff","cliff, crag [5th c. BCE]",84,340
"obligation","obligation, liability, responsibility",13,339
"gem","Name of a gem, precious stone",16,339
"arm","to furnish with weapons, arm, equip; fit out; mobilize",60,339
"breast","Hesychius gives the definition as: στῆθος (stêthos, ""breast"").",59,339
"purple","Purple",57,339
"city","a city of Liburnia situated on the road from Aquileia to Siscia, now Senj or Segna",56,339
"no","no",111,339
"sparkling","sparkling",21,338
"middle","A position which is in between two (or more) of the kind indicated by the root.",32,338
"rooted","rooted",3,338
"motionless","unmoved, motionless",25,338
"dandy","elegant man about town, dandy, rake",16,338
"advanced","advanced, having been advanced",83,338
"vessel","Laconian drinking vessell used by soldiers",51,338
"strap","The thong or strap used to attach a pole to a yoke",59,338
"to thunder","to thunder",78,338
"to bend","to bend",16,337
"adjacent","bordering upon, adjoining, adjacent, neighbouring; close, near",10,337
"protect","to protect, rule over",36,337
"song","song, tune",83,337
"power","power, might, strength",28,336
"band","band for swathing infants",24,336
"town","a town in Crete, mentioned by Pliny",76,336
"interest","interest (on capital); usury",89,336
"ancient","ancient, early, primitive.",108,336
"god","The Lord, the God of Abraham and the Hebrew Tanakh; God, often God the Father",50,335
"peace","peace",79,334
"often","often, repeatedly",98,334
"sausage","sausage",14,333
"backwards","backwards",41,333
"oak","the tallest species of oak, the winter oak or Italian oak (with edible acorns), sacred to Jupiter",32,333
"fish","kind of freshwater fish",35,333
"mast","mast",75,333
"fireless","without fire, fireless",98,333
"to rain","to rain",96,333
"clearly","clearly, obviously, assuredly",85,333
"slope","slope, inclination",31,332
"parent","parent, mother, father",47,332
"make","contracted first-person singular present active indicative of ποέω (poéō)",88,332
"hearing","hearing, listening",116,332
"private","private",9,331
"slope","a slope, incline, inclination",56,331
"sore","sore, baneful, mournful",41,331
"pool","a body of standing water (such as a pond, lagoon, swamp, fen or pool)",26,330
"noble","patrician, noble",11,330
"town","an ancient town in Lusitania situated near the mouth of the Anas",70,330
"often","so often, so many times",49,329
"strand","strand, fibre",59,329
"river","Burcas, a river of Sarmatia mentioned by Ptolemy",68,329
"bunch","bunch of grapes",46,329
"sized","of such size, of such measure",106,329
"completely","fully; completely",129,329
"end","end; goal; purpose",27,328
"glue","glue, paste",44,328
"zonal","Of or belonging to a zone.",57,328
"extracted","extracted",26,328
"town","a town of Liburnia, whose ruins are situated near the modern town of Karlobag",19,328
"confusion","trouble, confusion",37,328
"full","full; filled; complete",16,327
"clean","to clean, cleanse",28,327
"city","The main city of Cynuria",29,327
"grasping","taking hold, seizing, catching",56,327
"club","club; cudgel",32,327
"aided","helped, aided, having been helped or aided",88,327
"icy","ice-cold, icy, frosty",8,326
"unusual","unusual",34,326
"prism","prism",29,326
"cold","frost, cold, chilliness",36,326
"weakness","asthenia; weakness",35,326
"hire","Hire (a city in Messenia, Greece)",94,326
"age","age, eternity, time",125,326
"lip","a lip",39,325
"spread","spread, laid, covered",50,325
"autumnal","of or in autumn, autumnal",63,325
"river","A river of Peloponnesus which forms the boundary between Messenia and Elis before flowing into the Ionian Sea",74,325
"drag","to draw, drag, or trail along",41,324
"tar","to smear with pitch, to tar",87,324
"river","a river in Dalmatia that flows into the Adriatic Sea, now the Zrmanja or Zermagna",7,323
"wisdom","wisdom (often personified)",16,323
"dry","dry, parched",22,323
"support","to prop, support",51,323
"false","lying, false, untrue",50,323
"odorless","Without smell, odorless, inodorous.",12,322
"girl","girl",118,322
"prayer","the thing prayed for, object of prayer, prayer",6,321
"mixed","mixed, mixed together, mixed up, mingled, intermingled, combined; having been mixed, etc.",15,321
"fearful","fearful, afraid, apprehensive, timid",11,321
"hated","hated, hateful",38,321
"dull","Blunt, dull, not sharp, dim.",31,321
"wander","to wander off, out, forth",29,320
"cable","ship's cable, stern's cable",24,320
"needy","in want or need of; destitute of",36,320
"flesh","Meat, flesh.",42,320
"near","Almost, nearly, near, nigh, like, resembling.",65,320
"rapidly","quickly; rapidly",77,320
"name","a male given name [8th C. CE]",1,319
"open","broken up or open",12,319
"egg","egg (edible egg of a domestic fowl; the contents of such an egg or eggs used as food)",56,319
"city","a city on the west coast of Acarnania",22,319
"leech","leech, a blood-sucking annelid of the subclass Hirudinea",50,319
"my","my, of mine",86,319
"common","shared, common",10,318
"constantly","constantly, continuously",18,318
"tribe","A pre-Roman tribe of the interior of Sardinia",47,318
"rabbit","a rabbit",39,318
"remaining","remaining, the rest",23,318
"spring","water issuing from the ground, a spring",81,318
"using","using, employing",95,318
"coping","topmost course of stones in a wall, cornice, coping, frieze",33,317
"town","a town of Hispania Baetica on the river Anas",53,317
"shred","shred (piece cut off)",52,316
"lofty","lofty, high, tall",51,316
"dive","to plunge under water, dive",119,316
"light","combining form of φῶς (phôs, ""light"")",28,316
"wobble","to totter, wobble",75,316
"river","a river in Phrygia, mentioned by Pliny",14,315
"shore","shore",13,315
"young","young",64,315
"removed","removed",54,315
"series","a methodical series, arrangement, or order; regular line, row, or series",112,315
"dense","thick, close, compact, dense, crowded",9,314
"expertly","skillfully, shrewdly, expertly",32,314
"rosy","rosy",86,314
"river","a river in Macedonia, mentioned by Livy",102,314
"desire","desire, longing, especially amorous desire, eagerness",5,313
"town","A town of Lower Egypt situated on the delta of the Nile",16,312
"zonal","of or pertaining to a girdle or belt",30,312
"mound","little heap of earth (not as big as a tumulus)",34,312
"cloud","cloud, mist",51,312
"flow","contracted second-person singular present active indicative of ῥέω (rhéō)",53,311
"foolish","stupid, foolish",23,311
"wind","a wind",86,311
"roar","to cry aloud, bellow, roar; bray",131,311
"transparent","translucent, transparent",9,310
"prostitute","harlot, prostitute (of either sex)",14,310
"sausage","A kind of sausage",17,310
"stained","stained with blood, unclean, dirty, polluted",32,310
"wolf","wolf (Canis lupus)",70,310
"offspring","offspring, children, progeny, descendants, a line of descendants, family, race",68,310
"false","false, fake",106,310
"river","A river of Gallia Cisalpina flowing into the Adriatic Sea not far from Ravenna, now the Montone",95,310
"trunk","trunk of a tree (with the boughs lopped off)",79,310
"brace","each of the braces attached to the ends of the ἐπίκρια (""sailyards""), whereby the sails are shifted fore and aft, to catch the wind",13,309
"peninsula","a peninsula in Dalmatia, modern Croatia",14,309
"peter","Peter",11,309
"town","A town of Thebaid and capital of the first dynasties of Egypt",71,309
"strong","strong, staunch, mighty",49,309
"cluster","cluster or bunch of grapes, berries or similar fruits",51,309
"lever","lever, bar, crowbar",101,309
"hated","hated, abhorred (of persons and things)",76,308
"river","A river of Boeotia and tributary river of the Permessus",72,308
"roughness","rut, irregularity, rough spot or patch",20,307
"elegant","elegant, fine",16,307
"only","only",21,306
"watching","watching, spying",30,306
"dim","indistinct to the senses, dim, faint",48,306
"witness","witness",66,306
"electricity","Combining form of electricity.",126,306
"stalk","stem, stalk",81,306
"wild","wild, rough, harsh, savage, fierce, ferocious",32,305
"wound","wound, hurt",58,305
"skin","a peel or coat of an onion",100,305
"adult","full-grown, grown up, adult",42,304
"afterwards","afterwards, then, next",40,304
"river","A tributary river of the Lagous, in Sarmatia",27,304
"archives","the archives",71,304
"place","location, place, spot (see Latin locus)",57,304
"back","back, rear; surface",168,304
"clothed","dressed in clothing; i.e., being covered by an indumentum",21,303
"carved","carved",7,303
"bowl","bowl, pan",82,303
"covering","that which is thrown over, covering",2,302
"toys","trifles, toys, trumpery",20,302
"horny","Of horn.",16,302
"dwelling","dwelling-place, home, building",42,302
"surrounding","around, surrounding",48,302
"diet","diet, regimen",26,301
"penis","penis with the foreskin drawn back (cf. Latin verpa)",45,301
"before","Placed before, added, at the front, at the tip, before.",13,301
"obliging","ready to be of service or to oblige, obliging",98,301
"safe","unharmed, unhurt, secure",7,300
"cunning","cunning, deceitful, insidious",6,300
"good","good",67,300
"politely","courteously, politely, readily",17,299
"mucus","mucus; a slippery secretion from the mucous membranes",23,299
"mirror","mirror",24,299
"fork","two-pronged fork, hoe",39,299
"trust","to trust, rely on",47,299
"support","underlayer, support",184,299
"appearing","appearing etc.",21,298
"hostile","hostile (to a person, cause etc.), antagonistic",18,298
"turning","turning, movement; identical in origin to -tropy but more commonly associated with medicine, especially eye conditions.",39,298
"plant","A plant (of unknown kind)",51,298
"clouded","clouded, overcast",3,297
"plant","An unknown kind of plant of Syria",7,297
"contraction","contraction, drawing together",28,297
"becoming","coming to be.",44,297
"early","early in the day",81,297
"islands","A group of islands off the coast of Cyprus",66,297
"slow","backward, slow, dull, lazy, indolent, sluggish, unwilling, motionless, inactive, inert",39,296
"irrigate","to irrigate, to lead, convey or conduct (a liquid to a place)",72,296
"to owe","to owe",51,296
"cup","kind of cup or vase",41,295
"giant","A tall person.",3,294
"iron","iron, made of iron",19,294
"hasty","headlong; hasty; eager",56,294
"vein","a vein, blood vessel",110,294
"heart","the heart, as the seat of life, passion, desire, etc.",80,294
"theme","theme; topic",68,294
"board","board, slab",10,293
"spreading","spreading, scattering, dispersing, separating",28,293
"proper","proper, one's own",92,293
"certain","certain",67,293
"light","light (of the sun, stars etc.)",87,293
"witch","a witch, an enchantress, a (female) magician",87,293
"toothed","Having teeth, toothed; dentiferous",3,292
"number","a large number of things, a great number",29,292
"river","a river in Hispania Tarraconensis, flowing into the Atlantic Ocean, now the river Sella",13,291
"holy","Cretan Doric form of ἁγνός (hagnós) holy, pure",48,291
"common","of or from the people, common",23,290
"tasting","a tasting",56,290
"word","a word",101,290
"planet","planet (wandering star)",14,289
"city","A city of Bithynia on a gulf of Propontis",78,289
"vessel","pail, bucket, jar, cask, vessel for water or wine",129,289
"commander","commander, general, chief, master, person in charge",6,288
"serve","to serve as handmaid, be subservient to, attend upon, wait on, serve",22,288
"clothed","clothed, covered, dressed",28,288
"comber","comber (Serranus cabrilla)",31,288
"snake","snake (traditionally held as the poisonous snake viper, but perhaps also a constrictor)",26,288
"saucer","saucer (or similar broad, flat bowl)",44,288
"octopus","octopus",53,288
"bear","to carry, bear",96,288
"lot","a river in Aquitania, now the river Lot",90,288
"chaos","chaos; the primordial state of existence",35,287
"cavity","a hollow, cavity, cave, cavern, grotto, hole",36,287
"cancer","Cancer.",32,287
"all","all",75,287
"river","A river of Macedonia, now the Vardar",37,287
"mountain","A mountain of Thessaly, separated from the Olympus by the valley of Tempe",99,287
"as","as",3,286
"dark","black, dark, swarthy, murky",19,286
"chin","chin",36,286
"move","to move, remove",26,286
"oar","oar for rowing",25,286
"epic","epic",66,286
"full","Hesychius gives the definition as: μεστός (mestós, ""full, sated""), πλήρης (plḗrēs, ""full, satisfied""), μέγας (mégas, ""big"").",74,286
"traverse","to go along, pass or traverse",87,286
"foamy","foaming, foamy",15,285
"oak","an oak tree",17,285
"era","era or epoch from which time is measured",37,285
"scattered","scattered",18,285
"diseased","Having disease or abnormal condition.",97,285
"examination","close examination, scrutiny, test, inquiry",6,284
"tribe","A tribe of Dacia which dwelt on the Tibiscus",11,284
"measure","to measure or estimate",22,284
"fish","A kind of fish, perhaps sardine or mackerel.",70,284
"group","a group of smaller animals: a flock (of birds, sheep, etc.), a pack (of dogs, wolves, etc.), a swarm (of insects), etc.",79,284
"island","a small island off the coast of Cyprus",91,284
"river","A river of Thrace, now the Evros",19,283
"nose","The nose.",8,283
