word,kind,described,traits,name,why
Itea,genus,"Shrub or small tree with finely toothed leaves, hung in summer with long slender drooping spires of small creamy white flowers, each spire like a bottle brush. The autumn leaf turns deep red and holds late.","long drooping white flower spire; finely toothed leaf; deep red late autumn colour; shrub to small tree","white + spire","The corpus reads it as willow, which is Salix and has every right to the word. The drooping white spire is this plant's own and belongs to nothing else here."
Rubus,genus,"Arching canes armed with prickles that curve BACKWARD like hooks and catch on anything passing. Compound leaves, white or pink flowers, and a fruit built of many small juicy beads packed onto one core.","backward-hooked prickles that catch; arching cane; fruit of many small beads on a core; compound leaf","hook + berry","Chinese xuan gou zi is hanging hook. The hook is how the plant is met, usually by being caught on, and the berry is why anyone goes back to it."
Rhamnus,genus,"Thorny shrub with twigs ending in a hard spine, small toothed leaves, dull green flowers, and clusters of black berries. The bark and berries purge violently and were taken for that, and the berries give a yellow dye.","twigs ending in a spine; black berry; bark and berry purge violently; yellow dye","purge + berry","The purging is the whole reason it was ever gathered and named. Bramble belongs to Rubus, whose hooks and fruit are what that word means."
Lysimachia,genus,"Herb of damp ground with opposite or whorled leaves, carrying yellow or white star flowers either scattered in the leaf joints or packed into a dense curved spike that hangs over like a string of pearls.","dense curved white spike like strung pearls; yellow or white star flower; damp ground; creeping or upright","pearl + flower","Chinese zhen zhu cai is pearl vegetable, for that curved packed spike. The Latin is a king's name and reduced to town, which four unrelated genera then shared."
Eriophorum,genus,"Sedge of acid bog and wet moor. In summer each head opens into a tuft of pure white cotton wool, long and soft, and a whole moor of them moves together in the wind and can be seen from a mile off.","head of pure white cotton wool; acid bog and wet moor; moves as a whole field in wind; sedge","cotton + grass","This is already its name in English and the sight is unmistakable across a landscape. The corpus had it sharing the word onion with Allium, which is the onion."
Iodes,genus,"Woody tropical climber whose young stems, leaf undersides and flower clusters are covered in rusty or yellowish hairs, with small flowers and a hairy flattened fruit. It runs up into the canopy on other trees.","rusty hairs over stems, leaf backs and flowers; woody canopy climber; small flower; hairy flat fruit","hair + vine","The corpus reads it as violet, which is Viola. The hairiness is on every part of this plant and the climbing habit places it, and neither belongs to a violet."
Aesculus,genus,"Big tree with leaves split into five or seven large leaflets spreading from one point like fingers, upright candles of white or pink flowers in spring, and a thick spiny case that splits to one glossy brown nut too bitter to eat.","five to seven leaflets from one point; upright candle of flowers; spiny case with a glossy brown nut","seven + leaf","Chinese qi ye shu is seven-leaf tree and the spread of leaflets is the thing seen from a distance and underfoot. Oak is Quercus and cannot be shared."
Prunus,genus,"Tree or shrub with simple toothed leaves and five-petalled white or pink flowers that often open on bare wood before the leaves. The fruit is fleshy over one hard stone: plum, cherry, peach, apricot and almond are all this.","fleshy fruit over one hard stone; five-petal flower on bare wood; simple toothed leaf; plum, cherry, peach, almond","stone + fruit","One hard stone in a soft fruit is what every species of the genus has and what no neighbour has. Apricot, which the corpus picked, is one species out of a hundred."
Dracontomelon,genus,"Tall forest tree with pinnate leaves and small white flowers, whose fruit holds a flattened stone marked with pits and ridges that read unmistakably as a small human face. The sour flesh is pickled and eaten.","stone marked like a human face; tall forest tree; pinnate leaf; sour flesh pickled","face + seed","Chinese ren mian zi is human-face seed. Once the stone is seen the name is obvious and it is the reason the tree is known and the fruit collected."
Ficus,genus,"Break any part and white milk runs. The fruit is the strange thing: a hollow fleshy bag with all the flowers sealed INSIDE it, entered only by one small wasp that crawls in and dies there. Some kinds drop roots from their branches that reach the ground and thicken into new trunks.","white milky sap; hollow fruit with flowers sealed inside; one wasp per kind; aerial roots that become trunks","hollow + fruit","Cutting a fig open shows exactly this, a hollow filled with flowers, and no other plant fruits that way. The corpus was reading it as stone banyan tree, three roots for one idea."
Platanus,genus,"Big riverside tree whose bark flakes away in plates to leave a mottle of cream, olive and grey like camouflage. Broad lobed leaves, and hard bristly seed balls that hang on long strings through the winter after the leaves are gone.","bark flaking to a cream and olive mottle; seed balls hanging on strings all winter; broad lobed leaf; riverside","hang + ball","Chinese xuan ling mu is hanging bell tree. The balls swing on bare branches for half the year, which is when the tree is most looked at, and nothing else here does it."
Selaginella,genus,"Low creeping fern-ally making flat feathery sprays of tiny scale leaves set in four ranks, often shining blue-green in deep shade. One kind dries into a tight brown ball in drought and opens out green again within an hour of rain.","flat feathery spray of tiny scale leaves; often iridescent blue-green; curls into a dry ball and reopens when wet; deep shade","curl + moss","Chinese juan bai is curled cypress, for the drying into a ball. The corpus read a place name into it and produced Sexi made little, which describes nothing."
Sphagnum,genus,"The moss that builds the bog. Pale spongy heads packed together over acid ground, each plant holding many times its own weight in water and turning the water sour so little else will grow. Dead layers below it press slowly into peat, which is cut and dried and burnt.","holds many times its weight in water; turns water acid; builds and becomes peat; pale spongy head; bog","peat + moss","Chinese ni tan xian is peat moss. The corpus had it sharing the word sage with Salvia, which is the sage, and peat is both what the moss makes and what it is cut for."
Elymus,genus,"Tall tufted grass of dry and salted ground, with a stiff upright spike of paired spikelets and long straight awns standing out from it like bristles. Coarse, tough and grazed only when young.","stiff upright spike; long straight awns like bristles; tufted and coarse; dry salted ground","bristle + rye","The awns are long and stiff enough to catch on clothing, which is how the plant is met. Sand rye is already Leymus, so the awn does the separating."
Pteris,genus,"Fern whose frond divides once into long narrow straps spreading from the top of a wiry black stalk like an opened fan or a bird's spread tail. The spores run in an unbroken line under the rolled edge of each strap.","frond spreading like a fan or tail; long narrow straps; wiry dark stalk; spores in a line under the rolled edge","fan + fern","Chinese feng wei jue is phoenix tail fern and the spread is exactly that. The corpus was reading pig mane phoenix tail fern, five roots and two animals for one fern."
Pteridium,genus,"Bracken. A single tall stalk from a deep running rhizome opens into one huge coarse triangular frond, and the plant covers whole hillsides in an unbroken waist-high sheet that shades out everything under it.","one huge coarse triangular frond per stalk; deep running rhizome; covers whole hillsides; waist high","hill + fern","It is met as terrain rather than as a plant: a hillside under bracken is a different place to walk. That scale is what separates it from every other fern here."
Euphorbia,genus,"Break a stem and a thick white milk wells out that blisters skin and will blind an eye it touches. The plants look nothing alike, weeds, cactus-shaped trees, poinsettias, and what they share is that milk and a tiny false flower built of several real ones crowded into a cup.","caustic white milky latex that blisters and blinds; false flower built of many in a cup; shapes from weed to tree","burn + milk","The latex is the one thing true of every species in an enormous and otherwise unlike genus, and it is a warning worth carrying in the name. The corpus reduced the Latin to name."
Scirpus,genus,"Tall club-rush standing in shallow water, stems triangular or round with a loose cluster of brown spikelets near the top. The stems are cut, dried and woven flat into mats, seats and baskets.","cut and woven into mats and seats; stands in shallow water; brown spikelets near the tip; tall stems","mat + rush","Weaving is why these stems are cut and carried home, and it separates this from the rush whose pith was drawn for a wick and from the sedges beside it."
Schoenus,genus,"Wiry stiff rush of bog and wet heath, its stems dark and tough, carrying a small tight head of near-black shining spikelets that shows dark against pale bog grasses.","near-black shining spikelets; wiry stiff dark stem; bog and wet heath; small tight head","black + rush","The blackness of the head against the pale grass is what picks it out at a distance, and it needs a word of its own beside the wick rush and the mat rush."
Combretum,genus,"Climber or shrub of warm country with showy brushes of stamens, whose fruit carries four or five stiff papery wings set around it like the sails of a windmill, so that it spins as it falls.","fruit with four or five papery wings; spins as it falls; brush of stamens; climber or shrub","spin + seed","Chinese feng che zi is windmill seed. A seed that turns on the way down is rare enough to name by and is nothing like a rush, which is what the corpus had it sharing."
Eurya,genus,"Evergreen shrub of the tea kin with small leathery toothed leaves set in two flat ranks along the twig, and tiny greenish-white flowers whose smell is strong and distinctly unpleasant, carrying some way on a still day.","strong unpleasant flower smell; small leathery toothed leaf in two flat ranks; tiny greenish flower; black berry","stink + shrub","The smell reaches a person before the shrub is identified and is the one memorable thing about an otherwise plain evergreen. Wide, which the Latin gives, says nothing at all."
Euryale,genus,"Water plant whose round floating leaf grows to the span of two arms, quilted into ridges and studded on BOTH faces with sharp spines, as is the stalk and the flower bud. Purple flowers push up through it, and the seeds are dried and popped as food.","enormous quilted round floating leaf; sharp spines on both leaf faces and the stalk; purple flower; seeds popped as food","spine + lily","A waterlily covered in spines is unmistakable and the spines are what anyone reaching for it finds first. It cannot share the word wide with Eurya, which is a dry-land shrub."
Cremanthodium,genus,"Alpine composite of the high Himalaya whose large flower head hangs face DOWN on a curved woolly stalk, sheltering the florets from rain and cold, so that the plant looks bowed even in full flower.","flower head hanging face down; curved woolly stalk; high alpine; large single head","nod + flower","Chinese chui tou ju is nodding-head chrysanthemum. The bowed head is unlike anything beside it on the mountain and was coming out as creme wagtail hatred, which is not a plant."
Spiraea,genus,"Shrub of slender arching twigs that in flower disappear under dense flat or domed heads of tiny white or pink flowers, so thick along the branch that the whole shrub looks like breaking surf.","tiny flowers in dense flat or domed heads; slender arching twig; foams white along the whole branch; small toothed leaf","foam + flower","The massed flower along an arching branch really does read as foam, and it is how the shrub is recognised at a distance. Privet, which the corpus gave, is Ligustrum."
Ligustrum,genus,"Evergreen shrub with glossy opposite leaves, cut and clipped into dense hedges wherever a boundary is wanted. Loose panicles of small white flowers with a heavy sweet smell that many find sickly, then black berries.","clipped into dense hedges; glossy opposite evergreen leaf; heavy sweet white flower; black berry","hedge + shrub","It is the hedge plant, grown almost entirely for that and shaped by it, and the use is what everyone who meets it is doing to it."
Poa,genus,"The common grass of meadow and lawn, soft flat leaves whose tips fold into the shape of a small boat, loosely tufted, with an open delicate branching head. It is what a field of grass is mostly made of.","boat-shaped leaf tip; soft flat leaf; open delicate branching head; the common grass of meadow and lawn","meadow + grass","It is the grass of grassland, and saying so places it exactly. Bare grass was shared with three other genera, which left none of the four with a name."
Agrostis,genus,"Fine-leaved grass making a soft close turf, with a flowering head so finely branched that from a distance it reads as a haze of purple-grey over the ground rather than as separate stems.","extremely fine branching head like a haze; very fine leaf; close soft turf","fine + grass","The fineness is the whole character, in leaf, in stem and in the head, and it is what a hand laid on the turf feels."
Phleum,genus,"Grass carrying a dense cylindrical spike, stiff and blunt-ended and as thick as a finger, standing up like a cat's tail above the leaves. Cut and dried, it is the best of hay.","dense stiff cylindrical spike like a cat's tail; blunt end; cut for the best hay","tail + grass","The spike is a tail in shape, thickness and stiffness, and it is the one grass head anyone can name at a glance across a hayfield."
Crinum,genus,"Great bulb, often half out of the sand, with long thick strap leaves sprawling from it and an umbel of large white trumpet flowers on a solid stalk, opening at evening with a heavy sweet scent. Coast, riverbank and swamp edge.","great bulb half out of the sand; long thick strap leaves; umbel of large white trumpets; evening scent; coast and riverbank","shore + lily","It is the lily of sand and the water's edge, which is where it is met and what separates it from Lilium, the lily of the hill and the wood."
Sedum,genus,"Low succulent of bare rock, wall and roof, its small leaves swollen thick with water and packed along short stems, with flat heads of star flowers. It grows where there is no soil to speak of and survives being pulled up and left lying.","leaves swollen thick with water; bare rock, wall and roof; flat head of star flowers; survives with almost no soil","thick + leaf","The leaf is thick to the point that it is the whole plant, and it is what the fingers find. Houseleek, which the corpus offered, is a different plant that already owns the word."
Diospyros,genus,"Tree with glossy leathery leaves and a large orange fruit sitting in a stiff four-lobed cap, so astringent while firm that it dries the mouth, and honey-sweet once it goes soft. The heartwood of some is black, heavy and sinks in water.","large orange fruit in a stiff four-lobed cap; mouth-drying until soft; black heavy heartwood that sinks","cap + fruit","The stiff lobed cap stays on the fruit through picking, drying and selling, which is how it is always seen. The Latin means the god's fruit and was coming out as October wheat."
Draba,genus,"Tiny crucifer of high rock and arctic gravel, making a dense hard cushion of small hairy rosettes packed tight against the cold, with a few small white or yellow four-petalled flowers on short stalks just clear of it.","dense hard cushion of small rosettes; high rock and arctic gravel; hairy small leaf; four-petalled flower just clear of the cushion","cushion + cress","The cushion is a shape the cold forces on it and is how it is found, as a hard pad on bare rock. Whitetop was shared with two unrelated genera."
Arabis,genus,"Crucifer of rock ledge and scree, taller and looser than a cushion, with clasping grey-green leaves up the stem and a loose head of four-petalled white flowers, then long narrow flat pods.","rock ledge and scree; clasping grey-green stem leaves; loose head of white four-petal flowers; long flat pods","rock + cress","Rock cress is already its English name and it places the plant against the cushion cress of the high gravel, which is the neighbour it is most confused with."
Gastrochilus,genus,"Small orchid riding on bark, its lip swollen underneath into a deep rounded POUCH that holds nectar, set below a flat spreading front that is usually spotted. Short fleshy leaves in two ranks along a creeping stem.","lip swollen into a deep rounded pouch; spotted flat front to the lip; short fleshy leaves in two ranks; lives on bark","pouch + orchid","Chinese pen ju lan is basin-spur orchid and the Latin means belly lip. Both name the pouch, which is the one feature that tells it from the orchids around it."
Fimbristylis,genus,"Sedge of wet open ground, dense brown spikelets held in a loose umbel on slender stems that never stand still, the whole stand shifting together in the least wind. The style is fringed with fine hairs and drops away once the seed sets.","swaying slender stems; brown spikelet in a loose umbel; fringed style; wet open ground","sway + grass","Fringe plus sedge came out eighteen letters, because sedge is itself marsh grass. The Chinese piao fu cao names the swaying, which is shorter, seen from further off and just as true."
Iteadaphne,genus,"Laurel-family shrub or small tree of the warm south, leaves smooth and strongly aromatic when crushed, carrying its flowers singly or in twos in the leaf joints rather than in the usual cluster.","flowers borne singly, not in clusters; strongly aromatic crushed leaf; laurel kin; warm south","lone + laurel","The corpus reads it as willow, which is Salix and owns that word. Flowering one at a time is what its Chinese name picks out and what separates it in its own family."
Pseudosasa,genus,"Bamboo with one branch at each node and long tough culm sheaths that stay wrapped on the cane for years instead of falling, so an old cane is still half clothed in them.","sheaths that stay on the cane for years; one branch per node; upright cane; warm temperate","sheath + bamboo","Arrow bamboo is already Fargesia and this one is equally straight, so the clinging sheath does the separating and is visible on every old cane."
Liparis,genus,"Orchid with two broad soft pleated leaves rising from a small bulb, and the leaves look oiled, catching light with a greasy sheen unlike the matt leaves around them. A loose raceme of small greenish or dull purple flowers.","leaves with a greasy oiled sheen; two broad pleated leaves; small bulb; small dull flowers","shine + orchid","The Latin liparos is greasy and the sheen is real and odd enough to find it by in shade. River, which the corpus gave, belongs to nothing about the plant."
Pseudosedum,genus,"Succulent of dry stony ground with fleshy leaves scattered along upright stems, and small starry flowers in a loose head, taller and looser than the mats and cushions of true stonecrop.","fleshy leaves up an upright stem; taller and looser than stonecrop; dry stony ground; loose head of star flowers","false + thick + leaf","It is named against the stonecrop and looks like it until the stems go up instead of out, so the name has to carry both the likeness and the difference."
Paphiopedilum,genus,"Orchid whose lip is folded into a deep hollow SHOE, waxy and often veined, with a stiff shield above it and a pair of drooping side petals. The leaves are strap-like and usually mottled in two greens. One flower to a stem.","lip folded into a deep hollow shoe; mottled strap leaves; stiff shield above the lip; one flower per stem","shoe + orchid","Slipper orchid is its name in every language that has one, and the shoe is unmistakable. Pouch is already Gastrochilus, whose lip is a rounded sac rather than a shoe."
Epimedium,genus,"Wiry herb of woodland shade with thin leathery heart-shaped leaflets edged in fine spines, and sprays of small spidery flowers drawn out into long slender spurs. It is dug and dried as the famous goat herb.","heart-shaped leaflets edged with fine spines; spidery flower with long spurs; woodland shade; the goat herb","goat + herb","Chinese yin yang huo names it for what it does to goats, which is why it is gathered and why everyone who knows it knows it. Plant, which the corpus gave, says nothing."
Armoracia,genus,"Crucifer with huge coarse dock-like leaves and a long thick white taproot. Grate the root and the heat is immediate and goes straight up behind the nose and into the eyes, quite unlike the warm heat of ginger.","long thick white taproot; heat that goes up the nose; huge coarse leaves; grated fresh","nose + root","The burn is in the nose rather than the mouth, which is what tells it from ginger, and the root is the whole plant as far as anyone using it is concerned."
Veronica,genus,"Low sprawling herb with opposite toothed leaves and small flat four-lobed flowers of an intense sky blue, each with a pale eye at its centre. The seed case is flattened and notched into a heart.","intense sky-blue flat flower; pale eye at the centre; four lobes; flattened heart-shaped seed case","blue + eye","The blue with a pale centre is the plant, seen from standing height in a lawn. The corpus was giving female name, which is a dictionary admitting it does not know."
Bromus,genus,"Tall soft grass whose large spikelets hang and nod on fine stalks, each one drawn out into long straight awns, and whose leaf sheaths are soft and hairy to the hand.","large nodding hanging spikelets; long straight awns; soft hairy leaf sheath; tall and soft","bird + oat","Chinese que mai is sparrow wheat, which places it beside the oat it resembles and apart from it. Oat alone belongs to Avena."
Solanum,genus,"Flowers open as a five-pointed star with a tight cone of yellow anthers standing in the middle, and the fruit is a berry. Potato, tomato, aubergine and the deadly nightshades are all built this way, and most of the green parts will make a person ill.","five-pointed star flower; cone of yellow anthers at the centre; berry; green parts poisonous","star + berry","The star with its yellow cone and then a berry is the whole enormous genus in one look, from the potato to the nightshade, and no neighbour does it."
Strychnos,genus,"Liana climbing on hooked tendrils, with three-veined leaves and a hard round fruit like an orange holding flat grey seeds. Those seeds carry the poison that is smeared on darts and that kills by locking every muscle at once.","seeds carrying a dart poison; climbs on hooked tendrils; three-veined leaf; hard round fruit","dart + poison","The poison is why the plant was ever sought, carried and traded, and a name that says so is a name worth having. Nightshade belongs to Solanum."
Callicarpa,genus,"Shrub with opposite toothed leaves that in autumn carries tight clusters of berries packed along the stem in a violet so bright and so purple that nothing else in the wood is that colour.","clusters of brilliant violet berries packed along the stem; opposite toothed leaf; autumn","purple + bead","Chinese zi zhu is purple bead. The colour is genuinely unlike anything else growing and is what the shrub is planted and remembered for. The Latin means beautiful fruit and was being read as tame ape."
Actinidia,genus,"Woody vine with big heart-shaped leaves, climbing high into trees, hung with egg-shaped fruits covered in short brown fur. Cut one and the flesh is vivid green or gold around a pale core ringed with tiny black seeds.","brown furry skin; vivid green flesh with a ring of black seeds; big heart-shaped leaf; woody climber","fur + fruit","The fur on the skin is the first thing a hand finds and the thing that makes the fruit unmistakable. The corpus was reading macaque monkey twice over for one vine."
Parasenecio,genus,"Tall woodland herb whose large leaves are cut into stiff angular lobes, broad and flattened and notched so that each reads as the shell of a crab. Small pale flower heads in a loose open spike above them.","leaf cut into stiff angular lobes like a crab shell; tall woodland herb; small pale heads in a loose spike","crab + leaf","Chinese xie jia cao is crab shell grass and the leaf really does read as one. Beside, which the corpus gave, is the Latin prefix alone with the rest of the word dropped."
Sinosenecio,genus,"Low herb of wet ground and stream side with rounded kidney-shaped leaves held flat near the ground on long stalks, and flat heads of small yellow daisies on upright stems above them.","rounded kidney-shaped basal leaf; wet ground and stream side; flat head of small yellow daisies","round + leaf + daisy","The round basal leaf is what is seen before the flower and what tells it from the ragged-leaved daisies it grows among. The corpus gave sinus, the prefix alone."
Pinellia,genus,"Aroid of field edge and waste ground with leaves split into three, and a narrow green hood from which the spadix runs out and up into a long thin whip, far longer than the hood itself. The small round tuber is acrid raw and is dried for sickness and phlegm.","spadix drawn into a long thin whip beyond the hood; leaf split into three; small round acrid tuber","whip + hood","The whip standing out well beyond the hood is unlike the cobra hood of Arisaema beside it, and it is the character the plant is picked out by."
Deutzia,genus,"Shrub whose leaves are covered in minute star-shaped hairs that make both faces feel like fine sandpaper, hung in season with masses of pure white starry flowers. The older twigs are hollow.","leaves rough as sandpaper from star-shaped hairs; masses of white starry flowers; hollow twigs","rough + leaf","The roughness is felt the moment a leaf is touched and is on every species. Misuse plus einkorn, which the corpus gave, is two wrong guesses joined."
Androsace,genus,"Tiny alpine making a tight mat or cushion of small rosettes on bare high ground, scattered over with small flat white or pink flowers each with a yellow or red eye, held just clear on short stalks like dots on the ground.","small flat flowers dotted over a tight cushion; yellow or red eye; bare high ground; tiny rosettes","ground + star","Chinese dian di mei is dot-ground plum, for flowers scattered across the surface. Unknown plant, which the corpus gave, is the dictionary shrugging, and forty-five species were sharing that shrug."
Photinia,genus,"Evergreen with thick leathery toothed leaves that catch the light like polished leather, and whose new growth flushes a brilliant red that holds for weeks. Flat heads of small white flowers with a rank smell, then red berries.","leaves glossy as polished leather; new growth flushing brilliant red; flat head of rank-smelling white flowers; red berry","shine + leaf","The Latin photeinos is shining and the leaf is genuinely polished-looking. Stone plus name-of-tree, which the corpus gave, is half a place and half an admission of ignorance."
Lejeunea,genus,"Minute pale green leafy liverwort spreading as a thin film over bark and over the surface of living leaves in wet forest, so fine that it reads as a bloom or a stain until a lens shows the overlapping shoots.","spreads as a thin film over bark and living leaves; minute and pale green; reads as a stain until magnified; wet forest","film + moss","Growing as a film on the surface of other leaves is unusual enough to name by, and it separates this from the ear-pouched and feathered liverworts beside it."
Parnassia,genus,"Bog and wet meadow herb with a rosette of heart-shaped leaves flat on the ground, and one white flower to a stalk, its five petals veined with fine green lines and set around five fringed golden bodies that glisten like drops of nectar but hold none.","single white flower per stalk; petals veined with green lines; fringed golden false stamens; heart-shaped basal rosette; wet meadow","plum + flower","Chinese mei hua cao is plum-flower grass, and the flat open five-petalled white flower really does read as plum blossom held low over a bog. Hymettus, which the corpus gave, is a mountain in Attica."
Spiradiclis,genus,"Low herb of shaded wet limestone in the far south, with opposite leaves and small white or pink tubular flowers set along a branch that COILS back on itself like a snail shell, opening one flower at a time from the outside in.","flower branch coiled like a snail shell; small tubular white or pink flower; shaded wet limestone; low herb","coil + flower","Chinese luo xu cao names the spiral order of the flowers, which is the one thing that marks it out among a great many small white-flowered herbs of the same rock."
Cirsium,genus,"Thistle with spiny wings running down the stem and leaves cut into spine-tipped lobes, carrying a head of purple florets. When it seeds, each seed hangs from a pappus of hairs that are themselves feathered along their length.","pappus hairs feathered along their length; spiny wings down the stem; purple floret head; spine-tipped leaf lobes","plume + thistle","Thistle alone was shared with Carduus, whose seed hairs are plain. The feathered pappus is the character that separates the two genera in every key."
Crotalaria,genus,"Legume whose pod swells into a dry papery bladder while the seeds inside shrink away from the wall, so that a ripe pod shaken in the hand rattles like a small gourd. Yellow pea flowers, often with a keel drawn to a twisted beak.","pod inflates into a papery bladder; loose seeds rattle when shaken; yellow pea flower; twisted keel","rattle + pod","The Latin crotalon is a rattle and Chinese xiang ling dou is ringing-bell bean. It is a test a child performs on meeting the plant and it works on every species."
Zanthoxylum,genus,"Spiny tree with pinnate leaves held up to the light showing them dotted all over with clear oil glands. The dried husk on the tongue is not simply hot: it buzzes and goes numb, a tingling that spreads and lasts, over a smell of lemon peel.","husk that makes the tongue buzz and go numb; clear oil dots through the leaf; spines on trunk and twig; lemon-peel smell","numb + pepper","Nothing else in food does what it does to the mouth, so the sensation names it exactly and unmistakably. Zeus bird timber, which the corpus gave, is a god and two guesses."
Radula,genus,"Leafy liverwort pressed so flat against bark or rock that the shoot reads as a single ribbon, each leaf carrying a small flat lobe folded tight under it against the stem. Thin dark mats, closely applied to the surface.","shoot flattened to a ribbon; leaves pressed flat to the surface; small flat lobe folded under each leaf; thin dark mat","flat + moss","Flatness is what the Latin scraper was reaching for and is what the hand and eye both find first. It separates it from the feathered, eared and filmy liverworts already named."
Chrysosplenium,genus,"Low creeping herb carpeting wet shade and stream sides, with small rounded scalloped leaves. The flowers have NO petals at all, and instead the leaves immediately around them turn a bright golden green, so that a whole patch glows yellow from a distance.","no petals at all; leaves around the flower turning bright golden green; rounded scalloped leaf; wet shade and stream side; forms carpets","gold + leaf","The gold is in the leaf because there is no petal to put it in, which is unusual enough to name by, and the Chinese jin yao names the same gold. Spleenwort is a fern and has nothing to do with it."
Paraphlomis,genus,"Mint-family herb of forest shade with a square stem, wrinkled opposite leaves and whorls of white or pale pink two-lipped flowers ringing the stem at intervals, shorter and softer than its open-ground relative.","flowers in rings around a square stem; forest shade; white or pale pink two-lipped flower; wrinkled opposite leaf","false + ring + flower","It is named against Phlomoides and looks like it, so the name has to carry the likeness and the difference. The corpus was giving beside, the prefix alone with the rest dropped."
Cypripedium,genus,"Orchid of the ground rather than the tree, with strongly pleated ribbed leaves up the stem and a flower whose lip is blown up into a deep hollow bowl like a ladle, held under a spreading hood with two twisted ribbons hanging at the sides.","lip swollen into a deep ladle-shaped bowl; strongly pleated ribbed leaves; twisted side petals; grows in the ground","spoon + orchid","Chinese shao lan is ladle orchid and the pouch is rounded and open like one. Shoe is already Paphiopedilum, whose lip is a closed slipper, and the two are told apart exactly there."
Heptapleurum,genus,"Tree or scrambling shrub whose leaf is divided into seven or nine leaflets all spreading from the top of one long stalk, so that each leaf reads as a webbed foot or an open umbrella held above the branch.","leaflets spreading from one point like a webbed foot; seven to nine leaflets; long leaf stalk; tree or scrambler","goose + foot","Chinese e zhang chai is goose-foot firewood and the spread of leaflets is exactly a goose's foot. Seven leaf is already Aesculus, whose leaflets are broad and blunt rather than webbed."
Lindera,genus,"Laurel-family shrub whose leaves and young twigs, scratched or broken, give off a strong warm spice smell with lemon behind it. Small yellow flowers come on bare wood before the leaves, then glossy black berries.","strong spice and lemon smell from scratched twig and leaf; yellow flowers on bare wood before the leaves; glossy black berry","spice + bush","Spicebush is already its English name and the smell is the plant: nothing else in the wood answers to a scratched twig that way. Lindos is an island and mistress is a guess."
Henckelia,genus,"Herb of shaded limestone in the warm south, opposite hairy leaves, pale purple or white two-lipped tubular flowers, and a long straight slender capsule that dries and splits lengthwise into two halves which then twist apart like a wrung cloth.","long straight slender capsule; the two halves twist apart on splitting; opposite hairy leaf; shaded limestone; two-lipped tubular flower","twist + pod","The twisting capsule is the character the genus is keyed on and is still there on a dried plant months later. Its neighbours on the same rock are already named by cliff and bell and trumpet."
Morinda,genus,"Tree, shrub or vine with big glossy veined leaves, whose fruit is many berries fused into one lumpy pale body with a warty surface. Ripe, it smells strongly and unmistakably of rancid cheese, and it is drunk as a tonic all the same. The root gives a red dye.","fruit of fused berries with a lumpy warty surface; powerful rancid cheese smell when ripe; red dye from the root; glossy veined leaf","stink + fruit","The smell reaches a person across a clearing and is what everyone who has met the fruit remembers. Stink shrub is Eurya, a dry-land evergreen, so the pair are never confused."
Globba,genus,"Small ginger of forest shade whose flower spike arches over and hangs, the yellow or orange flowers held far out on long slender curved stalks so that they bob and turn at the least movement of air.","flowers on long slender curved stalks that bob in any air; arching hanging spike; yellow or orange; small forest ginger","dance + ginger","Chinese wu hua jiang is dancing-flower ginger and the movement is genuinely the thing seen first, the flowers turning while the rest of the plant is still."
Adonis,genus,"Herb of alpine turf and dry steppe with leaves cut into fine feathery threads, and a single cup-shaped flower held above them, glossy enough to catch the sun, brilliant yellow or blood red, opening while the ground is still cold.","single glossy cup-shaped flower; brilliant yellow or blood red; leaves cut to fine feathery threads; opens early on cold ground","gold + cup","Chinese ce jin zhan hua is side golden-cup flower. The flower is cupped, lacquer-bright and solitary, which is the whole plant at a distance."
Rorippa,genus,"Crucifer of ditch, wet field and pond edge, with lyre-shaped or deeply cut leaves and small four-petalled yellow flowers, then short curved pods. The leaf is peppery and is picked and eaten.","wet ditch and field edge; small yellow four-petal flower; lyre-shaped cut leaf; peppery edible leaf; short curved pod","wet + cress","It is the cress of standing water, which places it exactly against the cushion cress of high gravel and the rock cress of dry ledges already named."
Phedimus,genus,"Succulent of rock and roadside with FLAT toothed fleshy leaves rather than the swollen cylinders of true stonecrop, in flat heads of yellow star flowers. The young leaves are gathered and cooked as a vegetable.","flat toothed fleshy leaf, not cylindrical; flat head of yellow star flowers; rock and roadside; young leaves eaten","flat + thick + leaf","Thick leaf is Sedum, whose leaves are swollen into cylinders. This one is thick and flat at once, which is exactly the difference and exactly what the hand finds."
Commelina,genus,"Sprawling herb whose flowers push out of a folded boat-shaped bract, each with TWO large bright blue petals standing up like ears and a third small and pale below. A flower opens at dawn and is gone by noon.","two large blue petals and one small pale one; flower lasts a single morning; folded boat-shaped bract; sprawling succulent stem","day + flower","The flower lasts one morning and the plant is named for it in every language. Blue, which is what is seen, is shared with too much else to carry the name alone."
Stachyurus,genus,"Shrub whose slender bare twigs hang, through the last of winter, long stiff drooping spikes of pale yellow bell flowers set in even rows, like strings of beads or a row of small lanterns, all before a single leaf opens.","long stiff drooping flower spikes on bare wood; pale yellow bells in even rows; flowers before the leaves; late winter","hang + spike","The Latin means spike tail and the spikes hang from bare twigs in the dead of the year, which is when the shrub is seen and the only time it can be mistaken for nothing else."
