term,parts,where,kind
neuromuscular,"nerve + muscle + of",judged,verdict
neuropathy,"nerve + disease",judged,verdict
neurotoxin,"nerve + poison",judged,verdict
nevus,"skin + mark",judged,verdict
newborn,"new + born",judged,verdict
nick,"small + cut",judged,verdict
nickel,"white + atom",atom,proposal
nicotine,"alert + addict + drug",drug,proposal
nihonium,"danger + atom",atom,proposal
niobium,"snow + atom",atom,proposal
nitroglycerin,"heart + vessel + open",drug,proposal
nobelium,"prize + atom",atom,proposal
northwest,"north + west",judged,verdict
novocaine,"numb + pain + drug",drug,proposal
nucleotide,"nucleus + unit",judged,verdict
oak,"nut + cup + tree",tree,proposal
oat,"grain + plant",plant,proposal
obsidian,"lava + glass",rock,proposal
oganesson,"join + atom",atom,proposal
omeprazole,"stomach + acid + block",drug,proposal
onion,"sharp + smell + bulb",plant,proposal
onset,"on + set",judged,verdict
orchid,"complex + flower",flower,proposal
oregano,"strong + smell + herb",judged,verdict
orifice,"body + hole",judged,verdict
ornithine,"amino + acid",judged,verdict
oropharynx,"mouth + throat",judged,verdict
osmium,"wing + atom",atom,proposal
osteoblast,"bone + bud + cell",judged,verdict
osteomyelitis,"bone + marrow + swell",judged,verdict
osteosarcoma,"bone + cancer",judged,verdict
outdoor,"out + door",judged,verdict
outflow,"out + flow",judged,verdict
overgrowth,"over + growth",judged,verdict
overhead,"over + head",judged,verdict
oxidase,"oxygen + enzyme",judged,verdict
oxidoreductase,"oxygen + move + enzyme",judged,verdict
oxime,"nitrogen + oxygen + group",judged,verdict
oxycodone,"strong + pain + drug",drug,proposal
oxygen,"breath + atom",atom,proposal
oxytocin,"bond + birth + hormone",drug,proposal
pacemaker,"pace + make + agent",judged,verdict
pall,"coffin + cloth",judged,verdict
palladium,"wise + atom",atom,proposal
palm,"crown + leaf + tree",tree,proposal
pancreatitis,"pancreas + swell",judged,verdict
pansy,"face + flower",flower,proposal
papilla,"small + bump",judged,verdict
papilloma,"bump + growth",judged,verdict
paracetamol,"pain + fever + drug",drug,proposal
paralysis,"no + move",judged,verdict
parenchyma,"work + tissue",judged,verdict
paresis,"weak + palsy",judged,verdict
parsley,"green + curl + herb",plant,proposal
patella,"knee + bone",judged,verdict
pathway,"path + way",judged,verdict
pea,"round + pod + seed",plant,proposal
peanut,"under + ground + nut",plant,proposal
peat,"bog + plant",rock,proposal
pecan,"sweet + nut + tree",tree,proposal
peduncle,"flower + stalk",judged,verdict
pegmatite,"big + crystal",rock,proposal
pendant,"hang + jewel",judged,verdict
penicillin,"bacteria + kill + drug",drug,proposal
penny,"small + coin. A currency",judged,verdict
peony,"big + round + flower",flower,proposal
pepper,"hot + fruit",plant,proposal
peptidase,"peptide + enzyme",judged,verdict
peptide,"short + protein + chain",judged,verdict
pericarditis,"heart + sac + swell",judged,verdict
pericardium,"around + heart",judged,verdict
peridotite,"green + grain",rock,proposal
peritoneum,"belly + lining",judged,verdict
peritonitis,"belly + lining + swell",judged,verdict
peroxidase,"peroxide + enzyme",judged,verdict
peroxide,"beyond + oxide",judged,verdict
pesticide,"pest + kill",judged,verdict
petunia,"trumpet + flower",flower,proposal
phalanx,"finger + bone",judged,verdict
pharmacology,"drug + study",judged,verdict
pharynx,"throat + passage",judged,verdict
phenol,"ring + alcohol",judged,verdict
phenylalanine,"phenyl + amino + acid",judged,verdict
phosphatase,"phosphate + enzyme",judged,verdict
phosphorus,"light + atom",atom,proposal
phyllite,"silk + press",rock,proposal
pickup,"pick + up",judged,verdict
pie,"fill + crust",judged,verdict
pine,"bundle + conifer",tree,proposal
pinna,"outer + ear",judged,verdict
pituitary,"brain + gland",judged,verdict
plague,"spread + sickness",judged,verdict
plaque,"flat + patch",judged,verdict
platinum,"noble + atom",atom,proposal
pleura,"lung + lining",judged,verdict
plexus,"nerve + net",judged,verdict
plunge,"down + rush",judged,verdict
plutonium,"far + atom",atom,proposal
pneumonia,"lung + swell + sickness",judged,verdict
poker,"stir + rod",judged,verdict
polo,"horse + ball + game",judged,verdict
polonium,"shake + atom",atom,proposal
polydactyly,"many + finger + state",judged,verdict
polymerase,"polymer + enzyme",judged,verdict
polysaccharide,"many + sugar",judged,verdict
pomegranate,"red + seed + fruit",tree,proposal
pons,"bridge + of + brain",judged,verdict
poplar,"tall + fast + tree",tree,proposal
poppy,"red + sleep + flower",flower,proposal
porcelain,"fine + clay",judged,verdict
porphyrin,"purple + ring",judged,verdict
portrait,"face + picture",judged,verdict
poster,"wall + sheet",judged,verdict
potassium,"ash + atom",atom,proposal
potato,"under + ground + stem",plant,proposal
praseodymium,"wind + atom",atom,proposal
prednisone,"swell + immune + drug",drug,proposal
primer,"first + coat",judged,verdict
primordium,"first + form",judged,verdict
primrose,"early + flower",flower,proposal
probe,"feel + search",judged,verdict
progesterone,"pregnancy + hormone",judged,verdict
prolapse,"forward + fall",judged,verdict
proline,"amino + acid",judged,verdict
promethium,"fire + atom",atom,proposal
propofol,"sleep + anesthetic + drug",drug,proposal
prosthesis,"false + part",judged,verdict
protactinium,"brief + atom",atom,proposal
protease,"protein + enzyme",judged,verdict
proteinase,"protein + enzyme",judged,verdict
proteinuria,"protein + urine",judged,verdict
protozoan,"one + cell + animal",judged,verdict
pseudoephedrine,"nose + open + drug",drug,proposal
puberty,"sex + ripe + age",judged,verdict
pudding,"soft + sweet + food",judged,verdict
pumice,"lava + foam",rock,proposal
pumpkin,"large + orange + gourd",plant,proposal
purine,"double + ring + base",judged,verdict
purpura,"purple + rash",judged,verdict
purse,"small + bag",judged,verdict
pyridine,"ring + nitrogen + base",judged,verdict
pyrimidine,"single + ring + base",judged,verdict
quail,"ground + bird",judged,verdict
quartzite,"sand + press",rock,proposal
queen anne's lace,"white + flat + flower",flower,proposal
radiography,"ray + picture",judged,verdict
radiotherapy,"ray + therapy",judged,verdict
radish,"sharp + root",plant,proposal
radium,"beam + atom",atom,proposal
radon,"trace + atom",atom,proposal
railroad,"rail + road",judged,verdict
railway,"rail + way",judged,verdict
rake,"tooth + tool",judged,verdict
rally,"again + gather",judged,verdict
ramp,"slope + way",judged,verdict
rap,"sharp + knock",judged,verdict
rash,"skin + spot",judged,verdict
realism,"real + way",judged,verdict
rebound,"again + bound",judged,verdict
recess,"set + back + space",judged,verdict
rectum,"straight + gut",judged,verdict
redbud,"trunk + flower + tree",tree,proposal
reductase,"reduce + enzyme",judged,verdict
redwood,"tall + red + conifer",tree,proposal
reed,"tall + water + grass",plant,proposal
reflux,"back + flow",judged,verdict
reform,"again + form",judged,verdict
retail,"small + sell",judged,verdict
reticulum,"small + net",judged,verdict
retina,"eye + screen",judged,verdict
retinopathy,"retina + disease",judged,verdict
retrograde,"back + step",judged,verdict
rhenium,"river + atom",atom,proposal
rhinitis,"nose + swell",judged,verdict
rhodium,"flower + atom",atom,proposal
rhododendron,"large + shrub + flower",flower,proposal
rhyolite,"light + fire",rock,proposal
ribbon,"narrow + strip",judged,verdict
ribose,"five + carbon + sugar",judged,verdict
rice,"water + grain",plant,proposal
rickets,"soft + bone + sickness",judged,verdict
roentgenium,"see + atom",atom,proposal
rose,"thorn + smell + flower",flower,proposal
rosemary,"needle + smell + herb",plant,proposal
rotavirus,"wheel + virus",judged,verdict
rowan,"red + cluster + tree",tree,proposal
rubber tree,"rubber + sap + tree",tree,proposal
rubidium,"red + atom",atom,proposal
rum,"sugar + spirit",judged,verdict
ruthenium,"still + atom",atom,proposal
rutherfordium,"structure + atom",atom,proposal
rye,"grain + plant",plant,proposal
sacrum,"base + spine + bone",judged,verdict
sage,"soft + gray + herb",plant,proposal
samarium,"power + atom",atom,proposal
sandalwood,"burn + smell + wood",tree,proposal
sandstone,"sand + stone",rock,proposal
sarcoma,"flesh + cancer",judged,verdict
satellite,"go + around + body",judged,verdict
scandium,"soft + atom",atom,proposal
scapula,"shoulder + blade",judged,verdict
scarlet,"deep + red",judged,verdict
schist,"slice + stone",rock,proposal
scissors,"twin + blade",judged,verdict
scleroderma,"hard + skin",judged,verdict
sclerosis,"hard + state",judged,verdict
scoria,"lava + hole",rock,proposal
scrotum,"seed + sac",judged,verdict
seaborgium,"force + atom",atom,proposal
selenium,"moon + atom",atom,proposal
semicircular,"half + circle + of",judged,verdict
septum,"divide + wall",judged,verdict
sequoia,"giant + conifer",tree,proposal
serine,"amino + acid",judged,verdict
serotonin,"mood + signal",drug,proposal
serpentinite,"green + scale + rock",rock,proposal
sertraline,"mood + lift + drug",drug,proposal
shale,"page + stone",rock,proposal
shank,"lower + leg",judged,verdict
shingle,"roof + board",judged,verdict
shovel,"dig + tool",judged,verdict
shunt,"turn + aside",judged,verdict
sickle,"reap + blade",judged,verdict
sickness,"sick + state",judged,verdict
sildenafil,"sex + blood + drug",drug,proposal
silica,"sand + mineral",judged,verdict
silkworm,"silk + worm",judged,verdict
siltstone,"silt + stone",rock,proposal
sinus,"bone + hollow",judged,verdict
sinusitis,"sinus + swell",judged,verdict
sinusoid,"wave + curve",judged,verdict
ski,"snow + slide",judged,verdict
skim,"take + top",judged,verdict
slag,"melt + waste",judged,verdict
slash,"long + cut",judged,verdict
slate,"board + stone",rock,proposal
sling,"hang + strap",judged,verdict
slipper,"soft + shoe",judged,verdict
sludge,"thick + mud",judged,verdict
snapdragon,"mouth + flower",flower,proposal
soapstone,"soap + stone",rock,proposal
sociology,"society + study",judged,verdict
sodium,"salt + atom",atom,proposal
soprano,"high + voice",judged,verdict
sorghum,"tall + dry + grain",plant,proposal
southeast,"south + east",judged,verdict
soybean,"oil + bean",plant,proposal
spectrometry,"spectrum + measure",judged,verdict
spectroscopy,"spectrum + view + craft",judged,verdict
spinach,"dark + leaf + plant",plant,proposal
spindle,"turn + rod",judged,verdict
spruce,"sharp + conifer",tree,proposal
squash,"soft + gourd",plant,proposal
stature,"stand + height",judged,verdict
stenosis,"narrow + state",judged,verdict
sternum,"chest + bone",judged,verdict
stomatitis,"mouth + swell",judged,verdict
strabismus,"cross + eye",judged,verdict
strawberry,"red + seed + berry",plant,proposal
streptococcus,"chain + round + microbe",judged,verdict
striatum,"stripe + brain + part",judged,verdict
stricture,"narrow + place",judged,verdict
stroma,"frame + tissue",judged,verdict
strontium,"burst + atom",atom,proposal
stub,"short + rest",judged,verdict
stunt,"bold + feat",judged,verdict
subclass,"under + class",judged,verdict
subcutaneous,"under + skin + of",judged,verdict
subdivision,"under + division",judged,verdict
subfamily,"under + family",judged,verdict
subgroup,"under + group",judged,verdict
submarine,"under + sea",judged,verdict
subunit,"under + unit",judged,verdict
sugarcane,"sweet + tall + grass",plant,proposal
suicide,"self + kill",judged,verdict
sulcus,"brain + groove",judged,verdict
sulfonamide,"sulfur + amide",judged,verdict
sulfoxide,"sulfur + oxide",judged,verdict
sumac,"sour + shrub",judged,verdict
summary,"short + account",judged,verdict
sunday,"sun + day",judged,verdict
sunflower,"sun + face + flower",flower,proposal
superfamily,"over + family",judged,verdict
supplement,"add + fill",judged,verdict
suture,"join + seam",judged,verdict
sweet pea,"wing + vine + flower",flower,proposal
sweet potato,"sweet + root",plant,proposal
sycamore,"patch + bark + tree",tree,proposal
syncope,"sudden + faint",judged,verdict
syndactyly,"joined + finger + state",judged,verdict
syndrome,"sign + set",judged,verdict
synthase,"build + enzyme",judged,verdict
synthesis,"put + together",judged,verdict
syrup,"thick + sugar + water",judged,verdict
tachycardia,"fast + heart",judged,verdict
talus,"ankle + bone",judged,verdict
tamarind,"sour + pod + tree",tree,proposal
tandem,"one + behind",judged,verdict
tantalum,"charge + atom",atom,proposal
tea,"drink + leaf + plant",plant,proposal
teak,"oil + hard + wood",tree,proposal
technetium,"craft + atom",atom,proposal
technique,"do + way",judged,verdict
tellurium,"earth + atom",atom,proposal
tennessine,"great + atom",atom,proposal
tenor,"middle + voice",judged,verdict
teratoma,"mixed + tissue + growth",judged,verdict
terbium,"glow + atom",atom,proposal
terrorism,"fear + rule",judged,verdict
testosterone,"male + hormone",judged,verdict
tetrachloride,"four + chlorine + salt",judged,verdict
tetracycline,"bacteria + block + drug",drug,proposal
thalamus,"brain + relay",judged,verdict
thallium,"stick + atom",atom,proposal
thistle,"sharp + flower + plant",plant,proposal
thorium,"roar + atom",atom,proposal
threonine,"amino + acid",judged,verdict
thrombosis,"clot + state",judged,verdict
thulium,"beyond + atom",atom,proposal
thyme,"small + smell + herb",judged,verdict
thymidine,"thymine + sugar",judged,verdict
thymocyte,"thymus + cell",judged,verdict
thymus,"chest + gland",judged,verdict
thyroid,"throat + gland",judged,verdict
thyroiditis,"thyroid + swell",judged,verdict
tibia,"shin + bone",judged,verdict
titanium,"strong + atom",atom,proposal
tobacco,"smoke + leaf + plant",plant,proposal
toenail,"toe + nail",judged,verdict
tomato,"red + soft + fruit",judged,verdict
tomography,"slice + writing",judged,verdict
tonsil,"throat + gland",judged,verdict
torch,"carry + flame",judged,verdict
torpedo,"water + bomb",judged,verdict
transaminase,"amine + move + enzyme",judged,verdict
transduction,"across + lead",judged,verdict
transferase,"transfer + enzyme",judged,verdict
transfusion,"blood + pour",judged,verdict
translocation,"across + place + move",judged,verdict
transplant,"across + plant",judged,verdict
travertine,"spring + lime",rock,proposal
tricolor,"three + colour",judged,verdict
triphosphate,"three + phosphate",judged,verdict
trough,"long + vessel",judged,verdict
truck,"goods + cart",judged,verdict
tryptophan,"amino + acid",judged,verdict
tuff,"ash + stone",judged,verdict
tulip,"cup + flower",flower,proposal
tungsten,"wolf + atom",atom,proposal
turmeric,"yellow + root",judged,verdict
turnip,"round + root",plant,proposal
turpentine,"pine + oil",judged,verdict
tyrosine,"amino + acid",judged,verdict
ulna,"lower + arm + bone",judged,verdict
ultrasound,"beyond + sound",judged,verdict
ultraviolet,"beyond + violet",judged,verdict
underground,"under + ground",judged,verdict
unilateral,"one + side + of",judged,verdict
upgrade,"up + grade",judged,verdict
uptake,"up + take",judged,verdict
uranium,"break + atom",atom,proposal
urea,"water + waste",judged,verdict
ureter,"kidney + tube",judged,verdict
urethra,"water + tube",judged,verdict
urogenital,"urine + genital",judged,verdict
urticaria,"nettle + rash",judged,verdict
uveitis,"eye + coat + swell",judged,verdict
uvula,"throat + drop",judged,verdict
vaccine,"teach + body + drug",judged,verdict
vacuole,"cell + bubble",judged,verdict
valine,"amino + acid",judged,verdict
vamp,"again + patch",judged,verdict
vanadium,"beauty + atom",atom,proposal
vanilla,"sweet + smell + pod",judged,verdict
varnish,"hard + gloss + coat",judged,verdict
vasculitis,"vessel + swell",judged,verdict
veneer,"thin + face + layer",judged,verdict
ventricle,"heart + room",judged,verdict
vermilion,"bright + red",judged,verdict
vesicle,"small + sac",judged,verdict
vest,"arm + less + coat",judged,verdict
villus,"gut + hair",judged,verdict
vinegar,"sour + wine",judged,verdict
violet,"purple + small + flower",flower,proposal
violin,"bow + string + box",judged,verdict
volvulus,"gut + twist",judged,verdict
vulva,"outer + sex + part",judged,verdict
walnut,"fold + nut + tree",judged,verdict
wan,"pale + weak",judged,verdict
warfare,"war + fare",judged,verdict
warfarin,"blood + clot + block",drug,proposal
water lily,"float + water + flower",flower,proposal
watermelon,"red + water + fruit",plant,proposal
weed,"not + want + plant",plant,proposal
wheat,"bread + grain",plant,proposal
willow,"weep + water + tree",tree,proposal
wisteria,"hang + purple + flower",flower,proposal
wreath,"flower + ring",judged,verdict
wrench,"twist + tool",judged,verdict
xenon,"alien + atom",atom,proposal
xylene,"double + methyl + benzene",judged,verdict
yam,"large + root",plant,proposal
yarrow,"flat + white + flower",flower,proposal
yew,"red + seed + conifer",tree,proposal
ytterbium,"memory + atom",atom,proposal
yttrium,"bulb + atom",atom,proposal
yucca,"sword + leaf + plant",plant,proposal
zinc,"brittle + atom",atom,proposal
zinnia,"bright + round + flower",flower,proposal
zirconium,"opaque + atom",atom,proposal
