term,parts,where,kind
does,"grammar",grammar,verdict
dolphin,"small + whale",sense,verdict
donation,"donate + act",judged,verdict
done,"grammar",grammar,verdict
donkey,"small + horse",sense,verdict
donor,"donate + agent",judged,verdict
dorsal,"back + of",judged,verdict
dosage,"dose + ness",judged,verdict
double,"two + fold",sense,verdict
doubtful,"doubt + full",affix,verdict
downpour,"heavy + rain",sense,verdict
downward,"down + oriented",sense,verdict
dozen,"twelve + group",sense,verdict
dragonfly,"dragon + fly",sense,verdict
drainage,"drain + act",judged,verdict
driver,"drive + agent",judged,verdict
drizzle,"light + rain",sense,verdict
droopy,"droop + like",sense,verdict
ductile,"much + deform + without + fracture",sense,verdict
dune,"sand + hill",sense,verdict
duplex,"two + fold",judged,verdict
duplication,"duplicate + act",affix,verdict
earthquake,"earth + quake",compound,verdict
eastward,"east + oriented",sense,verdict
easy,"ease + like",affix,verdict
ebb,"tide + fall",sense,verdict
eccentric,"convention + unusual + differ",sense,verdict
echinacea,"cone + flower",sense,verdict
eclipse,"shadow + sun",sense,verdict
ecology,"life + place + study",sense,verdict
economy,"wealth + system",sense,verdict
ecosystem,"life + place + system",sense,verdict
ecotone,"ecosystem + between + zone",sense,verdict
eddy,"small + vortex",sense,verdict
edible,"eat + able",sense,verdict
edition,"edit + act",judged,verdict
education,"educate + act",affix,verdict
effect size,"effect + magnitude",sense,verdict
effective,"effect + like",affix,verdict
efficiency,"efficient + nature",sense,verdict
effusion,"effuse + act",judged,verdict
eighteen,"ten + eight",sense,verdict
eighth,"eight + order",sense,verdict
eighty,"eight + ten",sense,verdict
ejaculation,"ejaculate + act",judged,verdict
elasticity,"elastic + ness",judged,verdict
elder,"grammar",grammar,verdict
eldest,"grammar",grammar,verdict
election,"elect + act",affix,verdict
electricity,"electric + nature",affix,verdict
electron,"negative + particle",sense,verdict
elevation,"elevate + act",affix,verdict
eleven,"elevate + make",affix,verdict
eleventh,"eleven + order",sense,verdict
eligible,"requirement + satisfy",sense,verdict
eliminate,"remove",sense,verdict
elk,"big + deer",sense,verdict
elongation,"elongate + act",judged,verdict
embassy,"nation + speak + place",sense,verdict
embody,"body + give",sense,verdict
embryonic,"embryo + of",judged,verdict
emerald,"green + gem",sense,verdict
emigrate,"migrate + out",sense,verdict
eminence,"eminent + ness",judged,verdict
emission,"emit + act",sense,verdict
emphasize,"emphasis + do",judged,verdict
employee,"employ + target",affix,verdict
employer,"employ + agent",affix,verdict
employment,"employ + act",judged,verdict
emulate,"imitate",sense,verdict
enabled,"enable + done",affix,verdict
encapsulate,"shell + put",sense,verdict
encephalitis,"brain + inflammation",judged,verdict
encrypt,"secret + make",sense,verdict
endothermic,"heat + absorb",sense,verdict
endpoint,"end + point",sense,verdict
endurance,"endure + act",affix,verdict
engagement,"engage + act",judged,verdict
engineer,"engine + agent",affix,verdict
enhancement,"enhance + act",judged,verdict
enlargement,"large + make + act",judged,verdict
enqueue,"queue + put",sense,verdict
entail,"must + include",sense,verdict
entitlement,"right + give",sense,verdict
entity,"end + nature",affix,verdict
entrain,"cause + synchronize",sense,verdict
entrance,"entry + act",affix,verdict
entry,"enter + like",affix,verdict
epidermal,"epidermis + of",judged,verdict
equal,"equate + like",affix,verdict
equality,"equal + nature",affix,verdict
equation,"equate + act",affix,verdict
equator,"equate + agent",affix,verdict
equine,"horse + of",judged,verdict
equinox,"equal + night + day",sense,verdict
equipment,"equip + act",judged,verdict
equity,"own + share",sense,verdict
erection,"erect + act",judged,verdict
eruption,"erupt + act",judged,verdict
escarpment,"long + cliff",sense,verdict
esophageal,"esophagus + of",judged,verdict
especial,"special",sense,verdict
espresso,"strong + coffee",sense,verdict
essential,"essence + of",judged,verdict
establishment,"establish + act",judged,verdict
estuary,"river + mouth",sense,verdict
eternity,"eternal + ness",judged,verdict
ethereal,"air + like",sense,verdict
ethnic,"nation + of",judged,verdict
etymology,"word + origin",sense,verdict
evaluation,"evaluate + act",judged,verdict
evergreen,"leaf + keep + always",sense,verdict
everyone,"every + one",sense,verdict
everything,"every + thing",sense,verdict
evict,"force + out",sense,verdict
evident,"evidence + like",sense,verdict
exactly,"exact + manner",affix,verdict
exam,"examination",clipping,verdict
examination,"examine + act",judged,verdict
exception,"except + act",affix,verdict
excessive,"excess + like",affix,verdict
excited,"excite + done",affix,verdict
excretion,"excrete + act",judged,verdict
execute,"run",sense,verdict
execution,"execute + act",judged,verdict
executive,"execute + like",judged,verdict
exemplify,"example + give",sense,verdict
exhaustion,"exhaust + act",affix,verdict
exhaustive,"all + cover",sense,verdict
exhibition,"exhibit + act",judged,verdict
existence,"exist + act",affix,verdict
exoskeleton,"outer + shell",sense,verdict
exothermic,"heat + release",sense,verdict
expectation,"expect + act",affix,verdict
expected value,"probability + weigh + average",sense,verdict
expense,"spend + act",sense,verdict
expensive,"expense + like",affix,verdict
explanation,"explain + act",affix,verdict
explosion,"explode + act",sense,verdict
explosive,"explode + like",sense,verdict
extension,"extend + act",judged,verdict
extinction,"extinct + act",affix,verdict
extirpate,"local + extinct",sense,verdict
extraction,"extract + act",judged,verdict
extrapolate,"beyond + estimate",sense,verdict
extremity,"extreme + ness",judged,verdict
eyebrow,"eye + brow",sense,verdict
eyelid,"eye + lid",sense,verdict
eyespot,"simple + eye",sense,verdict
fable,"beast + story",sense,verdict
facet,"flat + face",sense,verdict
facetious,"humor + not + serious",sense,verdict
facial,"face + of",judged,verdict
facility,"facilitate + like",affix,verdict
faction,"face + act",affix,verdict
factory,"factor + like",affix,verdict
failure,"fail + act",sense,verdict
fairness,"fair + nature",affix,verdict
faithful,"faith + full",affix,verdict
falcon,"fast + eagle",sense,verdict
fallback,"spare + choice",sense,verdict
falsify,"false + prove",sense,verdict
familial,"family + of",judged,verdict
fang,"long + sharp + tooth",sense,verdict
farmer,"farm + agent",affix,verdict
farther,"grammar",grammar,verdict
farthest,"grammar",grammar,verdict
fastener,"fasten + agent",affix,verdict
faster,"fast + agent",affix,verdict
fatigue,"repeat + stress + weaken",sense,verdict
fatty,"fat + like",judged,verdict
fault tolerance,"tolerate + fault",sense,verdict
feasible,"do + able",sense,verdict
featuring,"feature + act",affix,verdict
fecal,"feces + of",judged,verdict
federal,"federation + of",judged,verdict
federation,"federate + act",judged,verdict
feedback,"feed + back",compound,verdict
feeder,"feed + agent",judged,verdict
feeler,"feel + agent",affix,verdict
feeling,"feel + act",affix,verdict
femoral,"femur + of",judged,verdict
fen,"wet + meadow",sense,verdict
fenugreek,"bitter + seed",sense,verdict
fermentation,"ferment + act",judged,verdict
fertility,"fertile + ness",judged,verdict
fertilization,"fertilize + act",judged,verdict
fertilize,"fertile + make",affix,verdict
fertilizer,"plant + food",sense,verdict
fetus,"embryo + grow",sense,verdict
fibrous,"fiber + like",affix,verdict
fifth,"five + order",sense,verdict
fifty,"five + ten",sense,verdict
figurative,"not + literal",sense,verdict
filler,"fill + agent",judged,verdict
film,"thin + layer",sense,verdict
filth,"foul + nature",sense,verdict
filthy,"filth + like",affix,verdict
filtration,"filter + act",judged,verdict
finance,"fin + act",affix,verdict
financial,"finance + of",judged,verdict
finch,"small + sparrow",sense,verdict
finish,"fin + like",affix,verdict
fir,"needle + pine",sense,verdict
firewood,"fire + wood",sense,verdict
first,"one + order",sense,verdict
fisher,"fish + agent",affix,verdict
fission,"nucleus + split",sense,verdict
fixation,"fix + act",judged,verdict
fixed,"fix + done",affix,verdict
fixture,"fix + thing",judged,verdict
fjord,"deep + sea + valley",sense,verdict
flattened,"flat + make + done",judged,verdict
flea,"jump + bug",sense,verdict
flexible,"flex + able",affix,verdict
flexure,"flex + ness",judged,verdict
flight,"fly + act",sense,verdict
flint,"spark + rock",sense,verdict
flipper,"swim + limb",sense,verdict
floater,"float + agent",affix,verdict
floodplain,"flood + plain",sense,verdict
flounder,"flat + fish",sense,verdict
flu,"influenza",clipping,verdict
fluorescence,"fluoresce + act",judged,verdict
fluoride,"fluorine + salt",judged,verdict
flux,"flow + rate + boundary",sense,verdict
folder,"file + hold",sense,verdict
follower,"follow + agent",affix,verdict
food,"feed + thing",sense,verdict
foolish,"fool + like",affix,verdict
foothill,"foot + hill",sense,verdict
forbidden,"forbid + make",affix,verdict
forced,"force + done",affix,verdict
forceful,"force + full",affix,verdict
ford,"river + cross + place",sense,verdict
fore,"front",sense,verdict
forearm,"front + arm",sense,verdict
forecast,"before + predict",sense,verdict
forehead,"front + head",sense,verdict
foreigner,"foreign + agent",affix,verdict
foresight,"before + sight",sense,verdict
foretell,"before + tell",sense,verdict
formate,"formic + salt",judged,verdict
formation,"form + act",judged,verdict
former,"form + agent",affix,verdict
formulation,"formulate + act",judged,verdict
forth,"forward",sense,verdict
fortify,"fort + make",affix,verdict
fortress,"fort + place",sense,verdict
forty,"four + ten",sense,verdict
forward,"front + oriented",sense,verdict
fossorial,"burrow + live",sense,verdict
foundation,"found + act",affix,verdict
fourth,"four + order",sense,verdict
fragility,"fragile + ness",judged,verdict
fragmentation,"fragment + act",judged,verdict
framework,"frame + work",compound,verdict
freckle,"face + dot",sense,verdict
freedom,"free + state",affix,verdict
freight,"cargo",sense,verdict
frequent,"often",sense,verdict
friendly,"friend + manner",affix,verdict
friendship,"friend + ship",compound,verdict
frighten,"fright + make",affix,verdict
fruitful,"fruit + full",affix,verdict
fully,"full + like",judged,verdict
fumarate,"fumaric + salt",judged,verdict
fundamental,"base + like",sense,verdict
funny,"fun + like",affix,verdict
furious,"fur + like",affix,verdict
furnish,"furniture + give",sense,verdict
further,"grammar",grammar,verdict
furthest,"grammar",grammar,verdict
fusion,"nucleus + join",sense,verdict
galaxy,"star + swarm",sense,verdict
gale,"strong + wind",sense,verdict
gambling,"gamble + act",judged,verdict
gangster,"gang + member",sense,verdict
gastric,"stomach + of",judged,verdict
gazelle,"small + deer",sense,verdict
generalize,"general + make",affix,verdict
generate,"gene + rate",compound,verdict
generation,"generate + act",sense,verdict
generator,"generate + agent",affix,verdict
generic,"genus + of",judged,verdict
genetic,"gene + of",judged,verdict
genital,"generate + of",judged,verdict
genitalia,"genital + thing",judged,verdict
genome,"gene + all",sense,verdict
genotype,"gene + trait",sense,verdict
geographic,"geography + of",judged,verdict
geological,"geology + of",judged,verdict
germinal,"germ + of",judged,verdict
germinate,"seed + sprout",sense,verdict
geyser,"hot + water + spout",sense,verdict
gift,"give + thing",sense,verdict
giraffe,"long + neck + deer",sense,verdict
giver,"give + agent",affix,verdict
gizzard,"grind + stomach",sense,verdict
glacier,"ice + river",sense,verdict
glandular,"gland + of",judged,verdict
glossary,"term + list",sense,verdict
glossy,"shine + like",sense,verdict
glove,"hand + covering",sense,verdict
glutamate,"glutamic + salt",judged,verdict
glycol,"sweet + alcohol",judged,verdict
gneiss,"band + rock",sense,verdict
goddess,"god + female",affix,verdict
golden,"gold + like",judged,verdict
golem,"make + body + animate",sense,verdict
golf,"club + ball + hole + sport",sense,verdict
gorge,"deep + valley",sense,verdict
government,"govern + act",affix,verdict
graceful,"grace + full",affix,verdict
gradient,"grade + agent",affix,verdict
graduate,"grade + do",judged,verdict
grainy,"grain + like",affix,verdict
grammar,"language + code",sense,verdict
grandchild,"child + child",sense,verdict
grandfather,"parent + father",sense,verdict
grandmother,"parent + mother",sense,verdict
grandparent,"grand + parent",compound,verdict
granite,"hard + rock",sense,verdict
granular,"grain + like",sense,verdict
granularity,"unit + scale",sense,verdict
granule,"grain + small",judged,verdict
granules,"granule + many",judged,verdict
grapefruit,"grape + fruit",compound,verdict
graphic,"graph + like",affix,verdict
grasshopper,"grass + hop + bug",sense,verdict
grassland,"grass + land",compound,verdict
gratify,"grate + make",affix,verdict
gravel,"small + rock + many",sense,verdict
greater,"grammar",grammar,verdict
greatest,"grammar",grammar,verdict
greedy,"greed + like",affix,verdict
grinder,"grind + thing",judged,verdict
growl,"beast + low + call",sense,verdict
growth,"grow + act",sense,verdict
guardian,"guard + agent",sense,verdict
guidance,"guide + act",judged,verdict
guilty,"guilt + like",affix,verdict
guitar,"string + instrument",sense,verdict
gulf,"big + bay",sense,verdict
gullible,"easy + deceive",sense,verdict
gully,"small + ravine",sense,verdict
gust,"sudden + wind",sense,verdict
gym,"body + train + place",sense,verdict
gypsum,"soft + crystal",sense,verdict
had,"grammar",grammar,verdict
haddock,"small + cod",sense,verdict
hairy,"hair + like",affix,verdict
half,"two + part",sense,verdict
halibut,"big + flat + fish",sense,verdict
halite,"salt + crystal",sense,verdict
handkerchief,"hand + cloth",sense,verdict
handy,"hand + like",affix,verdict
hangar,"plane + shed",sense,verdict
harden,"hard + make",affix,verdict
hardware,"hard + ware",compound,verdict
hare,"rabbit",sense,verdict
harmful,"harm + full",affix,verdict
harmonize,"harmony + make",sense,verdict
has,"grammar",grammar,verdict
haughty,"proud + distant",sense,verdict
having,"grammar",grammar,verdict
hawk,"small + eagle",sense,verdict
hazelnut,"bush + nut",sense,verdict
hazy,"haze + like",affix,verdict
header,"head + agent",affix,verdict
health,"whole + nature",sense,verdict
healthy,"health + like",affix,verdict
hearth,"fire + floor",sense,verdict
hedgehog,"thorn + rat",sense,verdict
helper,"help + agent",affix,verdict
hematite,"iron + ore",sense,verdict
hemisphere,"half + sphere",sense,verdict
hepatic,"liver + of",judged,verdict
her,"grammar",grammar,verdict
herbaceous,"herb + like",sense,verdict
herbivore,"plant + eat + agent",sense,verdict
herder,"herd + agent",sense,verdict
hereditary,"heredity + of",judged,verdict
hero,"brave + person",sense,verdict
heroic,"hero + like",affix,verdict
heron,"river + crane",sense,verdict
hers,"grammar",grammar,verdict
herself,"grammar",grammar,verdict
hesitant,"hesitate + agent",affix,verdict
hexagon,"six + side + shape",sense,verdict
higher,"grammar",grammar,verdict
highest,"grammar",grammar,verdict
highland,"high + land",compound,verdict
highly,"high + like",judged,verdict
highway,"big + road",sense,verdict
him,"grammar",grammar,verdict
himself,"grammar",grammar,verdict
hind,"back",sense,verdict
hinder,"hind + agent",affix,verdict
hindsight,"after + sight",sense,verdict
hippo,"river + beast",sense,verdict
hippopotamus,"river + horse",sense,verdict
his,"grammar",grammar,verdict
histamine,"tissue + amine",judged,verdict
histology,"tissue + study",judged,verdict
hockey,"stick + puck + sport",sense,verdict
holder,"hold + agent",affix,verdict
homeland,"home + land",sense,verdict
homeostasis,"self + regulate + stable",sense,verdict
honesty,"honest + like",affix,verdict
hoodlum,"violent + crime + agent",sense,verdict
hooligan,"rowdy + agent",sense,verdict
hoot,"owl + call",sense,verdict
hopeful,"hope + full",affix,verdict
hornet,"big + wasp",sense,verdict
horrible,"fear + able",sense,verdict
household,"house + hold",compound,verdict
humanity,"human + nature",affix,verdict
humeral,"humerus + of",judged,verdict
humidity,"humid + nature",affix,verdict
humiliation,"humiliate + act",affix,verdict
hundredth,"hundred + order",sense,verdict
hungry,"hunger + like",affix,verdict
hunter,"hunt + agent",affix,verdict
hurricane,"sea + cyclone",sense,verdict
hurtful,"hurt + full",affix,verdict
husband,"wed + male",sense,verdict
husk,"seed + covering",sense,verdict
hydrate,"water + compound",judged,verdict
hydraulic,"water + of",judged,verdict
hydride,"hydrogen + salt",judged,verdict
hydroxide,"hydrogen + oxide",judged,verdict
hydroxy,"water + oxygen group",judged,verdict
hyena,"laugh + wild + dog",sense,verdict
hymn,"god + song",sense,verdict
hypertrophy,"over + nourish",judged,verdict
hypha,"fungus + thread",sense,verdict
hypothetical,"hypothesis + like",sense,verdict
hysteresis,"state + depend + history",sense,verdict
iceberg,"ice + mountain",sense,verdict
identification,"identify + act",judged,verdict
identifier,"identify + agent",affix,verdict
identify,"identity + find",sense,verdict
igneous,"fire + rock",sense,verdict
ignorant,"ignore + agent",affix,verdict
illegal,"not + legal",sense,verdict
illegitimate,"not + legitimate",sense,verdict
illness,"ill + nature",affix,verdict
illogical,"not + logical",sense,verdict
illumination,"illuminate + act",judged,verdict
imagery,"image + ness",judged,verdict
imaginary,"imagine + like",affix,verdict
imagination,"imagine + act",affix,verdict
imbibe,"drink + absorb",sense,verdict
imitation,"imitate + act",affix,verdict
immature,"not + mature",sense,verdict
immense,"very + vast",sense,verdict
immerse,"deep + put",sense,verdict
immersion,"immerse + act",judged,verdict
immigrate,"migrate + in",sense,verdict
immortal,"not + die",sense,verdict
immunity,"immune + ness",judged,verdict
impairment,"impair + act",judged,verdict
impartial,"not + side",sense,verdict
impedance,"impede + ness",judged,verdict
imperial,"empire + of",judged,verdict
implantation,"implant + act",judged,verdict
implosion,"collapse + inward",sense,verdict
impolite,"not + polite",sense,verdict
important,"import + agent",affix,verdict
impossible,"not + possible",sense,verdict
impostor,"false + identity + agent",sense,verdict
impound,"seize + hold",sense,verdict
impression,"impress + act",judged,verdict
improper,"not + proper",sense,verdict
improvement,"improve + ness",judged,verdict
impulsive,"impulse + like",affix,verdict
inaccurate,"not + accurate",sense,verdict
inactivation,"not + activate + act",judged,verdict
inactive,"not + active",sense,verdict
inappropriate,"not + appropriate",sense,verdict
incisor,"cut + tooth",sense,verdict
inclusion,"include + act",sense,verdict
incomplete,"not + complete",sense,verdict
inconsistent,"not + consistent",sense,verdict
incontinence,"not + hold + ness",judged,verdict
incorporeal,"not + body",sense,verdict
incorrect,"not + correct",sense,verdict
incredible,"hard + believe",sense,verdict
independence,"not + depend + ness",judged,verdict
indeterminate,"determine + not + done",sense,verdict
indicator,"indicate + thing",sense,verdict
indirect,"not + direct",sense,verdict
induction,"induce + act",judged,verdict
industrial,"industry + of",judged,verdict
inefficient,"not + efficient",sense,verdict
inevitability,"prevent + not + able",sense,verdict
infancy,"infant + ness",judged,verdict
infantile,"infant + like",judged,verdict
infection,"infect + act",affix,verdict
inferior,"infer + agent",affix,verdict
infertility,"infertile + ness",judged,verdict
infiltration,"infiltrate + act",judged,verdict
inflation,"price + rise",sense,verdict
inflection,"inflect + act",affix,verdict
informal,"inform + like",affix,verdict
information,"inform + act",affix,verdict
infrastructure,"base + structure",sense,verdict
infusion,"infuse + act",judged,verdict
ingenious,"clever + invent",sense,verdict
ingestion,"ingest + act",judged,verdict
inhabit,"live + in",sense,verdict
inheritance,"inherit + act",affix,verdict
inhibition,"inhibit + act",judged,verdict
inhibitor,"inhibit + agent",judged,verdict
initial,"initiate + like",affix,verdict
initialize,"first + set",sense,verdict
initiation,"initiate + act",judged,verdict
initiative,"initiate + like",judged,verdict
injection,"inject + act",judged,verdict
injury,"injure + like",affix,verdict
inner,"inn + agent",affix,verdict
innovation,"innovate + act",judged,verdict
inorganic,"not + organic",judged,verdict
inquiry,"inquire + like",affix,verdict
inscription,"inscribe + act",sense,verdict
insertion,"insert + act",judged,verdict
inspection,"inspect + act",judged,verdict
instability,"not + stable + ness",judged,verdict
installation,"set + place",sense,verdict
instruction,"instruct + act",affix,verdict
insufficiency,"insufficient + ness",judged,verdict
insulating,"insulate + act",affix,verdict
insulation,"insulate + act",judged,verdict
insulator,"insulate + agent",affix,verdict
insurance,"insure + act",judged,verdict
intact,"whole",sense,verdict
intake,"take + in",sense,verdict
intangible,"not + touch + able",sense,verdict
integral,"area + sum",sense,verdict
integration,"integrate + act",judged,verdict
integrity,"integrate + nature",affix,verdict
intelligence,"intelligent + ness",judged,verdict
intensity,"intense + nature",affix,verdict
intensive,"intense + like",judged,verdict
intention,"intent + act",affix,verdict
intentional,"intention + like",affix,verdict
interesting,"interest + act",affix,verdict
interface,"between + face",prefix,verdict
interference,"interfere + act",judged,verdict
internet,"between + net",prefix,verdict
interpolate,"between + estimate",sense,verdict
interpretation,"interpret + act",affix,verdict
intersect,"between + sect",prefix,verdict
intersection,"between + section",prefix,verdict
interstitial,"between + space + of",judged,verdict
intervention,"intervene + act",judged,verdict
intolerance,"not + tolerate + ness",judged,verdict
intrinsic,"inward + of",judged,verdict
introduction,"introduce + act",sense,verdict
introductory,"introduce + like",sense,verdict
intruder,"trespass + agent",sense,verdict
intrusion,"intrude + act",judged,verdict
invasion,"invade + act",sense,verdict
invasive,"invade + like",judged,verdict
inventory,"invent + thing",judged,verdict
inversion,"invert + act",judged,verdict
invertebrate,"not + spine + animal",sense,verdict
investigation,"investigate + act",affix,verdict
investment,"invest + act",judged,verdict
involuntary,"not + voluntary",sense,verdict
involvement,"involve + act",judged,verdict
invulnerable,"not + hurt + able",sense,verdict
inward,"in + oriented",sense,verdict
iodide,"iodine + compound",judged,verdict
ion,"charge + atom",sense,verdict
ionic,"charge + bond",sense,verdict
ionization,"ionize + act",judged,verdict
irony,"iron + like",affix,verdict
irradiation,"irradiate + act",judged,verdict
irregular,"not + regular",sense,verdict
irregularity,"irregular + ness",judged,verdict
irrelevant,"not + relevant",sense,verdict
irreversible,"not + reverse + able",sense,verdict
irrigation,"irrigate + act",judged,verdict
is,"grammar",grammar,verdict
isolation,"isolate + act",judged,verdict
isomorphism,"same + structure",sense,verdict
isotope,"element + neutron + vary",sense,verdict
its,"grammar",grammar,verdict
itself,"grammar",grammar,verdict
ivy,"wall + vine",sense,verdict
jackal,"small + wild + dog",sense,verdict
jade,"green + rock",sense,verdict
jaded,"interest + wear + away",sense,verdict
jar,"wide + mouth + container",sense,verdict
jealousy,"jealous + like",affix,verdict
jeer,"mock + shout",sense,verdict
jellyfish,"jelly + fish",sense,verdict
jimmy,"pry + open",sense,verdict
judgment,"judge + act",judged,verdict
judgmental,"judge + too + much",sense,verdict
judicial,"judge + of",judged,verdict
junior,"young + more",judged,verdict
jupiter,"king + planet",sense,verdict
jurisdiction,"law + reach",sense,verdict
justify,"just + make",affix,verdict
jute,"rough + thread",sense,verdict
juvenile,"young + one",sense,verdict
keeper,"keep + agent",affix,verdict
keeping,"keep + act",affix,verdict
kelp,"sea + weed",sense,verdict
kettle,"boil + pot",sense,verdict
killer,"kill + agent",judged,verdict
kiln,"fire + oven",sense,verdict
kilo,"thousand",sense,verdict
kindle,"small + fire + wood",sense,verdict
kinetic,"move + like",sense,verdict
kingdom,"king + land",sense,verdict
kingfisher,"king + fish + bird",sense,verdict
koala,"tree + bear",sense,verdict
krill,"tiny + shrimp",sense,verdict
lacking,"lack + act",affix,verdict
lactate,"milk + salt",judged,verdict
lager,"lag + agent",affix,verdict
lagoon,"shut + sea",sense,verdict
laminar,"flow + layer + smooth",sense,verdict
lamprey,"round + mouth + eel",sense,verdict
landfill,"waste + ground",sense,verdict
landform,"land + form",compound,verdict
landmark,"land + mark",compound,verdict
landscape,"land + view",sense,verdict
landslide,"land + slide",sense,verdict
larger,"grammar",grammar,verdict
largest,"grammar",grammar,verdict
lark,"sing + sparrow",sense,verdict
latent,"late + agent",affix,verdict
laterality,"lateral + ness",judged,verdict
latitude,"north + south + position",sense,verdict
laundry,"launder + thing",judged,verdict
lawful,"law + full",affix,verdict
leader,"lead + agent",affix,verdict
leakage,"leak + ness",judged,verdict
learner,"learn + agent",affix,verdict
legacy,"leg + nature",affix,verdict
legible,"read + able",sense,verdict
legislation,"law + carry + act",judged,verdict
lemma,"step + claim",sense,verdict
lemongrass,"lemon + grass",sense,verdict
lemur,"night + monkey",sense,verdict
length,"long + measure",sense,verdict
lengthen,"length + make",affix,verdict
lentil,"flat + bean",sense,verdict
leopard,"spot + wild + cat",sense,verdict
lessen,"less + make",affix,verdict
lesser,"less + agent",affix,verdict
lethal,"death + of",judged,verdict
leukemia,"white + blood",judged,verdict
liability,"owe + thing",sense,verdict
liberate,"liberty + make",sense,verdict
licorice,"sweet + root",sense,verdict
lid,"container + closure",sense,verdict
lighten,"light + make",affix,verdict
likely,"like + manner",affix,verdict
limestone,"white + rock",sense,verdict
limitation,"limit + act",judged,verdict
linear,"line + like",affix,verdict
liner,"line + agent",judged,verdict
linguistic,"language + of",judged,verdict
lining,"line + act",affix,verdict
linkage,"link + act",judged,verdict
lipid,"fat",sense,verdict
liter,"lice + agent",affix,verdict
literal,"liter + like",affix,verdict
literature,"write + art",sense,verdict
livelihood,"live + way",sense,verdict
liver,"live + agent",affix,verdict
livestock,"live + stock",compound,verdict
living,"live + act",affix,verdict
llama,"mountain + hump + horse",sense,verdict
localization,"localize + act",judged,verdict
location,"locate + act",affix,verdict
locust,"swarm + bug",sense,verdict
logarithm,"power + inverse",sense,verdict
logic,"log + like",affix,verdict
logical,"log + like",affix,verdict
lonely,"lone + manner",affix,verdict
longer,"grammar",grammar,verdict
longest,"grammar",grammar,verdict
longitude,"east + west + position",sense,verdict
longitudinal,"length + of",judged,verdict
lookup,"look + up",sense,verdict
looter,"loot + agent",sense,verdict
loss,"lose + act",sense,verdict
lotus,"water + lily",sense,verdict
louse,"hair + bug",sense,verdict
lout,"crude + rude + agent",sense,verdict
lower,"grammar",grammar,verdict
lowest,"grammar",grammar,verdict
lubrication,"friction + lower",sense,verdict
lumbar,"loin + of",judged,verdict
luminous,"light + full",sense,verdict
lunar,"moon + of",judged,verdict
lunch,"day + meal",sense,verdict
lustful,"lust + full",affix,verdict
lymphatic,"lymph + of",judged,verdict
lynx,"small + wild + cat",sense,verdict
lyre,"string + music + tool",sense,verdict
lyric,"lyre + like",affix,verdict
machinery,"machine + ness",judged,verdict
mackerel,"stripe + fish",sense,verdict
macromolecule,"big + molecule",sense,verdict
macroscopic,"big + scale + visible",sense,verdict
magazine,"news + book",sense,verdict
magician,"magic + agent",affix,verdict
magnetic,"magnet + like",affix,verdict
magnetism,"magnet + practice",affix,verdict
magnetite,"magnet + ore",sense,verdict
magpie,"black + white + crow",sense,verdict
maintenance,"maintain + act",sense,verdict
maize,"corn",sense,verdict
majestic,"grand + noble",sense,verdict
maker,"make + agent",affix,verdict
malevolent,"malice + like",sense,verdict
malice,"bad + intent",sense,verdict
malignant,"bad + like",judged,verdict
malleable,"shape + able",sense,verdict
mammalian,"mammal + of",judged,verdict
mammary,"breast + of",judged,verdict
management,"manage + act",judged,verdict
manager,"manage + agent",affix,verdict
manatee,"sea + cow",sense,verdict
mandatory,"require",sense,verdict
mandible,"lower + jaw",sense,verdict
maneuver,"hand + work",judged,verdict
mangrove,"sea + tree",sense,verdict
manner,"man + agent",affix,verdict
mantis,"pray + bug",sense,verdict
mantle,"body + cover + layer",sense,verdict
maple,"sweet + sap + tree",sense,verdict
marble,"smooth + rock",sense,verdict
margin,"allow + range",sense,verdict
marine,"sea + live",sense,verdict
maritime,"sea + of",judged,verdict
marker,"mark + agent",affix,verdict
marlin,"spear + fish",sense,verdict
mars,"war + planet",sense,verdict
marsupial,"pouch + mammal",sense,verdict
martial,"war + of",judged,verdict
maternal,"mother + of",judged,verdict
maternity,"mother + ness",judged,verdict
math,"mathematics",clipping,verdict
mathematical,"mathematics + of",judged,verdict
mathematics,"learn + thing",judged,verdict
mattress,"matter + female",affix,verdict
maturation,"mature + act",judged,verdict
maxilla,"upper + jaw",sense,verdict
maximize,"most + make",sense,verdict
me,"grammar",grammar,verdict
meaning,"mean + act",affix,verdict
means,"mean + many",affix,verdict
medial,"middle + of",judged,verdict
medical,"medicine + of",judged,verdict
medieval,"middle + age + of",judged,verdict
meeting,"meet + act",affix,verdict
megastructure,"huge + structure",sense,verdict
memorize,"memory + make",affix,verdict
mental,"mind + oriented",sense,verdict
mentor,"teach + agent",sense,verdict
meow,"cat + call",sense,verdict
merchant,"trade + agent",sense,verdict
mercury,"fast + planet",sense,verdict
mermaid,"human + fish + body + join",sense,verdict
mesa,"flat + hill",sense,verdict
messenger,"message + agent",judged,verdict
metabolic,"metabolism + of",judged,verdict
metabolite,"metabolism + thing",judged,verdict
metallic,"metal + bond",sense,verdict
metamorphic,"change + rock",sense,verdict
metamorphose,"body + form + change",sense,verdict
meteor,"fall + star",sense,verdict
metric,"meter + like",affix,verdict
mic,"sound + catch + device",sense,verdict
mica,"sheet + crystal",sense,verdict
microphone,"sound + catch + device",sense,verdict
microscope,"small + see + tool",sense,verdict
microscopic,"small + scale + visible",sense,verdict
might,"grammar",grammar,verdict
migration,"migrate + act",affix,verdict
