category,term,meaning,source_meaning,status,language
food_clothing_home,vedj,vegetable,vegetable,keep,english
food_clothing_home,nukis,nut,nut,keep,latin
food_clothing_home,binit,bean,bean,keep,
food_clothing_home,tiriq,tea,tea,keep,
food_clothing_home,,coffee,,add/missing,
food_clothing_home,kloCiq,clothes,clothing,keep,english
food_clothing_home,,shirt,,add/missing,
food_clothing_home,,pants,,add/missing,
food_clothing_home,drast,dress,dress (put on clothes),keep,english
food_clothing_home,xunrax,shoe,shoe,keep,english
food_clothing_home,hadsuk,hat,hat,keep,
food_clothing_home,waltal,coat,coat,keep,chinese
food_clothing_home,baltan,belt,belt,keep,english
food_clothing_home,pakit,pocket,pocket,keep,
food_clothing_home,tanzik,blanket,blanket,keep,chinese
food_clothing_home,sabon,soap,soap,keep,hebrew
qualities,brat,big,big,keep,sanskrit
qualities,smal,small,small,keep,english
qualities,lardj,large,large,keep,english
qualities,litxab,little,little,keep,
qualities,nuc,long,long,keep,
qualities,centor,short,short,keep,
qualities,tals,tall,tall,keep,english
qualities,lem,low,low,keep,english
qualities,mol,high,high,keep,
qualities,,deep,,add/missing,
qualities,radud,shallow,shallow (depth),keep,hebrew
qualities,,wide,,add/missing,
qualities,naroq,narrow,narrow,keep,
qualities,djasor,thick,thick,keep,chinese
qualities,cintan,thin,thin,keep,
qualities,drask,heavy,heavy,keep,
qualities,haton,hot,hot,keep,english
qualities,kold,cold,cold,keep,english
qualities,wem,warm,warm,keep,english
qualities,kuldan,cool,cool,keep,
qualities,hard,hard,hard (vs. soft),keep,english
qualities,saft,soft,soft,keep,english
qualities,straq,strong,strong,keep,english
qualities,slok,weak,weak,keep,
qualities,taf,good,good,keep,hebrew
qualities,fut,bad,bad,keep,
qualities,fast,fast,fast,keep,
qualities,slom,slow,slow,keep,english
qualities,klok,quick,quick,keep,english
qualities,mir,bright,bright,keep,
qualities,klin,clean,clean,keep,english
qualities,,dirty,,add/missing,
qualities,lird,wet,wet,keep,
qualities,,full,,add/missing,
qualities,rip,rich,rich,keep,
qualities,por,poor,poor,keep,chinese
qualities,tedjat,sharp,sharp,keep,sanskrit
qualities,harax,dull,dull,keep,sanskrit
qualities,smuCig,smooth,smooth,keep,english
qualities,raforC,rough,rough,keep,english
qualities,mandal,round,round,keep,sanskrit
qualities,flat,flat,flat,keep,english
qualities,red,red,red,keep,
qualities,dej,orange,orange,keep,
qualities,lad,yellow,yellow,keep,
qualities,faz,green,green,keep,
qualities,bul,blue,blue,keep,
qualities,sif,purple,purple,keep,
qualities,cov,brown,brown,keep,
qualities,vog,black,black,keep,
qualities,wat,white,white,keep,
qualities,xid,gray,grey,keep,
qualities,skit,sweet,sweet,keep,
qualities,soran,sour,sour,keep,sanskrit
qualities,bitor,bitter,bitter,keep,english
qualities,,salty,,add/missing,
qualities,frax,fresh,fresh,keep,english
qualities,,rotten,,add/missing,
social_moral,pod,free,free,keep,
social_moral,,bound,,add/missing,
social_moral,stef,safe,safe,keep,english
social_moral,dendj,danger,danger,keep,
social_moral,siz,peace,peace,keep,
social_moral,zanzeq,war,war,keep,chinese
social_moral,palor,power,power,keep,english
social_moral,kantrol,control,control,keep,english
social_moral,tafkid,duty,duty,keep,hebrew
social_moral,raq,wrong,wrong,keep,
social_moral,gonpiq,fair,fair (just),keep,chinese
social_moral,,unfair,,add/missing,
social_moral,hartxam,honor,honor,keep,sanskrit
social_moral,spek,respect,respect,keep,
social_moral,,gift,,add/missing,
social_moral,hovan,debt,debt,keep,hebrew
social_moral,taman,price,price,keep,arabic
social_moral,vasum,wealth,wealth,keep,sanskrit
social_moral,,poverty,,add/missing,
social_moral,raxam,crime,crime,keep,hebrew
social_moral,,punishment,,add/missing,
social_moral,relard,reward,reward,keep,english
social_moral,goq,job,job,keep,
social_moral,hom,home,home,keep,english
social_moral,pop,property,property (of object),keep,english
technology_general,ros,force,force,keep,english
technology_general,miq,motion,motion,keep,
technology_general,spidrat,speed,speed,keep,english
technology_general,hit,heat,heat,keep,
technology_general,drut,electricity,electricity,keep,sanskrit
technology_general,dalap,weapon,weapon,keep,sanskrit
technology_general,yan,vehicle,vehicle,keep,sanskrit
technology_general,map,map,map (map/reduce),keep,
technology_general,klak,clock,clock,keep,
technology_general,menak,money,money,keep,english
technology_general,karvat,market,market,keep,sanskrit
technology_general,farmiq,farm,farm (activity),keep,
technology_general,gan,garden,garden,keep,hebrew
technology_general,madsin,medicine,medicine,keep,english
technology_general,borz,poison,poison,keep,english
technology_general,som,drug,drug,keep,sanskrit
