english,tune
Let us fly a kite in the bright sunshine.,lid wola flari med refta nute dan mar sandiqga
The bugs are making weird noises.,dan bugmisa miq mekreCi priva krijmisa
The mighty river is flowing along the slopes of the mountains.,dan plaqa mimba miq folwareCi jife dan zlapmisa dige dan mantmisa
We are approaching a valley.,wola miq pratreCa med valsa
The great wind hit the valley.,dan greta wuna hiqa dan valsa
Look at the colorful butterflies!,lugi kide dan glorfala flatbuglmisa
The birds are cool looking.,dan ximlmisa miq gul lugreCi
The rabbits are hopping joyously.,dan rabdmisa miq hapreCa djosmena
The talkative bird is curious.,dan talga xima miq krulmisa
The coyote is witty.,dan funta miq horka
The mice are squeaking happily.,dan spitmisa miq ridjreCa hopsmenu
Snow is dripping from the leaves.,zuna miq tripreCi zige dan lifmisa
Birds are drinking water from the unusually still river.,ximlmisa miq vizreCi wota zige dan vontmena zota mimba
Rabbits hop merrily.,rabdmisa hapa dalcmena
This particular rabbit was pretty quick at finding some food.,kim porda rabda miq pret gansa kide fanreCi lin feda
The bird builds its nest quickly from twigs.,dan xima balti hina nesa gansmena zige zmugmisa
The fluffy bear fishes in the stream.,dan flafa brula fikmisa nute dan stara
The bear snores peacefully.,dan brula lugzmisa humbmena
The unstable rock rolls down the mountains.,dan salza raka rolsmisa dote dan mantmisa
The flowers blossom blissfully.,dan fulmisa blasa blismena
The lush green forest has a lot of animals in it.,dan luksa gun farsa hav med zbeqa dige yimlmisa nute hina
Do you want to talk while we're playing?,tim yara weni nime taka hiz wola pulwareCi
Fruit is currently being harvested as we eat.,viqa miq krenmena miq harvlsuta sive wola bini
Fresh berries are scattered across the land.,frik bralmisa miq skitsuti seCe dan lona
The moths flock to the light like crazy.,dan meksmisa floka nime dan zibu like kraza
Wavy branches make fill the day with joy.,clasa Cigmisa meki fimi dan yama wime vifa
The ducks quack happily.,dan deksmisa graja hopsmenu
The birds are at rest.,dan ximlmisa miq kide reqa
Reptiles lay under the canopy of the forest.,grezmisa skuta sage dan vrisa dige dan farsa
Butterflies sit on the shrubs.,flatbuglmisa setsi neve dan bitxmisa
The rabbit is lying on his back playfully.,dan rabda miq znarlreCa neve bima goke plifmena
I hope the birds would sing while we play in the grass.,musta hopi dan ximlmisa wul znagi hiz wola puli nute dan gara
"No, I don't see why that should be.",pim musta pim visi won Cat gas miq
"First we wait, then we move.",deqa wola weti riz wola muvi
"I've never tried that, should be interesting!",hav naf trolsuta Cat gas miq kebdreCa
"If we could, we should, why wouldn't we?",jid wola gin wola gas won pim wola
She speaks as if everyone was asleep.,gesa zapi sive jid contid miq slipa
"No wonder the birds sing, they sound great!",pim wenti dan ximlmisa znagi Cefa suma greta
What is your favorite thing to do?,wec miq yara groba kina nime tim
"The moon shines too, just not as much.",dan luna giskmisa mip sic pim sive cruja
If only we could jump and reach the skies.,jid nal wola gin djami gim flimi dan xumlmisa
Let's get there by running.,lid gemi kema kize rinreCi
We are going to explore the forest tomorrow.,wola miq higreCi nime roma dan farsa faplyama
We are from the beach.,wola miq zige dan semba
"Here, let me get that for you.",hema lid musta gemi Cat vore yara
I want to be tall when I grow up.,musta weni nime miq talsu win musta hidi tede
A gentle breeze is clearing away all the leaves.,med gent breza miq klarlreCu nibe con dan lifmisa
"Take these rocks, they are yours.",vogi kim rakmisa Cefa miq yara
Remind your brother to take you out when he wakes up.,croma yara brasa nime vogi yara tine win bima woksmisa tede
It is time to relax and enjoy.,hina miq kala nime ralga gim nedja
The snow is very welcoming.,dan zuna miq cin wolglreCa
I need a light sleep in the afternoon.,musta niCi med zib zuli nute dan fapnonse
We are planning a trip to the forest.,wola miq blanreCa med traba nime dan farsa
The fruit we are having today is from the forest.,dan viqa wola miq clumreCa kimlyam miq zige dan farsa
They are coming over to play.,Cefa miq komreCi riqe nime puli
Think of any number from one to ten.,cibi dige nec numa zige med nime vop
It's time to go home.,miq kala nime higi homa
Imagine the purple leaves.,xiga dan pin lifmisa
Get some ice cubes for the juice.,gemi lin bisa gruzmisa vore dan djusa
"Get me two stones: one brown, the other white.",gemi musta noc zedzmisa med bronu dan kora wiqu
I will be swimming with the fish.,musta wul miq slovreCi wime dan fika
Watch closely!,wuti losmeni
Let's go find some fruit.,lid higi fani lin viqa
Can we climb that tree?,gin wola klimi Cat toka
Yesterday was fun because we found that big rock.,beflyama miq fansa puk wola fonda Cat big raka
Let us finish this before the sun sets.,lid wola boqga kim befe dan sana zetmisa
I love having fruit in the afternoon.,musta lovi clumreCa viqa nute dan fapnonse
When can you come out to play?,win gin yara komi tine nime puli
I am always at home at weekends.,musta miq conkal kide homa kide blaqmisa
You can be the best at anything you can imagine.,yara gin miq dan tavmizu kide neckina yara gin xiga
It gets dark when the lights turn off.,hina gemi ramu win dan zibmis tuni vone
Our dad gives us fruit every day.,wola dada krexmisa wola viqa Ciq yama
Animals sleep all the time.,yimlmisa zuli con dan kala
We all love playing games.,wola con lovi pulwareCi gamsmisa
We crossed the river with our bare feet.,wola kreslsuta dan mimba wime wola brana fotmisa
Place the fruit peel into the pile.,paka dan viqa plena nute dan plina
My feet got wet from the rain.,musta fotmisa gemsuti lipu zige dan rexa
I found two branches had fallen from the tree.,musta fonda noc Cigmisa hav zordoni zige dan toka
The wolf howled all night.,dan wolva korflsuta con fida
Let's give them another chance.,lid gevi Cefa medkor daksa
Keep sight of where you are going.,kugzi stora dige mik yara miq higreCi
"I don't take sugar in my tea, thanks.",musta pim vogi kigda nute musta grasa kispmisa
Feel free to visit me anytime.,jiki framu nime vesta musta lospa
Her voice sounded so happy.,gesa voza sumsuta Cim hopsu
We are going to clean everything up.,wola miq higreCi nime glinu conkin tede
Let's meet at our tree house when the sun rises.,lid yomba kide wola toka flica win dan sana rezi
Can you make tea for us?,gin yara meki grasa vore wola
I must follow my dream where ever it takes me.,musta mez flori musta drimi mik vrala hina tiksmisa musta
We thanked our teacher for all her hard work.,wola kispsuta wola penta vore con gesa har goqa
Let's get started right away.,lid gemi samsuti poba nibe
Let everyone have what they want.,lid contid hav wec Cefa weni
The leaves are scattered all over the forest floor.,dan lifmisa miq skitsuti con riqe dan farsa marpa
The fruits are all small and green.,dan viqmisa miq con xibu gim gunu
Would you please pour me a glass of the juice you made.,wul yara bliz prola musta med glasa dige dan djusa yara meksuti
The rabbits are enjoying their meal.,dan rabdmisa miq nedjreCa Cefa hafta
Keep the windows slightly open.,kugzi dan wontmisa zlitmena poni
Who let the animals out?,fip lid dan yimlmisa tine
Try to remember what happened.,trola nime fasti wec xabzlsuti
I came here for you.,musta komsuti hema vore yara
We both took a piece of fruit.,wola beksa vogsuti med nebda dige viqa
We all sat watching the sun rise.,wola con setslsuti wutreCi dan sana rezi
She is a very polite young girl.,gesa miq med cin bolta yon grala
Bring everything to me.,briqi conkin nime musta
The birds chirped as they were fed.,dan ximlmisa wospsuta sive Cefa miq spaflsuta
I have a variety of different collections.,musta hav med varta dige difa lokmisa
Take care of your siblings.,vogi krala dige yara zbulmisa
We counted twelve branches in total.,wola ciksuti xosa Cigmisa nute cegda
Winter is coming.,winta miq komreCi
They love the snow so much.,Cefa lovi dan zuna Cim cruja
I brought some rocks with me.,musta briqsuti lin rakmisa wime musta
Every life is sacred.,Ciq vita miq snova
I can't run that fast.,musta pim rini Cat vusu
The sun is shining quite brightly today.,dan sana miq diqglreCi zalga marmenu kimlyam
These berries are very fresh.,kim bralmisa miq cin friku
The sky is clear today.,dan xuma miq klaru kimlyam
There are many species of plants in the forest.,kema miq viga spekmisa dige ripi nute dan farsa
You can see dew on leaves early in the morning.,yara gin visi zorpa neve lifmisa ralsa nute dan yambega
The land is filled with flowers.,dan lona miq fimsuti wime fulmisa
"Look, there is a deer in the woods.",lugi kema miq med drala nute dan Cidmisa
What kind of bird is this?,wec kija dige xima miq kim
"The mountain is very steep, so be careful while climbing it.",dan manta miq cin stapu Cim miq kralfala hiz klimreCi hina
Let's drink fresh water from the lake.,lid vizi frik wota zige dan laksa
The pond is filled with fish of all kinds.,dan benda miq fimsuti wime fika dige con kijmisa
Flowers are in full bloom at this time of the year.,fulmisa miq nute fal blomi kide kim kala dige dan yeza
The weather gets beautiful in spring.,dan rebza gemi batslfala nute spara
"Full moon occurs roughly once a month, except on a blue moon.",fal luna kronmisa pubzmena jubda med crina kespa neve med bag luna
The sky is filled with stars tonight.,dan xuma miq fimsuti wime zitmisa kimfid
I think I love all of the flowers around here.,musta cibi musta lovi con dige dan fulmisa wibe hema
I like to eat.,musta like nime bini
It's a beautiful view from the top of this mountain.,miq med batslfala labda zige dan tuba dige kim manta
"You should sing more often, you have such a beautiful voice.",yara gas znagi mor cagda yara hav cit med batslfala voza
We should dance together to this song.,wola gas dansi teksa nime kim gita
The flower was usually found in the back of the forest.,dan fula miq slormena fonda nute dan goke dige dan farsa
The wind blew the leaves lying on the ground.,dan wuna blora dan lifmisa znarlreCa neve dan grana
What are you bringing to eat on this adventure?,wec miq yara briqreCi nime bini neve kim snuCa
The bird drank water from the lake.,dan xima drena wota zige dan laksa
Is it possible to swim with fishes in the sea?,miq hina sosa nime slovi wime fikmisa nute dan tigza
Stars sparkle at night.,zitmisa klosa kide fida
She has deep blue eyes.,gesa hav dap bag haqmisa
Heavy mist covered the magical place from being seen.,hev vimba yibdsuti dan cutxa paka zige miq visdoni
It will rain today.,hina wul rexa kimlyam
Wild animals live out here.,glok yimlmisa smiki tine hema
Summer days are long and hot.,zmara yamlmisa miq lenu gim hutu
The bee uses its beautiful wings to fly.,dan kliqa yuzmisa hina batslfala gikmisa nime flari
Light from the star twinkles at night.,zibu zige dan zita yadjmisa kide fida
The sky is covered with heavy clouds today.,dan xuma miq yibdsuti wime hev diCmisa kimlyam
The bear living in the forest likes to eat everything.,dan brula smikreCi nute dan farsa colsmisa nime bini conkin
The rock is extremely heavy.,dan raka miq sogzmena hevu
Waves can be seen from the beach.,gebdmisa gin miq visdoni zige dan semba
Do you like reading the tree rings?,tim yara like ridreCi dan toka znefmisa
The duck swims in the pond.,dan deksa slovi nute dan benda
He plays the flute very well.,bima puli dan fleda cin wolsa
She lives in a big beautiful house.,gesa vitmisa nute med big batslfala flica
Red berries are the ripe ones.,red bralmisa miq dan flux slata
The green grass covered the lawn.,dan gun gara yibdsuti dan lansa
The sky is clear and blue in summer.,dan xuma miq klaru gim bagu nute zmara
These berries are freshly picked from the tree.,kim bralmisa miq frikmen pikslsuti zige dan toka
The forest floor hides many little animals.,dan farsa marpa dibdmisa viga wibza yimlmisa
Birds have the ability to fly.,ximlmisa hav dan blota nime flari
This mountain will lead you to view number two.,kim manta wul lada yara nime labda numa noc
Wolves have a strong sense of smell.,wolvmisa hav med jem zoxa dige smala
All the trees are covered in snow in winter.,con dan tralmisa miq yibdsuti nute zuna nute winta
How many members are there in your family?,niq viga membmisa miq kema nute yara fama
Children like to build stuff when they are on the beach.,kikmisa like nime balti stafa win Cefa miq neve dan semba
He stayed in the cool and dark cave to avoid getting wet in the rain.,bima stulsuti nute dan gulu gim ram vorva nime drixa gemreCi lipu nute dan rexa
"Let's play hide and seek, it will be fun.",lid puli glaza gim sika hina wul miq fansa
What are you making tonight?,wec miq yara mekreCi kimfid
I love my family.,musta lovi musta fama
The food from the forest was delicious.,dan feda zige dan farsa miq dalzmisa
How often does a bird flap its wings?,niq cagda tim med xima flipa hina gikmisa
It is very important to stay warm in winter.,hina miq cin tipsu nime stuli witu nute winta
My best friend gave me a piece of fresh fruit.,musta tavmiz vrina gevlsuti musta med nebda dige frik viqa
Flowers blossom on the tree every spring.,fulmisa blasa neve dan toka Ciq spara
I often dream about magical creatures at night.,musta cagda drimi dije cutxa grutmisa kide fida
The land was filled with short bushes.,dan lona miq fimsuti wime gis biksmisa
Sweet juice is a very refreshing treat on a hot day.,xic djusa miq med cin vrajreCa treta neve med hut yama
The gold glimmered in the dark.,dan guma glimsuta nute dan ramu
Water bubbles when it boils.,wota ginsmisa win hina blamlmisa
People of this town are very nice and helpful.,tidmisa dige kim tensa miq cin kloqa gim halbfala
Animals have a very special place in my heart.,yimlmisa hav med cin sips paka nute musta yika
Fully ripened berries are sweet and delicious.,flanmena yarflsuta bralmisa miq xicu gim dalzmisa
The bird has a nest on the branch of this tree.,dan xima hav med nesa neve dan Ciga dige kim toka
This short path will get you to the hill in no time.,kim gis paca wul gemi yara nime dan vefsa nute pim kala
Are you free this afternoon?,miq yara framu kim fapnonse
Insects often live in humid climates.,niskmisa cagda smiki nute slep klomlmisa
You should come the tall tree and meet me sometimes.,yara gas komi dan tals toka gim yomba musta linkala
This is a very special plant.,kim miq med cin sips ripi
The flowers dance in the shiny weather.,dan fulmisa dansi nute dan slig rebza
Sky in is a seemingly never-ending vastness.,xuma nute miq med jorvmena naf neqreCi vustsatu
The ever so bright sun is glimmering in the open blue sea.,dan vrala Cim mar sana miq glimreCa nute dan poni bag tigza
The sun is starting to set.,dan sana miq samreCi nime zeta
As the day is at its brink and the night is about to break.,sive dan yama miq kide hina prina gim dan fida miq dije nime braka
The leaves of the tree.,dan lifmisa dige dan toka
The bright sunshine warms the rabbit as it begins to sleep.,dan mar sandiqga witmisu dan rabda sive hina begi nime zuli
The river clashes with the rocks fiercefully.,dan mimba klikmisa wime dan rakmisa farzmena
The cool breeze makes the bird dance in the wind.,dan gul breza maksmisa dan xima dansi nute dan wuna
The raindrops look like silver gems scattering across the land.,dan rexdriplmisa lugi like var gemsmisa skitreCi seCe dan lona
The wolf wags his tail as he gets patted.,dan wolva balbmisa bima Cipa sive bima gemi patslsuta
The land is filled with cool looking flowers.,dan lona miq fimsuti wime gul lugreCi fulmisa
The squirrels relax as the warm sunlight approaches.,dan binsmisa ralga sive dan wit sanziba pratmisa
It is a field of aromatic flowers.,hina miq med cuva dige magz fulmisa
The fish playfully travel the tides of the ocean.,dan fika plifmena travi dan stotmisa dige dan snola
The deer grazes as the sun dawns.,dan drala grazmisa sive dan sana dinsmisa
The dry autumn leaves crunch as I walk through.,dan dar heska lifmisa krana sive musta woki pibe
The wolf relaxes as the day dusks.,dan wolva ralgmisa sive dan yama daskmisa
The herd of elk sleeps as the day ends in the tranquil countryside.,dan harda dige leksa zuli sive dan yama neqi nute dan trina konta
He is as calm as the fields of the countryside.,bima miq sive kamu sive dan cuvmisa dige dan konta
The bees buzz in the scorching summer heat.,dan kliqmisa zibda nute dan skorlreCi zmara hada
The juicy berries grow in the bushes.,dan djika bralmisa hidi nute dan biksmisa
The bird flaps her wings as the sudden breeze touches her.,dan xima flipmisa gesa gikmisa sive dan zdena breza metxi gesa
The birds take shed in the trees as the hot sunlight approaches them.,dan ximlmisa vogi glama nute dan tralmisa sive dan hut sanziba pratmisa Cefa
The bird moves rhythmically as the drops of rain pats her.,dan xima fraCmisa hamsmena sive dan dripi dige rexa patsmisa gesa
The school of fish swims around as the tides rise.,dan stoka dige fika slovi wibe sive dan stotmisa rezi
The ducks dance in the sweet spring.,dan deksmisa dansi nute dan xic spara
The rainbow reveals itself as the rain stops.,dan rexraksa djatmisa hinsefa sive dan rexa sopi
The owl stares at the moon in the lonely night sky.,dan drefa zitmisa kide dan luna nute dan zompa fida xuma
The rocks act as a pillow to the lazy grizzly bears.,dan rakmisa claqa sive med plona nime dan cliqa grozmena brulmisa
The wind takes away the seeds from the trees.,dan wuna tiksmisa nibe dan sidmisa zige dan tralmisa
The rabbit eats the food peacefully.,dan rabda bini dan feda humbmena
Snow chills the animals as winter approaches.,zuna webdmisa dan yimlmisa sive winta pratmisa
Reptiles crawl in the wet forest floor.,grezmisa grola nute dan lip farsa marpa
The bird weaves its nest as the spring approaches.,dan xima cordmisa hina nesa sive dan spara pratmisa
The wolves howl in the moonlight.,dan wolvmisa korfa nute dan lunziba
The eagle rises above the clouds as it rains.,dan glara rezi suze dan diCmisa sive hina rexmisa
Are you able to come aboard at this moment?,miq yara blara nime komi broda kide kim vupslseqa
We made plans about how to best see the stars.,wola meksuti blanmisa dije niq nime tavmiz visi dan zitmisa
He didn't know I was watching from above.,bima pim nomi musta miq wutreCi zige suze
How can you get across this river so quickly?,niq gin yara gemi seCe kim mimba Cim gansmena
I couldn't see after the dirt got in my eyes.,musta pim visi fape dan darda gemsuti nute musta haqmisa
She pushed against the tree with all her strength.,gesa pakslsuti zife dan toka wime con gesa gruka
Would you have brought me along otherwise?,wul yara hav briqsuti musta jife vemsa
Will you be among those in the forest?,wul yara miq maga Cat nute dan farsa
I don't want to be around when she arrives.,musta pim weni nime miq wibe win gesa djanmisa
He doesn't move as quickly as she does.,bima pim muvi sive gansmena sive gesa tim
We could have traveled at a slower pace.,wola gin hav travlsuti kide med zlara prasa
What you see before you is a huge animal.,wec yara visi befe yara miq med hats yima
Why won't you get behind her?,won pim yara gemi giqe gesa
She wanted me to go down below.,gesa wensuti musta nime higi dote zise
"Beneath the tree, an animal just woke up.",broma dan toka med yima sic weksuta tede
She had been beside him for the entire journey.,gesa hav miq bese bima vore dan borpa djora
I'll decide between staying here and going home.,wul Casta bene stulwareCi hema gim higreCi homa
He refuses to help anyone beyond his own family.,bima refsmisa nime halba nectida bune bima pleja fama
"I would swim, but it is too early in the day.",musta wul slovi bat hina miq mip ralsa nute dan yama
You might be able to find her by the river.,yara bip miq blara nime fani gesa kize dan mimba
"Despite the weather, I will get there on time.",despa dan rebza musta wul gemi kema neve kala
"If you keep jumping up and down, she will leave.",jid yara kugzi djamreCi tede gim dote gesa wul skimi
It's difficult to swim at such a wild storm.,miq lomsu nime slovi kide cit med glok crola
Don't say anything except that you love him.,pim vibi neckina kespa Cat yara lovi bima
She would have made food for you if you'd asked.,gesa wul hav meksuti feda vore yara jid troja zoksuta
They walked from the forest to the river.,Cefa woksuti zige dan farsa nime dan mimba
He's worried that we've been in the forest for too long.,miq barpsuta Cat glena miq nute dan farsa vore mip lenu
Can you believe that a rock is inside this fruit?,gin yara balvi Cat med raka miq tuqe kim viqa
"If she turns him into an animal, I will save him.",jid gesa tuni bima nute med yima musta wul kluna bima
It was like the entire forest had suddenly stopped.,hina miq like dan borpa farsa hav zdenmena sopsuti
She had been near death several times,gesa hav miq nene daga wolza timsmisa
He doesn't want us to be next to him again.,bima pim weni wola nime miq gena nime bima gon
Several friends have forgotten how to swim.,wolza vrinmisa hav forga niq nime slovi
I strayed off the path despite his orders.,musta cropsuta vone dan paca despa bima dormisa
He found us on his way home from the river.,bima fonda wola neve bima taqa homa zige dan mimba
I don't know how we got onto this topic.,musta pim nomi niq wola gemsuti neve kim xolva
You should get out of the river before sunset.,yara gas gemi tine dige dan mimba befe sanseka
The animals would have flown over the forest.,dan yimlmisa wul hav flona riqe dan farsa
"If you can't swim, you shouldn't go past this river.",jid yara pim slovi yara pim higi sut kim mimba
"As per the king's orders, you must leave this village.",sive parsa dan sedjmisa dormisa yara mez skimi kim valga
"Plus, we can't stay here if you are also here.",plasa wola pim stuli hema jid yara miq lus hema
I will talk more regarding this matter.,musta wul taka mor plucreCa kim golga
Have you seen a large rock 'round here?,hav yara visdoni med larga raka randa hema
She would climb it save for the fact that she is too short.,gesa wul klimi hina kluna vore dan wuksa Cat gesa miq mip gisu
He has gotten weaker since I last saw him.,bima hav xalza kalza zinsa musta lasa vislsuti bima
I would rather eat fruit than meat.,musta wul zafsa bini viqa yipe yogza
Maybe this time they will get through to her.,mub kim kala Cefa wul gemi pibe nime gesa
I will keep jumping till they tell me to stop.,musta wul kugzi djamreCi krosa Cefa duli musta nime sopi
Do we want them to give this to us?,tim wola weni Cefa nime gevi kim nime wola
They can either move toward the sea or go home.,Cefa gin rolba muvi jiCe dan tigza pik higi homa
The queen will find a rock under some leaves.,dan kemba wul fani med raka sage lin lifmisa
He wished he could rest underneath the tree.,bima wikslsuta bima gin reqa plima dan toka
It is unlike anything I have ever seen.,hina miq nalga neckina musta hav vrala visdoni
She likes to swim until the sunset.,gesa colsmisa nime slovi xiz dan sanseka
What goes up must come down.,wec higi tede mez komi dote
She used to love gazing upon the water.,gesa yuzlsuta nime lovi rusplreCa pansa dan wota
We argued about the forest versus the river.,wola xuftsuta dije dan farsa forsmisa dan mimba
"Tomorrow morning, I will have traveled via boat.",faplyama yambega musta wul hav travlsuti floma yafta
"If I were with him, I would annoy him.",jid musta miq wime bima musta wul zunta bima
There was a wild animal deep within the cave.,kema miq med glok yima dapu nute dan vorva
I shouldn't have left without eating first.,musta pim hav bepa wuke binreCi deqa
"If you had taken another step, I would have laughed. ",jid yara hav vogdoni medkor tepa musta wul hav kogzlsuti
Any of the animals could have done this.,nec dige dan yimlmisa gin hav don kim
She used to love anyone who gave her food.,gesa yuzlsuta nime lovi nectida fip gevlsuti gesa feda
Does he think I had anything to do with that?,tim bima cibi musta hav neckina nime tim wime Cat
"If you could go anywhere, where would you go?",jid yara gin higi krupa mik wul yara higi
Both of us should dance instead of one.,beksa dige wola gas dansi clona dige med
Please be certain before you run there.,bliz miq keta befe yara rini kema
Each child should give and receive one gift.,tega kika gas gevi gim reka med gifta
I thought she was either one or two years old.,musta cibsuti gesa miq rolba med pik noc yezmisa kifu
This is more than enough for her birthday.,kim miq mor yipe trexa vore gesa barka
She waited for us every day that we were gone.,gesa wetsuti vore wola Ciq yama Cat wola miq higdoni
He will say everyone has water if you ask.,bima wul vibi contid hav wota jid yara zoka
Everything in the forest is green today.,conkin nute dan farsa miq gunu kimlyam
Has she been everywhere in the world?,hav gesa miq conpak nute dan zboka
There are few people I do not know here.,kema miq tiva tidmisa musta tim pim nomi hema
This is the last time I will ever climb this tree.,kim miq dan lasa kala musta wul vrala klimi kim toka
She will expect at least five gifts tomorrow.,gesa wul kaspa kide leza ten giftmisa faplyama
Why do I have less water than she does?,won tim musta hav lesa wota yipe gesa tim
There is little that he cannot do.,kema miq wibza Cat bima pim tim
I have many doubts about your new plan.,musta hav viga dabdmisa dije yara hiv blana
She climbs trees more than he does. ,gesa klimi tralmisa mor yipe bima tim
That is the most pleased I've ever seen you.,Cat miq dan miz blizlsut hav vrala visdoni yara
Much of my life has been full of happiness.,cruja dige musta vita hav miq fal dige hopslsatu
Neither person had seen the mountains before.,dalba tida hav visdoni dan mantmisa befe
We cannot find the tree that is next to the river.,wola pim fani dan toka Cat miq gena nime dan mimba
There are no leaves on the trees this year.,kema miq pim lifmisa neve dan tralmisa kim yeza
None of my friends are at home right now.,piva dige musta vrinmisa miq kide homa poba xoma
Nothing is wrong with eating fruit.,siza miq raqa wime binreCi viqa
The forest is nowhere near the sea!,dan farsa miq jogza nene dan tigza
We had only seen the forest once before.,wola hav nal visdoni dan farsa jubda befe
Hopefully several people show up today.,vaqkmena wolza tidmisa rifta tede kimlyam
It takes some courage to climb such a tall tree.,hina tiksmisa lin korka nime klimi cit med tals toka
"If somebody wants food, we will go to the forest.",jid samba weni feda wola wul higi nime dan farsa
Is there something he wanted to say to them?,miq kema linkin bima wensuti nime vibi nime Cefa
They will find a home somewhere around here.,Cefa wul fani med homa linpak wibe hema
That is exactly what I am talking about!,Cat miq keskmena wec musta miq takreCa dije
"Whatever your favorite color is, mine is as well.",Cetsa yara groba glora miq musta miq sive wolsa
She wouldn't remember which tree we visited.,gesa pim fasti wec toka wola vestsuta
I will eat bread or fruit: whichever you prefer.,musta wul bini brata pik viqa narfa yara prefa
A river flows through the valley.,med mimba foli pibe dan valsa
The setting sun reflecting off the water lights up the area with golden light.,dan zetreCa sana refreCa vone dan wota zibmisu tede dan Calza wime kald zibu
I sat on the rock and watched the sunset through the window.,musta setslsuti neve dan raka gim wutsuti dan sanseka pibe dan wonta
He spent last time on a mountain.,bima falva lasa kala neve med manta
The moon was appearing behind the clouds at the dark of midnight. ,dan luna miq pralwareCa giqe dan diCmisa kide dan ramu dige modfida
A fresh layer of snow covered the path.,med frik skutmora dige zuna yibdsuti dan paca
The moon dangles low and large in the dark sky.,dan luna caltmisa lizu gim larga nute dan ram xuma
"The sun rose bright and fair, and the morning was without a cloud.",dan sana rezlsuti maru gim torpa gim dan yambega miq wuke med diCa
"At sunset, the sky shaded from pink into dark red.",kide sanseka dan xuma huftsuta zige renta nute ram redu
Birds are singing in the tree.,ximlmisa miq znagreCi nute dan toka
The bird landed gracefully on the water.,dan xima lonsuta grusmena neve dan wota
The grass was covered with frost in the early morning.,dan gara miq yibdsuti wime vrosa nute dan ralsa yambega
"The gentle rain was over, but drops were still falling from the trees.",dan gent rexa miq riqe bat dripi miq zota zorlreCi zige dan tralmisa
The rainbow formed a beautiful arc in the sky.,dan rexraksa forzlsuta med batslfala raksa nute dan xuma
That wide-eyed innocent look reminded him of a newborn baby.,Cat yis haqsuta neska lugi cromsuta bima dige med polta pupa
The leaves were floating gently down the river.,dan lifmisa miq flodreCi gantmena dote dan mimba
She brought a handful of fruit from the forest.,gesa briqsuti med hanfala dige viqa zige dan farsa
The air around him was cold like it was being iced.,dan piza wibe bima miq wisu like hina miq miq bislsuta
The bee came to dance on the flower.,dan kliqa komsuti nime dansi neve dan fula
Allow in a cool night breeze.,leska nute med gul fida breza
I have many far-off friends whom I never seen.,musta hav viga fada vone vrinmisa fip musta naf visdoni
I was glad to go back to the village to see my home and friends once more.,musta miq glada nime higi goke nime dan valga nime visi musta homa gim vrinmisa jubda mor
"He has two younger siblings, a brother and a sister.",bima hav noc yonmor zbulmisa med brasa gim med sosta
Mom placed a pot of brightly colored flowers on the table.,mama paksuta med foqga dige marmen glorsuta fulmisa neve dan lenta
She returned to the meadow and sat down on the grass.,gesa xuvlsuta nime dan prega gim setslsuti dote neve dan gara
"There was a small interesting rock beside the tree, on which there was a frog.",kema miq med xib kebdreCa raka bese dan toka neve wec kema miq med fruga
He used to go out with his friends every night.,bima yuzlsuta nime higi tine wime bima vrinmisa Ciq fida
"Across the way, warm sun light showed through the dense forest.",seCe dan taqa wit sana zib riftsuta pibe dan densa farsa
The way a butterfly flutters from flower to flower is graceful.,dan taqa med flatbuga flatmisa zige fula nime fula miq greslfala
The flowers this year which bloomed in the early spring have stayed abundant.,dan fulmisa kim yeza wec blomsuti nute dan ralsa spara hav stulsuti banta
He waded out of the water and laid his socks and shirt on a rock in the sun to dry.,bima rombsuta tine dige dan wota gim forba bima saksmisa gim cunda neve med raka nute dan sana nime daru
Our last halt was under a wild berry push a short distance from the lake.,wola lasa halta miq sage med glok brala paksi med gis sina zige dan laksa
"She looked up at the glowing clouds, from which snow had begun to fall again.",gesa lugsuti tede kide dan glonreCi diCmisa zige wec zuna hav dumba nime zori gon
Fruits of great variety are grown in the valley and foothills.,viqmisa dige greta varta miq hidldoni nute dan valsa gim supsmisa
The country has a beautiful sandy beach.,dan kanta hav med batslfala sanda semba
She tossed her head back to stare at the stars.,gesa xunslsuta gesa heda goke nime trida kide dan zitmisa
He was living on the hilltop with a flock of two hundred elk.,bima miq smikreCi neve dan vefstuba wime med floka dige noc yempa leksa
The little boy was halfway to the lake when mom spoke to him.,dan wibza dabza miq halfa nime dan laksa win mama zapsuti nime bima
A single gentle rain makes the grass many shades greener.,med znoga gent rexa maksmisa dan gara viga dronmisa gunmoru
"There was nothing dangerous about the forest, except snakes and insects.",kema miq siza skezmisa dije dan farsa kespa snokmisa gim niskmisa
"Below the falls, a large beautiful rainbow gave color to the rising mist.",zise dan zori med larga batslfala rexraksa gevlsuti glora nime dan rezreCi vimba
Everything is ready for the forest walk.,conkin miq luska vore dan farsa woki
He smelled the fragrance of wildflowers while walking on a path that led to the pond.,bima smalsuta dan fraga dige poftmisa hiz wokreCi neve med paca Cat groflsuta nime dan benda
The desert was basking in an orange sunset when they finally stopped.,dan darwalona miq bisklreCa nute med jana sanseka win Cefa krismena sopsuti
The birds flew to their nests in the evening.,dan ximlmisa flarsuti nime Cefa nesmisa nute dan yamneqa
"Water was dripping from the trees, and the land was wet.",wota miq tripreCi zige dan tralmisa gim dan lona miq lipu
