tune,english
hamod,instigate
hamoj,enjoy
hamom,hmm
hamor,hamper
hamuk,encode
hamul,embolden
hamun,crowd/mob
hamus,hummus
hamuv,invert
hanac,enthral
hanad,annoy
hanaj,angel
hanam,entrench
hanaq,mount
hanar,inherit
hanef,infect
hanen,onion
hanep,encompass
hanez,house
hanim,diminish
haniq,hunch
hanit,initialize
hanix,resuscitate
hanok,dedicate
hanol,annul
hanon,park (vehicle)
hanos,honest
hanov,envelope
hanub,enable
hanum,honeycomb
hanuq,uh
hanur,endure
hanux,insure
hapac,empathy
hapaj,object (argument)
hapar,oppose/against
hapat,habituate
hapen,append
hapez,appease
hapiq,hype
hapix,hatch
hapol,appall
hapon,appoint
hapos,episode
hapud,aptitude
hapur,uproot
haral,convert
haran,heron
harap,architect
haras,grip
harav,expand
haref,artifact (museum object)
hareg,irritate
haren,harness
harez,iris
harib,attribute
harim,impress
hariq,discourage
harix,arch
harod,arid
harom,forbidden/taboo
haroq,along
haror,mull
harox,dull
haruk,squeak
harul,habit
harun,arrow
haruz,arouse
hasab,ascribe
hasam,placement
hasar,ridiculous
hasef,expose
hasek,explore
hasen,essay
hasid,piety
hasim,consent
hasiq,assay
hasix,especially
hasog,recall
hasol,hustle
hason,astound
hasos,assess
hasum,assume
hasur,aspire
hasut,expert
hatal,shade
hatan,attend
hatap,adapt
hatas,offer
hatav,advice
hatej,adjust
hatem,utmost
hateq,salute
hatet,pry
hatif,advocate
hatig,demonstrate
hatin,attain
hatiz,squirt
hatoC,festival
hatod,outlaw
hatom,automatic
hatoq,estuary
hator,opt
hatox,hole
hatuk,attack
hatul,entail
hatun,hot
hatuz,petition
havar,shirk
havat,constitute
havax,overshadow
haven,offence
haves,oblation
havol,highlight
havon,offense
havur,avert
haxam,extermination
haxar,molt
haxen,lean
haxep,inspiration
haxez,libel
haxim,omit
haxit,reproduce
haxix,implant
haxok,launch of new product
haxol,cooperate
haxon,lend
haxov,reply
haxur,usher
hayar,entrust
hayat,allocate
hayol,antler
hayud,allude
hazag,closure
hazal,assault
hazan,invitation
hazif,frown
hazik,remind
hazin,invite
hazom,awe
hazor,declaration
hazot,rave
hazul,exclude
hazuz,duration
hebar,mouse
hebat,appetite
hebin,hippie
hebis,ape
hebol,sabotage
heboz,adsorb
hebur,obstruct
hecar,ethereal
hecis,insist
hedag,induct
hedal,agile
hedan,convince
hedas,displacement of water by submerged body
hedav,advance
hedij,polyhedron
hediq,aid
hedor,hadron
hedot,idiot
hedul,indulge
heduz,induce
hefar,afford
hefip,offspring
hefis,affix
hefok,forfeit
hefol,affiliate
hefur,effort
hegab,hunk
hegar,acre
hegik,repress
hegiz,exut
hegol,exhale
hegon,expanse
hegos,engross
hegum,exhume
hegur,anchor
hegut,exhort
hekak,hour
hekal,equal
hekan,account
hekas,excite
hekav,scorpion
hekid,burden
hekiq,extinct
hekob,incubate
hekor,characteristic
hekox,imperishable
hekul,excel
hekun,acorn
hekuz,excrete
helak,elect
helal,alcohol
helan,island
helas,ice
helav,milk
helip,help
heliz,sober
helob,insult
helom,almost
helor,allow
helug,allegory
helun,hyena
hemad,humid
hemam,embalm
hemaq,hem
hemar,henry (measurement)
hemax,incline
hemin,impinge
hemip,impede
hemis,invent
hemiv,implore
hemof,unfurl
hemok,handcuff
hemol,emerald
hemon,confidence
hemoz,amuse
hemub,embroider
hemur,insert
henaf,inflect
henak,enact
henal,analog
henan,bliss
henaz,antioxidant
henid,endear
heniq,enlist
henix,inch (measurement)
henoc,anthracite
henoj,haunt
henom,inform
henor,xnor
henug,undergo
henul,endow
henun,enhance
henus,anus
henuv,invertebrate
hepal,appeal
hepan,apply
hepit,inhibit
hepod,expedite
hepor,operate
hepul,helpless
herac,cultivate
herad,hard (vs. soft)
heraj,heritage
heram,registration
herim,argument (conversation)
herit,determine
herix,brush
herok,arc
herol,early
heron,purse
heros,horse
herub,harbor
hesim,escalate
hesor,hang out
hesot,thirst
hesun,hail (snow)
hetad,disturb
hetaj,agency
hetam,yawn
hetaq,hate
hetar,attract
hetif,atmosphere
hetip,eddy
hetiz,parade
hetok,ingratiate
hetol,until
hetos,entice
hetov,outline
hetub,bus
hetur,moonlighting
hetux,itch
heval,avalanche
hevan,evidence
hevas,obvious
heviq,evening
hevit,hive
hevor,behavior
hevuk,havoc
hevun,hang on
hevuz,aves (birds)
hexak,conviction
hexal,implication
hexim,reconcile
heyan,instance
heyod,elude
heyuk,include
hezar,execrate
hezat,ignite
hezif,sprinkle
hezin,hasten
heziz,every
hezud,exude
hibad,abide
hibax,bash
hiben,abstain
hibep,group
hibes,absence
hibok,hug
hibub,x-axis
hiCal,whip
hicar,aether
hiCor,either
hidal,headline
hidan,hidden
hidap,explode
hidas,iridescence
hidej,age
hidem,intimate
hidet,imitate
hidod,indict
hidor,adjourn
hiduk,bisect
hiduz,design
hifek,heave
hifes,interface
hifoz,effusion
hifur,infer
higam,income
higar,eager
higat,egg
higen,eagle (bird)
higez,vanish
higol,bed
higon,igneous
higop,excerpt
higos,extort
higur,fist
hikal,hall
hikan,squid
hikas,excess
hikor,incur
hikot,ego
hikox,anxious
hikun,argue
hikup,expire
hilag,integrate
hilas,elapse
hilek,partition
hilen,alternate
hilez,hertz
hilor,alter
hilot,elite
hiluf,replace
hilul,desecrate
hiluz,constrain
himab,emboss
himam,nothing
himar,immerse
himax,emission
himek,angry
himen,imply
himes,hemp
himev,innovate
himof,inflame
himog,immigrate
himol,impulse
himon,indent
himuj,ammunition
himur,impart
himut,emit
hinaf,enough
hinag,giant
hinal,inlay
hinan,intertwine
hinaz,instead
hineb,inhabit
hinex,initiate
hinoj,hinge
hinor,hinder
hinot,hint
hinul,inhale
hinun,intern
hinup,interrupt
hinus,invoice
hinuv,invoke
hipak,impact
hipal,impale
hipan,hip
hipaz,hypnotize
hipul,impel
hirab,arbitrage
hirac,planet earth
hiram,flounder (fish)
hirar,hear
hired,erode
hirog,irrigate
hirol,article
hiron,wasp
hiros,country
hirov,sword
hirum,emergency
hirut,hire
hisap,convect
hiset,impersonate
hisor,escort
hisul,eliminate
hitac,hesitate
hitam,etch
hitaq,hitch
hitar,recover
hitef,spasm
hitek,thrust
hiten,intend
hitez,hay
hitum,climax
hitur,intrude
hitut,entitle
hivak,evoke
hived,slave
hivox,rustle
hixal,initial (beginning)
hixor,supreme
hixul,cluster
hixup,hospital
hiyak,interact
hiyan,incense (smell)
hiyor,endorse
hiyug,integral
hiyus,inscribe
hizar,hysterical
hizen,neglect
hizep,escape
hizok,exact
hizon,equilibrium
hobaj,oblige
hobar,abridge
hobek,oblique
hoben,obey
hobid,hybrid
hobut,obtuse
hocar,oath
hocek,oust
hodak,ode
hodan,huge amount
hodaz,justify
hoded,not hidden
hodex,orchard
hodin,adjoin
hodip,enterprise
hodis,address
hodoj,vowel u sound
hodor,hydrate
hodun,huge
hodus,hat
hofar,exempt
hofat,offset
hofol,afflict
hogad,honk
hogar,fee
hogep,expect
hoges,eccentric
hogev,engrave
hogit,impose
hogok,okay
hogol,engulf
hogur,hoard
hokal,resolution
hokan,expound
hokap,occupy
hokeC,determinant (math)
hokem,acclaim
hoket,accurate
hokis,hoax
hokiv,activity
hokod,accord
hokor,occur
hokuk,length
hokul,occlude
hokun,accrue
hokus,blubber
holan,hull
holap,span
holaz,latter
holeg,dial
holen,highway
holes,last (staying)
holic,health
holij,algae
holiq,howl
holod,h sound
holor,award
holuk,hunger
holuv,elbow
homaj,ingest
homar,embark
homat,hunt
homen,empower
homib,ambiance
homix,impeach
homol,embezzle
homon,eminence
homop,employ
homos,ferret
homov,anniversary
homud,amplitude
homum,urge
honal,enlighten
honan,bleak
honas,onus
honav,endeavor
honej,enrage
honeq,hoe
honet,swindle
honif,infringe
honig,sea urchin
honin,intervene
honiz,instill
honod,ounce
honor,enroll
honox,enshrine
honuf,infuse
honuk,harpoon
honul,ensue
honun,engineer
hopal,opal
hopan,opine
hopas,upset
hopik,perky
hopin,apprehend
hopiz,appraise
hopor,approach
hopot,heed
hopup,hope
horam,hermit
horat,till
horax,oh
horeb,orb
horej,orgy
horem,honor
horik,hierarchy
horin,hurry
horiz,tyrant
horof,horrify
horol,hurl
horon,horn (animal)
horop,heart (body)
horoz,ravine
horud,ahead
hosak,ayahuasca
hosal,tent
hosan,host
hosed,ascend
hosip,suffice
hosob,iceberg
hosor,asteroid
hotar,hoist
hotat,scallop
hotax,auroch
hoteg,antique
hotes,attest
hotib,dip
hotop,at
hotoz,lecture
hotud,hide
hotur,oat
hovan,debt
hovik,walrus
hovin,distinguish
hovis,oversee
hovoc,overthrow
hovor,overturn
hovot,ensure
hovun,hold on
hovus,overcast
hoxal,humiliation
hoxap,influence
hoxet,transplant
hoxuk,fetch
hozar,hose
hozek,inject
hozid,resolve
hozut,ease
hubak,abduct
huban,obtain
hubob,hub
hubor,abort
hudad,head
hudaj,propel
hudar,odor
hudep,adept
hudez,peek
hudit,audit
hudix,train (car)
hudok,seam
hufeb,alphabet
hufif,congruence (geometry)
hufik,derive
hufor,hoof
hugal,ogle
hugap,expel
huget,await
hugis,exceed
hugor,encroach
hukar,awkward
hukat,aunt/uncle
huken,acknowledge
hukib,eclipse
hukix,esteem
hukol,enclose
hukos,accelerate
hulat,hail (acclaim)
hulex,allegation
hulik,elk
huliv,staple (action)
hulov,hallow
humag,emigrate
humal,humiliate
human,hump
humas,instruct
humeb,ambulance
humif,inflict
humik,pelt
humin,imprint
humiz,recommend
humot,amputate
hunam,frantic
hunar,inquire
hunat,owe
hunax,serene
huneg,antiquate
hunen,endanger
hunes,annex
hunev,hold off
hunij,injure
hunof,enforce
hunol,wedding
hunon,hence
hupar,upright
hupek,optics
hupes,oppress
hupoz,oppose
huraf,orphan
hurag,organic
hural,articulate
huran,errand
huraz,heuristic
hurek,arcade
huren,ordain
hures,heresy
hurev,whale
hurid,holy
hurij,arrange
huror,hood (cover)
hurot,heir
husad,aside
husam,assemble
husar,film (video)
husep,aspirate
husim,exclaim
husit,osteichthyes
husok,husk
hutag,challenge
hutal,sloth
hutaz,cool (action)
hutex,accustom
hutik,transfer
hutiv,achieve
hutom,hut
hutor,act
hutot,hoot
huvek,diagnose
huvid,avid
huzan,husband
jabor,math
jafal,swathe
jakit,jacket
jakoz,juxtapose
jalem,jelly
jalof,j sound
janar,degenerate
japar,legging
jasen,joust
jator,chat
jazor,gossip
jerit,jar
jetaj,throw away
jeton,token
jidor,jitter
jirar,swear
jokal,daffodil
jolus,jealous
jonal,gentle
jonif,contiguous
jopas,jupiter
joval,jovial
judix,judicious
julam,reality
junar,general
junax,scatter
junib,juniper (tree)
kabas,capsize
kabet,evil
kabin,cabinet
kabiz,crop (cut)
kaboC,crop (food)
kabor,calibrate
kabox,conquer
kabul,cobble
kaCar,coward
kaCef,projectile
kacet,incarcerate
kaCol,disposition
kacor,viscous
kadar,ooze
kadat,succumb
kadef,scrub
kaden,carnival
kadez,candy
kadol,coddle
kadon,chronicle
kadop,catapult
kados,counsel
kadud,clod
kadum,precede
kadur,clatter
kadux,concrete
kafak,dust
kafas,celery
kafed,confide
kafem,however
kafif,subordinate
kafiz,coil
kafor,close oneself off
kafuf,extenuate
kagaf,flip-flop
kagal,quell
kagan,cognate
kagik,quack
kagin,cognition
kagis,congress
kagor,cockroach
kagot,congregate
kajan,occasion
kajul,cashew
kakab,maple (tree)
kakid,cascade
kakix,babble
kakol,cackle
kakos,cactus
kakur,basin
kalab,collaborate
kalaj,college
kalam,clamp
kalaq,oven
kalar,clear
kaled,collide
kalem,claim
kalex,clash
kalin,colony
kalip,danish a vowel sound
kalis,clasp
kalog,clock
kalol,scour
kalon,kaon
kalos,meticulous
kalov,kelvin
kalum,cue
kalur,cower
kalut,collude
kalux,dominate
kamak,goose
kamal,compile
kaman,combine
kamas,thief
kamav,convulsant
kamed,commandeer
kameq,comma
kamif,configure
kamin,comedy
kamip,camp
kamiz,oxygen
kamob,combat
kamor,gamble
kamox,commission
kamuf,camouflage
kamul,comply
kamun,common
kamuz,comprise
kanam,condemn
kanar,con
kanax,crunch
kanek,concoct
kanen,canyon
kanes,consist
kanev,convey
kanid,command
kanim,quantity/quanta
kaniq,cunning
kanof,confer
kanog,concrete (abstract)
kanol,console
kanon,condone
kanoz,fancy
kanuj,conjure
kanum,conform
kanuq,baggy
kanur,concur
kanut,connotation
kapar,copyright
kapax,caption
kapen,captain
kapes,compass
kapit,compete
kapok,cap
kapol,encapsulate
kapoz,compose
kapuc,keep up with
kapuj,capture
kapur,concave
karaf,comfort
karak,query
karal,kernel
karan,car
karaz,annoint
karen,carry
karep,keep
kares,caress
karev,crave
karim,christen
kariq,cranky
karit,crown
karob,unobstruct
karoc,karma
karoj,cartilage
karom,heal
karoq,ring (sound)
karor,career
karug,node
karul,crawl
karun,cabbage
karus,cross
karuv,curve
kasam,custom
kasar,return at regular intervals
kasat,allot
kaseg,castigate
kasen,instant
kasev,conceive
kasic,furniture
kason,cask
kasop,explain
kasur,connoisseur
kataf,shoulder
katak,diacritic
katal,cuddle
katan,carton
kataz,butcher
katex,couch
katin,concatenate
katip,chip (block)
katis,tip (peak)
katoq,cut
kator,cruel
katul,catalogue
katun,cottonwood (tree)
katus,catalyst
katuv,cut back on
kavad,honor/respect
kavit,caveat
kavok,wolverine
kavon,cavern
kaxek,crush
kaxid,suspicion
kaxiq,cash
kaxon,quash
kaxut,decorate
kayur,culture
kazal,casualty
kazaz,cause
kazet,facade
kazis,piece
kebip,tune
kedal,cradle
kedan,kidnap
kedap,crisp
kedaz,criticize
kedit,quartz
kedoj,accept
keduk,crack
kedul,ashamed
kefik,convict
kefut,button
kekag,kick
kekal,economy
kekaz,cork
kekix,rattle
kelaf,clef
kelag,catalog
kelal,scarcity
kelan,claw
kelaz,equalize
kelik,quail
kelin,clean
kelis,chaos
keliv,cave
kelom,fatigue
kelor,color
kelot,coyote
kelul,time
kelun,caulk
kelup,clip (cut off)
kelus,crest
kemab,combust
kemar,commerce
kemik,10^15
kemol,complement
kemon,commence
kemos,consort
kemur,come up with
kemut,commute
kenag,congratulate
kenal,cancel
kenan,canidae
kenas,rape
kenav,canvas
kenib,contribute
keniq,approve
kenor,counter
kenot,kin
kenox,quench
kenuf,confetti
kenul,conclude
kenun,contend
kenup,canopy
kenuz,construct
kepal,capable
kepor,cape
kepox,kelp
kerab,crab
keram,cramp
keraq,audience
kerar,choreograph
kerax,crash
kerid,liquid
kerij,crane
kerim,chemical
keriq,care
kerof,cuff
kerog,encounter
kerol,cull
keron,carb
keroz,ankle
keruj,curd
kerum,crumple
kerur,crater
kerut,right (vs. wrong)
kesim,longing
kesit,caustic
kesuf,artichoke
ketik,critic
ketis,sequence
ketol,demand
ketur,cater
kevid,liver
kevor,grave
kevuv,divide
kexun,caution
kezub,ration
kibab,receive
kibol,quibble
kidak,gun
kidal,frolic
kidan,equidae
kidaz,foam
kided,could
kidoj,cage
kidom,promotion
kidor,equation
kidun,creak
kifar,quiver (shake)
kifat,attitude
kifol,crease
kigar,plaza
kigen,kick off
kigep,harsh
kigok,beaver
kijon,cajole
kiket,cricket
kikoq,finch (bird)
kilaf,classify
kilal,curse
kilan,cotyledon
kilap,clip (bind)
kilaz,close down
kileg,click
kilen,clinch
kiles,nucleus
kilev,cleave
kilod,keel
kilom,acclimate
kiloq,k sound
kilor,cucumber
kiluk,trout
kilul,cyan
kilun,pitchfork
kilus,crystal
kiluv,obligate
kimar,camera
kimat,flour
kimen,competent
kimop,computer
kimud,come across
kinal,consult
kinan,aggregate
kinap,contemplate
kinas,conceit
kinav,convex
kinem,lamentation
kinet,louse
kinod,condense
kinor,control
kipan,ghast
kipot,skim
kipul,cripple
kipup,tone
kiraq,creed
kirar,corroborate
kirat,secret
kirax,cache
kireb,crib
kirej,wicked
kirem,cremate
kirof,rhino
kirol,cream
kiron,cure
kirop,crypto
kiroz,collapse
kirud,credit
kisak,kiss
kitar,kit
kitat,focus
kitax,kitchen
kitoz,external
kival,isolation
kivan,equivalent
kivot,compress
kixor,knot
kiyot,cat
kizoz,if
kodal,crocodile
kodan,corn
kodej,courage
kodik,critique
kodiz,caliber
kodor,coerce
kodot,cord
kodup,keep on
kofof,clue
kogek,agree
kokan,"cock (action, gun)"
kokas,coax
koked,collocate
kokin,coke
kokiz,coxeter
kokul,curriculum
kokuz,cuckoo
kolak,kayak
kolal,shoot
kolan,cleanse
kolas,coalesce
kolav,rack
kolef,chlorophyll
kolen,clench
kolep,clap
kolez,closet
koliC,clothing
kolit,collate
kolix,clog
kolob,kill
koloC,clothe
kolor,peculiar
kolox,answer
kolul,cool (interjection)
kolun,community
koluz,close
komar,comb (hair)
komen,commend
komep,compare
komes,conquest
komiq,committee
komit,comet
komol,complain
komon,compound
komum,kettle
komur,comprehend
konaf,confine
konak,conduct (electricity)
konal,bowl
konan,consign
koned,candidate
konem,contempt
konin,confound
konip,vacate
konis,concede
koniv,convene
konor,contort
konun,conference
konus,coincide
konuv,contrive
kopal,compel
kopet,carpet
kopis,incapacitate
kopod,hedgehog
kopun,coal
korad,can
koram,carve
korar,corner
korem,cormorant
koreq,currency
koret,court (justice)
korex,crustacean
korig,ore
korin,chronic
koris,anoint
koriv,corvid
korok,curl
korol,quarrel
koron,category
koros,cursor
korov,call off
korub,cone
korum,ohm (measurement)
korur,incorporate
korux,xor
kosik,classic
kosot,cast
kotez,rescue
kotok,disagree
kovem,cove
koxan,quotient (division)
koyod,cold
kozam,lavender (vegetable)
kozen,cozy
kubis,club (society)
kudek,cook
kudid,helmet
kugak,swan
kugal,coagulant
kujan,recursion
kukad,infamy
kukit,oyster
kukol,crackle
kulad,cloud
kulam,coulomb
kulax,ouch
kulem,culminate
kulet,leporidae (hare)
kulif,successor
kulig,colleague
kulin,clean up
kulok,quick
kulol,clutch
kulon,cool
kuloz,pioneer
kumal,accumulate
kuman,coma
kumap,compact
kumet,pear
kumig,back up
kumin,incumbent
kumis,constrict
kumoj,back down
kumom,five
kumor,commercial (tv)
kunad,kind (good)
kunar,contract
kunef,convalescence
kunen,contain
kunep,conspire
kunez,consecrate
kunit,quantity
kunok,context
kunos,concern
kunov,converse (opposite)
kupop,scope
kural,coral
kuran,current (recent)
kurap,victim
kuras,curious
kurav,market
kuref,cringe
kureg,core
kuren,curtain
kurez,cruise
kurib,carbonate
kurix,shark
kuroC,character (portray)
kurod,corrode
kurom,crumble
kuroq,crux
kurox,crouch
kusar,cuss
kusol,console (help)
kutal,curtail
kutan,quota
kutas,quote
kutig,accuse
kutiz,slot
kutod,miss (didn't touch)
kuvat,covet
kuwit,cute
kuxon,cushion
kuyat,cult
labal,label/characterization
labin,lobby
labor,lab
labot,fan (action)
laCar,lather
laCid,stack
laCur,leather
ladaj,l sound
laden,laud
ladid,delicious
lafan,satellite
lafet,laugh
lafif,four
lafuf,far (large-distance-focus)
lagak,like
lagan,elegant
lagor,log
lagug,organ (body)
lagun,lug
lajan,legend
lajip,garbage
lajis,legislate
lakam,warfare
laken,diagonal
lakim,prosperity
lakit,lanky
lakix,relaxation
lakok,client
lakol,lock
lakos,lack
lalad,wild
lalex,old-fashioned
laliv,lush
lalon,alliance
laman,lamb
lamap,smear
lamet,loom
lamin,laminate
lamod,tutor
lamoq,lump
lamor,lumber
lanad,lounge
lanen,land
lanes,miserly
lanim,league
lanit,lint
lanok,wool
lanuq,blush
lanur,launder
lapar,elaborate
lapes,lap (race)
laran,layer
larap,lepton
lareg,element
lares,let in
larev,larva
larod,large
laroj,let down
larom,limb
larus,gull
laruv,leave
lasek,flock
lasen,license
lasut,last
lataf,entertain
latet,light
latex,latch
latin,lightning
latis,lattice
lator,luster
latuk,corny
latus,lettuce
lavar,lava
lavat,levitate
laxiq,virtuous
lazan,almond
lazem,due
lazul,lapis lazuli
lazup,candle
lebar,library
lebur,labor
leCot,bore (boring)
leCus,point out
ledoj,theory
lefar,leverage
lefon,elephant
legik,link
legog,permute
legoz,leg
lejuj,logic
lekak,collect
lekix,languish
lekug,look
leloq,exquisite
lemip,limp
lenak,lone
lenas,lane
lenid,landscape
lepap,push
lepor,leporidae
lerax,10^12
leric,levy
lesiq,lace
lesot,list
lesun,lesson
lesup,lisp
letar,late
levit,alleviate
lezin,lazy
libar,leap
libur,liberate
lidal,literal
lidaz,clown
lidet,liquidate
lidod,lead
lidor,lid
lifek,lavish
lifut,lift
ligax,mangle
ligol,ridicule
lijur,leisure
likan,liken
likex,relinquish
liloq,might
limaq,leeway
linan,lenient
linas,stingy
linej,lineage
linem,courtesy
linot,lynch
linox,temporary
linuf,lean (fat)
linuz,drip
lipor,leopard
lired,wet
liron,leer
lisem,bread
liseq,lease
liset,elicit
lisul,nimble
litar,liter (measurement)
litax,little
litog,litigate
livak,evict
lived,evade
lixeq,ideal
liyal,boolean
loCed,loath
loCug,loathe
lodun,lunge
logit,lurk
logok,bet (gamble)
lokan,open space
loket,locate
lokig,glimmer
lokor,look up
lokuk,place (space location)
lomat,lament
lomen,lamprey
lomum,plural (many)
lonal,loyal
lonan,lung
lonom,profile
lonun,moon
lopis,lapse
lopus,bolt
lorat,let
loreb,lobe
lorik,ratio
loron,line
loros,lust
lorur,log out
losed,elucidate
losiv,elusive
losul,halogen
lotar,loiter
lotix,lurch
lotux,protrude
luban,boss
lubob,error
ludad,yellow
ludar,lewd
ludij,litter
lugig,murmur
lukam,look forward to
lukar,look after
lukop,look for
lulik,reed (plant)
luman,lumen (measurement)
lumeb,harass
luniq,lunacy
lurag,log (diary)
luran,lure
luras,log in
lurek,lube
lurid,already
lurot,pregnant
lusad,lucid
lusit,hit (popular)
lutin,otter
lutor,loot
luxiq,popular
maboc,mob
macak,myth
madad,middle
madam,intoxicate
madar,shower (water)
madax,symmetry
mades,modest
madij,image
madim,uniform (clothing)
madiq,video
madit,revel
madof,shelf
madol,muddle
madon,mad
maduj,marry (wed)
madur,muster
mafik,musk
magal,refugee
magan,dock
magap,mug (rob)
magas,maximum
maget,maggot
magif,epidemic
magig,fruit
magin,magazine
magiz,moss
magor,tuna
magox,tray
maguf,boot (shoe)
majej,model
makax,fly (bug)
maken,mechanism
makes,iron
makev,grief
makim,maxim
makon,mark
makoz,muck
makur,manicure
malat,cement
malik,who
malin,filth
maliz,sermon
maloz,mow (grass)
malud,metal
malum,special
malur,maul
mamik,maim
mamor,sorrow
mamot,debate
mamul,mumble
manaj,manage
manam,mother
manaq,harmony
manar,utter
manat,ponder
manef,manufacture
manen,dose
manim,monotreme
manix,munch
manol,round
manon,passion
manop,monopoly
manos,monster
manuC,humanity
manud,meander
manum,monument
manuq,mmm
manur,manner
mapar,map (chart)
mapen,mop
mapon,habitat
maput,minority
marag,old
maral,mettle
maran,muon
maras,mass
maref,rake
marek,soup
maren,marinate
marid,sick
maroC,quite
marom,mammal
maror,martyr
marot,march
marox,mesh (inter-)
maruf,decend
marul,marble
marun,maroon
marup,marsupial
masad,institution
masaj,massage
masam,must (smell)
masar,expensive
masep,misplace
masez,territory
masim,nail (carpentry)
masit,overall
masok,erase
masol,mussel
masur,saw (tool)
matal,armadillo
matan,thing about the thing (meta-)
matas,situation
mateb,coin
matif,motif
matik,metric
mator,mutter
matot,cracker
matox,mature
matuz,distress
mavek,maze/labyrinth
mavol,marvel
mavon,introduction
mavut,die
maxat,oar (boat)
maxol,marshal
maxov,feedback
mazak,mask
mazal,luck
mazan,maze
mazas,mars
mazec,muze
mazul,muscle
mazuz,pain
meCim,ticket
medak,tension
medal,meddle
medas,majesty
medor,metaphor
medun,median (math)
meduz,jellyfish
mejar,major
mekit,medicate
mekor,err
mekox,mute
mekuk,earth (dirt)
mekuz,promiscuous
melin,kite
melod,mold (shape)
meluk,king
melun,melon (vegetable)
memar,memorize
memat,mane
memig,mummy
memon,memo
memuc,mammoth
menan,mint (make)
menap,manipulate
meniq,mean (verb)
menit,internet
menod,manager
menuk,serenity
menun,maintain
menus,menace
mepal,maple
meraj,merchant
meram,texture
merar,symbol
merat,must
merib,suspicious
meriq,merry
merop,10^36
merov,maybe
merud,manifold
mesal,mislead
mesid,stumble
mesim,apricot
mesor,tradition
mesus,month
metar,chord (math)
metat,forward
metos,matrix (math)
metud,nematoda
metum,metamorphic
metur,mentor
metux,much (large-lot-focus)
mewit,filling
mexit,mush
mezar,mesmerize
mezik,music
mezol,muzzle
mezut,character (nature)
miCal,mediate
micud,method
midal,tower
midan,media
midor,compartment
midot,spare
midox,interpret
mifad,census
mifar,joint (biology)
migar,survey
migek,make
migur,meager
migut,mitigate
mikal,burrow
mikan,mechanical
miked,temple
mikox,mixture
mikuz,recycle
milak,mail
milan,mill
mimad,muskox
mimok,mimic
minak,money
minal,mineral
minan,offering
minaz,means
mined,mate
mineq,motion
minor,lamp
minug,custom/traditional practice
minul,miniscule
minun,main
minus,mince
mipet,meet
mirad,revolt
miraj,mirage
miram,fraud
mirar,bright
miret,meter
mirex,recipe
mirok,miracle
misal,missile
misem,certificate
misor,loyalty
misot,protest
mitar,myriad
mivor,telegram
mixak,ointment
mixal,transmission
mixor,regulate
mizam,initiative
mizar,prism
mizov,luggage
mizud,fortress
modaf,modify
modan,modern
modet,moderate
modis,medicine
modod,mode
mofol,muffle
mogeg,meaning
mojuj,message
mokan,dumb
mokik,make up
mokot,mutate
molaz,frizz
molek,monkey
moliq,mole
molot,vowel large O sound
molul,high
molus,mold (bacteria)
momar,momentum
momen,moment
momiq,moo
momur,commemorate
monan,shy
monas,administer
moneq,moan
monik,motor
monin,mend
monot,occuptation
mopak,mope
mopip,twelve
moraq,mourn
mored,nurse
morin,morning
morof,morph
morog,mortgage
moron,m sound
moroz,metamorphosis
moruj,merge
morur,murder
morut,mortar
mosal,mustelidae
moset,emaciate
mosig,fork (utensil)
mosod,most (-est) (large-collection-partition-focus)
motar,moat
motev,motive
moton,moot
motut,mountain
movun,move on
moxik,pledge
moxox,immutable
mozit,mosquito
mozoz,hash
mubal,mobile
mudaj,dive
mudat,mutilate
mukek,align
mulos,mollusk
mumip,mime
munam,bald
munen,mundane
muraf,mortify
murak,mercury
mural,mortal
murev,mighty
muric,marry
murij,margin
musam,convention
musaq,aardvark
musar,massacre
musat,member
musax,mustache
museg,concept
musib,party
mutak,paddle
mutal,mutual
mutan,mutant
muted,mood
mutin,mutiny
mutip,peak
mutiv,motivate
muxek,prolonged
muzig,muse
naban,nub
nabas,neptune
nabeq,knob
nadaj,knowledge
nadar,cnidaria
nadat,banish
nadud,wander
nafak,capacity
nafas,widespread
nagal,palm tree
nagik,goad
nagin,eel
nagor,inaugurate
nagot,contrast
nagun,melody
najot,nauseate
nakam,revenge
nakar,exhaust
nakek,crevice
nakol,cervidae
nakur,knock out
nalar,document
nalin,analogy
nalol,neutral
namal,port
namin,nominate
namip,magnet
namor,humble
nanid,nand
naniq,junior
nanoz,noise
napar,nap
napok,inflate
narak,any
naral,natural
narev,river
narit,narrate
narob,neighbor
naroc,north
naroj,nurture
naroq,narrow
naruv,nerve
nasar,ally
nasat,attempt
naseg,retreat
nases,nice
nataf,notify
natak,nod
natal,exploit
natan,gnat
nataz,glory
natem,parallax
nateq,knight
natex,n sound
natis,notice
nativ,generous
nator,monitor
navit,navigate
navok,prophesy
naxen,national
naxof,breeze
nazaz,as
nazul,lodge
nebol,nebula
nedor,vow
neduk,severing
nefol,tumble
nefos,kidney
negax,negotiate
negis,10^27
negiv,virus
negud,dot
nekot,anecdote
nelaz,analyse
nelot,annihilate
nemut,clay
nesal,nestle
nesas,lawn
nesit,nasty
netar,nectar
netax,notch
netik,vagina
netis,phocidae (seal animal)
nevak,realize
neval,navel
nevim,prophecy
nexan,nation
nezoz,nose
nibog,genius
nidak,chunk
nided,need
nidul,needle
nifat,invest
nigad,naked
nijok,specific
nikan,enter a state
nikuk,pink
nikun,nickname
nilan,quiz
niles,lux (measurement)
