head,marks,gloss
屏,15,"folding screen"
挡,15,"obstruct"
醉,15,"intoxicated"
栏,15,"railing"
丑,15,"clown"
逆,15,"disobey"
迪,15,"enlighten"
归,15,"return to"
岭,15,"mountain ridge"
颈,15,"neck"
招,15,"beckon"
推,15,"push"
標,15,"topmost branches of a tree"
滅,15,"obliterate"
宮,15,"house"
甸,15,"suburbs of capital"
隊,15,"group"
邑,15,"area"
猪,15,"pig"
逼,15,"compel"
逝,15,"pass away"
勞,15,"toil"
處,15,"reside"
坊,15,"neighborhood"
單,15,"single"
仓,15,"granary"
銷,15,"melt"
跡,15,"footprint"
決,15,"dredge"
肚,15,"bowels"
亂,15,"disorderly"
積,15,"store up crops"
識,15,"know"
淫,15,"obscene"
奴,15,"slave"
枕,15,"pillow"
砖,15,"tile"
資,15,"money"
筵,15,"feast"
胃,15,"stomach"
茎,15,"stem"
竿,15,"bamboo pole"
擊,15,"strike"
螺,15,"spiral shell"
们,14,"adjunct pronoun indicate plural"
就,14,"just"
暖,14,"warm"
刷,14,"brush"
裤,14,"trousers"
介,14,"forerunner"
厅,14,"hall"
贵,14,"expensive"
争,14,"dispute"
润,14,"soft"
闹,14,"quarrel"
究,14,"examine"
荣,14,"glory"
纲,14,"heavy rope"
眠,14,"close eyes"
敬,14,"respect"
衡,14,"measure"
摩,14,"rub"
革,14,"leather"
喻,14,"metaphor"
册,14,"book"
炭,14,"charcoal"
茄,14,"eggplant"
负,14,"load"
艳,14,"beautiful"
夺,14,"take by force"
捷,14,"win"
盟,14,"swear"
伙,14,"companion"
墓,14,"grave"
娃,14,"baby"
智,14,"wisdom"
伐,14,"cut down"
闷,14,"gloomy"
湾,14,"a bay"
惑,14,"confuse"
辰,14,"early morning"
污,14,"filthy"
困,14,"surround"
函,14,"correspondence"
哨,14,"whistle"
逸,14,"flee"
禽,14,"birds"
颜,14,"face"
舱,14,"hold of ship"
梢,14,"pointed tip of something long like a branch"
绿,14,"green"
菇,14,"mushrooms"
兽,14,"beast"
塊,14,"piece"
丈,14,"unit of length equal 3.3 meters"
將,14,"will"
爵,14,"feudal title or rank"
帆,14,"sail"
秋,14,"autumn"
衛,14,"guard"
醫,14,"medicinal"
虾,14,"shrimp"
癌,14,"cancer"
結,14,"tie"
霸,14,"rule by might rather than right"
態,14,"condition"
洪,14,"vast"
豹,14,"leopard"
選,14,"choose"
於,14,"Oh!"
狐,14,"fox"
犁,14,"plow"
耕,14,"plow"
館,14,"accommodation"
畫,14,"write"
附,14,"adhere to"
拱,14,"fold hands on breast"
秒,14,"beard of grain or corn"
羽,14,"feather"
湯,14,"hot or boiling water"
勺,14,"spoon"
妓,14,"prostitute"
疮,14,"tumor"
葵,14,"sunflower"
鼻,14,"nose"
賊,14,"damage"
蜡,14,"wax"
詩,14,"poem"
姓,14,"one's family name"
秤,14,"balance"
钉,14,"nail"
锯,14,"saw"
圓,14,"round"
森,14,"forest"
鹭,14,"heron"
碱,14,"alkaline"
棉,14,"cotton padded"
缸,14,"earthenware jug"
且,13,"moreover"
何,13,"what"
叔,13,"father's younger brother"
哈,13,"sound of laughter"
初,13,"beginning"
续,13,"continue"
今,13,"now"
梦,13,"dream"
悔,13,"repent"
聘,13,"engage"
之,13,"marks preceding phrase as modifier of following phrase"
秘,13,"secret"
植,13,"plant"
赞,13,"help"
屈,13,"bend"
疼,13,"aches"
维,13,"maintain"
劣,13,"bad"
柴,13,"firewood"
燃,13,"light fire"
鸭,13,"Anas species"
促,13,"urge"
健,13,"strong"
铺,13,"spread out"
胞,13,"womb"
采,13,"fief"
挂,13,"hang"
诺,13,"promise"
仇,13,"enemy"
酌,13,"serve wine"
滨,13,"beach"
牧,13,"tend cattle"
督,13,"supervise"
辛,13,"bitter"
隔,13,"separate"
袖,13,"sleeve"
跌,13,"stumble"
占,13,"observe"
冻,13,"freeze"
割,13,"cut"
忌,13,"jealous"
冈,13,"ridge or crest of hill"
押,13,"mortgage"
摸,13,"touch"
榜,13,"placard"
愤,13,"resent"
暑,13,"hot"
覆,13,"overturn"
烯,13,"alkene"
堵,13,"wall"
穗,13,"ear of grain"
戶,13,"door"
蓋,13,"cover"
符,13,"i.d. tag"
興,13,"rise"
疹,13,"measles"
肝,13,"liver"
夷,13,"ancient barbarian tribes"
腺,13,"gland"
離,13,"leave"
九,13,"nine"
渊,13,"gulf"
瑟,13,"large stringed musical instrument"
遊,13,"wander"
吻,13,"kiss"
類,13,"class"
阅,13,"examine"
況,13,"condition"
塵,13,"dust"
轉,13,"turn"
債,13,"debt"
請,13,"ask"
嫂,13,"sister-in-law"
鏡,13,"mirror"
敗,13,"lose"
壺,13,"pot"
漿,13,"an ancient sour drink"
涩,13,"astringent"
逃,13,"escape"
钢,13,"steel"
混,13,"mix"
簧,13,"reed of woodwind instrument"
難,13,"difficult"
篇,13,"chapter"
屁,13,"break wind"
鹀,13,"bunting"
垣,13,"low wall"
寫,13,"place"
規,13,"dividers"
綠,13,"green"
蟹,13,"crab"
划,12,"scratch"
广,12,"wide"
李,12,"plum"
范,12,"bee-like insect"
闭,12,"shut"
键,12,"door bolt"
授,12,"give to"
泪,12,"tear"
漫,12,"overflow of water"
页,12,"page"
慕,12,"long for"
腐,12,"rot"
匙,12,"spoon"
闲,12,"fence"
借,12,"borrow"
避,12,"turn aside"
脏,12,"dirty"
抱,12,"hold"
帝,12,"supreme ruler"
承,12,"inherit"
疫,12,"epidemic"
迁,12,"move"
吐,12,"spit"
悦,12,"pleased"
猎,12,"hunt"
摆,12,"put"
浮,12,"float"
署,12,"public office"
鲁,12,"foolish"
我,12,"I"
畅,12,"smoothly"
兆,12,"trillion"
逐,12,"chase"
超,12,"jump over"
鹤,12,"Grus species"
贷,12,"lend"
碟,12,"small dish"
阁,12,"chamber"
爽,12,"happy"
卜,12,"radish"
朴,12,"simple"
晕,12,"halo in sky"
赫,12,"bright"
桑,12,"mulberry tree"
嫌,12,"hate"
胀,12,"swell"
昂,12,"rise"
契,12,"deed"
舟,12,"boat"
屄,12,"vagina"
說,12,"say"
酮,12,"ketones"
零,12,"zero"
十,12,"ten"
粪,12,"manure"
課,12,"lesson"
嫁,12,"marry"
載,12,"ride"
闸,12,"sluice"
雾,12,"fog"
危,12,"dangerous"
觀,12,"observe"
勝,12,"be able to bear"
四,12,"four"
翅,12,"wings"
細,12,"thin"
叙,12,"express"
卧,12,"lie down"
羅,12,"net for catching birds"
氧,12,"oxygen"
麗,12,"beautiful"
歲,12,"Jupiter"
倚,12,"rely on"
爾,12,"you"
完,12,"complete"
寂,12,"still"
強,12,"strong"
驴,12,"donkey"
爪,12,"fingernail"
钻,12,"drill"
芹,12,"celery"
兔,12,"rabbit"
則,12,"rule"
賽,12,"compete"
燒,12,"burn"
應,12,"should"
賣,12,"sell"
鲸,12,"whale"
錄,12,"record"
災,12,"calamity"
垢,12,"dirt"
荷,12,"lotus"
滴,12,"drip"
苷,12,"licorice"
芋,12,"taro"
窩,12,"nest"
框,12,"frame"
箔,12,"reed screen"
欢,11,"happy"
适,11,"go"
讲,11,"say"
太,11,"very"
泳,11,"dive"
祝,11,"pray for happiness or blessings"
济,11,"help"
炼,11,"smelt"
姨,11,"mother/wife's sister"
摇,11,"shake"
疗,11,"be healed"
吸,11,"suck"
晚,11,"late"
陆,11,"land"
构,11,"frame"
悉,11,"know"
织,11,"weave"
勇,11,"brave"
低,11,"low"
忘,11,"neglect"
惠,11,"favor"
裔,11,"progeny"
毯,11,"rug"
估,11,"merchant"
虚,11,"false"
贯,11,"a string of 1000 coins"
弊,11,"evil"
斜,11,"slanting"
僻,11,"out-of-the-way"
舰,11,"warship"
妆,11,"adorn oneself"
沫,11,"froth"
殿,11,"palace"
阔,11,"wide"
严,11,"strict"
郁,11,"sweet smelling"
孕,11,"be pregnant"
讨,11,"discuss"
耀,11,"shine"
戴,11,"wear on top"
扯,11,"pull"
疏,11,"neglect"
窃,11,"secretly"
圣,11,"holy"
瓣,11,"petal"
拢,11,"collect"
昏,11,"dusk"
旁,11,"side"
奉,11,"offer"
捐,11,"contribute"
垒,11,"rampart"
孙,11,"grandchild"
吏,11,"government official"
卒,11,"soldier"
欠,11,"owe"
涌,11,"surge up"
坪,11,"level ground"
碗,11,"bowl"
對,11,"correct"
醛,11,"aldehyde"
倍,11,"times"
八,11,"eight"
島,11,"island"
振,11,"raise"
壽,11,"old age"
尉,11,"officer"
測,11,"fathom"
覺,11,"become aware"
傳,11,"transfer"
欧,11,"translit.: Europe"
脊,11,"spine"
瑞,11,"felicitous omen"
貝,11,"shellfish"
糧,11,"grain"
嗣,11,"connect"
蒂,11,"peduncle or stem of plants"
蠹,11,"moth"
溝,11,"ditch"
緣,11,"hem"
撒,11,"release"
插,11,"insert"
稅,11,"tax"
稱,11,"weigh"
脈,11,"blood vessels"
爹,11,"father"
鼬,11,"weasel"
藍,11,"blue"
癣,11,"ringworms"
領,11,"neck"
梗,11,"stem of flower"
剑,11,"sword"
靡,11,"divide"
認,11,"recognize"
戀,11,"love romantically"
掠,11,"rob"
茬,11,"harvest"
髮,11,"hair"
聽,11,"listen"
靜,11,"silent"
凳,11,"bench"
鹰,11,"eagle"
鞭,11,"whip"
壓,11,"press"
溜,11,"slide"
譜,11,"register"
責,11,"demand"
籠,11,"bamboo-made implement for holding soil"
栈,11,"warehouse"
刃,11,"edged tool"
現,11,"present"
狀,11,"form"
飲,11,"drink"
鐘,11,"bell"
痒,11,"itch"
拐,11,"kidnap"
砚,11,"inkstone"
喝,11,"drink"
揚,11,"lift"
肿,11,"swell"
槍,11,"spear"
狮,11,"lion"
铜,11,"copper"
菊,11,"chrysanthemum"
針,11,"needle"
鲈,11,"sea perch"
酶,11,"enzymes"
蛉,11,"dragonfly"
些,10,"some"
么,10,"interrogative particle"
爸,10,"father"
须,10,"must"
绩,10,"spin"
纪,10,"record"
终,10,"end"
鲜,10,"fresh"
遍,10,"everywhere"
激,10,"arouse"
括,10,"include"
稳,10,"stable"
递,10,"hand"
即,10,"promptly"
络,10,"enmesh"
傲,10,"proud"
愁,10,"anxiety"
亏,10,"lose"
并,10,"equal to"
绕,10,"entwine"
慰,10,"comfort"
脆,10,"crisp"
裁,10,"cut out"
绪,10,"end of thread"
跃,10,"skip"
乏,10,"lack"
偿,10,"repay"
废,10,"abrogate"
券,10,"certificate"
驳,10,"varicolored"
睦,10,"friendly"
忍,10,"endure"
壮,10,"big"
无,10,"negative"
魄,10,"vigor"
浴,10,"bath"
腻,10,"greasy"
遣,10,"send"
浊,10,"muddy"
缀,10,"patch together"
撞,10,"knock against"
幻,10,"illusion"
陋,10,"narrow"
简,10,"simple"
茫,10,"vast"
疆,10,"boundary"
庸,10,"usual"
猛,10,"violent"
喊,10,"shout"
泣,10,"cry"
衔,10,"bit"
诈,10,"cheat"
霞,10,"rosy clouds"
腕,10,"wrist"
宽,10,"wide"
篮,10,"basket"
拿,10,"take"
溢,10,"overflow"
髓,10,"bone marrow"
缠,10,"wrap"
萨,10,"Buddhist gods or immortals"
勃,10,"suddenly"
申,10,"monkey"
舉,10,"raise"
寶,10,"treasure"
莊,10,"grassy"
屬,10,"category"
營,10,"encampment"
依,10,"rely on"
溶,10,"melt"
菲,10,"fragrant"
壑,10,"bed of torrent"
岳,10,"mountain peak"
柏,10,"cypress"
俄,10,"sudden"
埔,10,"plain"
寮,10,"shanty"
斷,10,"break"
陰,10,"cloudy"
張,10,"string a bow"
簿,10,"register"
什,10,"file of ten soldiers"
鼎,10,"large"
許,10,"allow"
札,10,"letter"
肺,10,"lung"
跳,10,"jump"
講,10,"say"
瘟,10,"epidemic"
莲,10,"lotus"
锦,10,"brocade"
优,10,"superior"
鸮,10,"owl"
們,10,"Suffix indicating plural for pronouns"
診,10,"examine"
冤,10,"grievance"
陀,10,"steep bank"
險,10,"difficult and treacherous"
鸽,10,"pigeon"
庫,10,"warehouse"
飛,10,"fly"
磁,10,"magnetic"
兜,10,"pouch"
曆,10,"calendar"
蚁,10,"ants"
蚕,10,"silkworms"
旅,10,"trip"
摊,10,"spread out"
辦,10,"deal with"
甜,10,"sweet"
埠,10,"port city"
苔,10,"moss"
異,10,"different"
嗪,10,"character used in translation"
贡,10,"offer tribute"
麥,10,"general term for wheat"
製,10,"make"
肌,10,"muscle tissue"
齒,10,"tooth"
霧,10,"fog"
邻,10,"neighbor"
鹼,10,"sodium carbonate"
桩,10,"stake"
笠,10,"bamboo hat"
蝦,10,"shrimp"
團,10,"sphere"
慮,10,"be concerned"
檀,10,"sandalwood"
葛,10,"edible bean"
蒿,10,"mugwort"
蛛,10,"spider"
般,9,"sort"
他,9,"him"
消,9,"vanish"
已,9,"already"
蕉,9,"banana"
烦,9,"bother"
戚,9,"relative"
谊,9,"friendship"
阶,9,"stairs"
惊,9,"frighten"
施,9,"grant"
短,9,"short"
买,9,"buy"
吧,9,"emphatic final particle"
涨,9,"rise in price"
毫,9,"fine hair"
询,9,"inquire into"
庙,9,"temple"
返,9,"return"
触,9,"butt"
奈,9,"but"
慧,9,"bright"
滩,9,"bank"
盾,9,"shield"
慎,9,"act with care"
伍,9,"five"
仰,9,"raise the head to look"
泊,9,"park"
那,9,"that"
抗,9,"resist"
祥,9,"good luck"
凡,9,"all"
创,9,"establish"
辟,9,"law"
忧,9,"sad"
赠,9,"give present"
残,9,"injure"
酱,9,"any jam-like or paste-like food"
陶,9,"pottery"
拙,9,"stupid"
殖,9,"breed"
叹,9,"sigh"
增,9,"increase"
融,9,"melt"
蔽,9,"cover"
翔,9,"soar"
顷,9,"a moment"
喉,9,"throat"
徽,9,"a badge"
企,9,"plan a project"
赴,9,"go to"
翁,9,"old man"
奔,9,"run fast"
恤,9,"show pity"
揽,9,"grasp"
寻,9,"seek"
穷,9,"poor"
洒,9,"sprinkle"
丛,9,"bush"
串,9,"string"
堆,9,"heap"
截,9,"cut off"
寧,9,"peaceful"
鲷,9,"Pagrosomus major"
曜,9,"glorious"
七,9,"seven"
無,9,"not have"
頓,9,"strike downwards to a surface:"
饶,9,"bountiful"
扑,9,"pounce"
滿,9,"full"
贱,9,"mean"
懂,9,"understand"
衰,9,"decline"
襲,9,"attack"
挺,9,"stand upright"
範,9,"mould"
籤,9,"inscribed bamboo slips used for divination or drawing"
綴,9,"stitch up"
軸,9,"axle"
姿,9,"one's manner"
賓,9,"visitor"
夹,9,"be wedged or inserted between"
斋,9,"vegetarian diet"
宠,9,"favorite"
幹,9,"main part of something"
钳,9,"pincers"
郊,9,"suburbs"
戎,9,"arms"
茅,9,"reeds"
謝,9,"excuse oneself"
豚,9,"small pig"
縮,9,"shrink"
據,9,"depend on"
復,9,"return"
灌,9,"water"
還,9,"have or have not"
臨,9,"overlook"
膽,9,"gallbladder"
拼,9,"join together"
訴,9,"tell"
衬,9,"underwear"
阀,9,"powerful and influential group"
筍,9,"bamboo shoot"
巷,9,"alley"
虐,9,"cruel"
悍,9,"courageous"
納,9,"admit"
獅,9,"lion"
戲,9,"play"
陣,9,"short moment of time"
粟,9,"unhusked millet"
几,9,"small table"
玛,9,"agate"
薰,9,"a medicinal herb"
恐,9,"fear"
癖,9,"craving"
蘑,9,"type of edible mushroom"
勁,9,"powerful"
冊,9,"book"
鳗,9,"eel"
醋,9,"vinegar"
喪,9,"mourning"
試,9,"test"
泰,9,"great"
婴,9,"baby"
蚤,9,"louse"
墩,9,"heap"
蝨,9,"louse"
鈴,9,"bell"
網,9,"net"
漢,9,"Han River"
葱,9,"scallions"
銀,9,"silver"
曼,9,"long"
掖,9,"support with the arms"
屍,9,"corpse"
翠,9,"color green"
遗,9,"lose"
財,9,"wealth"
鴨,9,"duck"
棗,9,"jujube"
鸥,9,"seagull"
渠,9,"canal"
柑,9,"tangerine"
聖,9,"noble"
靴,9,"boots"
炒,9,"fry"
蕩,9,"sway"
橙,9,"orange tree"
乾,9,"dry"
万,8,"thousand"
奋,8,"strive"
羞,8,"disgrace"
默,8,"silent"
担,8,"carry"
聊,8,"somewhat"
停,8,"park"
恼,8,"angered"
贺,8,"congratulate"
辑,8,"gather up"
厉,8,"whetstone"
霉,8,"mildew"
佳,8,"good"
泛,8,"drift"
仿,8,"imitate"
漠,8,"desert"
烤,8,"roast"
研,8,"grind"
帘,8,"flag-sign of a tavern"
俊,8,"talented"
献,8,"offer"
夕,8,"evening"
涉,8,"ford stream"
未,8,"not yet"
鉴,8,"mirror"
蓄,8,"store"
却,8,"still"
削,8,"scrape off"
抑,8,"press down"
誓,8,"swear"
咽,8,"throat"
执,8,"hold in hand"
踪,8,"footprints"
驰,8,"go quickly or swiftly"
详,8,"detailed"
裕,8,"abundant"
篷,8,"awning"
酬,8,"toast"
躁,8,"tense"
惧,8,"fear"
哀,8,"sad"
惰,8,"indolent"
劫,8,"take by force"
衍,8,"overflow"
耻,8,"shame"
械,8,"weapons"
稻,8,"rice growing in field"
窄,8,"narrow"
忽,8,"suddenly"
赔,8,"indemnify"
诵,8,"recite"
唐,8,"Tang dynasty"
叠,8,"pile"
塑,8,"model in clay"
仆,8,"fall forward"
绣,8,"embroider"
泄,8,"leak"
贸,8,"trade"
雁,8,"wild goose"
婿,8,"son-in-law"
戈,8,"halberd"
崖,8,"cliff"
募,8,"levy"
晓,8,"dawn"
毙,8,"kill"
绵,8,"cotton wad"
蜜,8,"sweet"
妥,8,"satisfactory"
栓,8,"wooden peg"
伞,8,"umbrella"
汛,8,"high water"
臉,8,"cheek"
卯,8,"fourth earthly branch"
千,8,"thousand"
五,8,"five"
圍,8,"surround"
曹,8,"ministry officials"
谕,8,"proclaim"
垂,8,"let down"
诏,8,"decree"
忠,8,"loyalty"
潔,8,"clean"
甘,8,"sweetness"
錯,8,"wrong"
順,8,"follow"
胄,8,"helmet"
绒,8,"silk"
謀,8,"stratagem"
餘,8,"remain"
鸦,8,"crow"
龟,8,"turtle or tortoise"
箧,8,"rattan box"
酪,8,"cream"
項,8,"nape of neck"
吞,8,"absorb"
勉,8,"endeavor"
廉,8,"upright"
環,8,"circle"
託,8,"entrust"
或,8,"or"
鏈,8,"chain"
寄,8,"send"
抄,8,"copy"
疤,8,"scar"
钞,8,"paper money"
裡,8,"inside"
訪,8,"visit"
僧,8,"Buddhist priest"
妾,8,"concubine"
儒,8,"Confucian scholar"
奪,8,"lose"
膝,8,"knee"
靖,8,"pacify"
扁,8,"flat"
補,8,"mend"
譯,8,"translate"
蹄,8,"hoof"
腥,8,"raw meat"
統,8,"interconnected and continuous relationship"
聞,8,"hear"
訊,8,"inquire"
凶,8,"culprit"
吨,8,"metric ton"
蝉,8,"continuous"
厕,8,"mingle with"
亨,8,"smoothly"
笋,8,"bamboo shoots"
磚,8,"brick"
垮,8,"be defeated"
噪,8,"be noisy"
谏,8,"remonstrate"
嫲,8,"paternal grandmother"
軌,8,"rut"
憲,8,"law"
蝽,8,"bedbug"
晴,8,"clear weather"
農,8,"cultivate"
兑,8,"cash"
蔥,8,"green onion"
杠,8,"lever"
龜,8,"turtle"
茸,8,"soft"
鎖,8,"lock"
疱,8,"acne"
舵,8,"rudder"
哭,8,"weep"
啶,8,"phonetic used in pyridine and pyrimidine"
獻,8,"offer"
咕,8,"mumble"
呢,8,"interrogative or emphatic final"
蛤,8,"clam"
锥,8,"gimlet"
芯,8,"pith from rush"
芥,8,"mustard plant"
斧,8,"axe"
盔,8,"bowl"
嬰,8,"necklace"
痴,8,"foolish"
崎,8,"rough"
訓,8,"teach"
蜥,8,"lizard"
褲,8,"pants"
錘,8,"hammer"
練,8,"white silk"
糠,8,"chaff"
貂,8,"marten"
蠅,8,"fly"
蓉,8,"hibiscus"
羹,8,"soup"
迎,7,"receive"
必,7,"surely"
显,7,"manifest"
敢,7,"dare"
含,7,"hold in mouth"
纯,7,"pure"
寸,7,"inch"
燥,7,"dry"
膊,7,"shoulders"
坦,7,"flat"
伸,7,"extend"
愧,7,"ashamed"
谓,7,"say"
擦,7,"rub"
炸,7,"fry in oil"
柔,7,"rub"
矩,7,"carpenter's square"
随,7,"follow"
厢,7,"side-room"
伟,7,"great"
繁,7,"complicated"
瘾,7,"rash"
慈,7,"kind"
酷,7,"cool"
鄙,7,"mean"
呆,7,"dull"
唇,7,"lip"
盗,7,"rob"
昧,7,"obscure"
搏,7,"seize"
拨,7,"move"
掘,7,"dig"
晃,7,"bright"
谎,7,"lie"
纵,7,"indulge in"
竭,7,"put forth great effort"
拟,7,"draft"
颂,7,"laud"
恒,7,"constant"
辙,7,"wagon ruts"
汰,7,"excessive"
奥,7,"mysterious"
牲,7,"sacrificial animal"
稀,7,"rare"
膛,7,"chest"
泻,7,"drain off"
只,7,"a sword"
珍,7,"precious"
讼,7,"accuse"
迈,7,"take a big stride"
哄,7,"beguile"
踏,7,"step on"
椎,7,"hammer"
塌,7,"fall in ruins"
缆,7,"hawser"
衷,7,"heart"
碑,7,"stone tablet"
赋,7,"tax"
抚,7,"pat"
廷,7,"court"
诱,7,"persuade"
浅,7,"shallow"
媚,7,"charming"
盼,7,"look"
峡,7,"gorge"
凿,7,"chisel"
祷,7,"pray"
芳,7,"fragrant"
棘,7,"jujube tree"
诞,7,"bear children"
呈,7,"submit"
冶,7,"smelt"
莽,7,"thicket"
係,7,"tie"
側,7,"side"
壘,7,"rampart"
掃,7,"clean with a broom"
两,7,"two"
芝,7,"sesame"
鍵,7,"door bolt"
吊,7,"condole"
晝,7,"daytime"
櫃,7,"cabinet"
挫,7,"push down"
潜,7,"hide"
痢,7,"dysentery"
匮,7,"lack"
恭,7,"respectful"
績,7,"spin hemp into thread"
寅,7,"tiger"
纶,7,"green silk thread or tassel"
晋,7,"advance"
袜,7,"socks"
宋,7,"Song dynasty"
澳,7,"inlet"
桂,7,"cassia or cinnamon"
凤,7,"male phoenix"
棱,7,"squared timber"
審,7,"examine"
編,7,"put in order"
顧,7,"turn around and look"
遠,7,"far"
搞,7,"clear"
糜,7,"rice gruel"
霭,7,"cloudy sky"
惡,7,"evil"
換,7,"exchange"
際,7,"border"
侯,7,"marquis"
杰,7,"hero"
礦,7,"mineral deposit"
償,7,"repay"
填,7,"fill in"
埃,7,"fine dust"
儂,7,"person"
蚊,7,"mosquito"
閒,7,"not busy"
孽,7,"evil"
歸,7,"return"
釋,7,"release"
剪,7,"cut"
賬,7,"account"
羡,7,"envy"
宕,7,"stone quarry"
瘫,7,"paralysis"
袒,7,"strip"
檢,7,"measure"
姊,7,"elder sister"
輩,7,"people of a certain kind"
澤,7,"marsh"
罰,7,"punish"
貴,7,"expensive"
陸,7,"land"
憤,7,"be indignant"
擔,7,"carry on a shoulder pole"
陈,7,"exhibit"
冕,7,"crown"
窖,7,"pit"
颤,7,"shiver"
碳,7,"carbon"
藉,7,"insult"
槌,7,"hammer"
獄,7,"prison"
袂,7,"sleeves"
戮,7,"kill"
禅,7,"meditation"
兹,7,"now"
痧,7,"cholera"
铲,7,"spade"
瘦,7,"thin"
粗,7,"rough"
吹,7,"blow"
莖,7,"stem"
被,7,"passive indicator 'by'"
漂,7,"float"
艾,7,"artemisia"
苑,7,"pasture"
暝,7,"dark"
萌,7,"bud"
埋,7,"bury"
賞,7,"present as a gift"
咬,7,"bite"
磅,7,"pound"
妃,7,"wife"
跟,7,"with"
絮,7,"waste cotton"
左,7,"left"
暮,7,"evening"
劝,7,"recommend"
評,7,"comment on"
杨,7,"willow"
棄,7,"abandon"
洛,7,"river in Shanxi province"
蛄,7,"mole cricket"
聯,7,"connect"
絨,7,"silk"
藝,7,"art"
鳖,7,"turtle"
幔,7,"curtain"
礁,7,"reef"
窟,7,"hole"
溫,7,"lukewarm"
抵,7,"resist"
眾,7,"masses"
蒜,7,"garlic"
枷,7,"cangue scaffold"
鬥,7,"fight"
頻,7,"frequent"
幼,7,"infant"
嚴,7,"strict"
嫩,7,"soft"
娜,7,"elegant"
禍,7,"disaster"
廟,7,"temple"
塗,7,"mud"
襟,7,"lapel"
骸,7,"skeleton"
帛,7,"silks"
芜,7,"luxurious growth of weeds"
鳕,7,"codfish"
黨,7,"community"
糟,7,"sediment"
厝,7,"cut or engrave"
闪,7,"flash"
涼,7,"cool"
窦,7,"hole"
妄,7,"absurd"
泵,7,"pump"
褶,7,"pleat"
贫,7,"poor"
壇,7,"altar"
爐,7,"fireplace"
蓮,7,"lotus"
蝠,7,"bat"
橘,7,"orange"
株,7,"numerary adjunct for trees"
迦,7,"character for transliteration"
豉,7,"fermented beans"
盂,7,"basin"
粿,7,"rice cake"
涤,7,"wash"
隼,7,"aquiline"
疣,7,"tumor"
蕊,7,"unopened flowers"
烃,7,"hydrocarbon"
紫,7,"purple"
絡,7,"enmesh"
确,6,"sure"
轻,6,"light"
晨,6,"early morning"
概,6,"generally"
右,6,"right"
输,6,"lose"
裹,6,"wrap"
其,6,"his"
迟,6,"late"
否,6,"not"
厌,6,"dislike"
尚,6,"still"
曾,6,"already"
肃,6,"pay respects"
碍,6,"obstruct"
虹,6,"rainbow"
荐,6,"repeat"
涂,6,"smear"
豪,6,"brave"
舅,6,"mother's brother"
佣,6,"commission fee"
峻,6,"high"
辉,6,"brightness"
涵,6,"soak"
庇,6,"cover"
吟,6,"sing"
壤,6,"soil"
肯,6,"willing"
敞,6,"roomy"
讳,6,"conceal"
监,6,"supervise"
撑,6,"prop up"
培,6,"bank up with dirt"
焰,6,"flame"
骚,6,"harass"
倦,6,"be tired of"
粹,6,"pure"
横,6,"across"
朽,6,"decayed"
卑,6,"humble"
卸,6,"lay down"
彻,6,"penetrate"
廓,6,"broad"
佩,6,"belt ornament"
瓷,6,"crockery"
栖,6,"perch"
硕,6,"great"
橱,6,"cabinet"
唤,6,"call"
俏,6,"like"
懒,6,"lazy"
卦,6,"fortune telling"
沿,6,"follow a course"
届,6,"numerary adjunct for time"
贤,6,"virtuous"
魁,6,"chief"
婉,6,"amiable"
僚,6,"companion"
臊,6,"rancid"
帕,6,"turban"
岔,6,"diverge"
弧,6,"arc"
弛,6,"loosen"
逢,6,"come upon"
窿,6,"mine shaft"
颊,6,"cheeks"
匿,6,"hide"
饵,6,"bait"
宵,6,"night"
邮,6,"postal"
蛙,6,"frog"
双,6,"pair"
寡,6,"widowed"
徑,6,"path"
总,6,"collect"
百,6,"hundred"
萬,6,"Original form of 蠆／虿 ."
連,6,"man-drawn carriage"
霎,6,"light rain"
齊,6,"even"
唑,6,"azole"
陪,6,"accompany"
梓,6,"Chinese catalpa"
虞,6,"concerned about"
厨,6,"kitchen"
崗,6,"post"
倫,6,"same type/kind/class"
暇,6,"leisure"
畏,6,"fear"
遂,6,"comply with"
姪,6,"brother's child"
紀,6,"rule"
魏,6,"kingdom of Wei"
矢,6,"arrow"
階,6,"stair"
盈,6,"fill"
誠,6,"sincere"
帅,6,"commander"
抓,6,"grab"
旷,6,"extensive"
貼,6,"paste to"
痂,6,"scab"
癬,6,"ringworm"
杉,6,"various species of pine and fir"
銅,6,"copper"
趾,6,"tracks"
響,6,"make a sound"
罵,6,"chide"
眷,6,"take interest in"
參,6,"Three Stars mansion"
妖,6,"strange"
慾,6,"lust"
昔,6,"formerly"
懷,6,"breast"
恃,6,"rely on"
東,6,"east"
柯,6,"axe-handle"
仲,6,"middle brother"
劍,6,"sword"
橫,6,"middle rail of a wooden door"
煞,6,"malignant deity"
溺,6,"drown"
谚,6,"proverb"
飾,6,"decorate"
優,6,"generous"
祿,6,"blessing"
嗓,6,"voice"
寇,6,"bandits"
脫,6,"take off"
歇,6,"rest"
壯,6,"strong"
鷹,6,"bird of prey of Accipitriformes"
秦,6,"feudal state of Qin"
鋒,6,"pointed edge"
黜,6,"dismiss"
監,6,"supervise"
損,6,"reduce"
烫,6,"scald"
嘎,6,"sound of laughter"
娼,6,"prostitute"
冗,6,"excessive"
雜,6,"miscellaneous"
碴,6,"chipped edge of a container"
堤,6,"dike"
瘡,6,"wound"
