char,english,pinyin,hsk,total,as_head,as_mark,role
髯,"beard",rán,,19,1,18,both
道,"path, road, street",dào,2,19,2,17,both
稀,"rare, unusual, scarce",xī,7,19,1,18,both
凸,"protrude, bulge out, convex",tū,7,19,1,18,both
套,"set",tào,2,19,1,18,both
浅,"shallow",qiǎn,4,19,1,18,both
版,"printing blocks",bǎn,5,19,0,19,mark only
冲,"bolt",chōng,4,19,0,19,mark only
架,"rack, stand, prop",jià,3,19,0,19,mark only
杂,"mixed, blended",zá,6,19,0,19,mark only
善,"good, virtuous, charitable, kind",shàn,7,19,0,19,mark only
灯,"lamp",dēng,2,18,12,6,both
复,"repeat, double, overlap",fù,3,18,5,13,both
嘴,"mouth",zuǐ,2,18,4,14,both
铃,"bell",líng,5,18,11,7,both
姑,"father's sister",gū,,18,9,9,both
来,"come",lái,1,18,3,15,both
露,"dew",lù,5,18,7,11,both
杜,"stop, prevent",dù,6,18,11,7,both
霞,"rosy clouds",xiá,6,18,3,15,both
蝶,"butterfly",dié,5,18,13,5,both
泡,"bubbles, suds",pào,6,18,5,13,both
谷,"corn, grain, cereal",gǔ,6,18,3,15,both
斗,"a dipper",dòu,7,18,5,13,both
化,"change, convert, reform",huà,3,18,1,17,both
菲,"fragrant, luxuriant",fēi,,18,1,17,both
六,"six",liù,1,18,5,13,both
错,"wrong",cuò,1,18,1,17,both
断,"sever, cut off",duàn,3,18,2,16,both
等,"rank, grade",děng,1,18,1,17,both
恒,"constant, regular, persistent",héng,6,18,1,17,both
辽,"distant, far",liáo,6,18,0,18,mark only
目,"eye",mù,3,18,0,18,mark only
似,"resemble, similar to",sì,5,18,0,18,mark only
洱,"a lake in Yunnan",ěr,,18,0,18,mark only
汶,"a river in Shandong province",wèn,,18,0,18,mark only
烟,"smoke",yān,3,17,5,12,both
螺,"spiral shell",luó,,17,5,12,both
离,"rare beast",lí,2,17,6,11,both
粟,"unhusked millet",sù,,17,17,0,head only
蛛,"spider",zhū,,17,9,8,both
吊,"condole, mourn, pity",diào,6,17,8,9,both
房,"house, building",fáng,2,17,1,16,both
人,"person",rén,1,17,11,6,both
凌,"pure",líng,5,17,5,12,both
蜀,"one of the Three Kingdoms, established by Liu Bei",shǔ,,17,2,15,both
蓼,"smartweed, polygonum",liǎo,,17,13,4,both
茜,"madder, Rubia cordifolia",qiàn,,17,16,1,both
凉,"cool, cold",liáng,2,17,1,16,both
孢,"spore",bāo,,17,0,17,mark only
质,"matter, material, substance",zhì,4,17,0,17,mark only
瑶,"precious jade",yáo,,17,0,17,mark only
铺,"spread out, arrange",pù,6,17,0,17,mark only
碧,"jade",bì,,17,0,17,mark only
琴,"Chinese lute or guitar",qín,4,17,0,17,mark only
牙,"tooth",yá,3,16,11,5,both
刀,"knife",dāo,3,16,4,12,both
荷,"lotus, water lily",hé,,16,14,2,both
睫,"eyelashes",jié,,16,7,9,both
仰,"raise the head to look",yǎng,6,16,1,15,both
寒,"cold, wintry, chilly",hán,4,16,6,10,both
萝,"type of creeping plant",luó,,16,9,7,both
甲,"armor, shell",jiǎ,5,16,9,7,both
味,"taste, smell, odor",wèi,4,16,4,12,both
番,"take turns",fān,6,16,13,3,both
鹅,"goose",é,7,16,9,7,both
蒲,"type of rush",pú,,16,10,6,both
泉,"spring, fountain",quán,5,16,2,14,both
冰,"ice",bīng,3,16,8,8,both
葱,"scallions, leeks, green onions",cōng,7,16,11,5,both
寄,"send, transmit, mail",jì,4,16,15,1,both
早,"early",zǎo,1,16,3,13,both
橘,"orange, tangerine",jú,,16,8,8,both
行,"column",xíng,1,16,5,11,both
胶,"gum",jiāo,5,16,7,9,both
首,"head",shǒu,4,16,4,12,both
孟,"first in series",mèng,,16,0,16,mark only
矩,"carpenter's square, ruler, rule",jǔ,,16,0,16,mark only
庐,"hut, cottage",lú,,16,0,16,mark only
徽,"a badge, insignia",huī,,16,0,16,mark only
镇,"town",zhèn,6,16,0,16,mark only
靖,"pacify",jìng,,16,0,16,mark only
家,"home",jiā,1,16,0,16,mark only
发,"issue, dispatch, send out",fā,2,15,8,7,both
缨,"a chin strap, tassel",yīng,,15,6,9,both
狗,"dog",gǒu,1,15,11,4,both
栉,"comb",zhì,,15,2,13,both
热,"hot",rè,1,15,1,14,both
汉,"Chinese people",hàn,1,15,5,10,both
悬,"hang, suspend, hoist",xuán,6,15,8,7,both
兔,"rabbit, hare",tù,5,15,7,8,both
贝,"sea shell",bèi,5,15,5,10,both
瘦,"thin, emaciated, lean",shòu,3,15,1,14,both
岷,"Minshan mountain range in northern Sichuan and southern",mín,,15,1,14,both
茄,"eggplant",jiā,,15,9,6,both
蚂,"ant",mǎ,6,15,15,0,head only
枣,"date tree",zǎo,7,15,9,6,both
仁,"humaneness, benevolence, kindness",rén,6,15,2,13,both
牡,"male of animals",mǔ,,15,7,8,both
稻,"rice growing in field, rice plant",dào,6,15,3,12,both
漆,"varnish, lacquer, paint",qī,7,15,11,4,both
吴,"one of warring states",wú,,15,3,12,both
舟,"boat, ship",zhōu,6,15,3,12,both
块,"piece",kuài,1,15,1,14,both
义,"right conduct, righteousness",yì,5,15,1,14,both
特,"special, unique, distinguished",tè,6,15,1,14,both
贺,"congratulate",hè,4,15,1,14,both
律,"statute, principle, regulation",lǜ,4,15,0,15,mark only
渐,"gradually",jiàn,5,15,0,15,mark only
聂,"whisper",niè,,15,0,15,mark only
稠,"dense, crowded, packed",chóu,7,15,0,15,mark only
缺,"be short of, lack",quē,3,14,1,13,both
酸,"acid",suān,4,14,13,1,both
铜,"copper",tóng,5,14,1,13,both
常,"common, normal, frequent, regular",cháng,1,14,6,8,both
猪,"pig",zhū,3,14,11,3,both
槐,"locust tree",huái,,14,12,2,both
束,"bind, control, restrain",shù,3,14,3,11,both
穿,"wear",chuān,1,14,5,9,both
结,"tie",jié,4,14,3,11,both
胆,"gall bladder",dǎn,5,14,13,1,both
婆,"old woman",pó,5,14,8,6,both
脚,"feet",jiǎo,2,14,5,9,both
苗,"sprouts",miáo,7,14,2,12,both
玫,"rose",méi,,14,2,12,both
报,"report, tell, announce",bào,3,14,7,7,both
昭,"bright, luminous",zhāo,,14,1,13,both
莱,"goosefoot, weed",lái,,14,1,13,both
勒,"strangle, tighten",lēi,7,14,1,13,both
池,"pool, pond",chí,5,14,0,14,mark only
巫,"wizard, sorcerer, witch, shaman",wū,,14,0,14,mark only
嘎,"sound of laughter",gā,,14,0,14,mark only
易,"change",yì,3,14,0,14,mark only
用,"with",yòng,1,14,0,14,mark only
闭,"shut, close",bì,6,13,4,9,both
猫,"cat",māo,1,13,6,7,both
燕,"swallow",yàn,,13,8,5,both
椒,"pepper, spices",jiāo,5,13,11,2,both
茸,"soft, downy",róng,,13,2,11,both
蜡,"wax",là,7,13,7,6,both
珊,"coral",shān,,13,9,4,both
瑚,"coral",hú,,13,9,4,both
鸟,"bird",niǎo,2,13,5,8,both
蒜,"garlic",suàn,7,13,9,4,both
槽,"groove",cáo,7,13,4,9,both
观,"see, observe, view",guān,4,13,5,8,both
珍,"precious, valuable, rare",zhēn,5,13,6,7,both
阁,"chamber, pavilion",gé,,13,1,12,both
实,"real, true",shí,3,13,8,5,both
荆,"thorns",jīng,,13,6,7,both
欢,"happy, pleased, glad",huān,1,13,6,7,both
葛,"edible bean",gé,,13,10,3,both
肖,"look like, resemble, be like",xiào,6,13,2,11,both
一,"one",yī,1,13,6,7,both
碱,"alkaline, alkali, lye, salt",jiǎn,,13,7,6,both
雾,"fog",wù,5,13,2,11,both
巧,"skillful, ingenious, clever",qiǎo,3,13,1,12,both
当,"while",dāng,2,13,7,6,both
晶,"clear, bright",jīng,6,13,4,9,both
分,"divide",fēn,1,13,1,12,both
始,"begin, start",shǐ,2,13,2,11,both
吕,"a musical note",lǚ,,13,0,13,mark only
宋,"Song dynasty",sòng,,13,0,13,mark only
潘,"water in which rice has been rinsed",pān,,13,0,13,mark only
不,"not",bù,1,13,0,13,mark only
荒,"wasteland, desert",huāng,7,13,0,13,mark only
弄,"do, play or fiddle with",nòng,2,13,0,13,mark only
会,"would",huì,1,13,0,13,mark only
硕,"great, eminent",shuò,4,13,0,13,mark only
衣,"clothes, clothing",yī,1,12,6,6,both
威,"pomp, power",wēi,5,12,1,11,both
瓶,"bottle",píng,2,12,6,6,both
碎,"break, smash",suì,5,12,4,8,both
艾,"artemisia, mugwort",ài,,12,5,7,both
挺,"stand upright, straighten",tǐng,2,12,1,11,both
袋,"pocket, bag, sack, pouch",dài,4,12,8,4,both
杏,"almond",xìng,,12,2,10,both
冷,"cold",lěng,1,12,4,8,both
辛,"bitter",xīn,4,12,4,8,both
女,"female",nǚ,1,12,8,4,both
面,"face",miàn,2,12,5,7,both
前,"forward",qián,1,12,9,3,both
启,"open",qǐ,5,12,2,10,both
喉,"throat, gullet, larynx",hóu,6,12,3,9,both
绣,"embroider",tòu,6,12,7,5,both
飞,"fly",fēi,1,12,9,3,both
肿,"swell",zhǒng,6,12,4,8,both
毒,"poison",dú,5,12,9,3,both
鸦,"crow, raven",yā,6,12,9,3,both
防,"defend",fáng,3,12,8,4,both
功,"achievement, merit, good result",gōng,7,12,1,11,both
字,"word",zì,1,12,2,10,both
浆,"any thick fluid",jiāng,,12,9,3,both
胀,"swell",zhàng,7,12,2,10,both
曼,"long, extended, vast",màn,,12,2,10,both
透,"penetrate, pass through",tòu,4,12,1,11,both
菀,"luxuriance of growth",wǎn,,12,12,0,head only
井,"well, mine shaft, pit",jǐng,6,12,0,12,mark only
互,"mutually, reciprocally",hù,4,12,0,12,mark only
温,"lukewarm",wēn,4,12,0,12,mark only
优,"superior, excellent",yōu,7,12,0,12,mark only
投,"throw, cast, fling, pitch",tóu,4,12,0,12,mark only
顺,"obey, submit to, go along with",shùn,5,12,0,12,mark only
湘,"alternate name for Hunan",xiāng,,12,0,12,mark only
株,"numerary adjunct for trees",zhū,6,12,0,12,mark only
夷,"ancient barbarian tribes",yí,,12,0,12,mark only
临,"draw near, approach",lín,7,12,0,12,mark only
漠,"desert",mò,5,12,0,12,mark only
鼎,"large, three-legged bronze caldron",dǐng,,12,0,12,mark only
陇,"mountain located between Shanxi",lǒng,,12,0,12,mark only
杆,"pole",gān,6,11,5,6,both
包,"pack",bāo,1,11,6,5,both
年,"year",nián,1,11,7,4,both
篦,"fine-toothed comb",bì,,11,2,9,both
母,"female elders",mǔ,6,11,9,2,both
隔,"separate, partition",gé,4,11,5,6,both
栓,"wooden peg, post or stick",shuān,,11,5,6,both
槭,"maple",qì,,11,3,8,both
相,"mutual, reciprocal, each other",xiāng,3,11,2,9,both
棘,"jujube tree",jí,,11,7,4,both
鸭,"Anas species",yā,4,11,6,5,both
梭,"weaver's shuttle",suō,,11,5,6,both
路,"road",lù,1,11,1,10,both
棠,"crab apple tree",táng,,11,5,6,both
征,"invade, attack, conquer",zhēng,7,11,2,9,both
君,"sovereign, monarch, ruler, chief, prince",jūn,6,11,3,8,both
非,"not, negative, non-",fēi,4,11,3,8,both
念,"think of, recall, study",niàn,3,11,2,9,both
岸,"shore",àn,5,11,1,10,both
霍,"quickly, suddenly",huò,6,11,0,11,mark only
孚,"brood over eggs",fú,,11,0,11,mark only
芳,"fragrant",fāng,,11,0,11,mark only
玛,"agate",mǎ,,11,0,11,mark only
洞,"hole",dòng,5,11,0,11,mark only
彭,"name of ancient country",péng,,11,0,11,mark only
丰,"abundant, lush, bountiful, plenty",fēng,4,11,0,11,mark only
寨,"stockade, stronghold, outpost",zhài,,11,0,11,mark only
颈,"neck",jǐng,,10,3,7,both
缩,"contract, draw in, reduce",suō,7,10,2,8,both
出,"out",chū,1,10,1,9,both
灵,"spirit, soul",líng,7,10,2,8,both
附,"adhere to, append",fù,7,10,3,7,both
齐,"even, uniform, of equal length",qí,3,10,2,8,both
蕉,"banana",jiāo,,10,8,2,both
茛,"ranunculus",gèn,,10,6,4,both
朱,"cinnabar, vermilion",zhū,,10,5,5,both
旗,"flag",qí,6,10,5,5,both
鼻,"nose",bí,3,10,3,7,both
牧,"tend cattle, shepherd",mù,6,10,3,7,both
檀,"sandalwood, hardwood",tán,,10,9,1,both
蟥,"leech",huáng,,10,10,0,head only
食,"eat",shí,5,10,1,9,both
甜,"sweet, sweetness",tián,3,10,3,7,both
狼,"wolf",láng,5,10,3,7,both
蓟,"genus Cirsium, thistles",jì,,10,9,1,both
樱,"cherry, cherry blossom",yīng,,10,3,7,both
镒,"measure of weight for gold",yì,,10,2,8,both
脬,"a bladder",pāo,,10,5,5,both
醉,"intoxicated, drunk",zuì,5,10,5,5,both
量,"amount",liàng,4,10,2,8,both
素,"white",sù,7,10,1,9,both
床,"bed",chuáng,1,10,8,2,both
孜,"be as diligent as possible",zī,,10,1,9,both
暖,"warm, genial",nuǎn,5,10,0,10,mark only
张,"stretch, extend, expand",zhāng,2,10,0,10,mark only
攀,"climb",pān,7,10,0,10,mark only
乔,"tall, lofty",qiáo,,10,0,10,mark only
祁,"pray",qí,,10,0,10,mark only
致,"delicate, fine",zhì,7,10,0,10,mark only
纸,"paper",zhǐ,2,10,0,10,mark only
信,"letter",xìn,2,10,0,10,mark only
民,"people, subjects, citizens",mín,4,10,0,10,mark only
域,"district, region, boundary",yù,5,10,0,10,mark only
居,"live, dwell, reside, sit",jū,3,10,0,10,mark only
孙,"grandchild, descendent",sūn,4,10,0,10,mark only
皖,"Anhui province",wǎn,,10,0,10,mark only
船,"boat",chuán,2,9,6,3,both
戈,"halberd, spear, lance",gē,,9,2,7,both
薯,"yam, tuber, potato",shǔ,,9,9,0,head only
楸,"Mallotus japonicus, East Asian mallotus, akamegashiwa",qiū,,9,4,5,both
鹰,"eagle",yīng,7,9,6,3,both
代,"generation",dài,3,9,3,6,both
苹,"artemisia",píng,1,9,5,4,both
蜂,"wasp",fēng,5,9,4,5,both
腰,"pocket",yāo,4,9,7,2,both
叠,"pile",dié,7,9,2,7,both
枫,"maple tree",fēng,,9,6,3,both
葡,"grapes",pú,4,9,4,5,both
萄,"grapes",táo,4,9,4,5,both
索,"rope",suǒ,,9,1,8,both
围,"surround, encircle, corral",wéi,3,9,1,8,both
笔,"pen",bǐ,2,9,4,5,both
榔,"betel-nut tree",láng,,9,7,2,both
矢,"arrow, dart",shǐ,,9,6,3,both
黍,"glutinous millet",shǔ,,9,7,2,both
空,"empty",kōng,3,9,2,7,both
梯,"ladder, steps, stairs",tī,3,9,4,5,both
弓,"bow",gōng,7,9,3,6,both
榆,"elm tree",yú,,9,5,4,both
数,"count",shù,2,9,3,6,both
赛,"compete, contend",sài,6,9,2,7,both
楝,"Melia japonica",liàn,,9,9,0,head only
瑰,"extraordinary, fabulous",guī,,9,2,7,both
莉,"white jasmine",lì,,9,9,0,head only
禄,"blessing, happiness, prosperity",lù,,9,2,7,both
种,"seed",zhǒng,3,9,4,5,both
陀,"steep bank, rough terrain",tuó,,9,3,6,both
郎,"gentleman, young man",láng,6,9,2,7,both
打,"beat",dǎ,1,9,2,7,both
科,"section, department, science",kē,2,9,2,7,both
俄,"sudden , soon",é,,9,1,8,both
育,"produce, give birth to",yù,3,9,1,8,both
希,"rare",xī,2,9,2,7,both
劲,"strong, unyielding, tough, power",jìn,5,9,1,8,both
朔,"first day of lunar month",shuò,,9,0,9,mark only
毡,"rug, carpet",zhān,,9,0,9,mark only
牯,"cow",gǔ,,9,0,9,mark only
胜,"victory",shèng,3,9,0,9,mark only
茂,"thick, lush, dense",mào,6,9,0,9,mark only
粒,"grain",lì,5,9,0,9,mark only
真,"real, actual, true, genuine",zhēn,1,8,3,5,both
葫,"bottle-gourd",hú,,8,5,3,both
虾,"shrimp",xiā,7,8,8,0,head only
艳,"beautiful, sexy, voluptuous",yàn,5,8,1,7,both
筋,"muscles",jīn,7,8,8,0,head only
虫,"bug",chóng,5,8,5,3,both
柑,"tangerine, loose-skinned orange",gān,,8,7,1,both
鞍,"saddle",ān,,8,3,5,both
含,"hold in mouth",hán,4,8,5,3,both
簪,"hairpin, clasp",zān,,8,4,4,both
肥,"fat, plump, obese",féi,4,8,4,4,both
低,"low",dī,2,8,1,7,both
鹃,"cuckoo",juān,,8,5,3,both
猴,"monkey",hóu,5,8,4,4,both
椰,"palm tree, coconut palm",yē,,8,7,1,both
菰,"wild rice",gū,,8,5,3,both
苇,"reed",wěi,,8,3,5,both
澳,"inlet, bay",ào,,8,3,5,both
荨,"nettle",xún,,8,1,7,both
矛,"spear",máo,5,8,2,6,both
膝,"knee",xī,,8,3,5,both
芸,"rue, a herb used keep insects away",yún,,8,6,2,both
可,"may, can, -able",kě,3,8,2,6,both
椴,"poplar, aspen",duàn,,8,3,5,both
辣,"peppery, pungent, hot",là,4,8,4,4,both
室,"room, home, house, chamber",shì,3,8,1,7,both
璃,"glass",lí,5,8,6,2,both
穴,"cave, den, hole",xué,6,8,2,6,both
鸠,"pigeon, dove",jiū,,8,7,1,both
周,"week",zhōu,2,8,0,8,mark only
贴,"stick",tiē,4,8,0,8,mark only
别,"not",bié,1,8,0,8,mark only
撕,"rip, tear",sī,5,8,0,8,mark only
圳,"furrow in field, small drainage ditch",zhèn,,8,0,8,mark only
杭,"cross stream",háng,,8,0,8,mark only
塞,"stop up, block, seal, cork",sāi,6,8,0,8,mark only
恰,"just, exactly, precisely",qià,6,8,0,8,mark only
穆,"majestic, solemn, reverent",mù,,8,0,8,mark only
抽,"draw out, pull out",chōu,4,8,0,8,mark only
泥,"mud",ní,6,7,4,3,both
烛,"candle, taper",zhú,6,7,4,3,both
外,"outside",wài,1,7,1,6,both
腐,"rot, decay, spoil",fǔ,5,7,4,3,both
梳,"comb",shū,7,7,4,3,both
陶,"pottery, ceramics",táo,6,7,2,5,both
拳,"various forms of boxing",quán,7,7,3,4,both
陆,"land, continental",lù,5,7,2,5,both
寡,"widowed",guǎ,,7,2,5,both
哥,"elder brother",gē,1,7,2,5,both
活,"live",huó,3,7,6,1,both
檐,"eaves of house",yán,,7,2,5,both
蔺,"rush used for making mats",lìn,,7,5,2,both
寿,"old age, long life",shòu,5,7,2,5,both
焰,"flame, blaze",yàn,6,7,4,3,both
蝴,"butterfly",hú,5,7,6,1,both
藨,"raspberry, gooseberry",biāo,,7,7,0,head only
鬼,"ghost",guǐ,5,7,4,3,both
费,"expenses, expenditures, fee",fèi,3,7,1,6,both
肠,"intestines",cháng,5,7,5,2,both
采,"fief",cài,7,7,2,5,both
藿,"Agastache rugosa, Korean mint",huò,,7,5,2,both
补,"mend, patch, fix, repair, restore",bǔ,3,7,4,3,both
樨,"scrambled eggs",xī,,7,5,2,both
茴,"fennel, aniseed",huí,,7,7,0,head only
簕,"thorn",lè,,7,6,1,both
稗,"darnels, weeds, tares small",bài,,7,4,3,both
郁,"sweet smelling, rich in aroma",yù,6,7,1,6,both
射,"shoot, eject, issue forth, emit",shè,5,7,1,6,both
能,"be able",néng,1,7,2,5,both
罂,"long necked jar or bottle",yīng,,7,7,0,head only
博,"gamble, play games",bó,4,7,1,6,both
升,"arise, go up",shēng,3,7,3,4,both
栎,"chestnut-leaved oak",lì,,7,2,5,both
封,"letter, envelope",fēng,2,7,2,5,both
桤,"alder",qī,,7,2,5,both
椿,"father",chūn,,7,4,3,both
茉,"white jasmine",mò,,7,7,0,head only
卜,"radish",bó,,7,3,4,both
比,"ratio",bǐ,1,7,1,6,both
姬,"beauty",jī,,7,2,5,both
蕾,"buds, unopened flowers",lěi,6,7,1,6,both
蓍,"milfoil, plant used in divination",shī,,7,4,3,both
覆,"overturn",fù,6,7,1,6,both
萁,"beakstalk, stalks of pulse",qí,,7,7,0,head only
津,"ferry",jīn,6,7,1,6,both
岳,"mountain peak",yuè,6,7,1,6,both
钙,"calcium",gài,7,7,0,7,mark only
膨,"swell",péng,6,7,0,7,mark only
刘,"kill, destroy",liú,,7,0,7,mark only
体,"body",tǐ,2,7,0,7,mark only
赫,"bright, radiant, glowing",hè,,7,0,7,mark only
培,"bank up with dirt",péi,5,7,0,7,mark only
丘,"mountain",qiū,,7,0,7,mark only
恩,"favour",ēn,6,7,0,7,mark only
炉,"fireplace, stove, oven, furnace",lú,6,7,0,7,mark only
繸,"hem or border of a garment",suì,,7,0,7,mark only
额,"tablet, plaque",é,6,7,0,7,mark only
屋,"house",wū,5,7,0,7,mark only
乡,"country",xiāng,5,7,0,7,mark only
界,"boundary, limit",jiè,6,7,0,7,mark only
荫,"shade, shelter",yīn,,7,0,7,mark only
缙,"red silk",jìn,,7,0,7,mark only
良,"good, virtuous, respectable",liáng,7,7,0,7,mark only
航,"sail",háng,4,7,0,7,mark only
碗,"bowl",wǎn,2,6,5,1,both
纽,"knot",niǔ,6,6,5,1,both
蝎,"scorpion",xiē,,6,3,3,both
气,"gas",qì,2,6,3,3,both
部,"tribe, clan",bù,3,6,2,4,both
萍,"duckweed",píng,,6,5,1,both
焕,"shining",huàn,,6,1,5,both
镛,"a large bell used as a musical instrument",yōng,,6,1,5,both
皂,"soap",zào,5,6,4,2,both
菖,"iris, sweet flag, calamus",chāng,,6,4,2,both
慈,"kind, charitable, benevolent",cí,6,6,3,3,both
久,"long time",jiǔ,3,6,1,5,both
楼,"building of two or more stories",lóu,1,6,5,1,both
蜘,"spider",zhī,,6,5,1,both
及,"extend",jí,5,6,2,4,both
锚,"anchor",máo,,6,4,2,both
狐,"fox",hú,,6,1,5,both
俞,"consent, approve",yú,,6,1,5,both
驼,"a camel",tuó,,6,6,0,head only
蒺,"furze",jí,,6,3,3,both
凰,"female phoenix",huáng,,6,1,5,both
槟,"betel-nut, areca nut",bīn,,6,5,1,both
糖,"sugar",táng,3,6,4,2,both
酒,"wine",jiǔ,2,6,3,3,both
若,"if, supposing, assuming",ruò,6,6,1,5,both
精,"essence",jīng,6,6,4,2,both
仲,"middle brother",zhòng,,6,2,4,both
蜜,"sweet",mì,7,6,5,1,both
夜,"night",yè,2,6,5,1,both
板,"plank, board",bǎn,3,6,1,5,both
蒾,"",,,6,1,5,both
箱,"box",xiāng,4,6,2,4,both
榕,"banyan tree",róng,,6,1,5,both
锤,"hammer",chuí,6,6,2,4,both
蓉,"hibiscus",róng,,6,6,0,head only
惠,"favor, benefit, confer kindness",huì,5,6,1,5,both
椤,"tree",luó,,6,4,2,both
桫,"horse chestnut",suō,,6,4,2,both
何,"what, why, where, which, how",hé,4,6,1,5,both
彩,"hue, color",cǎi,4,6,1,5,both
荞,"buckwheat",qiáo,,6,1,5,both
翘,"turn up, lift, elevate, raise",qiào,6,6,3,3,both
夹,"be wedged or inserted between",jiā,5,6,2,4,both
至,"reach, arrive",zhì,5,6,3,3,both
莸,"Caryopteris divaricata",yóu,,6,4,2,both
霄,"sky",xiāo,,6,4,2,both
归,"return to, revert to",guī,4,6,4,2,both
藁,"straw, hay",gǎo,,6,6,0,head only
荽,"coriander",suī,,6,4,2,both
羌,"Qiang nationality",qiāng,,6,3,3,both
吾,"i, my, our",wú,,6,3,3,both
向,"toward, direction, trend",xiàng,2,6,1,5,both
狮,"lion",shī,5,6,3,3,both
圣,"holy, sacred",shèng,6,6,1,5,both
崇,"esteem, honor, revere, venerate",chóng,6,6,1,5,both
贯,"a string of 1000 coins",guàn,6,6,2,4,both
韦,"tanned leather",wéi,,6,3,3,both
拿,"take",ná,1,6,1,5,both
蚀,"nibble away",shí,6,6,0,6,mark only
札,"letter, note",zhá,,6,0,6,mark only
冯,"gallop",féng,,6,0,6,mark only
湄,"water's edge, shore, bank",méi,,6,0,6,mark only
森,"forest",sēn,4,6,0,6,mark only
峦,"mountain range",luán,,6,0,6,mark only
社,"god of the soil and altars to him",shè,5,6,0,6,mark only
秕,"empty grain or rice husk, chaff",bǐ,,6,0,6,mark only
亨,"smoothly, progressing, no trouble",hēng,,6,0,6,mark only
歪,"slant",wāi,5,6,0,6,mark only
伦,"normal human relationships",lún,6,6,0,6,mark only
墩,"heap, mound, block of stone",dūn,,6,0,6,mark only
查,"investigate, examine, seek into",chá,2,6,0,6,mark only
交,"hand",jiāo,2,6,0,6,mark only
浪,"wave",làng,7,6,0,6,mark only
混,"mix, blend, mingle",hùn,6,6,0,6,mark only
夫,"man, male adult, husband",fū,2,6,0,6,mark only
静,"quiet, still, motionless",jìng,3,6,0,6,mark only
毕,"end, finish, conclude",bì,4,6,0,6,mark only
融,"melt, fuse",róng,7,6,0,6,mark only
工,"labor, work",gōng,1,6,0,6,mark only
陷,"submerge, sink, plunge",xiàn,7,6,0,6,mark only
领,"neck",lǐng,3,5,3,2,both
蓑,"rain coat made of straw, coir, etc.",suō,,5,4,1,both
绳,"rope",shéng,,5,2,3,both
雉,"pheasant",zhì,,5,2,3,both
强,"strong",qiáng,3,5,1,4,both
魏,"kingdom of Wei",wèi,,5,3,2,both
剪,"cut",jiǎn,5,5,5,0,head only
润,"soft, moist",rùn,7,5,2,3,both
檬,"type of locust tree or acacia",méng,,5,2,3,both
泻,"drain off, leak",xiè,7,5,4,1,both
蕴,"collect, gather, store",yùn,6,5,2,3,both
雨,"rain",yǔ,1,5,4,1,both
茨,"thatching",cí,,5,1,4,both
盆,"basin, tub, pot, bowl",pén,5,5,3,2,both
坛,"altar",tán,7,5,1,4,both
爬,"climb",pá,2,5,3,2,both
先,"first, former, previous",xiān,1,5,2,3,both
仔,"small thing, child",zǐ,4,5,4,1,both
商,"business",shāng,1,5,1,4,both
豹,"leopard, panther",bào,7,5,3,2,both
羞,"disgrace, shame",xiū,4,5,3,2,both
孪,"twins",luán,,5,3,2,both
象,"elephant",xiàng,4,5,4,1,both
芪,"celery",qí,,5,4,1,both
蝉,"continuous",chán,,5,3,2,both
染,"be contagious",rǎn,5,5,2,3,both
志,"purpose, will, determination",zhì,4,5,1,4,both
跖,"sole",zhí,,5,2,3,both
祥,"good luck, good omen",xiáng,6,5,2,3,both
鹧,"partridge",zhè,,5,3,2,both
鸪,"Arborophila species",gū,,5,3,2,both
猬,"vulgar",wèi,,5,3,2,both
赖,"bad",lài,6,5,1,4,both
固,"become solid, solidify",gù,5,5,1,4,both
蚕,"silkworms",cán,,5,2,3,both
蛋,"egg",dàn,2,5,4,1,both
饭,"cooked rice",fàn,1,5,1,4,both
回,"return, turn around",huí,1,5,1,4,both
桦,"type of birch",huà,,5,2,3,both
薇,"Osmunda regalis, a species of fern",wēi,,5,3,2,both
柯,"axe-handle",kē,,5,2,3,both
杞,"willow",qǐ,,5,2,3,both
榛,"hazelnut",zhēn,,5,2,3,both
盒,"small box or case",hé,5,5,5,0,head only
卫,"guard, protect, defend",wèi,4,5,2,3,both
层,"layer",céng,2,5,3,2,both
桕,"tallow tree",jiù,,5,5,0,head only
宫,"palace, temple, dwelling, enclose",gōng,6,5,1,4,both
梓,"Chinese catalpa, Catalpa ovata",zǐ,,5,2,3,both
栀,"gardenia",zhī,,5,4,1,both
榴,"pomegranate",liú,,5,5,0,head only
挂,"hang, suspend",guà,3,5,1,4,both
萸,"dogwood",yú,,5,5,0,head only
庭,"courtyard",tíng,5,5,5,0,head only
爱,"love",ài,1,5,1,4,both
虱,"louse",shī,,5,4,1,both
漏,"leak, drip",lòu,5,5,2,3,both
玄,"deep, profound, abstruse",xuán,7,5,5,0,head only
迷,"bewitch, charm, infatuate",mí,3,5,2,3,both
爵,"feudal title or rank",jué,,5,5,0,head only
韭,"scallion, leek",jiǔ,,5,1,4,both
众,"multitude, crowd",zhòng,4,5,2,3,both
修,"study",xiū,3,5,1,4,both
怀,"bosom, breast",huái,4,5,1,4,both
亲,"relatives, parents",qīn,3,5,1,4,both
韩,"fence",hán,,5,0,5,mark only
泛,"drift, float",fàn,5,5,0,5,mark only
骤,"procedure",zhòu,5,5,0,5,mark only
埃,"fine dust, dirt",āi,,5,0,5,mark only
诺,"promise",nuò,6,5,0,5,mark only
窝,"cave, den",wō,6,5,0,5,mark only
