domain,meaning,word,note
other verb,roar,grin,
other verb,satiate,griq,
other verb,saturate,grig,
other verb,screech,grid,
other verb,scroll,grib,
other verb,segregate,grip,
other verb,serrate,grik,
other verb,shatter,gris,
other verb,simulate,grif,
other verb,slit,griz,
other verb,sprout,grij,
other verb,spur,grix,
other verb,squish,gric,
other verb,submit,griC,
other verb,summon,glim,
other verb,thrive,gliq,
other verb,tick,glig,
other verb,tolerate,glid,
other verb,trample,glib,
other verb,transcend,glit,
other verb,tribute,glik,
other verb,uplift,glis,
other verb,venture,glif,
other verb,weep,gliv,
other verb,weld,gliz,
other adjective,able,kin,
other adjective,absent,heg,
other adjective,absolute,sad,
other adjective,abstract,kem,
other adjective,absurd,kag,
other adjective,abundant,koq,
other adjective,accurate,kut,
other adjective,actual,hiq,
other adjective,adequate,hab,
other adjective,adhesive,hon,
other adjective,adjacent,hup,
other adjective,adult,sim,
other adjective,against,sen,
other adjective,aggressive,sob,
other adjective,ahead,suq,
other adjective,alert,kig,
other adjective,alike,kib,
other adjective,alone,kit,
other adjective,alternate,kif,
other adjective,ambiguous,kij,
other adjective,ancient,kic,
other adjective,anesthetic,kiC,
other adjective,anxious,keq,
other adjective,apparent,ked,
other adjective,appropriate,keb,
other adjective,approximate,kef,
other adjective,aromatic,kev,
other adjective,arrogant,kez,
other adjective,artificial,kej,
other adjective,asleep,kex,
other adjective,automatic,kec,
other adjective,available,keC,
other adjective,average,kad,
other adjective,awake,kap,
other adjective,aware,kak,
other adjective,awful,kas,
other adjective,awkward,kav,
other adjective,bare,kaj,
other adjective,barren,kac,
other adjective,behind,kaC,
other adjective,beneath,kog,
other adjective,beside,kob,
other adjective,beyond,kot,
other adjective,black,kos,
other adjective,bland,koc,
other adjective,blind,koC,
other adjective,blue,kor,
other adjective,blunt,kun,
other adjective,bold,kug,
other adjective,brave,kuz,
other adjective,brief,kuj,
other adjective,bright,kux,
other adjective,broad,kuc,
other adjective,brown,kuC,
other adjective,casual,hig,
other adjective,cautious,hib,
other adjective,central,hif,
other adjective,ceramic,hiv,
other adjective,certain,hiz,
other adjective,chaotic,hij,
other adjective,cheap,hic,
other adjective,chief,hiC,
other adjective,chronic,hen,
other adjective,clever,hed,
other adjective,close,heb,
other adjective,clumsy,hep,
other adjective,coarse,het,
other adjective,common,hes,
other adjective,complacent,hef,
other adjective,complete,hev,
other adjective,concrete,hej,
other adjective,confident,hex,
other adjective,conscious,hec,
other adjective,content,heC,
other adjective,convenient,haq,
other adjective,correct,hag,
other adjective,cozy,haf,
other adjective,crazy,hav,
other adjective,crisp,haj,
other adjective,crucial,hax,
other adjective,crude,hac,
other adjective,cruel,haC,
other adjective,cunning,hog,
other adjective,curious,hob,
other adjective,cute,hot,
other adjective,damp,hos,
other adjective,deaf,hof,
other adjective,dear,hoj,
other adjective,decent,hox,
other adjective,deep,hoc,
other adjective,definite,hoC,
other adjective,delicate,hor,
other adjective,delicious,hug,
other adjective,dense,hus,
other adjective,diagonal,huf,
other adjective,difficult,huj,
other adjective,diligent,hux,
other adjective,dim,huc,
other adjective,diplomatic,huC,
other adjective,direct,hul,
other adjective,discrete,hur,
other adjective,disobedient,sin,
other adjective,disreputable,siq,
other adjective,distant,sib,
other adjective,distinct,sis,
other adjective,diverse,sij,
other adjective,divine,sic,
other adjective,dizzy,seq,
other adjective,domestic,seg,
other adjective,drunk,sed,
other adjective,dual,seb,
other adjective,due,set,
other adjective,dull,ses,
other adjective,dummy,sej,
other adjective,durable,sex,
other adjective,eager,sec,
other adjective,earnest,sak,
other adjective,east,saf,
other adjective,efficient,sac,
other adjective,elastic,saC,
other adjective,electric,son,
other adjective,elegant,soq,
other adjective,enormous,sot,
other adjective,enough,sos,
other adjective,enthusiastic,sov,
other adjective,entire,soj,
other adjective,equivalent,sox,
other adjective,evil,soc,
other adjective,exact,soC,
other adjective,excellent,sum,
other adjective,excess,sun,
other adjective,exclusive,sug,
other adjective,expert,sud,
other adjective,express,sus,
other adjective,external,suz,
other adjective,extra,suj,
other adjective,extreme,sux,
other adjective,faint,suc,
other adjective,fair,kimp,
other adjective,fake,kips,
other adjective,familiar,kidj,
other adjective,famous,kisk,
other adjective,fancy,kent,
other adjective,fat,keks,
other adjective,feeble,kegz,
other adjective,fellow,ketx,
other adjective,female,kesp,
other adjective,feral,kaqk,
other adjective,fertile,kalp,
other adjective,fervent,karb,
other adjective,fierce,kaft,
other adjective,final,kabz,
other adjective,fine,kats,
other adjective,finite,kond,
other adjective,firm,kolb,
other adjective,fluid,kodz,
other adjective,fond,kulf,
other adjective,foreign,kurp,
other adjective,formal,kust,
other adjective,fortunate,hind,
other adjective,foul,hiks,
other adjective,fragile,hitx,
other adjective,fragrant,hidz,
other adjective,fresh,hisp,
other adjective,fringe,hemp,
other adjective,fun,halb,
other adjective,future,harp,
other adjective,general,haps,
other adjective,generous,hast,
other adjective,gentle,hoqk,
other adjective,giant,holp,
other adjective,global,hodj,
other adjective,gradual,hunt,
other adjective,grand,hubz,
other adjective,grave,huts,
other adjective,great,sift,
other adjective,green,sigz,
other adjective,grumpy,sits,
other adjective,gymnastic,seps,
other adjective,happy,sant,
other adjective,harsh,salf,
other adjective,hasty,sarv,
other adjective,high,sask,
other adjective,hollow,somp,
other adjective,honest,solv,
other adjective,horizontal,sorb,
other adjective,hostile,soks,
other adjective,huge,sulp,
other adjective,humble,surf,
other adjective,humid,kint,
other adjective,ideal,kind,
other adjective,identical,kift,
other adjective,ill,kiks,
other adjective,immediate,kibz,
other adjective,independent,kigz,
other adjective,individual,kits,
other adjective,inert,kitx,
other adjective,infinite,kidz,
other adjective,innocent,kisp,
other adjective,inquisitive,kist,
other adjective,instant,kemp,
other adjective,intense,kend,
other adjective,intermittent,keqk,
other adjective,internal,keft,
other adjective,invisible,keps,
other adjective,jealous,kebz,
other adjective,justice,kets,
other adjective,keen,kedz,
other adjective,known,kesk,
other adjective,large,kest,
other adjective,last,kant,
other adjective,lateral,kalb,
other adjective,lay,kalf,
other adjective,lazy,kals,
other adjective,lean,kalz,
other adjective,legal,kalc,
other adjective,lewd,kald,
other adjective,likely,kalk,
other adjective,limp,karf,
other adjective,liquid,karv,
other adjective,little,kars,
other adjective,local,karz,
other adjective,lonely,karg,
other adjective,loose,kaps,
other adjective,lost,kaks,
other adjective,low,kagz,
other adjective,loyal,kadj,
other adjective,lucky,katx,
other adjective,mad,kadz,
other adjective,main,kask,
other adjective,male,kasp,
other adjective,masculine,komp,
other adjective,mature,kont,
other adjective,maximum,koqk,
other adjective,median,kolp,
other adjective,medium,kolf,
other adjective,merry,kolv,
other adjective,mild,kols,
other adjective,minimum,kolz,
other adjective,minor,kolt,
other adjective,mobile,kolc,
other adjective,modern,kolk,
other adjective,modest,korp,
other adjective,moist,korf,
other adjective,moral,korv,
other adjective,multiple,kors,
other adjective,mutual,korz,
other adjective,naive,kord,
other adjective,nasty,koft,
other adjective,natural,kops,
other adjective,naughty,koks,
other adjective,neat,kobz,
other adjective,necessary,kogz,
other adjective,nervous,kots,
other adjective,neutral,kodj,
other adjective,next,kotx,
other adjective,nice,kosk,
other adjective,noble,kosp,
other adjective,normal,kost,
other adjective,north,kump,
other adjective,numb,kunt,
other adjective,obvious,kuqk,
other adjective,odd,kulp,
other adjective,official,kulb,
other adjective,opaque,kulv,
other adjective,opposite,kuls,
other adjective,orange,kulz,
other adjective,ordinary,kult,
other adjective,original,kulc,
other adjective,oval,kuld,
other adjective,over,kulk,
other adjective,pale,kurb,
other adjective,partial,kurf,
other adjective,particular,kurs,
other adjective,passionate,kurz,
other adjective,patient,kurt,
other adjective,perfect,kurd,
other adjective,permanent,kurk,
other adjective,perpendicular,kurg,
other adjective,personal,kuft,
other adjective,physical,kups,
other adjective,pink,kuks,
other adjective,plain,kubz,
other adjective,plastic,kugz,
other adjective,plural,kuts,
other adjective,polite,kudj,
other adjective,popular,kutx,
other adjective,positive,kudz,
other adjective,possible,kusk,
other adjective,potential,kusp,
other adjective,practical,himp,
other adjective,precious,hiqk,
other adjective,precise,hift,
other adjective,pregnant,hips,
other adjective,present,hibz,
other adjective,pretty,higz,
other adjective,previous,hits,
other adjective,private,hisk,
other adjective,probable,hist,
other adjective,prominent,hent,
other adjective,prompt,hend,
other adjective,proper,heft,
other adjective,public,heks,
other adjective,pure,hebz,
other adjective,purple,hegz,
other adjective,quick,hets,
other adjective,random,hetx,
other adjective,rapid,hedz,
other adjective,rare,hesk,
other adjective,raspy,hesp,
other adjective,raw,hest,
other adjective,real,hand,
other adjective,rear,haqk,
other adjective,rebel,halp,
other adjective,reckless,half,
other adjective,red,halv,
other adjective,regular,halt,
other adjective,relevant,halk,
other adjective,remote,harb,
other adjective,rigid,harf,
other adjective,ripe,harv,
other adjective,rival,hars,
other adjective,routine,harz,
other adjective,royal,hart,
other adjective,rude,harg,
other adjective,sanitary,haft,
other adjective,scarce,haks,
other adjective,secret,hagz,
other adjective,secure,hats,
other adjective,seductive,hadz,
other adjective,select,hasp,
other adjective,sensitive,homp,
other adjective,serial,hont,
other adjective,serious,hond,
other adjective,severe,holb,
other adjective,sexual,holf,
other adjective,shallow,hols,
other adjective,sharp,holz,
other adjective,shiny,holt,
other adjective,shy,holc,
other adjective,sick,holk,
other adjective,silent,horp,
other adjective,silver,horb,
other adjective,similar,horf,
other adjective,simultaneous,horv,
other adjective,sincere,horz,
other adjective,single,hork,
other adjective,singular,horg,
other adjective,slight,hoft,
other adjective,slim,hops,
other adjective,slippery,hoks,
other adjective,sly,hobz,
other adjective,smart,hogz,
other adjective,social,hots,
other adjective,sole,hotx,
other adjective,solemn,hodz,
other adjective,solid,hosk,
other adjective,soon,hosp,
other adjective,sore,hump,
other adjective,sorry,hund,
other adjective,south,hulp,
other adjective,spare,hulb,
other adjective,sparse,hulf,
other adjective,special,hulv,
other adjective,specific,huls,
other adjective,splendid,hulz,
other adjective,spontaneous,hult,
other adjective,squat,hulc,
other adjective,stable,huld,
other adjective,standard,hulk,
other adjective,steady,hurp,
other adjective,steep,hurb,
other adjective,sterile,hurf,
other adjective,stiff,hurv,
other adjective,strange,hurs,
other adjective,stray,hurz,
other adjective,strict,hurt,
other adjective,stubborn,hurd,
other adjective,stupid,hurk,
other adjective,sudden,hurg,
other adjective,superior,huft,
other adjective,sure,hups,
other adjective,suspect,huks,
other adjective,taboo,hugz,
other adjective,tall,hudz,
other adjective,teen,husk,
other adjective,temporary,husp,
other adjective,tense,hust,
other adjective,thorough,simp,
other adjective,tight,sint,
other adjective,tiny,sind,
other adjective,together,sips,
other adjective,token,siks,
other adjective,tough,sibz,
other adjective,toxic,sidj,
other adjective,transparent,sidz,
other adjective,tropical,sisk,
other adjective,typical,sisp,
other adjective,ugly,sist,
other adjective,uncertain,semp,
other adjective,under,send,
other adjective,unique,seqk,
other adjective,universal,seft,
other adjective,urban,seks,
other adjective,urgent,sebz,
other adjective,usual,segz,
other adjective,valid,sets,
other adjective,vertical,setx,
other adjective,visual,sedz,
other adjective,vital,sesk,
other adjective,vivid,sesp,
other adjective,voluntary,sest,
other adjective,weird,salp,
other adjective,whimsical,salb,
other adjective,white,salv,
other adjective,wild,salz,
other adjective,willing,salt,
other adjective,wise,salc,
other adjective,yellow,sald,
other adjective,acute,sarp,
other adjective,apathetic,sarb,
other adjective,arbitrary,sarf,
other adjective,bound,sars,
other adjective,brilliant,sarg,
other adjective,civil,saps,
other adjective,compatible,saks,
other adjective,conspicuous,sabz,
other adjective,corrupt,sagz,
other adjective,credential,sats,
other adjective,cryptic,sadz,
other adjective,cynical,sasp,
other adjective,deliberate,sast,
other adjective,diffuse,sont,
other adjective,dormant,sond,
other adjective,dumb,soqk,
other adjective,dynamic,solb,
other adjective,elicit,solf,
other adjective,eloquent,sols,
other adjective,endemic,solz,
other adjective,epic,solt,
other adjective,erect,solc,
other adjective,eternal,solk,
other adjective,exempt,sorp,
other adjective,explicit,sorv,
other adjective,extravagant,sors,
other adjective,frail,sorz,
other adjective,genuine,sort,
other adjective,gregarious,sord,
other adjective,idle,sork,
other adjective,implicit,soft,
other adjective,inevitable,sops,
other adjective,insensitive,sobz,
other adjective,invariant,sogz,
other adjective,jagged,sots,
other adjective,lame,sodj,
other adjective,legitimate,sotx,
other adjective,lenient,sodz,
other adjective,magnificent,sosk,
other adjective,parable,sosp,
other adjective,pillar,sost,
other adjective,poplar,sump,
other adjective,prime,sunt,
other adjective,profane,sund,
other adjective,prudent,suqk,
other adjective,radiant,sulb,
other adjective,reluctant,sulf,
other adjective,robust,sulv,
other adjective,sage,suls,
other adjective,sarcastic,sulz,
other adjective,sentient,sult,
other adjective,serene,sulc,
other adjective,skeptical,suld,
other adjective,slender,sulk,
other adjective,stale,surp,
other adjective,stout,surb,
other adjective,sublime,surv,
other adjective,subtle,surs,
other adjective,swift,surz,
other adjective,tame,surt,
other adjective,temperate,surd,
other adjective,turmeric,surk,
other adjective,ultimate,surg,
other adjective,unusual,suft,
other adjective,utter,sups,
other adjective,vain,suks,
other adjective,vanilla,subz,
other adjective,vast,sugz,
other adjective,vulnerable,suts,
other adjective,wicked,sudj,
place,above,fin,
place,across,fem,
place,along,faq,
place,among,fog,
place,around,fud,
place,away,fiq,
place,below,fig,
place,between,fib,
place,bottom,fip,
place,center,fit,
place,down,fik,
place,edge,fis,
place,far,fif,
place,front,fiv,
place,here,fiz,
place,in,fij,
place,inside,fic,
place,left,fiC,
place,middle,fen,
place,near,feq,
place,out,feg,
place,outside,fed,
place,place,feb,
place,right,fep,
place,side,fef,
place,there,fev,
place,through,fez,
place,top,fej,
place,up,fex,
other adverb,abroad,vib,
other adverb,again,vem,
other adverb,almost,vaq,
other adverb,already,vop,
other adverb,apart,vug,
other adverb,ever,vik,
other adverb,just,vif,
other adverb,once,viv,
other adverb,perhaps,viz,
other adverb,quite,vij,
other adverb,rather,viC,
other adverb,such,ven,
other adverb,thus,veq,
other adverb,too,veg,
other noun,absense,zid,
other noun,abstain,jem,
other noun,accident,xan,
other noun,acid,coq,
other noun,activity,Cug,
other noun,addict,zen,
other noun,admin,zam,
other noun,admire,zog,
other noun,advantage,zuq,
other noun,adventure,jiq,
other noun,affair,jag,
other noun,afterward,jon,
other noun,agent,jud,
other noun,alcohol,xig,
other noun,algorithm,xeq,
other noun,alien,xod,
other noun,allergy,xub,
other noun,alloy,cim,
other noun,allure,ceg,
other noun,ally,cab,
other noun,altitude,cun,
other noun,amount,Cin,
other noun,amp,Ced,
other noun,amplitude,Caq,
other noun,angel,Com,
other noun,ankle,wib,
other noun,anti,wep,
other noun,antler,wad,
other noun,anus,wot,
other noun,anyone,wuk,
other noun,anything,lis,
other noun,apparatus,leb,
other noun,appendix,lap,
other noun,applause,lof,
other noun,apple,luv,
other noun,area,rij,
other noun,arena,rek,
other noun,arithmetic,rax,
other noun,armor,rob,
other noun,arrow,rut,
other noun,arson,zib,
other noun,artery,zit,
other noun,artifact,zik,
other noun,ash,zis,
other noun,ashame,zif,
other noun,aspect,ziv,
other noun,assault,ziz,
other noun,assurance,zij,
other noun,athlete,zix,
other noun,atmosphere,zic,
other noun,atom,ziC,
other noun,attention,zeq,
other noun,attitude,zeg,
other noun,audio,zed,
other noun,author,zeb,
other noun,authority,zep,
other noun,autumn,zek,
other noun,aversion,zes,
other noun,axe,zef,
other noun,bacteria,zev,
other noun,badge,zez,
other noun,bait,zej,
other noun,ball,zex,
other noun,balloon,zec,
other noun,balm,zeC,
other noun,banana,zag,
other noun,barley,zad,
other noun,barrel,zat,
other noun,barrier,zas,
other noun,basin,zaz,
other noun,basis,zaj,
other noun,basket,zax,
other noun,battery,zac,
other noun,bay,zaC,
other noun,beach,zal,
other noun,bead,zoq,
other noun,beak,zod,
other noun,beam,zob,
other noun,beard,zop,
other noun,beauty,zot,
other noun,bed,zos,
other noun,beech,zof,
other noun,beer,zov,
other noun,beet,zoz,
other noun,bell,zoj,
other noun,belove,zoc,
other noun,bill,zoC,
other noun,bladder,zol,
other noun,blade,zor,
other noun,blanket,zun,
other noun,blaze,zug,
other noun,blemish,zud,
other noun,blog,zup,
other noun,bloom,zuf,
other noun,blot,zuv,
other noun,bob,zuj,
other noun,bonus,zux,
other noun,boss,zuc,
other noun,boundary,zuC,
other noun,bow,jim,
other noun,bowel,jig,
other noun,bowl,jid,
other noun,boy,jib,
other noun,brace,jip,
other noun,brag,jik,
other noun,braid,jis,
other noun,bread,jif,
other noun,breast,jiv,
other noun,breeze,jiz,
other noun,brick,jij,
other noun,bride,jix,
other noun,brittle,jic,
other noun,brother,jiC,
other noun,browse,jen,
other noun,bucket,jeq,
other noun,bulb,jeg,
other noun,bulge,jed,
other noun,bull,jeb,
other noun,bullet,jep,
other noun,bun,jek,
other noun,bunch,jes,
other noun,burrow,jef,
other noun,butter,jev,
other noun,button,jez,
other noun,cabbage,jej,
other noun,calendar,jex,
other noun,camera,jec,
other noun,candle,jeC,
other noun,candy,jam,
other noun,canvas,jad,
other noun,canyon,jab,
other noun,capacity,jat,
other noun,capital,jaf,
other noun,captain,jav,
other noun,car,jaz,
other noun,carbon,jaj,
other noun,card,jax,
other noun,cart,jac,
other noun,case,jaC,
other noun,castle,jal,
other noun,category,jar,
other noun,cattle,joq,
other noun,ceiling,jog,
other noun,cell,jod,
other noun,cement,job,
other noun,century,jop,
other noun,cereal,jot,
other noun,ceremony,jok,
other noun,certificate,jos,
other noun,chalk,jof,
other noun,chamber,jov,
other noun,champion,joz,
other noun,chance,joj,
other noun,chaos,jox,
other noun,char,joc,
other noun,character,joC,
other noun,chase,jol,
other noun,cheek,jor,
other noun,cheese,jum,
other noun,chick,jun,
other noun,chin,juq,
other noun,chocolate,jug,
other noun,choir,jub,
other noun,choke,jup,
other noun,chunk,jut,
other noun,cigarette,juk,
other noun,circuit,jus,
other noun,citizen,juf,
other noun,clan,juv,
other noun,clash,juz,
other noun,clasp,juj,
other noun,class,jux,
other noun,clatter,juc,
other noun,clause,juC,
other noun,clay,jur,
other noun,clerk,xib,
other noun,client,xis,
other noun,cliff,xif,
other noun,climate,xiz,
other noun,clock,xij,
other noun,clot,xix,
other noun,clue,xiC,
other noun,clump,xem,
other noun,cluster,xeg,
other noun,coast,xeb,
other noun,cob,xep,
other noun,cock,xet,
other noun,coffee,xek,
other noun,coil,xes,
other noun,coin,xef,
other noun,collar,xev,
other noun,college,xez,
other noun,colon,xej,
other noun,column,xex,
other noun,comb,xec,
other noun,comedy,xeC,
other noun,commotion,xaq,
other noun,community,xag,
other noun,company,xad,
other noun,compare,xap,
other noun,comparison,xak,
other noun,compass,xas,
other noun,complaint,xaf,
other noun,component,xav,
other noun,compress,xaz,
other noun,concept,xaj,
other noun,concert,xac,
other noun,condition,xaC,
other noun,confine,xar,
other noun,consequence,xon,
other noun,constraint,xoq,
other noun,container,xog,
other noun,contest,xob,
other noun,context,xop,
other noun,continent,xot,
other noun,conversation,xos,
other noun,copper,xof,
other noun,cord,xov,
other noun,cork,xoz,
other noun,corn,xoj,
other noun,corner,xox,
other noun,corpse,xoc,
other noun,cot,xoC,
other noun,cotton,xor,
other noun,council,xuq,
other noun,courage,xug,
other noun,course,xuk,
other noun,cousin,xus,
other noun,coward,xuf,
other noun,crab,xuz,
other noun,cradle,xuj,
other noun,cream,xux,
other noun,crease,xuc,
other noun,creature,xuC,
other noun,creek,xur,
other noun,crew,cin,
other noun,crime,cig,
other noun,crimson,cid,
other noun,critique,cib,
other noun,crocodile,cip,
other noun,crouch,cik,
other noun,crow,cis,
other noun,crumple,cif,
other noun,crust,civ,
other noun,crystal,ciz,
other noun,cucumber,cij,
other noun,cuddle,cix,
other noun,culture,cem,
other noun,cup,cen,
other noun,curd,ceq,
other noun,curdle,ced,
other noun,curiosity,ceb,
other noun,currency,cep,
other noun,curtain,cet,
other noun,cushion,cek,
other noun,custom,ces,
other noun,cyst,cef,
other noun,dad,cev,
other noun,dai,cez,
other noun,dandy,cej,
other noun,dangle,cex,
other noun,data,can,
other noun,daughter,caq,
other noun,dawn,cag,
other noun,daylight,cap,
other noun,debris,cas,
other noun,deceit,caf,
other noun,decimal,cav,
other noun,deed,caz,
other noun,defense,caj,
other noun,deficit,cax,
other noun,degree,cal,
other noun,deity,car,
other noun,density,com,
other noun,dent,con,
other noun,desk,cog,
other noun,despair,cod,
other noun,dessert,cob,
other noun,destination,cop,
other noun,destroy,cot,
other noun,device,cos,
other noun,devil,cof,
other noun,dew,coz,
other noun,diagram,coj,
other noun,dial,cox,
other noun,dialect,col,
other noun,diet,cor,
other noun,digit,cum,
other noun,dimension,cuq,
other noun,direction,cug,
other noun,dirt,cud,
other noun,disaster,cup,
other noun,disease,cut,
other noun,disk,cus,
other noun,distance,cuf,
other noun,district,cuz,
other noun,doctor,cuj,
other noun,dollar,cul,
other noun,domain,cur,
other noun,dome,Cim,
other noun,dose,Ciq,
other noun,dot,Cig,
other noun,dough,Cid,
other noun,drama,Cib,
other noun,dread,Cip,
other noun,drool,Cit,
other noun,drought,Cik,
other noun,drug,Cis,
other noun,duck,Cif,
other noun,duration,Civ,
other noun,dusk,Cij,
other noun,ease,Cix,
other noun,eave,Cem,
other noun,eco,Cen,
other noun,ego,Ceq,
other noun,elbow,Ceg,
other noun,element,Ceb,
other noun,ember,Cep,
other noun,embryo,Cet,
other noun,emergency,Cek,
other noun,emit,Ces,
other noun,emotion,Cef,
other noun,empire,Cez,
other noun,employ,Cej,
other noun,encode,Cex,
other noun,energy,Cam,
other noun,entertain,Cag,
other noun,envelope,Cad,
other noun,environment,Cab,
other noun,equilibrium,Cap,
other noun,era,Cat,
other noun,erosion,Cak,
other noun,error,Caf,
other noun,escort,Cav,
other noun,essay,Caz,
other noun,essence,Caj,
other noun,ethics,Cax,
other noun,event,Cal,
other noun,evidence,Coq,
other noun,evolution,Cod,
other noun,example,Cob,
other noun,exclusion,Cop,
other noun,expansion,Cot,
other noun,exposure,Cok,
other noun,expression,Cos,
other noun,exterior,Cof,
other noun,fabric,Cov,
other noun,fact,Coj,
other noun,factor,Cox,
other noun,fad,Col,
other noun,fairy,Cor,
other noun,fame,Cum,
other noun,fan,Cun,
other noun,fantasy,Cuq,
other noun,fare,Cud,
other noun,fashion,Cub,
other noun,fault,Cup,
other noun,favor,Cut,
other noun,feast,Cuk,
other noun,feces,Cus,
other noun,fee,Cuf,
other noun,feminism,Cuv,
other noun,festival,Cuz,
other noun,fever,Cuj,
other noun,fiber,Cux,
other noun,fiction,Cul,
other noun,fist,Cur,
other noun,fizz,wid,
other noun,flair,wit,
other noun,flap,wik,
other noun,flaw,wif,
other noun,flax,wij,
other noun,flex,wix,
other noun,flinch,wic,
other noun,floor,wiC,
other noun,flour,wen,
other noun,fluff,weq,
other noun,foam,weg,
other noun,folk,wed,
other noun,font,wes,
other noun,fool,wef,
other noun,formula,wej,
other noun,fort,wex,
other noun,fortune,wec,
other noun,fossil,weC,
other noun,fowl,wam,
other noun,fragrance,wag,
other noun,frequency,wab,
other noun,friction,wap,
other noun,fright,was,
other noun,frog,waf,
other noun,fumble,waz,
other noun,funeral,waj,
other noun,funnel,wax,
other noun,furnace,wac,
other noun,furniture,won,
other noun,fuse,woq,
other noun,gap,wog,
other noun,garage,wod,
other noun,garment,wob,
other noun,gasoline,wok,
other noun,gauge,wos,
other noun,gel,wof,
other noun,gem,wov,
other noun,gender,woj,
other noun,gene,wox,
other noun,geometry,woc,
other noun,germ,woC,
other noun,gestation,wuq,
other noun,gesture,wud,
other noun,ghost,wub,
other noun,girl,wup,
other noun,glance,wus,
other noun,gland,wuf,
other noun,glaze,wuv,
other noun,gloom,wuz,
other noun,glory,wuj,
other noun,glove,wuc,
other noun,goal,wuC,
other noun,gourd,wul,
other noun,grace,wur,
other noun,gram,lim,
other noun,grant,lib,
other noun,grape,liv,
other noun,graph,liz,
other noun,gravity,lix,
other noun,grease,lic,
other noun,greed,liC,
other noun,grief,len,
other noun,grin,leq,
other noun,grudge,leg,
other noun,gull,led,
other noun,gum,let,
other noun,guy,lef,
other noun,habit,lev,
other noun,habitat,lez,
other noun,hail,lej,
other noun,hall,lex,
other noun,harbor,lec,
other noun,harp,lab,
other noun,hat,las,
other noun,hay,laj,
other noun,hazard,lac,
other noun,haze,laC,
other noun,he,lar,
other noun,health,loq,
other noun,heap,lop,
other noun,heel,lov,
other noun,height,loz,
other noun,heir,loj,
other noun,helm,loc,
other noun,hen,loC,
other noun,herb,lol,
other noun,herd,lug,
other noun,heritage,lud,
other noun,hierarchy,lub,
other noun,hip,lus,
other noun,history,luz,
other noun,hog,lux,
other noun,holder,luc,
other noun,holiday,luC,
other noun,honey,lul,
other noun,hood,lur,
other noun,hoof,rim,
other noun,horizon,riq,
other noun,hospital,rig,
other noun,hotel,rix,
other noun,hue,rem,
other noun,hull,req,
other noun,hum,reb,
other noun,human,rep,
other noun,humor,res,
other noun,hunger,rev,
other noun,husk,rez,
other noun,hut,rej,
other noun,hydrogen,rec,
other noun,hypothesis,rag,
other noun,icon,rad,
other noun,identity,rac,
other noun,idol,rom,
other noun,immune,roq,
other noun,impulse,rod,
other noun,income,rop,
other noun,indent,rok,
other noun,industry,rof,
other noun,inertia,roj,
other noun,inflame,rox,
other noun,information,roc,
other noun,ingredient,roC,
other noun,inherit,ror,
other noun,inn,ruq,
other noun,input,rus,
other noun,insect,ruf,
other noun,instance,ruj,
other noun,instinct,rux,
other noun,institution,ruc,
other noun,instrument,ruC,
other noun,integer,rur,
other noun,interfere,zimp,
other noun,interior,zint,
other noun,interval,ziqk,
other noun,intestine,zips,
other noun,it,zigz,
other noun,itch,zets,
other noun,item,zand,
other noun,jacket,zarp,
other noun,jail,zaft,
other noun,jar,zaks,
other noun,jaundice,zabz,
other noun,jaw,zulp,
other noun,jelly,zurb,
other noun,jerk,zutx,
other noun,jewel,zusk,
other noun,jewelry,jind,
other noun,joint,jits,
other noun,jolt,jetx,
other noun,journal,jant,
other noun,journey,jaqk,
other noun,jug,japs,
other noun,jumbo,jasp,
other noun,jungle,jomp,
other noun,kettle,julb,
other noun,keyboard,xiks,
other noun,kidney,xidj,
other noun,kit,xitx,
other noun,kitchen,xent,
other noun,knight,xedz,
other noun,knob,xamp,
other noun,knowledge,xalb,
other noun,knuckle,xats,
other noun,ladder,xolp,
other noun,lady,xund,
other noun,lamb,xulf,
other noun,lamp,xups,
other noun,larva,cadj,
other noun,layer,catx,
other noun,leather,coks,
other noun,ledge,cubz,
other noun,legend,Carb,
other noun,leisure,Cask,
other noun,lemon,Cont,
other noun,length,Cogz,
other noun,lens,wisk,
other noun,lesson,wemp,
other noun,lever,weks,
other noun,library,webz,
other noun,lice,walp,
other noun,lid,warf,
other noun,life,wolb,
other noun,lightning,worp,
other noun,limb,wops,
other noun,lineage,wunt,
other noun,linen,wugz,
other noun,liquor,wuts,
other noun,lizard,lift,
other noun,loaf,lidz,
other noun,lobe,leps,
other noun,location,lesk,
other noun,loft,lalf,
other noun,loin,lagz,
other noun,lone,lond,
other noun,lord,lorb,
other noun,lot,lobz,
other noun,loyalty,lots,
other noun,luggage,lodj,
other noun,lure,losp,
other noun,luxury,lump,
other noun,magnet,luqk,
other noun,magnitude,luks,
other noun,mammal,ribz,
other noun,mania,risp,
other noun,march,reft,
other noun,marriage,regz,
other noun,marsh,redj,
other noun,mass,ralv,
other noun,mast,rars,
other noun,mat,rolf,
other noun,mate,rotx,
other noun,material,rosk,
other noun,matrix,ruls,
other noun,meal,rudz,
other noun,meat,zind,
other noun,mechanic,zift,
other noun,mechanism,ziks,
other noun,media,zibz,
other noun,medicine,zits,
other noun,melody,zidj,
other noun,member,zitx,
other noun,memory,zidz,
other noun,mesh,zisk,
other noun,meter,zisp,
other noun,method,zemp,
other noun,microbe,zent,
other noun,midnight,zend,
other noun,mile,zeft,
other noun,military,zeps,
