gloss,uses,forms,sayable
"eastern, east",136,3,1
curry (mixture of ground spices),136,5,1
"a male given name from ancient greek, equivalent to english philip",136,4,1
pasta,136,3,0
bile,136,5,1
first-person singular preterite indicative of bajar,136,2,1
"tame, domesticated",136,4,1
unique,136,4,1
hangar,136,5,1
saki (monkey),136,5,1
"achnatherum, especially the jiji grass achnatherum splendens",136,4,1
verbal noun of ذَهَبَ (ḏahaba) (form i),136,3,1
"a surname, mostly found in canada",136,4,1
forms feminine nouns meaning the action of a verb,136,6,1
pec (pectoralis major muscle),136,5,1
"moving leaf of a hinge, affixed to the moving part",136,5,1
"organ (larger part of an organism, composed of tissues that perform similar functions)",136,6,1
"a male given name, a phonetic spelling variant of mike",136,5,1
the fish common rudd scardinius erythrophthalmus,136,7,1
refusal,136,5,0
"old, longstanding, time-honoured",136,5,1
borax,136,8,0
infusion from yerba mate,136,6,1
short form of dobry,136,6,1
"sine (symbols: جا, جب)",136,7,1
woe,136,7,0
added to a noun to express smallness or endearment.,136,10,1
a type of dance from bolivia,136,11,1
guru (spiritual teacher),136,11,1
"birch (stick, rod or bundle of twigs made from birch wood, used for punishment)",136,11,1
forms adjectives denoting a quality or characteristic from nouns; -ic.,136,13,1
smack; slap,135,1,0
australian blackwood (acacia melanoxylon),135,1,1
"baptizer, baptist",135,1,0
well (hole dug to obtain water),135,1,1
"a habitational surname, champlain",135,1,0
"broken, rugged",135,1,1
"a male given name of historical usage, equivalent to english hatto",135,1,1
"litigious, disputed",135,1,1
"dot, spot, fleck, speck, jot",135,1,1
"cougar, puma",135,1,0
"riihimäki (a town and municipality of tavastia proper, in southern finland)",135,1,1
station (place of stopping for transportation),135,1,1
to shop,135,2,1
present stem of آشامیدن (âšâmidan),135,2,1
third-person singular past historic of garder,135,2,1
"a male given name, nayef",135,2,1
"yuba, tofu skin",135,3,1
"one of several species of trees, principally erythrina crista-galli",135,2,1
question,135,3,1
"pitcher, jar, pot",135,3,1
sawmill,135,2,0
"crown (royal, imperial or princely headdress)",135,3,1
"wide, spacious, vast",135,3,1
fluke,135,4,0
"a celtic tribe of britannia, mentioned by caesar.",135,4,1
third-person singular past historic of tinter,135,3,1
first-person singular preterite indicative of menar,135,4,1
skua,135,2,0
montagu's blenny (coryphoblennius galerita),135,4,0
pinafore,135,5,0
"troy (an ancient city in far northwestern asia minor, in modern turkey)",135,2,1
"spot, place",135,3,1
housekeeping,135,4,0
louse (small parasitic wingless insect),135,4,1
"a sandy hill, typically of glacial origin, protruding above a silty area",135,4,1
to floor,135,4,1
"forehead, brow",135,4,1
"flour, fine meal",135,4,1
third-person singular possessive of pul,135,3,1
"ride, lift",135,3,1
bremer (person),135,2,1
"garden angelica, wild celery, norwegian angelica; angelica archangelica",135,5,1
"exterior, external, outside",135,6,1
little (a small amount),135,5,1
"tosh (ellipsis of kiryas tosh: a neighbourhood of boisbriand, quebec, canada)",135,6,1
act (deed),135,6,1
"to purr, to whirr, to bray, to grumble, to snarl, to howl",135,6,1
"crease, wrinkle, fold",135,4,1
"part, section",135,5,1
"a jap, a japanese person",135,6,1
grandmother,135,8,1
pilgrimage,135,6,1
"female equivalent of -ot: forms feminine nouns, chiefly with diminutive effect",135,6,1
designer,135,6,0
"row, chain",135,9,1
"tape, band, ribbon, strip",135,9,1
ribs,135,8,1
"attire, robe",135,8,0
"dad, daddy",135,8,1
breach,134,1,0
"a male given name, equivalent to english brice",134,1,1
"pooch, mutt, cur (dog)",134,1,1
saltpeter,134,1,0
"cascade, waterfall",134,1,1
cruise,134,1,0
instructive plural of kanki,134,1,1
"a surname, menard",134,1,0
pear orchard,134,1,1
"gentleness, kindness, affection",134,1,0
a surname; the most popular surname in italy,134,1,1
saudade,134,1,0
"shoshone (member of the shoshone people, a native ethnic group of the united states)",134,1,1
tallit,134,1,0
"loveliness, attractiveness, beauty, grace, elegance, charm",134,1,1
pheasant (a bird of family phasianidae),134,2,1
"holm oak (quercus ilex, a tree of the mediterranean)",134,2,1
age (particular period of time in history),134,2,1
sanitary,134,2,1
class (of boat),134,2,1
scab (incrustation over a wound),134,2,1
a small village,134,2,1
"dark, swarthy",134,2,1
"part, share",134,2,1
tortoise,134,2,1
"neurotic, crazy",134,3,1
real,134,3,1
"straw chaff, such as used in animal shelters",134,3,1
verbal noun of سَهِرَ (sahira) (form i):,134,3,1
"to lick, lap",134,4,1
"little, tiny",134,4,1
rubber (pliable material derived from the sap of the rubber tree),134,4,1
blade (of grass),134,3,1
pre-reform spelling (used until 1971 in brazil and 1945 in portugal) of soco.,134,3,1
chemistry,134,4,1
cashew tree,134,5,1
matins,134,4,0
verbal noun of كَنَّ (kanna) (form i),134,5,1
"man, male human being",134,6,1
nail (spike-shaped metal fastener used for joining wood or similar materials),134,4,1
"a town and municipality of ennepe-ruhr-kreis district, north rhine-westphalia",134,4,1
"hope, expectation",134,6,1
pioneer,134,3,0
fuller's earth (fine white-blueish clay),134,5,1
"heap, pile (collection of things laid in a body, or thrown together so as to form an elevation)",134,4,1
eye dialect spelling of estão,134,7,1
female equivalent of luso,134,5,1
tasting,134,7,1
"hole (usually for ventilation; depending on location) window, shutter, door",134,7,1
a kind of striped upper garment,134,5,1
"barn, farm building, granary",134,8,1
"to extinguish, quench (fire), turn off (a device or power source)",134,6,1
"nighttime, night",134,6,1
vagina,134,6,0
"the cree nation, cree people",134,6,1
dugout (boat made from a hollowed-out log),134,7,1
"shelter, refuge, haven",134,6,1
request,134,9,1
"ember, live coal",134,8,1
sauce,134,9,1
"not easily yielding, resilient",134,9,1
having two parts,134,9,1
balboa,133,1,0
second-person singular past historic of bayer,133,1,1
coke (serving of coca-cola),133,1,1
"a surname, eiffel",133,1,0
"a place in texas, united states",133,1,1
a god or deity; a divine individual.,133,1,1
fine; mulct; penalty,133,1,1
"black fly (any fly of the family simuliidae, usually biting)",133,1,1
prepositional singular of пат (pat),133,1,1
eyelash (one of the hairs which grow along the edge of eyelids),133,1,1
to belch; to burp,133,1,1
sassafras (tree of the genus sassafras; its bark),133,1,1
tavares: a surname from portuguese,133,1,1
prepositional singular of ве́лик (vélik),133,1,1
veronica (cloth),133,1,1
zayin; the hebrew letter ז,133,1,1
an ask or demand.,133,2,1
"wheel (a circular device capable of rotating on its axis, facilitating movement or transportation or performing labour in machines)",133,2,1
gambling,133,2,0
ability,133,2,1
baku (the capital city of the republic of azerbaijan),133,3,1
"clever, witty: realizing or guessing things quickly or correctly",133,2,1
"a male given name, feminine equivalent stefanie or stephanie, equivalent to english stephen; variant form steffen",133,3,1
fava bean,133,4,1
grass (plant of the family poaceae or plant that resembles grasses),133,2,1
"multiple, poly-, multi-",133,4,1
"step, pace (an instance of stepping, single movement of one foot before the other in walking or running)",133,3,1
gleaming,133,5,0
prose,133,4,1
japan (a country and archipelago of east asia),133,3,1
"coney, cony, rabbit",133,3,1
poor,133,2,1
"drop, ebb, descent, decrease",133,5,1
"a town and district of antalya province, turkey",133,4,1
"appended to nouns or proper nouns, often surnames (ending with -a and -g, -ge, -go) to form nouns meaning: wife of",133,4,1
"a river in iași, romania, tributary to the bahlui",133,2,1
a transliteration of the sanskrit unisex given name किरण (kiraṇa),133,2,1
flight (the act of flying),133,3,1
one who has been aided to be victorious,133,4,1
palm (hand and tree); palmar,133,3,1
"shit, feces",133,7,1
"intrigues, machinations",133,6,0
heiress,133,6,0
geek,133,7,0
verbal noun of شَرَحَ (šaraḥa) (form i),133,5,1
"anti-, opposing",133,8,1
great-grandfather,133,7,1
"edge, border",133,6,1
second-person singular voseo present subjunctive of matar,133,6,1
masculine singular present transgressive of péct,133,7,1
a river in belgium and netherlands. in the netherlands the river flows into the meuse as a tributary in the province of limburg.,133,7,1
to add in certain internet services,133,7,1
"pebble, shingle",133,7,1
"trunk, torso",133,7,1
finished; gone,133,8,1
"to throw away, reject, kick out",133,8,1
dram (a small quantity of an alcoholic drink),133,8,1
large cultivated field,133,10,1
"a village in fejér county, hungary",132,1,1
pan (used in gold panning),132,1,1
to play bridge (the card game),132,1,1
"calais (a city in pas-de-calais department, hauts-de-france, france)",132,1,1
duck (of either sex),132,1,1
"a town and municipality of rio de janeiro, brazil",132,1,1
"pergola, arbor, a framework used to support and train climbing plants",132,1,1
a kind of bugloss,132,1,1
homer,132,1,0
only used in la habana,132,1,1
julienne,132,1,0
"to be currently lazy, to laze around",132,1,1
napoleon (french coin),132,1,1
"nightlife (nocturnal entertainment activities, especially parties and shows)",132,1,1
original (a thing from which all later copies and variations are derived),132,1,1
sharp knock (sound),132,2,1
bronchus,132,2,0
"a female given name, equivalent to english hilda",132,2,1
"valley, canyon, glen",132,3,1
to munch [with accusative],132,3,1
hill slope,132,3,1
bait used for fishing,132,3,1
suffix used to form adjectives matched to nouns ending in -ation (or its variants) and derived from a latin verb.,132,4,1
"row, line, rank (objects arranged in a line)",132,4,1
"stack, rick",132,3,1
"a village in dofteana, bacău county, romania",132,2,1
cirque,132,2,0
present indicative analytic independent of feic,132,4,1
"shine, luster, gleam",132,3,1
"hamlet (very small settlement which lacks some of the typical features of a village, such as a church or a village square)",132,4,1
"a nickname for the spanish politician josé luis rodríguez zapatero, former president of the government of spain (2004–2011)",132,2,1
dogwood (cornus),132,5,0
hunter,132,5,1
lory (bird),132,6,1
"a while, bit (a short period of time)",132,4,1
"stump, stub",132,4,0
louis (currency),132,5,1
abacus (board for doing calculations),132,5,1
the letter ض,132,5,1
prepositional singular of аз (az),132,5,1
party,132,4,1
"gull, seagull",132,6,1
bowl or basin for washing,132,6,1
russia (a transcontinental country in eastern europe and north asia),132,5,1
dr; abbreviation of doktor,132,7,1
"time (instance, occurrence)",132,5,1
reich (territory of a german empire or nation),132,5,1
common (shared),132,5,1
traffic light,132,6,1
a field surrounded by fences or other barriers.,132,8,1
miner's house (in northern france),132,4,1
"trickle, dribble (weak, unsteady stream)",132,7,1
"grade, step, order, degree, rank",132,7,1
"mug, large cup with handle",132,8,1
"mahogany, any tree of the species swietenia mahagoni and its valuable wood used to make furniture",132,8,1
"the cyrillic letter л, л.",132,10,1
"good, fine",132,11,1
albino,131,1,0
"moronic, immature, foolish",131,1,1
"brisbane (the capital of queensland, australia)",131,1,1
"calgary (the largest city in alberta, canada)",131,1,1
capoeira,131,1,0
an old roman gens name.,131,1,1
a thin leather strip used to tie or bind,131,1,1
"a male given name, equivalent to english dysmas",131,1,1
duke (male ruler of a duchy),131,1,1
"a traditional christmas treat prepared with eggs and flour, fried in olive oil; beignet, fritter",131,1,1
"goiás (a state of the central-west region, brazil; capital: goiânia)",131,1,1
"a male given name, hamed or hamid, from arabic",131,1,1
"a surname, horch",131,1,0
mission (set of tasks that fulfills a purpose or duty; an assignment),131,1,1
monitor (display),131,1,1
catholic priest,131,1,1
short for pornografi,131,1,1
an english surname,131,1,0
"sakai (a large city in osaka prefecture, japan)",131,1,1
third-person singular past historic of tanner,131,1,1
togo (a country in africa),131,1,1
"a trinity, triad",131,1,0
"tulcea (the capital and largest city of tulcea county, dobruja, in eastern romania)",131,1,1
sale (instance of selling something),131,1,1
"timber, beam, rafter, girder",131,1,1
material,131,2,1
"bold, firm, resolute",131,2,1
"lobster (a crustacean of the nephropidae, or homaridae, family)",131,2,1
"bundle, bunch, wad",131,2,1
"smelting, melting, casting",131,2,1
"a surname originating as an occupation, variant of meyer",131,2,1
fruit (especially an apple),131,2,1
to lay an egg.,131,2,1
present subjunctive analytic of alt,131,3,1
curlew,131,3,0
"grassland, pasture",131,2,1
"to take (something relatively inconsequential) without permission; to pinch, to filch",131,3,1
close (intimate or immediate in personal relationship),131,3,1
patience,131,2,1
"a part, portion, piece, share",131,2,1
a surname from given name,131,2,1
hopi language,131,2,1
a message (also budskap),131,4,1
"jug (large, bulging, domed vessel, usually made of glass)",131,4,1
squirrel fur; vair,131,3,1
path (especially steep or narrow),131,4,1
anxiety; disquietude,131,3,1
"whole, entirety, total",131,4,1
ditto,131,4,0
guide,131,3,1
virile nominative/vocative plural of dany,131,3,1
portfolio,131,6,0
bat (act of batting),131,7,1
gallium (chemical element),131,5,1
income (money one earns by working),131,4,1
haystack (or pile of sheaves),131,5,1
"tram, (north america) streetcar",131,4,1
guava (fruit),131,5,1
pennyroyal (mentha pulegium),131,3,0
alum,131,5,0
federation,131,3,0
"slightly bitter or sharp to the taste, often in a pleasant way; tart (but not in the sense of "sour")",131,4,1
tuco,131,7,0
ellipsis of hosenstall ("fly of trousers"),131,6,1
added to nouns to form other concrete nouns; -er; -or,131,5,1
"to repair or improve a car, motorcycle, or other (mechanical) equipment",131,5,1
"pig, swine",131,8,1
a berry,131,8,1
"a diminutive of several female given names, such as júlia, juliana, jussara and jurema.",131,9,1
verbal noun of صَهَرَ (ṣahara) (form i),131,6,1
used to form collective nouns,131,6,1
castle (large fortified residential building),131,7,1
"to dig (up), unearth, excavate",131,6,1
franc (swiss currency),131,6,1
"spreader, yard (horizontal athwartships spar attached to the mast of a sailboat in order to extend the shrouds away from the mast)",131,7,1
the wife of the sapa inca in the inca empire,131,9,1
"to annoy, disturb, irk, (cause to) worry",131,7,1
"ditch, trench",131,7,1
lao (relating to the lao language),131,7,1
criminal code,131,8,1
"wood grouse, capercaillie, tetrao urogallus (large, black bird of grouse family)",131,8,1
the (free) end of a rope,131,9,1
"used to form the names of residents or inhabitants of particular places, in particular towns/cities.",131,9,1
putty (certain kinds of cement used for fixing e.g. window panes),131,10,1
layabout (person who flumps to rest more often than work),131,11,1
botanic,130,1,0
dogon,130,1,0
guide person,130,1,1
"honolulu (a city, the state capital of hawaii, united states)",130,1,1
judeo-persian spelling of كاشان (kâšân),130,1,1
female equivalent of matero,130,1,1
belvedere,130,1,0
"traverse, crossing",130,1,1
"a male given name in romania, and occasionally also a surname, equivalent to english theodore",130,1,1
thatch,130,2,0
"a neighbourhood of enschede, overijssel, netherlands",130,2,1
"rest, ease, repose",130,2,1
"thousand, one thousand, a thousand",130,2,1
inspiration (exercising an elevating or stimulating influence upon the intellect or emotions),130,2,1
"revenge, retribution",130,3,1
"lentisk, mastic shrub (pistacia lentiscus)",130,3,1
goose; gander (male),130,3,1
"quick, fast",130,4,1
"dax (a commune of landes department, nouvelle-aquitaine, france)",130,3,1
"dude, guy, man",130,3,1
third-person singular possessive of yer,130,3,1
barbel (fish),130,3,1
karen (member of an ethnic group in burma),130,4,1
"filter-avoidance spelling of کس (kos, "cunt, pussy")",130,4,1
"stupid, dumb",130,4,1
third-person singular past historic of avoir,130,3,1
roe deer,130,4,1
rebellious,130,5,0
a type of rice,130,5,1
"cleric, clergyman",130,5,0
amish,130,5,0
"kob, kobus kob.",130,2,0
boundary,130,3,1
female equivalent of mongo,130,4,1
siskin,130,7,0
farmsteads,130,5,0
great quantity of water or milk,130,4,1
"side, flank",130,6,1
"companion, associate",130,5,1
tare (the empty weight of a container),130,5,1
impossible,130,5,1
"hold, grip",130,5,1
southerly wind; hence the south,130,6,1
"cherry banana juice, a nonalcoholic mixed drink.",130,7,1
"-less, un-, in-.",130,11,1
"beak, bill, rostrum (anatomical structure of birds)",130,7,1
"mistake, error",130,7,1
coup,130,10,0
to find; to encounter (to come across something that was unknown or had been lost),129,1,1
to fall asleep,129,1,1
female equivalent of angelo ("angel"),129,1,1
angelica (plant),129,1,1
"old, former, erstwhile, quondam, one-time, onetime",129,1,1
dauphin,129,1,0
fermium (chemical element),129,1,1
igbo (language),129,1,1
"stere, cubic metre",129,1,0
"to be born, to sprout, to begin to grow; to hatch (out)",129,1,1
rural cemetery,129,1,1
leaf (of a door),129,1,1
"saône (a right tributary of the rhône, in eastern france)",129,1,1
short neuter singular of све́тлый (svétlyj),129,1,1
a type of small drum,129,1,1
dauber (unskillful painter),129,1,0
trench coat,129,1,1
"a surname, fleury",129,2,0
"mansion, palace",129,2,1
towrope,129,2,0
a subdivision of a wilaya in algeria,129,2,1
a male given name from biblical hebrew,129,2,1
mandala (geometric design),129,2,1
"den, burrow",129,2,1
"to land, to end up, to be placed (at some place)",129,2,1
cockscomb (celosia argentea var. cristata),129,2,0
third-person singular past historic of peller,129,3,1
"-ness, -ity (used to form abstract nouns from adjectives)",129,2,1
"flat land; rugged, hard land",129,2,1
"sevastopol (a port city in crimea, internationally recognized as part of ukraine but de facto in russia)",129,2,1
"an hour, a period of time",129,3,1
"obsolete unit of measure for liquids, equivalent to six pints",129,3,1
"changchun (a prefecture-level city and subprovincial city, the provincial capital of jilin, in northeastern china)",129,2,1
"court, mansion (residence of a sovereign, prince, nobleman, or other dignitary)",129,4,1
high boot,129,3,1
third-person singular past historic of pagare,129,4,1
"mine shaft, pit",129,3,1
closeted gay man; a homosexual male who does not assume himself as such,129,4,1
sardinian (woman from sardinia),129,4,1
economizer (part of a steam boiler),129,5,1
"point, tip, cusp, prong, tine (sharp point or pointed end)",129,3,1
to not possess,129,6,1
charm (jewelry),129,3,1
singulative of has ("seeds"),129,5,1
cross (x-shape),129,4,1
turn (a change of direction or orientation),129,3,1
involving or characterized by sex,129,5,1
klipspringer,129,5,0
ugly,129,6,1
water foam,129,4,1
mat,129,3,1
used to form names of male professions or sportspersons,129,5,1
"to soil, to stain, to dirty, to smut",129,4,1
clock,129,7,1
"oise (a department of picardy, hauts-de-france, france)",129,4,1
"to put on, to dress",129,6,1
first-person singular preterite indicative of mover,129,7,1
masculine singular present transgressive of téct,129,5,1
"name of the 27th letter of the arabic alphabet (و / ‍و), representing the sound /w/.",129,5,1
of the color of the same name,129,7,1
"used to form verbal nouns, derived from regular -are verbs, expressing an instance of the action expressed by the verb; -th, -ness, -hood",129,6,1
pack ice,129,8,1
auk,129,10,0
glacier (regional in bavaria and parts of austria for gletscher),129,6,1
some-,129,8,1
"cape, cloak",129,9,1
forms neuter nouns denoting a country or a region,129,10,1
"friend, mate, pal, man, bro",129,9,1
jerk (dance),129,12,1
"forms nouns, usually from verbs, generally describing the means, instrument, or result of an action",129,10,1
power,129,11,1
acme (the top or highest point),128,1,1
"a female given name, masculine equivalent andreas",128,1,1
a spanish coin worth five pesetas,128,1,1
"inferno (catastrophic scenario, especially involving fire)",128,1,1
"a portable tape recorder, typically used by journalists",128,1,1
paskha (easter dessert),128,1,1
a bog with many wet spots,128,1,1
sousa (a river in northern portugal),128,1,1
hartwort (tordylium maximum),128,1,1
to catch,128,1,1
"fox (vulpini, especially the genus vulpes)",128,2,1
"murderer, slayer",128,2,0
low german,128,2,1
mihrab,128,3,0
elm (ulmus),128,2,1
fish (cold-blooded vertebrates living in water),128,3,1
adder,128,2,0
indicates a congenital anomaly characterized by the lack of a body part,128,2,1
"sun; sunlight, sunshine (the light and heat which are received from the sun)",128,3,1
"saxon (native or inhabitant of saxony, germany) (usually male)",128,3,1
seal (maritime mammal),128,3,1
mugger crocodile,128,3,1
a large mat,128,4,1
cricket (insect),128,3,1
"sandbank, shoal",128,2,0
third-person singular possessive of iç,128,4,1
"kitchen, cuisine",128,3,1
singer,128,4,0
first/second-person singular past historic of savoir,128,3,1
"bottom, lower",128,4,1
candidate,128,5,1
"a sinkhole in the apulia region, in italy",128,3,1
"sated, weary (having had enough) [from 9th c.]",128,3,1
"a given name, either as a diminutive of edward or officially given equivalent to english ed(dy), ned, ted",128,4,1
"a press, mechanical device to exert pression",128,5,1
third-person singular optative of olmak,128,4,1
young child; baby,128,4,1
"sleigh (vehicle, generally pulled by an animal, which moves over snow or ice on runners, used for transporting persons or goods)",128,6,1
hummingbird,128,3,0
liquid,128,6,1
speed (amphetamine-based drug),128,3,1
"method, manner",128,6,1
slipper,128,7,0
"manner, way, method",128,7,1
loyal,128,7,1
-lysis,128,4,0
"a mite, small insect",128,5,1
small container made of birch bark.,128,5,1
"fava beans, fava (vicia faba)",128,6,1
first/third-person singular preterite indicative of sċīnan,128,7,1
"fief (a land given by a sovereign to a vassal in exchange for military services, especially in the middle ages)",128,5,1
hrh,128,7,0
"holiday, vacation",128,8,1
"edge, margin, border, verge, brink, side (outer limit, or the area right beside the outer limit, of something)",128,6,1
pre-1918 spelling of стол (stol).,128,6,1
pr (communication by a person or an organization with the purpose of creating a favorable public image),128,7,1
"to go, walk",128,8,1
masculine singular present transgressive of prát,128,9,1
travel bag,128,10,1
alberta (a province in western canada),127,1,1
"firm, company, business, concern, establishment",127,1,1
mouth (all senses),127,1,1
"a female given name from hebrew, equivalent to english joanna",127,1,1
"magisterial, magistral",127,1,0
"petroleum, oil",127,1,1
"male dove, male pigeon, cock pigeon",127,1,1
exit; way (a passage to the outside),127,1,1
singleton,127,1,1
"short feminine singular of широ́кий (širókij, "wide, broad, generous")",127,1,1
third-person singular past historic of vertere,127,1,1
solitude,127,2,0
"blooming, bloomy",127,2,1
joel.,127,2,0
"a village and former municipality of rijssen-holten, overijssel, netherlands",127,3,1
"lacking style, tasteless",127,2,1
self,127,2,1
-philic,127,2,0
yen (currency of japan),127,2,1
a style of embroidery from mexico,127,3,1
"coal kiln, charcoal pile, charcoal stack",127,3,1
caiman,127,3,0
dovecote,127,2,0
verbal noun of مَسَكَ (masaka) (form i),127,3,1
"bogie, (us, rail transport) truck",127,4,1
a beau,127,2,0
partridge (any bird of the genera perdix or alectoris),127,2,1
verbal participle of ás,127,6,1
"harran, a city mentioned in the bible",127,5,1
verb suffix for the first-person plural imperfect/conditional,127,4,1
"a male given name from italian, popular in the 2000s",127,4,1
"a vat in which olives, grapes or apples are pressed",127,4,1
face (surface),127,5,1
poetry slam,127,5,1
apricot,127,4,1
okra,127,7,0
"residence, place, apartment, flat (place where one lives)",127,5,1
he (a male),127,7,1
"nose, snout, trunk",127,7,1
beet (the root plant beta vulgaris),127,4,1
"stock, goods in supply",127,7,1
apocopic form of stanno,127,7,1
roach (small fish),127,7,1
north wind; northeasterly (wind),127,6,1
cuckoo (the bird),127,5,1
"hutch, coop (for small animals or birds)",127,7,1
"grand-; indicates a relationship of ancestry one generation older than the noun: grand-mère ("grandmother"), grand-tante ("great aunt").",127,7,1
"sustenance, daily bread",127,6,1
"lie, falsehood",127,7,1
table,127,6,1
boarding school,127,5,1
"dune, specifically a shifting dune",127,7,1
"lawn, grass (low, dense cover of grass plants; area of land with such a cover)",127,8,1
hp,127,8,0
greek (person),127,11,1
share (of inheritance),127,9,1
algeria (a country in north africa),126,1,1
to ail,126,1,1
typically british,126,1,0
"dovecote, columbarium",126,1,0
festival,126,1,1
"bedroom, bedchamber, chamber",126,1,1
ellipsis of pizza margherita,126,1,1
"montpellier (a large city, the prefecture of hérault department, occitania, france)",126,1,1
female equivalent of obrero,126,1,1
pagoda,126,1,0
"a maritime city of lycia, celebrated for its temple of apollo",126,1,1
"pepper (herb, peppercorns)",126,1,1
"quebracho (south american tree with hard, tannin-rich wood)",126,1,1
in separate pieces; fragmented; broken,126,1,1
"a male given name from proto-germanic, equivalent to english rudolph",126,1,1
sandhi (fusion of sounds across word boundaries),126,1,1
"to scowl, have an angry expression",126,1,1
tianjin (a direct-administered municipality and major city in northern china),126,1,1
royal page,126,2,1
a cut,126,2,1
well (hole sunk into the ground as a source of water),126,2,1
penitent (who repents of sin; one sorrowful on account of their transgressions),126,2,1
crime (a genre),126,2,1
"turin (a city and comune, the capital of the metropolitan city of turin and the region of piedmont, italy)",126,3,1
"informal pronunciation of بَاقٍ (bāqin, "remaining")",126,3,1
"buckthorn, trees of the genus ziziphus",126,4,1
grosbeak,126,4,0
"guy, dude, bloke",126,2,1
semitic,126,3,0
"show, spectacle",126,4,1
to limit,126,4,1
"cowardly, dastardly",126,4,1
present active indicative connegative of auttaa,126,4,1
to cool with ice; to cover with ice,126,5,1
"to give out, spread abroad, disseminate, distribute, scatter",126,4,1
"heller, a coin made of gold or silver used as currency in germany during the middle ages.",126,5,1
a private japanese school offering lessons outside of regular school time.,126,6,1
"graz (a city, the state capital of styria, austria)",126,2,1
-uria,126,4,0
"g-d, a deliberately incomplete spelling of бог (box).",126,6,1
forms diminutives; applies a detestable or vile quality to the root,126,4,1
"tendon, sinew",126,7,1
"wasp (of, pertaining to, or characteristic of wasps)",126,4,1
"jolt, shake, shudder",126,4,1
"phalanx, phalange",126,3,0
"a small island, an islet, a holm (normally uninhabited and typically more or less covered with trees)",126,7,1
a frame (for a door or window),126,5,1
allée,126,6,1
"stagnation, freeze up",126,6,1
slaughter (killing of animals) [with genitive 'of what'],126,6,1
"unjustified, unwarranted, undue",126,7,0
"juice, sap, sauce, moisture",126,5,1
sown field,126,6,1
a small splotch,126,7,1
"bene/benny: eggs benedict; a food, an egg dish",126,9,1
"dry, parched, scorched, arid",126,8,1
wet mud or dirt,126,9,1
a shot (alcoholic),126,7,1
to envy,126,8,1
cannes (a city in france),125,1,1
verbal noun of دَبِرَ (dabira) (form i),125,1,1
back (of the body),125,1,1
"a recreational drug, psychoactive substance, especially when illegal and addictive",125,1,1
"flat surface near the sea, created from collapsing cliffs or lava flows",125,1,1
"a female given name from latin, equivalent to english felicity",125,1,1
"to scatter, sprinkle (to cause a substance to fall in fine drops (for a liquid substance) or small pieces (for a solid substance))",125,1,1
third-person singular single-possession possessive of ér,125,1,1
"lombard (of, from or relating to the region of lombardy, italy)",125,1,1
"daisy (bellis perennis, a wild flower with a yellow head and white petals)",125,1,1
"list of winners or champions, prize list",125,1,1
quebec (a province in eastern canada),125,1,1
"bracelet, bangle",125,1,0
band (group of people),125,2,1
"dove, white pigeon",125,2,1
"to avail, to be of use, to serve",125,2,1
"bag (soft container made out of cloth, paper, thin plastic, etc.)",125,2,1
anyone seen as restraining freedom of opinion and speech,125,2,1
"female equivalent of güiro, female kid, girl",125,2,1
third-person singular simple present indicative of abide,125,2,1
first-person singular preterite indicative of tener,125,2,1
"ham (type of pork, meat from the thigh of a hog)",125,2,1
net (for catching wild animals),125,3,1
"breton (of, from or relating to the region of brittany, france)",125,2,1
"to comply, to follow, to meet [with accusative 'a call, demand, or requirement']",125,3,1
"a unit of measurement for area, a hectare",125,2,1
high school,125,3,1
"statement, discourse, report",125,4,1
sotol (desert plant),125,3,1
"baby, infant",125,3,1
sago (powdered starch obtained from certain palms),125,4,1
mug,125,5,1
third-person singular past historic of pomper,125,3,1
fng (new recruit),125,5,1
palimpsest,125,5,0
"tool, means, implement",125,6,1
basque (member of a people),125,5,1
stern (of a ship),125,5,1
radio (technology),125,5,1
black nightshade (solanum nigrum),125,5,1
cha-cha (dance),125,4,1
male homosexual,125,3,1
mead (alcoholic beverage),125,4,0
"guide, guidance",125,6,1
"a hamlet in vaals, limburg, netherlands",125,4,1
"slice or piece, especially of bread",125,6,1
"sight, the ability to see",125,5,1
a small island situated near leucas,125,6,1
jackal,125,5,1
post-1990 spelling of goût,125,7,1
"a comedic character type representing a young boy who is inexperienced and naive, and yet wishes to come off as clever and experienced",125,5,1
foam (layer of bubbles associated with the sea),125,7,1
"table, desk (standing piece of furniture with a flat top)",125,7,1
"ire, anger",125,7,1
"underlay, base, under- (anything underlaid)",125,7,1
first/third-person singular preterite of sinken,125,6,1
"semi-, demi-, half-",125,6,1
envy,125,8,1
third-person singular preterite indicative of nadar,125,6,1
god as creator of all.,125,7,1
urn,125,9,1
light; of low weight,125,7,1
"kingdom, realm, empire",125,8,1
mali (language),125,8,1
"sheep, ovine",125,11,1
"molar, grinder, a back tooth having a broad surface used for grinding one's food",124,1,1
java sparrow (padda oryzivora),124,1,1
cenote,124,1,0
running (of water),124,1,1
central/main train station,124,1,1
london,124,1,0
"ecstasy, molly, mandy (the drug mdma)",124,1,1
"a fortified stone house or tower, a keep",124,1,1
taipei (a city in taiwan),124,1,1
french tamarisk (tamarix gallica),124,1,0
to (cause to) sink or drop.,124,1,1
a patronymical surname from old galician-portuguese,124,1,1
"water boy, water carrier",124,1,1
japanese persimmon (diospyros kaki),124,2,0
grill,124,2,1
"wild, untouched, unspoiled, pristine",124,2,1
"a town in rome, lazio, italy",124,2,1
