mark,heads,gloss
湿,15,"wet"
祝,15,"pray for happiness or blessings"
系,15,"tie"
详,15,"detailed"
闹,15,"quarrel"
鲜,15,"fresh"
岁,15,"age"
昆,15,"elder brother"
液,15,"liquid"
贡,15,"offer tribute"
鞭,15,"whip"
吞,15,"absorb"
妄,15,"absurd"
尸,15,"corpse"
拟,15,"draft"
拳,15,"various forms of boxing"
挥,15,"direct"
挽,15,"pull"
晋,15,"advance"
桥,15,"bridge"
泄,15,"leak"
泛,15,"drift"
灭,15,"extinguish"
炉,15,"fireplace"
蒸,15,"steam"
版,15,"printing blocks"
督,15,"supervise"
碧,15,"jade"
策,15,"scheme"
脉,15,"blood vessels"
衰,15,"decline"
僧,15,"Buddhist priest"
卤,15,"salt"
寡,15,"widowed"
徐,15,"slowly"
披,15,"wear"
晶,15,"clear"
浩,15,"great"
税,15,"tax"
绕,15,"entwine"
酷,15,"cool"
驳,15,"varicolored"
骚,15,"harass"
亂,15,"disorderly"
咸,15,"together"
姨,15,"mother/wife's sister"
導,15,"direct"
師,15,"division of 2500 soldiers"
復,15,"return"
恒,15,"constant"
扒,15,"scratch"
攘,15,"seize"
晨,15,"early morning"
栈,15,"warehouse"
標,15,"topmost branches of a tree"
盤,15,"tray"
硅,15,"silicon"
脫,15,"take off"
華,15,"blossom"
蝦,15,"shrimp"
評,15,"comment on"
貴,15,"expensive"
買,15,"buy"
輪,15,"warrant"
逗,15,"tempt"
這,15,"this"
遊,15,"wander"
锦,15,"brocade"
隨,15,"follow"
雀,15,"sparrow"
驚,15,"fear"
鴨,15,"duck"
麥,15,"general term for wheat"
齿,15,"tooth"
旁,14,"side"
办,14,"manage"
只,14,"a sword"
忽,14,"suddenly"
许,14,"allow"
写,14,"write"
属,14,"class"
牌,14,"signboard"
输,14,"lose"
迟,14,"late"
刷,14,"brush"
拒,14,"ward off with hand"
暂,14,"temporary"
构,14,"frame"
毕,14,"end"
穷,14,"poor"
符,14,"i.d. tag"
粮,14,"food"
肚,14,"bowels"
迫,14,"coerce"
销,14,"melt"
凡,14,"all"
漫,14,"overflow of water"
肌,14,"muscle tissue"
肩,14,"shoulders"
贺,14,"congratulate"
伴,14,"companion"
候,14,"expect"
呈,14,"submit"
圈,14,"circle"
埋,14,"bury"
堆,14,"heap"
夺,14,"take by force"
忧,14,"sad"
旷,14,"extensive"
昏,14,"dusk"
棋,14,"chess"
棒,14,"stick"
款,14,"item"
淘,14,"wash in a sieve"
渗,14,"soak through"
滋,14,"grow"
溶,14,"melt"
耗,14,"consume"
袖,14,"sleeve"
覆,14,"overturn"
识,14,"recognize"
诱,14,"persuade"
遮,14,"cover"
都,14,"all"
饱,14,"eat heartily"
兜,14,"pouch"
叛,14,"rebel"
契,14,"deed"
架,14,"rack"
渡,14,"cross"
献,14,"offer"
痴,14,"foolish"
莫,14,"do not"
傷,14,"wound"
兽,14,"beast"
冊,14,"book"
參,14,"Three Stars mansion"
呆,14,"dull"
孟,14,"first in series"
弓,14,"bow"
彈,14,"shoot"
扬,14,"scatter"
扯,14,"pull"
染,14,"be contagious"
梁,14,"beam"
歲,14,"Jupiter"
殺,14,"kill"
決,14,"dredge"
济,14,"help"
漁,14,"fish"
煎,14,"fry"
甩,14,"throw"
砚,14,"inkstone"
終,14,"end"
維,14,"tie"
翘,14,"turn up"
育,14,"produce"
肺,14,"lung"
芋,14,"taro"
蒜,14,"garlic"
虛,14,"empty"
討,14,"send armed forces to suppress"
語,14,"speak"
貓,14,"cat"
贤,14,"virtuous"
質,14,"matter"
赵,14,"ancient state"
酬,14,"toast"
醫,14,"medicinal"
錯,14,"wrong"
雜,14,"miscellaneous"
鸣,14,"cry of bird or animal"
麵,14,"flour"
忘,13,"neglect"
句,13,"phrase"
挺,13,"stand upright"
碰,13,"collide"
裤,13,"trousers"
另,13,"another"
技,13,"skill"
担,13,"carry"
播,13,"sow"
确,13,"sure"
谈,13,"talk"
铅,13,"lead"
器,13,"receptacle"
孙,13,"grandchild"
度,13,"degree"
森,13,"forest"
虫,13,"bug"
丢,13,"throw"
厂,13,"factory"
唯,13,"only"
坦,13,"flat"
局,13,"bureau"
恭,13,"respectful"
押,13,"mortgage"
控,13,"accuse"
辅,13,"cheek bone"
仪,13,"ceremony"
储,13,"save money"
卑,13,"humble"
弯,13,"bend"
徒,13,"disciple"
抑,13,"press down"
挖,13,"dig"
掩,13,"cover"
摘,13,"pluck"
昌,13,"light of sun"
欺,13,"cheat"
沾,13,"moisten"
添,13,"append"
炎,13,"flame"
牢,13,"prison"
稻,13,"rice growing in field"
羞,13,"disgrace"
诈,13,"cheat"
贬,13,"decrease"
阵,13,"column"
雕,13,"engrave"
额,13,"tablet"
驻,13,"be stationed at"
仇,13,"enemy"
伸,13,"extend"
尚,13,"still"
拙,13,"stupid"
滥,13,"flood"
瓜,13,"melon"
粪,13,"manure"
絮,13,"waste cotton"
缝,13,"sew"
脊,13,"spine"
丽,13,"beautiful"
兒,13,"child"
別,13,"not"
坑,13,"pit"
娘,13,"young girl"
專,13,"monopolize"
屯,13,"village"
弃,13,"reject"
撕,13,"rip"
枝,13,"branches"
榛,13,"hazelnut"
毋,13,"do not"
沃,13,"water"
泽,13,"marsh"
溪,13,"river"
炼,13,"smelt"
犬,13,"dog"
狐,13,"fox"
碑,13,"stone tablet"
碳,13,"carbon"
笃,13,"deep"
篡,13,"usurp"
純,13,"silk"
绞,13,"twist"
綠,13,"green"
蓮,13,"lotus"
蘇,13,"perilla"
蚁,13,"ants"
見,13,"see"
說,13,"say"
谐,13,"harmonize"
護,13,"protect"
貨,13,"money and goods"
資,13,"money"
賭,13,"gamble"
邊,13,"edge"
郵,13,"postal"
锯,13,"saw"
陽,13,"side"
離,13,"leave"
饰,13,"decorate"
鹽,13,"salt"
龟,13,"turtle or tortoise"
儿,12,"son"
桌,12,"table"
第,12,"sequence"
习,12,"practice"
院,12,"courtyard"
具,12,"tool"
及,12,"extend"
庆,12,"congratulate"
类,12,"class"
胜,12,"victory"
访,12,"visit"
遇,12,"meet"
勇,12,"brave"
型,12,"pattern"
塑,12,"model in clay"
士,12,"scholar"
尺,12,"Chinese measure approx. 'foot'"
措,12,"place"
植,12,"plant"
渐,12,"gradually"
甚,12,"great extent"
诚,12,"sincere"
忍,12,"endure"
户,12,"family"
拐,12,"kidnap"
损,12,"diminish"
涨,12,"rise in price"
灾,12,"calamity"
犹,12,"like"
疾,12,"illness"
苗,12,"sprouts"
躲,12,"hide"
遵,12,"obey"
频,12,"frequently"
丘,12,"mountain"
亏,12,"lose"
俯,12,"bow down"
削,12,"scrape off"
剥,12,"peel"
夸,12,"extravagant"
嫌,12,"hate"
忌,12,"jealous"
惯,12,"habit"
惹,12,"irritate"
懒,12,"lazy"
捣,12,"hull"
摸,12,"touch"
敷,12,"spread"
柱,12,"pillar"
浑,12,"muddy"
源,12,"source"
盆,12,"basin"
纠,12,"investigate"
绑,12,"tie"
若,12,"if"
较,12,"compare"
辽,12,"distant"
迁,12,"move"
钦,12,"respect"
章,12,"chapter"
须,12,"must"
黎,12,"numerous"
乖,12,"rebel"
仲,12,"middle brother"
俄,12,"sudden"
傲,12,"proud"
傻,12,"foolish"
拓,12,"expand"
梯,12,"ladder"
津,12,"ferry"
溜,12,"slide"
烈,12,"fiery"
烘,12,"bake"
焚,12,"burn"
盟,12,"swear"
窃,12,"secretly"
翠,12,"color green"
肇,12,"begin"
肝,12,"liver"
萧,12,"common artemisia"
赫,12,"bright"
阔,12,"wide"
亞,12,"a house"
亡,12,"death"
厝,12,"cut or engrave"
叩,12,"knock"
唇,12,"lip"
嗔,12,"be angry at"
坠,12,"fall down"
執,12,"hold in the hand"
堅,12,"hard"
宋,12,"Song dynasty"
己,12,"self"
帶,12,"belt"
库,12,"armory"
彭,12,"name of ancient country"
徽,12,"a badge"
扳,12,"pull"
拾,12,"pick up"
捉,12,"grasp"
族,12,"a family clan"
柘,12,"a thorny tree"
業,12,"profession"
殉,12,"die for cause"
殊,12,"different"
泉,12,"spring"
涤,12,"wash"
润,12,"soft"
溃,12,"flooding river"
灶,12,"kitchen stove"
為,12,"do"
煮,12,"cook"
玛,12,"agate"
甄,12,"examine"
產,12,"give birth"
瘦,12,"thin"
碱,12,"alkaline"
禄,12,"blessing"
節,12,"knot"
纹,12,"line"
翼,12,"wing"
肠,12,"intestines"
腳,12,"foot"
腺,12,"gland"
臺,12,"tower"
興,12,"rise"
莱,12,"goosefoot"
葉,12,"leaf"
蒼,12,"blue"
課,12,"lesson"
證,12,"prove"
議,12,"talk over"
貝,12,"shellfish"
赏,12,"reward"
赘,12,"unnecessary"
轴,12,"axis"
選,12,"choose"
還,12,"have or have not"
雾,12,"fog"
韻,12,"sweet music"
飽,12,"full"
鳞,12,"fish scales"
或,11,"or"
样,11,"shape"
的,11,"possessive"
而,11,"whereas"
顾,11,"look back"
伟,11,"great"
场,11,"open space"
媒,11,"go-between"
志,11,"purpose"
责,11,"one's responsibility"
既,11,"already"
稍,11,"little"
纷,11,"in disorder"
脾,11,"spleen"
趋,11,"hasten"
享,11,"enjoy"
势,11,"power"
恋,11,"love"
悠,11,"long"
振,11,"raise"
摔,11,"fall to the ground"
朗,11,"clear"
疲,11,"feel tired"
糊,11,"paste"
罚,11,"penalty"
舍,11,"discard"
谦,11,"humble"
账,11,"accounts"
驾,11,"drive"
仓,11,"granary"
凑,11,"piece together"
卓,11,"profound"
厌,11,"dislike"
妥,11,"satisfactory"
宏,11,"wide"
庄,11,"village"
序,11,"preface"
恰,11,"just"
掠,11,"rob"
昂,11,"rise"
澄,11,"purify water by allowing sediment to settle"
筛,11,"sieve"
缠,11,"wrap"
罢,11,"cease"
菊,11,"chrysanthemum"
让,11,"let"
轰,11,"rumble"
闻,11,"smell"
顽,11,"obstinate"
颈,11,"neck"
饶,11,"bountiful"
净,11,"clean"
凯,11,"triumphant"
奏,11,"memorialize emperor"
屠,11,"butcher"
捧,11,"hold up in two hands"
涵,11,"soak"
禅,11,"meditation"
秧,11,"rice seedlings"
凍,11,"freeze"
劈,11,"cut apart"
卜,11,"radish"
卸,11,"lay down"
县,11,"county"
喙,11,"beak"
夙,11,"early in morning"
夷,11,"ancient barbarian tribes"
妙,11,"mysterious"
尘,11,"dust"
府,11,"prefecture"
庭,11,"courtyard"
息,11,"rest"
懸,11,"hang"
戊,11,"5th heavenly stem"
抖,11,"tremble"
捷,11,"win"
撇,11,"discard"
旬,11,"ten-day period"
梵,11,"Buddhist"
檢,11,"measure"
歸,11,"return"
殘,11,"damage"
氯,11,"chlorine"
沖,11,"pour water on"
涼,11,"cool"
淮,11,"river in Anhui province"
減,11,"decrease"
溫,11,"lukewarm"
烂,11,"rotten"
煞,11,"malignant deity"
燈,11,"lamp"
琼,11,"jade"
秃,11,"bald"
種,11,"seed"
竖,11,"perpendicular"
笞,11,"bamboo rod used for beatings"
织,11,"weave"
羅,11,"net for catching birds"
職,11,"duty"
肃,11,"pay respects"
脓,11,"pus"
臨,11,"overlook"
芒,11,"Miscanthus sinensis"
芜,11,"luxurious growth of weeds"
菲,11,"fragrant"
葛,11,"edible bean"
葱,11,"scallions"
號,11,"name"
蛤,11,"clam"
蟹,11,"crab"
衛,11,"guard"
計,11,"calculate"
設,11,"put"
詩,11,"poem"
誤,11,"mistaken"
請,11,"ask"
貧,11,"poor"
賢,11,"virtuous"
跃,11,"skip"
跋,11,"go by foot"
跪,11,"kneel"
郁,11,"sweet smelling"
锅,11,"cooking-pot"
锐,11,"sharp"
陸,11,"land"
驯,11,"tame"
鬱,11,"lush"
魏,11,"kingdom of Wei"
鲸,11,"whale"
味,10,"taste"
瓶,10,"bottle"
队,10,"team"
颜,10,"face"
价,10,"price"
厨,10,"kitchen"
叔,10,"father's younger brother"
夫,10,"man"
屋,10,"house"
录,10,"copy"
曾,10,"already"
由,10,"cause"
范,10,"bee-like insect"
裙,10,"skirt"
饮,10,"drink"
培,10,"bank up with dirt"
尤,10,"especially"
抬,10,"carry"
是,10,"be"
泪,10,"tear"
猴,10,"monkey"
镜,10,"mirror"
限,10,"boundary"
佩,10,"belt ornament"
池,10,"pool"
革,10,"leather"
刊,10,"publication"
奢,10,"extravagant"
岳,10,"mountain peak"
帐,10,"tent"
廉,10,"upright"
杠,10,"lever"
欲,10,"desire"
歪,10,"slant"
歹,10,"bad"
毁,10,"destroy"
熏,10,"smoke"
狭,10,"narrow"
瓷,10,"crockery"
畅,10,"smoothly"
笨,10,"foolish"
耕,10,"plow"
茂,10,"thick"
薪,10,"fuel"
诉,10,"accuse"
辨,10,"distinguish"
遍,10,"everywhere"
遭,10,"come across"
鉴,10,"mirror"
陡,10,"steep"
顿,10,"pause"
丫,10,"forked"
乔,10,"tall"
函,10,"correspondence"
劣,10,"bad"
君,10,"sovereign"
呵,10,"scold"
嫁,10,"marry"
柏,10,"cypress"
止,10,"stop"
滨,10,"beach"
禾,10,"grain still on stalk"
舵,10,"rudder"
艳,10,"beautiful"
莲,10,"lotus"
醒,10,"awake"
钉,10,"nail"
兩,10,"two"
冶,10,"smelt"
勝,10,"be able to bear"
勞,10,"toil"
協,10,"cooperate"
哑,10,"dumb"
坡,10,"slope"
婆,10,"old woman"
媚,10,"charming"
審,10,"examine"
廣,10,"wide"
從,10,"follow"
戎,10,"arms"
戳,10,"poke"
拦,10,"obstruct"
挡,10,"obstruct"
換,10,"exchange"
昭,10,"bright"
某,10,"certain thing or person"
柯,10,"axe-handle"
橫,10,"middle rail of a wooden door"
權,10,"power"
泳,10,"dive"
淋,10,"drip"
漆,10,"varnish"
澳,10,"inlet"
皂,10,"soap"
眷,10,"take interest in"
砍,10,"hack"
硫,10,"sulfur"
碗,10,"bowl"
碾,10,"roller"
禮,10,"ritual"
秒,10,"beard of grain or corn"
窝,10,"cave"
筋,10,"muscles"
約,10,"bundle up"
纱,10,"gauze"
統,10,"interconnected and continuous relationship"
绥,10,"soothe"
罩,10,"hood"
腕,10,"wrist"
臀,10,"buttocks"
臣,10,"official"
舊,10,"old"
處,10,"reside"
蛮,10,"barbarians"
蜀,10,"one of the Three Kingdoms"
蟲,10,"bug"
蠢,10,"wriggle"
褒,10,"praise"
褪,10,"strip"
觸,10,"touch"
译,10,"translate"
話,10,"words"
誓,10,"swear"
谱,10,"register"
趕,10,"overtake"
蹲,10,"squat"
鄉,10,"township"
閉,10,"shut"
闷,10,"gloomy"
阑,10,"door screen"
隽,10,"superior"
雏,10,"chick"
頂,10,"top of the head"
鹤,10,"Grus species"
鹹,10,"salty"
龜,10,"turtle"
什,9,"file of ten soldiers"
怎,9,"what? why? how?"
昨,9,"yesterday"
杯,9,"cup"
已,9,"already"
希,9,"rare"
始,9,"begin"
程,9,"journey"
箱,9,"box"
纪,9,"record"
葡,9,"grapes"
衬,9,"underwear"
召,9,"imperial decree"
奋,9,"strive"
描,9,"copy"
暑,9,"hot"
替,9,"change"
综,9,"arrange threads for weaving"
聊,9,"somewhat"
众,9,"multitude"
园,9,"park"
墙,9,"wall"
宠,9,"favorite"
忙,9,"busy"
愤,9,"resent"
扇,9,"fan"
欣,9,"happy"
猜,9,"guess"
绳,9,"rope"
缘,9,"hem"
聘,9,"engage"
赔,9,"indemnify"
骗,9,"swindle"
侦,9,"spy"
勘,9,"investigate"
匪,9,"bandits"
叮,9,"ding"
孕,9,"be pregnant"
屁,9,"break wind"
庞,9,"disorderly"
援,9,"aid"
搏,9,"seize"
涌,9,"surge up"
淹,9,"drown"
畏,9,"fear"
畜,9,"livestock"
皱,9,"wrinkles"
瞬,9,"wink"
笼,9,"cage-like basket"
给,9,"give"
缴,9,"deliver"
肿,9,"swell"
膝,9,"knee"
舰,9,"warship"
蕴,9,"collect"
薯,9,"yam"
贩,9,"peddler"
贯,9,"a string of 1000 coins"
铸,9,"melt"
颁,9,"confer"
颠,9,"top"
佐,9,"assist"
吓,9,"scare"
察,9,"examine"
撰,9,"compose"
柿,9,"persimmon"
橙,9,"orange tree"
殷,9,"many"
矫,9,"correct"
耍,9,"frolic"
胚,9,"embryo"
荆,9,"thorns"
荷,9,"lotus"
遂,9,"comply with"
闺,9,"small entrance"
傾,9,"lean"
兀,9,"cut off the feet"
刨,9,"carpenter's plane"
勃,9,"suddenly"
卢,9,"cottage"
叱,9,"scold"
吟,9,"sing"
咕,9,"mumble"
哄,9,"beguile"
唔,9,"hold in mouth"
噶,9,"phonetic ga"
囊,9,"bag"
块,9,"piece"
埃,9,"fine dust"
壓,9,"press"
央,9,"center"
奈,9,"but"
婉,9,"amiable"
宅,9,"residence"
宮,9,"house"
崖,9,"cliff"
嵌,9,"inlay"
庇,9,"cover"
庚,9,"7th heavenly stem"
弧,9,"arc"
径,9,"narrow path"
戲,9,"play"
戴,9,"wear on top"
拂,9,"shake off"
採,9,"pick"
撑,9,"prop up"
敗,9,"lose"
斋,9,"vegetarian diet"
暮,9,"evening"
曹,9,"ministry officials"
枉,9,"useless"
枣,9,"date tree"
梗,9,"stem of flower"
梨,9,"pear"
棚,9,"tent"
榆,9,"elm tree"
槍,9,"spear"
樓,9,"building"
歐,9,"short for 歐羅巴／欧罗巴 : Europe"
氨,9,"hydrogen nitride"
淤,9,"mud"
湯,9,"hot or boiling water"
炭,9,"charcoal"
烛,9,"candle"
營,9,"encampment"
爭,9,"dispute"
犁,9,"plow"
獨,9,"alone"
環,9,"circle"
畫,9,"write"
癸,9,"10th heavenly stem"
監,9,"supervise"
眩,9,"confuse"
磷,9,"phosphorus"
禽,9,"birds"
積,9,"store up crops"
穹,9,"high and vast"
納,9,"admit"
組,9,"weave"
線,9,"thread"
縫,9,"sew"
胞,9,"womb"
腌,9,"salt"
腎,9,"kidney"
腾,9,"fly"
臂,9,"arm"
芽,9,"bud"
蘆,9,"reed"
彪,9,"tiger"
虹,9,"rainbow"
蝶,9,"butterfly"
蠲,9,"millipede"
蠹,9,"moth"
袋,9,"pocket"
袒,9,"strip"
訓,9,"teach"
誘,9,"lead"
謝,9,"excuse oneself"
負,9,"carry"
貪,9,"be greedy"
赖,9,"bad"
赴,9,"go to"
跤,9,"stumble"
蹑,9,"tread"
蹦,9,"hop"
躺,9,"lie"
轧,9,"crush by weight"
輔,9,"protective wooden bars that helped prevent a carriage"
違,9,"disobey"
鉛,9,"lead"
銃,9,"blunderbuss"
鍋,9,"cooking pot"
隱,9,"hide"
雁,9,"wild goose"
霉,9,"mildew"
页,9,"page"
頻,9,"frequent"
額,9,"forehead"
顯,9,"prominent"
餘,9,"remain"
驮,9,"carry on back"
鮮,9,"seafood"
鹰,9,"eagle"
你,8,"you"
弟,8,"young brother"
于,8,"in"
垃,8,"garbage"
邀,8,"invite"
删,8,"cut"
剩,8,"leftovers"
宴,8,"entertain"
慰,8,"comfort"
拥,8,"embrace"
摄,8,"take in"
朴,8,"simple"
梳,8,"comb"
橘,8,"orange"
码,8,"number"
糟,8,"sediment"
罐,8,"jar"
诊,8,"examine patient"
谨,8,"prudent"
亭,8,"pavilion"
僵,8,"stiff and motionless"
坟,8,"grave"
奴,8,"slave"
履,8,"footwear"
悔,8,"repent"
搅,8,"disturb"
杰,8,"hero"
榜,8,"placard"
濒,8,"approach"
盈,8,"fill"
萌,8,"bud"
衡,8,"measure"
钓,8,"fish"
丛,8,"bush"
儒,8,"Confucian scholar"
刁,8,"tricky"
咽,8,"throat"
囚,8,"prisoner"
幕,8,"curtain"
庙,8,"temple"
槐,8,"locust tree"
殿,8,"palace"
洁,8,"clean"
灼,8,"broil"
牡,8,"male of animals"
畸,8,"odd"
祸,8,"misfortune"
穴,8,"cave"
纽,8,"knot"
芬,8,"fragrance"
苛,8,"small"
蚊,8,"mosquito"
酣,8,"enjoy intoxicants"
靶,8,"target"
伞,8,"umbrella"
俭,8,"temperate"
倚,8,"rely on"
凿,8,"chisel"
厮,8,"servant"
吧,8,"emphatic final particle"
咒,8,"curse"
問,8,"ask"
噴,8,"spurt"
嚴,8,"strict"
圍,8,"surround"
圓,8,"round"
壬,8,"ninth heavenly stem"
夢,8,"dream"
夾,8,"squeeze between"
奧,8,"southwest corner of a room"
姦,8,"evil"
媽,8,"mother"
嫡,8,"legal wife"
嫩,8,"soft"
孽,8,"evil"
將,8,"will"
巢,8,"nest"
幹,8,"main part of something"
廚,8,"kitchen"
徛,8,"cross over"
憂,8,"sad"
拌,8,"toss"
挪,8,"move"
揉,8,"knead"
揚,8,"lift"
撈,8,"dredge up"
撩,8,"lift up"
撫,8,"stroke"
撬,8,"lift"
敵,8,"enemy"
斥,8,"scold"
晏,8,"peaceful"
晒,8,"dry in sun"
杏,8,"almond"
栗,8,"shiver"
桐,8,"name applied various trees"
梭,8,"weaver's shuttle"
槽,8,"groove"
樣,8,"appearance"
沈,8,"sink"
沦,8,"be lost"
泼,8,"pour"
浣,8,"wash"
涡,8,"swirl"
溺,8,"drown"
潭,8,"deep pool"
炊,8,"cook"
爾,8,"you"
獸,8,"beast"
矽,8,"silicon"
確,8,"real"
磚,8,"brick"
祛,8,"expel"
稱,8,"weigh"
箍,8,"bind"
糞,8,"excrement"
紐,8,"button"
繳,8,"gambling"
腋,8,"axil"
膏,8,"grease"
芥,8,"mustard plant"
苯,8,"luxuriant"
莎,8,"kind of sedge grass"
蕨,8,"Pteris aquilina"
蜗,8,"a snail"
蝉,8,"continuous"
蟻,8,"ant"
衝,8,"go straight ahead"
衫,8,"shirt"
裝,8,"baggage"
褶,8,"pleat"
襟,8,"lapel"
觀,8,"observe"
該,8,"contain"
詳,8,"detailed"
诛,8,"execute"
論,8,"discuss"
贞,8,"virtuous"
贼,8,"thief"
踩,8,"stamp"
辍,8,"stop"
迪,8,"enlighten"
達,8,"lead to"
酪,8,"cream"
醜,8,"ugly"
鋼,8,"steel"
閃,8,"dodge"
陋,8,"narrow"
陵,8,"hill"
霧,8,"fog"
靖,8,"pacify"
鬧,8,"be noisy"
齋,8,"show one's piety before offering sacrifices and other"
但,7,"only"
咱,7,"we"
然,7,"yes"
否,7,"not"
吵,7,"argue"
握,7,"grip"
艺,7,"art"
仔,7,"small thing"
伙,7,"companion"
允,7,"grant"
堵,7,"wall"
率,7,"rate"
盒,7,"small box or case"
郊,7,"suburbs"
项,7,"neck"
饼,7,"rice-cakes"
骄,7,"spirited horse"
叙,7,"express"
姿,7,"one's manner"
彼,7,"that"
擅,7,"monopolize"
敢,7,"dare"
橡,7,"chestnut oak"
沟,7,"ditch"
翅,7,"wings"
舅,7,"mother's brother"
赠,7,"give present"
鸭,7,"Anas species"
伶,7,"lonely"
债,7,"debt"
务,7,"affairs"
叹,7,"sigh"
唾,7,"spit"
嗅,7,"sniff"
庸,7,"usual"
患,7,"suffer"
掀,7,"lift"
歧,7,"fork of road"
沸,7,"boil"
滞,7,"block up"
狠,7,"vicious"
砖,7,"tile"
稿,7,"draft"
耀,7,"shine"
脆,7,"crisp"
茄,7,"eggplant"
辉,7,"brightness"
遥,7,"far away"
兆,7,"trillion"
喧,7,"lively"
搁,7,"place"
斧,7,"axe"
旺,7,"prosper"
晃,7,"bright"
漠,7,"desert"
爪,7,"fingernail"
祈,7,"pray"
缅,7,"distant"
膨,7,"swell"
芝,7,"sesame"
芭,7,"plantain or banana palm"
荡,7,"pond"
董,7,"direct"
葬,7,"bury"
衍,7,"overflow"
诺,7,"promise"
伽,7,"transcription of Sanskrit 'gha' in Buddhist texts"
佈,7,"spread"
佣,7,"commission fee"
倉,7,"granary"
個,7,"single"
倍,7,"times"
倭,7,"dwarf"
偽,7,"false"
僑,7,"reside abroad"
冇,7,"have not"
剖,7,"split in two"
剛,7,"firm"
劍,7,"sword"
勿,7,"must not"
呫,7,"whisper"
嗣,7,"connect"
嚼,7,"prattle"
圖,7,"diagram"
坎,7,"pit"
塌,7,"fall in ruins"
壽,7,"old age"
夯,7,"heavy load"
姆,7,"child's governess"
姜,7,"ginger"
孑,7,"remaining"
室,7,"room"
宰,7,"slaughter"
寬,7,"wide"
屌,7,"obscene exclamation"
屎,7,"excrement"
岔,7,"diverge"
峇,7,"cave"
崔,7,"high"
張,7,"string a bow"
彝,7,"Yi"
愧,7,"ashamed"
慣,7,"be accustomed to"
扼,7,"grasp"
挠,7,"disturb"
捏,7,"pick with fingers"
揪,7,"grasp with hand"
損,7,"reduce"
映,7,"project"
曼,7,"long"
朔,7,"first day of lunar month"
杞,7,"willow"
栅,7,"fence"
條,7,"strip"
楚,7,"name of feudal state"
榫,7,"mortise and tenon"
構,7,"form"
橐,7,"a sack"
氮,7,"nitrogen"
沒,7,"not have"
浆,7,"any thick fluid"
浦,7,"bank of river"
渾,7,"sound of spouting water"
溟,7,"drizzling rain"
滇,7,"Lake Dian"
潘,7,"water in which rice has been rinsed"
炳,7,"bright"
烫,7,"scald"
焊,7,"weld"
瘀,7,"a hematoma"
瞳,7,"pupil of eye"
砌,7,"build"
砸,7,"smash"
硝,7,"saltpeter"
磅,7,"pound"
禪,7,"dhyana"
秤,7,"balance"
稅,7,"tax"
稚,7,"young"
窜,7,"run away"
窥,7,"peep"
篆,7,"seal script"
給,7,"give"
綿,7,"silk floss"
緊,7,"tense"
緩,7,"loose"
缉,7,"sew in close stitches"
縣,7,"A type of administrative division:"
縮,7,"shrink"
罰,7,"punish"
習,7,"flap"
肘,7,"elbow"
腔,7,"chest cavity"
腿,7,"leg"
膽,7,"gallbladder"
荐,7,"repeat"
莊,7,"grassy"
蓼,7,"smartweed"
蔚,7,"luxuriant"
薰,7,"a medicinal herb"
藩,7,"fence"
蜷,7,"creep like a worm"
蝗,7,"kind of locust"
蠕,7,"squirm"
詞,7,"word"
诡,7,"deceive"
謀,7,"stratagem"
識,7,"know"
豐,7,"luxuriant"
豹,7,"leopard"
贱,7,"mean"
賬,7,"account"
贖,7,"redeem"
輸,7,"transport"
辰,7,"early morning"
迳,7,"pass by"
遷,7,"ascend"
郎,7,"gentleman"
郡,7,"administrative division"
醋,7,"vinegar"
鋸,7,"saw"
锥,7,"gimlet"
鍵,7,"door bolt"
闯,7,"rush in"
間,7,"within a definite time period or place"
闸,7,"sluice"
閩,7,"Min people"
闽,7,"Fujian province"
阉,7,"castrate"
陳,7,"exhibit"
雍,7,"harmony"
霞,7,"rosy clouds"
靛,7,"any blue dye"
鞍,7,"saddle"
響,7,"make a sound"
飲,7,"drink"
飼,7,"feed"
魁,7,"chief"
鯨,7,"whale"
哥,6,"elder brother"
丈,6,"unit of length equal 3.3 meters"
妻,6,"wife"
懂,6,"understand"
员,6,"member"
状,6,"form"
兄,6,"elder brother"
厘,6,"manage"
彻,6,"penetrate"
括,6,"include"
材,6,"material"
疗,6,"be healed"
购,6,"buy"
迅,6,"quick"
阶,6,"stairs"
倡,6,"guide"
傍,6,"by side of"
售,6,"sell"
妇,6,"married women"
寂,6,"still"
慌,6,"nervous"
渴,6,"thirsty"
熬,6,"cook down"
疯,6,"crazy"
耽,6,"indulge in"
艰,6,"difficult"
谜,6,"riddle"
鸽,6,"pigeon"
喇,6,"horn"
嘲,6,"ridicule"
境,6,"boundary"
夕,6,"evening"
奠,6,"pay respect"
崭,6,"high"
巩,6,"bind"
栏,6,"railing"
栽,6,"cultivate"
氧,6,"oxygen"
渺,6,"endlessly long"
症,6,"obstruction of bowels"
纺,6,"spin"
肖,6,"look like"
脂,6,"fat"
荧,6,"shine"
虐,6,"cruel"
赚,6,"make money"
趣,6,"what attracts one's attention"
轨,6,"track"
阐,6,"explain"
陷,6,"submerge"
颤,6,"shiver"
乃,6,"then"
俊,6,"talented"
匹,6,"bolt of cloth"
吻,6,"kiss"
堪,6,"adequately capable of"
帆,6,"sail"
愈,6,"more and more"
戈,6,"halberd"
敦,6,"esteem"
棱,6,"squared timber"
楷,6,"model style of Chinese writing"
歉,6,"deficient"
瑰,6,"extraordinary"
绷,6,"a cloth to carry an infant on the back"
绽,6,"ripped seam"
