english,group,why,role,uses,head
bank,world,named thing,verb,4,2
bulge,world,named thing,noun,4,2
bush,world,named thing,noun,4,2
chew,world,named thing,verb,4,2
collect,world,named thing,verb,4,2
date,world,named thing,verb,4,2
develop,world,named thing,verb,4,2
enemy,world,named thing,noun,4,2
exact,world,named thing,adjective,8,1
glide,world,named thing,verb,4,2
grant,world,named thing,noun,4,2
hat,world,named thing,noun,4,2
height,world,named thing,noun,4,2
hollow,world,named thing,adjective,4,2
hook,world,named thing,verb,4,2
jaw,world,named thing,noun,4,2
knock,world,named thing,verb,4,2
local,world,named thing,adjective,8,1
marry,world,named thing,verb,4,2
mud,world,named thing,noun,8,1
nail,world,named thing,verb,4,2
ornament,world,named thing,noun,4,2
personal,world,named thing,adjective,8,1
plastic,world,named thing,adjective,4,2
prison,world,named thing,noun,4,2
regular,world,named thing,adjective,4,2
report,world,named thing,verb,4,2
rub,world,named thing,verb,4,2
scratch,world,named thing,verb,4,2
serious,world,named thing,adjective,8,1
slim,world,named thing,adjective,4,2
smoke,world,named thing,verb,8,1
sort,world,named thing,verb,4,2
spill,world,named thing,verb,4,2
stripe,world,named thing,noun,4,2
swap,world,named thing,noun,4,2
teen,world,named thing,adjective,4,2
thank,world,named thing,verb,4,2
theory,world,named thing,noun,4,2
verse,world,named thing,noun,4,2
access,world,named thing,verb,3,2
accident,world,named thing,noun,3,2
ash,world,named thing,noun,3,2
bloom,world,named thing,noun,3,2
breed,world,named thing,verb,3,2
brother,world,named thing,noun,7,1
brush,world,named thing,verb,3,2
burden,world,named thing,verb,3,2
candy,world,named thing,noun,3,2
chop,world,named thing,verb,3,2
clump,world,named thing,noun,3,2
company,world,named thing,noun,3,2
content,world,named thing,adjective,3,2
contest,world,named thing,noun,3,2
convince,world,named thing,verb,3,2
core,world,named thing,verb,7,1
deity,world,named thing,noun,3,2
delicate,world,named thing,adjective,7,1
dive,world,named thing,verb,3,2
dwell,world,named thing,verb,3,2
eager,world,named thing,adjective,3,2
ease,world,named thing,noun,7,1
educate,world,named thing,verb,3,2
enlist,world,named thing,verb,3,2
escape,world,named thing,verb,7,1
flood,world,named thing,verb,3,2
forest,world,named thing,noun,3,2
forgive,world,named thing,verb,3,2
fungus,world,named thing,noun,3,2
grief,world,named thing,noun,3,2
heap,world,named thing,noun,3,2
ink,world,named thing,verb,11,0
labor,world,named thing,verb,3,2
lizard,world,named thing,noun,3,2
master,world,named thing,verb,3,2
medium,world,named thing,adjective,3,2
mention,world,named thing,verb,3,2
mold,world,named thing,verb,3,2
nervous,world,named thing,adjective,7,1
occur,world,named thing,verb,3,2
pace,world,named thing,noun,3,2
poke,world,named thing,noun,3,2
reply,world,named thing,verb,3,2
represent,world,named thing,verb,3,2
rib,world,named thing,noun,3,2
rid,world,named thing,verb,3,2
saddle,world,named thing,noun,3,2
scan,world,named thing,verb,3,2
sexual,world,named thing,adjective,3,2
slope,world,named thing,verb,3,2
spear,world,named thing,noun,3,2
stack,world,named thing,verb,3,2
street,world,named thing,noun,3,2
suck,world,named thing,verb,3,2
supervise,world,named thing,verb,3,2
swear,world,named thing,verb,3,2
sweep,world,named thing,verb,3,2
tease,world,named thing,verb,3,2
theme,world,named thing,noun,3,2
threat,world,named thing,noun,7,1
tomb,world,named thing,noun,3,2
twitch,world,named thing,noun,3,2
weave,world,named thing,verb,7,1
wrinkle,world,named thing,verb,3,2
account,world,named thing,verb,2,2
advance,world,named thing,verb,6,1
alike,world,named thing,adjective,2,2
alive,world,named thing,adjective,2,2
authority,world,named thing,noun,2,2
avoid,world,named thing,verb,6,1
balm,world,named thing,noun,2,2
bay,world,named thing,noun,2,2
berry,world,named thing,noun,2,2
blaze,world,named thing,noun,2,2
boss,world,named thing,noun,2,2
brace,world,named thing,noun,2,2
breast,world,named thing,noun,10,0
commotion,world,named thing,noun,2,2
concern,world,named thing,verb,2,2
contract,world,named thing,verb,2,2
cork,world,named thing,noun,2,2
couple,world,named thing,verb,2,2
dam,world,named thing,verb,2,2
dear,world,named thing,adjective,2,2
debate,world,named thing,verb,2,2
debt,world,named thing,noun,2,2
diagnose,world,named thing,verb,2,2
diet,world,named thing,noun,2,2
disaster,world,named thing,noun,2,2
disk,world,named thing,noun,2,2
ditch,world,named thing,verb,2,2
earnest,world,named thing,adjective,2,2
excuse,world,named thing,verb,2,2
familiar,world,named thing,adjective,2,2
garment,world,named thing,noun,2,2
gaze,world,named thing,verb,2,2
grade,world,named thing,verb,2,2
gram,world,named thing,noun,2,2
guy,world,named thing,noun,2,2
habit,world,named thing,noun,2,2
hammer,world,named thing,verb,2,2
income,world,named thing,noun,2,2
inspire,world,named thing,verb,2,2
intent,world,named thing,verb,2,2
knob,world,named thing,noun,2,2
ledge,world,named thing,noun,2,2
moist,world,named thing,adjective,6,1
monster,world,named thing,noun,2,2
numb,world,named thing,adjective,2,2
occupy,world,named thing,verb,2,2
onion,world,named thing,noun,2,2
pardon,world,named thing,noun,2,2
persuade,world,named thing,verb,2,2
phase,world,named thing,verb,2,2
pig,world,named thing,noun,6,1
pledge,world,named thing,noun,2,2
port,world,named thing,noun,2,2
pride,world,named thing,verb,2,2
projection,world,named thing,noun,2,2
puppet,world,named thing,noun,2,2
qualify,world,named thing,verb,2,2
relax,world,named thing,verb,2,2
rifle,world,named thing,noun,2,2
rinse,world,named thing,noun,2,2
rival,world,named thing,adjective,6,1
robot,world,named thing,noun,2,2
romance,world,named thing,noun,2,2
scholar,world,named thing,noun,2,2
scope,world,named thing,noun,2,2
scrap,world,named thing,noun,2,2
screw,world,named thing,verb,2,2
script,world,named thing,noun,2,2
session,world,named thing,noun,2,2
silent,world,named thing,adjective,10,0
skirt,world,named thing,noun,2,2
spark,world,named thing,verb,2,2
spoon,world,named thing,noun,2,2
spout,world,named thing,noun,2,2
stake,world,named thing,verb,2,2
stalk,world,named thing,verb,2,2
stance,world,named thing,noun,2,2
strand,world,named thing,noun,2,2
texture,world,named thing,noun,2,2
thorough,world,named thing,adjective,2,2
toy,world,named thing,noun,2,2
vacation,world,named thing,noun,2,2
valley,world,named thing,noun,2,2
watt,world,named thing,noun,2,2
wed,world,named thing,verb,6,1
worm,world,named thing,noun,6,1
bitter,world,named thing,adjective,5,1
cancel,world,named thing,verb,5,1
carve,world,named thing,verb,5,1
cave,world,named thing,verb,5,1
defense,world,named thing,noun,5,1
drunk,world,named thing,adjective,5,1
dull,world,named thing,adjective,9,0
environment,world,named thing,noun,5,1
famous,world,named thing,adjective,5,1
formal,world,named thing,adjective,5,1
fox,world,named thing,noun,5,1
ghost,world,named thing,noun,5,1
market,world,named thing,verb,5,1
rear,world,named thing,adjective,9,0
rob,world,named thing,noun,5,1
sheep,world,named thing,noun,5,1
suggest,world,named thing,verb,5,1
surround,world,named thing,verb,9,0
tail,world,named thing,noun,5,1
tempt,world,named thing,verb,5,1
trim,world,named thing,verb,5,1
window,world,named thing,noun,5,1
average,world,named thing,adjective,4,1
consider,world,named thing,verb,4,1
court,world,named thing,verb,4,1
cow,world,named thing,noun,8,0
direct,world,named thing,adjective,4,1
endure,world,named thing,verb,4,1
extend,world,named thing,verb,8,0
fasten,world,named thing,verb,4,1
father,world,named thing,noun,4,1
feather,world,named thing,noun,4,1
flaw,world,named thing,noun,4,1
herd,world,named thing,noun,4,1
knee,world,named thing,noun,4,1
leak,world,named thing,verb,4,1
loyalty,world,named thing,noun,4,1
lung,world,named thing,noun,4,1
mystery,world,named thing,noun,4,1
pest,world,named thing,noun,4,1
pet,world,named thing,verb,4,1
quake,world,named thing,noun,4,1
restore,world,named thing,verb,8,0
rot,world,named thing,verb,4,1
seize,world,named thing,verb,4,1
sorry,world,named thing,adjective,4,1
steer,world,named thing,verb,4,1
strain,world,named thing,verb,4,1
victory,world,named thing,noun,4,1
advantage,world,named thing,noun,3,1
announce,world,named thing,verb,3,1
awkward,world,named thing,adjective,3,1
bake,world,named thing,verb,3,1
bat,world,named thing,noun,3,1
bet,world,named thing,verb,3,1
bleed,world,named thing,verb,3,1
bless,world,named thing,verb,3,1
brick,world,named thing,noun,3,1
bury,world,named thing,verb,7,0
card,world,named thing,noun,3,1
chase,world,named thing,noun,3,1
cheer,world,named thing,verb,3,1
clay,world,named thing,noun,3,1
club,world,named thing,verb,3,1
crash,world,named thing,verb,3,1
curse,world,named thing,noun,3,1
dawn,world,named thing,noun,3,1
dine,world,named thing,verb,3,1
dispute,world,named thing,verb,3,1
dissolve,world,named thing,verb,3,1
drain,world,named thing,verb,3,1
entertain,world,named thing,noun,3,1
fade,world,named thing,verb,3,1
flex,world,named thing,noun,7,0
float,world,named thing,verb,7,0
forbid,world,named thing,verb,7,0
foresee,world,named thing,verb,3,1
forget,world,named thing,verb,3,1
generous,world,named thing,adjective,3,1
host,world,named thing,noun,3,1
insert,world,named thing,verb,3,1
keen,world,named thing,adjective,3,1
launch,world,named thing,verb,3,1
loan,world,named thing,verb,3,1
mail,world,named thing,verb,3,1
military,world,named thing,noun,3,1
mock,world,named thing,verb,7,0
neck,world,named thing,noun,7,0
obvious,world,named thing,adjective,3,1
pee,world,named thing,verb,3,1
penalty,world,named thing,noun,3,1
preserve,world,named thing,verb,3,1
rebel,world,named thing,adjective,7,0
recover,world,named thing,verb,7,0
refer,world,named thing,verb,3,1
ruin,world,named thing,verb,3,1
sand,world,named thing,noun,7,0
scold,world,named thing,noun,3,1
shelf,world,named thing,noun,3,1
shoe,world,named thing,noun,3,1
shut,world,named thing,adjective,3,1
silk,world,named thing,noun,3,1
slant,world,named thing,noun,7,0
slave,world,named thing,noun,3,1
sled,world,named thing,noun,3,1
stare,world,named thing,verb,3,1
summer,world,named thing,noun,3,1
tax,world,named thing,verb,3,1
tendency,world,named thing,noun,3,1
toss,world,named thing,verb,3,1
tread,world,named thing,noun,3,1
troop,world,named thing,noun,3,1
wool,world,named thing,noun,3,1
acquire,world,named thing,verb,2,1
adult,world,named thing,adjective,2,1
anti,world,named thing,noun,6,0
anxious,world,named thing,adjective,2,1
arch,world,named thing,verb,2,1
artery,world,named thing,noun,2,1
assurance,world,named thing,noun,2,1
beg,world,named thing,verb,2,1
bolt,world,named thing,noun,2,1
bowel,world,named thing,noun,2,1
brand,world,named thing,verb,2,1
breeze,world,named thing,noun,2,1
bride,world,named thing,noun,2,1
brown,world,named thing,adjective,2,1
calculate,world,named thing,verb,2,1
candle,world,named thing,noun,2,1
cease,world,named thing,verb,2,1
cereal,world,named thing,noun,2,1
chaos,world,named thing,noun,2,1
coil,world,named thing,noun,2,1
comedy,world,named thing,noun,2,1
complain,world,named thing,verb,2,1
corn,world,named thing,noun,2,1
crisp,world,named thing,adjective,2,1
deer,world,named thing,noun,2,1
deny,world,named thing,verb,2,1
difficult,world,named thing,adjective,6,0
disc,world,named thing,noun,2,1
drama,world,named thing,noun,2,1
drift,world,named thing,verb,2,1
due,world,named thing,adjective,2,1
dye,world,named thing,verb,2,1
ego,world,named thing,noun,2,1
embarrass,world,named thing,verb,2,1
evaluate,world,named thing,verb,2,1
extract,world,named thing,verb,2,1
fame,world,named thing,noun,2,1
fare,world,named thing,noun,2,1
flatter,world,named thing,verb,2,1
flinch,world,named thing,noun,2,1
flock,world,named thing,verb,2,1
folk,world,named thing,noun,2,1
fragment,world,named thing,verb,2,1
fry,world,named thing,verb,2,1
fur,world,named thing,noun,2,1
fuss,world,named thing,verb,2,1
gel,world,named thing,noun,2,1
giant,world,named thing,adjective,2,1
glory,world,named thing,noun,2,1
govern,world,named thing,verb,2,1
grape,world,named thing,noun,2,1
graph,world,named thing,noun,2,1
grind,world,named thing,verb,6,0
hatch,world,named thing,verb,2,1
honest,world,named thing,adjective,2,1
hug,world,named thing,verb,2,1
ignore,world,named thing,verb,2,1
instruct,world,named thing,verb,2,1
intense,world,named thing,adjective,6,0
jam,world,named thing,verb,2,1
jelly,world,named thing,noun,2,1
lever,world,named thing,noun,2,1
mature,world,named thing,adjective,2,1
mine,world,named thing,verb,2,1
mob,world,named thing,noun,2,1
modest,world,named thing,adjective,2,1
mouse,world,named thing,noun,2,1
murmur,world,named thing,noun,2,1
nap,world,named thing,noun,2,1
nucleus,world,named thing,noun,2,1
owe,world,named thing,verb,2,1
paddle,world,named thing,noun,2,1
palm,world,named thing,noun,2,1
pilot,world,named thing,noun,2,1
pop,world,named thing,verb,2,1
popular,world,named thing,adjective,2,1
pretend,world,named thing,verb,2,1
promote,world,named thing,verb,2,1
prompt,world,named thing,adjective,2,1
propose,world,named thing,verb,2,1
purchase,world,named thing,verb,2,1
quote,world,named thing,verb,2,1
recognize,world,named thing,verb,2,1
regard,world,named thing,verb,2,1
rely,world,named thing,verb,2,1
resist,world,named thing,verb,2,1
revenge,world,named thing,noun,2,1
rim,world,named thing,noun,2,1
royal,world,named thing,adjective,6,0
rumor,world,named thing,noun,2,1
scoop,world,named thing,noun,2,1
seem,world,named thing,verb,2,1
shore,world,named thing,verb,2,1
sibling,world,named thing,noun,2,1
sip,world,named thing,verb,2,1
skull,world,named thing,noun,2,1
sober,world,named thing,verb,2,1
sour,world,named thing,adjective,6,0
sparkle,world,named thing,verb,6,0
spiral,world,named thing,verb,2,1
spool,world,named thing,noun,2,1
sting,world,named thing,verb,2,1
stock,world,named thing,noun,2,1
straw,world,named thing,noun,2,1
stroll,world,named thing,noun,2,1
swallow,world,named thing,verb,2,1
swing,world,named thing,verb,6,0
temporary,world,named thing,adjective,2,1
thaw,world,named thing,noun,2,1
tile,world,named thing,verb,2,1
tin,world,named thing,noun,2,1
toast,world,named thing,noun,2,1
tough,world,named thing,adjective,6,0
treasure,world,named thing,noun,2,1
uniform,world,named thing,noun,2,1
uterus,world,named thing,noun,2,1
wine,world,named thing,noun,2,1
wipe,world,named thing,verb,6,0
womb,world,named thing,noun,2,1
yield,world,named thing,verb,2,1
abandon,world,named thing,verb,1,1
abstain,world,named thing,noun,1,1
accelerate,world,named thing,verb,1,1
accent,world,named thing,verb,1,1
addict,world,named thing,noun,1,1
alter,world,named thing,verb,1,1
amp,world,named thing,noun,1,1
ancient,world,named thing,adjective,5,0
anesthetic,world,named thing,adjective,1,1
anus,world,named thing,noun,1,1
applause,world,named thing,noun,1,1
arrow,world,named thing,noun,1,1
aspect,world,named thing,noun,1,1
assault,world,named thing,noun,1,1
athlete,world,named thing,noun,1,1
attempt,world,named thing,verb,1,1
badge,world,named thing,noun,1,1
ban,world,named thing,verb,1,1
basis,world,named thing,noun,1,1
bead,world,named thing,noun,1,1
blemish,world,named thing,noun,1,1
blind,world,named thing,adjective,1,1
blink,world,named thing,verb,1,1
blog,world,named thing,noun,1,1
blunt,world,named thing,adjective,1,1
bribe,world,named thing,verb,1,1
bully,world,named thing,verb,1,1
bun,world,named thing,noun,1,1
captain,world,named thing,noun,1,1
ceramic,world,named thing,adjective,1,1
chair,world,named thing,verb,1,1
champion,world,named thing,noun,1,1
chant,world,named thing,verb,1,1
chunk,world,named thing,noun,1,1
chute,world,named thing,verb,1,1
clasp,world,named thing,noun,1,1
clause,world,named thing,noun,1,1
client,world,named thing,noun,1,1
climate,world,named thing,noun,1,1
clip,world,named thing,verb,1,1
coast,world,named thing,noun,1,1
coffee,world,named thing,noun,1,1
coin,world,named thing,noun,1,1
collar,world,named thing,noun,1,1
comb,world,named thing,noun,1,1
commit,world,named thing,verb,1,1
comparison,world,named thing,noun,1,1
comply,world,named thing,verb,1,1
conquer,world,named thing,verb,1,1
consequence,world,named thing,noun,1,1
construct,world,named thing,verb,1,1
consume,world,named thing,verb,1,1
cot,world,named thing,noun,1,1
crab,world,named thing,noun,1,1
crave,world,named thing,verb,1,1
credit,world,named thing,verb,1,1
crew,world,named thing,noun,1,1
critique,world,named thing,noun,1,1
crocodile,world,named thing,noun,1,1
crust,world,named thing,noun,1,1
cube,world,named thing,verb,1,1
cuddle,world,named thing,noun,1,1
cue,world,named thing,verb,1,1
dart,world,named thing,verb,1,1
debris,world,named thing,noun,1,1
decent,world,named thing,adjective,1,1
declare,world,named thing,verb,5,0
dent,world,named thing,noun,1,1
dessert,world,named thing,noun,1,1
dial,world,named thing,noun,1,1
digest,world,named thing,verb,1,1
discover,world,named thing,verb,1,1
dome,world,named thing,noun,1,1
dough,world,named thing,noun,1,1
dread,world,named thing,noun,1,1
enroll,world,named thing,verb,1,1
erase,world,named thing,verb,1,1
essay,world,named thing,noun,1,1
establish,world,named thing,verb,1,1
estimate,world,named thing,verb,1,1
evacuate,world,named thing,verb,1,1
evening,world,named thing,noun,5,0
exposure,world,named thing,noun,1,1
expression,world,named thing,noun,1,1
fad,world,named thing,noun,1,1
fantasy,world,named thing,noun,1,1
fertile,world,named thing,adjective,1,1
festival,world,named thing,noun,1,1
fiction,world,named thing,noun,1,1
fist,world,named thing,noun,1,1
flap,world,named thing,noun,1,1
flare,world,named thing,verb,1,1
fowl,world,named thing,noun,1,1
fraction,world,named thing,noun,1,1
fright,world,named thing,noun,1,1
frost,world,named thing,verb,1,1
furnace,world,named thing,noun,1,1
furniture,world,named thing,noun,1,1
fuse,world,named thing,noun,1,1
fuzz,world,named thing,verb,1,1
gang,world,named thing,verb,1,1
gem,world,named thing,noun,1,1
giggle,world,named thing,verb,1,1
glaze,world,named thing,noun,1,1
gradual,world,named thing,adjective,1,1
grate,world,named thing,verb,1,1
greet,world,named thing,verb,1,1
grin,world,named thing,noun,1,1
grudge,world,named thing,noun,1,1
gull,world,named thing,noun,1,1
gulp,world,named thing,verb,5,0
gum,world,named thing,noun,5,0
harmony,world,named thing,noun,1,1
harp,world,named thing,noun,1,1
haze,world,named thing,noun,1,1
heel,world,named thing,noun,1,1
hire,world,named thing,verb,1,1
honey,world,named thing,noun,5,0
hotel,world,named thing,noun,1,1
hull,world,named thing,noun,1,1
hum,world,named thing,noun,1,1
humid,world,named thing,adjective,1,1
humor,world,named thing,noun,1,1
icon,world,named thing,noun,1,1
ideal,world,named thing,adjective,5,0
imitate,world,named thing,verb,1,1
impress,world,named thing,verb,1,1
industry,world,named thing,noun,1,1
inn,world,named thing,noun,1,1
install,world,named thing,verb,1,1
instinct,world,named thing,noun,1,1
insult,world,named thing,verb,1,1
jail,world,named thing,noun,1,1
jerk,world,named thing,noun,1,1
jewelry,world,named thing,noun,1,1
jolt,world,named thing,noun,1,1
journal,world,named thing,noun,1,1
jug,world,named thing,noun,1,1
kin,world,named thing,noun,1,1
kiss,world,named thing,verb,1,1
kit,world,named thing,noun,1,1
knuckle,world,named thing,noun,1,1
lake,world,named thing,noun,1,1
lash,world,named thing,verb,1,1
latch,world,named thing,verb,1,1
leather,world,named thing,noun,1,1
lend,world,named thing,verb,1,1
lice,world,named thing,noun,1,1
lion,world,named thing,noun,1,1
loft,world,named thing,noun,1,1
lure,world,named thing,noun,1,1
mania,world,named thing,noun,1,1
masculine,world,named thing,adjective,1,1
mast,world,named thing,noun,1,1
melody,world,named thing,noun,1,1
minister,world,named thing,noun,1,1
mode,world,named thing,noun,1,1
monopoly,world,named thing,noun,1,1
morning,world,named thing,noun,5,0
motive,world,named thing,noun,1,1
mount,world,named thing,verb,1,1
mug,world,named thing,noun,1,1
mush,world,named thing,noun,1,1
native,world,named thing,noun,5,0
negotiate,world,named thing,verb,1,1
oar,world,named thing,noun,1,1
oath,world,named thing,noun,1,1
observe,world,named thing,verb,1,1
occasion,world,named thing,noun,1,1
ointment,world,named thing,noun,1,1
ore,world,named thing,noun,1,1
ovary,world,named thing,noun,1,1
oven,world,named thing,noun,1,1
package,world,named thing,verb,1,1
pal,world,named thing,noun,1,1
parade,world,named thing,noun,1,1
patch,world,named thing,verb,1,1
peach,world,named thing,noun,1,1
pellet,world,named thing,noun,1,1
penis,world,named thing,noun,1,1
pill,world,named thing,noun,1,1
pinch,world,named thing,noun,1,1
pink,world,named thing,adjective,1,1
pity,world,named thing,verb,1,1
plume,world,named thing,noun,1,1
pocket,world,named thing,noun,1,1
pod,world,named thing,noun,1,1
pool,world,named thing,verb,1,1
poop,world,named thing,verb,1,1
porch,world,named thing,noun,1,1
pose,world,named thing,verb,1,1
pray,world,named thing,verb,1,1
preach,world,named thing,verb,1,1
pregnant,world,named thing,adjective,1,1
prick,world,named thing,noun,1,1
profile,world,named thing,verb,1,1
project,world,named thing,verb,1,1
pronounce,world,named thing,verb,1,1
propaganda,world,named thing,noun,1,1
protest,world,named thing,verb,1,1
puff,world,named thing,noun,1,1
punch,world,named thing,verb,1,1
puncture,world,named thing,noun,1,1
rack,world,named thing,verb,1,1
register,world,named thing,verb,1,1
reign,world,named thing,verb,1,1
rein,world,named thing,verb,1,1
remedy,world,named thing,verb,1,1
remember,world,named thing,verb,5,0
repair,world,named thing,verb,5,0
reputation,world,named thing,noun,1,1
resent,world,named thing,verb,1,1
residue,world,named thing,noun,1,1
rite,world,named thing,noun,1,1
roast,world,named thing,verb,1,1
rocket,world,named thing,noun,1,1
routine,world,named thing,adjective,1,1
salad,world,named thing,noun,1,1
sandwich,world,named thing,noun,1,1
sane,world,named thing,noun,1,1
sausage,world,named thing,noun,1,1
scalp,world,named thing,noun,1,1
scheme,world,named thing,noun,1,1
sect,world,named thing,noun,1,1
seminar,world,named thing,noun,1,1
sensation,world,named thing,noun,1,1
serum,world,named thing,noun,1,1
shard,world,named thing,noun,1,1
shark,world,named thing,noun,1,1
sheath,world,named thing,noun,1,1
shrine,world,named thing,noun,1,1
sin,world,named thing,noun,1,1
sly,world,named thing,adjective,5,0
snatch,world,named thing,verb,1,1
sniff,world,named thing,verb,1,1
snout,world,named thing,noun,1,1
soap,world,named thing,noun,5,0
sole,world,named thing,adjective,1,1
soothe,world,named thing,verb,5,0
spade,world,named thing,noun,1,1
spare,world,named thing,adjective,1,1
spasm,world,named thing,noun,1,1
spawn,world,named thing,verb,1,1
speck,world,named thing,noun,1,1
spit,world,named thing,verb,5,0
splendor,world,named thing,noun,1,1
sponsor,world,named thing,verb,1,1
square,world,named thing,verb,1,1
stash,world,named thing,noun,1,1
statue,world,named thing,noun,1,1
sterile,world,named thing,adjective,1,1
steward,world,named thing,noun,1,1
stool,world,named thing,noun,1,1
strict,world,named thing,adjective,1,1
stupid,world,named thing,adjective,1,1
subscribe,world,named thing,verb,1,1
succeed,world,named thing,verb,1,1
surrender,world,named thing,noun,1,1
sync,world,named thing,noun,1,1
tablet,world,named thing,noun,1,1
temper,world,named thing,verb,1,1
terror,world,named thing,noun,1,1
thirst,world,named thing,noun,1,1
thrust,world,named thing,verb,1,1
tilt,world,named thing,noun,5,0
token,world,named thing,adjective,1,1
ton,world,named thing,noun,1,1
trace,world,named thing,noun,1,1
transfer,world,named thing,verb,1,1
translate,world,named thing,verb,1,1
traverse,world,named thing,noun,1,1
tremor,world,named thing,noun,1,1
trend,world,named thing,verb,1,1
tumor,world,named thing,noun,1,1
tutor,world,named thing,noun,1,1
typical,world,named thing,adjective,1,1
umbrella,world,named thing,noun,1,1
unite,world,named thing,verb,1,1
van,world,named thing,noun,1,1
vault,world,named thing,noun,1,1
verify,world,named thing,verb,1,1
violate,world,named thing,verb,1,1
vomit,world,named thing,verb,1,1
ware,world,named thing,noun,1,1
wax,world,named thing,verb,5,0
witness,world,named thing,noun,1,1
wizard,world,named thing,noun,1,1
yell,world,named thing,verb,1,1
zip,world,named thing,verb,1,1
attach,world,named thing,verb,4,0
beside,world,named thing,adjective,4,0
blast,world,named thing,verb,4,0
broad,world,named thing,adjective,4,0
cheat,world,named thing,verb,4,0
confirm,world,named thing,verb,4,0
deceit,world,named thing,noun,4,0
discuss,world,named thing,verb,4,0
dual,world,named thing,adjective,4,0
express,world,named thing,adjective,4,0
filter,world,named thing,verb,4,0
flag,world,named thing,verb,4,0
humble,world,named thing,adjective,4,0
immune,world,named thing,noun,4,0
internal,world,named thing,adjective,4,0
plain,world,named thing,adjective,4,0
prepare,world,named thing,verb,4,0
random,world,named thing,adjective,4,0
require,world,named thing,verb,4,0
shadow,world,named thing,noun,4,0
slippery,world,named thing,adjective,4,0
sneak,world,named thing,verb,4,0
splash,world,named thing,verb,4,0
stubborn,world,named thing,adjective,4,0
urgent,world,named thing,adjective,4,0
visual,world,named thing,adjective,4,0
wake,world,named thing,verb,4,0
weird,world,named thing,adjective,4,0
alert,world,named thing,adjective,3,0
allure,world,named thing,noun,3,0
amuse,world,named thing,verb,3,0
automatic,world,named thing,adjective,3,0
betray,world,named thing,verb,3,0
bore,world,named thing,verb,3,0
buzz,world,named thing,verb,3,0
cautious,world,named thing,adjective,3,0
central,world,named thing,adjective,3,0
constant,world,named thing,adjective,3,0
curious,world,named thing,adjective,3,0
curl,world,named thing,verb,3,0
dare,world,named thing,verb,3,0
defeat,world,named thing,verb,3,0
diplomatic,world,named thing,adjective,3,0
drag,world,named thing,verb,3,0
dummy,world,named thing,adjective,3,0
encourage,world,named thing,verb,3,0
external,world,named thing,adjective,3,0
faint,world,named thing,adjective,3,0
flip,world,named thing,verb,3,0
funeral,world,named thing,noun,3,0
hay,world,named thing,noun,3,0
hog,world,named thing,noun,3,0
hood,world,named thing,noun,3,0
interrupt,world,named thing,verb,3,0
isolate,world,named thing,verb,3,0
lazy,world,named thing,adjective,3,0
lineage,world,named thing,noun,3,0
mutual,world,named thing,adjective,3,0
navy,world,named thing,noun,3,0
noon,world,named thing,noun,3,0
pierce,world,named thing,noun,3,0
plead,world,named thing,verb,3,0
private,world,named thing,adjective,3,0
pulse,world,named thing,noun,3,0
punish,world,named thing,verb,3,0
raw,world,named thing,adjective,3,0
reckless,world,named thing,adjective,3,0
rescue,world,named thing,noun,3,0
secure,world,named thing,adjective,3,0
smash,world,named thing,verb,3,0
society,world,named thing,noun,3,0
spike,world,named thing,noun,3,0
staff,world,named thing,verb,3,0
steep,world,named thing,adjective,3,0
stiff,world,named thing,adjective,3,0
survive,world,named thing,verb,3,0
swamp,world,named thing,noun,3,0
sway,world,named thing,verb,3,0
tangle,world,named thing,verb,3,0
theater,world,named thing,noun,3,0
tremble,world,named thing,verb,3,0
absolute,world,named thing,adjective,2,0
abundant,world,named thing,adjective,2,0
adequate,world,named thing,adjective,2,0
ally,world,named thing,noun,2,0
ant,world,named thing,noun,2,0
appendix,world,named thing,noun,2,0
barren,world,named thing,adjective,2,0
bean,world,named thing,noun,2,0
belt,world,named thing,verb,2,0
bob,world,named thing,noun,2,0
bull,world,named thing,noun,2,0
cable,world,named thing,noun,2,0
calendar,world,named thing,noun,2,0
cattle,world,named thing,noun,2,0
clap,world,named thing,verb,2,0
clumsy,world,named thing,adjective,2,0
collapse,world,named thing,verb,2,0
community,world,named thing,noun,2,0
cozy,world,named thing,adjective,2,0
crease,world,named thing,noun,2,0
creep,world,named thing,verb,2,0
cute,world,named thing,adjective,2,0
dash,world,named thing,verb,2,0
deceive,world,named thing,verb,2,0
define,world,named thing,verb,2,0
defy,world,named thing,verb,2,0
delight,world,named thing,verb,2,0
dense,world,named thing,adjective,2,0
devote,world,named thing,verb,2,0
disappoint,world,named thing,verb,2,0
elevate,world,named thing,verb,2,0
embryo,world,named thing,noun,2,0
engage,world,named thing,verb,2,0
entire,world,named thing,adjective,2,0
exercise,world,named thing,verb,2,0
expand,world,named thing,verb,2,0
explode,world,named thing,verb,2,0
fierce,world,named thing,adjective,2,0
finger,world,named thing,noun,2,0
flee,world,named thing,verb,2,0
foreign,world,named thing,adjective,2,0
foul,world,named thing,adjective,2,0
fragrant,world,named thing,adjective,2,0
fringe,world,named thing,adjective,2,0
gesture,world,named thing,noun,2,0
gloom,world,named thing,noun,2,0
grand,world,named thing,adjective,2,0
grid,world,named thing,noun,2,0
grill,world,named thing,verb,2,0
guarantee,world,named thing,verb,2,0
hasty,world,named thing,adjective,2,0
hip,world,named thing,noun,2,0
hunger,world,named thing,noun,2,0
idol,world,named thing,noun,2,0
inform,world,named thing,verb,2,0
kept,world,named thing,verb,2,0
