butoq,,distinct,,bù tóng,不同,chinese,
bukad,,buck,,,,english,
buxan,,embellish,,bhūṣaṇa,भूषण,sanskrit,
bucaq,,attention,,,,,
bulin,,buoy,,,,,
pimoz,,pea (vegetable),,,,english,
pinas,,penis,,,,english,
pinar,,pin,,,,,
pinus,,pine (tree),,,,latin,
piqoq,,mediocre,,píng yōng,平庸,chinese,
pigum,,scaffolding,,pigum,פִּיגּוּם,hebrew,
pigur,,lag,,pigur,פִּיגּוּר,hebrew,
pipin,,pee,,,,english,
pitul,,twist,,pitul,פִּיתּוּל,hebrew,
pikas,,peak,,,,,
pikal,,pickle,,,,english,
pisin,,piss,,,,,
pisek,,interval,,pesek,פֶּסֶק,hebrew,
piful,,leather,,pífū,皮肤,chinese,
pizen,,rash,,pí zhěn,皮疹,chinese,
pilat,,blame,,pī́yati,पीयति,sanskrit,
klipac,,peel,,,,,
pilum,,consort,,peiou,配偶,chinese,
piluk,,disclose,,pilu,披露,chinese,
pirit,,savage,,pere,פֶּרֶא,hebrew,
pirad,,period,,period,,english,
piron,,product,,piryon,פִּרְיוֹן,hebrew,
pirok,,endure,,le'eR(o)H,לֶאֱרוֹךְ,hebrew,
piroz,,pack,,le'eR(o)z,לֶאֱרוֹז,hebrew,
penos,,rape,,le'en(o)s,לֶאֱנוֹס,hebrew,
pedir,,herd,,edér,עֵדֶר,hebrew,
petat,,appetite,,,,english,
petal,,petal (flower),,,,,
petol,,toll,,,,,
pesod,,fan (person),,le'ehod,לֶאֱהוֹד,hebrew,
pexom,,guilt,,le'ex(o)m,לֶאְשׁוֹם,hebrew,
perax,,perish,,,,english,
pamen,,coach,,le'am(e)n,לְאַמֵּן,hebrew,
pamon,,bell,,pa'amon,פַּעֲמוֹן,hebrew,
pamol,,pummel,,,,english,
panin,,pearl,,pnina,פְּנִינָה,hebrew,
panit,,delight,,le'an(e)g,לְעַנֵּג,hebrew,
panix,,punish,,,,english,
panan,,companion,,,,,
panaq,,paw,,,,,
panak,,pine,,,,,
panas,,torch,,panas,פָּנָס,hebrew,
panot,,torment,,le'an(o)t,לְעַנּוֹת,hebrew,
pagov,,seduce,,la'ag(o)v,לַעֲגוֹב,hebrew,
padat,,topple,,,पद्यते,sanskrit,
padot,,simmer,,le'ad(o)t,לְאַדּוֹת,hebrew,
padol,,puddle,,,,english,
papan,,vicious,,,पाप,sanskrit,
papap,,pop,,,,,
papat,,pipe,,,,english,
patix,,hammer,,patish,פַּטִּישׁ,hebrew,
patir,,local,,le'at(e)R,לְאַתֵּר,hebrew,
patat,,soar,,,पतति,sanskrit,
patas,,pout,,,,,
patof,,envelop,,la'at(o)f,לַעֲטוֹף,hebrew,
patox,,pot,,,,,
pator,,encircle,,la'at(o)R,לַעֲטוֹר,hebrew,
pakim,,drift,,piaoyi,漂移,chinese,
pakid,,official,,pakiyd,פָּקִיד,hebrew,
pakit,,pocket,,,,,
pakil,,confiscate,,le'ak(e)l,לְעַקֵּל,hebrew,
paket,,packet,,,,english,
pakav,,prevent,,le'ak(e)v,לְעַכֵּב,hebrew,
pakal,,digest,,le'ak(e)l,לְעַכֵּל,hebrew,
pakof,,overtake,,la'ak(o)f,לַעֲקוֹף,hebrew,
pakor,,displace,,la'ak(o)R,לַעֲקוֹר,hebrew,
paser,,sparrow,,passer,,latin,
pasaj,,passage,,,,,
pasal,,idol,,pesel,פֶּסֶל,hebrew,
pasar,,disparity,,pa'ar,פַּעַר,hebrew,
pasor,,ban,,le'es(o)R,לֶאֱסוֹר,hebrew,
pasur,,prowl,,paihuai,徘徊,chinese,
pavit,,distort,,le'av(e)t,לְעַווֵּת,hebrew,
paziq,,pause,,,,english,
pajot,,pit,,pajot,,french,
paxip,,posh,,,,,
paxit,,invade,,pshita,פְּשִׁיטָה,hebrew,
paxar,,confirm,,le'ax(e)R,לְאַשֵּׁר,hebrew,
paxun,,training,,peixun,培训,chinese,
pac,,path,,,,,
pacar,,prefer,,ʾāṯara,آثَرَ,arabic,
paCal,,disposition,,,aðal,icelandic,
palix,,invasion,,plisha,פְּלִישָׁה,hebrew,
palan,,pollen,,pollen,,english,
palaq,,nifty,,piào liang,漂亮,chinese,
palaf,,tame,,le'al(e)f,לְאַלֵּף,hebrew,
palon,,hostile,,la'ay(o)n,לַעֲיוֹן,hebrew,
palor,,power,,,,english,
parag,,poppy,,parag,פָּרָג,hebrew,
parab,,parable,,,,english,
parat,,pirate,,,,english,
parav,,involve,,le'aR(e)v,לְעָרֵב,hebrew,
parax,,retire,,parásh,פָּרַשׁ,hebrew,
parom,,pile,,la'aR(o)m,לַעֲרוֹם,hebrew,
parov,,ambush,,le'eR(o)v,לֶאֱרוֹב,hebrew,
ponen,,lazy,,le'on(e)n,לְאוֹנֵן,hebrew,
podal,,ramp,,podao,坡道,chinese,
potit,,signal,,le'ot(e)t,לְאוֹתֵת,hebrew,
poket,,poke,,,,,
pozar,,pose,,,,,
poxan,,potion,,,,english,
polip,,poll,,poll,,english,
polem,,poem,,,,english,
polal,,ruin,,pò huài,破坏,chinese,
polar,,polar,,,,english,
porit,,pour,,,,,
poraq,,pore,,,,,
pumas,,pumice,,,,,
punat,,purge,,,पुनाति,sanskrit,
punar,,back to home,,púnar,पुनर्,sanskrit,
pukak,,crystal,,,ᐳᑲᒃ,inuktitut,
pusat,,pus,,,,,
pufan,,poof,,poof,,english,
puxat,,thrive,,púṣyati,पुष्यति,sanskrit,
pulan,,pool,,,,,
timiq,,teem,,,,,
log,,permute,,tmura,תְּמוּרָה,hebrew,
tinat,,twin,,,,,
tidas,,tedious,,,,english,
tipun,,case (law),,ti'un,טִיעוּן,hebrew,
tipul,,therapy,,tipul,טִפּוּל,hebrew,
tikol,,tweak,,,,,
tikun,,repair,,tikun,תִּקּוּן,hebrew,
tisid,,fade,,tuise,褪色,chinese,
tizor,,tease,,,,,
tiriq,,tea,,,,,
tiret,,deteriorate,,,,english,
tireC,,attack,,,tilræði,icelandic,
tiraf,,prey,,teref,טֶרֶף,hebrew,
tiraz,,tear (cry),,,,,
tiron,,noob,,tiron,טִירוֹן,hebrew,
tirok,,slam,,litR(o)k,לִטְרוֹק,hebrew,
tegak,,dare,,etegaQ,אֶתְגָּר,hebrew,
tepur,,taper,,,,,
tetar,,tatter,,,,english,
tekes,,ceremony,,,טֶקֶס,hebrew,
tekan,,standard,,teken,תֶּקֶן,hebrew,
teset,,trait,,tèsè,特色,chinese,
tesan,,fig,,te'enah,תְּאֵנָה,hebrew,
tefir,,stitch,,tefer,תֶּפֶר,hebrew,
tevak,,range,,tevaH,טְוָח,hebrew,
teCur,,tether,,,,english,
telun,,rail (track),,tiělù,铁路,chinese,
teron,,arrow,,,,english,
teror,,terror,,,,english,
taman,,price,,ṯaman,ثَمَن,arabic,
tamar,,date (fruit),,tamár,תָּמָר,hebrew,
tanit,,tiny,,,,,
tanif,,pollut,,letan(e)f,לְטַנֵּף,hebrew,
tanal,,tunnel,,,,,
tanub,,fir (tree),,al-tanuwwb,التنوب,arabic,
tagid,,corporation,,ta'agíd,תַּאֲגִיד,hebrew,
tagen,,fry,,letag(e)n,לְטַגֵּן,hebrew,
tagal,,toggle,,,,english,
taguv,,comment,,teguvah,תְּגוּבָה,hebrew,
tabic,,gazelle,,Ṭabīṯāʾ,טביתא,hebrew,
tabil,,spice (action),,letab(e)l,לְתַבֵּל,hebrew,
tapik,,topic,,,,english,
tapem,,coordinate (action),,leta'(e)m,לְתָאֵם,hebrew,
tapak,,foster,,letap(e)aH,לְטַפֵּחַ,hebrew,
tatir,,develop,,tatwîr,تَطْوِيْر,arabic,
tatol,,tattle,,,,english,
tator,,totter,,,,,
tatul,,tattoo,,,,,
takin,,correct,,letak(e)n,לְתַקֵּן,hebrew,
takit,,aim,,tachlit,תַּכְלִית,hebrew,
takir,,investigate,,tachkir,תַּחְקִיר,hebrew,
taket,,tact,,,,,
takan,,tack,,,,english,
takon,,octopus,,tako,タコ,japanese,
tasim,,delineate,,letaH(e)m,לְתַחֵם,hebrew,
tasit,,tacit,,,,english,
tasik,,lake,,,ᑕᓯᖅ,inuktitut,
tasan,,station,,tachana,תַּחֲנָה,hebrew,
tasat,,deceive,,leta'at(e)a,לְתַעְתֵּעַ,hebrew,
tasas,,ferment,,tasas,תַּסָּס,hebrew,
tasaj,,toss,,,,,
tasal,,tassel,,,,,
tasud,,resonance,,tehuda,תְּהוּדָה,hebrew,
tavit,,label/characterization,,tavit,תָּווִית,hebrew,
tavut,,tuck,,,,,
tazeq,,adjust,,tiáozhěng,调整,chinese,
taxil,,practical,,tashi,踏实,chinese,
taCar,,apologize,,iʿtaḏara,اِعْتَذَرَ,arabic,
talin,,tally,,,,,
taliC,,spell (charm),,taʿwīḏa,تَعْوِيذَة,arabic,
talan,,nasty,,tǎo yàn,讨厌,chinese,
talas,,pilot,,tayas,טַייָּס,hebrew,
talor,,tire (car),,,,,
taluk,,chin,,,ᑕᓪᓗ,inuktitut,
tarad,,cod (fish),,tara,タラ,japanese,
taraC,,await,,tarayyaṯa,تَرَيَّثَ,arabic,
tonaq,,similar,,tóngyàng,同样,chinese,
tonar,,tow,,,,,
todan,,gratitude,,toda,תּוֹדָה,hebrew,
total,,total,,,,english,
tosik,,rebuke,,tochecha,תּוֹכֵחָה,hebrew,
tofif,,tap,,letof(e)f,לְתוֹפֵף,hebrew,
vram,,insight,,tovana,תּוֹבָנָה,hebrew,
tozik,,invest,,tóuzī,投资,chinese,
tolat,,toilet,,,,,
tolum,,confide,,tòulù,透露,chinese,
tolun,,dizzy,,tóu yūn,头晕,chinese,
tugak,,ivory,,,ᑑᒑᖅ,inuktitut,
holam,,realm,,,עולמות,hebrew,
tudoq,,nudge,,tuidong,推动,chinese,
tubal,,mop,,tuoba,拖把,chinese,
tusik,,plover (bird),,tuusiik,ᕐᑮᕐᓕᒃ,inuktitut,
tufan,,tuff (rock),,,,,
tuCak,,grumble,,,tuða,icelandic,
tulur,,degenerate,,tuihua,退化,chinese,
turan,,sudden,,túrán,突然,chinese,
kinam,,lamentation,,kina,קִינָה,hebrew,
kinat,,louse,,kinat,כִּנָּה,hebrew,
kigak,,beaver,,kigiaq,ᑭᒋᐊᖅ,inuktitut,
kiden,,equidae,,,,latin,
kidak,,gun,,ekedaH,אֶקְדָח,hebrew,
kidum,,promotion,,kidum,קִדּוּם,hebrew,
kibol,,quibble,,,,,
kipan,,ghast,,kepa,可怕,chinese,
kipod,,hedgehog,,kipod,קִיפּוֹד,hebrew,
kikab,,maple (tree),,al-qiqab,القيقب,arabic,
kikar,,plaza,,kikar,כִּיכָּר,hebrew,
kikuq,,finch (bird),,què kē,雀科,chinese,
kisak,,kiss,,,,english,
kifal,,crease,,kefel,קֵפֶל,hebrew,
kival,,isolation,,,केवल,sanskrit,
kivar,,quiver (shake),,,,english,
kixiq,,viable,,kexing,可行,chinese,
kixar,,knot,,kesher,קֶשֶׁר,hebrew,
kixut,,decorate,,kishut,קִישּׁוּט,hebrew,
kilan,,pathetic,,kelian,可怜,chinese,
kilat,,keel,,,,,
kilar,,cucumber,,ḵiyār,خِيَار,arabic,
kiluv,,obligate,,chiyuv,חִיּוּב,hebrew,
plin,,discipline,,,,english,
kenan,,canidae,,,,,
kenat,,kin,,,,,
kepak,,monstrous,,kě pà,可怕,chinese,
kepal,,capable,,,,,
ketor,,cater,,,,,
kekep,,harsh,,kē kè,苛刻,chinese,
kekat,,background,,Qeka',רֶקַע,hebrew,
kekol,,palatable,,kě kǒu,可口,chinese,
kevur,,grave,,kever,קֵבֶר,hebrew,
kejan,,occasion,,,,english,
kelip,,granular,,kē lì,颗粒,chinese,
kelak,,quail,,,,english,
kelas,,chaos,,,,english,
kamix,,commission,,,,,
kamet,,comet,,,,english,
kom,,calm,,,,,
kamat,,ore,,khāma,خامة,arabic,
kamak,,flour,,kemach,קֶמַח,hebrew,
kamar,,gamble,,qamara,قَمَرَ,arabic,
kamon,,common,,,,english,
kamut,,commute,,,,english,
kaniq,,cunning,,,,english,
kanan,,canyon,,,,english,
kanop,,canopy,,,,english,
kaquk,,goose,,kanguq,ᑲᖑᖅ,inuktitut,
kadid,,helmet,,ḥadīd,حَدِيد,arabic,
kadat,,succumb,,khadaa,خَضَعَ,arabic,
kadal,,banana,,kadalī,कदली,sanskrit,
kadom,,precede,,likd(o)m,לִקְדּוֹם,hebrew,
kadol,,coddle,,,,english,
kebit,,evil,,ḵabīṯ,خَبِيث,arabic,
kab,,receive,,kabala,קַבָּלָה,hebrew,
kabol,,cobble,,,,english,
kapot,,skim,,lekap(o)t,לְקַפּוֹת,hebrew,
kapor,,concave,,ka’or,קעור,hebrew,
katif,,shoulder,,katef,כָּתֵף,hebrew,
katil,,fool,,khatil,خَطِل,arabic,
katar,,ooze,,qatara,قَطَرَ,arabic,
katoq,,cut,,cut,,english,
kator,,cruel,,kaṭhora,कठोर,sanskrit,
kakit,,oyster,,kaki,牡蠣,japanese,
kakol,,cackle,,,,english,
kakor,,basin,,khakhor,ཁ་ཁོར,tibetan,
kakum,,assiduous,,keku,刻苦,chinese,
kakuz,,cuckoo,,,,english,
kasan,,instant,,,क्षण,sanskrit,
kasat,,allot,,qassaṭa,قَسَّطَ,arabic,
kax,,skill,,kauśala,कौशल,sanskrit,
kafif,,subordinate,,kafif,כָּפִיף,hebrew,
kafam,,however,,kayfamā,كَيْفَمَا,arabic,
kafag,,exploitation,,kaifa,开发,chinese,
kafaf,,extenuate,,khaffafa,خَفَّفَ,arabic,
kafar,,close oneself off,,kafara,كَفَرَ,arabic,
kafug,,customer,,kefu,客服,chinese,
kavid,,liver,,kaved,כָּבֵד,hebrew,
kavik,,wolverine,,qavvik,ᖃᕝᕕᒃ,inuktitut,
kavat,,caveat,,,,english,
kavak,,dust,,avák,אָבָק,hebrew,
kavod,,honor/respect,,kavod,כָּבוֹד,hebrew,
kazit,,facade,,chazit,חֲזִית,hebrew,
kazis,,piece,,,,,
kazar,,return at regular intervals,,chazár,חָזַר,hebrew,
kijon,,cajole,,cajoler,,french,
kajul,,cashew,,acajou,,french,
kartx,,cache,,,,,
kaxad,,suspicion,,chashad,חֲשָׁד,hebrew,
kaxon,,quash,,,,english,
kaxun,,caution,,,,english,
kacir,,viscous,,ḵāṯir,خَاثِر,arabic,
kacac,,furniture,,ʔaṯāṯ,أثاث,arabic,
kaCif,,projectile,,qaḏīfa,قَذِيفَة,arabic,
zav,,lie,,kaḏaba,كَذَبَ,arabic,
kalig,,colleague,,,,,
glib,,victory,,ḡālib,غَالِب ,arabic,
kalit,,leporidae (hare),,ukaliit,ᐅᑲᓖᑦ,inuktitut,
kalif,,successor,,ḵalīfa,خَلِيفَة,arabic,
kalil,,scarcity,,qalīl,قَلِيل,arabic,
kalek,,merry,,kuài lè,快乐,chinese,
kalad,,collide,,,,english,
kalak,,kayak,,,ᖃᔭᖅ,inuktitut,
kalaz,,equalize,,,,english,
kalal,,scour,,ḵallala,خَلَّلَ ,arabic,
kalox,,dominate,,laHal(o)x,לַחֲלוֹשׁ,hebrew,
kalor,,cower,,,,english,
kalud,,collude,,,,english,
kaluk,,trout,,,ᐃᖃᓗᒃ,inuktitut,
karin,,affilliate,,qarīn,قَرِين ,arabic,
karik,,query,,,,english,
karix,,shark,,karish,כָּרִישׁ,hebrew,
karan,,car,,,,english,
karad,,anxiety,,charada,חֲרָדָה,hebrew,
zin,,decision,,,,english,
karom,,heal,,likR(o)m,לִקְרוֹם,hebrew,
karog,,exceed,,laHaR(o)g,לַחֲרוֹג,hebrew,
karov,,adjacent,,karov,קרוב,hebrew,
komaz,,coma,,,,,
kotir,,diameter,,koter,קוֹטֶר,hebrew,
kotas,,quote,,,,english,
koken,,coke,,,,,
kovem,,cove,,,,,
kov,,cover,,,,english,
kovat,,covet,,,,english,
kozin,,cozy,,,,english,
koxar,,fit,,kosher,כּוֹשֶׁר,hebrew,
kolet,,collate,,,,english,
koles,,coalesce,,,,english,
kolab,,collaborate,,,,english,
kolav,,rack,,kolav,קוֹלָב,hebrew,
korag,,core,,,,,
korod,,corrode,,,,,
korol,,quarrel,,,,,
kumat,,pear,,kummaṯrā,كُمَّثْرَى,arabic,
kuguk,,swan,,qugjuq,ᖁᒡᔪᒃ,inuktitut,
kubox,,conquer,,liHb(o)x,לִכְבּוֹשׁ,hebrew,
kupun,,coal,,,,inuktitut,
kutun,,cottonwood (tree),,quṭun,قُطُن,arabic,
kukan,,"cock (action, gun)",,,,,
kukat,,infamy,,kukhyāti,कुख्याति,sanskrit,
kuzam,,lavender (vegetable),,al-ḵuzāmā,الْخُزَامَى,arabic,
kujan,,recursion,,,,,
kuxon,,cushion,,,,english,
kirn,,cure,,,,english,
kulam,,coulomb,,,,,
krol,,cull,,,,,
kulos,,meticulous,,,,,
kulor,,peculiar,,,,english,
kurun,,cabbage,,kurunb,كرمب,arabic,
himex,,emission,,,,,
himat,,emit,,,,,
himux,,ammunition,,chimush,חִימּוּשׁ,hebrew,
log,,bet (gamble),,himur,הִימּוּר,hebrew,
hinak,,enact,,,,,
hinuf,,enough,,,,english,
higot,,ego,,,,english,
higoz,,vanish,,lehig(o)z,לְהִיגּוֹז,hebrew,
hidan,,hidden,,,,,
hidot,,idiot,,,,english,
hibit,,inhibit,,,,,
hibax,,bash,,,,,
hibuk,,hug,,chibuk,חִיבּוּק,hebrew,
hipan,,hip,,,,english,
hitak,,thrust,,lehitak(e)a,לְהִיתָּקֵעַ,hebrew,
pantx,,hit,,,,,
hituk,,bisect,,chituch,חיתוך,hebrew,
hikep,,equip,,,,,
hikan,,squid,,ika,イカ,japanese,
hikal,,hall,,hechal,הֵיכָל,hebrew,
hisul,,eliminate,,chisul,חִיסּוּל,hebrew,
hifuz,,effusion,,,,english,
hivik,,heave,,,,,
hivad,,slave,,eved,עֶבֶד,hebrew,
hivux,,rustle,,ivshush,אִיווְשׁוּשׁ,hebrew,
hizun,,equilibrium,,izun,אִיזּוּן,hebrew,
hizut,,ease,,,,english,
hicar,,aether,,,,english,
hiCal,,whip,,,hýða,icelandic,
hiCor,,either,,,,english,
hilak,,elect,,,,,
hilud,,elude,,,,,
hiluk,,partition,,chiluk,חִילּוּק,hebrew,
hiluf,,replace,,chiluf,חִילּוּף,hebrew,
hilul,,desecrate,,chilul,חִילּוּל,hebrew,
hiram,,flounder (fish),,hirame,ヒラメ,japanese,
hirav,,sword,,cherev,חֶרֶב,hebrew,
hirum,,emergency,,cherum,חֵירוּם,hebrew,
hemaq,,hem,,,,,
hemun,,confidence,,emun,אֵמוּן,hebrew,
henas,,anus,,,,english,
hegat,,egg,,,,english,
hedip,,eddy,,,,,
hediz,,hell,,,,greek,
hepin,,hippie,,,,english,
hetaq,,hate,,,,english,
hekir,,characteristic,,heker,הֶיכֵּר,hebrew,
hesin,,hasten,,,,english,
heviz,,aves (birds),,,,latin,
hevor,,behavior,,,,english,
helik,,legitimate,,hélǐ,合理,chinese,
helet,,determine,,hechlet,הֶחְלֵט,hebrew,
helat,,hail (acclaim),,,,,
biq,,being,,,,english,
heres,,heresy,,,,english,
herer,,juniper (tree),,al-earear,العرعر,arabic,
heran,,heron,,,,english,
herad,,arid,,,,english,
herot,,heir,,,,,
hamik,,pelt,,,ᐊᒥᖅ,inuktitut,
hamis,,melt,,leham(i)s,לְהָמִיס,hebrew,
hamem,,stun,,leham(e)m,לְהַמֵּם,hebrew,
hamez,,amaze,,,,,
hamon,,crowd/mob,,hamon,הָמוֹן,hebrew,
hamot,,hum,,leham(o)t,לְהַמּוֹת,hebrew,
hamos,,ferret,,chamos,חָמוֹס,hebrew,
hamuz,,amuse,,,,english,
hanit,,initialize,,,,english,
hanan,,onion,,,,english,
hanak,,giant,,anak,עֲנָק,hebrew,
hanon,,park (vehicle),,chanyon,חַנְיוֹן,hebrew,
hanod,,annoy,,,,english,
hanol,,annul,,,,english,
hanuk,,dedicate,,chanukah,חֲנֻכָּה,hebrew,
haqol,,butter,,huáng yóu,黄油,chinese,
hagin,,defend,,lehag(e)n,לְהָגֵן,hebrew,
hagix,,serve,,lehag(i)x,לְהַגִּישׁ,hebrew,
hagot,,pronounce,,lahag(o)t,לַהֲגוֹת,hebrew,
hagol,,haggle,,,,,
raz,,resonate,,,,english,
hadit,,audit,,,,english,
hud,,hide,,,,,
hadic,,news,,ḥadīṯ,حَدِيث,arabic,
dabak,,adhere,,,דָּבַק,hebrew,
hadap,,adapt,,,,,
hadak,,seduction,,hadacha,הַדָּחָה,hebrew,
hadas,,myrtle,,hadas,הֲדַס,hebrew,
hadaj,,ideology,,,,,
hadax,,lens,,adasha,עֲדָשָׁה,hebrew,
hadal,,idle,,,,,
hadof,,repel,,lahad(o)f,לַהֲדוֹף,hebrew,
habil,,sabotage,,leHab(e)l,לְחַבֵּל,hebrew,
habet,,habituate,,,,english,
habad,,abide,,,,english,
habak,,embrace,,ḥăḇaq,חֲבַק,hebrew,
habav,,cherish,,leHab(e)v,לְחַבֵּב,hebrew,
habaC,,applaud,,ḥabbaḏa,حَبَّذَ,arabic,
habal,,rope,,ḥabl,حَبْل,arabic,
habol,,hobble,,,,,
habor,,abhor,,,,english,
habus,,abuse,,,,english,
hapin,,open,,,,english,
hapiq,,hype,,,,,
hapiz,,appease,,,,english,
hapil,,appeal,,,,english,
hapan,,diminution,,hāpana,हापन,sanskrit,
hapal,,appall,,,,english,
hapot,,overlap,,leHap(o)t,לְחַפּוֹת,hebrew,
hapoz,,oppose,,,,,
hatit,,pry,,leHat(e)t,לְחַטֵּט,hebrew,
hatik,,transfer,,lehat(i)k,לְהַתִּיק,hebrew,
hatif,,advocate,,lehat(i)f,לְהַטִּיף,hebrew,
hatiz,,squirt,,lehat(i)z,לְהַתִּיז,hebrew,
hatiC,,festival,,,hátíð,icelandic,
haten,,attain,,,,,
hatar,,attire,,,,english,
haton,,hot,,,,english,
hatot,,tilt,,lehat(o)t,לְהַטּוֹת,hebrew,
hakit,,acquit,,,,english,
hakik,,engraving,,chakika,חֲקִיקָה,hebrew,
hakif,,enforcement,,achifa,אֲכִיפָה,hebrew,
hakir,,acquaint,,lehak(i)R,לְהַכִּיר,hebrew,
hakam,,establish,,hakama,הֲקָמָה,hebrew,
hakan,,mimic,,chakyan,חַקְייָן,hebrew,
hakan,,icon,,,,,
hakab,,obstacle,,ʿaqaba,عَقَبَة,arabic,
hakav,,heel,,akev,עָקֵב,hebrew,
hakaC,,captivate,,ʾaḵḵāḏ,أَخَّاذ,arabic,
hakar,,recognition,,hakara,הַכָּרָה,hebrew,
hakom,,accompany,,,,,
hakun,,meadow,,achu,אָחוּ,hebrew,
hasig,,recall,,lehas(i)g,לְהַסִּיג,hebrew,
haseq,,assay,,,,english,
hasel,,essay,,,,english,
hasam,,placement,,hasama,הֲשָׂמָה,hebrew,
hasap,,convect,,hasa'a,הַסָּעָה,hebrew,
senz,,essence,,,,english,
hasar,,enclose,,hasara,حَصَرَ,arabic,
hasom,,awe,,,,english,
hasof,,expose,,laHas(o)f,לַחֲשׂוֹף,hebrew,
hasol,,hustle,,,,,
hasum,,assume,,,,,
hasut,,refuge,,chasut,חָסוּת,hebrew,
hafim,,expend,,huafei,花费,chinese,
hafid,,conserve,,hafiza,حفظ,arabic,
hafik,,derive,,lehaf(i)k,לְהָפִיק,hebrew,
hafif,,congruence (geometry),,chafifa,חֲפִיפָה,hebrew,
hafil,,encourage,,lehaf'(i)l,לְהַפְעִיל,hebrew,
hafan,,often,,,,english,
hafat,,curb,,hāf,fah,arabic,
hafak,,production,,hafaka,הֲפָקָה,hebrew,
hafaf,,huff,,,,,
havid,,avid,,,,english,
havit,,hive,,,,,
havik,,walrus,,aiviq,ᐊᐃᕕᖅ,inuktitut,
havis,,oblation,,havis,हविस्,sanskrit,
havak,,havoc,,,,english,
havas,,defeat,,havasa,הֲבָסָה,hebrew,
von,,sin,,avon,עָווֹן,hebrew,
havot,,constitute,,lehav(o)t,לְהַוּוֹת,hebrew,
havud,,lost,,avúd,אָבוּד,hebrew,
hazim,,refute,,lehaz(i)m,לְהָזִים,hebrew,
hazif,,frown,,lehaz'(i)f,לְהַזְעִיף,hebrew,
hazot,,rave,,lahaz(o)t,לַהֲזוֹת,hebrew,
hajur,,aperture,,ajour,,french,
haxin,,lean,,lehax'(i)n,לְהַשְׁעִין,hebrew,
haxiv,,reply,,lehax(i)v,לְהָשִׁיב,hebrew,
haxir,,molt,,lehax(i)R,לְהַשִּׁיר,hebrew,
haxem,,ravage,,lehax(e)m,לְהָשֵׁם,hebrew,
haxak,,launch of new product,,hashaka,הַשָּׁקָה,hebrew,
haxor,,usher,,,,,
haxuq,,emotion,,,,,
hacid,,acid,,,,english,
haCik,,proficient,,ḥāḏiq,حَاذِق,arabic,
haCir,,cautious,,ḥaḏir,حَذِر,arabic,
haCan,,announce,,ʾāḏana,آذَنَ,arabic,
cub,,torture,,ʿaḏāb,عَذَاب,arabic,
halin,,cushy,,hayyin,هَيِّن,arabic,
halig,,mock,,lehal'(i)g,לְהַלְעִיג,hebrew,
halip,,plausible,,heli,合理,chinese,
halit,,haul,,,,,
halik,,remorse,,ào huǐ,懊悔,chinese,
halis,,exact,,halisi,,swahili,
halif,,suit (clothing),,Haliyfah,חֲלִיפָה,hebrew,
liqk,,align,,,,english,
haleg,,dial,,leHay(e)g,לְחַייֵּג,hebrew,
halez,,always,,,,english,
halak,,law,,halacha,הֲלָכָה,hebrew,
halav,,milk,,chalav,חָלָב,hebrew,
halal,,permissible,,halal,حلال,arabic,
halud,,allude,,,,english,
halut,,spoon,,,ᐊᓘᑦ,inuktitut,
nuz,,distribute,,,,,
haluf,,option,,chalufa,חֲלוּפָה,hebrew,
halur,,allure,,,,english,
haris,,iris,,,,,
hariv,,expand,,lehaRH(i)v,לְהַרְחִיב,hebrew,
haram,,forbidden/taboo,,ḥarām,حَرَام,arabic,
haran,,hire,,,,,
harat,,till,,ḥaraṯa,حَرَثَ,arabic,
haras,,grip,,haras,हरस्,sanskrit,
harax,,dull,,,अरस,sanskrit,
harac,,cultivate,,ḥaraṯa,حَرَثَ,arabic,
haral,,convert,,hawwala,حَوَّلَ,arabic,
harar,,mull,,lehaRh(e)R,לְהַרְהֵר,hebrew,
harok,,squeak,,laHaR(o)k,לַחֲרוֹק,hebrew,
haroz,,arouse,,,,english,
honiq,,hoe,,,,,
honas,,onus,,,,,
honot,,swindle,,lehon(o)t,לְהוֹנוֹת,hebrew,
honuk,,regret,,houhui,后悔,chinese,
hoqat,,owe,,,,,
hoger,,hoard,,ogér,אוֹגֵר,hebrew,
hogal,,ogle,,,,,
hoben,,obey,,,,english,
hopan,,opine,,,,,
hopal,,opal,,,,,
hopok,,perky,,huó pō,活泼,chinese,
hopol,,vivacious,,huó pō,活泼,chinese,
hotat,,scallop,,hotate,ほたて,japanese,
hokek,,length,,oQeHe,אֹרֶךְ,hebrew,
hokur,,occur,,,,,
hosil,,tent,,ohel,אוֹהֶל,hebrew,
hofik,,horizon,,ofek,אֹפֶק,hebrew,
hofen,,manner,,ofen,אֹפֶן,hebrew,
hovis,,oversee,,,,,
hovex,,medicine,,chovesh,חוֹבֵשׁ,hebrew,
hovan,,debt,,chova,חוֹבָה,hebrew,
hoval,,transport,,hovala,הוֹבָלָה,hebrew,
hozir,,hose,,,,,
holiq,,howl,,,,,
holid,,holy,,,,english,
holan,,hull,,,,,
holav,,enemy,,oyev,אוֹיֵב,hebrew,
humad,,humid,,,,english,
sad,,hummus,,chumus,חוּמוּסחֶסֶד,hebrew,
hunik,,sea urchin,,uni,うに,japanese,
hunan,,baboon,,nyani,,swahili,
hunak,,harpoon,,,ᐅᓈᖅ,inuktitut,
hubob,,hub,,,,english,
hutak,,seam,,ħūṭāˀ,חוּטָא,hebrew,
hutom,,hut,,,,,
hutut,,hoot,,,,,
