english,ipa,form,shape,state,uses,head
pepper,ˈpɛpəɹ,pepar,,refused,0,0
pillar,ˈpɪləɹ,pilar,,refused,0,0
pillow,ˈpɪloʊ,pilo,,refused,0,0
plasma,ˈplæzmə,plazma,,refused,0,0
plateau,plæˈtoʊ,plato,,refused,0,0
platinum,ˈplætɪnəm,platinam,,refused,0,0
plow,plaʊ,plau,,refused,0,0
potato,pəˈteɪtoʊ,pateto,,refused,0,0
protein,ˈpɹoʊtiːn,protin,,refused,0,0
rabbit,ˈɹæbɪt,rabit,,refused,0,0
riddle,ˈɹɪdəl,ridal,,refused,0,0
ripple,ˈɹɪpəl,ripal,,refused,0,0
saturate,ˈsætʃəˌɹeɪt,satxaret,,refused,0,0
scroll,skɹoʊl,skrol,,refused,0,0
skeleton,ˈskɛlətən,skelatan,,refused,0,0
snare,snɛɹ,sner,,refused,0,0
sponge,spʌndʒ,spandj,,refused,0,0
stair,stɛɹ,ster,,refused,0,0
starch,stɑːɹtʃ,startx,,refused,0,0
sulfur,ˈsʌlfəɹ,salfar,,refused,0,0
summit,ˈsʌmɪt,samit,,refused,0,0
sunrise,ˈsʌnɹaɪz,sanraiz,,refused,0,0
sunset,ˈsʌnsɛt,sanset,,refused,0,0
surf,sɜːɹf,serf,,refused,0,0
thunder,ˈθʌndəɹ,candar,,refused,0,0
tornado,tɔːɹˈneɪdoʊ,tornedo,,refused,0,0
torso,ˈtɔːɹsoʊ,torso,,refused,0,0
turtle,ˈtɜːɹtəl,tertal,,refused,0,0
vacuum,ˈvækjuːm,vakyum,,refused,0,0
veil,veɪl,vel,,refused,0,0
village,ˈvɪlɪdʒ,vilidj,,refused,0,0
weasel,ˈwiːzəl,wizal,,refused,0,0
whale,weɪl,wel,,refused,0,0
whisper,ˈwɪspəɹ,wispar,,refused,0,0
wolf,wʊlf,wulf,,refused,0,0
