english,role,uses,head,source
enemy,noun,4,2,base
garden,verb,4,2,base
glide,verb,4,2,base
grant,noun,4,2,base
hat,noun,4,2,base
height,noun,4,2,base
hollow,adjective,4,2,base
hook,verb,4,2,base
jaw,noun,4,2,base
knock,verb,4,2,base
marry,verb,4,2,base
nail,verb,4,2,base
ornament,noun,4,2,base
plastic,adjective,4,2,base
prison,noun,4,2,base
regular,adjective,4,2,base
report,verb,4,2,base
rub,verb,4,2,base
scratch,verb,4,2,base
slim,adjective,4,2,base
sort,verb,4,2,base
spill,verb,4,2,base
stripe,noun,4,2,base
swap,noun,4,2,base
teen,adjective,4,2,base
thank,verb,4,2,base
theory,noun,4,2,base
verse,noun,4,2,base
yes,interjection,4,2,base
access,verb,3,2,base
accident,noun,3,2,base
affect,verb,3,2,base
ash,noun,3,2,base
bloom,noun,3,2,base
breed,verb,3,2,base
brush,verb,3,2,base
burden,verb,3,2,base
candy,noun,3,2,base
chop,verb,3,2,base
cloud,verb,3,2,base
clump,noun,3,2,base
company,noun,3,2,base
content,adjective,3,2,base
contest,noun,3,2,base
convince,verb,3,2,base
deity,noun,3,2,base
dive,verb,3,2,base
dwell,verb,3,2,base
eager,adjective,3,2,base
educate,verb,3,2,base
enlist,verb,3,2,base
flood,verb,3,2,base
forest,noun,3,2,base
forgive,verb,3,2,base
fungus,noun,3,2,base
gate,verb,3,2,base
grief,noun,3,2,base
heap,noun,3,2,base
labor,verb,3,2,base
lizard,noun,3,2,base
master,verb,3,2,base
medium,adjective,3,2,base
mention,verb,3,2,base
mold,verb,3,2,base
occur,verb,3,2,base
pace,noun,3,2,base
poke,noun,3,2,base
reply,verb,3,2,base
represent,verb,3,2,base
rib,noun,3,2,base
rid,verb,3,2,base
saddle,noun,3,2,base
scan,verb,3,2,base
sexual,adjective,3,2,base
slope,verb,3,2,base
spear,noun,3,2,base
stack,verb,3,2,base
street,noun,3,2,base
suck,verb,3,2,base
supervise,verb,3,2,base
swear,verb,3,2,base
sweep,verb,3,2,base
target,verb,3,2,base
tease,verb,3,2,base
theme,noun,3,2,base
tomb,noun,3,2,base
twitch,noun,3,2,base
wrinkle,verb,3,2,base
account,verb,2,2,base
alike,adjective,2,2,base
alive,adjective,2,2,base
authority,noun,2,2,base
balm,noun,2,2,base
bay,noun,2,2,base
berry,noun,2,2,base
blaze,noun,2,2,base
boss,noun,2,2,base
brace,noun,2,2,base
clue,noun,2,2,base
commotion,noun,2,2,base
concern,verb,2,2,base
contract,verb,2,2,base
cork,noun,2,2,base
couple,verb,2,2,base
dam,verb,2,2,base
dear,adjective,2,2,base
debate,verb,2,2,base
debt,noun,2,2,base
diagnose,verb,2,2,base
diet,noun,2,2,base
disaster,noun,2,2,base
disk,noun,2,2,base
ditch,verb,2,2,base
earnest,adjective,2,2,base
excuse,verb,2,2,base
familiar,adjective,2,2,base
garment,noun,2,2,base
gaze,verb,2,2,base
grade,verb,2,2,base
gram,noun,2,2,base
guy,noun,2,2,base
habit,noun,2,2,base
hammer,verb,2,2,base
income,noun,2,2,base
inspire,verb,2,2,base
intent,verb,2,2,base
knob,noun,2,2,base
ledge,noun,2,2,base
lord,noun,2,2,base
monster,noun,2,2,base
numb,adjective,2,2,base
occupy,verb,2,2,base
onion,noun,2,2,base
pardon,noun,2,2,base
persuade,verb,2,2,base
phase,verb,2,2,base
pledge,noun,2,2,base
port,noun,2,2,base
pride,verb,2,2,base
projection,noun,2,2,base
puppet,noun,2,2,base
qualify,verb,2,2,base
relax,verb,2,2,base
rifle,noun,2,2,base
rinse,noun,2,2,base
robot,noun,2,2,base
romance,noun,2,2,base
scholar,noun,2,2,base
scope,noun,2,2,base
scrap,noun,2,2,base
screw,verb,2,2,base
script,noun,2,2,base
sequence,noun,2,2,base
session,noun,2,2,base
skirt,noun,2,2,base
south,adjective,2,2,base
spark,verb,2,2,base
spoon,noun,2,2,base
spout,noun,2,2,base
stake,verb,2,2,base
stalk,verb,2,2,base
stance,noun,2,2,base
strand,noun,2,2,base
sustain,verb,2,2,base
texture,noun,2,2,base
there,noun,2,2,base
thorough,adjective,2,2,base
toy,noun,2,2,base
vacation,noun,2,2,base
valley,noun,2,2,base
volume,noun,2,2,base
watt,noun,2,2,base
no,determiner,163,1,base
tiny,adjective,76,1,base
get,verb,36,1,base
distant,adjective,26,1,base
electric,adjective,25,1,base
next,adjective,22,1,base
sky,noun,22,1,base
four,value,21,1,base
empty,adjective,19,1,base
early,adjective,18,1,base
rough,adjective,18,1,base
spin,verb,17,1,base
dark,adjective,16,1,base
dry,adjective,16,1,base
bee,noun,15,1,base
narrow,adjective,15,1,base
tea,noun,15,1,base
five,value,14,1,base
sacred,adjective,14,1,base
tall,adjective,14,1,base
thick,adjective,14,1,base
simple,adjective,13,1,base
harsh,adjective,12,1,base
hot,adjective,12,1,base
legal,adjective,12,1,base
miss,verb,12,1,base
dig,verb,11,1,base
loose,adjective,11,1,base
odd,adjective,10,1,base
prevent,verb,10,1,base
stir,verb,10,1,base
decorate,verb,9,1,base
delay,verb,9,1,base
door,noun,9,1,base
echo,verb,9,1,base
fancy,adjective,9,1,base
most,adjective,9,1,base
amaze,verb,8,1,base
exact,adjective,8,1,base
local,adjective,8,1,base
mud,noun,8,1,base
oppose,verb,8,1,base
personal,adjective,8,1,base
serious,adjective,8,1,base
smoke,verb,8,1,base
triangle,noun,8,1,base
yellow,adjective,8,1,base
always,adverb,7,1,base
attract,verb,7,1,base
brother,noun,7,1,base
core,verb,7,1,base
delicate,adjective,7,1,base
ease,noun,7,1,base
escape,verb,7,1,base
moon,noun,7,1,base
nervous,adjective,7,1,base
threat,noun,7,1,base
weave,verb,7,1,base
advance,verb,6,1,base
avoid,verb,6,1,base
continue,verb,6,1,base
excess,adjective,6,1,base
moist,adjective,6,1,base
pig,noun,6,1,base
rival,adjective,6,1,base
wed,verb,6,1,base
worm,noun,6,1,base
10^6,value,5,1,base
as,preposition,5,1,base
bitter,adjective,5,1,base
cancel,verb,5,1,base
carve,verb,5,1,base
cave,verb,5,1,base
defense,noun,5,1,base
drum,verb,5,1,base
drunk,adjective,5,1,base
eight,value,5,1,base
environment,noun,5,1,base
famous,adjective,5,1,base
formal,adjective,5,1,base
fox,noun,5,1,base
ghost,noun,5,1,base
market,verb,5,1,base
rob,noun,5,1,base
sheep,noun,5,1,base
suggest,verb,5,1,base
tail,noun,5,1,base
tempt,verb,5,1,base
trim,verb,5,1,base
window,noun,5,1,base
average,adjective,4,1,base
both,determiner,4,1,base
consider,verb,4,1,base
court,verb,4,1,base
direct,adjective,4,1,base
endure,verb,4,1,base
fasten,verb,4,1,base
father,noun,4,1,base
feather,noun,4,1,base
flaw,noun,4,1,base
herd,noun,4,1,base
knee,noun,4,1,base
leak,verb,4,1,base
loyalty,noun,4,1,base
lung,noun,4,1,base
mesh,noun,4,1,base
mystery,noun,4,1,base
original,adjective,4,1,base
pest,noun,4,1,base
pet,verb,4,1,base
quake,noun,4,1,base
rot,verb,4,1,base
rotate,verb,4,1,base
seize,verb,4,1,base
sorry,adjective,4,1,base
soul,noun,4,1,base
steer,verb,4,1,base
strain,verb,4,1,base
victory,noun,4,1,base
advantage,noun,3,1,base
announce,verb,3,1,base
approach,verb,3,1,base
awkward,adjective,3,1,base
bake,verb,3,1,base
bat,noun,3,1,base
bet,verb,3,1,base
bleed,verb,3,1,base
bless,verb,3,1,base
brick,noun,3,1,base
card,noun,3,1,base
chase,noun,3,1,base
cheer,verb,3,1,base
clay,noun,3,1,base
club,verb,3,1,base
crash,verb,3,1,base
curse,noun,3,1,base
dawn,noun,3,1,base
dine,verb,3,1,base
dispute,verb,3,1,base
dissolve,verb,3,1,base
drain,verb,3,1,base
entertain,noun,3,1,base
experience,verb,3,1,base
fade,verb,3,1,base
foresee,verb,3,1,base
forget,verb,3,1,base
general,adjective,3,1,base
generous,adjective,3,1,base
green,adjective,3,1,base
host,noun,3,1,base
insert,verb,3,1,base
just,adverb,3,1,base
keen,adjective,3,1,base
launch,verb,3,1,base
loan,verb,3,1,base
mail,verb,3,1,base
military,noun,3,1,base
nine,value,3,1,base
obvious,adjective,3,1,base
pee,verb,3,1,base
penalty,noun,3,1,base
plenty,determiner,3,1,base
preserve,verb,3,1,base
produce,verb,3,1,base
refer,verb,3,1,base
ruin,verb,3,1,base
scold,noun,3,1,base
shelf,noun,3,1,base
shoe,noun,3,1,base
shut,adjective,3,1,base
silk,noun,3,1,base
similar,adjective,3,1,base
slave,noun,3,1,base
sled,noun,3,1,base
stare,verb,3,1,base
summer,noun,3,1,base
tax,verb,3,1,base
tendency,noun,3,1,base
toss,verb,3,1,base
tread,noun,3,1,base
troop,noun,3,1,base
universe,noun,3,1,base
upon,preposition,3,1,base
wool,noun,3,1,base
acquire,verb,2,1,base
adult,adjective,2,1,base
anxious,adjective,2,1,base
arch,verb,2,1,base
artery,noun,2,1,base
assurance,noun,2,1,base
beg,verb,2,1,base
bolt,noun,2,1,base
bowel,noun,2,1,base
brand,verb,2,1,base
breeze,noun,2,1,base
bride,noun,2,1,base
brown,adjective,2,1,base
calculate,verb,2,1,base
candle,noun,2,1,base
cease,verb,2,1,base
cereal,noun,2,1,base
chaos,noun,2,1,base
coil,noun,2,1,base
comedy,noun,2,1,base
compare,noun,2,1,base
complain,verb,2,1,base
corn,noun,2,1,base
crisp,adjective,2,1,base
deer,noun,2,1,base
deny,verb,2,1,base
die,verb,2,1,base
disc,noun,2,1,base
drama,noun,2,1,base
drift,verb,2,1,base
due,adjective,2,1,base
dye,verb,2,1,base
ego,noun,2,1,base
embarrass,verb,2,1,base
evaluate,verb,2,1,base
exit,verb,2,1,base
extract,verb,2,1,base
fame,noun,2,1,base
fare,noun,2,1,base
fate,noun,2,1,base
flatter,verb,2,1,base
flinch,noun,2,1,base
flock,verb,2,1,base
folk,noun,2,1,base
fragment,verb,2,1,base
fry,verb,2,1,base
fur,noun,2,1,base
fuss,verb,2,1,base
gel,noun,2,1,base
giant,adjective,2,1,base
glory,noun,2,1,base
govern,verb,2,1,base
grape,noun,2,1,base
graph,noun,2,1,base
hatch,verb,2,1,base
honest,adjective,2,1,base
hug,verb,2,1,base
if,conjunction,2,1,base
ignore,verb,2,1,base
inhale,verb,2,1,base
instruct,verb,2,1,base
jam,verb,2,1,base
jelly,noun,2,1,base
lever,noun,2,1,base
mature,adjective,2,1,base
mine,verb,2,1,base
mob,noun,2,1,base
modest,adjective,2,1,base
mouse,noun,2,1,base
murmur,noun,2,1,base
nap,noun,2,1,base
nest,noun,2,1,base
nucleus,noun,2,1,base
owe,verb,2,1,base
paddle,noun,2,1,base
palm,noun,2,1,base
pilot,noun,2,1,base
pop,verb,2,1,base
popular,adjective,2,1,base
pretend,verb,2,1,base
promote,verb,2,1,base
prompt,adjective,2,1,base
propose,verb,2,1,base
purchase,verb,2,1,base
quote,verb,2,1,base
recognize,verb,2,1,base
regard,verb,2,1,base
rely,verb,2,1,base
resist,verb,2,1,base
revenge,noun,2,1,base
rim,noun,2,1,base
rumor,noun,2,1,base
scoop,noun,2,1,base
seem,verb,2,1,base
select,adjective,2,1,base
shore,verb,2,1,base
shrink,verb,2,1,base
sibling,noun,2,1,base
sip,verb,2,1,base
skull,noun,2,1,base
sober,verb,2,1,base
specific,adjective,2,1,base
spiral,verb,2,1,base
spool,noun,2,1,base
sting,verb,2,1,base
stock,noun,2,1,base
straw,noun,2,1,base
stroll,noun,2,1,base
swallow,verb,2,1,base
temporary,adjective,2,1,base
thaw,noun,2,1,base
tile,verb,2,1,base
tin,noun,2,1,base
toast,noun,2,1,base
treasure,noun,2,1,base
uniform,noun,2,1,base
uterus,noun,2,1,base
wine,noun,2,1,base
womb,noun,2,1,base
yield,verb,2,1,base
abandon,verb,1,1,base
abstain,noun,1,1,base
accelerate,verb,1,1,base
accent,verb,1,1,base
addict,noun,1,1,base
alter,verb,1,1,base
amp,noun,1,1,base
anesthetic,adjective,1,1,base
anus,noun,1,1,base
applause,noun,1,1,base
arrow,noun,1,1,base
aspect,noun,1,1,base
assault,noun,1,1,base
athlete,noun,1,1,base
attempt,verb,1,1,base
axis,noun,1,1,base
badge,noun,1,1,base
ban,verb,1,1,base
basis,noun,1,1,base
bead,noun,1,1,base
blemish,noun,1,1,base
blind,adjective,1,1,base
blink,verb,1,1,base
blog,noun,1,1,base
blue,adjective,1,1,base
blunt,adjective,1,1,base
bribe,verb,1,1,base
bully,verb,1,1,base
bun,noun,1,1,base
captain,noun,1,1,base
category,noun,1,1,base
ceramic,adjective,1,1,base
chair,verb,1,1,base
champion,noun,1,1,base
chant,verb,1,1,base
chunk,noun,1,1,base
chute,verb,1,1,base
clasp,noun,1,1,base
clause,noun,1,1,base
click,verb,1,1,base
client,noun,1,1,base
climate,noun,1,1,base
clip,verb,1,1,base
coast,noun,1,1,base
coffee,noun,1,1,base
coin,noun,1,1,base
collar,noun,1,1,base
comb,noun,1,1,base
commit,verb,1,1,base
comparison,noun,1,1,base
comply,verb,1,1,base
concept,noun,1,1,base
conquer,verb,1,1,base
consequence,noun,1,1,base
construct,verb,1,1,base
consume,verb,1,1,base
cot,noun,1,1,base
crab,noun,1,1,base
crave,verb,1,1,base
credit,verb,1,1,base
crew,noun,1,1,base
critique,noun,1,1,base
crocodile,noun,1,1,base
crust,noun,1,1,base
cube,verb,1,1,base
cuddle,noun,1,1,base
cue,verb,1,1,base
dart,verb,1,1,base
debris,noun,1,1,base
decent,adjective,1,1,base
dent,noun,1,1,base
dessert,noun,1,1,base
dial,noun,1,1,base
digest,verb,1,1,base
discover,verb,1,1,base
dome,noun,1,1,base
dough,noun,1,1,base
dread,noun,1,1,base
duration,noun,1,1,base
east,adjective,1,1,base
enroll,verb,1,1,base
erase,verb,1,1,base
essay,noun,1,1,base
essence,noun,1,1,base
establish,verb,1,1,base
estimate,verb,1,1,base
evacuate,verb,1,1,base
exist,verb,1,1,base
exposure,noun,1,1,base
expression,noun,1,1,base
fad,noun,1,1,base
fantasy,noun,1,1,base
fertile,adjective,1,1,base
festival,noun,1,1,base
fiction,noun,1,1,base
fist,noun,1,1,base
flap,noun,1,1,base
flare,verb,1,1,base
fowl,noun,1,1,base
fraction,noun,1,1,base
frequency,noun,1,1,base
fright,noun,1,1,base
frost,verb,1,1,base
furnace,noun,1,1,base
furniture,noun,1,1,base
fuse,noun,1,1,base
fuzz,verb,1,1,base
gang,verb,1,1,base
gem,noun,1,1,base
giggle,verb,1,1,base
glaze,noun,1,1,base
gradual,adjective,1,1,base
grate,verb,1,1,base
greet,verb,1,1,base
grin,noun,1,1,base
grudge,noun,1,1,base
gull,noun,1,1,base
harmony,noun,1,1,base
harp,noun,1,1,base
haze,noun,1,1,base
heel,noun,1,1,base
hello,interjection,1,1,base
hire,verb,1,1,base
hop,verb,1,1,base
hotel,noun,1,1,base
hour,noun,1,1,base
how,adverb,1,1,base
hull,noun,1,1,base
hum,noun,1,1,base
humid,adjective,1,1,base
humor,noun,1,1,base
icon,noun,1,1,base
identity,noun,1,1,base
imitate,verb,1,1,base
impress,verb,1,1,base
industry,noun,1,1,base
inn,noun,1,1,base
install,verb,1,1,base
instance,noun,1,1,base
instinct,noun,1,1,base
insult,verb,1,1,base
jail,noun,1,1,base
jerk,noun,1,1,base
jewelry,noun,1,1,base
jolt,noun,1,1,base
journal,noun,1,1,base
jug,noun,1,1,base
kin,noun,1,1,base
kiss,verb,1,1,base
kit,noun,1,1,base
knuckle,noun,1,1,base
lake,noun,1,1,base
lash,verb,1,1,base
latch,verb,1,1,base
leather,noun,1,1,base
lend,verb,1,1,base
lice,noun,1,1,base
lion,noun,1,1,base
loft,noun,1,1,base
lure,noun,1,1,base
mania,noun,1,1,base
masculine,adjective,1,1,base
mast,noun,1,1,base
melody,noun,1,1,base
minister,noun,1,1,base
mode,noun,1,1,base
molecule,noun,1,1,base
monopoly,noun,1,1,base
motive,noun,1,1,base
mount,verb,1,1,base
mug,noun,1,1,base
mush,noun,1,1,base
negotiate,verb,1,1,base
oar,noun,1,1,base
oath,noun,1,1,base
observe,verb,1,1,base
occasion,noun,1,1,base
ointment,noun,1,1,base
okay,interjection,1,1,base
onto,preposition,1,1,base
ore,noun,1,1,base
ovary,noun,1,1,base
oven,noun,1,1,base
package,verb,1,1,base
pal,noun,1,1,base
parade,noun,1,1,base
patch,verb,1,1,base
peach,noun,1,1,base
pellet,noun,1,1,base
penis,noun,1,1,base
pill,noun,1,1,base
pinch,noun,1,1,base
pink,adjective,1,1,base
pity,verb,1,1,base
plume,noun,1,1,base
pocket,noun,1,1,base
pod,noun,1,1,base
pool,verb,1,1,base
poop,verb,1,1,base
porch,noun,1,1,base
pose,verb,1,1,base
pray,verb,1,1,base
preach,verb,1,1,base
pregnant,adjective,1,1,base
prick,noun,1,1,base
principle,noun,1,1,base
profile,verb,1,1,base
project,verb,1,1,base
pronounce,verb,1,1,base
propaganda,noun,1,1,base
protest,verb,1,1,base
puff,noun,1,1,base
punch,verb,1,1,base
puncture,noun,1,1,base
rack,verb,1,1,base
register,verb,1,1,base
reign,verb,1,1,base
rein,verb,1,1,base
remedy,verb,1,1,base
reputation,noun,1,1,base
resent,verb,1,1,base
residue,noun,1,1,base
rite,noun,1,1,base
roast,verb,1,1,base
rocket,noun,1,1,base
routine,adjective,1,1,base
salad,noun,1,1,base
sandwich,noun,1,1,base
sane,noun,1,1,base
sausage,noun,1,1,base
scalp,noun,1,1,base
scheme,noun,1,1,base
sect,noun,1,1,base
seminar,noun,1,1,base
sensation,noun,1,1,base
serum,noun,1,1,base
shard,noun,1,1,base
shark,noun,1,1,base
sheath,noun,1,1,base
shrine,noun,1,1,base
silence,verb,1,1,base
silver,adjective,1,1,base
sin,noun,1,1,base
snatch,verb,1,1,base
sniff,verb,1,1,base
snout,noun,1,1,base
sole,adjective,1,1,base
spade,noun,1,1,base
span,verb,1,1,base
spare,adjective,1,1,base
spasm,noun,1,1,base
spawn,verb,1,1,base
speck,noun,1,1,base
splendor,noun,1,1,base
sponsor,verb,1,1,base
square,verb,1,1,base
stash,noun,1,1,base
statue,noun,1,1,base
sterile,adjective,1,1,base
steward,noun,1,1,base
stool,noun,1,1,base
strict,adjective,1,1,base
stupid,adjective,1,1,base
subscribe,verb,1,1,base
succeed,verb,1,1,base
surrender,noun,1,1,base
sync,noun,1,1,base
tablet,noun,1,1,base
temper,verb,1,1,base
terror,noun,1,1,base
thirst,noun,1,1,base
thrust,verb,1,1,base
till,preposition,1,1,base
token,adjective,1,1,base
ton,noun,1,1,base
trace,noun,1,1,base
transfer,verb,1,1,base
translate,verb,1,1,base
traverse,noun,1,1,base
tremor,noun,1,1,base
trend,verb,1,1,base
tumor,noun,1,1,base
tutor,noun,1,1,base
typical,adjective,1,1,base
umbrella,noun,1,1,base
unite,verb,1,1,base
valid,adjective,1,1,base
van,noun,1,1,base
vault,noun,1,1,base
verify,verb,1,1,base
violate,verb,1,1,base
vomit,verb,1,1,base
ware,noun,1,1,base
why,adverb,1,1,base
witness,noun,1,1,base
wizard,noun,1,1,base
yell,verb,1,1,base
zip,verb,1,1,base
little,adjective,53,0,base
single,adjective,40,0,base
old,adjective,39,0,base
below,adjective,37,0,base
multiple,adjective,32,0,base
seven,value,26,0,base
strange,adjective,26,0,base
extra,adjective,24,0,base
too,adverb,23,0,base
fake,adjective,21,0,base
very,adverb,21,0,base
common,adjective,16,0,base
vary,verb,15,0,base
hang,verb,14,0,base
separate,adjective,14,0,base
never,adverb,13,0,base
opposite,adjective,12,0,base
who,noun,12,0,base
huge,adjective,11,0,base
ink,verb,11,0,base
six,value,11,0,base
breast,noun,10,0,base
silent,adjective,10,0,base
dull,adjective,9,0,base
even,conjunction,9,0,base
rear,adjective,9,0,base
surround,verb,9,0,base
cow,noun,8,0,base
extend,verb,8,0,base
perfect,adjective,8,0,base
restore,verb,8,0,base
total,verb,8,0,base
bury,verb,7,0,base
flex,noun,7,0,base
float,verb,7,0,base
forbid,verb,7,0,base
heaven,noun,7,0,base
late,adjective,7,0,base
mock,verb,7,0,base
neck,noun,7,0,base
positive,adjective,7,0,base
rebel,adjective,7,0,base
recover,verb,7,0,base
sand,noun,7,0,base
slant,noun,7,0,base
anti,noun,6,0,base
difficult,adjective,6,0,base
divine,adjective,6,0,base
every,determiner,6,0,base
grind,verb,6,0,base
intense,adjective,6,0,base
let,verb,6,0,base
royal,adjective,6,0,base
sour,adjective,6,0,base
sparkle,verb,6,0,base
swing,verb,6,0,base
tough,adjective,6,0,base
wipe,verb,6,0,base
ancient,adjective,5,0,base
any,determiner,5,0,base
become,verb,5,0,base
certain,adjective,5,0,base
declare,verb,5,0,base
evening,noun,5,0,base
gulp,verb,5,0,base
gum,noun,5,0,base
honey,noun,5,0,base
ideal,adjective,5,0,base
morning,noun,5,0,base
native,noun,5,0,base
remember,verb,5,0,base
repair,verb,5,0,base
sly,adjective,5,0,base
soap,noun,5,0,base
soothe,verb,5,0,base
spit,verb,5,0,base
tilt,noun,5,0,base
wax,verb,5,0,base
a,determiner,4,0,base
attach,verb,4,0,base
beside,adjective,4,0,base
blast,verb,4,0,base
broad,adjective,4,0,base
cheat,verb,4,0,base
confirm,verb,4,0,base
deceit,noun,4,0,base
discuss,verb,4,0,base
dual,adjective,4,0,base
express,adjective,4,0,base
filter,verb,4,0,base
flag,verb,4,0,base
humble,adjective,4,0,base
immune,noun,4,0,base
internal,adjective,4,0,base
non,adverb,4,0,base
plain,adjective,4,0,base
prepare,verb,4,0,base
random,adjective,4,0,base
require,verb,4,0,base
shadow,noun,4,0,base
slippery,adjective,4,0,base
sneak,verb,4,0,base
splash,verb,4,0,base
stubborn,adjective,4,0,base
the,determiner,4,0,base
urgent,adjective,4,0,base
visual,adjective,4,0,base
wake,verb,4,0,base
weird,adjective,4,0,base
alert,adjective,3,0,base
allure,noun,3,0,base
among,preposition,3,0,base
amuse,verb,3,0,base
and,conjunction,3,0,base
assume,verb,3,0,base
automatic,adjective,3,0,base
betray,verb,3,0,base
bore,verb,3,0,base
buzz,verb,3,0,base
cautious,adjective,3,0,base
central,adjective,3,0,base
constant,adjective,3,0,base
curious,adjective,3,0,base
curl,verb,3,0,base
dad,noun,3,0,base
dare,verb,3,0,base
defeat,verb,3,0,base
diplomatic,adjective,3,0,base
drag,verb,3,0,base
dummy,adjective,3,0,base
encourage,verb,3,0,base
external,adjective,3,0,base
faint,adjective,3,0,base
few,determiner,3,0,base
flip,verb,3,0,base
funeral,noun,3,0,base
hay,noun,3,0,base
hog,noun,3,0,base
hood,noun,3,0,base
interrupt,verb,3,0,base
isolate,verb,3,0,base
lazy,adjective,3,0,base
lineage,noun,3,0,base
mutual,adjective,3,0,base
navy,noun,3,0,base
neutral,adjective,3,0,base
noon,noun,3,0,base
once,adverb,3,0,base
pierce,noun,3,0,base
plead,verb,3,0,base
private,adjective,3,0,base
pulse,noun,3,0,base
punish,verb,3,0,base
raw,adjective,3,0,base
reckless,adjective,3,0,base
reject,verb,3,0,base
rescue,noun,3,0,base
secure,adjective,3,0,base
sink,verb,3,0,base
smash,verb,3,0,base
society,noun,3,0,base
spike,noun,3,0,base
staff,verb,3,0,base
steep,adjective,3,0,base
stiff,adjective,3,0,base
survive,verb,3,0,base
swamp,noun,3,0,base
sway,verb,3,0,base
tangle,verb,3,0,base
that,determiner,3,0,base
theater,noun,3,0,base
tremble,verb,3,0,base
absolute,adjective,2,0,base
abundant,adjective,2,0,base
adequate,adjective,2,0,base
ally,noun,2,0,base
almost,adverb,2,0,base
ant,noun,2,0,base
appendix,noun,2,0,base
barren,adjective,2,0,base
bean,noun,2,0,base
belong,verb,2,0,base
belt,verb,2,0,base
bob,noun,2,0,base
bull,noun,2,0,base
cable,noun,2,0,base
calendar,noun,2,0,base
cattle,noun,2,0,base
clap,verb,2,0,base
clumsy,adjective,2,0,base
collapse,verb,2,0,base
community,noun,2,0,base
conscious,adjective,2,0,base
cozy,adjective,2,0,base
crease,noun,2,0,base
creep,verb,2,0,base
cute,adjective,2,0,base
dash,verb,2,0,base
deceive,verb,2,0,base
decrease,verb,2,0,base
define,verb,2,0,base
defy,verb,2,0,base
delight,verb,2,0,base
dense,adjective,2,0,base
devote,verb,2,0,base
disappoint,verb,2,0,base
elevate,verb,2,0,base
embryo,noun,2,0,base
engage,verb,2,0,base
entire,adjective,2,0,base
exercise,verb,2,0,base
expand,verb,2,0,base
explode,verb,2,0,base
fierce,adjective,2,0,base
finger,noun,2,0,base
flee,verb,2,0,base
foreign,adjective,2,0,base
foul,adjective,2,0,base
fragrant,adjective,2,0,base
fringe,adjective,2,0,base
gesture,noun,2,0,base
gloom,noun,2,0,base
grand,adjective,2,0,base
grid,noun,2,0,base
grill,verb,2,0,base
guarantee,verb,2,0,base
hasty,adjective,2,0,base
hip,noun,2,0,base
hunger,noun,2,0,base
idol,noun,2,0,base
imagine,verb,2,0,base
inform,verb,2,0,base
kept,verb,2,0,base
kidney,noun,2,0,base
knight,noun,2,0,base
knit,verb,2,0,base
lateral,adjective,2,0,base
lemon,noun,2,0,base
lens,noun,2,0,base
luggage,noun,2,0,base
luxury,noun,2,0,base
minor,adjective,2,0,base
needle,noun,2,0,base
nipple,noun,2,0,base
notch,noun,2,0,base
nothing,noun,2,0,base
pale,adjective,2,0,base
particular,adjective,2,0,base
passage,noun,2,0,base
population,noun,2,0,base
practical,adjective,2,0,base
predict,verb,2,0,base
prefer,verb,2,0,base
quit,verb,2,0,base
rapid,adjective,2,0,base
reproduce,verb,2,0,base
research,verb,2,0,base
review,verb,2,0,base
scrape,verb,2,0,base
sensitive,adjective,2,0,base
shoulder,noun,2,0,base
shy,adjective,2,0,base
skip,noun,2,0,base
sleeve,noun,2,0,base
snap,verb,2,0,base
spice,verb,2,0,base
spy,verb,2,0,base
stew,noun,2,0,base
strategy,noun,2,0,base
strut,noun,2,0,base
superior,adjective,2,0,base
swim,verb,2,0,base
switch,verb,2,0,base
this,determiner,2,0,base
tobacco,noun,2,0,base
tow,noun,2,0,base
toxic,adjective,2,0,base
transform,verb,2,0,base
trash,noun,2,0,base
twelve,value,2,0,base
unique,adjective,2,0,base
universal,adjective,2,0,base
unravel,verb,2,0,base
vertical,adjective,2,0,base
waist,noun,2,0,base
wiggle,noun,2,0,base
wrist,noun,2,0,base
yard,noun,2,0,base
10^12,value,1,0,base
absurd,adjective,1,0,base
adhesive,adjective,1,0,base
admit,verb,1,0,base
adventure,noun,1,0,base
aggressive,adjective,1,0,base
alien,noun,1,0,base
altitude,noun,1,0,base
ancestor,noun,1,0,base
angel,noun,1,0,base
apparent,adjective,1,0,base
appreciate,verb,1,0,base
arena,noun,1,0,base
arrogant,adjective,1,0,base
arson,noun,1,0,base
artificial,adjective,1,0,base
associate,verb,1,0,base
atmosphere,noun,1,0,base
attend,verb,1,0,base
aversion,noun,1,0,base
await,verb,1,0,base
awful,adjective,1,0,base
balloon,noun,1,0,base
banana,noun,1,0,base
barley,noun,1,0,base
beer,noun,1,0,base
beneath,adjective,1,0,base
bid,verb,1,0,base
bladder,noun,1,0,base
blot,noun,1,0,base
bonus,noun,1,0,base
borrow,verb,1,0,base
brag,noun,1,0,base
braid,noun,1,0,base
bruise,verb,1,0,base
burp,verb,1,0,base
burrow,noun,1,0,base
cabbage,noun,1,0,base
casual,adjective,1,0,base
caution,verb,1,0,base
celebrate,verb,1,0,base
certificate,noun,1,0,base
chaotic,adjective,1,0,base
char,noun,1,0,base
cheek,noun,1,0,base
chick,noun,1,0,base
choir,noun,1,0,base
choke,noun,1,0,base
chronic,adjective,1,0,base
citizen,noun,1,0,base
clamp,noun,1,0,base
clan,noun,1,0,base
clatter,noun,1,0,base
claw,verb,1,0,base
cliff,noun,1,0,base
clot,noun,1,0,base
cluster,noun,1,0,base
cob,noun,1,0,base
