concept,form,sounds,why,uses,head
pass,baj,3,holds a short form,0,0
passive,pat,3,pinned,0,0
past,sut,3,pinned,0,0
path,pac,3,pinned,0,0
pattern,tan,3,pinned,0,0
pause,baC,3,holds a short form,0,0
peace,him,3,pinned,0,0
per,bom,3,holds a short form,0,0
perceive,bog,3,holds a short form,0,0
perfect,kax,3,pinned,0,0
perhaps,boz,3,holds a short form,0,0
period,bof,3,holds a short form,0,0
permanent,yaq,3,pinned,0,0
perpendicular,dit,3,pinned,0,0
persist,res,3,pinned,0,0
place,pak,3,pinned,0,0
pleasure,zim,3,pinned,0,0
plural,mis,3,pinned,0,0
plus,box,3,holds a short form,0,0
point,leC,3,pinned,0,0
polarity,poz,3,pinned,0,0
pool,boj,3,holds a short form,0,0
position,pot,3,pinned,0,0
positive,mid,3,pinned,0,0
possible,sos,3,pinned,0,0
potential,pog,3,pinned,0,0
power,poq,3,pinned,0,0
predictable,pek,3,pinned,0,0
presence,peb,3,pinned,0,0
present,paz,3,pinned,0,0
prevent,boC,3,holds a short form,0,0
previous,nog,3,pinned,0,0
principle,bun,3,holds a short form,0,0
process,por,3,pinned,0,0
produce,buq,3,holds a short form,0,0
property,bug,3,holds a short form,0,0
proportion,bup,3,holds a short form,0,0
protect,cor,3,pinned,0,0
pull,bus,3,holds a short form,0,0
pure,buz,3,holds a short form,0,0
purple,pin,3,pinned,0,0
purpose,buf,3,holds a short form,0,0
push,bux,3,holds a short form,0,0
quality,buj,3,holds a short form,0,0
quantity,buC,3,holds a short form,0,0
quiet,xus,3,pinned,0,0
quite,pim,3,holds a short form,0,0
rain,rex,3,pinned,0,0
rank,pig,3,holds a short form,0,0
rare,pib,3,holds a short form,0,0
rate,rat,3,pinned,0,0
rather,piz,3,holds a short form,0,0
ratio,pif,3,holds a short form,0,0
read,rid,3,pinned,0,0
real,ral,3,pinned,0,0
realm,rum,3,pinned,0,0
reason,pix,3,holds a short form,0,0
receive,rek,3,pinned,0,0
recursion,ken,3,pinned,0,0
red,red,3,pinned,0,0
reference,rif,3,pinned,0,0
reflect,ref,3,pinned,0,0
region,rej,3,pinned,0,0
reject,jek,3,pinned,0,0
relation,ren,3,pinned,0,0
release,rem,3,pinned,0,0
repeat,rep,3,pinned,0,0
repel,pet,3,pinned,0,0
request,piq,3,pinned,0,0
reserved bid,bid,3,pinned,0,0
reserved dub,dub,3,pinned,0,0
reserved hum,hum,3,pinned,0,0
reserved lij,lij,3,pinned,0,0
response,paq,3,pinned,0,0
rest,req,3,pinned,0,0
result,seq,3,pinned,0,0
return,xuv,3,pinned,0,0
rhythm,rij,3,pinned,0,0
right,pob,3,pinned,0,0
rise,rez,3,pinned,0,0
risk,rim,3,pinned,0,0
rock,rak,3,pinned,0,0
rotate,piC,3,holds a short form,0,0
rule,rul,3,pinned,0,0
run,rin,3,pinned,0,0
sacred,pem,3,holds a short form,0,0
safe,saf,3,pinned,0,0
same,sem,3,pinned,0,0
scale,pen,3,holds a short form,0,0
see,vis,3,pinned,0,0
seed,sid,3,pinned,0,0
seek,sik,3,pinned,0,0
select,lek,3,pinned,0,0
self,sef,3,pinned,0,0
send,sed,3,pinned,0,0
sense,zox,3,pinned,0,0
separate,bed,3,pinned,0,0
sequence,sen,3,pinned,0,0
set,peq,3,holds a short form,0,0
seven,heq,3,pinned,0,0
several,pez,3,holds a short form,0,0
shape,pex,3,holds a short form,0,0
shift,pej,3,holds a short form,0,0
shrink,peC,3,holds a short form,0,0
side,pas,3,holds a short form,0,0
sight,pav,3,holds a short form,0,0
sign,pax,3,holds a short form,0,0
silence,sal,3,pinned,0,0
silver,var,3,pinned,0,0
similar,paj,3,holds a short form,0,0
since,pof,3,holds a short form,0,0
sine,tuk,3,pinned,0,0
sink,sek,3,pinned,0,0
six,kon,3,pinned,0,0
sixteen,pox,3,holds a short form,0,0
size,sip,3,pinned,0,0
sky,xum,3,pinned,0,0
small,poj,3,holds a short form,0,0
snake,his,3,pinned,0,0
so,poC,3,holds a short form,0,0
soil,ris,3,pinned,0,0
solution,lot,3,pinned,0,0
some,pum,3,holds a short form,0,0
son,sod,3,pinned,0,0
song,git,3,pinned,0,0
soon,pun,3,holds a short form,0,0
soul,sol,3,pinned,0,0
sound,sum,3,pinned,0,0
source,kos,3,pinned,0,0
south,lut,3,pinned,0,0
space,pes,3,pinned,0,0
span,pan,3,pinned,0,0
spec,ses,3,pinned,0,0
specific,pef,3,pinned,0,0
speed,puq,3,holds a short form,0,0
spirit,jaq,3,pinned,0,0
start,sam,3,pinned,0,0
state,sat,3,pinned,0,0
step,tep,3,pinned,0,0
still,pug,3,holds a short form,0,0
stop,sop,3,pinned,0,0
store,tor,3,pinned,0,0
structure,pud,3,holds a short form,0,0
subtract,pus,3,holds a short form,0,0
such,puz,3,holds a short form,0,0
sun,san,3,pinned,0,0
surf,suf,3,pinned,0,0
surface,suk,3,pinned,0,0
sustain,vix,3,pinned,0,0
symmetry,puf,3,holds a short form,0,0
system,pux,3,holds a short form,0,0
take,vog,3,pinned,0,0
talk,tak,3,pinned,0,0
tangent,kap,3,pinned,0,0
target,tar,3,pinned,0,0
tech,puj,3,holds a short form,0,0
ten,vop,3,pinned,0,0
test,tes,3,pinned,0,0
than,puC,3,holds a short form,0,0
that,Cat,3,pinned,0,0
the,dan,3,pinned,0,0
then,pul,3,holds a short form,0,0
there,kem,3,pinned,0,0
therefore,tim,3,holds a short form,0,0
these,tig,3,holds a short form,0,0
they,Cef,3,pinned,0,0
thing,kin,3,pinned,0,0
thirteen,ceg,3,pinned,0,0
this,kim,3,pinned,0,0
those,tid,3,holds a short form,0,0
though,tiz,3,holds a short form,0,0
three,dem,3,pinned,0,0
threshold,led,3,pinned,0,0
through,tif,3,holds a short form,0,0
thus,tix,3,holds a short form,0,0
till,tij,3,holds a short form,0,0
time,kal,3,pinned,0,0
timestamp,det,3,pinned,0,0
tiny,tiC,3,holds a short form,0,0
to,tem,3,holds a short form,0,0
tone,kup,3,pinned,0,0
too,teq,3,holds a short form,0,0
tool,tul,3,pinned,0,0
top,teg,3,holds a short form,0,0
torture,cub,3,pinned,0,0
touching,tez,3,holds a short form,0,0
trait,tef,3,holds a short form,0,0
transform,tex,3,holds a short form,0,0
tree,tok,3,pinned,0,0
trigger,tej,3,holds a short form,0,0
true,toc,3,pinned,0,0
tune,kip,3,pinned,0,0
turn,tun,3,pinned,0,0
twelve,xos,3,pinned,0,0
two,noc,3,pinned,0,0
type,tap,3,pinned,0,0
uncertain,kun,3,pinned,0,0
under,teC,3,holds a short form,0,0
understand,das,3,pinned,0,0
uniformity,nuf,3,pinned,0,0
union,nun,3,pinned,0,0
universe,jul,3,pinned,0,0
unless,tam,3,holds a short form,0,0
unpredictable,nuk,3,pinned,0,0
until,tad,3,holds a short form,0,0
up,ted,3,pinned,0,0
upon,tas,3,holds a short form,0,0
use,yuz,3,pinned,0,0
vague,veg,3,pinned,0,0
valid,taz,3,holds a short form,0,0
value,tax,3,holds a short form,0,0
variable,vaz,3,pinned,0,0
vehicle,yan,3,pinned,0,0
very,tac,3,holds a short form,0,0
via,tom,3,holds a short form,0,0
vibe,vab,3,pinned,0,0
voice,voz,3,pinned,0,0
void,vod,3,pinned,0,0
volume,vom,3,pinned,0,0
walk,toq,3,holds a short form,0,0
want,tod,3,holds a short form,0,0
way,taq,3,pinned,0,0
we,tos,3,holds a short form,0,0
west,toz,3,holds a short form,0,0
what,tov,3,holds a short form,0,0
when,toj,3,holds a short form,0,0
where,tum,3,holds a short form,0,0
whether,tub,3,holds a short form,0,0
which,tut,3,holds a short form,0,0
while,tus,3,holds a short form,0,0
who,tuz,3,holds a short form,0,0
whole,hol,3,pinned,0,0
why,tux,3,holds a short form,0,0
will,tuj,3,holds a short form,0,0
wisdom,jak,3,pinned,0,0
with,tuc,3,holds a short form,0,0
within,kid,3,holds a short form,0,0
without,kiz,3,holds a short form,0,0
work,goq,3,pinned,0,0
world,kif,3,holds a short form,0,0
write,run,3,pinned,0,0
wrong,raq,3,pinned,0,0
x axis,pij,3,pinned,0,0
y axis,taj,3,pinned,0,0
year,yez,3,pinned,0,0
yellow,yul,3,pinned,0,0
yes,yas,3,pinned,0,0
yet,kix,3,holds a short form,0,0
you,yar,3,pinned,0,0
young,kij,3,holds a short form,0,0
z axis,kuj,3,pinned,0,0
zero,yom,3,pinned,0,0
zone,zon,3,pinned,0,0
alloy,magd,4,by load,4,4
argue,miqk,4,by load,7,4
attitude,madj,4,by load,4,4
axe,mask,4,by load,4,4
bark,mazb,4,by load,4,4
barrier,maft,4,by load,4,4
bowl,mesk,4,by load,6,4
boy,maun,4,by load,5,4
cat,mezb,4,by load,6,4
challenge,meft,4,by load,6,4
clash,maim,4,by load,6,4
clock,marm,4,by load,4,4
command,main,4,by load,6,4
country,migd,4,by load,7,4
crack,marb,4,by load,4,4
earn,malk,4,by load,4,4
error,malv,4,by load,4,4
exchange,midj,4,by load,7,4
fashion,misk,4,by load,7,4
fee,mauq,4,by load,5,4
flame,mizb,4,by load,7,4
foam,maiq,4,by load,6,4
fool,maig,4,by load,6,4
gauge,maug,4,by load,5,4
invite,malc,4,by load,4,4
log,moid,4,by load,4,4
loyal,maub,4,by load,5,4
mate,maut,4,by load,5,4
moisture,maus,4,by load,5,4
neat,moip,4,by load,4,4
option,maib,4,by load,6,4
organism,moik,4,by load,4,4
party,mait,4,by load,6,4
patient,mauz,4,by load,5,4
perform,mais,4,by load,6,4
plot,mauf,4,by load,5,4
plug,maux,4,by load,5,4
pretty,moiv,4,by load,4,4
product,moic,4,by load,4,4
progress,mauj,4,by load,5,4
reptile,maiz,4,by load,6,4
sac,moqk,4,by load,4,4
seal,mift,4,by load,7,4
site,maif,4,by load,6,4
situation,maix,4,by load,6,4
slice,memp,4,by load,7,4
smile,mogd,4,by load,4,4
snack,maij,4,by load,6,4
status,modj,4,by load,4,4
stem,mosk,4,by load,4,4
table,mend,4,by load,7,4
tap,maiC,4,by load,6,4
temperature,mauC,4,by load,5,4
thief,mimp,4,by load,8,4
tip,mozb,4,by load,4,4
tongue,maul,4,by load,5,4
town,megd,4,by load,7,4
train,mind,4,by load,8,4
wander,maum,4,by load,6,4
width,medj,4,by load,7,4
wire,maqk,4,by load,5,4
ache,gaij,4,by load,3,3
achieve,nalp,4,by load,5,3
adjust,nunt,4,by load,4,3
allergy,gaiC,4,by load,3,3
arc,gaum,4,by load,3,3
author,nutx,4,by load,4,3
beast,gaun,4,by load,3,3
bell,naim,4,by load,9,3
bias,nukt,4,by load,4,3
blow,muft,4,by load,12,3
boil,naiC,4,by load,7,3
bomb,nalf,4,by load,5,3
branch,nusk,4,by load,4,3
bundle,gauq,4,by load,3,3
camp,nuzb,4,by load,4,3
ceremony,noid,4,by load,5,3
channel,gaug,4,by load,3,3
chief,nezg,4,by load,10,3
climb,nisp,4,by load,11,3
comfort,nain,4,by load,9,3
computer,nufk,4,by load,4,3
conflict,naix,4,by load,8,3
continent,gaub,4,by load,3,3
cord,gimp,4,by load,4,3
courage,noip,4,by load,5,3
crazy,mump,4,by load,17,3
crystal,gaut,4,by load,3,3
cure,naus,4,by load,6,3
dance,nizg,4,by load,11,3
decide,nauz,4,by load,6,3
demand,gind,4,by load,4,3
dip,giqk,4,by load,4,3
drip,nauf,4,by load,6,3
dust,noik,4,by load,5,3
egg,morm,4,by load,26,3
employ,gaus,4,by load,3,3
engine,noiv,4,by load,5,3
examine,gauz,4,by load,3,3
excite,naum,4,by load,7,3
factor,gauf,4,by load,3,3
fail,naiq,4,by load,9,3
fan,naux,4,by load,6,3
fault,gaux,4,by load,3,3
feast,gauj,4,by load,3,3
fence,nauj,4,by load,6,3
flash,nauC,4,by load,6,3
fortune,gigd,4,by load,4,3
fossil,gauC,4,by load,3,3
freeze,muzg,4,by load,13,3
gender,gaul,4,by load,3,3
glue,gidj,4,by load,4,3
grace,gamp,4,by load,3,3
grave,nifk,4,by load,11,3
guest,gisk,4,by load,4,3
hall,gand,4,by load,3,3
hide,moft,4,by load,37,3
history,gizb,4,by load,4,3
ice,muqk,4,by load,16,3
impact,gift,4,by load,4,3
information,naul,4,by load,6,3
injure,gemp,4,by load,4,3
iron,noic,4,by load,5,3
island,gend,4,by load,4,3
jacket,gaqk,4,by load,3,3
jet,nomp,4,by load,5,3
kid,naun,4,by load,7,3
king,naig,4,by load,9,3
lesson,gagd,4,by load,3,3
lie,nent,4,by load,11,3
lock,nint,4,by load,12,3
lump,geqk,4,by load,4,3
march,gadj,4,by load,3,3
mat,gask,4,by load,3,3
mercy,gazb,4,by load,3,3
milk,nauq,4,by load,7,3
mineral,gaft,4,by load,3,3
month,naib,4,by load,9,3
nation,gedj,4,by load,4,3
nut,nond,4,by load,5,3
obey,gekt,4,by load,4,3
offer,mugd,4,by load,16,3
office,naug,4,by load,7,3
page,namp,4,by load,6,3
passion,garm,4,by load,3,3
pin,nait,4,by load,9,3
pit,gesk,4,by load,4,3
poor,molv,4,by load,19,3
powder,garb,4,by load,3,3
profit,gezb,4,by load,4,3
proper,notx,4,by load,5,3
puzzle,nais,4,by load,9,3
rail,nand,4,by load,6,3
ray,naiz,4,by load,9,3
relief,geft,4,by load,4,3
remain,natx,4,by load,6,3
rent,gaim,4,by load,4,3
row,nakt,4,by load,6,3
rush,gain,4,by load,4,3
sample,nasp,4,by load,6,3
sauce,gaiq,4,by load,4,3
save,mudj,4,by load,14,3
saw,nazg,4,by load,6,3
series,galk,4,by load,3,3
service,gaig,4,by load,4,3
settle,naij,4,by load,8,3
shed,nafk,4,by load,6,3
signal,netx,4,by load,11,3
sit,narn,4,by load,6,3
sore,nokt,4,by load,5,3
sphere,galv,4,by load,3,3
spoil,nesp,4,by load,11,3
spoke,nosp,4,by load,5,3
stab,nozg,4,by load,5,3
steal,mund,4,by load,17,3
stomach,nitx,4,by load,12,3
student,nofk,4,by load,5,3
sum,gaib,4,by load,4,3
surprise,naif,4,by load,9,3
symbol,nefk,4,by load,10,3
tag,norn,4,by load,5,3
tape,galc,4,by load,3,3
tear,molc,4,by load,19,3
tension,gait,4,by load,4,3
tent,narg,4,by load,6,3
toe,gais,4,by load,4,3
toilet,gaiz,4,by load,4,3
tub,goid,4,by load,3,3
urine,naub,4,by load,7,3
vegetable,goip,4,by load,3,3
virus,norg,4,by load,5,3
visit,gaif,4,by load,4,3
vow,goik,4,by load,3,3
week,nolp,4,by load,5,3
welcome,naut,4,by load,7,3
wild,morb,4,by load,20,3
winter,nolf,4,by load,5,3
worship,gaix,4,by load,4,3
access,glos,4,by load,3,2
accident,gloz,4,by load,3,2
account,daux,4,by load,2,2
accuse,groz,4,by load,5,2
alike,dauj,4,by load,2,2
alive,dauC,4,by load,2,2
annoy,grab,4,by load,6,2
assign,grul,4,by load,4,2
authority,daul,4,by load,2,2
award,gliq,4,by load,4,2
balm,damp,4,by load,2,2
bank,glid,4,by load,4,2
bare,grof,4,by load,5,2
bay,dand,4,by load,2,2
berry,daqk,4,by load,2,2
blaze,dagd,4,by load,2,2
bloom,glof,4,by load,3,2
boss,dadj,4,by load,2,2
bounce,grat,4,by load,6,2
brace,dask,4,by load,2,2
brave,gorm,4,by load,12,2
breed,glox,4,by load,3,2
brush,gloj,4,by load,3,2
bulge,gliz,4,by load,4,2
burden,gloC,4,by load,3,2
bush,glif,4,by load,4,2
button,grox,4,by load,5,2
can,gozb,4,by load,16,2
candy,glum,4,by load,3,2
chest,grib,4,by load,8,2
chew,glix,4,by load,4,2
chop,gluq,4,by load,3,2
clever,gris,4,by load,8,2
clump,glug,4,by load,3,2
collect,glij,4,by load,4,2
commotion,dazb,4,by load,2,2
company,glub,4,by load,3,2
concern,daft,4,by load,2,2
content,glut,4,by load,3,2
contest,glus,4,by load,3,2
contract,darm,4,by load,2,2
convince,gluz,4,by load,3,2
cool,gukt,4,by load,9,2
cork,darb,4,by load,2,2
correct,griz,4,by load,8,2
couple,dalk,4,by load,2,2
cream,groj,4,by load,5,2
cruel,grif,4,by load,8,2
crush,groC,4,by load,5,2
current,gump,4,by load,10,2
dam,dalv,4,by load,2,2
date,gliC,4,by load,4,2
dead,gorb,4,by load,12,2
dear,dalc,4,by load,2,2
debate,doid,4,by load,2,2
debt,doip,4,by load,2,2
decay,grem,4,by load,7,2
deity,gluf,4,by load,3,2
develop,glem,4,by load,4,2
diagnose,doik,4,by load,2,2
diet,doiv,4,by load,2,2
disaster,doic,4,by load,2,2
disk,domp,4,by load,2,2
ditch,dond,4,by load,2,2
dive,glux,4,by load,3,2
dock,grol,4,by load,5,2
dot,gras,4,by load,6,2
dwell,gluj,4,by load,3,2
eager,gluC,4,by load,3,2
earnest,doqk,4,by load,2,2
educate,dimp,4,by load,3,2
enemy,gleq,4,by load,4,2
enjoy,grum,4,by load,5,2
enlist,dind,4,by load,3,2
evil,golv,4,by load,11,2
excuse,dogd,4,by load,2,2
expect,gusk,4,by load,9,2
extreme,greq,4,by load,7,2
familiar,dodj,4,by load,2,2
fiber,gruq,4,by load,5,2
final,godj,4,by load,19,2
flesh,guzb,4,by load,9,2
flood,diqk,4,by load,3,2
forest,digd,4,by load,3,2
forgive,ditx,4,by load,3,2
fungus,disk,4,by load,3,2
garment,dosk,4,by load,2,2
gaze,dozb,4,by load,2,2
glide,gleg,4,by load,4,2
grab,guft,4,by load,9,2
grade,doft,4,by load,2,2
gram,dorm,4,by load,2,2
grant,gleb,4,by load,4,2
grief,dizb,4,by load,3,2
guy,dorb,4,by load,2,2
habit,dolk,4,by load,2,2
hammer,dolv,4,by load,2,2
hat,glet,4,by load,4,2
heap,dift,4,by load,3,2
height,gles,4,by load,4,2
hint,grub,4,by load,5,2
hollow,glez,4,by load,4,2
hook,glef,4,by load,4,2
hurry,greg,4,by load,7,2
improve,greb,4,by load,7,2
income,dump,4,by load,2,2
inherit,gres,4,by load,7,2
inspire,dund,4,by load,2,2
intent,duqk,4,by load,2,2
involve,grut,4,by load,5,2
jaw,glex,4,by load,4,2
joint,gokt,4,by load,18,2
knob,dugd,4,by load,2,2
knock,glej,4,by load,4,2
labor,demp,4,by load,3,2
lean,grim,4,by load,9,2
leave,gomp,4,by load,33,2
ledge,dudj,4,by load,2,2
lizard,dend,4,by load,3,2
loop,graz,4,by load,6,2
lucky,graf,4,by load,6,2
main,gond,4,by load,32,2
marry,gleC,4,by load,4,2
mask,grus,4,by load,5,2
master,deqk,4,by load,3,2
medium,degd,4,by load,3,2
melt,grix,4,by load,8,2
mention,dedj,4,by load,3,2
mold,desk,4,by load,3,2
monster,dusk,4,by load,2,2
moral,grax,4,by load,6,2
mother,griq,4,by load,9,2
nail,glam,4,by load,4,2
noble,guqk,4,by load,10,2
numb,duzb,4,by load,2,2
occupy,duft,4,by load,2,2
occur,dezb,4,by load,3,2
official,graj,4,by load,6,2
onion,djiq,4,by load,2,2
ornament,glaq,4,by load,4,2
pace,deft,4,by load,3,2
pan,gruz,4,by load,5,2
pardon,djig,4,by load,2,2
pen,gruf,4,by load,5,2
persuade,djib,4,by load,2,2
phase,djit,4,by load,2,2
physical,grez,4,by load,7,2
plastic,glag,4,by load,4,2
pledge,djis,4,by load,2,2
poke,daim,4,by load,3,2
port,djiz,4,by load,2,2
pour,graC,4,by load,6,2
pride,djif,4,by load,2,2
prison,glab,4,by load,4,2
projection,djiC,4,by load,2,2
provide,grig,4,by load,9,2
public,gosk,4,by load,18,2
puppet,djem,4,by load,2,2
qualify,djeq,4,by load,2,2
refuse,gref,4,by load,7,2
regular,glat,4,by load,4,2
relax,djeg,4,by load,2,2
replace,grux,4,by load,5,2
reply,dain,4,by load,3,2
report,glas,4,by load,4,2
represent,daiq,4,by load,3,2
reward,gral,4,by load,6,2
rib,daig,4,by load,3,2
rich,golk,4,by load,12,2
rid,daib,4,by load,3,2
rifle,djeb,4,by load,2,2
rinse,djet,4,by load,2,2
robot,djes,4,by load,2,2
romance,djez,4,by load,2,2
rub,glaz,4,by load,4,2
rude,gudj,4,by load,10,2
saddle,dait,4,by load,3,2
sail,grex,4,by load,7,2
scan,dais,4,by load,3,2
scatter,grij,4,by load,8,2
scholar,djef,4,by load,2,2
scope,djeC,4,by load,2,2
scrap,djam,4,by load,2,2
scratch,glaf,4,by load,4,2
screw,djaq,4,by load,2,2
script,djag,4,by load,2,2
session,djab,4,by load,2,2
sew,grom,4,by load,6,2
sexual,daiz,4,by load,3,2
sharp,goiv,4,by load,59,2
short,goic,4,by load,45,2
skirt,djat,4,by load,2,2
slight,groq,4,by load,6,2
slim,glax,4,by load,4,2
slip,gruj,4,by load,5,2
slope,daif,4,by load,3,2
social,grej,4,by load,7,2
sort,glaj,4,by load,4,2
spark,djaz,4,by load,2,2
spear,daix,4,by load,3,2
special,goft,4,by load,14,2
spider,griC,4,by load,8,2
spill,glaC,4,by load,4,2
spine,greC,4,by load,7,2
spoon,djaf,4,by load,2,2
sport,grog,4,by load,6,2
spout,djaC,4,by load,2,2
spring,gram,4,by load,7,2
squeeze,graq,4,by load,7,2
stack,daij,4,by load,3,2
stain,grag,4,by load,7,2
stake,djal,4,by load,2,2
stalk,djom,4,by load,2,2
stance,djoq,4,by load,2,2
strand,djob,4,by load,2,2
street,daiC,4,by load,3,2
stripe,glar,4,by load,4,2
suck,daum,4,by load,3,2
sudden,goqk,4,by load,30,2
supervise,daun,4,by load,3,2
swap,glom,4,by load,4,2
swear,dauq,4,by load,3,2
sweat,gruC,4,by load,5,2
sweep,daug,4,by load,3,2
tease,daub,4,by load,3,2
teen,gloq,4,by load,4,2
texture,djot,4,by load,2,2
thank,glog,4,by load,4,2
theme,daut,4,by load,3,2
theory,glob,4,by load,4,2
thorough,djos,4,by load,2,2
tomb,daus,4,by load,3,2
toy,djoz,4,by load,2,2
twitch,dauz,4,by load,3,2
upset,grob,4,by load,6,2
vacation,djof,4,by load,2,2
valley,djoC,4,by load,2,2
vein,grot,4,by load,6,2
verse,glot,4,by load,4,2
warn,gros,4,by load,6,2
watt,djol,4,by load,2,2
weather,golc,4,by load,11,2
wrinkle,dauf,4,by load,3,2
abandon,pitx,4,by load,1,1
abstain,pikt,4,by load,1,1
accelerate,pizg,4,by load,1,1
accent,pifk,4,by load,1,1
acquire,budj,4,by load,2,1
addict,pent,4,by load,1,1
adult,busk,4,by load,2,1
advance,draj,4,by load,6,1
advantage,baiz,4,by load,3,1
alter,petx,4,by load,1,1
amaze,dreq,4,by load,8,1
amp,pekt,4,by load,1,1
anesthetic,pesp,4,by load,1,1
announce,baif,4,by load,3,1
anus,pezg,4,by load,1,1
anxious,buzb,4,by load,2,1
applause,pefk,4,by load,1,1
arch,buft,4,by load,2,1
arrow,paim,4,by load,1,1
artery,brim,4,by load,2,1
aspect,pain,4,by load,1,1
assault,paiq,4,by load,1,1
assurance,brig,4,by load,2,1
athlete,paig,4,by load,1,1
attempt,paib,4,by load,1,1
average,druC,4,by load,4,1
avoid,draC,4,by load,6,1
awkward,baix,4,by load,3,1
badge,pait,4,by load,1,1
bake,baij,4,by load,3,1
ban,pais,4,by load,1,1
basis,paiz,4,by load,1,1
bat,baiC,4,by load,3,1
bead,paif,4,by load,1,1
bee,djut,4,by load,15,1
beg,brib,4,by load,2,1
bet,baum,4,by load,3,1
bitter,dros,4,by load,5,1
bleed,baun,4,by load,3,1
blemish,paix,4,by load,1,1
bless,bauq,4,by load,3,1
blind,paij,4,by load,1,1
blink,paiC,4,by load,1,1
blog,paum,4,by load,1,1
blunt,paun,4,by load,1,1
bolt,brit,4,by load,2,1
bowel,bris,4,by load,2,1
brand,briz,4,by load,2,1
breeze,brif,4,by load,2,1
bribe,pauq,4,by load,1,1
brick,baug,4,by load,3,1
bride,brix,4,by load,2,1
brother,dref,4,by load,7,1
brown,brij,4,by load,2,1
bully,paug,4,by load,1,1
bun,paub,4,by load,1,1
calculate,briC,4,by load,2,1
cancel,droz,4,by load,5,1
candle,brem,4,by load,2,1
captain,paut,4,by load,1,1
card,baub,4,by load,3,1
carve,drof,4,by load,5,1
cease,breq,4,by load,2,1
ceramic,paus,4,by load,1,1
cereal,breg,4,by load,2,1
chair,pauz,4,by load,1,1
champion,pauf,4,by load,1,1
chant,paux,4,by load,1,1
chaos,brep,4,by load,2,1
chase,baut,4,by load,3,1
chunk,pauj,4,by load,1,1
chute,pauC,4,by load,1,1
clasp,paul,4,by load,1,1
clause,pant,4,by load,1,1
clay,baus,4,by load,3,1
client,patx,4,by load,1,1
climate,pakt,4,by load,1,1
clip,pasp,4,by load,1,1
club,bauz,4,by load,3,1
coast,pazg,4,by load,1,1
coffee,pafk,4,by load,1,1
coil,bres,4,by load,2,1
coin,parn,4,by load,1,1
collar,parg,4,by load,1,1
comb,palp,4,by load,1,1
comedy,brez,4,by load,2,1
commit,palf,4,by load,1,1
comparison,poid,4,by load,1,1
complain,bref,4,by load,2,1
comply,poip,4,by load,1,1
conquer,poik,4,by load,1,1
consequence,poiv,4,by load,1,1
consider,drul,4,by load,4,1
construct,poic,4,by load,1,1
consume,pont,4,by load,1,1
core,drex,4,by load,7,1
corn,brex,4,by load,2,1
cot,potx,4,by load,1,1
court,bimp,4,by load,4,1
crab,pokt,4,by load,1,1
crash,bauf,4,by load,3,1
crave,posp,4,by load,1,1
credit,pozg,4,by load,1,1
crew,pofk,4,by load,1,1
crisp,brej,4,by load,2,1
critique,porn,4,by load,1,1
crocodile,porg,4,by load,1,1
crust,polp,4,by load,1,1
cube,polf,4,by load,1,1
cuddle,punt,4,by load,1,1
cue,putx,4,by load,1,1
curse,baux,4,by load,3,1
dart,pukt,4,by load,1,1
dawn,bauj,4,by load,3,1
debris,pusp,4,by load,1,1
decent,puzg,4,by load,1,1
decorate,drif,4,by load,9,1
deer,breC,4,by load,2,1
defense,drox,4,by load,5,1
delay,drix,4,by load,9,1
delicate,drej,4,by load,7,1
dent,pufk,4,by load,1,1
deny,bram,4,by load,2,1
dessert,prin,4,by load,1,1
dial,prid,4,by load,1,1
die,braq,4,by load,2,1
dig,drit,4,by load,11,1
digest,prip,4,by load,1,1
dine,bauC,4,by load,3,1
direct,bind,4,by load,4,1
disc,brag,4,by load,2,1
discover,prik,4,by load,1,1
dispute,baul,4,by load,3,1
dissolve,bamp,4,by load,3,1
distant,djum,4,by load,26,1
dome,priv,4,by load,1,1
door,drij,4,by load,9,1
dough,pric,4,by load,1,1
drain,band,4,by load,3,1
drama,brat,4,by load,2,1
dread,pren,4,by load,1,1
drift,bras,4,by load,2,1
drunk,droj,4,by load,5,1
dry,djub,4,by load,16,1
due,braz,4,by load,2,1
dye,braf,4,by load,2,1
ease,dreC,4,by load,7,1
echo,driC,4,by load,9,1
ego,brax,4,by load,2,1
embarrass,braj,4,by load,2,1
endure,biqk,4,by load,4,1
enroll,preb,4,by load,1,1
entertain,baqk,4,by load,3,1
environment,droC,4,by load,5,1
erase,pret,4,by load,1,1
escape,drap,4,by load,7,1
essay,prek,4,by load,1,1
establish,prev,4,by load,1,1
estimate,prec,4,by load,1,1
evacuate,pran,4,by load,1,1
evaluate,braC,4,by load,2,1
exact,dreg,4,by load,8,1
exposure,prad,4,by load,1,1
expression,prap,4,by load,1,1
extract,bral,4,by load,2,1
fad,prak,4,by load,1,1
fade,bagd,4,by load,3,1
fame,brom,4,by load,2,1
famous,drol,4,by load,5,1
fancy,drem,4,by load,9,1
fantasy,prav,4,by load,1,1
fare,broq,4,by load,2,1
fasten,bigd,4,by load,4,1
father,bidj,4,by load,4,1
feather,bisk,4,by load,4,1
fertile,prac,4,by load,1,1
festival,pron,4,by load,1,1
fiction,prod,4,by load,1,1
fist,prop,4,by load,1,1
flap,prok,4,by load,1,1
flare,prov,4,by load,1,1
flatter,brog,4,by load,2,1
flaw,bizb,4,by load,4,1
flinch,brob,4,by load,2,1
flock,brot,4,by load,2,1
folk,bros,4,by load,2,1
