term,parts,how
decrypt,secret + open,sense
delinquent,young + crime + agent,sense
delta,river + mouth + land,sense
demean,dignity + lower,sense
denim,blue + cloth,sense
deposit,put + in,sense
depth,deep + measure,sense
dequeue,queue + take,sense
deride,ridicule,sense
derivative,change + rate,sense
descendant,after + kin,sense
description,describe + act,sense
destruction,destroy + act,sense
destructive,destroy + like,sense
detain,hold + keep,sense
detector,detect + device,sense
detritivore,dead + matter + eat + agent,sense
devout,devote + like,sense
diagnosis,diagnose + act,sense
diamond,hard + gem,sense
dictator,dictate + agent,sense
dictionary,term + book,sense
diffract,bend + spread,sense
diffraction,wave + edge + spread,sense
dilute,concentrate + lower,sense
dinner,night + meal,sense
directory,file + list,sense
discrepancy,expect + observe + difference,sense
disengage,not + engage,sense
dishonorable,not + honor + able,sense
disingenuous,not + genuine,sense
disparage,worth + lower + speak,sense
displace,move + away,sense
distort,twist + shape,sense
distribute,spread + give,sense
diurnal,day + active,sense
diverge,not + converge,sense
dividend,profit + share,sense
divination,hidden + know + act,sense
division,divide + act,sense
dolphin,small + whale,sense
donkey,small + horse,sense
double,two + fold,sense
downpour,heavy + rain,sense
downward,down + oriented,sense
dozen,twelve + group,sense
dragonfly,dragon + fly,sense
drizzle,light + rain,sense
droopy,droop + like,sense
ductile,much + deform + without + fracture,sense
dune,sand + hill,sense
eastward,east + oriented,sense
ebb,tide + fall,sense
eccentric,convention + unusual + differ,sense
echinacea,cone + flower,sense
eclipse,shadow + sun,sense
ecology,life + place + study,sense
economy,wealth + system,sense
ecosystem,life + place + system,sense
ecotone,ecosystem + between + zone,sense
eddy,small + vortex,sense
edible,eat + able,sense
effect size,effect + magnitude,sense
efficiency,efficient + nature,sense
eighteen,ten + eight,sense
eighth,eight + order,sense
eighty,eight + ten,sense
electron,negative + particle,sense
eleventh,eleven + order,sense
eligible,requirement + satisfy,sense
eliminate,remove,sense
elk,big + deer,sense
embassy,nation + speak + place,sense
embody,body + give,sense
emerald,green + gem,sense
emigrate,migrate + out,sense
emission,emit + act,sense
emulate,imitate,sense
encapsulate,shell + put,sense
encrypt,secret + make,sense
endothermic,heat + absorb,sense
endpoint,end + point,sense
enqueue,queue + put,sense
entail,must + include,sense
entitlement,right + give,sense
entrain,cause + synchronize,sense
equinox,equal + night + day,sense
equity,own + share,sense
escarpment,long + cliff,sense
especial,special,sense
espresso,strong + coffee,sense
estuary,river + mouth,sense
ethereal,air + like,sense
etymology,word + origin,sense
evergreen,leaf + keep + always,sense
everyone,every + one,sense
everything,every + thing,sense
evict,force + out,sense
evident,evidence + like,sense
execute,run,sense
exemplify,example + give,sense
exhaustive,all + cover,sense
exoskeleton,outer + shell,sense
exothermic,heat + release,sense
expected value,probability + weigh + average,sense
expense,spend + act,sense
explosion,explode + act,sense
explosive,explode + like,sense
extirpate,local + extinct,sense
extrapolate,beyond + estimate,sense
eyebrow,eye + brow,sense
eyelid,eye + lid,sense
eyespot,simple + eye,sense
fable,beast + story,sense
facet,flat + face,sense
facetious,humor + not + serious,sense
failure,fail + act,sense
falcon,fast + eagle,sense
fallback,spare + choice,sense
falsify,false + prove,sense
fang,long + sharp + tooth,sense
fatigue,repeat + stress + weaken,sense
fault tolerance,tolerate + fault,sense
feasible,do + able,sense
fen,wet + meadow,sense
fenugreek,bitter + seed,sense
fertilizer,plant + food,sense
fetus,embryo + grow,sense
fifth,five + order,sense
fifty,five + ten,sense
figurative,not + literal,sense
film,thin + layer,sense
filth,foul + nature,sense
finch,small + sparrow,sense
fir,needle + pine,sense
firewood,fire + wood,sense
first,one + order,sense
fission,nucleus + split,sense
fjord,deep + sea + valley,sense
flea,jump + bug,sense
flight,fly + act,sense
flint,spark + rock,sense
flipper,swim + limb,sense
floodplain,flood + plain,sense
flounder,flat + fish,sense
flux,flow + rate + boundary,sense
folder,file + hold,sense
food,feed + thing,sense
foothill,foot + hill,sense
ford,river + cross + place,sense
fore,front,sense
forearm,front + arm,sense
forecast,before + predict,sense
forehead,front + head,sense
foresight,before + sight,sense
foretell,before + tell,sense
forth,forward,sense
fortress,fort + place,sense
forty,four + ten,sense
forward,front + oriented,sense
fossorial,burrow + live,sense
fourth,four + order,sense
freckle,face + dot,sense
freight,cargo,sense
frequent,often,sense
fundamental,base + like,sense
furnish,furniture + give,sense
fusion,nucleus + join,sense
galaxy,star + swarm,sense
gale,strong + wind,sense
gangster,gang + member,sense
gazelle,small + deer,sense
generation,generate + act,sense
genome,gene + all,sense
genotype,gene + trait,sense
germinate,seed + sprout,sense
geyser,hot + water + spout,sense
gift,give + thing,sense
giraffe,long + neck + deer,sense
gizzard,grind + stomach,sense
glacier,ice + river,sense
glossary,term + list,sense
glossy,shine + like,sense
gneiss,band + rock,sense
gold,yellow + metal,sense
golem,make + body + animate,sense
golf,club + ball + hole + sport,sense
gorge,deep + valley,sense
grammar,language + code,sense
grandchild,child + child,sense
grandfather,parent + father,sense
grandmother,parent + mother,sense
granite,hard + rock,sense
granular,grain + like,sense
granularity,unit + scale,sense
grapefruit,big + orange,sense
grasshopper,grass + hop + bug,sense
gravel,small + rock + many,sense
growl,beast + low + call,sense
growth,grow + act,sense
guardian,guard + agent,sense
guitar,string + instrument,sense
gulf,big + bay,sense
gullible,easy + deceive,sense
gully,small + ravine,sense
gust,sudden + wind,sense
gym,body + train + place,sense
gypsum,soft + crystal,sense
haddock,small + cod,sense
half,two + part,sense
halibut,big + flat + fish,sense
halite,salt + crystal,sense
handkerchief,hand + cloth,sense
hangar,plane + shed,sense
hare,rabbit,sense
harmonize,harmony + make,sense
haughty,proud + distant,sense
hawk,small + eagle,sense
hazelnut,bush + nut,sense
health,whole + nature,sense
hearth,fire + floor,sense
hedgehog,thorn + rat,sense
hematite,iron + ore,sense
hemisphere,half + sphere,sense
herbaceous,herb + like,sense
herbivore,plant + eat + agent,sense
herder,herd + agent,sense
hero,brave + person,sense
heron,river + crane,sense
hexagon,six + side + shape,sense
highway,big + road,sense
hind,back,sense
hindsight,after + sight,sense
hippo,river + beast,sense
hippopotamus,river + horse,sense
hockey,stick + puck + sport,sense
homeland,home + land,sense
homeostasis,self + regulate + stable,sense
hoodlum,violent + crime + agent,sense
hooligan,rowdy + agent,sense
hoot,owl + call,sense
hornet,big + wasp,sense
horrible,fear + able,sense
hundredth,hundred + order,sense
hurricane,sea + cyclone,sense
husband,wed + male,sense
hyena,laugh + wild + dog,sense
hymn,god + song,sense
hypha,fungus + thread,sense
hypothetical,hypothesis + like,sense
hysteresis,state + depend + history,sense
iceberg,ice + mountain,sense
identify,identity + find,sense
igneous,fire + rock,sense
illegal,not + legal,sense
illegitimate,not + legitimate,sense
illogical,not + logical,sense
imbibe,drink + absorb,sense
immature,not + mature,sense
immense,very + vast,sense
immerse,deep + put,sense
immigrate,migrate + in,sense
immortal,not + die,sense
impartial,not + side,sense
implosion,collapse + inward,sense
impolite,not + polite,sense
impossible,not + possible,sense
impostor,false + identity + agent,sense
impound,seize + hold,sense
improper,not + proper,sense
inaccurate,not + accurate,sense
inactive,not + active,sense
inappropriate,not + appropriate,sense
incisor,cut + tooth,sense
inclusion,include + act,sense
incomplete,not + complete,sense
inconsistent,not + consistent,sense
incorporeal,not + body,sense
incorrect,not + correct,sense
incredible,hard + believe,sense
indeterminate,determine + not + done,sense
indicator,indicate + thing,sense
indirect,not + direct,sense
inefficient,not + efficient,sense
inevitability,prevent + not + able,sense
inflation,price + rise,sense
infrastructure,base + structure,sense
ingenious,clever + invent,sense
inhabit,live + in,sense
initialize,first + set,sense
inscription,inscribe + act,sense
installation,set + place,sense
intact,whole,sense
intake,take + in,sense
intangible,not + touch + able,sense
integral,area + sum,sense
interpolate,between + estimate,sense
introduction,introduce + act,sense
introductory,introduce + like,sense
intruder,trespass + agent,sense
invasion,invade + act,sense
invertebrate,not + spine + animal,sense
involuntary,not + voluntary,sense
invulnerable,not + hurt + able,sense
inward,in + oriented,sense
ion,charge + atom,sense
ionic,charge + bond,sense
irregular,not + regular,sense
irrelevant,not + relevant,sense
irreversible,not + reverse + able,sense
isomorphism,same + structure,sense
isotope,element + neutron + vary,sense
ivy,wall + vine,sense
jackal,small + wild + dog,sense
jade,green + rock,sense
jaded,interest + wear + away,sense
jeer,mock + shout,sense
jellyfish,jelly + fish,sense
jimmy,pry + open,sense
judgmental,judge + too + much,sense
jupiter,king + planet,sense
jurisdiction,law + reach,sense
jute,rough + thread,sense
juvenile,young + one,sense
kelp,sea + weed,sense
kiln,fire + oven,sense
kilo,thousand,sense
kindle,small + fire + wood,sense
kinetic,move + like,sense
kingdom,king + land,sense
kingfisher,king + fish + bird,sense
koala,tree + bear,sense
krill,tiny + shrimp,sense
lagoon,shut + sea,sense
laminar,flow + layer + smooth,sense
lamprey,round + mouth + eel,sense
landfill,waste + ground,sense
landscape,land + view,sense
landslide,land + slide,sense
lark,sing + sparrow,sense
latitude,north + south + position,sense
legible,read + able,sense
lemma,step + claim,sense
lemongrass,lemon + grass,sense
lemur,night + monkey,sense
length,long + measure,sense
leopard,spot + wild + cat,sense
liability,owe + thing,sense
liberate,liberty + make,sense
licorice,sweet + root,sense
lime,green + lemon,sense
limestone,white + rock,sense
lipid,fat,sense
literature,write + art,sense
livelihood,live + way,sense
llama,mountain + hump + horse,sense
locust,swarm + bug,sense
logarithm,power + inverse,sense
longitude,east + west + position,sense
lookup,look + up,sense
looter,loot + agent,sense
loss,lose + act,sense
lotus,water + lily,sense
louse,hair + bug,sense
lout,crude + rude + agent,sense
lubrication,friction + lower,sense
luminous,light + full,sense
lunch,day + meal,sense
lynx,small + wild + cat,sense
lyre,string + music + tool,sense
mackerel,stripe + fish,sense
macromolecule,big + molecule,sense
macroscopic,big + scale + visible,sense
magazine,news + book,sense
magnetite,magnet + ore,sense
magpie,black + white + crow,sense
maintenance,maintain + act,sense
maize,corn,sense
majestic,grand + noble,sense
malevolent,malice + like,sense
malice,bad + intent,sense
malleable,shape + able,sense
manatee,sea + cow,sense
mandatory,require,sense
mandible,lower + jaw,sense
mangrove,sea + tree,sense
mantis,pray + bug,sense
mantle,body + cover + layer,sense
maple,sweet + sap + tree,sense
marble,smooth + rock,sense
margin,allow + range,sense
marine,sea + live,sense
marlin,spear + fish,sense
mars,war + planet,sense
marsupial,pouch + mammal,sense
maxilla,upper + jaw,sense
maximize,most + make,sense
megastructure,huge + structure,sense
mental,mind + oriented,sense
mentor,teach + agent,sense
meow,cat + call,sense
merchant,trade + agent,sense
mercury,fast + planet,sense
mermaid,human + fish + body + join,sense
mesa,flat + hill,sense
metallic,metal + bond,sense
metamorphic,change + rock,sense
metamorphose,body + form + change,sense
meteor,fall + star,sense
mic,sound + catch + device,sense
mica,sheet + crystal,sense
microphone,sound + catch + device,sense
microscope,small + see + tool,sense
microscopic,small + scale + visible,sense
millipede,thousand + foot + worm,sense
mince,tiny + slice,sense
minimize,least + make,sense
mirage,false + vision,sense
misalign,wrong + align,sense
miscreant,wrong + do + agent,sense
mite,tiny + tick,sense
modular,part + like,sense
molar,grind + tooth,sense
mole,dirt + rat,sense
monastery,monk + house,sense
mongoose,snake + kill + weasel,sense
monk,worship + devote + agent,sense
monomer,one + unit,sense
monsoon,rain + season,sense
moo,cow + call,sense
moose,big + deer,sense
morpheme,meaning + part,sense
morphism,structure + map,sense
mosque,worship + building,sense
mule,mix + horse,sense
multistable,many + stable + state,sense
mussel,long + clam,sense
mutton,sheep + meat,sense
mutualism,both + benefit + relation,sense
mutually exclusive,both + impossible,sense
mycelium,fungus + thread,sense
naked,bare + body,sense
namespace,name + space,sense
naturalized,introduce + self + sustain,sense
nautilus,shell + octopus,sense
nearby,near + place,sense
nebula,star + cloud,sense
negate,not + make,sense
negligent,neglect + like,sense
neigh,horse + call,sense
neighbor,near + person,sense
neighborhood,near + place,sense
nephew,sibling + child,sense
nettle,sting + weed,sense
neuron,nerve + cell,sense
neutralize,neutral + make,sense
neutron,neutral + particle,sense
newt,water + lizard,sense
niece,sibling + child,sense
nightingale,night + sing + bird,sense
nineteen,ten + nine,sense
ninety,nine + ten,sense
ninth,nine + order,sense
nocturnal,night + active,sense
nonlinear,not + proportion,sense
northward,north + oriented,sense
not touching,not + touch,sense
notochord,first + spine,sense
noun,object + term,sense
novice,new + agent,sense
nuclear,nucleus + like,sense
nursery,child + care + place,sense
nutrition,nutrient + act,sense
nymph,water + spirit,sense
oasis,water + desert,sense
obelisk,needle + pillar,sense
obligate,obligation + make,sense
observatory,watch + sky + place,sense
obsidian,glass + rock,sense
octagon,eight + side + shape,sense
oink,pig + call,sense
omission,omit + act,sense
omnivore,all + eat + agent,sense
onward,on + oriented,sense
opal,shine + gem,sense
opossum,night + pouch + animal,sense
optimize,best + make,sense
orchard,fruit + tree + garden,sense
orchestra,music + group,sense
orchid,rare + flower,sense
organelle,cell + organ,sense
organization,organize + act,sense
orientation,orient + act,sense
orphan,no + parent + child,sense
osmosis,solvent + diffuse + membrane,sense
ostrich,big + run + bird,sense
otter,river + weasel,sense
outlaw,law + outside + agent,sense
outlier,observe + far + other,sense
outpost,far + base,sense
outward,out + oriented,sense
overcast,all + cloud,sense
overload,too + much + load,sense
overshoot,exceed + target,sense
ox,work + cow,sense
oxidize,oxygen + join,sense
oxygen,breath + gas,sense
oyster,pearl + clam,sense
palace,king + house,sense
palp,feel + appendage,sense
pancreas,gut + gland,sense
panic,sudden + fear,sense
panther,dark + wild + cat,sense
papaya,tree + melon,sense
paragraph,text + part,sense
paranoid,suspicion + extreme,sense
paraphrase,again + say,sense
parasitism,one + benefit + one + harm + relation,sense
parody,imitate + mock,sense
parrot,talk + bird,sense
path dependence,history + depend,sense
pathogen,disease + cause,sense
peacock,fan + tail + bird,sense
peanut,ground + nut,sense
pearl,shell + gem,sense
pebble,small + rock + piece,sense
pelican,bag + throat + bird,sense
pencil,erase + able + pen,sense
penguin,ice + swim + bird,sense
pentagon,five + side + shape,sense
percentage,percent + amount,sense
perception,perceive + act,sense
perch,small + bass,sense
perennial,many + year + live,sense
permeability,permeate + ability,sense
permission,permit + act,sense
persuasion,persuade + act,sense
petroleum,rock + oil,sense
petty,small + matter + concern + too + much,sense
pharmacy,medicine + shop,sense
phenotype,show + trait,sense
pheromone,signal + smell,sense
philosophy,wisdom + love,sense
phloem,sugar + tube,sense
phoenix,fire + bird,sense
photon,light + particle,sense
phrase,word + group,sense
physics,matter + study,sense
pigeon,town + dove,sense
pike,long + tooth + fish,sense
pilgrimage,holy + journey,sense
pincer,grasp + claw,sense
pineapple,cone + fruit,sense
pipeline,pipe + line,sense
pistachio,green + nut,sense
placenta,birth + organ,sense
plantain,cook + banana,sense
plastic deformation,deform + remain,sense
platypus,duck + mouth + animal,sense
playground,play + ground,sense
plaza,open + square,sense
poacher,illegal + hunt + agent,sense
poem,art + word + work,sense
poet,art + word + agent,sense
poisonous,poison + bear,sense
polarity,polar + nature,sense
pollinate,pollen + carry,sense
pollock,north + cod,sense
polyhedron,many + face + solid,sense
polymer,repeat + unit + chain,sense
polyp,stalk + body + animal,sense
pompous,self + important + show,sense
poppy,sleep + flower,sense
population,populate + act,sense
porcupine,big + thorn + rat,sense
pork,pig + meat,sense
portray,depict,sense
possibility,possible + nature,sense
possible,can + able,sense
postulate,assume + claim,sense
potable,drink + able,sense
potter,pot + make + agent,sense
poultry,bird + meat,sense
poverty,poor + state,sense
pox,skin + disease,sense
prairie,grass + plain,sense
prawn,big + shrimp,sense
prayer,pray + word,sense
precipitation,fall + water,sense
precognition,before + know,sense
predecessor,before + one,sense
pregnancy,pregnant + state,sense
premise,first + claim,sense
premolar,small + grind + tooth,sense
preposition,relation + term,sense
prerequisite,before + necessary + condition,sense
prescription,prescribe + act,sense
president,lead + agent,sense
presumptuous,presume + too + much,sense
pretentious,claim + self + greater + than + real,sense
priest,holy + agent,sense
primary,first + like,sense
prince,king + child,sense
princess,king + child + female,sense
probability,probable + nature,sense
proboscis,long + feed + tube,sense
production,produce + act,sense
prone,tend,sense
pronoun,swap + term,sense
pronunciation,pronounce + act,sense
proof,prove + act,sense
propensity,tend + nature,sense
prostate,seed + gland,sense
proton,positive + particle,sense
provision,provide + act,sense
proxy measure,substitute + measure,sense
pufferfish,swell + fish,sense
pumice,foam + rock,sense
pumpkin,big + squash,sense
punctual,on + time,sense
punctuation,write + mark,sense
pungent,sharp + taste,sense
pupa,change + shell,sense
purr,cat + hum,sense
pyramid,point + tomb,sense
pyrite,false + gold,sense
quack,duck + call,sense
quadrilateral,four + side + shape,sense
quarrel,word + fight,sense
quarry,rock + mine,sense
quarter,four + part,sense
quartz,clear + crystal,sense
quartzite,quartz + rock,sense
queen,king + female,sense
query,ask,sense
queue,wait + line,sense
raccoon,mask + face + animal,sense
radial,ray + symmetry,sense
radiate,ray + emit,sense
radish,sharp + root,sense
radula,scrape + tongue,sense
rainbow,rain + light + arc,sense
rainforest,rain + forest,sense
rampart,war + wall,sense
rapeseed,oil + seed,sense
rapids,fast + water,sense
rarefy,density + lower,sense
raspberry,red + berry,sense
raven,big + crow,sense
ravine,narrow + valley,sense
reactant,react + thing,sense
reagent,react + cause + thing,sense
reassemble,again + assemble,sense
rebut,against + answer,sense
reception,receive + act,sense
receptor,receive + structure,sense
reclaim,again + claim,sense
reconcile,friend + again + make,sense
redirect,again + direct,sense
reduction,reduce + act,sense
redundant,extra + copy,sense
redwood,red + tree,sense
reef,coral + ridge,sense
reflexive,self + relation,sense
refract,bend + light,sense
regenerate,again + grow,sense
reindeer,snow + deer,sense
related,relation + have,sense
relinquish,claim + release,sense
replicate,copy,sense
reservoir,hold + lake,sense
residual,observe + predict + difference,sense
resilient,recover + able,sense
resort,rest + place,sense
resourceful,skill + means + find,sense
restitution,give + back,sense
resurrection,die + rise + again,sense
revenue,income,sense
reversible,reverse + able,sense
revision,revise + act,sense
revolt,rebel,sense
rhino,horn + beast,sense
rhinoceros,nose + horn + animal,sense
rioter,riot + agent,sense
robin,red + chest + sparrow,sense
roe,fish + egg,sense
rollback,past + state + return,sense
rostrum,point + snout,sense
ruby,red + gem,sense
ruffian,rough + violent + agent,sense
rugby,carry + ball + sport,sense
runaway,feedback + reinforce + control + without,sense
saboteur,secret + damage + agent,sense
sadistic,other + suffer + pleasure,sense
saga,long + story,sense
sailor,sail + agent,sense
saint,holy + person,sense
salary,work + pay,sense
sale,sell + act,sense
salmon,river + climb + fish,sense
sandstone,sand + rock,sense
sanitize,clean + make,sense
sapient,wise + like,sense
sapphire,blue + gem,sense
sarcasm,sarcastic + act,sense
sardine,small + herring,sense
sardonic,bitter + cynical + mock,sense
satirical,humor + criticize + expose,sense
saturn,ring + planet,sense
scalar,single + number,sense
scallion,green + onion,sense
scallop,fan + clam,sense
scavenger,scavenge + agent,sense
scenario,possible + story,sense
schist,flake + rock,sense
scoff,mock + dismiss,sense
scorpion,sting + tail + spider,sense
scoundrel,dishonest + agent,sense
scribe,write + agent,sense
scripture,holy + writing,sense
seafloor,sea + floor,sense
seagrass,sea + grass,sense
seahorse,sea + horse,sense
seamount,sea + mountain,sense
seasoning,taste + thing,sense
seat,sit + thing,sense
second,two + order,sense
sedge,marsh + grass,sense
sedimentary,sediment + rock,sense
sedimentation,particle + settle + accumulate,sense
segmented,segment + many,sense
self-organize,self + organize,sense
self-reliant,self + rely,sense
semantics,meaning + study,sense
sensor,detect + device,sense
sentence,thought + line,sense
sequential,order + like,sense
serialize,line + form + make,sense
serpent,snake,sense
sessile,attach + fixed,sense
seta,bristle,sense
setpoint,target + value,sense
seventeen,ten + seven,sense
seventh,seven + order,sense
seventy,seven + ten,sense
sewer,waste + pipe,sense
shale,mud + rock,sense
shaman,spirit + talk + agent,sense
shameless,shame + without,sense
shapeshift,shape + change,sense
shock wave,shock + wave,sense
shrew,sharp + nose + rat,sense
shrub,low + tree,sense
sieve,filter + size,sense
sight,see + act,sense
silo,grain + tower,sense
silt,fine + sand,sense
sinew,tendon,sense
singleton,one + set,sense
siphon,draw + tube,sense
sixteen,ten + six,sense
sixteenth,sixteen + order,sense
sixth,six + order,sense
sixty,six + ten,sense
skate,small + ray,sense
slate,sheet + stone,sense
sleet,rain + snow,sense
smith,metal + work + agent,sense
smug,self + satisfy + superior,sense
smuggler,secret + carry + agent,sense
sneer,contempt + face + show,sense
snuff,nose + powder,sense
soccer,foot + ball + sport,sense
soldier,war + agent,sense
solstice,sun + stand + day,sense
soluble,dissolve + able,sense
solute,dissolve + thing,sense
solution,solve + act,sense
someone,some + one,sense
something,some + thing,sense
sometime,some + time,sense
sometimes,some + time,sense
song,sing + thing,sense
sophisticated,refine + done,sense
southward,south + oriented,sense
sovereignty,highest + rule,sense
soybean,oil + bean,sense
speciation,population + isolate + diverge,sense
species,life + kind,sense
specimen,one + sample,sense
spectacular,grand + sight,sense
spectral,ghost + like,sense
speech,speak + act,sense
sphinx,lion + body + human + head,sense
spiracle,breathe + opening,sense
spruce,needle + pine,sense
squawk,bird + screech,sense
squid,long + octopus,sense
squirrel,tree + rat,sense
stadium,big + arena,sense
standard deviation,typical + deviation,sense
starfish,star + fish,sense
state space,state + set,sense
steel,hard + iron,sense
steppe,dry + plain,sense
stevia,sweet + leaf,sense
stinger,sting + part,sense
stochastic,random,sense
stoic,feeling + restrain,sense
stomata,leaf + pore,sense
stone,rock + piece,sense
stork,long + leg + crane,sense
stranger,unknown + person,sense
stratus,layer + cloud,sense
strawberry,grass + berry,sense
strength,strong + measure,sense
studio,art + room,sense
sturgeon,ancient + fish,sense
sublimation,solid + gas + become,sense
submission,submit + act,sense
subordinate,below + rank,sense
subscription,subscribe + act,sense
subsidy,help + money,sense
substation,small + station,sense
subsume,under + include,sense
successive,follow + order,sense
successor,next + one,sense
succulent,water + plant,sense
suffice,enough + be,sense
sufficient,enough,sense
sugarcane,sugar + grass,sense
sunflower,sun + flower,sense
sunshine,sun + light,sense
supper,night + meal,sense
surface tension,surface + tension,sense
survey,many + sample + observe,sense
swan,white + goose,sense
swindler,cheat + agent,sense
swordfish,sword + fish,sense
syllable,sound + beat,sense
symbiosis,live + together,sense
synchronize,same + time + make,sense
synchronous,same + time,sense
synergy,combine + effect + greater,sense
synonym,same + meaning,sense
tactful,social + skill + offense + avoid,sense
talkative,talk + like,sense
tambourine,shake + drum,sense
tangible,touch + able,sense
taunt,mock + provoke,sense
technology,craft + study,sense
telepathy,far + mind + talk,sense
telephone,far + talk + machine,sense
telescope,far + see + tool,sense
temple,worship + building,sense
tendon,muscle + cord,sense
tennis,racket + ball + sport,sense
tenth,ten + order,sense
terminal,end + station,sense
terminate,end + make,sense
termite,wood + ant,sense
terrace,flat + step + land,sense
terrain,land + shape,sense
terrestrial,land + live,sense
terrible,fear + able,sense
territory,rule + land,sense
tessellation,tile + pattern,sense
testimony,witness + word,sense
theft,steal + act,sense
theorem,prove + claim,sense
thicket,thick + tree + group,sense
third,three + order,sense
thirty,three + ten,sense
thistle,thorn + weed,sense
thorax,middle + body + region,sense
thought,think + act,sense
thousandth,thousand + order,sense
throne,king + seat,sense
throughput,output + rate,sense
thug,violent + intimidate + agent,sense
tier,level + layer,sense
tiger,stripe + wild + cat,sense
tilapia,lake + fish,sense
timeout,time + end,sense
tipping point,cascade + threshold,sense
titan,giant + god,sense
toad,wart + frog,sense
torque,turn + force,sense
torsion,twist + stress,sense
tortoise,land + turtle,sense
torus,ring + solid,sense
totem,kin + sign,sense
touchy,offense + easy + take,sense
toward,to + oriented,sense
toxin,toxic + thing,sense
trachea,air + tube,sense
train,fire + cart,sense
trammel,move + restrain,sense
transaction,trade + act,sense
transitive,chain + relation,sense
translucent,part + transparent,sense
transmission,transmit + act,sense
treacherous,betray + likely,sense
tributary,branch + river,sense
trickery,trick + practice,sense
triple,three + fold,sense
troublemaker,trouble + make + agent,sense
trouser,leg + cloth,sense
trout,stream + fish,sense
truth,true + nature,sense
tsunami,big + sea + wave,sense
tuber,thick + root,sense
tubercle,small + bump,sense
tulip,cup + flower,sense
tundra,cold + plain,sense
turbulent,flow + irregular,sense
turnip,round + root,sense
turquoise,blue + gem,sense
tweet,bird + beep,sense
twelfth,twelve + order,sense
twentieth,twenty + order,sense
twenty,two + ten,sense
twice,two + fold,sense
twig,small + branch,sense
typhoon,sea + cyclone,sense
tyranny,cruel + rule,sense
uncertainty,uncertain + nature,sense
uncle,parent + sibling,sense
undead,dead + animate,sense
undershoot,fall + short + target,sense
underworld,under + world,sense
unicorn,one + horn + horse,sense
unjust,not + just,sense
unknowable,know + impossible,sense
unsatisfiable,not + satisfy + able,sense
upward,up + oriented,sense
urinate,urine + make,sense
urn,ash + pot,sense
user,use + agent,sense
utensil,eat + tool,sense
vagabond,wander + home + without + agent,sense
validate,valid + make,sense
valor,brave + nature,sense
vandal,vandalize + agent,sense
variable,vary + able,sense
variance,spread + measure,sense
variant,vary + kind,sense
variety,vary + nature,sense
various,vary + like,sense
vase,flower + pot,sense
veal,young + cow + meat,sense
venison,deer + meat,sense
venom,inject + poison,sense
venomous,venom + bear,sense
venus,love + planet,sense
verb,action + term,sense
verdict,judge + word,sense
vertebra,spine + bone,sense
vertebrate,spine + animal,sense
vertex,corner + point,sense
villain,bad + person,sense
vindictive,persist + revenge + want,sense
vineyard,grape + field,sense
viscous,flow + resist,sense
visible,see + able,sense
vocabulary,term + set,sense
volatile,change + sudden + strong,sense
volcano,fire + mountain,sense
volleyball,net + ball + sport,sense
vortex,flow + rotate,sense
vowel,open + sound,sense
vulgar,common + coarse,sense
vulture,dead + eat + eagle,sense
walrus,tusk + seal,sense
wanderer,wander + agent,sense
wane,shrink,sense
warmth,warm + nature,sense
waterproof,water + block,sense
watershed,water + gather + land,sense
wealth,rich + nature,sense
weathering,break + down + place + expose,sense
weaver,weave + agent,sense
weevil,grain + beetle,sense
weight,weigh + measure,sense
werewolf,human + wolf + change,sense
westward,west + oriented,sense
wetland,wet + land,sense
whinny,horse + call,sense
widow,dead + mate + woman,sense
width,wide + measure,sense
wife,wed + female,sense
wilderness,wild + land,sense
wildfire,wild + fire,sense
willow,weep + tree,sense
witchcraft,witch + craft,sense
withstand,against + stand,sense
wombat,dig + pouch + animal,sense
woodpecker,wood + peck + bird,sense
wormwood,bitter + herb,sense
worst case,worst + possible + outcome,sense
wraith,dead + spirit,sense
wren,tiny + sparrow,sense
xylem,water + tube,sense
yarn,thick + thread,sense
yarrow,feather + herb,sense
zebra,stripe + horse,sense
zodiac,beast + circle,sense
zombie,dead + body + animate,sense
zone out,mind + leave,sense
